@relation 'jedit-4.1_deleteColumns-weka.filters.unsupervised.attribute.Remove-R1-2,4-9,11-12,14,16-17,19'

@attribute noc numeric
@attribute lcom3 numeric
@attribute moa numeric
@attribute cam numeric
@attribute amc numeric
@attribute avg_cc numeric
@attribute bug {1,0}

@data
0,0.71875,1,0.5,21.888889,1,0
0,0.611111,1,0.208333,18.714286,1.4286,0
0,0.7,0,0.323529,38.352941,2.4118,0
0,0.7,10,1,120.75,2,0
0,1.0625,0,0.285714,43.5,5,0
0,0.375,2,0.366667,33,2.6,0
0,2,0,0.625,3,0.5,0
0,2,0,0.875,28.75,2.25,0
0,0.6,1,0.424242,3.636364,0.9091,0
0,0.25,2,0.5,67.2,1.6,0
0,0.666667,0,0.375,12.25,2,0
0,0.464286,2,0.5,47,1.8,0
0,2,0,0.875,32,2.25,0
0,0.871212,3,0.113095,13.56,1.56,1
0,0.6,0,0.28,61.333333,3,0
0,1.222222,0,0.5,13,0.75,0
0,2,0,0.625,31.5,0.5,0
0,2,0,0.3,40.2,3,0
0,0.708333,1,0.274854,67.684211,1.6316,0
0,0.375,0,0.3,24,1.6,0
0,0.75,0,0.3,41.4,0.8,0
0,0.375,2,0.366667,33,2.6,0
0,2,0,0.430769,0,1,0
0,0.533333,1,0.32,33.666667,2.5,0
0,0.782609,2,0.373737,40.272727,3.0909,0
0,0.642857,0,0.7,55.4,1,1
0,0.8,1,0.25,24.166667,1.5833,1
0,0.8,0,0.388889,48.333333,0.8333,0
0,0.828571,3,0.3,87.166667,1.5,0
5,0.625,0,0.6,22.8,1.8,0
0,0.5,0,0.166667,8,1.5714,0
0,0.79798,0,0.180556,32.421053,1.1053,0
0,0.875,2,0.555556,42.333333,0.6667,0
0,0.933333,3,0.5,37.333333,0.6667,0
0,2,0,0.625,0,1,0
0,0.533333,1,0.272727,43.181818,3.2727,0
0,1.4375,2,0.5,4,1,0
0,2,0,0.056202,7.093023,1.0233,0
0,2,0,0.75,4,0.5,0
0,0.625,2,0.25,122.857143,1.4286,1
0,0.914286,3,0.236364,164.272727,5.0909,1
0,0.666667,0,0.666667,58,5.25,0
0,2,0,0.833333,14.333333,0.6667,0
0,2,0,0.625,14,0.5,0
0,0.5,0,0.466667,30,1.8,0
0,0.571429,0,0.625,51,3.375,0
0,0.5,1,0.4,12,0.6667,0
0,0.714286,0,0.2,47,3.5714,0
0,0.796296,5,0.5,37.692308,2.1538,1
0,2,0,0.75,3.5,0,0
0,0.8,1,0.333333,18.545455,2.2727,0
0,2,0,0.875,31.25,2.5,0
0,0.793651,2,0.25,58.9,3.4,1
0,2,0,0.625,13,0.5,0
1,0.94026,4,0.11016,30,1.6964,1
0,0.772487,1,0.219388,20.714286,2.3571,0
0,0.5,0,0.75,9.666667,1,0
0,0.666667,0,0.4,22.2,0.8,1
0,2,0,1,3,0,0
0,1,0,0.4,33.4,3,1
0,0.714286,0,0.5,77.4,1.8,0
0,0.782051,0,0.214286,53.428571,1.7857,0
36,0.888889,4,0.233083,11.315789,1.6316,0
0,2,0,1,4,0,0
0,2,0,0.6,18.5,0.5,0
0,2,0,1,0,1,0
0,0.925339,7,0.136364,9.222222,1.1481,1
0,0.619048,4,0.6,49,2.5,0
0,0.770833,4,0.246914,43.222222,2.7778,0
0,0,0,0.535714,28,2.1429,1
0,0.857143,0,0.333333,7.875,1,0
1,0.789916,2,0.208333,24.166667,2.5556,1
0,2,0,0.75,0,1,0
0,0,0,0.375,13.666667,1.8333,1
0,1.12,0,0.5,28.833333,2.8333,0
0,0,0,0.484848,11.181818,1.1818,0
0,0.794643,1,0.235294,23.823529,1.8824,1
0,2,0,0.314286,21.428571,2.2857,0
0,2,0,0.625,52,0.5,0
0,0.694444,1,0.444444,23.2,1.6,0
0,0.771429,0,0.722222,33.666667,3,0
0,2,0,0.75,7,1,0
0,2,0,0.75,11,0.5,0
0,0.666667,0,0.375,20.8,1.6,0
0,0.5,0,0.444444,34,4,0
0,0.736111,2,0.404762,53.285714,4.2857,1
0,0.611111,2,0.4,89.4,2.6,0
0,0.5625,0,0.466667,37.8,2.2,0
0,0.449198,3,0.5,51.75,1.3333,1
0,2,0,0.75,0,1,0
0,0.887106,10,0.080053,36.472803,3.5774,1
0,1,0,0.666667,24.5,0.5,0
1,0.666667,1,0.5,8,1,0
0,0.849206,1,0.355556,37.333333,1.5333,0
0,0.709091,2,0.277778,22.25,1.3333,0
0,1,0,0.333333,16.666667,1.3333,1
0,2,0,0.611111,4.666667,1,0
0,0.822222,3,0.336842,23.578947,1.4211,1
0,0.888889,1,0.285714,23.785714,1.0714,0
0,0.805556,0,0.269231,7.384615,1.0769,0
0,0.831502,5,0.186813,43.475,2.175,1
0,0,1,0.444444,27.333333,3,0
0,1.015625,17,0.40625,34.555556,1,0
0,1,0,0.444444,32.666667,2.3333,0
0,0.492857,3,0.251701,81.428571,9.0952,0
5,0.727273,0,0.3125,3,0.9167,0
0,0.72,0,0.305556,61,3.8333,0
0,2,0,0,496,0,0
0,0.5,0,0.444444,22.333333,2.3333,0
0,0.818182,0,0.5,20.666667,0.9167,0
0,0.949153,9,0.082456,27.15,2.8,1
4,0.969697,0,0.242424,18.617647,1.5588,1
0,0.714286,0,1,4.875,0.875,0
0,2,0,0.8,1.4,0.8,1
0,2,0,0.466667,5.666667,0.6667,0
0,0.444444,0,0.357143,18.25,1.75,0
0,0.929969,12,0.077948,32.727891,3.7959,1
0,0.872727,3,0.291667,57.75,1.5,1
0,0.5,0,1,84,2,0
0,2,0,1,4,0,0
0,0.307692,1,0.320513,21.357143,2.5,1
0,2,0,0.625,17,0.5,0
0,0.444444,0,0.285714,16.142857,1.1429,0
0,0.897306,3,0.173913,49.173913,2.913,1
0,0.833333,0,0.4,25.75,1.75,0
0,0.733333,3,0.338462,19.692308,2.1538,0
0,0.5,0,0.366667,29.4,4,0
0,0.7,0,0.314286,41.166667,3.3333,1
0,0.65,1,0.4,42.181818,1.0909,1
0,2,0,1,0,1,0
0,0.5,9,1,137.333333,1.3333,0
0,0.46875,0,0.6,52,3.8,0
0,0.892857,0,0.178571,32.230769,2.3846,0
0,1,1,0.625,3,0.3333,0
3,0.5,1,0.577778,9.133333,1.3333,0
0,0.818182,0,0.395833,19.833333,2.0833,0
0,0.778867,5,0.126362,29.309091,1.6,1
0,0.666667,0,0.185185,40.3125,4.875,1
0,0.716667,0,0.5,30.181818,1.9091,1
0,0.5,1,1,50,0.6667,0
0,2,0,0.6,20.5,1,0
0,0.760684,1,0.22449,29,1.5,0
0,1.114286,0,0.611111,45.5,0.8333,0
0,0.661765,0,0.104575,42.166667,3.1111,0
0,1,0,0.75,3.5,0.5,0
0,0.875269,5,0.265625,78.0625,6,1
0,0.9375,2,0.592593,8.888889,0.8889,1
0,2,0,0.916667,0,1,1
0,0.796875,4,0.215385,115.076923,8.8462,1
0,2,0,0.444444,21,1,0
2,0.807692,0,0.297619,7.071429,1.0714,1
1,1.347826,2,0.4,37.333333,5.3333,0
0,0.960918,5,0.101415,19.301887,1.6038,1
0,0.751701,1,0.5,124.12,8.76,0
0,0,0,0.666667,13.25,1.75,0
0,0.666667,0,0.5,5.25,0.75,0
0,0.625,1,0.428571,7.571429,1.1429,0
1,0.946488,2,0.230072,52.957447,1.766,0
0,2,0,1,4,0,0
0,2,0,0.583333,43,0.75,0
1,0.8,0,0.4,11.333333,0.6667,0
0,0.865613,4,0.319444,39.166667,3.6667,0
0,2,0,1,4,0,0
0,0.529412,0,0.296296,45.666667,1.5926,0
0,2,0,0.625,31.5,3.5,0
0,0.814286,0,0.363636,34.363636,1.3636,0
0,0.921126,1,0.138067,42.347458,1.5678,1
0,2,0,1,4,0,0
0,0.678571,0,1,24.444444,2.8889,0
0,0.5,0,0.259259,11.222222,1.5556,0
0,0.436364,0,0.395833,16.75,1.3333,0
0,0.873333,1,0.16,5.653846,1.1923,0
0,1,0,0.75,6,0,0
0,2,0,1,0,1,0
0,0.653846,1,0.342857,26,2.4286,0
4,2,0,0.45,8.6,1.6,0
0,0.866397,1,0.204082,72.571429,2.4286,0
0,0.833333,0,0.30303,14.818182,2,0
1,0.75,1,0.288889,14,1,0
0,2,0,1,0,1,0
0,0.795455,2,0.083333,31.622222,2.0222,0
0,2,0,0.153846,42.675676,3.1622,0
0,0.225,0,0.436364,33.818182,1.8182,0
0,2,0,1,3,0,0
0,0.8625,5,0.169312,29.666667,3.1429,1
0,0.666667,0,0.333333,14.25,2.25,1
0,0.770833,3,0.215686,31.235294,2.5294,1
0,2,0,1,4,0,0
0,2,0,0.625,14,0.5,0
0,2,0,0.229167,45.666667,0.8333,0
7,2,0,0.414286,1.714286,0.9286,0
0,0.875,0,0.5,8.6,0.6,0
0,0.8,0,0.375,35.125,1.375,0
0,0.962963,0,0.083333,16.538462,1.9231,1
0,0.625,0,0.433333,39.8,0.8,0
0,1,0,0.625,12.5,0.5,0
0,0.857143,3,0.25,26.727273,1.7727,1
0,0.921429,5,0.209524,22.774194,2.3548,1
0,0.5,0,0.444444,24,2,0
0,2,0,1,0,1,0
0,0,0,0.666667,13.25,1.75,0
0,0.45,0,0.363636,11.636364,1,0
0,0.375,0,0.25,30.8,1.6,0
0,0.53125,0,0.6,48.6,3.8,0
0,2,0,0.363636,33.125,0.875,0
0,2,0,0.625,44.5,0.5,0
0,0,0,0.666667,10.666667,0.6667,0
0,1,0,0.666667,8,0.5,0
0,0.788043,4,0.25,77.222222,3.1111,1
0,0.59375,1,0.533333,19.8,1,0
0,0.809524,2,0.392857,19.857143,1.2857,0
0,0.713333,4,0.386667,69,5.875,1
0,0.533333,2,0.357143,51.166667,1,0
0,1,0,0.625,16,0.5,0
0,1,0,0.533333,90,0.6667,0
0,2,0,0.555556,52.666667,0.6667,1
0,0.458333,0,0.384615,7.307692,1,1
0,2,0,0.555556,35.666667,6.3333,1
0,0.611111,1,0.3,28.714286,2.1429,0
0,0.923077,9,0.053846,43.364407,4,1
0,1.125,4,0.625,63.5,0.5,0
0,0.333333,0,0.457143,6.428571,0.8571,0
0,0.74,0,0.5,70.5,4.1667,1
0,0.7,3,0.388889,21.666667,1,0
0,0.666667,2,0.5,22,0.8333,0
0,0.8,3,0.3,20.833333,0.8333,0
0,0.8,1,0.454545,3.363636,0.9091,0
0,0.933333,1,0.4,11.333333,0.6667,0
0,2,0,0.666667,0,1,0
0,0.727689,8,0.138015,56.05569,5.4673,0
0,1,0,0.35,18.5,0.75,0
0,0.641975,1,0.273504,53.3,4.7,0
0,0.833333,0,0.180556,36.076923,2.6923,1
0,0.571429,1,0.291667,24.375,1,1
0,0.5,1,0.466667,70.4,1.8,0
1,0.767677,0,0.194737,38.789474,2.4211,1
0,2,0,0.625,41,4.5,1
0,0.708333,0,0.5,64.2,1.6,0
0,0.5,0,0.5,25.6,2,0
0,1,0,0.10625,40.825,4.7,1
0,2,0,0.52381,0,1,0
0,0.940952,3,0.121646,20.651163,1.8837,1
0,1,0,0.45,68.75,2.25,0
2,0.388889,2,0.255556,14.9,1.1,0
0,2,0,0.625,106,0.5,0
