@relation data/M_multi_metrics_PDE.csv-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R41-weka.filters.unsupervised.attribute.Remove-R15-weka.filters.unsupervised.attribute.Remove-R47-weka.filters.unsupervised.attribute.Remove-R47-weka.filters.unsupervised.attribute.Remove-R5-weka.filters.unsupervised.attribute.Remove-R39-weka.filters.unsupervised.attribute.Remove-R2-weka.filters.unsupervised.attribute.Remove-R45-weka.filters.unsupervised.attribute.Remove-R51-weka.filters.unsupervised.attribute.Remove-R50-weka.filters.unsupervised.attribute.Remove-R12-weka.filters.unsupervised.attribute.Remove-R31-weka.filters.unsupervised.attribute.Remove-R4-weka.filters.unsupervised.attribute.Remove-R21-weka.filters.unsupervised.attribute.Remove-R29-weka.filters.unsupervised.attribute.Remove-R32-weka.filters.unsupervised.attribute.Remove-R22-weka.filters.unsupervised.attribute.Remove-R6-weka.filters.unsupervised.attribute.Remove-R18-weka.filters.unsupervised.attribute.Remove-R37-weka.filters.unsupervised.attribute.Remove-R37-weka.filters.unsupervised.attribute.Remove-R3

@attribute ck_oo_numberOfPrivateMethods numeric
@attribute LDHH_fanIn numeric
@attribute CvsWEntropy numeric
@attribute LDHH_numberOfPublicMethods numeric
@attribute LDHH_numberOfPrivateAttributes numeric
@attribute CvsEntropy numeric
@attribute LDHH_numberOfPublicAttributes numeric
@attribute WCHU_numberOfPrivateMethods numeric
@attribute ck_oo_noc numeric
@attribute numberOfCriticalBugsFoundUntil: numeric
@attribute ck_oo_wmc numeric
@attribute LDHH_numberOfPrivateMethods numeric
@attribute WCHU_numberOfPrivateAttributes numeric
@attribute CvsLogEntropy numeric
@attribute WCHU_noc numeric
@attribute LDHH_numberOfAttributesInherited numeric
@attribute ck_oo_fanOut numeric
@attribute ck_oo_numberOfAttributesInherited numeric
@attribute ck_oo_dit numeric
@attribute ck_oo_fanIn numeric
@attribute LDHH_noc numeric
@attribute WCHU_dit numeric
@attribute ck_oo_lcom numeric
@attribute WCHU_numberOfAttributesInherited numeric
@attribute LDHH_numberOfAttributes numeric
@attribute LDHH_numberOfLinesOfCode numeric
@attribute WCHU_fanOut numeric
@attribute ck_oo_numberOfAttributes numeric
@attribute numberOfHighPriorityBugsFoundUntil: numeric
@attribute ck_oo_numberOfPrivateAttributes numeric
@attribute numberOfMajorBugsFoundUntil: numeric
@attribute WCHU_numberOfPublicMethods numeric
@attribute LDHH_dit numeric
@attribute WCHU_numberOfMethodsInherited numeric
@attribute LDHH_fanOut numeric
@attribute ck_oo_numberOfMethodsInherited numeric
@attribute ck_oo_numberOfPublicMethods numeric
@attribute CvsExpEntropy numeric
@attribute LDHH_numberOfMethods numeric
@attribute class {buggy,clean}

@data
0,0,0.001672,0,0,3.1496,0,0,0,0,5,0,0,0.101419,0,0,4,1,2,1,0,1.01,1,0,0,0.001481,2.02,0,0,0,0,0,0.00166,1.03,0.003567,3,2,0.039834,0,clean
0,0,0.006706,0,0,8.14056,0,0,0,0,60,0,0,0.206728,0,0.000762,14,20,5,2,0,0,276,1.01,0,0.000598,3.03,9,0,9,0,0,0,2.07,0.002537,90,22,0.031407,0,clean
7,0,0.067433,0.001685,0.00149,9.57998,0,2.03,0,0,30,0.003022,1.01,0.2679,0,0.001986,14,0,3,1,0,0,78,1.01,0.001492,0.012575,4.07,9,0,9,0,1.02,0,3.04,0.006107,21,4,0.063506,0.005078,buggy
1,0.005532,0.063615,0.00345,0.003252,12.2306,0,1.01,3,0,22,0.001161,3.03,0.341364,1.01,0,6,0,1,5,0.000797,0,66,0,0.002801,0.016136,3.06,5,0,3,0,3.05,0,0,0.003842,0,9,0.085691,0.003662,clean
0,0.00243,0.010836,0,0,3.11109,0,0,0,0,2,0,0,0.100341,0,0.002859,3,8,3,2,0,0,1,1.07,0,0.004532,0,2,0,2,0,0,0,1.06,0,39,2,0.038692,0,clean
0,0.007082,0.024357,0,0,4.02695,0,0,0,0,1,0,0,0.09399,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.01,0,18,1,0.000503,0,buggy
0,0.014049,0.043605,0.002945,0.0007,19.1174,0,0,9,0,6,0,1.01,0.481436,6.06,0,1,0,1,17,0.011634,0,21,0,0.000752,0.010829,2.02,2,0,2,0,2.02,0,0,0.002884,0,4,0.046112,0.003152,clean
1,0.00494,0.369512,0.003367,0.003396,25.1599,0,7.22,2,0,53,0.003867,7.38,0.623979,0,0,10,0,2,9,0,1.01,406,0,0.002315,0.014049,11.22,6,0,1,0,6.17,0.00037,2.03,0.009579,3,4,0.046519,0.007577,buggy
2,0,0.00455,0,0,5.77294,0,0,2,0,10,0,0,0.167957,0,0.008453,7,7,2,0,0,0,15,2.02,0,0.004532,0,1,0,0,0,0,0,4.06,0,32,2,0.03939,0,buggy
7,0,0.019358,0,0,7.26892,0,0,0,0,30,0,0,0.188027,0,0,12,0,1,1,0,0,36,0,0,0.005824,1.02,3,0,2,0,0,0,1.01,0.000729,6,2,0.034363,0,clean
0,0.001762,0.012883,0.001076,0.00151,9.37455,0,0,0,0,15,0,1.02,0.251853,0,0,4,0,3,2,0,0,28,0,0.00156,0.001411,0,5,0,5,0,1.01,0,1.01,0,23,8,0.043453,0.001378,clean
0,0.00135,0.003968,0,0,6.42599,0,0,0,0,10,0,0,0.168539,0,0,8,0,2,4,0,0,28,0,0,0.004532,0,1,0,0,0,0,0,1.01,0,20,8,0.031381,0,clean
0,0,0.002317,0,0,5.98276,0,0,18,0,4,0,0,0.159804,7.1,0,1,0,5,0,0.003135,1.01,6,0,0,0,0,1,0,1,0,0,0.000706,2.03,0,16,3,0.034432,0,clean
0,0,0.00475,0,0,5.65358,0,0,46,0,3,0,0,0.13134,13.13,0,0,0,1,0,0.018413,0,3,0,0,0.000789,0,0,0,0,0,0,0,1.01,0,6,3,0.000587,0,clean
0,0,0.028313,0,0,4.77474,0,0,0,0,14,0,0,0.143885,0,0,4,0,1,1,0,0,28,0,0,0.006883,0,5,0,5,0,0,0,0,0,0,2,0.040995,0,clean
18,0,0.24729,0.001089,0.000273,11.5775,0,2.07,0,0,92,0.002564,1.04,0.326755,0,0.001986,29,2,5,2,0,0,406,1.01,0.000547,0.012517,2.11,15,0,15,0,1.01,0,4.35,0.002189,75,7,0.054811,0.002885,clean
0,0,0.002636,0,0,6.41569,0,0,0,0,3,0,0,0.169334,0,0,1,0,1,0,0,0,1,0,0,0.004997,0,0,0,0,0,0,0,0,0,0,2,0.034357,0,clean
0,0,0.039517,0,0,16.1857,0,0,0,0,5,0,0,0.429977,0,0,5,0,1,1,0,0,10,0,0,0.015601,2.02,4,0,4,0,0,0,0,0.001874,0,1,0.101605,0.00887,clean
0,0.001075,0.003336,0,0,4.50833,0,0,0,0,5,0,0,0.126122,0,0,0,0,1,1,0,0,15,0,0,0,0,2,0,2,0,0,0,1.01,0,6,5,0.03137,0,clean
0,0,0.037745,0,0,5.82803,0,0,0,0,9,0,0,0.203738,0,0,8,0,1,1,0,0,1,0,0,0.013434,0,0,0,0,0,0,0,0,0,7,2,0.111609,0,clean
6,0.006355,0.106021,0.002406,0.001406,19.2704,0,1.02,2,0,65,0.000711,2.02,0.561836,1.01,0,13,0,1,4,0.002064,0,253,0,0.007673,0.0203,3.05,5,0,3,1,3.03,0,1.05,0.004771,30,10,0.162104,0.007859,clean
0,0,0.009116,0,0.002596,4.0222,0,0,0,0,4,0,1.01,0.137003,0,0,1,0,1,0,0,0,3,0,0.003064,0.007821,1.01,1,0,1,0,0,0,0,0.003995,0,1,0.067993,0.004216,buggy
0,0,0.005149,0,0,3.05459,0,0,1,0,10,0,0,0.103073,0,0,2,0,1,2,0,0,21,0,0,0,0,3,0,2,0,0,0,0,0,0,2,0.048942,0,clean
1,0,0.026678,0,0,12.8088,0,0,0,0,15,0,0,0.34727,0,0,4,2,2,0,0,0,10,0,0,0.006593,3.04,0,0,0,0,0,0,2.02,0.003696,7,1,0.055539,0,clean
6,0.019025,0.036498,0.001089,0,8.4335,0,1.01,11,0,68,0.000867,0,0.223727,6.06,0,6,0,1,20,0.012254,0,406,0,0,0.007511,1.01,5,0,5,0,1.01,0,1.01,0.000928,6,21,0.041134,0.001128,clean
7,0,0.046009,0,0.007749,4.3791,0.003417,1.04,0,0,30,0.003473,2.03,0.175778,0,0,5,0,1,1,0,0,66,0,0.0084,0.018591,1.04,13,0,11,0,0,0,0,0.002771,0,1,0.139632,0.011959,clean
0,0,0.040444,0,0,9.58809,0,2.02,0,0,13,0.001557,0,0.257069,0,0,6,2,2,0,0,0,10,0,0,0.00752,1.01,0,0,0,0,0,0,2.02,0.000928,7,1,0.046032,0.001128,clean
4,0,0.093037,0,0,8.24327,0,0,2,0,13,0,0,0.228435,0,0,3,0,1,1,0,0,66,0,0,0.000947,1.01,6,0,5,0,0,0,1.01,0.000547,6,5,0.043708,0,buggy
0,0,0.000075,0,0,1.76682,0,0,0,0,1,0,0,0.061715,0,0.000882,0,3,2,0,0,0,0,1.03,0,0,0,0,0,0,0,0,0,5.08,0,20,1,0.033928,0,clean
0,0,0.003447,0,0,5.98814,0.005949,0,0,0,0,0,0,0.189977,0,0,0,0,1,6,0,0,0,0,0.006809,0,0,11,0,0,0,0,0,1.01,0,6,1,0.087151,0,buggy
1,0.002837,0.08323,0.001076,0.00151,15.3807,0,1.01,0,0,13,0.00337,1.02,0.428461,2.02,0,3,0,1,1,0.001591,0,55,0,0.00156,0.014227,2.03,3,0,3,0,1.04,0,0,0.00244,0,5,0.121265,0.013715,clean
1,0.000732,0.011532,0.000777,0.002713,10.231,0,0,2,0,19,0,1.01,0.264389,0,0.002952,5,1,4,4,0,0,55,2.02,0.001748,0.006078,1.01,4,0,3,0,1.01,0,4.07,0.001011,65,10,0.042078,0.000777,clean
2,0.000807,0.01644,0,0,10.9524,0,1.02,0,0,5,0.000784,0,0.283022,0,0,6,0,2,2,0,0,10,0,0,0.008038,4.04,3,0,2,0,0,0,8.18,0.005485,28,1,0.042665,0.00237,clean
1,0.016667,0.020496,0.002273,0.002392,13.3755,0,1.01,0,0,27,0.000253,3.05,0.330495,2.02,0,9,0,1,7,0.000772,0,78,0,0.00164,0.00419,3.04,4,0,2,0,3.03,0,1.05,0.002823,30,12,0.032299,0.003129,clean
0,0.001689,0.002624,0,0,6.42599,0,0,0,0,3,0,0,0.168539,0,0.000966,2,2,8,4,0,0,6,1.01,0,0,0,1,0,1,0,0,0,6.13,0,219,4,0.031381,0,clean
0,0.000611,0.010288,0,0,4.8313,0,0,0,0,8,0,0,0.130281,0,0,1,0,1,2,0,0,1,0,0,0.000578,0,1,0,1,0,0,0,0,0,0,2,0.033993,0,clean
1,0,0.025599,0,0,11.4311,0,0,0,0,24,0,0,0.293069,0,0,9,2,3,1,0,0,66,0,0,0.008044,2.02,3,0,3,0,0,0,0,0.001418,19,9,0.04934,0,buggy
4,0,0.016912,0.001766,0.001799,4.82617,0,0,0,0,16,0,1.01,0.148137,0,0,6,0,1,1,0,0,45,0,0.001649,0.006883,0,2,0,2,0,1.04,0,0,0,6,6,0.044745,0.00182,clean
0,0.0027,0.013479,0.002033,0,6.41247,0,0,0,0,6,0,0,0.18365,0,0,2,0,2,6,0,0,15,0,0,0.001925,1.01,3,0,3,0,1.02,0,3.07,0.002143,24,6,0.041567,0.00211,clean
0,0.002586,0.025081,0.000909,0,17.5389,0,0,2,0,4,0,0,0.450224,0,0.001203,5,7,3,0,0,0,6,1.01,0,0.009088,3.03,0,0,0,0,1.01,0,3.03,0.004044,32,1,0.049022,0.002174,clean
2,0,0.010498,0,0,6.13795,0,0,0,0,18,0,0,0.167716,0,0,8,0,1,1,0,0,66,0,0,0.004997,0,6,0,6,0,0,0,0,0,0,10,0.035156,0,clean
2,0,0.070179,0.002705,0,3.03875,0,1.02,0,0,34,0.002741,0,0.102722,0,0,6,0,1,2,0,0,36,0,0,0.002386,1.01,1,0,1,0,1.03,0,0,0.002338,6,7,0.04901,0.00285,buggy
1,0,0.024539,0,0,16.0268,0,1.01,1,0,11,0.001242,0,0.421753,0,0.001203,4,6,2,2,0,0,21,1.01,0,0.010688,1.01,1,0,0,1,0,0,3.03,0.001815,26,4,0.05262,0.001267,clean
0,0.001649,0.06121,0.001226,0.001256,11.181,0,0,0,0,56,0,2.02,0.273962,0,0.001305,9,33,4,5,0,0,325,2.02,0.001272,0.006553,3.03,10,1,10,1,2.03,0,4.11,0.003339,78,24,0.031444,0.001342,clean
0,0,0.00701,0,0,6.25954,0,0,3,0,4,0,0,0.187686,1.01,0.001203,2,7,4,1,0.001402,0,6,1.01,0,0.003404,0,0,0,0,0,0,0,1.01,0,36,2,0.048477,0,clean
0,0,0.003184,0,0,4.91442,0,0,0,0,9,0,0,0.148539,0,0,4,3,3,2,0,1.01,21,0,0,0.006676,0,3,0,2,0,0,0.001015,1.01,0,9,4,0.042564,0,clean
0,0,0.00582,0,0,1.56044,0,0,0,0,8,0,0,0.052586,0,0,2,13,5,1,0,0,28,0,0,0.003115,0,1,0,0,0,0,0,2.04,0,80,7,0.024708,0,clean
0,0,0.00127,0,0,2.98549,0,0,0,0,10,0,0,0.089567,0,0,6,0,1,1,0,0,15,0,0,0.004997,1.01,8,0,8,0,0,0,0,0.001563,0,6,0.033976,0,buggy
2,0.007774,0.08726,0.001708,0.001228,15.0607,0,1.01,5,0,70,0.001809,2.04,0.40016,0,0,12,0,3,10,0,0,595,0,0.001726,0.010756,3.03,15,0,13,0,1.04,0,1.02,0.004691,14,16,0.051975,0.003359,clean
2,0,0.003018,0,0,3.17095,0,0,0,0,15,0,0,0.098286,0,0,3,0,1,1,0,0,21,0,0,0.004997,0,2,0,2,0,0,0,0,0,6,5,0.035415,0,clean
3,0,0.014798,0,0,6.08326,0,0,0,0,21,0,0,0.178371,0,0,7,0,1,3,0,0,10,0,0,0.006457,1.04,0,0,0,0,0,0,0,0.002006,0,2,0.043326,0,clean
29,0,0.168814,0.001933,0.002717,9.50088,0,1.11,2,0,74,0.00068,2.08,0.276775,0,0,15,0,1,0,0,0,820,0,0.001815,0.009388,2.02,15,0,10,0,2.16,0,2.17,0.003049,9,12,0.060442,0.002415,clean
2,0.008619,0.146628,0.00333,0,23.0493,0,4.05,0,0,74,0.004075,0,0.637645,0,0,15,0,1,12,0,0,28,0,0,0.027221,6.1,0,0,0,1,4.07,0,1.01,0.009715,6,6,0.13037,0.003818,buggy
13,0,0.013351,0,0,6.31854,0,0,0,0,62,0,0,0.185109,0,0,8,0,1,6,0,0,595,0,0,0.006676,0,11,0,11,0,0,0,0,0,0,19,0.04405,0,clean
11,0.000727,0.37033,0,0,35.7287,0,5.07,1,2,115,0.01019,0,0.959499,1.01,0,43,0,1,3,0,0,231,0,0,0.043495,13.23,6,0,6,4,0,0,0,0.017899,0,2,0.188175,0.010806,buggy
9,0.000807,0.093952,0.001853,0.002585,15.7846,0,2.04,0,0,73,0.00187,3.07,0.405879,0,0.001986,31,2,5,1,0,0,378,1.01,0.002701,0.014015,3.06,5,1,5,1,2.02,0,5.37,0.0037,73,11,0.045946,0.003086,clean
4,0,0.034693,0,0.000754,11.0213,0,1.01,0,0,42,0.000763,1.01,0.298719,0,0,17,0,1,2,0,0,28,0,0.000366,0.00922,4.09,2,0,2,0,0,0,1.01,0.005433,6,4,0.045629,0.000828,clean
0,0,0.00005,0,0,1.76682,0,0,0,0,4,0,0,0.061715,0,0,1,5,3,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,14,3,0.033928,0,clean
0,0,0.002385,0,0,2.5349,0,0,0,0,1,0,0,0.061041,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.01,0,6,1,0.000487,0,clean
3,0.003713,0.022498,0.000603,0,14.1511,0,0,0,0,32,0,0,0.360466,0,0,10,0,1,4,0,0,21,0,0,0.005172,3.06,0,0,0,0,1.01,0,1.01,0.003522,6,4,0.040125,0.000638,clean
0,0,0.113067,0,0,8.70423,0,0,0,0,29,0,0,0.232212,0,0,0,0,1,0,0,0,21,0,0,0,0,5,0,3,0,0,0,0,0,0,1,0.044415,0,clean
20,0,0.35218,0,0.002692,18.4647,0,3.04,0,0,143,0.015798,2.02,4.43194,0,0.008453,38,7,2,1,0,0,351,2.02,0.002518,0.038056,8.08,3,1,3,3,0,0,4.06,0.02469,32,2,0.241672,0.009202,buggy
0,0,0.0002,0,0,1.76682,0,0,0,0,6,0,0,0.061715,0,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0.033928,0,clean
0,0.000722,0,0.000422,0.000488,0,0,1.08,2,0,11,0.000617,1.09,0,0,0,2,0,2,1,0,1.01,1,0,0.000443,0.000567,1.02,0,0,0,0,1.04,0.000295,1.09,0.000666,9,1,0,0.000551,clean
0,0,0.003928,0,0,3.15995,0,0,0,0,2,0,0,0.098123,0,0,2,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,2,0.0309,0,clean
0,0,0.002561,0,0,6.41569,0,0,0,0,3,0,0,0.169334,0,0,0,2,2,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,8,1,0.034357,0,clean
1,0.00243,0.017314,0,0.001922,5.02919,0.001215,0,0,0,7,0,1.02,0.157739,0,0.002859,3,1,2,1,0,1.01,21,1.01,0.001995,0.002222,0,2,0,2,0,0,0.0023,1.04,0,4,5,0.052183,0,clean
8,0,0.16008,0.002267,0.01013,32.4055,0,8.15,0,0,47,0.011482,7.07,0.877723,0,0.004845,16,1,4,1,0,0,136,2.02,0.009112,0.023277,11.14,4,0,4,2,3.03,0,6.1,0.018977,39,5,0.152441,0.015431,clean
0,0.006368,0.014598,0.004757,0,5.81133,0,0,0,0,33,0,0,0.178762,0,0,2,0,1,17,0,0,28,0,0,0.010166,0,0,0,0,1,2.02,0,0,0,6,8,0.057388,0.004826,clean
21,0,0.1664,0.003559,0.001431,11.6025,0,2.13,0,0,126,0.003055,1.07,0.321663,0,0.001986,35,2,5,2,0,0,780,1.01,0.001351,0.011496,3.06,18,0,18,0,2.03,0,5.37,0.005404,74,9,0.054952,0.005037,clean
16,0,0.104276,0.002434,0,19.4569,0,3.05,0,0,113,0.00389,0,0.560133,0,0.001986,26,2,5,1,0,0,595,1.01,0,0.0235,3.03,3,0,3,0,1.04,0,5.37,0.005444,72,10,0.150287,0.004544,clean
10,0.005917,0.172599,0,0.001799,14.1924,0,3.05,0,0,50,0.003542,1.01,0.423048,0,0.001986,14,0,1,1,0,0,120,1.08,0.001649,0.011714,3.09,13,0,13,1,0,0,1.01,0.003853,6,3,0.141875,0.004248,buggy
2,0,0.039411,0,0,5.87009,0,0,0,0,34,0,0,0.178441,0,0,15,13,5,1,0,0,136,0,0,0.003115,0,6,0,6,0,0,0,2.04,0,80,11,0.049263,0,clean
0,0,0.575244,0,0,58.1518,0.103737,0,0,0,0,0,0,5.64663,0,0,0,0,1,0,0,0,0,0,0.173397,0,0,2169,0,1,7,0,0,0,0,0,0,0.595488,0,buggy
2,0.002187,0.000574,0,0,1.76682,0,0,0,0,13,0,0,0.061715,0,0,1,0,1,3,0,0,10,0,0,0.004997,0,1,0,1,0,0,0,0,0,0,3,0.033928,0,clean
0,0,0.015483,0,0,12.2006,0,1.01,0,0,19,0.000753,0,0.300266,0,0,6,4,3,1,0,0,3,0,0,0.006277,1.04,0,0,0,0,0,0,3.03,0.000825,21,1,0.034588,0.000661,clean
2,0,0.002156,0,0,3.20019,0,0,0,0,9,0,0,0.101264,0,0,2,0,1,2,0,0,6,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0.03766,0,clean
9,0,0.028944,0,0.002354,10.3932,0,0,0,0,60,0,1.07,0.300803,0,0.00199,10,5,2,1,0,0,55,2.03,0.002689,0.00948,0,9,0,7,0,0,0,3.08,0,50,2,0.068497,0,clean
2,0,0.001721,0,0,1.76682,0,0,0,0,25,0,0,0.061715,0,0,3,0,1,6,0,0,55,0,0,0.004997,0,8,0,1,0,0,0,0,0,6,9,0.033928,0,clean
0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,5,2,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,12,3,0,0,clean
2,0,0.016594,0,0,3.76631,0,0,0,0,17,0,0,0.107617,0,0.001406,8,14,3,1,0,0,15,1.03,0,0,0,2,0,2,0,0,0,1.01,0,17,4,0.03402,0,clean
0,0.002907,0.017182,0.000909,0,5.77253,0,0,0,0,5,0,0,0.161748,0,0,7,0,1,6,0,0,1,0,0,0.003147,2.02,0,0,0,0,1.01,0,0,0.002586,6,2,0.033326,0.001095,clean
1,0.000986,0.0146,0,0,14.5709,0,0,2,0,14,0,0,0.42749,0,0,5,0,1,0,0,0,3,0,0,0.010085,3.03,0,0,0,4,0,0,0,0.00427,0,2,0.100945,0,clean
1,0,0.02465,0.002932,0.001922,14.7404,0,1.01,0,0,33,0.00236,1.01,0.393407,0,0,12,1,3,0,0,0,231,0,0.001995,0.012611,0,1,0,1,0,2.02,0,12.22,0,72,8,0.056304,0.005409,buggy
0,0,0.012925,0,0,5.82803,0,0,0,0,3,0,0,0.203738,0,0,3,0,1,1,0,0,1,0,0,0.006958,0,0,0,0,0,0,0,0,0,7,2,0.111609,0,clean
0,0.010388,0.026478,0.004217,0.006046,12.178,0,0,2,0,28,0,4.04,0.316429,0,0,0,0,1,10,0,0,378,0,0.004611,0.005498,0,14,0,14,0,4.08,0,3.03,0,16,28,0.054665,0.005302,clean
0,0,0.000499,0,0,1.56044,0,0,0,0,3,0,0,0.052586,0,0,2,0,6,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,20,3,0.024708,0,clean
0,0,0.00015,0,0,1.76682,0,0,0,0,2,0,0,0.061715,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2.02,0,7,1,0.033928,0,clean
2,0.000731,0.039654,0,0,11.8849,0,0,0,0,12,0,0,0.327927,0,0,2,0,1,0,0,0,55,0,0,0.008872,0,8,0,8,1,0,0,0,0,0,5,0.100611,0.00887,clean
6,0,0.109524,0.002033,0.000835,16.789,0,1.01,0,0,40,0.000665,1.06,0.434841,0,0.001986,17,2,5,1,0,0,120,1.01,0.000904,0.009101,4.05,9,0,9,0,1.01,0,5.37,0.006357,72,8,0.048534,0.002819,clean
0,0,0.000324,0,0,1.76682,0,0,0,0,4,0,0,0.061715,0,0,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.033928,0,clean
