@relation synapse-1.2_deleteColumns-weka.filters.unsupervised.attribute.Remove-R4-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.Remove-R17-weka.filters.unsupervised.attribute.Remove-R11-weka.filters.unsupervised.attribute.Remove-R13-weka.filters.unsupervised.attribute.Remove-R7-weka.filters.unsupervised.attribute.Remove-R6-weka.filters.unsupervised.attribute.Remove-R6

@attribute dit numeric
@attribute noc numeric
@attribute lcom numeric
@attribute ca numeric
@attribute ce numeric
@attribute dam numeric
@attribute moa numeric
@attribute cam numeric
@attribute ic numeric
@attribute amc numeric
@attribute max_cc numeric
@attribute bug {1,0}

@data
1,0,245,13,4,0.666667,1,0.194286,0,5.961538,4,0
1,0,4,1,6,1,0,0.333333,0,17.75,5,1
3,0,3,0,13,0,0,0.555556,0,46.333333,9,0
1,0,143,2,17,0,0,0.181818,0,21.956522,5,0
1,0,0,1,13,1,0,0.3125,0,137.8,50,0
1,0,781,18,0,1,0,0.297674,0,4.883721,1,0
1,0,99,0,28,1,0,0.314286,0,32.733333,19,1
3,0,13,50,21,1,0,0.366667,2,35.166667,8,1
3,0,3,0,7,0,0,0.555556,0,14.333333,3,0
1,0,0,7,6,1,0,0.583333,0,28.8,5,1
1,0,3,2,10,1,0,0.6,0,31,9,0
3,0,60,24,12,1,0,0.25,1,25.3125,29,1
1,0,0,2,0,0,0,1,0,0,1,0
2,0,2,0,6,1,0,0.666667,0,21.5,7,0
2,0,216,2,29,0.692308,3,0.203571,0,28.107143,17,1
2,0,4,0,10,1,0,0.666667,0,32,6,0
5,0,3,2,5,0,0,0.5,0,5,1,0
1,0,9,3,5,1,0,0.566667,0,19.571429,5,0
1,0,0,9,1,0,0,1,0,0,1,0
4,0,3,83,0,1,0,0.777778,0,4.333333,0,1
2,1,0,1,12,0,0,0.5,2,43.5,9,0
1,0,15,0,10,0,0,0.361111,0,4.833333,1,0
1,0,1,0,11,1,0,0.666667,0,64.333333,11,0
1,1,0,2,19,1,0,0.5,0,47,4,0
3,0,8,0,3,1,0,0.357143,3,24,1,1
1,0,0,1,0,0,0,1,0,0,1,0
3,0,2,0,11,1,0,0.666667,0,51.25,15,0
1,0,11,1,16,0.777778,1,0.333333,0,37.833333,13,1
1,0,0,1,6,1,2,0.5,0,28.8,4,0
1,0,4,2,20,1,0,0.416667,0,96.8,1,1
1,0,0,0,0,0,0,0,0,0,0,0
3,0,2,0,9,1,0,0.666667,0,52.75,16,0
1,0,1,1,4,1,2,0.5,0,11.666667,3,1
1,0,0,3,9,1,2,0.25,0,7.6,1,0
1,0,11,3,13,1,3,0.316667,0,21.181818,14,0
1,0,3,2,2,0,0,0.666667,0,0,1,0
1,0,0,1,5,1,1,0.625,0,16,1,0
2,0,3,0,10,0,0,0.555556,0,17.666667,4,0
3,0,3,0,11,0,0,0.555556,0,47.333333,10,0
2,0,0,2,6,1,2,0.375,0,26,15,1
1,0,0,2,0,1,0,1,0,5.333333,1,0
3,0,4,0,5,1,0,0.666667,0,6.5,1,0
1,0,0,15,9,1,0,0.333333,0,13.5,1,0
2,0,135,1,4,1,1,0.201058,0,16.136364,16,1
1,0,9,1,4,1,0,0.2,0,27.166667,1,1
1,0,8,1,10,1,0,0.3125,0,23.2,6,0
1,0,9,7,1,1,0,0.475,0,13.5,2,0
1,0,1,6,2,0,0,0.666667,0,0,1,0
3,0,6,0,9,0,0,0.583333,2,7.75,1,0
1,0,15,12,1,0,0,0.458333,0,0,1,0
3,0,6,4,8,1,0,0.75,0,30.6,9,0
1,0,0,4,3,1,0,0.5,0,24.5,7,0
2,0,4,0,9,1,0,0.5,0,73,28,0
1,0,5,1,9,0.75,0,0.416667,0,46.142857,23,0
1,0,174,11,21,1,2,0.333333,0,28.12,11,1
2,0,0,2,8,1,1,0.270833,0,19.625,6,1
1,0,35,4,3,0.666667,1,0.266667,0,3.3,1,0
2,0,1,1,1,0,0,0.75,0,4,1,0
1,0,3,2,8,1,0,0.6,0,37,10,0
2,1,61,3,11,1,2,0.333333,1,19.133333,18,0
3,0,349,1,11,1,0,0.164835,1,29.740741,11,0
2,0,3,0,7,0,0,0.555556,0,12.666667,3,0
3,0,3,0,8,0,0,0.555556,0,14,3,0
3,0,4,0,5,1,0,0.666667,0,6.25,1,0
2,0,2,0,8,1,0,0.666667,0,51.5,14,0
3,0,1,6,2,0,0,0.75,0,3.5,1,0
2,0,6,0,10,0,0,0.4,0,113,18,0
2,0,2,0,11,1,0,0.666667,0,46.25,14,0
2,0,3,0,11,0,0,0.555556,0,74,13,0
1,0,20,0,27,1,1,0.333333,0,37.875,2,1
1,0,1,3,2,0,0,0.75,0,0,1,0
1,0,0,1,12,0.75,1,0.270833,0,68.142857,39,1
2,0,54,1,14,1,1,0.21875,1,8.583333,1,0
1,0,1,6,2,0,0,0.555556,0,7.833333,1,0
3,0,13,1,11,1,0,0.4,2,99.333333,15,1
1,0,26,8,2,0.428571,1,0.375,0,6,1,0
2,0,0,2,13,1,0,0.242857,0,19.8,9,1
1,0,28,4,0,0,0,1,0,0,1,0
2,0,4,0,4,1,0,0.666667,0,5.5,1,0
2,0,88,2,16,0.888889,0,0.205357,0,17.823529,12,0
1,0,51,1,29,1,2,0.192308,0,35.071429,17,1
1,0,4,4,9,1,0,0.4,0,31.75,6,0
2,0,2,0,14,1,0,0.666667,0,38,8,0
1,0,0,3,2,0,0,1,0,0,1,0
3,0,3,0,8,0,0,0.555556,0,14,3,0
1,0,2,1,18,1,0,0.333333,0,147.5,40,0
1,4,9,17,4,1,0,0.333333,0,30.142857,7,0
2,0,0,2,16,1,1,0.5,0,65.75,27,1
2,0,0,4,7,1,1,0.4,1,16.166667,2,0
1,0,32,0,24,1,0,0.270833,0,24.666667,7,1
1,0,22,0,11,1,0,0.4,0,37.777778,1,1
2,0,1,1,13,0,0,0.75,1,43,6,1
2,0,90,3,12,1,3,0.190789,0,32.3,34,1
2,0,2,1,6,1,0,0.625,0,39.4,5,0
3,0,1,1,1,0,0,0.777778,2,13.333333,2,0
1,0,21,48,1,0,0,0.428571,0,0,1,1
1,0,1,1,8,1,0,0.5,0,15.333333,3,1
1,0,0,2,9,1,1,0.28,0,29.090909,3,0
2,0,1,1,10,0,0,0.75,1,18,3,0
1,0,1931,9,37,0.967742,5,0.109091,0,20.164179,49,1
2,0,3,0,11,1,0,0.555556,0,75.333333,16,1
1,19,10,19,7,1,0,0.45,0,26.8,5,0
1,0,29,8,7,1,2,0.3,0,9.928571,9,0
1,0,87,1,1,1,0,0.361111,0,9.666667,1,0
3,0,4,0,5,1,0,0.666667,0,6.5,1,0
1,0,1,4,0,0,0,1,0,28.5,0,1
3,0,3,0,7,0,0,0.555556,0,14.333333,3,0
1,0,0,1,8,1,1,0.533333,0,35.666667,1,0
2,0,3,0,12,0,0,0.555556,0,30.333333,8,0
1,1,13,1,9,1,0,0.375,0,31.142857,20,0
2,0,3,0,10,0,0,0.555556,0,35.666667,9,0
2,0,3,0,12,0,0,0.555556,0,47,11,1
2,0,1,0,6,0,0,0.75,0,9,1,0
2,0,14,2,8,0.714286,1,0.3,0,30.916667,30,1
2,0,1,1,11,0,0,0.75,1,30.5,4,0
2,0,8,1,11,1,1,0.4375,2,42.8,12,0
1,0,9,3,4,1,0,0.3,0,78.571429,12,1
2,1,58,3,14,1,0,0.333333,0,56,16,1
1,0,1,2,4,0,0,0.5,0,9.5,2,0
1,0,0,1,0,1,0,0.428571,0,14.285714,7,0
1,0,0,4,7,1,0,0.314815,0,23.1,6,1
1,0,6,7,5,0.125,0,0.34375,0,24.222222,3,1
1,0,10,3,9,1,0,0.583333,0,27.4,1,0
1,0,1,10,1,0,0,0.75,0,0,1,0
1,0,6,6,1,0,0,0.7,0,0,1,0
1,0,3,1,10,1,0,0.266667,0,34.5,8,1
1,0,0,0,0,0,0,1,0,3,0,0
3,0,52,2,9,1,3,0.218487,1,30.058824,21,1
1,1,0,1,1,1,0,0.666667,0,4.333333,1,0
1,0,0,1,0,0,0,1,0,0,1,0
1,0,2,1,10,1,0,0.333333,0,23.25,4,0
1,0,13,2,3,1,2,0.4,0,8,3,1
2,0,1,1,16,0,0,0.75,1,71.5,8,1
1,6,26,10,23,1,0,0.371429,0,41.5,19,1
1,0,8,2,20,1,0,0.3,0,31.8,15,1
2,0,27,2,19,1,3,0.192593,0,22.466667,13,1
2,2,12,4,9,0,0,0.678571,0,86.125,23,1
1,0,4,1,6,1,1,0.5,0,6.25,2,0
1,18,22,18,16,1,0,0.346939,0,21,5,0
2,0,3,0,13,0,0,0.555556,0,41.666667,8,0
2,0,135,2,23,0.818182,2,0.304762,0,23.227273,22,1
1,0,3,10,1,0,0,0.666667,0,0,1,0
1,0,0,4,10,1,1,0.3125,0,43.666667,7,1
2,7,1,7,5,0,0,0.666667,0,19,3,0
1,0,1,2,11,1,0,0.5,0,28,7,0
1,0,2,2,10,1,0,0.333333,0,34.75,12,0
1,0,0,1,0,0,0,1,0,0,1,0
1,0,22,1,1,1,2,0.288889,0,6.888889,4,0
1,0,0,3,0,0.6,0,0.446429,0,7.642857,4,0
1,0,1,2,2,0,0,0.75,0,0,1,0
2,2,47,8,13,0.666667,0,0.255102,0,30.357143,7,1
2,0,4,0,10,1,0,0.666667,0,42,15,0
1,0,0,2,2,0,0,1,0,0,1,0
3,0,4,0,5,1,0,0.666667,0,6.25,1,0
3,0,3,2,5,0,0,0.833333,1,23.666667,8,1
1,0,1326,72,10,0,0,0.126603,0,0,1,0
3,0,8,1,6,1,1,0.5,2,14.8,3,1
4,0,4,0,7,1,0,0.555556,1,10.75,1,1
3,0,3,1,4,0,0,0.555556,0,10,2,0
1,0,15,1,7,1,0,0.4,0,33.857143,12,1
1,0,0,0,12,0.25,0,0.5,0,24.6,1,0
3,0,4,4,8,0,0,0.5,0,46,10,0
1,0,231,2,0,0,0,0.204545,0,0,1,0
1,0,1,2,9,1,0,0.5,0,51.333333,11,0
1,0,5,2,3,0.75,1,0.3,0,11,2,0
1,0,3,2,9,1,0,0.6,0,32.333333,8,0
1,0,0,1,0,0,0,1,0,0,1,0
1,0,5,1,6,0.25,0,0.3,0,25.5,4,0
2,1,13,2,6,1,1,0.45,2,22,6,1
2,0,4,1,4,1,1,0.444444,1,11.5,3,0
2,0,4,1,11,1,1,0.444444,1,28,6,1
2,0,6,0,10,1,0,0.5,0,84.2,30,0
2,0,2,0,10,1,0,0.666667,0,62.75,19,0
2,0,2,0,7,1,0,0.666667,0,14.75,3,0
1,0,0,3,6,1,0,0.583333,0,20.75,5,1
1,6,49,11,18,1,0,0.2625,0,50.363636,35,0
2,0,175,4,18,1,3,0.25974,1,18.608696,23,0
1,0,2,1,12,1,0,0.333333,0,29.5,6,0
3,0,1,1,12,0,0,0.555556,2,26.333333,3,0
2,0,3,1,12,0,0,0.5,1,32.666667,7,0
1,0,697,27,20,0.909091,2,0.135008,0,18.3,8,1
3,0,4,0,5,1,0,0.666667,0,6.25,1,0
2,7,1,7,7,0,0,0.5,0,22,3,0
3,0,1,2,3,0,0,0.666667,2,52,7,1
1,0,0,0,0,0,0,1,0,3,0,0
2,0,4,0,9,1,0,0.666667,0,36.25,11,1
2,0,10,2,14,0.666667,1,0.238095,0,34.75,27,1
2,0,1,0,8,0,0,0.75,0,22,1,0
1,0,0,3,6,1,1,0.333333,0,36.285714,3,1
2,0,1,5,6,0,0,0.75,0,24,5,1
2,0,3,0,9,0,0,0.555556,0,15.666667,4,0
3,0,1,2,8,0,0,0.75,1,56,11,1
2,0,3,0,8,0,0,0.555556,0,28.333333,8,0
1,0,0,0,0,0,0,1,0,3,0,0
1,0,1,2,6,1,0,0.5,0,7.333333,1,0
1,0,10,2,12,1,1,0.190476,0,28,4,0
2,0,168,2,24,1,1,0.188,0,28.64,16,1
1,0,0,2,32,1,0,0.371429,0,102,7,1
2,0,2,0,13,1,0,0.666667,0,40,5,0
1,0,28,5,28,0,0,0.2,0,55.875,6,1
2,0,2,0,13,1,0,0.666667,0,51.75,12,0
1,0,1,2,4,0,0,0.5,0,15.5,3,1
1,0,0,1,0,0,0,0.625,0,26,1,0
2,0,6,0,14,1,0,0.555556,0,37.75,10,0
1,0,1,1,11,1,0,0.5,0,46.333333,12,0
1,0,8,3,4,1,1,0.314286,0,8.5,3,1
1,0,8,14,9,1,0,0.4375,0,14.2,2,0
1,0,378,25,21,1,2,0.111241,0,11.557377,11,1
1,0,0,2,0,0,0,1,0,0,1,0
2,0,2,0,6,1,0,0.666667,0,10.75,3,0
1,0,6,6,3,0,0,0.6875,0,0,1,0
2,0,27,6,9,0.833333,1,0.4,1,20.333333,7,0
2,0,34,4,9,0.375,0,0.258929,0,28.6875,8,1
1,0,0,5,3,1,0,0.6,0,56.2,9,0
1,0,1,11,3,0,0,1,0,7,0,1
1,0,6,78,1,0,0,0.5,0,0,1,0
1,0,15,5,9,0,0,0.5,0,23.333333,4,0
1,0,25,1,4,0.97561,0,0.271429,0,114.545455,10,1
2,0,2,0,9,1,0,0.666667,0,89.25,23,1
1,0,0,0,0,0,0,1,0,3,0,0
3,0,3,2,5,0,0,0.833333,1,22.333333,8,1
1,0,5,0,9,1,1,0.392857,0,14.571429,5,0
2,0,3,0,10,0,0,0.555556,0,34.666667,11,0
1,0,49,10,13,1,0,0.154762,0,61.6,12,1
2,0,4,1,4,1,1,0.444444,1,9.5,2,0
1,0,0,1,2,1,1,0.458333,0,8.666667,1,0
