@relation 'data/M_multi_metrics_PDE.csv-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R2-6,9,11-15,18,20,24-26,28,30,33,35-43,47,49-55,58-61'

@attribute ck_oo_numberOfPrivateMethods numeric
@attribute CvsWEntropy numeric
@attribute LDHH_numberOfPublicMethods numeric
@attribute LDHH_numberOfPrivateAttributes numeric
@attribute ck_oo_noc numeric
@attribute numberOfCriticalBugsFoundUntil: numeric
@attribute LDHH_numberOfPrivateMethods numeric
@attribute CvsLogEntropy numeric
@attribute WCHU_noc numeric
@attribute LDHH_numberOfAttributesInherited numeric
@attribute ck_oo_numberOfAttributesInherited numeric
@attribute ck_oo_dit numeric
@attribute LDHH_noc numeric
@attribute WCHU_dit numeric
@attribute WCHU_numberOfAttributesInherited numeric
@attribute numberOfHighPriorityBugsFoundUntil: numeric
@attribute ck_oo_numberOfPrivateAttributes numeric
@attribute numberOfMajorBugsFoundUntil: numeric
@attribute LDHH_dit numeric
@attribute ck_oo_numberOfMethodsInherited numeric
@attribute ck_oo_numberOfPublicMethods numeric
@attribute class {buggy,clean}

@data
0,0.010836,0,0,0,0,0,0.100341,0,0.002859,8,3,0,0,1.07,0,2,0,0,39,2,clean
0,0.024357,0,0,0,0,0,0.09399,0,0,1,2,0,0,0,0,0,0,0,18,1,buggy
0,0.043605,0.002945,0.0007,9,0,0,0.481436,6.06,0,0,1,0.011634,0,0,0,2,0,0,0,4,clean
1,0.369512,0.003367,0.003396,2,0,0.003867,0.623979,0,0,0,2,0,1.01,0,0,1,0,0.00037,3,4,buggy
2,0.00455,0,0,2,0,0,0.167957,0,0.008453,7,2,0,0,2.02,0,0,0,0,32,2,buggy
7,0.019358,0,0,0,0,0,0.188027,0,0,0,1,0,0,0,0,2,0,0,6,2,clean
0,0.012883,0.001076,0.00151,0,0,0,0.251853,0,0,0,3,0,0,0,0,5,0,0,23,8,clean
0,0.003968,0,0,0,0,0,0.168539,0,0,0,2,0,0,0,0,0,0,0,20,8,clean
0,0.002317,0,0,18,0,0,0.159804,7.1,0,0,5,0.003135,1.01,0,0,1,0,0.000706,16,3,clean
0,0.00475,0,0,46,0,0,0.13134,13.13,0,0,1,0.018413,0,0,0,0,0,0,6,3,clean
0,0.028313,0,0,0,0,0,0.143885,0,0,0,1,0,0,0,0,5,0,0,0,2,clean
18,0.24729,0.001089,0.000273,0,0,0.002564,0.326755,0,0.001986,2,5,0,0,1.01,0,15,0,0,75,7,clean
0,0.002636,0,0,0,0,0,0.169334,0,0,0,1,0,0,0,0,0,0,0,0,2,clean
0,0.039517,0,0,0,0,0,0.429977,0,0,0,1,0,0,0,0,4,0,0,0,1,clean
0,0.003336,0,0,0,0,0,0.126122,0,0,0,1,0,0,0,0,2,0,0,6,5,clean
0,0.037745,0,0,0,0,0,0.203738,0,0,0,1,0,0,0,0,0,0,0,7,2,clean
6,0.106021,0.002406,0.001406,2,0,0.000711,0.561836,1.01,0,0,1,0.002064,0,0,0,3,1,0,30,10,clean
0,0.009116,0,0.002596,0,0,0,0.137003,0,0,0,1,0,0,0,0,1,0,0,0,1,buggy
0,0.005149,0,0,1,0,0,0.103073,0,0,0,1,0,0,0,0,2,0,0,0,2,clean
1,0.026678,0,0,0,0,0,0.34727,0,0,2,2,0,0,0,0,0,0,0,7,1,clean
6,0.036498,0.001089,0,11,0,0.000867,0.223727,6.06,0,0,1,0.012254,0,0,0,5,0,0,6,21,clean
7,0.046009,0,0.007749,0,0,0.003473,0.175778,0,0,0,1,0,0,0,0,11,0,0,0,1,clean
0,0.040444,0,0,0,0,0.001557,0.257069,0,0,2,2,0,0,0,0,0,0,0,7,1,clean
4,0.093037,0,0,2,0,0,0.228435,0,0,0,1,0,0,0,0,5,0,0,6,5,buggy
0,0.000075,0,0,0,0,0,0.061715,0,0.000882,3,2,0,0,1.03,0,0,0,0,20,1,clean
0,0.003447,0,0,0,0,0,0.189977,0,0,0,1,0,0,0,0,0,0,0,6,1,buggy
1,0.08323,0.001076,0.00151,0,0,0.00337,0.428461,2.02,0,0,1,0.001591,0,0,0,3,0,0,0,5,clean
1,0.011532,0.000777,0.002713,2,0,0,0.264389,0,0.002952,1,4,0,0,2.02,0,3,0,0,65,10,clean
2,0.01644,0,0,0,0,0.000784,0.283022,0,0,0,2,0,0,0,0,2,0,0,28,1,clean
1,0.020496,0.002273,0.002392,0,0,0.000253,0.330495,2.02,0,0,1,0.000772,0,0,0,2,0,0,30,12,clean
0,0.002624,0,0,0,0,0,0.168539,0,0.000966,2,8,0,0,1.01,0,1,0,0,219,4,clean
0,0.010288,0,0,0,0,0,0.130281,0,0,0,1,0,0,0,0,1,0,0,0,2,clean
1,0.025599,0,0,0,0,0,0.293069,0,0,2,3,0,0,0,0,3,0,0,19,9,buggy
4,0.016912,0.001766,0.001799,0,0,0,0.148137,0,0,0,1,0,0,0,0,2,0,0,6,6,clean
0,0.013479,0.002033,0,0,0,0,0.18365,0,0,0,2,0,0,0,0,3,0,0,24,6,clean
0,0.025081,0.000909,0,2,0,0,0.450224,0,0.001203,7,3,0,0,1.01,0,0,0,0,32,1,clean
2,0.010498,0,0,0,0,0,0.167716,0,0,0,1,0,0,0,0,6,0,0,0,10,clean
2,0.070179,0.002705,0,0,0,0.002741,0.102722,0,0,0,1,0,0,0,0,1,0,0,6,7,buggy
1,0.024539,0,0,1,0,0.001242,0.421753,0,0.001203,6,2,0,0,1.01,0,0,1,0,26,4,clean
0,0.06121,0.001226,0.001256,0,0,0,0.273962,0,0.001305,33,4,0,0,2.02,1,10,1,0,78,24,clean
0,0.00701,0,0,3,0,0,0.187686,1.01,0.001203,7,4,0.001402,0,1.01,0,0,0,0,36,2,clean
0,0.003184,0,0,0,0,0,0.148539,0,0,3,3,0,1.01,0,0,2,0,0.001015,9,4,clean
0,0.00582,0,0,0,0,0,0.052586,0,0,13,5,0,0,0,0,0,0,0,80,7,clean
0,0.00127,0,0,0,0,0,0.089567,0,0,0,1,0,0,0,0,8,0,0,0,6,buggy
2,0.08726,0.001708,0.001228,5,0,0.001809,0.40016,0,0,0,3,0,0,0,0,13,0,0,14,16,clean
2,0.003018,0,0,0,0,0,0.098286,0,0,0,1,0,0,0,0,2,0,0,6,5,clean
3,0.014798,0,0,0,0,0,0.178371,0,0,0,1,0,0,0,0,0,0,0,0,2,clean
29,0.168814,0.001933,0.002717,2,0,0.00068,0.276775,0,0,0,1,0,0,0,0,10,0,0,9,12,clean
2,0.146628,0.00333,0,0,0,0.004075,0.637645,0,0,0,1,0,0,0,0,0,1,0,6,6,buggy
13,0.013351,0,0,0,0,0,0.185109,0,0,0,1,0,0,0,0,11,0,0,0,19,clean
11,0.37033,0,0,1,2,0.01019,0.959499,1.01,0,0,1,0,0,0,0,6,4,0,0,2,buggy
9,0.093952,0.001853,0.002585,0,0,0.00187,0.405879,0,0.001986,2,5,0,0,1.01,1,5,1,0,73,11,clean
4,0.034693,0,0.000754,0,0,0.000763,0.298719,0,0,0,1,0,0,0,0,2,0,0,6,4,clean
0,0.00005,0,0,0,0,0,0.061715,0,0,5,3,0,0,0,0,0,0,0,14,3,clean
0,0.002385,0,0,0,0,0,0.061041,0,0,0,1,0,0,0,0,0,0,0,6,1,clean
3,0.022498,0.000603,0,0,0,0,0.360466,0,0,0,1,0,0,0,0,0,0,0,6,4,clean
0,0.113067,0,0,0,0,0,0.232212,0,0,0,1,0,0,0,0,3,0,0,0,1,clean
20,0.35218,0,0.002692,0,0,0.015798,4.43194,0,0.008453,7,2,0,0,2.02,1,3,3,0,32,2,buggy
0,0.0002,0,0,0,0,0,0.061715,0,0,0,1,0,0,0,0,0,0,0,6,2,clean
0,0,0.000422,0.000488,2,0,0.000617,0,0,0,0,2,0,1.01,0,0,0,0,0.000295,9,1,clean
0,0.003928,0,0,0,0,0,0.098123,0,0,0,6,0,0,0,0,0,0,0,20,2,clean
0,0.002561,0,0,0,0,0,0.169334,0,0,2,2,0,0,0,0,1,0,0,8,1,clean
1,0.017314,0,0.001922,0,0,0,0.157739,0,0.002859,1,2,0,1.01,1.01,0,2,0,0.0023,4,5,clean
8,0.16008,0.002267,0.01013,0,0,0.011482,0.877723,0,0.004845,1,4,0,0,2.02,0,4,2,0,39,5,clean
0,0.014598,0.004757,0,0,0,0,0.178762,0,0,0,1,0,0,0,0,0,1,0,6,8,clean
21,0.1664,0.003559,0.001431,0,0,0.003055,0.321663,0,0.001986,2,5,0,0,1.01,0,18,0,0,74,9,clean
16,0.104276,0.002434,0,0,0,0.00389,0.560133,0,0.001986,2,5,0,0,1.01,0,3,0,0,72,10,clean
10,0.172599,0,0.001799,0,0,0.003542,0.423048,0,0.001986,0,1,0,0,1.08,0,13,1,0,6,3,buggy
2,0.039411,0,0,0,0,0,0.178441,0,0,13,5,0,0,0,0,6,0,0,80,11,clean
0,0.575244,0,0,0,0,0,5.64663,0,0,0,1,0,0,0,0,1,7,0,0,0,buggy
2,0.000574,0,0,0,0,0,0.061715,0,0,0,1,0,0,0,0,1,0,0,0,3,clean
0,0.015483,0,0,0,0,0.000753,0.300266,0,0,4,3,0,0,0,0,0,0,0,21,1,clean
2,0.002156,0,0,0,0,0,0.101264,0,0,0,1,0,0,0,0,1,0,0,0,2,clean
9,0.028944,0,0.002354,0,0,0,0.300803,0,0.00199,5,2,0,0,2.03,0,7,0,0,50,2,clean
2,0.001721,0,0,0,0,0,0.061715,0,0,0,1,0,0,0,0,1,0,0,6,9,clean
0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,12,3,clean
2,0.016594,0,0,0,0,0,0.107617,0,0.001406,14,3,0,0,1.03,0,2,0,0,17,4,clean
0,0.017182,0.000909,0,0,0,0,0.161748,0,0,0,1,0,0,0,0,0,0,0,6,2,clean
1,0.0146,0,0,2,0,0,0.42749,0,0,0,1,0,0,0,0,0,4,0,0,2,clean
1,0.02465,0.002932,0.001922,0,0,0.00236,0.393407,0,0,1,3,0,0,0,0,1,0,0,72,8,buggy
0,0.012925,0,0,0,0,0,0.203738,0,0,0,1,0,0,0,0,0,0,0,7,2,clean
0,0.026478,0.004217,0.006046,2,0,0,0.316429,0,0,0,1,0,0,0,0,14,0,0,16,28,clean
0,0.000499,0,0,0,0,0,0.052586,0,0,0,6,0,0,0,0,0,0,0,20,3,clean
0,0.00015,0,0,0,0,0,0.061715,0,0,0,2,0,0,0,0,0,0,0,7,1,clean
2,0.039654,0,0,0,0,0,0.327927,0,0,0,1,0,0,0,0,8,1,0,0,5,clean
6,0.109524,0.002033,0.000835,0,0,0.000665,0.434841,0,0.001986,2,5,0,0,1.01,0,9,0,0,72,8,clean
0,0.000324,0,0,0,0,0,0.061715,0,0,0,1,0,0,0,0,0,0,0,0,1,clean
20,0.303933,0.003214,0.003973,0,0,0.004533,0.566813,0,0.001986,0,3,0,0,1.01,0,15,0,0,21,8,clean
10,0.169126,0.01157,0.004857,2,0,0.003837,0.769653,6.07,0,0,1,0.00788,0,0,1,9,2,0,4,39,clean
0,0.022374,0,0,0,0,0,0.203738,0,0,0,1,0,0,0,0,0,0,0,7,2,clean
0,0.004124,0,0,0,0,0,0.169334,0,0,0,1,0,0,0,0,0,0,0,6,2,clean
0,0.006953,0,0.000775,0,0,0,0.203375,0,0,0,1,0,0,0,0,1,0,0,0,2,clean
2,0.027621,0,0,0,0,0,0.157739,0,0,0,1,0,0,0,0,2,0,0,0,1,clean
0,0.082586,0.001652,0.001148,9,0,0.001211,0.199282,5.07,0,0,1,0.003122,0,0,0,0,0,0,6,5,clean
9,0.008913,0,0.000835,4,0,0,0.223539,0,0,0,1,0,0,0,0,7,0,0,16,11,clean
0,0.004118,0,0,0,0,0,0.169334,0,0,0,1,0,0,0,0,3,0,0,6,10,clean
9,0.063676,0,0,0,0,0,0.272807,0,0,0,1,0,0,0,0,0,0,0,0,0,buggy
0,0.005532,0,0,0,0,0,0.200341,0,0,0,1,0,0,0,0,5,0,0,11,6,clean
0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,12,2,clean
2,0.127705,0.001908,0.00387,0,0,0.006726,0.608177,0,0.015217,32,1,0,0,14.19,0,10,1,0,0,21,buggy
0,0.00005,0,0,3,0,0,0.061715,1.01,0,0,4,0.000873,0,0,0,0,0,0,32,2,clean
34,0.078306,0,0.001855,0,0,0.001242,0.167073,0,0,0,3,0,0,0,0,13,0,0,21,5,buggy
0,0.012827,0.004276,0,0,0,0,0.28814,0,0,0,1,0,0,0,0,1,0,0,17,12,buggy
0,0.002763,0,0,0,0,0,0.250493,0,0.00164,4,8,0,0,2.02,0,1,0,0,160,3,clean
0,0.016626,0.000909,0.000997,0,0,0,0.250397,0,0,2,3,0,0,0,0,3,0,0,25,4,clean
2,0.012684,0,0,0,0,0,0.240212,0,0.034517,11,1,0,0,9.16,0,8,0,0,0,18,clean
6,0.040315,0.001796,0.000752,0,0,0.001537,0.398501,0,0,4,3,0,0,0,0,1,0,0,21,5,clean
0,0.002796,0,0,0,0,0,0.129062,0,0.001175,5,3,0,0,1.01,0,1,0,0,14,3,clean
1,0.142096,0.000811,0.002062,0,0,0.00206,0.496521,0,0,0,1,0,0,0,0,2,1,0,0,2,clean
7,0.010933,0,0,0,0,0,0.100676,0,0,0,1,0,0,0,0,6,0,0,7,5,clean
4,0.029797,0,0,0,0,0,0.267058,0,0,0,1,0,0,0,0,1,0,0,6,7,buggy
3,0.038878,0.002932,0.001922,0,0,0.00236,0.44291,0,0,1,3,0,0,0,0,1,2,0,72,5,buggy
0,0.018395,0,0,0,0,0,0.13686,0,0,0,2,0,0,0,0,0,0,0,9,5,clean
1,0.011331,0,0,0,0,0,0.19472,0,0,0,2,0,0,0,0,1,0,0,18,5,clean
0,0.012017,0.000845,0,0,0,0,0.110934,0,0.001175,6,3,0,0,1.01,0,0,0,0,17,2,clean
1,0.007312,0,0.000835,0,0,0,0.238731,0,0,0,1,0,0,0,0,4,0,0,0,6,clean
0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,21,2,clean
0,0.000195,0,0,2,0,0,0.06092,0,0,110,6,0,0,0,0,1,0,0,415,9,clean
0,0.000078,0,0,0,0,0,0.06092,0,0,0,3,0,0,0,0,0,0,0,14,2,clean
0,0.01532,0.001513,0.000754,0,0,0,0.239563,0,0.001644,3,3,0,1.01,2.08,0,1,0,0.000742,33,6,clean
7,0.086154,0.000828,0.003627,0,0,0.003314,0.513978,0,0,0,2,0,0,0,0,5,0,0,29,4,buggy
0,0.011226,0,0,0,0,0,0.153661,0,0,6,5,0,0,0,0,1,0,0,71,3,clean
1,0.087613,0.00129,0.002148,0,1,0,0.325697,0,0,0,1,0,0,0,0,5,1,0,6,12,buggy
0,0.148072,0.000811,0,0,0,0,0.327386,0,0,0,1,0,0,0,0,0,1,0,6,9,clean
0,0,0,0.009864,0,0,0,0,0,0,0,1,0,0,0,0,20,0,0,0,4,clean
3,0.03079,0.00117,0,4,0,0,0.186014,5.08,0,0,1,0.003887,0,0,0,5,0,0,6,2,clean
0,0.006282,0.000702,0,0,0,0,0.163964,0,0,0,1,0,0,0,0,0,0,0,6,4,clean
14,0.147613,0.002696,0.001096,0,0,0.000842,0.445294,0,0,0,1,0,0,0,0,23,1,0,0,4,clean
1,0.023859,0,0,0,0,0,0.13686,0,0,0,1,0,0,0,0,2,0,0,0,4,clean
0,0.01111,0,0,0,0,0,0.209902,0,0,4,3,0,0,0,0,1,0,0,44,9,clean
0,0.000249,0,0,2,0,0,0.061715,0,0,0,1,0,0,0,0,2,0,0,6,9,clean
0,0.016804,0,0.000835,0,0,0,0.301471,0,0,0,2,0,0,0,0,3,0,0,28,1,clean
9,0.037003,0,0,0,0,0,0.370556,0,0,0,1,0,0,0,0,6,1,0,0,2,clean
3,0.024371,0,0,0,0,0,0.211703,0,0,0,1,0,0,0,0,0,0,0,6,0,clean
0,0.030922,0.002124,0,0,0,0,0.259914,0,0,0,1,0,0,0,0,0,0,0,6,11,clean
0,0.023639,0,0,0,0,0,0.184515,0,0,6,2,0,0,0,0,0,0,0,11,2,clean
1,0.097614,0.001402,0.002213,0,0,0.000691,0.435284,0,0.000816,6,3,0,1.01,1.06,1,2,0,0.000222,15,4,clean
17,0.185011,0.000549,0.001283,0,0,0.001419,0.458825,0,0.001986,0,3,0,0,1.01,0,4,1,0,22,6,clean
1,0.010854,0.000828,0,1,0,0,0.209368,0,0.001986,1,4,0,0,1.01,0,3,0,0,63,8,clean
1,0.18421,0.002611,0.000788,3,0,0.000763,0.426508,0,0.002762,0,1,0,0,3.11,0,0,1,0,0,1,clean
4,0.318937,0.001047,0.008392,2,0,0.004429,0.701512,1.01,0,0,1,0.000763,0,0,0,15,0,0,6,8,buggy
1,0.003156,0,0.000835,0,0,0,0.198359,0,0,0,1,0,0,0,0,5,0,0,0,4,clean
9,0.147213,0.002434,0.002243,0,1,0.003172,0.44699,0,0,0,1,0,0,0,0,11,1,0,6,6,clean
0,0.010267,0,0,0,0,0,0.075144,0,0,0,2,0,0,0,0,0,0,0,29,2,clean
0,0.000531,0,0,0,0,0,0.095785,0,0,0,1,0,0,0,0,0,0,0,0,1,clean
0,0.000234,0,0,0,0,0,0.06092,0,0,4,9,0,0,0,0,1,0,0,228,3,clean
0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,34,6,clean
3,0.013786,0,0,0,0,0,0.21865,0,0,0,1,0,0,0,0,0,0,0,6,2,clean
4,0.29679,0,0.006629,0,0,0.006104,0.520802,0,0,0,1,0,0,0,0,2,2,0,0,8,buggy
10,0.007602,0,0,0,0,0,0.169334,0,0.001986,0,3,0,0,1.01,0,8,0,0,21,8,clean
0,0.013328,0,0.001571,0,0,0,0.298623,0,0,0,1,0,0,0,0,4,1,0,6,3,buggy
0,0.006721,0,0,23,0,0,0.095785,7.1,0,5,2,0.012079,0,0,0,0,0,0,12,1,clean
1,0.013579,0,0,0,0,0,0.122015,0,0,0,3,0,0,0,0,1,0,0,16,1,clean
0,0.012896,0,0,0,0,0,0.180782,0,0,0,1,0,0,0,0,0,0,0,7,2,clean
0,0.004754,0,0,0,0,0,0.098855,0,0,0,1,0,0,0,0,1,0,0,6,2,clean
3,0.011118,0,0,0,0,0,0.070979,0,0,0,1,0,0,0,0,0,0,0,6,2,buggy
4,0.01178,0,0,0,0,0,0.226977,0,0,0,2,0,0,0,0,1,0,0,18,5,clean
0,0.000374,0,0,0,0,0,0.061715,0,0,0,1,0,0,0,0,4,0,0,6,7,clean
10,0.072387,0.001076,0.003002,2,0,0.001272,0.21678,0,0,0,1,0,0,0,0,9,0,0,0,9,clean
0,0.003156,0,0,0,0,0,0.088687,0,0,5,3,0,0,0,0,0,0,0,14,2,clean
0,0.014074,0,0,0,0,0,0.138856,0,0.007109,2,3,0,0,1.01,0,1,0,0,54,1,clean
9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,1,clean
4,0.043682,0,0,0,0,0.001485,0.508446,0,0,0,1,0,0,0,0,1,0,0,6,2,clean
0,0.00885,0,0,0,0,0,0.168658,0,0,0,1,0,0,0,0,1,0,0,0,4,clean
0,0.002766,0,0,1,0,0,0.159804,2.02,0,0,1,0.001065,0,0,0,0,0,0,10,4,clean
0,0.004795,0,0,1,0,0,0.194515,1.01,0.001237,1,4,0.000201,0,1.01,0,0,0,0,31,2,clean
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,5,clean
7,0.021139,0.001764,0,0,0,0.0006,0.2527,0,0,0,1,0,0,0,0,4,0,0,6,10,buggy
0,0.000125,0,0,0,0,0,0.061715,0,0,1,2,0,0,0,0,0,0,0,5,2,clean
0,0,0,0,0,0,0,0,0,0.007109,2,3,0,0,1.01,0,1,0,0,54,1,clean
3,0.019649,0,0.000706,0,0,0.00068,0.36862,0,0,0,1,0,0,0,0,4,0,0,0,5,clean
0,0.021594,0,0.000788,0,0,0.000763,0.237853,0,0.003937,1,2,0,0,4.15,0,0,0,0,5,1,clean
0,0.003501,0,0,0,0,0,0.096281,0,0,4,5,0,0,0,0,1,0,0,64,3,clean
1,0.057229,0,0.002119,0,0,0,0.100815,0,0,0,1,0,0,0,0,6,0,0,0,3,clean
0,0.024412,0,0,0,0,0,0.186302,0,0,1,4,0,0,0,0,2,0,0,34,2,clean
0,0.020661,0.002795,0,0,0,0,0.355037,0,0,0,1,0,0,0,0,0,0,0,0,3,clean
0,0.002511,0,0,2,0,0,0.123336,0,0,1,3,0,0,0,0,0,0,0,30,3,clean
1,0.006385,0,0,0,0,0,0.13759,0,0,2,4,0,0,0,0,0,0,0,35,3,clean
0,0.018729,0,0.001799,0,0,0,0.31008,0,0,0,1,0,0,0,0,1,0,0,6,1,clean
10,0.062796,0,0.001053,0,0,0.000825,0.361356,0,0,0,1,0,0,0,0,13,0,0,6,4,buggy
0,0.000773,0,0,0,0,0,0.061715,0,0,0,1,0,0,0,0,2,0,0,0,4,clean
0,0.005431,0.001574,0,0,0,0,0.099881,0,0,0,1,0,0,0,0,4,0,0,6,5,clean
6,0.031842,0,0.001283,0,0,0,0.383475,0,0,0,2,0,0,0,0,5,0,0,28,2,clean
1,0.075962,0.00625,0.004805,4,1,0.002096,0.365311,3.03,0,5,5,0.010151,0,0,0,1,2,0,66,7,clean
0,0.024918,0,0,10,0,0,0.138856,1.01,0.00428,62,4,0.000709,0,2.17,0,1,0,0,312,10,clean
1,0.019338,0.0009,0.000997,0,0,0.001086,0.115222,0,0,0,1,0,0,0,0,2,0,0,0,4,clean
0,0.05088,0.000828,0,0,0,0,0.533881,0,0,0,2,0,0,0,0,2,0,0,28,2,clean
2,0.032386,0.001076,0.00226,2,0,0.001176,0.13874,0,0,0,2,0,0,0,0,2,0,0,10,6,clean
0,0.024678,0,0,0,0,0.000819,0.417368,0,0,0,2,0,0,0,0,1,0,0,6,1,clean
10,0.08281,0.002642,0,0,0,0.002472,0.508653,0,0.005881,14,1,0,0,4.06,0,2,0,0,6,8,clean
14,0.562202,0.015773,0.004557,0,1,0.005095,0.884783,0,0.001237,1,3,0,1.02,1.01,1,14,1,0,24,8,buggy
3,0.103651,0.002275,0.001922,0,0,0.006177,0.565657,0,0,0,3,0,1.01,0,0,1,0,0.000693,37,2,buggy
1,0.028826,0,0,1,0,0,0.336625,0,0.000539,7,2,0,0,1.01,0,1,0,0,41,9,clean
1,0.056409,0.004368,0.000775,0,0,0.000747,0.324418,0,0.000311,7,2,0,0,1.01,0,6,0,0,23,19,clean
1,0.002845,0,0,2,0,0,0.133715,0,0,0,1,0,0,0,0,0,0,0,6,0,clean
0,0.036407,0.00117,0,7,0,0,0.314288,3.03,0.004977,0,3,0.010111,1.01,2.02,0,0,0,0.00091,67,2,buggy
0,0.00403,0,0.000835,0,0,0,0.198359,0,0,0,1,0,0,0,0,2,0,0,0,3,clean
0,0.010355,0,0,0,0,0,0.101805,0,0.008453,8,3,0,0,2.02,0,0,0,0,36,1,clean
1,0.000474,0,0,0,0,0,0.061715,0,0,0,1,0,0,0,0,2,0,0,0,4,clean
2,0.090947,0.000702,0.001686,0,0,0,0.365666,0,0,0,1,0,0,0,0,2,0,0,0,4,clean
0,0.003873,0,0,0,0,0,0.169334,0,0,0,1,0,0,0,0,1,0,0,0,2,clean
1,0.002368,0,0,0,0,0,0.09499,0,0,4,3,0,0,0,0,5,0,0,42,15,clean
0,0.02007,0,0.004076,3,2,0,0.406026,1.01,0.00164,4,7,0.001423,0,2.02,1,5,2,0,120,16,buggy
0,0.003618,0,0,0,0,0,0.096281,0,0,4,5,0,0,0,0,1,0,0,64,3,clean
3,0.04396,0,0,0,0,0,0.183033,0,0,1,2,0,0,0,0,2,0,0,14,4,clean
0,0.019705,0.002716,0,0,0,0,0.254391,0,0,0,1,0,0,0,0,0,1,0,6,7,buggy
1,0.010617,0.00053,0.000942,0,0,0,0.196003,0,0,1,3,0,0,0,0,1,0,0,30,3,clean
1,0.007647,0,0,0,0,0,0.167761,0,0,0,1,0,0,0,0,0,0,0,6,1,clean
11,0.105636,0,0.001276,0,0,0.000784,0.38367,0,0.001986,0,3,0,0,1.01,1,10,2,0,21,10,clean
1,0.000723,0,0,0,0,0,0.061715,0,0,0,1,0,0,0,0,2,0,0,0,4,clean
2,0.012767,0,0,0,0,0,0.179524,0,0,13,6,0,0,0,0,0,0,0,82,8,clean
0,0.177304,0,0,0,0,0,0.329377,0,0,0,1,0,0,0,0,4,0,0,0,2,clean
0,0.011136,0,0.000835,0,0,0,0.289658,0,0,0,2,0,0,0,0,2,0,0,28,3,clean
0,0.004106,0,0,0,0,0,0.169334,0,0,0,1,0,0,0,0,0,0,0,6,4,clean
0,0.004057,0,0,1,0,0,0.202284,0,0,0,1,0,0,0,0,2,0,0,0,4,clean
