@relation 'ant-1.6_deleteColumns-weka.filters.unsupervised.attribute.Remove-R1-2,4-9,11-12,14,16'

@attribute noc numeric
@attribute lcom3 numeric
@attribute moa numeric
@attribute cam numeric
@attribute cbm numeric
@attribute amc numeric
@attribute max_cc numeric
@attribute avg_cc numeric
@attribute bug {1,0}

@data
0,0.674074,2,0.25,8,33.375,1,0.8125,1
0,0.25,1,0.555556,1,29,8,3,0
0,2,0,1,0,0,1,1,0
0,0.666667,0,0.533333,0,11.2,1,0.8,0
0,0.771429,0,0.270833,1,25.375,4,1.875,0
0,0.879121,3,0.230769,1,21.5,2,0.9286,1
0,0.386364,0,0.444444,0,18.333333,4,1.5833,1
0,0.6,0,0.666667,0,8,1,0.8333,0
0,2,0,1,2,32.5,4,2,0
0,2,0,0.4,0,0,1,1,0
0,0.673469,1,0.416667,0,31.75,4,1.75,0
0,0.458333,2,0.392857,3,26.857143,5,2.5714,0
0,0,0,0.533333,0,12.6,3,1.2,0
0,0.910256,1,0.595238,2,27,2,1,0
0,2,0,0.642857,0,0,1,1,0
1,0.935532,2,0.207407,3,26.366667,39,2.5,0
0,2,0,0.875,0,4,1,0.75,0
0,2,0,1,0,3,0,0,0
2,0.5,0,0.9,0,25.2,4,1.8,0
0,2,0,1,0,5,0,0,0
0,2,0,0.444444,0,28.333333,1,0.6667,1
0,0.5,0,0.7,0,6.2,1,0.6,0
0,0.937037,1,0.288889,0,37.5625,9,2.6875,0
0,2,0,0.4,0,26.4,6,2.8,0
0,0.428571,1,0.392857,0,10.875,3,0.625,0
0,0.730769,1,0.255102,4,12.928571,2,1.4286,0
0,2,0,1,0,4,0,0,0
0,2,0,1,0,72.5,1,0.5,0
0,2,0,0,0,0,0,0,0
0,0.75,0,0.44,2,15,5,2,0
0,0.912972,5,0.238095,4,29.933333,3,1.1,1
0,0.866071,1,0.163399,1,33.411765,8,1.5294,1
0,2,0,0.666667,1,24.333333,4,1.6667,0
0,2,0,1,0,15.5,1,0.5,0
0,2,0,0.089286,0,0,1,1,0
0,0.714286,0,0.75,0,20.125,4,1.75,0
0,0.7,0,0.416667,3,21.166667,1,0.8333,0
0,0.688889,1,0.119298,4,19.052632,11,1.7368,0
0,0,0,0.75,4,38.5,1,0.5,0
0,0.5,0,0.533333,0,20.2,3,1.4,0
0,0.666667,0,0.342857,2,35.714286,1,0.8571,0
0,0,0,0.666667,1,5.555556,2,1,0
0,0,0,0.666667,0,8,1,0.3333,0
0,2,0,0.714286,4,97,21,5.4286,0
0,1.5,0,0.666667,0,0,1,1,0
0,0.571429,0,0.541667,0,34.5,13,2.375,0
0,2,0,1,0,0,1,1,0
0,1,0,0.5,0,48.666667,1,0.6667,0
0,0.5625,1,0.481481,4,37.222222,8,3.4444,0
0,0.666667,0,0.342857,5,36,8,3,0
0,0.902098,1,0.305556,2,57.916667,3,1.0833,0
0,0.65625,0,0.518519,0,8.333333,1,0.8889,0
0,0.860884,4,0.122222,3,19.5625,2,1.125,1
0,0.333333,0,0.75,0,22.25,1,0.75,0
0,0.631818,0,0.293651,0,27.857143,3,0.8571,1
0,0.651515,0,0.3125,0,29.083333,1,0.8333,0
0,0.666667,0,0.5,0,10.5,1,0.75,0
0,0.785714,0,0.166667,0,45.875,3,1.25,0
1,0.809524,0,0.266667,2,52.6,5,1.4,1
5,0.037037,0,0.079193,0,6.25,4,1.2143,0
0,2,0,0.333333,1,20.5,8,3.5,0
0,1.2,0,0.722222,0,0,1,1,0
0,0.77276,1,0.20625,1,60.4375,26,4.0938,0
0,0.941358,0,0.283333,0,54.054054,29,2.8108,1
0,2,0,1,0,0,1,1,0
0,0.703704,1,0.375,0,6.3,2,1.1,0
0,0.771605,0,0.241071,5,27.964286,16,2.4286,1
0,0.58,0,0.409091,0,15,1,0.7273,0
0,0.25,0,0.7,5,20.2,1,0.6,0
0,0.740741,0,0.45,0,35.1,2,1.1,0
2,0.555556,0,0.5,0,15,4,1.2,0
0,0.782895,0,0.3,3,33.5,6,2,1
0,2,0,0.666667,4,6.666667,2,0.6667,0
1,0.869565,2,0.144144,0,57.236842,5,1.2632,1
0,0.619048,0,0.375,0,27.75,6,1.75,1
0,2,0,1,0,10.5,1,0.5,0
0,0.4,0,0.5,0,21,2,1,0
0,2,0,0,0,0,0,0,1
1,0.75,0,0.7,0,5,1,0.8,0
0,0.555556,0,0.47619,0,14.571429,4,1.4286,0
0,0.833333,0,0.466667,4,32,1,0.6,1
1,0.862857,3,0.175,0,18.361111,12,1.3889,0
0,2,0,0.75,0,0,1,1,0
0,2,0,1,0,0,1,1,0
0,0.628571,1,0.325,0,39.625,1,0.875,1
0,0,2,0.6,0,92,10,5,0
0,0.666667,0,0.75,1,36.75,1,0.75,0
0,0.858333,0,0.14,1,18.451613,5,1.5161,1
0,0.833333,0,0.34,2,50,2,1,1
0,0.428571,0,0.3125,1,21.375,5,2,0
0,0.909091,3,0.171429,0,21.971429,7,1.4,0
0,0.576923,0,0.371429,0,8.571429,3,0.9286,0
0,0.333333,1,0.4,2,30,5,1.75,1
0,0.708333,2,0.285714,2,34.142857,1,0.8571,1
0,0.696429,1,0.311111,2,27.333333,1,0.8,1
0,2,0,1,0,0,1,1,0
0,0.793651,0,0.219048,0,39.466667,3,0.8667,1
0,2,0,1,0,19.5,1,0.5,0
0,0.733333,0,0.5,0,14.333333,1,0.8333,0
0,2,0,0.5,0,0,1,1,0
0,0.729167,0,0.3125,1,22.111111,6,1.4444,1
0,0.625,0,0.342857,1,19.142857,5,1.4286,0
0,2,0,0.533333,0,0,1,1,0
0,0.869048,2,0.169591,0,25.789474,7,1.4737,1
0,2,0,1,0,0,1,1,0
0,0.777778,0,0.47619,5,13.857143,5,1.2857,0
1,0,0,0.666667,0,14.333333,1,0.6667,1
0,0.6,0,0.555556,1,83.5,1,0.8333,1
0,0.583333,2,0.266667,3,23.9,7,2.3,0
0,2,0,0.75,0,0,1,1,0
0,0.84689,4,0.25,2,39.4,25,3.05,1
0,2,0,0.666667,0,14.5,1,0.5,0
0,2,0,0.45,0,32.875,7,2.75,0
0,0.751196,0,0.144628,0,83.565217,50,4.3913,0
0,2,0,1,0,0,1,1,0
0,0.53125,0,0.518519,0,11.777778,3,1.4444,0
0,1,0,0.75,1,23.25,2,1,0
0,0,0,0.458333,1,9,1,0.8333,0
0,2,0,1,0,0,1,1,0
0,0.333333,0,0.5,0,25.75,1,0.75,0
0,0.7,1,0.454545,1,21.363636,2,1.4545,0
0,0.960152,1,0.181818,2,64.055556,8,1.9444,1
0,0.65,0,0.5,0,28.6,5,1.4,1
0,0.8,2,0.6,0,14.333333,3,1.3333,0
0,0.944444,10,0.136905,3,26.988235,13,1.6706,1
0,2,0,1,0,3,0,0,0
0,2,0,0.444444,0,0,1,1,0
0,2,0,0.666667,0,7,4,1.6667,0
2,0.5,0,0.833333,1,7,3,1.3333,0
1,2,0,0.555556,1,16.333333,3,1.6667,0
0,0.666667,0,0.533333,1,18.4,1,0.8,0
0,2,0,0.75,0,29.25,4,1.5,0
0,0.666667,1,0.75,0,13.25,1,0.75,0
0,0.916667,1,0.485714,11,56.428571,12,2.4286,1
0,2,0,0.75,1,9,1,0.5,0
0,2,0,1,0,0,1,1,0
0,0.736842,1,0.284211,0,17.45,3,1.15,0
0,0.833333,0,0.583333,0,16,3,1.5,0
0,0.776316,0,0.2125,0,46.3,3,1.1,1
0,0.541667,0,0.47619,0,28.571429,5,2,1
0,0.833333,1,0.083333,0,10.846154,2,0.9231,0
0,0.809598,0,0.16,1,21.028571,4,1.2,0
0,2,0,1,0,3,0,0,0
0,0.826531,0,0.233333,1,32,6,1.4,1
0,1,0,0.5,0,24.8,1,0.8,0
0,0.85747,1,0.257576,1,126.181818,32,5.6061,0
0,0.845735,6,0.108374,0,31.833333,11,1.9333,1
0,1.01,0,0.22,0,26.636364,4,1.3636,0
0,0.571429,0,0.375,5,20.25,4,1.125,0
0,0.805195,1,0.313043,0,17.869565,8,1.8696,1
0,0,0,0.08,1,6.52,1,0.96,0
0,2,0,0.875,0,3,1,0.75,0
0,0.84,0,0.215909,4,33.909091,8,2.7273,0
0,0.766667,4,0.191919,0,37.909091,7,1.5455,1
0,0,0,0.666667,0,5,1,0.6667,0
0,0.6,0,0.4,1,11.7,1,0.9,0
59,0.866379,4,0.195833,3,9.333333,4,1.2,1
0,2,0,0.666667,0,12.333333,1,0.6667,0
0,0.5,0,0.481481,5,22.666667,1,0.7778,0
0,1,0,0.5,0,47.5,10,3,0
0,0.96875,0,0.5,3,79.666667,12,5.6667,0
0,1,0,0.3,0,18.166667,2,1,0
0,0.928105,1,0.290123,1,26.142857,27,2.5357,1
0,0.816327,0,0.35,4,35.5,11,3.125,0
0,2,0,0.5,0,110,12,6,1
0,0.555556,0,0.47619,5,20,4,1.1429,0
0,2,0,1,0,31.5,1,0.5,0
0,0.703704,1,0.375,4,23.2,5,1.6,0
8,0.730435,9,0.242857,0,43.190476,30,4.0476,1
0,0.333333,0,0.875,1,13.5,5,1.75,0
0,0,0,0.666667,0,10,2,1,0
11,0.666667,1,0.5,0,4.25,1,0.5,0
0,0.333333,0,0.4375,1,19.5,5,2,0
0,0.428571,1,0.25,1,29.8,7,1.9333,1
0,0.727273,5,0.177778,4,35.111111,17,3,1
0,2,0,0.5,0,19.75,1,0.75,0
0,0,0,0.428571,1,11.571429,4,1,0
0,2,0,1,0,0,1,1,0
0,0,1,0.666667,1,6.5,1,0.5,0
2,0.6875,0,0.444444,1,17.555556,1,0.8889,0
0,0.7,2,0.287879,1,25,3,1.9091,1
8,0.333333,1,0.4375,0,3.25,1,0.75,0
0,0.809524,1,0.357143,9,17.25,2,0.875,0
0,1,0,0.5,0,16.5,1,0.5,0
0,0.708333,0,0.47619,5,16.428571,5,1.2857,0
0,0.5,0,0.367347,4,63.571429,14,2.8571,0
0,0.877315,3,0.119048,1,25.892857,22,2.7143,0
0,0.75,3,0.220779,0,7.272727,1,0.7273,0
2,0.814935,6,0.158385,13,42.173913,5,1.3913,1
0,0.855556,0,0.080594,4,20.487805,16,1.6341,1
0,2,0,1,0,21.5,1,0.5,1
0,0.714286,1,0.5,2,26.125,6,1.75,0
1,2,0,0.555556,1,78,8,3,0
0,0.392857,1,0.322222,3,9.333333,2,0.6667,0
0,0.6,0,0.555556,1,210,2,1,0
19,0.25,1,0.45,0,6.2,3,1.2,1
0,2,0,1,2,27,4,2,0
5,0,0,0.102778,0,5.05,1,0.95,0
0,0.712963,0,0.292308,5,30.923077,9,1.4615,1
0,0.333333,1,0.9,0,27.4,5,2.2,0
0,0.7,0,0.555556,0,10.666667,1,0.8333,0
2,0.821429,1,0.377778,1,16,1,0.8889,0
0,0.7,0,0.428571,0,18.142857,1,0.8571,0
1,0.545455,1,0.333333,0,6.333333,3,1.0833,0
0,0,0,0.342857,1,19.857143,4,1,0
0,2,0,0.625,0,0,1,1,0
0,2,0,1,0,0,1,1,0
0,0.333333,0,0.5,0,20.75,1,0.75,0
1,0.952941,3,0.229167,0,5.611111,1,0.9444,0
0,0.75,1,0.327273,1,28.636364,21,3,0
0,0.892308,1,0.3,0,30.727273,5,2.1818,1
0,2,0,0.75,1,2.5,1,0.5,0
2,0.666667,2,0.428571,3,18.285714,4,1.7143,0
0,0.979501,4,0.09087,0,18.81,7,1.4,1
0,0.633333,0,0.242188,0,21.5,5,1.75,1
0,0.964768,6,0.205714,1,10.866667,8,1.4667,1
0,0.8,1,0.35,2,30.833333,10,2.1667,1
0,0.916667,2,0.260417,2,55.25,2,1,1
0,0.333333,0,0.714286,0,13.571429,7,1.4286,0
0,0.8375,1,0.22619,0,23.095238,14,1.7619,1
0,0.5,0,0.5,0,28.333333,1,0.3333,0
0,0.7,0,0.555556,0,10.833333,1,0.8333,1
5,0.4,0,0.5,0,5.333333,3,1.3333,0
0,2,0,0.555556,1,16.333333,3,1.6667,0
0,0,1,0.5,2,10,1,0.6667,0
0,0.571429,0,0.266234,3,29.590909,9,2.9545,1
0,1,0,0.333333,0,43.6,2,1,1
1,0.872727,2,0.24,0,19.230769,7,1.1923,1
0,0.222222,2,0.5,0,32.5,3,1.5,1
33,0.714286,0,0.6875,0,9.625,5,1.5,0
0,2,0,0,0,2052,0,0,0
15,0.714286,1,0.209524,0,10.066667,3,1.2667,0
0,0.666667,1,0.5,0,24,4,2,0
0,1.1,0,0.284091,0,18.636364,8,1.9091,1
0,0.766234,0,0.818182,0,26.166667,3,1.6667,0
0,2,0,0.5,0,5.666667,2,1,0
0,0.75,1,0.5,0,17,2,0.8571,0
6,0.814815,1,0.228571,2,13.8,1,0.8,0
0,0.802885,8,0.213542,7,55.76,2,1,1
0,0.946302,4,0.154167,3,15.625,7,1.375,0
0,0,1,0.666667,1,20.333333,1,0.6667,0
2,0.925,2,0.195122,0,22.536585,10,1.6341,0
0,2,0,0.75,0,0,1,1,0
2,0.684211,0,0.316667,0,25.8,11,3,0
0,0.849817,3,0.318182,2,35.954545,6,1.2727,1
0,0.714286,0,0.346939,0,59.375,11,4,0
1,2,0,0.533333,0,16.2,1,0.8,0
0,0.625,0,0.857143,1,18.571429,1,0.8571,0
0,0.7,2,0.416667,4,35.666667,8,2.6667,0
0,0.697917,0,0.708333,0,25.846154,44,4.0769,0
0,0.666667,1,0.3,1,15.3,3,1.4,0
0,1,0,0.5,0,29.666667,1,0.6667,0
0,0.916364,3,0.153846,0,9.307692,3,1.3077,1
0,2,0,0,0,0,0,0,0
0,0.809524,3,0.196078,0,35.5,10,2.5882,1
0,2,0,0.75,1,4,1,0.5,0
0,0.786667,2,0.25,2,28.6875,4,1.5,0
0,0.311111,0,0.333333,1,10.2,1,0.6,0
1,0.883333,1,0.163462,5,29.44898,12,1.9796,1
0,2,0,1,0,0,1,1,0
1,0.875,0,0.266667,0,16.4,4,1.6,1
0,0.9375,1,0.208333,0,54,47,6.8824,0
0,0.693878,0,0.25,4,43.875,19,5.375,0
0,0.8,1,0.180952,0,22.380952,12,2,1
0,0.64,0,0.555556,2,19.5,1,0.8333,0
0,0.925,0,0.285714,0,81.111111,7,2.2222,1
0,1,0,0.175,0,7.625,3,1.25,0
