@relation 'poi-2.5_deleteColumns-weka.filters.unsupervised.attribute.Remove-R1-2,4-5,7-9,11,14,16-20'

@attribute noc numeric
@attribute lcom numeric
@attribute lcom3 numeric
@attribute dam numeric
@attribute moa numeric
@attribute cam numeric
@attribute bug {1,0}

@data
0,36,1.125,0,0,0.555556,1
0,6,0.875,0.333333,0,0.355556,0
0,219,0.850649,0.857143,0,0.347826,1
0,69,0.74359,0.666667,0,0.321429,1
0,100,0.75,0.888889,3,0.221675,1
0,6,2,0,0,0.5,1
0,0,2,0,0,0,0
0,38,0.822917,0.666667,1,0.27451,0
0,36,1.125,0,0,0.333333,1
0,0,0.25,1,0,0.311111,0
0,3,0.75,1,2,0.333333,0
0,175,0.630952,0,0,0.30303,1
0,106,0.753788,0.909091,7,0.18,1
3,325,1.04,0,0,0.544872,0
0,8,0.821429,0.083333,0,0.642857,1
0,0,2,0,0,0.466667,0
0,6,0.916667,0.666667,2,0.55,1
48,15,1.2,1,0,0.666667,1
0,228,0.770833,0.833333,0,0.251429,1
0,3,2,0,0,0.5,0
0,39,0.851852,0.333333,0,0.283333,1
0,0,0.25,1,0,0.666667,1
0,9,0.25,1,0,0.454545,0
0,32,1.034091,0.125,0,0.35,1
0,0,2,0,0,0,0
0,46,0.818182,0.5,0,0.4,1
0,1,2,0,0,0.5,0
0,4,0.833333,1,1,0.4,0
0,36,1.125,0,0,0.333333,1
0,123,0.659091,1,1,0.267081,1
3,4,0.5,1,0,0.6,1
2,4,0.5,1,0,0.6,1
0,142,0.798246,0.833333,0,0.3,1
0,46,0.818182,0.5,0,0.4,1
0,3,2,0,0,0.833333,0
0,49,0.75,0.5,0,0.516667,1
0,87,0.803571,0.75,0,0.483333,1
0,43,0.85,0.5,0,0.418182,1
0,138,0.827068,0.857143,0,0.36,1
0,11,0.8,1,2,0.541667,0
0,4,0.333333,1,0,0.333333,0
0,36,2,0,0,0.296296,0
0,3214,0.981195,0.483146,34,0.313684,1
0,36,1.125,0.333333,0,0.333333,1
0,36,1.125,0,0,0.333333,1
0,88,0.763158,0.833333,1,0.36,1
0,6,2,0,0,0.666667,1
0,10,2,0,0,0.5,0
1,0,1.125,0,0,0.5,1
0,65,0.74359,0.666667,0,0.4,1
3,84,0.994048,0,2,0.317647,0
0,60,0.333333,0.666667,0,0.212963,0
0,45,1.111111,0.333333,0,0.32,1
0,25,0.8,0.5,0,0.568182,1
0,9,0.722222,1,0,0.166667,1
0,41,0.916667,0,1,0.327273,0
0,41,0.711538,0,0,0.285714,1
0,52,0.933333,0.4,0,0.415385,1
0,54,0.7,0,0,0.3625,0
1,0,2,0,0,1,0
0,57,0.769231,0.666667,0,0.482143,1
0,6,2,0,0,0.666667,1
0,3,2,0,0,0.666667,0
0,22,0.5,0,0,0.244444,1
0,10,2,0,0,0.5,0
0,1,2,0,0,0.5,0
0,0,0.5,1,1,0.7,0
0,38,0.75,0.875,4,0.35,1
0,49,0.85,0.5,0,0.522727,1
0,0,2,0,0,1,0
0,117,0.936364,0.363636,3,0.346154,1
0,46,0.981818,0.2,0,0.5,1
0,244,0.908213,0.444444,0,0.284722,1
0,0,0,1,1,0.6,0
0,45,1.111111,0,0,0.525,1
0,36,0.772727,0.5,0,0.4,1
2,102,0.933333,0.75,1,0.190476,1
0,0,2,0,0,1,0
0,114,0.877193,0.555556,0,0.45,1
0,106,0.354167,1,2,0.144796,0
0,64,0.883333,0.6,0,0.5,1
0,94,0.649123,1,2,0.154545,0
0,6,2,0,0,0.7,0
0,3,2,0,0,0.333333,1
0,46,0.818182,0.5,0,0.4,1
0,3,2,0,0,0.75,0
0,36,1.125,0,0,0.333333,1
0,45,1.111111,0,0,0.525,1
0,0,0.5,1,3,0.198864,0
0,45,2,0,0,0.4,0
0,36,1.125,0,0,0.555556,1
0,114,0.855263,0.625,0,0.45,1
0,0,2,0,0,1,0
0,0,2,0,0,1,0
0,0,0.35,1,0,0.545455,1
0,1,2,0,0,1,0
0,46,0.818182,0.5,0,0.5,1
0,171,1.055556,0,0,0.526316,1
0,0,2,0,0,1,0
0,91,0.776471,0.8,0,0.458333,1
0,46,0.818182,0.5,0,0.4,1
0,1,2,0,0,0.5,0
0,25,0.957143,0.142857,0,0.222222,0
0,511,0.938063,0.625,4,0.239382,1
0,46,0.818182,0.5,0,0.5,1
0,107,0.382353,1,0,0.433333,0
0,0,0,1,0,0.32,0
0,153,0.8,0.888889,2,0.346154,1
0,49,0.975,0.25,0,0.522727,1
0,2749,0.914286,1,5,0.16732,1
0,15,1.2,0,0,0.333333,1
0,45,1.111111,0.333333,0,0.32,1
0,253,2,0,0,0.669565,0
0,6,2,0,0,0.666667,0
0,312,0.909274,0.8125,0,0.265625,0
0,49,1,0.2,0,0.522727,1
0,69,0.769231,0.666667,0,0.482143,1
2,19,0.611111,1,2,0.325,0
0,33,0.866667,0.6,0,0.283333,1
0,0,0,0,0,0.666667,0
0,470,0.863426,0.833333,0,0.219595,1
0,21,0.533333,1,0,0.454545,0
0,3060,0.83906,1,2,0.07963,0
0,15,1.178378,0.054054,2,0.3,1
0,46,0.818182,0.5,0,0.5,1
0,0,0,0,0,0.833333,1
0,6,2,0,0,0.666667,0
0,141,0.957393,0.315789,0,0.443182,1
0,1,2,0,0,0.5,0
0,22,0.885714,0.8,0,0.35,1
0,14,0.785714,0,0,0.325,0
0,651,0.766926,0.705882,1,0.174004,1
0,1,0.670588,0.8,3,0.366667,1
0,0,0.642857,0.5,0,0.46875,1
0,0,2,0,0,1,0
0,82,0.766304,0.875,3,0.35,1
0,4,0.333333,0,0,0.416667,1
0,43,0.85,0.5,0,0.418182,1
0,43,0.85,0,0,0.418182,1
0,49,0.933333,0.333333,0,0.522727,1
1,255,0.924925,0.518519,6,0.331579,1
0,665,0.836957,1,3,0.185619,0
0,0,1.142857,0.5,0,0.35,1
0,0,0.388889,1,0,0.313333,0
0,45,1.111111,0.5,0,0.32,1
0,1,2,0,0,0.5,0
0,46,0.818182,0.5,0,0.4,1
0,0,0.375,0,1,0.369231,1
0,0,0.388889,1,0,0.36,0
0,43,0.85,0.5,0,0.522727,1
0,36,2,0,0,0.314815,0
0,0,1,0.066667,1,0.304762,1
0,0,2,0,0,1,0
0,56,0.777778,0.666667,0,0.5,1
0,46,0.818182,0.5,0,0.4,1
0,3,0.916667,0.5,0,0.283333,1
0,20,0.625,1,0,0.301587,0
0,49,0.85,0.5,0,0.522727,1
0,0,0.757576,0.333333,0,0.277778,0
0,46,1,0.166667,0,0.5,1
0,327,0.775862,0.833333,0,0.216667,1
0,37,0.806723,0.571429,2,0.366667,1
0,3,0.083333,1,1,0.303571,0
0,36,1.125,0,0,0.333333,1
0,4,0.333333,1,0,0.466667,0
0,46,0.818182,0.5,0,0.4,1
0,94,0.897436,0.384615,2,0.262857,1
0,5,0.55,0,2,0.375,1
0,16,0.727273,0.555556,2,0.319444,1
0,4,0.666667,1,0,0.5,0
0,4,0.428571,1,0,0.425,0
0,6,0.75,1,2,0.55,0
0,103,0.848739,0,1,0.472222,1
0,162,0.861702,0.95,12,0.325,1
0,1,0,1,1,0.514286,0
0,6,2,0,0,0.666667,1
0,1362,0.927083,1,1,0.265306,0
18,10,1.25,0,0,0.6,0
0,15,2,0,0,0.666667,1
0,36,1.125,0,0,0.555556,1
0,198,0.841751,1,0,0.383929,1
0,664,0.902083,0.95,8,0.270833,1
0,46,0.818182,0.5,0,0.5,1
0,43,0.85,0.5,0,0.418182,1
0,367,0.854054,0.933333,4,0.276316,1
0,204,0.882609,0.7,1,0.298611,1
0,187,0.747475,0.888889,2,0.198529,1
0,171,0.863889,0.916667,9,0.283333,1
0,36,1.125,0,0,0.333333,1
0,9,0.25,1,0,0.522727,0
0,3,2,0,0,0.333333,0
0,1,0.75,1,0,0.5,0
0,46,0.818182,0.5,0,0.4,1
0,6,2,0,0,0.583333,0
0,0,0.666667,1,2,0.4375,0
0,81,0.764706,0.8,0,0.305556,1
0,3,0.722222,0.5,0,0.4,1
0,0,0,1,1,0.541667,1
0,0,0.566667,1,1,0.272727,0
0,9,1.164242,0.003636,0,0.190476,0
0,49,0.85,0.5,0,0.522727,1
0,0,2,0,0,1,0
0,43,0.85,0.5,0,0.418182,1
1,0,0.125,0,0,0.351852,0
0,3,0.222222,0,0,0.333333,1
3,290,0.962649,1,16,0.175781,0
0,34,0.690909,1,0,0.375,1
0,61,0.807692,0.5,0,0.5,1
0,21,0.564103,0,0,0.297619,1
0,2,0.666667,0.166667,1,0.333333,1
0,54,0.909091,0.333333,0,0.4,1
0,28,0.636364,1,0,0.246753,0
0,105,0.920635,0.4,2,0.253247,1
0,0,1.125,0.25,0,0.583333,0
0,6,2,0,0,0.666667,1
0,54,0.954545,0.25,0,0.5,1
0,0,0.369048,1,1,0.416667,1
0,72,0.791667,0.833333,0,0.268908,1
0,46,0.818182,0.5,0,0.5,1
0,46,0.818182,0.5,0,0.4,1
0,120,1.066667,0,0,0.53125,1
0,15,2,0,0,0.583333,0
0,45,1.111111,0.333333,0,0.32,1
0,19,1.076923,1,0,0.385714,1
0,48,0.818182,1,2,0.5,1
0,10,1.25,0,0,0.55,1
0,0,2,0,0,0,0
0,26,0.857143,0.25,1,0.342857,1
3,0,0.142857,1,0,0.375,0
0,0,0.717391,0.875,6,0.35,1
0,2,0.75,1,2,0.36,0
0,4,0.5,1,0,0.6,0
0,0,0.666667,0.5,0,0.525,1
0,0,0,1,0,0.5,0
0,0,2,0,0,1,1
0,62,0.818182,0.5,0,0.239583,1
0,348,0.843254,0.928571,5,0.279279,1
0,24,0.863636,1,0,0.214286,0
0,54,0.818182,0.5,0,0.5,1
4,44,0.75,1,0,0.3875,1
0,46,0.818182,0.5,0,0.5,1
0,87,0.748276,0.6,4,0.146154,1
0,107,0.794118,0.833333,0,0.458333,1
0,2,0.666667,0,1,0.36,0
1,197,0.813853,0.545455,1,0.369048,1
0,0,0.571429,1,2,0.458333,0
0,114,0.894737,0.5,0,0.45,1
0,331,0.873563,0,0,0.391667,1
0,1,2,0,0,0.75,0
0,6636,0.942356,0.72973,19,0.067187,1
0,0,2,0,0,1,0
0,25,0.8,0.5,0,0.431818,1
0,0,0.571429,1,1,0.25,1
0,595,2,0,0,0.2,1
0,21,1,1,0,0.428571,1
0,1,2,0,0,0.75,0
0,49,0.933333,0.333333,0,0.522727,1
0,45,1.111111,0.333333,0,0.32,1
0,43,0.833333,0.666667,0,0.333333,0
0,10,1.25,0,0,0.5,1
0,0,0.731481,0.75,3,0.198413,1
0,0,0.642857,1,1,0.25641,0
0,33,0.9,0.75,0,0.327273,1
0,15,0.644444,1,0,0.17284,1
0,195,0.875,0.833333,0,0.265432,1
0,221,0.727273,0.75,0,0.304348,1
0,1,0.692308,0.5,0,0.4,1
0,10,1.25,0,0,0.5,1
0,0,0,0,0,0.5,0
0,34,0.854167,0.5,0,0.323077,0
0,66,0.805556,0.666667,0,0.5,1
0,36,1.125,0,0,0.333333,1
16,60,1,0.25,0,0.283333,1
0,9,0.833333,1,5,0.571429,1
0,45,1.111111,0.333333,0,0.32,1
0,49,0.933333,0.333333,0,0.522727,1
0,1491,0.957966,0.487179,0,0.203629,1
0,6,2,0,0,0.75,0
0,109,0.81746,0.857143,1,0.368421,1
0,0,0,1,2,0.5625,1
0,30,0.75,1,1,0.407407,0
0,0,2,0,0,1,0
0,1,2,0,0,0.5,1
0,9,0.944444,0.666667,0,0.428571,1
0,43,0.833333,0.666667,0,0.333333,0
