@relation 'bugzilla-weka.filters.unsupervised.attribute.Remove-R1,2-weka.filters.unsupervised.attribute.Remove-R1-3,12-14'

@attribute entropy numeric
@attribute la numeric
@attribute ld numeric
@attribute lt numeric
@attribute fix numeric
@attribute ndev numeric
@attribute pd numeric
@attribute npt numeric
@attribute bug {1,0}

@data
0,0.008547,0,234,1,29,0,1,0
0,0.00431,0.00431,232,1,29,6,1,1
0,0.038961,0.012987,231,1,28,82,1,1
0,0.004444,0.004444,225,1,27,2,1,1
0,0.035242,0,227,1,27,103,1,1
0.918296,0.000929,0.001857,538.5,1,31,16,1,0
0.845351,0.004062,0.004874,615.5,1,28,2,0.5,0
0.970951,0.002435,0.001623,616,1,28,10,1,1
0,0.004386,0.004386,228,1,25,23,1,0
0.782394,0.028754,0.030152,333.866667,1,31,1270,0.4,1
0.830697,0.02069,0.021165,382.272727,1,29,98,0.454545,1
0.586405,0.051572,0.090776,340.714286,1,28,609,0.785714,1
0,0.002045,0.002045,489,1,24,7,1,1
0.811836,0.01687,0.030303,457.285714,1,27,174,1,1
0.14826,0.011752,0.10203,312,1,25,68,0.833333,1
0,0.002033,0.004065,492,1,22,8,1,0
0.68814,0.022472,0.004494,333.75,1,26,122,1,1
0,0.00616,0,487,1,21,16,1,0
0,0.002058,0.002058,486,1,21,2,1,1
0.76059,0.040719,0.01137,945.5,1,25,10,0.75,1
0.89533,0.043937,0.00703,569,1,26,138,0.833333,1
0.347817,0,0.05905,389.5,1,24,6,1,0
0.959687,0.05522,0.003451,579.5,1,24,35,1,1
0.772507,0.014625,0.007313,547,1,23,3,0.666667,1
0,0.005226,0.001742,574,1,21,1,1,0
0.721928,0.002843,0.000711,703.5,1,23,2,0.5,0
0,0.001748,0.006993,572,1,21,0,1,0
0.791644,0.020937,0.038219,601.8,1,23,9,0.4,1
0.932788,0.008637,0.00802,540.333333,1,23,7,0.666667,1
0.847648,0.048911,0.027498,458.965517,1,26,1464,0.793103,1
0,0.020134,0.015101,596,1,21,2,1,0
0,0.015025,0.136895,599,1,21,14,1,0
0,0.018519,0.033951,648,1,20,4,1,0
0,0.004559,0.00304,658,1,20,3,1,1
0.866108,0.008624,0.008624,554,1,22,322,0.888889,1
0.811278,0,0.005185,771.5,1,22,28,1,0
0,0.00312,0.00312,641,1,20,7,1,1
0,0.00156,0.00624,641,0,20,1,1,1
0.660439,0.017544,0.00135,635.142857,1,21,43,0.857143,1
0,0.036179,0.023155,691,1,19,0,1,1
0,0.055474,0.157664,685,1,19,2,1,1
0,0.004032,0.358871,744,1,19,1,1,0
0,0.001135,0.001135,881,1,19,15,1,0
0,0.001135,0.001135,881,1,19,0,1,1
0,0.031782,0.021566,881,1,19,0,1,1
0,0.000954,0.000954,524,1,19,2,1,1
0,0.076747,0.013746,873,1,19,0,1,1
0.74804,0.041207,0.03076,574.333333,1,21,77,1,1
0.761166,0.125592,0.017265,399,1,21,174,0.888889,1
0.238137,0.185658,0.215373,1018,1,21,75,1,1
0.970836,0.003639,0.003639,353.285714,1,21,76,0.428571,1
0.699936,0.014052,0.022639,512.4,1,22,112,1,1
0.846076,0.016013,0.001434,597.714286,1,21,144,0.571429,1
0.79449,0.064423,0.005804,861.5,1,21,8,0.5,1
0.781191,0.007042,0.017354,662.666667,1,21,167,1,1
0,0.001182,0.001182,846,1,19,3,1,0
0,0.017815,0,842,1,18,12,1,0
0,0.002398,0.002398,834,1,18,0,1,0
0,0.001199,0.001199,834,0,18,18,1,0
0,0.001199,0.001199,834,1,17,0,1,0
0,0.001199,0.001199,834,1,17,3,1,0
0,0.010526,0.002339,855,1,16,5,1,0
0,0.003529,0.002353,850,1,16,2,1,0
0,0.009423,0,849,1,16,0,1,1
0,0.004728,0.001182,846,1,16,1,1,0
0,0.003559,0.002372,843,1,16,0,1,0
0,0.002375,0.002375,842,1,16,1,1,0
0,0.08076,0.061758,842,1,16,0,1,1
0,0.013301,0,827,1,16,0,1,0
0,0.006061,0.006061,825,1,16,5,1,1
0,0.003636,0.003636,825,1,15,7,1,0
0,0.003636,0.003636,825,1,15,18,1,0
0.318637,0.023268,0.001034,644.666667,1,16,105,1,1
0,0.004969,0.001242,805,1,14,6,1,1
0.870282,0.020588,0.002941,816,1,17,40,1,1
0,0.0125,0.00875,800,1,14,4,1,0
0,0.003755,0.001252,799,1,13,3,1,1
0.74494,0.015965,0.003104,451,1,17,706,1,1
0.850016,0.047009,0.015568,819,1,16,52,1,1
0,0.002618,0.002618,764,1,13,10,1,0
0.782406,0.043526,0.016047,758.166667,1,15,115,0.833333,1
0,0.007833,0,766,1,13,5,1,0
0.737504,0.078744,0.031159,414,1,15,254,0.7,1
0.78712,0.005297,0.003178,629.333333,1,15,57,1,1
0,0.002635,0.001318,759,1,13,1,1,1
0,0.002635,0.002635,759,1,13,11,1,0
0.99403,0.011921,0.003506,713,1,15,2,1,0
0,0.001314,0.001314,761,1,13,4,1,0
0.806853,0.074176,0.041896,485.333333,1,15,86,0.666667,1
0,0.004076,0,736,1,11,2,1,0
0.804252,0.064209,0.003567,420.5,1,11,166,1,1
0,0.017882,0.013755,727,1,10,0,1,0
0,0.009669,0.005525,724,1,10,15,1,1
0,0.001385,0,722,1,10,1,1,0
0,0.002774,0.002774,721,0,10,0,1,1
0,0.001387,0.001387,721,0,10,1,1,0
0,0.061026,0.034674,721,1,10,36,1,1
0,0.004237,0.001412,708,1,10,85,1,0
0,0.024079,0.015581,706,0,10,35,1,0
0.979869,0.00411,0.002936,851.5,1,12,20,1,1
0.534773,0.149399,0.033772,436.75,1,12,49,1,1
0,0.001587,0.001587,630,1,10,3,1,1
0,0,0.003175,630,1,10,14,1,0
0,0.001585,0.001585,631,1,9,81,1,0
0,0.004754,0,631,1,9,24,1,0
0,0.007924,0,631,1,8,11,1,0
0,0.001592,0.001592,628,1,7,1,1,0
0,0.004777,0,628,1,7,8,1,0
0.313993,0.033827,0.027484,283.8,1,8,0,0.2,1
0.318271,0.297487,0.028054,342.2,1,8,625,1,1
0,0.001597,0.001597,626,1,5,7,1,0
0,0.009585,0.001597,626,1,5,13,1,1
0,0.004823,0.001608,622,0,5,3,1,0
0.849977,0.00566,0.002177,382.833333,1,8,253,0.833333,1
0,0.003226,0.003226,620,1,5,11,1,0
0.806465,0.023015,0.03644,521.4,0,7,39,0.8,1
0.749595,0.010949,0.001825,548,0,6,1,1,1
0.817785,0.022057,0.002126,537.571429,1,7,34,0.857143,1
0,0.006504,0.006504,615,0,5,0,1,0
0.841068,0.134058,0.031228,414,1,7,270,0.928571,1
0,0.005128,0.003419,585,1,5,8,1,1
1,0.029064,0.018299,464.5,0,7,24,1,0
0.336743,0.251002,0.136248,686.25,1,7,5,0.75,1
0.580566,0.025872,0.052907,430,1,8,10,0.75,1
0,0.007018,0.005263,570,0,5,0,1,1
0.823483,0.015666,0.003264,383,1,7,16,1,1
0.958712,0.0134,0.004188,597,1,5,0,1,1
0.685893,0.023622,0.003028,550.333333,1,7,1,0.666667,1
0.755958,0.06466,0.007747,419.5,1,7,13,0.75,1
0,0.001783,0.001783,561,0,5,2,1,1
0.77022,0.064944,0.01676,477.333333,0,5,0,0.333333,1
0.890518,0.011364,0.022727,322.666667,0,6,9,0.666667,1
0,0.003717,0.003717,538,0,5,3,1,0
0,0.003717,0.001859,538,0,5,0,1,1
0.626948,0.060207,0.010184,215.387097,1,8,1164,0.419355,1
0.858843,0.022585,0.005019,199.25,1,7,186,0.75,1
0,0.002387,0.002387,419,0,5,12,1,0
0.88653,0.08167,0.009982,367.333333,1,7,26,1,1
0.991076,0.00978,0.001222,409,0,7,39,1,1
0,0.004854,0.002427,412,0,5,0,1,0
0.755221,0.096357,0.007638,340.4,1,7,137,0.4,1
0.999466,0.088657,0.076881,171.813953,0,8,3412,0.72093,0
0,0.002646,0.002646,378,1,4,0,1,0
0.943204,0.036455,0,356.6,1,6,48,0.8,1
0,0.002667,0.002667,375,1,4,2,1,0
1,0.01182,0.007092,211.5,1,4,44,1,1
0.938694,0.003815,0.003815,458.75,1,7,44,1,0
0.92133,0.013793,0.005747,174,1,5,489,0.8,1
0,0.00266,0.00266,376,0,4,3,1,1
0.881291,0.009103,0.003901,384.5,1,6,53,1,1
0.985228,0.037997,0.010363,289.5,1,5,21,1,1
0,0.018717,0,374,0,4,17,1,0
0.900169,0.100535,0.034225,233.75,1,5,281,1,1
0,0.01497,0.005988,334,0,4,12,1,0
0,0.006024,0.003012,332,0,4,5,1,0
0,0.006154,0.030769,325,1,3,2,1,1
0,0.00339,0.00339,295,1,3,11,1,0
0.907145,0.077909,0.030241,177.363636,1,2,565,0.636364,1
0.765513,0.112656,0.127955,126.882353,1,3,66,0.117647,1
0,0.010417,0,288,1,1,27,1,1
0,0.031469,0.013986,286,1,1,24,1,0
0.73456,0.553304,0.514097,113.5,0,1,236,0.6,1
0.681956,0.120644,0.06257,166.8125,0,3,1431,0.6875,0
0.838065,0.643862,0.422987,159.875,0,3,969,0.6875,0
0.839601,0.190789,0.116228,304,0,2,75,1,0
0.748275,0.109917,0.076758,130.28,0,4,2487,0.64,0
0.710737,0.044518,0.02795,385.611111,1,12,1088,0.611111,0
0.65891,0.066723,0.056911,324.272727,0,11,665,0.727273,0
0,0.889036,0.34214,757,0,9,62,1,0
0,0.002494,0.002494,802,1,20,287,1,0
0.995727,0.007601,0.004751,1052.5,1,21,540,1,0
0,0.01861,0,806,1,18,111,1,0
0,0,0.002323,861,1,17,12,1,0
0.506396,0.114865,0.129962,544.304348,0,21,4666,0.73913,0
0.754187,0.043115,0.016088,555,0,22,3107,0.785714,0
0.260322,0.048509,0.126441,538.928571,0,21,870,0.714286,0
0.812655,0.080295,0.081552,463.916667,1,20,2328,0.666667,0
0.447378,0.120863,0.1579,507.315789,0,21,3810,0.894737,0
0.879713,0.003621,0.004345,690.5,1,21,677,0.875,0
0,0.002367,0.00355,845,1,18,83,1,0
0.905516,0.014106,0.010294,476.909091,0,20,776,0.727273,0
0.746359,0.023342,0.024019,591.2,1,19,588,0.866667,0
0.809883,0.058407,0.051712,481.296296,1,20,2007,0.814815,0
0,0.007862,0.001572,636,1,28,972,1,0
0.935044,0.007909,0.007909,289,1,31,4456,0.571429,0
0,0.004747,0.001582,632,1,27,620,1,0
0,0.001585,0.001585,631,1,25,518,1,0
0,0.001585,0.001585,631,1,24,342,1,0
0,0.019017,0.034865,631,1,20,64,1,0
0,0.00312,0.00312,641,1,20,26,1,0
0,0.008666,0.005199,577,1,21,51,1,0
0.439005,0.025909,0.037401,683.714286,0,24,385,1,0
0.436527,0.05792,0.216542,455.8,1,25,1008,0.9,0
0.801568,0.025648,0.02747,648.636364,0,24,514,1,0
0.742505,0.007223,0.003483,646.083333,1,24,599,0.916667,0
0.798559,0.013512,0.00997,635.25,0,24,515,0.916667,0
0.203074,0.039449,0,798.5,0,23,36,1,0
0.429215,0.004646,0.063298,574,1,24,44,1,0
0.45112,0.016845,0.048494,653,0,23,114,1,0
0.893704,0.023004,0.02674,726.571429,1,25,177,1,0
0.87583,0.005135,0.00077,486.875,0,24,319,1,0
0,0.037037,0.012346,243,1,31,488,1,0
0,0.012552,0.008368,239,1,29,291,1,0
0.721928,0.031175,0.016787,208.5,1,29,576,0.5,0
0,0.008475,0,236,1,29,287,1,0
0,0.004274,0.004274,234,1,29,287,1,0
0,0.038627,0.012876,233,1,28,213,1,0
0,0.046154,0.015385,195,1,31,99,1,0
0,0.018605,0.004651,71.666667,0,1,4,0.666667,0
0.670804,0.075799,0.012785,273.75,1,5,143,0.75,1
0.810774,0.037963,0.007407,216,1,6,167,0.7,1
0.982141,0.005529,0.005529,422,1,5,128,1,1
0,0.031746,0.015873,63,0,3,41,1,0
0.709254,0.253425,0.03653,292,1,5,24,1,1
0.649924,0.065898,0.002471,404.666667,0,4,25,0.666667,1
0.954434,0.028689,0.004098,244,1,2,27,1,1
0,0.238806,0,67,0,2,75,1,1
0.993171,0.200295,0.011782,339.5,0,3,6,1,1
0.764205,0.021563,0.002695,185.5,0,3,43,1,0
0.988699,0.019068,0.014831,236,0,2,71,1,1
0,0,0,0,0,2,0,0.5,0
0.956073,3.553191,0,23.5,0,2,900,1,0
0,0,0,0,1,1,0,1,0
0,0.136364,0,44,0,2,0,1,0
0.789749,0.375,0.1,40,0,2,0,0.5,0
0.92312,0.93617,0.510638,23.5,1,2,0,0.5,0
0,0.027778,0,36,1,1,0,1,0
0,0.03125,0.03125,32,1,1,0,1,0
0,0.125,0.0625,32,1,1,0,1,0
0.99403,0.153846,0.128205,19.5,1,1,0,0.5,0
0,0,0,0,1,1,0,1,0
0,0.076923,0,39,0,2,0,1,0
0.503258,0.170213,0.021277,23.5,1,1,0,0.5,0
0,0.090909,0,11,0,1,0,1,0
0,0.2,0.1,10,0,1,0,1,0
0,0.111111,0,9,0,1,0,1,0
0.574636,0.564103,0.564103,19.5,0,1,0,0.5,0
0.941665,3.540541,0,18.5,0,1,0,0.5,0
0.725672,0.064589,0.018959,389,1,8,61,0.75,1
0,0.356968,0.264059,409,1,1,0,1,1
0.510788,0.084906,0.018868,212,1,6,68,1,1
0,0.002874,0.002874,348,1,3,1,1,0
0.832761,0.008436,0.008436,355.611111,1,33,1584,0.722222,1
1,0.009804,0.009804,102,1,5,6,0.5,0
0.851602,0.003439,0.003439,452.333333,0,14,1034,0.888889,0
1,0.162791,0,86,1,2,154,0.5,1
1,0.00974,0.00974,102.666667,1,8,231,0.666667,1
1,0.007576,0.030303,132,1,7,330,0.5,1
1,0.022388,0.029851,134,1,5,132,0.5,1
1,0.016,0.008,125,1,4,0,0.5,0
1,0.022388,0.029851,134,1,5,146,0.5,0
0,0,0.007519,133,0,7,116,1,0
1,0.003834,0.003834,260.836735,1,30,4520,0.693878,0
0,0.5,0,26,0,7,660,1,0
0,0,0,0,0,5,296,0.25,0
0,0,0,52,1,1,0,1,0
0,0.326923,0.365385,52,0,4,192,1,0
0,0,0,0,0,1,0,1,0
0,0,0.011538,260,0,3,0,1,0
0,0.038168,0.164122,262,0,3,0,1,0
1,0.00554,0.00554,180.5,1,2,0,0.5,0
0.59403,0.029526,0.01813,643.5,1,17,209,0.666667,0
0.835813,0.013218,0.009151,655.666667,1,19,24,0.666667,0
0.668011,0.144585,0.037855,475.5,1,17,17,0.75,0
0,2.504464,0,224,0,1,0,1,0
0,0,0,0,0,1,0,1,0
0.774364,0.037935,0.030473,306.285714,1,12,1644,0.619048,0
0.650022,1.065041,0.130081,123,0,6,77,1,0
0,0.023669,0.023669,169,1,4,21,1,0
0.519745,0.058504,0.084439,552.666667,1,40,80,0.833333,1
0.745614,0.008124,0.011833,471.833333,1,39,231,0.916667,0
0,0.053388,0.533881,487,1,20,10,1,0
0.758866,0.08445,0.039383,351.857143,1,38,237,1,1
0.875274,0.012288,0.013011,272.147541,1,46,3246,0.360656,1
0,0.008568,0.019584,817,1,19,18,1,1
0.417869,0.045055,0.080957,568.2,1,33,102,0.8,1
0.731038,0.005278,0.008831,821,1,35,474,1,1
0,0.221216,0.195343,773,1,19,3,1,1
0,0.006588,0.001318,759,1,19,43,1,0
0,0.010512,0.009198,761,1,19,21,1,0
0.592604,0.026334,0.030385,493.666667,1,22,99,1,1
0.93202,0.006403,0.00291,572.666667,1,20,93,1,0
0,0.002653,0.002653,754,1,19,0,1,0
0.844327,0.004124,0.006749,533.4,1,35,37,1,1
0.675342,0.049052,0.022297,672.75,1,34,9,1,1
0.853931,0.00285,0.006515,818.666667,1,33,17,0.666667,0
0.985228,0.003867,0.001547,646.5,1,20,0,0.5,1
0.970951,0.000775,0.003098,645.5,1,20,0,0.5,1
0.970951,0.003094,0.000773,646.5,1,20,64,1,1
0.942163,0.029337,0.052296,392,1,19,63,1,1
0,0.386703,0.348711,737,1,19,0,1,1
0,0.001393,0.001393,718,1,19,0,1,0
0.663661,0.099817,0.054029,546,1,19,25,1,1
0.737431,0.011985,0.007491,445,1,33,17,0.666667,0
0.902267,0.011324,0.00692,397.375,1,36,113,0.875,1
0.906088,0.020931,0.017322,481.913044,1,37,434,0.695652,1
0,0.00146,0.00146,685,1,16,60,1,0
0,0.037956,0,685,1,16,37,1,1
0,0.044843,0.035874,669,1,16,4,1,1
0,0.004484,0.004484,669,1,16,15,1,0
0.771615,0.01184,0.003882,572.444444,1,28,550,0.888889,1
1,0.00183,0,546.5,1,17,95,1,1
0,0.010542,0.001506,664,1,16,14,1,0
0,0.006042,0.004532,662,1,15,13,1,1
0,0,0.013616,661,1,15,3,1,0
0.329846,0.037815,0.008403,357,1,24,24,1,1
0.959367,0.006745,0.012929,249.06,1,34,3342,0.64,1
0,0.007634,0.001527,655,1,14,82,1,0
0,0.05513,0.018377,653,1,14,11,1,1
0,0.004702,0.004702,638,1,14,5,1,1
0,0.015674,0,638,1,14,44,1,1
0,0.090333,0.064976,631,1,13,20,1,0
0.710973,0.084364,0.004787,1002.8,1,30,112,1,1
0,0.002222,0.002222,450,1,13,4,1,1
0,0.006623,0,453,1,9,30,1,1
0,0.131111,0.02,450,1,9,5,1,1
1,0.003185,0,314,1,21,17,1,0
0.757878,0.0304,0.0208,312.5,1,21,2,1,1
0.67563,0.027579,0.048845,601.9,1,25,91,0.9,1
0.668001,0.056773,0.037037,433.5,1,25,169,0.388889,1
0,0.002262,0.015837,442,1,8,6,1,0
0.168661,0.014194,0.004121,1092,1,20,4,1,1
0,0.090698,0.153488,430,1,8,8,1,1
0,0.00432,0.00432,463,1,8,5,1,0
0.728656,0.022008,0.005044,1090.5,1,19,3,1,1
0,0.013453,0,446,1,7,71,1,0
0.946606,0.042739,0.143842,181.333333,1,22,286,0.916667,1
0,0.002257,0.002257,443,1,5,0,1,0
0,0.004515,0,443,1,5,16,1,0
1,0.005739,0.005739,174.25,1,5,132,0.75,1
0,0.002268,0.002268,441,1,3,11,1,0
0,0.00907,0.006803,441,1,3,9,1,1
0,0.064982,0.00361,277,1,2,40,1,0
0,0.003774,0.003774,265,1,1,0,1,0
0.802046,0.029172,0.024084,589.6,1,19,394,0.8,0
0.707472,0.038211,0.039948,431.8125,0,26,1509,0.875,0
0.694432,0.003785,0.005375,287.173913,0,26,5511,0.630435,0
0.86639,0.012714,0.020049,227.222222,0,22,615,0.666667,0
0.845351,0.010753,0.004032,372,0,16,105,1,0
0.615551,0.049758,0.024659,567.75,1,34,1829,1,0
0,0.00299,0.00299,669,1,19,329,1,0
0,0.008969,0.00299,669,1,19,312,1,0
0.787127,0.019704,0.013793,507.5,1,17,483,1,0
0,0.045113,0.03609,665,1,16,211,1,0
0.671228,0.049408,0.017499,485.75,1,25,2053,1,0
0,0.006784,0.001357,737,1,19,276,1,0
0,0.01087,0.009511,736,1,19,175,1,0
0.93202,0.006575,0.002989,557.666667,1,20,314,1,0
0,0.006562,0.001312,762,1,19,122,1,0
0,0,0,0,1,8,407,1,0
0.975504,0.004023,0.004023,290,0,11,279,1,1
0,0.048193,0.012048,83,1,5,12,1,0
0,0.160494,0.024691,81,1,5,115,1,0
0.865675,0.048165,0.052752,109,1,5,13,0.5,1
0.782305,0.049587,0.044077,121,0,4,0,0.333333,1
0.772683,0.024161,0.025503,186.25,0,5,148,1,1
0,0.025316,0.025316,79,0,1,42,1,0
0,0.177215,0.012658,79,1,1,1,1,0
0,0.028169,0.014085,71,0,1,1,1,1
0,0.057143,0.014286,70,0,1,0,1,0
0,0.014706,0.014706,68,1,1,99,1,0
0,0.088235,0.044118,68,0,1,0,1,0
0,0,0,66,1,1,0,1,1
0,0,0,0,1,1,0,1,0
0,2.137421,0,473,0,1,0,1,0
0.679472,0.108933,0.019398,576.176471,1,29,367,0.823529,1
0,0.004348,0.004348,230,1,21,0,1,0
0,0.004425,0,226,1,21,24,1,0
0,0.06599,0.010152,197,1,21,1,1,1
0,0.021739,0.01087,184,1,20,2,1,0
0,0.021978,0,182,1,20,3,1,1
0,0.005525,0.005525,181,1,19,37,1,0
0,0.005525,0,181,0,19,0,1,0
0,0.005556,0.011111,180,1,19,14,1,0
0.934459,0.021663,0.029374,194.535714,1,22,974,0.785714,1
0,0.027473,0.027473,182,1,19,22,1,0
0.610138,0.069811,0.080503,397.5,1,21,27,1,1
0.951986,0.00702,0.007582,890.25,1,20,21,1,0
0,0.004619,0.002309,433,1,17,18,1,0
0,0.101852,0.009259,432,1,17,14,1,1
0,0.055288,0.028846,416,1,17,1,1,0
0,0.002445,0.002445,409,1,16,17,1,0
0.60984,0.022804,0.01098,592,1,17,0,0.5,1
0.297472,0.00937,0.022998,587,1,17,2,0.5,1
0.297472,0.022766,0.009275,593,1,17,1,1,1
0.297472,0.009426,0.023136,583.5,1,17,0,0.5,1
0.297472,0.022901,0.00933,589.5,1,17,0,1,1
0,0.002451,0.002451,408,1,16,10,1,0
0,0.002451,0.002451,408,1,15,25,1,0
0,0.017157,0.009804,408,1,14,7,1,0
0.771709,0.011111,0.034188,585,1,16,10,0.5,0
0.998001,0.017217,0.010043,348.5,1,14,4,1,0
1,0.003676,0,272,1,13,0,0.5,0
0.886581,0.041144,0.019984,510.4,1,15,79,0.8,1
0.775259,0.032468,0.002273,513.333333,1,15,173,0.833333,1
0,0.005181,0.012953,386,1,11,6,1,1
0,0.007732,0.002577,388,1,11,27,1,0
0,0.005181,0.012953,386,1,11,0,1,0
0.701207,0.047619,0.030754,504,1,12,34,1,1
0,0.005051,0.005051,396,1,11,48,1,0
0.949452,0.014127,0.005045,495.5,1,11,73,1,1
0,0.002532,0.002532,395,1,10,56,1,0
0,0.002532,0.002532,395,1,10,7,1,1
0,0.002532,0.002532,395,1,10,0,1,0
0,0.002532,0.002532,395,1,10,1,1,0
0,0.007595,0.007595,395,1,10,31,1,1
0,0.005063,0.005063,395,1,10,15,1,0
0.772566,0.010204,0.004082,653.333333,1,11,0,1,1
0,0.012658,0.01519,395,1,10,0,1,0
0.714692,0.098327,0.038238,488.166667,1,11,111,1,1
0.353359,0.008316,0.007277,481,1,11,28,0.5,1
0.883565,0.115021,0.026609,291.25,1,11,44,0.75,1
0,0.005682,0.002841,352,1,10,48,1,0
0.800392,0.030369,0.009761,461,1,10,27,1,1
1,0.006579,0,456,0,6,0,0.5,0
0.872807,0.045599,0.004182,558,1,8,145,1,1
