@relation 'xerces-1.2_deleteColumns-weka.filters.unsupervised.attribute.Remove-R1-2,4-14,16-20'

@attribute noc numeric
@attribute cam numeric
@attribute bug {1,0}

@data
0,0.4375,0
0,0.5,0
0,0.571429,0
0,0.333333,0
0,0.533333,0
0,0.314286,0
0,0.6875,0
0,0,0
0,0.222222,1
0,1,0
0,0.5,0
0,0.291667,0
0,1,0
0,0.75,0
0,0.6,1
1,0.571429,1
0,0.666667,0
0,1,0
0,0.5,0
0,0.5,0
0,0.555556,0
0,0.75,0
0,0.387755,0
0,0.571429,0
0,0.5,0
0,1,0
0,0.75,0
0,0.5,1
0,0.625,0
4,0.518519,0
0,0.4,0
0,0.75,0
0,0.4,0
0,0.239316,0
0,0.571429,0
0,0,1
0,0.244444,0
0,0.666667,0
0,0.307692,1
0,0.45,0
0,0.75,0
0,0.303571,0
0,0.416667,0
0,0.555556,0
0,0.75,0
0,0.5,0
0,0.275,0
0,0.354167,0
0,0.363636,0
0,0.295652,0
0,0.571429,0
0,0.75,0
0,0.5,0
0,0.282353,0
0,0.37069,0
0,0,0
0,0.101329,1
0,0.5,0
0,0.464286,0
0,0.75,0
3,0.127273,0
0,0.233333,0
0,0.357143,0
0,0.571429,0
0,0.75,0
1,0.5,0
0,0.75,0
1,0.611111,1
0,0.5,0
6,0.466667,0
0,0.545455,0
0,0.455882,1
52,0.456522,0
0,0.75,0
0,0.538462,0
0,0.233083,0
0,0.458333,0
0,0.571429,0
0,0.611111,0
0,0.75,0
0,0.7,0
0,0.233333,0
0,0.6,0
0,0.6,0
0,0.25,0
0,0.571429,0
0,1,1
1,0.4,0
0,1,1
0,0.466667,0
0,0.375,0
0,0.5,0
0,1,0
0,1,0
0,0.6,0
0,0.75,0
0,0.545455,0
0,1,1
0,0.154872,1
0,0.348485,0
0,0.347826,0
0,0.416667,0
0,0.75,0
0,0.33,1
0,0.555556,0
0,0.555556,0
0,1,1
0,0.294737,0
0,0.312,0
0,0.6,0
0,0.25,0
0,0.375,0
0,0.3,0
1,0.4,0
0,0.5,0
0,0.75,0
0,1,0
0,0.75,0
0,0.6,0
0,0.394737,0
0,1,1
0,0.466667,0
0,0.571429,0
0,0.75,0
0,0.461538,0
0,0.571429,0
1,0.186275,0
0,0.355556,0
0,0.394737,0
0,0.137778,0
0,1,1
0,0.32,0
0,0.75,0
0,1,1
0,0.75,0
0,0.40625,0
0,0.6,0
0,0.5,0
0,0.555556,0
0,0.7,0
3,0.480769,1
0,0.355263,0
0,0.338889,0
0,1,1
1,0.431818,0
0,1,0
9,0.1875,0
1,0.141337,1
0,0.45,0
0,1,1
0,0.214286,0
0,0.270833,0
0,0.75,0
0,1,1
0,1,0
0,0.333333,0
0,0.318182,0
0,0.314286,0
0,0.6,0
0,0.583333,0
0,0.75,0
0,0.403846,0
0,0.285714,0
0,0,1
0,0.5,0
0,0.666667,0
0,0.490196,0
0,0.183007,0
0,0.555556,0
0,0.5,0
0,0.555556,0
0,0.666667,0
0,0.5,0
0,0.333333,0
0,0.75,0
0,0.25,0
0,0.444444,0
0,0.538462,1
0,0.75,0
1,0.194286,0
0,0,0
0,1,0
0,0.666667,0
0,0.201149,0
0,1,0
0,0.75,0
0,0,0
0,0.397059,0
3,0.155107,1
0,0.5,0
0,0.428571,0
0,0.188889,0
0,0.333333,0
0,0.75,0
0,0.583333,0
0,1,0
0,0.666667,1
0,0.4375,0
0,0.375,0
3,0.11655,1
0,0.5,0
1,0.555556,0
0,0.666667,0
0,0.354167,0
0,0.555556,0
0,1,0
0,0.75,0
0,0.2,1
0,0.5,0
1,0.555556,0
0,0.555556,0
0,0.521739,0
0,0.403846,0
0,0.6,1
0,0.75,0
0,0.388889,0
0,0.15035,0
0,0.5,0
0,0,1
0,0.366667,0
0,0.309677,0
0,0.75,0
0,0.375,0
0,0.583333,0
0,0.184211,0
0,1,0
0,0.520833,0
0,0.75,0
35,0.436364,0
0,0.208333,0
0,0.75,0
0,0.625,0
0,0.625,0
0,0.375,0
0,0.4,1
1,0.285714,0
0,0.75,0
0,0.333333,0
0,0.5,0
0,0.375,0
0,0.307692,1
0,0.538462,0
0,0.555556,0
0,0.666667,0
0,0.4,0
2,0.174479,1
