@relation 'ant-1.5_deleteColumns-weka.filters.unsupervised.attribute.Remove-R1-2,4-12,14,16-17,19-20'

@attribute noc numeric
@attribute moa numeric
@attribute cam numeric
@attribute amc numeric
@attribute bug {1,0}

@data
0,0,0.142857,10,0
0,0,0.180556,22.625,0
0,0,0.327273,13.909091,1
0,0,0.15,37.583333,0
0,1,0.305263,43.105263,1
0,1,0.261905,11.416667,0
0,0,1,15.5,0
0,0,0.5,14.333333,0
0,0,0.666667,8.333333,0
0,0,0.3125,22.111111,0
0,0,0.666667,153.285714,0
0,0,0.188889,41.333333,1
0,1,0.34375,16,0
0,0,0.666667,8.333333,0
0,0,0.197531,20.392857,0
0,0,1,11.333333,0
0,2,0.22619,33.095238,1
0,0,0.375,21,0
0,0,0.666667,14.5,0
0,0,0.45,33.25,0
0,0,0.141414,88.631579,1
0,0,1,0,0
0,0,0.541667,12,0
0,0,0.666667,26,0
0,0,0.407407,10.555556,0
0,0,1,0,0
0,1,0.45,22.2,0
0,0,0.533333,12.6,0
0,0,0.5,21,0
0,2,0.6,14.333333,0
0,10,0.1375,25.777778,1
0,0,1,3,0
0,0,0.444444,0,0
2,0,0.833333,7,0
1,0,0.555556,16.333333,0
0,0,0.533333,18.2,0
0,0,0.325,33.75,0
0,1,0.75,13.25,0
0,0,0.75,20.5,0
1,2,0.257576,32.911765,0
0,0,0.466667,19.6,1
0,2,0.392857,26.857143,0
0,0,0.533333,12.6,0
0,1,0.595238,27,0
0,0,0.666667,33,0
0,0,0.555556,16.333333,0
0,1,0.259259,32.666667,0
2,0,0.615385,7.230769,1
0,0,0.277778,43.733333,0
0,1,0.309091,16.045455,0
0,0,0.125,7.375,0
0,0,0.875,3,0
0,0,0.215909,33.636364,0
0,3,0.2125,31.1,1
0,0,0.444444,6.333333,0
52,4,0.246377,9.73913,0
0,0,1,123,0
0,0,0.444444,38,0
0,0,0.5,47.5,0
0,0,0.5,79.333333,0
0,0,0.75,9,0
0,0,0.342857,29.142857,0
3,2,0.226667,22.25,0
0,0,0.714286,4.714286,0
0,0,0.322981,48.083333,0
0,0,0.5,48.333333,0
2,0,0.666667,8,0
0,0,0.555556,9.333333,0
0,0,0.666667,9.666667,0
0,0,0.4375,19.5,0
0,1,0.3,18.875,0
0,0,0.5,16.75,0
0,0,0.428571,11.571429,0
0,0,1,0,0
2,0,0.4375,16.875,0
0,2,0.287879,24.545455,0
5,1,0.4375,3.25,0
0,0,0.666667,7.666667,0
0,0,1,32,0
0,0,0.333333,29,0
0,0,0.5,5.666667,0
0,1,0.20625,60.46875,0
0,0,0.278571,45.310345,1
0,4,0.154167,15.5625,0
0,1,0.666667,20.333333,0
1,2,0.194444,19.85,1
0,0,1,5,0
0,0,0.444444,28.333333,0
0,0,0.7,6.2,0
0,1,0.342857,38.733333,1
0,0,0.75,13,0
0,1,0.583333,12,0
0,0,1,21,0
0,0,0.875,4,0
0,0,1,3,0
1,0,0.9,25.2,0
0,0,0.875,4.75,0
0,6,0.13834,27.875,1
2,1,0.076352,15.853659,0
1,3,0.223214,10.866667,0
0,1,0.327273,27.272727,0
0,1,0.3,30.636364,0
0,0,0.75,31,0
0,0,0.533333,20.2,0
0,0,0.342857,35.571429,0
0,0,0.75,8.5,1
0,0,0.6,116.4,0
0,0,0.714286,12.571429,0
0,0,0.5,28.333333,0
0,0,0.555556,10.833333,0
5,0,0.5,5.333333,0
1,0,0.555556,16.333333,0
0,2,0.232143,30.333333,1
0,0,0.518519,8.333333,0
1,2,0.24,19.307692,0
0,0,0.75,22.25,0
0,0,0.293651,27.857143,0
0,0,0,2052,0
13,1,0.266667,13.3,0
1,0,0.271605,49.222222,1
0,0,0.75,0,0
0,0,1,0,0
0,1,0.26,64.818182,0
0,2,0.6,90.5,0
0,0,0.140909,18.73913,0
0,0,0.3125,21.375,0
0,3,0.204167,22.566667,0
0,0,0.271429,0,0
0,3,0.309091,36.454545,1
0,0,0.346939,56.625,0
1,0,0.5,14.5,0
0,0,0.833333,13.166667,1
0,0,0.708333,22.076923,0
0,0,1,10.5,0
0,0,0.5,29.666667,0
1,0,0.7,5,0
0,0,0.47619,14.428571,0
0,0,0.75,4,0
0,2,0.25,28.375,0
0,1,0.4,13.1,0
2,1,0.464286,11.571429,0
0,0,1,65,0
0,0,0,0,0
0,0,0.342857,19.857143,0
0,0,0.625,0,0
0,0,1,0,0
0,0,0.5,16,0
