@relation 'Apache2.0_golden-weka.filters.unsupervised.attribute.Remove-R1-2,63-weka.filters.unsupervised.attribute.Remove-R12,15,18-20,23-24,28,35-38,46-47,51,53-54-weka.filters.unsupervised.attribute.Remove-R31-33-weka.filters.unsupervised.attribute.Remove-R9-20,34-35-weka.filters.unsupervised.attribute.Remove-R1-3,7,9-13,16-21,23-26'

@attribute AvgEssential numeric
@attribute AvgLine numeric
@attribute AvgLineBlank numeric
@attribute AvgLineComment numeric
@attribute CountLineComment numeric
@attribute CountSemicolon numeric
@attribute RatioCommentToCode numeric
@attribute isDefective {TRUE,FALSE}

@data
11,100,20,11,114,134,0.54,FALSE
1,118,10,37,187,130,0.66,TRUE
3,53,4,1,33,32,0.69,FALSE
1,9,1,0,30,17,0.88,FALSE
1,65,7,2,55,59,0.49,FALSE
1,8,1,0,30,16,0.94,FALSE
1,17,1,0,23,11,1.44,FALSE
2,42,3,7,467,713,0.33,TRUE
1,50,8,4,62,56,0.79,FALSE
2,43,3,4,67,85,0.3,TRUE
2,27,2,2,339,768,0.23,TRUE
4,55,7,14,586,449,0.52,TRUE
4,25,0,3,18,10,0.82,FALSE
0,0,0,0,16,0,0,FALSE
1,4,0,0,25,16,0.57,FALSE
0,0,0,0,16,0,0,FALSE
2,20,1,1,72,191,0.16,TRUE
3,57,7,8,310,454,0.33,TRUE
0,0,0,0,23,0,0,TRUE
0,0,0,0,23,0,0,TRUE
4,56,7,13,245,182,0.57,FALSE
1,18,2,1,83,45,1.38,FALSE
1,12,1,1,21,17,0.37,FALSE
1,9,0,0,15,1,1.67,FALSE
2,45,4,6,121,214,0.28,TRUE
1,39,1,11,81,95,0.59,FALSE
2,19,1,0,25,28,0.39,FALSE
10,98,20,6,22,42,0.31,TRUE
3,35,3,7,280,309,0.46,TRUE
0,0,0,0,16,0,0,FALSE
8,100,7,3,44,144,0.16,FALSE
2,42,3,8,474,666,0.36,TRUE
1,34,3,3,129,252,0.36,FALSE
