@relation 'jedit-4.0_deleteColumns-weka.filters.unsupervised.attribute.Remove-R1-2,4-12,14,16-17,19-20'

@attribute noc numeric
@attribute moa numeric
@attribute cam numeric
@attribute amc numeric
@attribute bug {1,0}

@data
0,1,0.5,13.5,0
0,0,0.583333,41.75,0
0,0,0.625,3,0
0,0,0.75,59,0
0,1,0.424242,3.636364,0
0,0,0.625,31.5,0
0,0,0.392857,18.857143,0
0,2,0.155556,87.388889,1
0,2,0.357143,72.75,0
0,0,1,24.444444,0
0,0,0.5,13,0
0,0,0.625,31.5,0
0,0,0.3,40.2,0
0,1,0.274854,64.105263,0
0,0,1,78,0
0,1,0.342857,26,0
3,0,0.416667,7.166667,0
0,1,0.214286,81.916667,0
0,0,0.430769,0,0
0,1,1,15,1
0,0,0.7,40.6,0
0,1,0.25,24.083333,0
0,0,0.388889,48.333333,0
0,3,0.3,64.5,1
6,0,1,94,0
0,0,0.166667,7.857143,0
0,0,0.333333,14.25,1
0,3,0.228758,30.411765,1
0,0,1,4,0
0,0,0.625,0,0
0,1,0.272727,44.272727,0
0,2,0.5,4,0
0,0,0.056202,6.976744,0
0,0,0.75,4,0
0,2,0.265306,77.285714,0
0,3,0.238095,23.52381,1
0,0,0.444444,24,0
0,0,1,0,0
0,0,0.666667,13.25,0
0,0,0.363636,11.636364,0
0,0,0.6,47.6,0
0,0,0.363636,32.625,0
0,0,0.625,43.5,0
0,0,0.666667,10,0
0,0,0.666667,8,0
0,2,0.416667,107.8,1
0,1,0.533333,16.6,0
0,0,0.625,16,0
0,0,0.533333,89.666667,0
0,0,0.555556,59,0
0,0,0.384615,7.461538,1
0,0,0.555556,33.333333,1
0,1,0.3,28.714286,0
0,8,0.05177,43.570175,1
0,4,0.625,64,0
0,0,0.457143,6.285714,0
0,0,0.541667,23.166667,1
0,3,0.666667,47.75,0
0,4,0.234568,37.444444,0
0,0,0.583333,28.166667,0
0,0,0.4,8,0
1,2,0.208333,24.5,0
0,0,0.3,28,0
0,8,0.183866,57.127764,0
0,0,0.363636,40.454545,0
0,0,0.35,18.75,0
0,0,0.180556,36.153846,1
0,0,0.625,14,0
0,1,0.285714,26.285714,0
0,1,0.466667,70.4,0
0,0,0.625,52.5,0
0,1,0.425,19.727273,0
0,0,0.722222,33.666667,0
0,0,0.625,0,0
0,0,0.5,46,0
0,0,0.75,2,0
0,0,0.12285,41.621622,1
0,0,0.444444,34,0
0,3,0.121646,21.232558,1
0,0,0.45,68.5,0
2,3,0.266667,15,0
0,0,0.625,92,0
0,0,0.625,38.5,0
0,0,0.194444,45.333333,0
0,1,0.357143,7.714286,0
0,3,0.152727,19.76,1
0,0,0.6,20,0
0,1,0.119643,39.536585,1
0,0,1,0,0
0,0,0.333333,52.75,0
0,2,0.277778,22.25,0
0,5,0.210526,39.789474,1
0,0,0.555556,4.666667,0
0,2,0.341176,22.764706,1
0,1,0.283333,22.333333,0
0,0,0.5625,19.75,0
0,3,0.227273,37.5,1
0,0,0.5,8.2,0
0,0,0.444444,32.666667,0
0,3,0.230769,35.692308,1
4,0,0.3125,3,1
0,0,0.305556,54.333333,1
0,0,0,496,0
0,0,0.444444,22.333333,0
0,0,1,4,0
0,0,0.5,21.75,0
0,1,0.203947,16.473684,1
0,1,0.375,41.5,0
0,0,0.444444,48,0
0,2,0.35,38.4,0
0,0,0.666667,8,0
0,2,0.5,45.4,1
0,0,0.75,65.5,0
0,0,0.28,60.833333,0
0,0,0.75,6,0
0,0,1,98,1
3,0,0.208333,12.111111,0
0,0,0.35,28.1,0
0,1,0.333333,41.285714,0
0,3,0.333333,20,0
0,0,0.444444,14,0
0,0,0.35,39.8,0
0,0,0.5,41.5,0
0,0,0.40625,19.25,0
0,0,0.666667,13.75,0
0,0,1,0,0
0,0,1,4,1
2,1,0.266667,2.333333,0
0,0,0.72,29.4,0
0,5,0.115385,27.276923,1
0,1,1,39.4,0
0,0,0.395833,19.833333,0
0,5,0.134434,25.944444,0
0,3,0.195556,30.32,1
0,1,1,50,1
0,1,0.22449,20.071429,1
0,0,1,4,0
20,0,0.5,27.1,0
13,2,0.354167,6.75,0
0,0,0.375,46.25,0
0,3,0.236364,129.818182,0
0,2,0.114478,24.464286,1
0,0,0.916667,0,0
0,0,1,15.666667,0
0,0,0.444444,21.333333,0
5,0,0.75,1.75,0
0,0,0,148,0
0,2,0.136364,44.757576,1
0,1,0.5,125.24,0
0,0,0.666667,13.25,0
0,0,0.5,5.25,1
0,1,0.428571,7.571429,0
1,2,0.230072,53.042553,0
0,0,1,4,0
0,0,0.285714,44.333333,0
0,2,0.366667,32.4,0
0,4,0.319444,38.083333,0
0,0,1,4,0
0,0,0.296296,45.703704,0
0,0,0.375,12.25,0
1,4,0.110988,29.981481,0
0,1,0.219388,20.678571,1
0,0,0.75,9.666667,0
0,0,0.259259,11.111111,0
0,0,0.395833,16.25,0
0,1,0.16,5.576923,0
0,0,0.75,6,0
0,0,1,0,0
0,0,0.3,24,0
0,0,0.3,41.4,0
0,2,0.366667,32.4,0
0,0,0.30303,13.545455,0
0,1,0.32,31.833333,0
0,0,1,0,0
0,2,0.083333,31.644444,0
0,0,0.153846,41.783784,0
0,0,0.44,37.4,0
0,0,1,3,0
0,5,0.166667,27.727273,0
0,0,1,0,0
0,0,0.1875,35.352941,0
0,2,0.555556,41.666667,0
17,1,0.5,13,0
7,0,0.414286,1.714286,0
0,0,0.5,7.8,0
0,0,0.375,35,0
0,0,0.1,13.636364,0
0,0,0.433333,39.4,0
0,0,0.625,12.5,0
0,5,0.206349,23.392857,1
0,0,0.625,14,0
0,0,0.466667,30,1
0,0,0.625,50.875,0
0,1,0.4,16.666667,0
0,0,0.5,35.666667,1
0,0,0.75,3.5,0
0,1,0.333333,18.454545,0
0,0,0.75,62,0
0,1,0.241758,39.230769,1
0,0,0.625,13,0
0,0,0.416667,26.25,1
0,0,1,3,0
0,0,0.380952,35.095238,0
0,0,0.5,77,0
0,0,0.214286,45.285714,0
35,4,0.233083,11.263158,0
0,0,1,4,0
0,0,0.6,18.5,0
0,0,1,0,0
0,5,0.155,8.95,1
0,2,0.5,26.8,0
0,3,0.285714,18.142857,0
0,1,0.454545,3.363636,0
0,1,0.4,11.333333,0
0,0,0.6,0,0
0,0,0.75,0,0
0,0,0.466667,15.2,1
0,0,0.5,28.666667,0
0,0,0.484848,11.181818,0
0,1,0.257143,24.357143,1
0,0,0.229167,45.5,0
