@relation log4j-1.1_deleteColumns-weka.filters.unsupervised.attribute.Remove-R4-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.Remove-R16-weka.filters.unsupervised.attribute.Remove-R6-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R6

@attribute noc numeric
@attribute lcom numeric
@attribute ca numeric
@attribute ce numeric
@attribute lcom3 numeric
@attribute dam numeric
@attribute moa numeric
@attribute mfa numeric
@attribute cam numeric
@attribute ic numeric
@attribute cbm numeric
@attribute amc numeric
@attribute avg_cc numeric
@attribute bug {1,0}

@data
0,4,0,7,0.666667,0,0,0,0.333333,0,0,32.25,1.5,0
0,1,0,2,2,0,0,0,0.75,0,0,49,1.5,0
0,17,0,4,0.666667,0,1,0,0.333333,0,0,20.714286,1,0
0,0,0,0,2,0,0,0,0,0,0,0,0,0
0,1,1,0,0.5,1,0,0.95122,0.444444,1,3,5.333333,0.6667,0
0,1,0,1,0.833333,0.333333,0,0.818182,0.5,0,0,33,0.6667,0
2,6,4,0,1.333333,0,0,0.95122,0.357143,1,3,26,1.75,0
0,17,0,3,0.833333,0,1,0,0.277778,0,0,13.571429,1.1429,0
0,0,7,0,2,0,0,0,1,0,0,0,1,0
0,9,0,4,0.666667,0,1,0,0.333333,0,0,22.5,1,1
0,0,3,4,0.733333,0,2,0,0.416667,0,0,25,0.75,1
0,0,0,1,0.5,0,1,0,0.25,0,0,30.8,1.4,0
0,34,0,3,0.875,0,1,0,0.175,0,0,17.333333,1.4444,0
0,1,0,3,2,0,0,0,0.5,0,0,41.5,3,0
0,0,6,1,2,0,0,0,1,0,0,0,1,0
0,8,4,14,0.956044,0.461538,3,0,0.375,0,0,82.375,6.25,0
0,6,0,6,0.666667,0,3,0,0.257143,0,0,42.375,1.75,1
0,13,1,6,0.694444,0.5,0,0,0.35,0,0,37.2,2.9,1
0,6,2,1,2,0,0,0.953488,0.357143,1,3,23.75,1,0
0,0,3,3,0.142857,1,0,0,0.40625,0,0,20.875,3.125,0
4,45,24,2,1,0,0,0,0.407407,0,0,1.6,0.8,0
0,8,0,0,0.833333,0,0,0,0.3125,0,0,94.2,2,0
0,81,0,8,1,0.064516,1,0.545455,0.259259,2,4,26,3.9444,1
0,1,1,3,2,0,0,0,0.75,0,0,4,0.5,0
0,13,3,3,0.8,0,0,0.615385,0.444444,0,0,7.833333,0.8333,0
0,0,1,5,0.25,0,3,0.968254,0.555556,0,0,41.333333,2.6667,0
0,3,0,0,2,0,0,0,0.333333,0,0,43.333333,1.6667,0
0,6,1,0,2,0,0,0.8125,0.5,1,1,1.5,0.75,0
0,17,0,6,0.75,0,1,0,0.277778,0,0,19.285714,0.8571,0
0,0,10,2,0.666667,0,0,0,0.090909,0,0,21.666667,2.25,1
2,0,5,1,0,1,1,0.857143,0.5,2,2,13,1,0
0,27,3,4,0.901235,0.666667,1,0.5,0.5,0,0,11.1,1.2,1
0,0,1,1,0.607143,0.285714,0,0.938462,0.466667,1,1,21.6,1.4,0
0,125,15,10,0.873737,0.111111,3,0,0.186869,0,0,21.652174,1.913,1
0,239,0,10,0.938034,0.055556,2,0.418605,0.240741,2,3,19.259259,1.8519,1
0,17,0,4,0.666667,0,1,0,0.277778,0,0,20.857143,1,0
0,0,0,0,0.208333,0,0,0,0.333333,0,0,51.4,2,0
5,7,7,2,0.72,0,1,0,0.44,0,0,27.166667,1.8333,0
0,1,0,1,2,0,0,0,0.5,0,0,6.5,0.5,0
0,15,3,1,2,0,0,0,0.555556,0,0,0,1,0
0,11,1,2,0.68,0.6,0,0,0.44,0,0,23.833333,2.3333,1
0,10,0,7,0.875,0,0,0,0.3,0,0,27.6,1.4,1
0,0,34,1,0.920635,0.714286,0,0,0.333333,0,0,12.9,1.9,0
0,12,0,3,0.666667,0,1,0,0.321429,0,0,26.75,1.75,1
0,10,0,8,2,0,0,0,0.266667,0,0,100.6,1.4,0
0,103,17,6,0.910714,0,0,0,0.154762,0,0,48.933333,3,1
0,0,1,1,0.666667,1,1,0,0.666667,0,0,9,0.75,1
0,3,2,3,2,0,0,0.959184,0.833333,1,5,7.333333,1,0
0,9,0,5,0.666667,0,1,0,0.333333,0,0,23.166667,1,0
1,0,1,7,0.666667,0.6,0,0.755556,0.322917,1,13,17.8125,1.375,1
1,85,2,7,0.703704,0.666667,1,0.529412,0.190789,1,3,13.842105,1.8947,1
0,0,1,2,0.5,0,0,0.875,0.5,2,2,8.75,0.75,0
0,74,0,5,0.916667,0.375,0,0.363636,0.244444,1,1,51.8125,2,1
0,4,0,0,0.25,0,0,0,0.25,0,0,14.8,1,0
0,1,1,2,2,0,0,0,0.75,0,0,63,2.5,0
0,8,1,1,0.75,0.5,0,0.764706,0.45,1,2,15.8,0.8,0
2,637,38,12,0.814869,0.5,5,0,0.149137,0,0,14.28,2.08,1
0,28,0,0,2,0,0,0.65,0.46875,1,2,1.625,0.875,0
0,66,17,4,2,0,0,0,0.236111,0,0,0,1,0
0,11,0,6,0.666667,0,1,0,0.375,0,0,13.857143,0.8571,0
0,9,1,2,0.866667,0,0,0,0.458333,0,0,5.833333,1.1667,0
0,95,3,7,0.888889,0.133333,1,0.486486,0.198864,2,3,17.136364,1.5455,1
0,4,0,2,0.833333,0,1,0,0.333333,0,0,8,0.5,0
0,3,7,0,2,0,0,0,0.666667,0,0,0,1,1
1,91,6,11,1.057692,0,0,0,0.138462,0,0,10.214286,1,1
0,0,1,2,0.333333,1,0,0.875,0.4,2,2,8.25,0.75,0
0,13,0,3,0.7,0,0,0,0.277778,0,0,32.333333,1.3333,0
0,44,0,5,0.845238,0,0,0.6,0.365385,2,3,20.307692,1.6923,1
0,0,2,1,2,0,0,0,1,0,0,0,1,0
0,1,1,0,0.5,1,0,0.944444,0.555556,1,1,8,1,0
0,8,1,0,0.75,1,1,0,0.75,0,0,3.2,0.6,0
0,3,0,10,0.767857,0.5,0,0.733333,0.241667,1,10,21,1.3333,1
8,175,11,9,0.904762,0.875,5,0,0.201299,0,0,7.409091,1.3636,1
