@relation 'columba-weka.filters.unsupervised.attribute.Remove-R1,2-weka.filters.unsupervised.attribute.Remove-R2-3,12-13'

@attribute ns numeric
@attribute entropy numeric
@attribute la numeric
@attribute ld numeric
@attribute lt numeric
@attribute fix numeric
@attribute ndev numeric
@attribute pd numeric
@attribute npt numeric
@attribute sexp numeric
@attribute bug {1,0}

@data
2,0,0,0,45.333333,0,1,0,0.333333,1015,0
1,0,2.272727,1.597403,77,1,2,17,1,1,0
5,0.720227,0.102731,0.085826,109.857143,0,1,151,0.714286,1406,0
3,0.509454,0.176849,0.021436,103.666667,0,1,233,0.444444,1203,0
2,0,0,0,38.666667,0,1,0,0.333333,1035,0
3,0.955232,0.481481,0.606481,72,0,2,6,0.666667,1175,0
3,0.641848,0.566396,0.28636,61.5,0,1,235,0.444444,1185,0
4,0.576936,0.263757,0.051233,52.7,0,1,74,0.5,1129,0
2,0,0,0,31,0,1,0,0.5,1122,0
1,0,0.05303,0.007576,132,0,1,0,1,394,0
2,0,0,0,52.468531,0,1,0,0.006993,143,1
3,0,0,0,60.242236,0,1,0,0.006211,447,1
1,0,0.026316,0.026316,38,0,1,0,1,87,0
1,0,0,0,8,0,1,0,1,82,0
2,0,0,0,11.181818,0,1,0,0.090909,120,0
1,0,0,0,0,0,1,0,1,83,0
1,0,3.333333,3.333333,21,0,3,1,1,8539,1
1,0,0,0,50.1,0,1,0,0.05,15698,1
1,0.959278,0.010692,0.01238,118.466667,1,9,630,0.4,12224,0
1,0.693186,0.625536,0.723176,103.555556,1,8,430,0.777778,10599,1
1,0,2.493827,2.271605,81,0,5,19,1,228,1
1,0.11091,1.574713,1.54023,43.5,1,2,81,1,15653,1
1,0,0,0,22,0,1,0,1,11412,0
1,0,0.128205,0.871795,39,1,2,17,1,15917,0
1,0.054939,0.567073,0.62561,273.333333,0,8,234,0.666667,2242,0
1,0,0.210526,0,38,1,2,21,1,11420,0
1,0.334163,0.727528,0.755618,118.666667,1,3,43,1,11419,1
1,0.628234,0.292683,0.02439,13.666667,0,2,57,0.666667,9882,0
1,0,0.032558,0.004651,215,0,3,6,1,1548,0
1,0,0.00463,0.00463,216,0,3,7,1,1533,0
1,0.884153,0.094845,0.049485,161.666667,1,5,134,1,1530,1
1,0.677169,0.030973,0.115044,113,0,8,158,0.75,1523,0
1,0,0.034483,0,29,0,4,169,1,1906,0
1,0,0.007353,0.007353,272,1,2,7,1,1891,0
1,0.607304,0.349842,0.182297,73,0,8,1154,0.615385,1350,1
1,0,0.26087,0.130435,23,1,2,46,1,1938,0
1,0.387051,0.136364,0.136364,242,1,5,79,1,1915,1
1,0.825627,0.126437,0.028736,87,1,3,8,0.5,1337,1
1,0.056432,0.959813,0.942991,356.666667,0,6,58,1,1306,1
1,0,0.040909,0.009091,220,1,5,4,1,1301,0
1,0.804625,0.235892,0.129797,177.2,0,7,77,0.8,1274,1
1,0.126579,1.521739,1.53913,38.333333,1,5,6,0.333333,1192,1
1,0.667714,0.029018,0.066964,448,1,6,6,1,6401,0
1,0,0.031933,0.067227,595,0,5,1,1,1047,0
1,0,0.011589,0.009934,604,0,5,0,1,1041,0
1,0.725686,0.02381,0.010476,350,1,5,17,1,1000,0
2,0,0,0,27,0,1,0,0.25,118,0
1,0,0.736842,0.789474,19,0,1,0,1,6029,0
1,0.916726,0.082996,0.071862,197.6,0,4,242,0.4,5990,1
1,0,0,0,20,0,1,0,0.333333,2678,1
1,0,0,0,63.156951,0,1,0,0.004484,223,1
3,0.680559,0.616071,0.189286,46.666667,0,1,92,0.583333,1169,1
2,0,0.067164,0.097015,16.75,0,1,0,0.25,652,0
1,0,0.285714,0.190476,42,0,1,2,1,643,0
1,0,0.004167,0.004167,240,1,2,29,1,5,0
1,0.753502,0.082508,0.009901,181.8,0,1,35,0.2,625,0
4,0.629258,0.25,0.101145,104.8,0,1,93,0.4,2319,1
1,1,0.035088,0.035088,85.5,0,1,20,0.5,645,0
2,0.63093,0.008969,0.017937,74.333333,1,1,30,0.333333,1043,1
1,0,0.007194,0.007194,139,0,1,0,1,697,0
2,0.976305,0.031609,0.027299,174,1,1,8,0.5,987,0
1,0,0.048851,0.045977,348,1,2,19,1,6,0
4,0,0,0,34.875,0,1,0,0.125,1279,0
1,0,0,0,67.8,0,1,0,0.003077,548,1
5,0,0,0,40.5,0,1,0,0.083333,1391,0
5,0.772281,0.144882,0.041732,84.666667,0,1,310,0.533333,1391,0
2,0.889513,0.032103,0.004815,207.666667,0,1,24,0.666667,1012,0
3,0.933574,0.316294,0.111821,52.166667,1,2,133,1,12,0
4,0,0,0,28,0,1,0,0.045455,1059,1
1,0,0,0,40.603175,0,1,0,0.015873,611,1
4,0.870059,0.204225,0.158451,56.8,0,1,19,0.466667,1258,0
1,0,0,0,0,0,1,15,1,5,0
1,0,0,0,3,0,1,0,1,1,0
1,0,0,0,12,0,1,0,0.030303,33,0
3,0.886292,0.075153,0.004601,108.666667,1,1,46,0.666667,1088,0
3,0,0,0,67.714286,0,1,0,0.142857,1150,0
3,0.64448,0.061033,0.018779,30.428571,0,1,96,0.714286,1150,0
2,0,0,0,6.75,0,1,0,0.25,664,0
1,0,0.031746,0.015873,63,0,2,41,1,1797,0
1,0,0.223022,0.057554,139,0,6,0,1,1721,0
1,0,0,0,0,0,1,84,1,13,0
1,0,0,0,0,0,2,137,1,18,0
1,0,0,0,17,0,1,0,1,1,0
1,0.98648,2.438596,0,28.5,0,1,28,1,8,0
1,0,0,0,0,0,1,0,1,2,0
2,0.928839,0.093458,0.191589,107,0,2,0,0.5,1778,0
1,0,0.066667,0.5,30,0,1,0,1,5,0
1,0,2.583333,0,36,0,1,0,1,2,0
1,0,0,0,122,0,1,0,1,9,0
1,0,0.769231,0.307692,26,1,1,36,1,10,0
1,0,0,0,0,0,1,0,1,4,0
1,0,2.4,0,25,0,1,0,1,4,0
1,0.591673,0.211414,0.079118,385.5,1,1,25,1,1008,1
1,0,0,0,19.181818,0,1,0,0.045455,682,0
1,0,0,0,7,0,1,0,0.25,707,0
1,0,0,0,29.6,0,1,0,0.2,792,0
1,0,0.272727,0.090909,11,0,1,70,1,1055,0
1,0,0,0,13,0,1,0,1,733,0
1,0,0,0,7,0,1,0,0.333333,703,0
1,0.970951,0.042735,0,58.5,1,1,20,1,753,0
1,0,0,0,23.6,1,1,0,0.2,743,1
1,0.974252,0.160643,0.297189,83,0,1,147,1,1063,0
1,0,0,0.045455,44,0,1,56,1,1056,0
1,0,0,0,96,0,1,0,1,793,0
1,0,0,0,27,0,1,0,0.25,690,0
1,0.484206,0.148241,0.371859,66.333333,0,1,18,0.5,764,0
1,0.533563,0.076687,0.027607,65.2,1,1,20,1,751,0
2,0.30127,21,18,0,0,15,238874,0.276793,19576,0
2,0.358423,0.136086,0.764526,93.428571,1,8,349,1,17835,1
2,0,0,0,49.127273,0,1,0,0.018182,16553,1
1,0,0,0,59,0,1,0,0.5,817,0
1,0.593229,0.14983,0.038593,220.25,0,1,28,0.75,1003,0
1,0.697436,0.180371,0.156499,25.133333,0,1,206,0.533333,792,0
1,0.67839,0.12,0.146667,18.75,0,1,28,0.25,690,0
1,0,0,0,31.166667,0,1,0,0.166667,721,0
1,0,0,0,36.166667,0,1,0,0.166667,772,0
1,0,0,0,286.333333,1,1,0,0.333333,1040,0
1,0,1.028754,0.308307,313,0,1,16,1,772,0
1,0.340311,0.427481,0.29771,81.875,0,1,55,0.25,721,1
1,0,0.132743,0.165192,339,0,1,0,1,1049,0
1,0,0.067524,2.279743,311,1,1,10,1,1041,1
1,0.780502,0.81741,0.41189,235.5,1,1,20,1,736,0
1,0.625829,0.148872,0.066165,221.666667,0,1,3,0.333333,651,0
1,0.78355,0.258065,0.350806,82.666667,0,1,48,1,1048,0
2,0.69565,0.014675,0.01782,183.461538,1,10,1734,0.461538,18104,1
1,0.918296,0.002801,0.005602,178.5,1,1,20,0.5,745,0
1,0.628475,0.1875,0.155303,52.8,0,1,70,0.1,703,1
1,0,0.265625,0.1875,128,1,1,8,1,1006,0
1,0.665893,0.86014,0.342657,57.2,0,1,715,1,926,1
1,0,0.6,1.322222,11.25,0,1,56,0.125,682,1
1,0,0.006667,0.006667,150,0,1,1,1,652,0
1,0,0,0,27,1,1,0,1,736,1
2,0.604113,0.189974,0.14248,126.333333,1,5,597,1,17826,1
1,0,0,0,133,1,1,0,1,751,0
1,0,0,0,116,0,1,0,0.333333,726,1
1,0,0,0,235,0,1,0,1,1048,0
1,0.677175,0.320611,0.248092,43.666667,0,1,42,0.166667,733,1
1,0,0,0,0,0,1,12,0.5,726,0
1,0.289079,1.014085,0.098592,35.5,1,1,27,1,743,1
1,0.354738,1.004167,0.504167,48,0,1,713,0.8,871,1
1,0.147465,0.798077,0.865385,26,0,1,406,0.5,586,1
1,0,0,0,0,0,1,340,1,514,0
1,0,0,0,5.857143,0,1,0,0.142857,586,0
1,0,0,0,8,0,1,0,0.166667,863,0
1,0,0,0,10.875,0,1,0,0.125,843,0
1,0,0,0,2,0,1,0,1,938,0
1,0,0,0,22.666667,0,1,0,0.333333,871,0
1,0,0,0,27.6,0,1,0,0.1,831,0
1,0,0.277778,0.277778,18,0,1,171,1,431,1
1,0,0,0,18,0,1,0,1,406,0
1,0,0,0,60.5,0,1,0,0.25,345,1
1,0,0,0,24,0,1,0,0.333333,350,0
1,0,0,0,24.5,0,1,0,0.1,899,1
1,0.66501,0.165179,0.013393,74.666667,1,1,33,1,1044,0
1,0.873981,0.117647,0.082353,42.5,0,1,0,1,940,0
1,0.770872,0.30855,0.087361,59.777778,0,1,630,0.5,899,0
1,0.804446,0.411765,0.184314,51,0,1,520,0.6,562,0
2,0.946714,0.074742,0.072165,27.714286,0,1,2551,0.428571,14998,0
1,0.875416,0.086176,0.084381,42.846154,0,1,1342,0.461538,405,0
1,0,0,0,34.571429,0,1,0,0.047619,341,1
1,0,0.612903,0.258065,62,1,1,22,1,594,0
2,0.670387,0.109718,0.10815,106.333333,0,7,365,0.833333,16226,1
2,0.367111,0.117647,0.147059,27.2,0,6,98,0.8,16122,0
2,0.716636,0.106707,0.07622,109.333333,0,6,211,1,14603,1
2,0.911534,0.032,0.056,31.25,1,1,261,1,13380,0
1,0.424831,0.012876,0.025751,46.6,1,1,185,0.6,355,0
1,0.617522,0.261017,0.223729,26.818182,0,1,1674,0.363636,575,0
1,0,0.090909,0.090909,44,0,1,114,1,407,0
1,0,0,0,11.666667,0,1,0,0.166667,918,0
1,0,0,0,36,0,1,0,1,562,0
1,0,0,0,27.5,0,1,0,0.5,347,0
1,0.615232,0.121739,0.113043,38.333333,1,1,650,1,757,0
1,0,0,0,42.5,0,1,0,0.5,575,0
1,0,0,0,7,0,1,0,1,431,0
2,0.79381,0.129542,0.048973,126.6,1,3,69,0.4,17436,0
1,0,0,0,12,1,1,0,1,754,0
1,0,0,0,0,0,1,0,1,2,0
1,0,0.567568,0.153153,111,0,1,0,1,10,0
2,0.755754,0.277778,0.111111,90,1,7,134,0.5,85,0
1,0,1.675676,0,74,0,1,0,1,2,0
1,0,0,0,0,0,1,0,1,10,0
1,0.437734,1.768041,0,97,0,1,0,0.5,10,0
1,0,0,0,0,0,1,0,1,10,0
1,0,0,0,0,0,1,0,1,4,0
1,0,1.769231,0,13,0,1,0,1,4,0
1,0,0,0,0,0,1,0,1,27,0
1,0,0,0,0,0,1,0,1,27,0
1,0,0,0,0,0,1,0,1,27,0
1,0,0,0,0,0,1,0,1,27,0
1,0,0,0,0,0,1,0,1,27,0
1,0,0,0,0,0,1,0,1,27,0
1,0,0,0,0,0,1,0,1,27,0
1,0.854993,1.596639,0,59.5,0,1,0,0.125,27,0
1,0,0,0,0,0,1,0,1,27,0
1,0,0,0,0,0,1,0,1,29,0
1,0,1.636364,0,77,0,1,0,1,29,0
1,0,0,0,0,0,1,0,1,41,0
1,0,0.134328,1.044776,67,0,1,0,1,57,0
1,0,0,0,0,0,1,0,1,55,0
1,0,0,0.011299,177,0,1,0,1,58,0
1,0,0,0,0,0,1,0,1,41,0
1,0.875463,1.770764,0,50.166667,0,1,0,0.166667,41,0
1,0,0,0,0,0,1,0,1,55,0
1,0,0.233333,0.2,30,0,1,0,1,56,0
1,0.837994,1.629252,0,84,0,1,0,0.142857,55,0
1,0,0,0,0,0,1,0,1,41,0
1,0,0,0,0,0,1,0,1,41,0
1,0,0,0,0,0,1,0,1,41,0
1,0,0,0,0,0,1,0,1,41,0
1,0,0,0,0,0,1,0,1,55,0
1,0,0,0,0,0,1,0,1,55,0
1,0,0,0,0,0,1,0,1,55,0
1,0,0,0,0,0,1,0,1,55,0
1,0,0,0,0,0,1,0,1,55,0
1,0,0,0,55,0,1,0,1,758,1
1,0,0.092593,0.018519,54,1,1,8,1,1184,0
1,0,0.019231,0,52,0,1,65,1,1183,0
1,0,0,0,56,0,1,0,1,385,0
1,0,0,0,0,0,1,187,1,429,0
1,0,0,0,0,0,6,4500,0.4,504,0
1,0,0,0,9,0,1,0,1,298,0
1,0,0.282051,0.102564,39,0,1,710,1,432,0
1,0,0,0,9,0,1,0,1,505,0
1,0.422893,0.876513,0.769976,43.473684,0,10,5007,0.789474,13919,0
1,0,0,0,12,0,1,0,1,35,0
1,0,0,0,12,0,1,0,1,512,0
1,0,0,0,0,0,1,408,1,519,0
1,0,0,0,10,0,1,0,0.5,300,0
1,0,0,0,0,0,2,620,1,493,0
1,0,0,0,9,0,1,0,1,506,0
1,0,0,0,0,0,2,47,1,509,0
1,0,0,0,61.5,0,1,0,0.166667,28,1
1,0,0,0,61.5,0,1,0,0.166667,484,0
1,0,0,0,0,0,1,767,1,491,0
1,0,0,0,12,0,1,0,1,34,0
1,0,0,0,12,0,1,0,1,513,0
1,0,0,0,0,0,1,23,1,23,0
1,0,0,0,0,0,2,135,1,408,0
1,0,0,0,74,0,1,0,0.5,13,1
2,0.957675,2.304897,2.304724,39.047297,0,8,147,0.02027,1088,1
2,0.443,1.69964,1.69964,55.6,0,6,575,0.5,2007,1
2,0.868247,1.407118,1.407292,112.941176,0,8,1770,0.431373,1306,1
1,0,0.02521,0.02521,119,0,1,218,1,142,0
1,0,0,0,46.533333,0,1,0,0.022222,101,0
1,0,0,0,0,0,2,31649,0.045455,476,0
1,0,0,0,11,0,1,0,1,515,0
1,0,0,0,45,0,1,0,0.5,25,0
1,0,0,0,0,0,1,0,1,116,0
1,0,2.783784,0,37,0,1,0,1,116,0
1,0,0,0,0,0,1,6,1,508,0
1,0,0,0,34,0,1,0,1,119,0
1,0,0,0,39,0,1,0,0.5,518,0
2,0.690767,0.109049,0.034803,86.2,1,2,37,1,7006,0
1,0,0,0,0,0,2,413,1,478,0
1,0.859335,0.056856,0.080268,27.181818,0,1,11,0.090909,233,0
1,0,0,0,24.5,0,1,0,0.5,18,0
1,0,0,0,11,0,1,0,1,491,0
1,0,0.181818,0.181818,11,0,1,9,1,535,0
1,0.244154,1.562141,1.407266,130.75,1,2,94,0.5,148,1
2,0.743698,0.230807,0.152575,70.965517,1,6,2427,0.689655,5900,0
1,0,0,0,0,0,1,0,1,118,0
1,0,2.5,0,38,0,1,0,1,118,0
2,0.84964,0.895219,0.896529,58.730769,0,6,740,0.423077,1708,1
1,0,0,0,39,1,1,0,1,148,1
1,0,0.051282,0.051282,39,0,1,10,1,556,0
1,0,2.181818,1.727273,11,1,2,201,1,297,0
1,0,0,0,68,0,1,0,0.5,37,1
1,1,0.264463,0.016529,60.5,0,2,133,1,29,0
2,0.875332,1.828386,1.874787,54.277778,0,7,2423,0.722222,8572,1
1,0,0.024096,0.024096,83,1,2,18,1,320,0
1,0,0.021053,0.010526,95,1,1,6,1,143,0
1,0,0.138298,0.095745,94,1,1,3,1,134,0
2,0.768254,0.153798,0.05604,66.916667,1,4,2390,0.541667,6682,1
2,0,0.102041,0.040816,8.166667,1,2,26,0.5,6993,0
1,0,0,0,24.166667,0,1,0,0.166667,7,1
1,0,0.166667,0.25,12,1,2,5,1,149,0
2,0,0.005405,0.005405,92.5,1,5,24,1,6999,0
1,0.94566,0.01845,0.02214,135.5,1,2,330,0.5,410,0
1,0,1.587838,1.587838,148,0,1,0,0.333333,31,0
1,0,0,0,148,0,1,0,0.333333,28,0
2,0.861546,0.031579,0.031579,166.25,1,7,217,0.75,23,1
1,1,0.009756,0.009756,205,1,5,96,0.5,296,0
1,0,2.105405,2.075676,370,1,4,39,1,1,1
2,0.471933,0.124123,0.123145,57.299065,0,7,19651,0.378505,882,1
1,0,0,0,121.75,0,1,0,0.25,489,0
1,0.576632,0.630564,0.824926,35.473684,1,3,3862,0.263158,319,1
1,0,0,0,31.666667,0,1,0,0.333333,11,1
1,0,0,0,0,0,1,21,1,589,0
1,0,0,0,0,0,4,212,1,512,0
1,0,0,0,104,0,1,0,1,19,0
1,0,0,0,32,0,1,0,1,22,1
1,0,1.835616,2.643836,73,0,4,130,1,48,1
1,0.981941,0.22695,0.042553,70.5,0,4,357,1,26,0
1,0,2.157407,2.12963,108,1,3,39,1,2,1
1,0,0,0,72,0,1,0,1,508,0
1,0,0,0,0,0,1,767,1,489,0
1,0,0.0625,0.15625,32,1,2,0,1,27,0
1,0,0,0,20,0,1,0,1,555,0
1,0,0,0,30,0,1,0,1,494,0
1,0.882657,0.116022,0.119968,46.925926,1,6,4687,0.37037,384,1
1,0.974981,0,0.083612,27.181818,0,1,66,0.090909,222,0
1,0.993238,0.863813,0.785992,28.555556,0,1,1029,0.444444,180,0
1,0,0,0,32.5,0,1,0,0.083333,49,1
1,0.957608,0.072993,0.10219,45.666667,1,4,128,0.222222,284,0
2,0.912187,1.201842,1.161934,86.866667,1,7,1009,0.466667,209,1
1,0.852992,0.308642,0.028807,40.5,0,1,18,0.166667,56,0
2,0.841092,0.443836,0.432877,45.625,0,5,312,0.5,7046,0
2,0.830056,0.035545,0.022512,168.8,0,6,32,0.8,7690,0
1,0,0,0,37.875,1,1,0,0.125,114,1
1,0,0,0,0,0,4,492,0.333333,293,0
1,0.717753,0.613636,0.20202,44,0,1,420,0.444444,158,0
1,0,0,0,17,0,1,0,0.5,392,0
1,0,0.058824,0.058824,17,1,1,167,1,294,0
1,0,0,0,13.75,0,1,0,0.25,138,0
1,0,0.019608,0.019608,51,1,1,6,1,114,0
1,0.953583,0.315385,0.161538,32.5,0,1,24,0.25,105,0
1,0,0.03125,0.03125,32,1,2,0,1,4,0
1,0.979032,1.23913,0.782609,15.333333,0,1,3,0.333333,141,0
2,0.024639,0.218085,1.297872,9.4,0,7,4311,0.3,14287,0
1,0.498396,0.112676,0.098592,17.75,0,3,741,0.75,392,0
1,0,0,0,0,0,1,30,1,50,0
1,0,0.022472,0,89,1,1,7,1,33,0
1,0,0.159091,0,88,0,1,25,1,32,0
1,0.38715,0.039157,0.060241,110.666667,1,2,393,1,287,0
1,0,0,0,0,0,4,212,1,518,0
1,0,1.8,1.6,20,1,3,30,1,8,0
2,0.663197,0.112299,0.042781,93.5,1,5,0,1,8699,1
2,0.681785,1.61461,1.546599,39.7,0,5,42,0.3,8593,1
1,0,0.041667,0.083333,24,1,3,6,1,3,0
1,0,0.04,0.08,25,0,2,12,1,1,0
1,0,0,0,21,0,1,0,1,510,0
1,0,0,0,43,0,1,0,0.5,6,0
1,0,0,0,15,0,1,0,1,1188,0
1,0.94776,0.024546,0.024546,78.083333,0,2,91,0.666667,3856,1
1,0,0.037037,0.006173,162,0,3,17,1,5985,0
1,0,0,0,70.5,0,1,0,0.5,3889,0
1,0,0,0,34,0,1,0,1,2760,0
1,0.274644,0.787986,0.65371,31.444444,0,6,1024,0.666667,15770,0
1,0,1.275591,1.385827,127,0,4,12,1,1982,1
1,0.891161,1.634551,1.495017,100.333333,0,5,57,0.666667,8466,0
1,0.118859,0.773973,0.929224,219,0,5,3,1,8468,1
1,0.842118,0.097007,0.019956,150.333333,0,11,186,0.416667,1635,1
1,0.310918,0.051064,0.034043,47,0,3,0,0.8,3924,1
1,0,0,0,24,0,1,0,1,11411,0
1,0.795269,1.310526,0.993421,76,0,5,812,0.2,10419,1
1,0,0,0,6,0,1,0,1,5262,0
2,0.971555,0.018397,0.015769,190.25,0,8,78,1,17600,0
1,0.696723,0.480568,0.102392,74.333333,0,4,1008,0.833333,5948,1
1,0.692678,0.62584,0.374907,74.388889,0,7,2506,0.444444,15833,1
1,0.881291,0.060345,0.025862,58,0,2,8,1,4190,1
1,0,0,0,21.333333,0,1,0,0.333333,2074,0
1,0,0.010256,0.010256,195,0,1,0,1,2570,0
1,0,0.469388,0.020408,49,0,3,79,1,2218,0
1,0,0,0,40.5,0,1,0,0.5,10275,0
1,0,0,0,23,1,1,0,1,17019,0
1,0.702093,0.164384,0.133562,97.333333,1,3,563,1,1921,0
1,0.74136,0.072619,0.042857,70,0,8,1027,0.833333,1733,1
1,0,2.618421,2.690789,152,0,6,37,1,1992,0
1,0.961032,0.426923,0.553846,130,0,4,156,1,1991,0
1,0,0.11215,0.028037,107,0,2,3,1,569,0
1,0,0,0,66.3,0,1,0,0.1,5681,1
1,0,0.293478,0.076087,92,0,4,1,1,1339,1
1,0,0.0625,0.0625,16,1,3,210,1,13895,0
1,0,0,0,7,0,1,0,0.5,16494,0
1,0.78209,0.053435,0.035623,131,0,4,583,0.666667,15916,1
1,0.969724,0.017647,0.017647,68,1,8,198,0.6,13570,0
1,0,0,0,34.666667,0,1,0,0.333333,10253,1
1,0,0,0,34.666667,0,1,0,0.333333,15916,0
1,0.491237,0.030227,0.040302,198.5,1,5,65,1,6267,0
1,0,0,0,35,0,1,0,1,15759,0
1,0,0,0,44,0,1,0,1,8593,1
1,0,0,0,66,1,1,0,1,4424,1
1,0,0,0,38,0,1,0,1,9847,0
1,0,0,0,50,0,1,0,1,1108,0
1,0,1.403509,0.350877,57,0,4,18,1,16868,0
1,0.798652,0.307471,0.58908,29,0,5,2325,0.333333,13879,0
1,0.918296,0.00885,0,169.5,0,2,145,1,13843,1
1,0.782933,0.203279,0.055738,130.714286,0,5,152,1,6467,0
1,0,1.888889,0,27,1,1,18,1,5441,0
1,0,0,0,53,0,1,0,1,16384,1
1,0,0.127451,0.161765,204,0,4,0,1,6325,0
1,0,0,0,0,0,1,0,1,3672,0
1,0.961586,0.008883,0.004208,305.571429,0,3,96,0.857143,3455,0
1,0,0,0,39,0,1,0,1,483,0
1,0,0.031746,0,63,0,4,259,1,17063,0
1,0,0.006173,0.006173,162,1,2,25,1,4807,0
1,0,0.3125,0.0375,160,0,5,1,1,11191,0
1,0,2.489796,2.278912,147,0,4,19,1,233,1
1,0.590387,0.181818,0.071625,90.75,0,4,21,1,5785,0
1,0.63431,0.321513,0.1513,211.5,0,1,0,0.5,33,0
1,0,0,0.009346,107,0,3,0,1,3555,0
1,0,0.013265,0.041837,980,0,2,0,1,3448,0
1,0.811278,0.022161,0.022161,180.5,0,2,28,1,483,0
1,0.830923,0.0701,0.044349,116.5,1,9,410,1,15897,1
1,0.954434,0.266667,0.666667,30,0,1,122,0.5,276,1
1,0,0,0,260.5,1,1,0,0.25,3576,1
1,0.590645,0.019934,0.046512,75.25,0,3,60,1,69,0
1,0.657883,0.117458,0.028158,177.571429,0,7,206,1,1519,1
1,0.472377,0.375312,0.273363,285.857143,0,6,309,0.857143,1411,1
1,0.585937,0.277019,0.122981,115,0,2,146,1,4616,1
1,0,0.040816,0.061224,49,0,6,135,1,16508,0
1,0.507042,0.929682,0.841785,123.25,0,4,84,0.416667,8350,1
1,0,0.707182,0.541436,181,0,1,72,1,4606,0
1,0.80473,0.055576,0.034965,143,0,3,109,0.526316,2750,1
1,0,0,0,18.666667,0,1,0,0.333333,4711,0
1,0,0,0,34,0,1,0,1,2750,0
1,0.318894,0.399293,0.270907,283,1,7,110,1,10656,1
1,0,1.593838,1.540616,357,1,5,1,1,10534,1
1,0.557286,0.101077,0.034797,201.166667,1,6,436,0.666667,10521,1
1,0,0.373134,0.134328,134,0,4,0,1,508,0
1,0.889095,0.028028,0.04004,111,0,4,47,0.555556,190,0
1,0,0.072464,0.014493,69,0,2,16,1,1546,0
1,0,0.483333,0.358333,120,0,6,9,1,10131,1
1,0.098959,0.352941,0.352941,110.5,1,5,53,1,8591,1
1,0.682592,0.31068,0.242718,117.714286,1,6,103,0.571429,8553,1
1,0.11249,1.017316,1,231,1,5,169,1,10680,1
