@relation log4j-1.0_deleteColumns-weka.filters.unsupervised.attribute.Remove-R4-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R9-weka.filters.unsupervised.attribute.Remove-R16-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.Remove-R10

@attribute dit numeric
@attribute noc numeric
@attribute lcom numeric
@attribute ca numeric
@attribute ce numeric
@attribute npm numeric
@attribute lcom3 numeric
@attribute dam numeric
@attribute moa numeric
@attribute cam numeric
@attribute ic numeric
@attribute cbm numeric
@attribute amc numeric
@attribute avg_cc numeric
@attribute bug {1,0}

@data
1,0,0,1,0,0,2,0,0,0,0,0,0,0,0
1,0,0,1,1,0,2,0,0,0,0,0,0,0,0
2,0,28,0,0,8,2,0,0,0.46875,1,2,1.625,0.875,0
2,0,29,1,7,8,0.911111,0.2,1,0.555556,1,3,13,1.4,0
1,0,36,18,4,9,2,0,0,0.259259,0,0,0,1,1
2,0,0,1,1,2,1,0,2,0.555556,1,1,13,1.75,0
1,0,11,0,6,3,0.666667,0,1,0.375,0,0,13.857143,0.8571,0
2,0,83,1,5,10,0.871795,1,0,0.384615,1,1,9.785714,0.7143,1
1,0,0,1,4,2,0,0,2,0.666667,0,0,32,1,0
3,0,1,1,4,1,2,0,0,0.75,1,1,6,0.5,0
1,1,0,1,1,0,2,0,0,1,0,0,3,0,0
2,0,52,0,9,8,0.939815,0,2,0.346154,2,3,32.153846,2.3846,1
1,0,17,0,4,2,0.666667,0,1,0.277778,0,0,20.857143,1,0
2,0,0,0,3,4,0.916667,0,0,0.5,0,0,17,2.5,0
1,0,0,0,0,2,0.208333,0,0,0.333333,0,0,51.4,2,0
1,5,7,7,2,2,0.72,0,1,0.44,0,0,27.166667,1.8333,0
2,0,153,16,14,9,0.939815,0.25,1,0.25731,1,1,38.052632,2.4211,1
1,0,10,0,1,4,2,0,0,0.666667,0,0,10.6,0.8,0
2,0,6,0,2,4,2,0,0,0.5,0,0,2,0.75,0
2,0,29,1,7,8,0.911111,0.2,1,0.777778,1,4,13,1.4,1
1,0,4,0,5,2,0.833333,0,1,0.333333,0,0,19.25,0.5,0
1,0,0,0,1,11,0.083333,0,1,0.297619,0,0,17,0.8462,0
1,0,14,0,7,2,0.75,0,2,0.238095,0,0,37,1.5,0
1,0,8,0,0,1,0.833333,0,0,0.3125,0,0,94.2,2,0
1,0,8,0,4,2,0.697917,0,4,0.15,0,0,38.076923,2.7692,0
2,0,223,6,15,8,1.013605,0,0,0.21645,1,1,51.181818,3.2273,1
2,0,13,3,3,6,0.8,0,0,0.444444,0,0,7.833333,0.8333,0
1,3,10,6,2,5,1.25,0,1,0.466667,0,0,0.8,0.8,1
1,0,0,8,1,1,0,0,0,1,0,0,14.333333,0.6667,0
2,0,41,3,6,10,0.846154,0.153846,1,0.244898,2,3,23.714286,1.6429,1
3,2,6,4,0,4,1.333333,0,0,0.357143,1,3,26,1.75,0
1,0,17,0,3,2,0.833333,0,1,0.277778,0,0,13.571429,1.1429,0
1,0,0,8,0,1,2,0,0,1,0,0,0,1,0
1,0,9,0,4,2,0.666667,0,1,0.333333,0,0,22.5,1,0
4,0,0,1,2,4,0.333333,1,0,0.4,2,2,8.25,0.75,0
1,0,0,0,1,2,0.5,0,1,0.25,0,0,30.8,1.4,0
2,0,25,0,5,7,0.761905,0,0,0.361111,2,3,25.5,1.8,0
1,0,0,2,1,1,2,0,0,1,0,0,0,1,0
1,0,0,8,1,1,2,0,0,1,0,0,0,1,0
1,0,6,0,6,2,0.666667,0,3,0.257143,0,0,46.5,1.75,1
1,0,8,4,14,2,0.956044,0.461538,3,0.375,0,0,82.125,6.25,1
1,0,0,4,1,1,2,0,0,1,0,0,0,1,0
1,0,1,1,1,1,2,0,0,0.75,0,0,3,0.5,0
2,0,8,0,4,7,0.822917,0,1,0.21875,0,0,32.555556,2,0
3,0,4,0,3,3,0.5,0,0,0.36,1,7,14,1.2,0
1,0,15,4,1,6,2,0,0,0.555556,0,0,0,1,0
1,0,1,14,1,2,2,0,0,0.75,0,0,0,1,0
1,0,10,0,7,2,0.875,0,0,0.3,0,0,27.6,1.4,0
4,0,0,2,5,4,1.066667,0,1,0.625,2,4,17,1.5,0
1,0,2,1,7,5,0.375,0,3,0.4,0,0,47.8,1.6,0
1,0,5,0,3,2,0.566667,0,1,0.333333,0,0,26.285714,1.7143,1
1,0,10,0,8,2,2,0,0,0.266667,0,0,100.6,1.4,0
1,0,0,1,3,2,0.25,0,1,0.666667,0,0,35.5,1,0
1,0,76,20,6,10,0.861111,0,0,0.183333,0,0,39.846154,3,1
1,0,4,0,0,3,0.333333,0,0,0.333333,0,0,27.25,1.5,0
5,0,8,3,7,3,0.875,0,3,0.3,0,0,56,1,0
1,0,10,3,2,7,0.375,0,1,0.4375,0,0,12.111111,1.6667,0
1,0,1,0,7,2,2,0,0,0.666667,0,0,6.5,0.5,0
1,0,0,3,1,7,0.366667,0,1,0.52381,0,0,32,2.5714,1
1,0,1,2,2,1,2,0,0,0.75,0,0,4,0.5,0
4,0,0,1,2,4,0.5,0,0,0.5,2,2,8.75,0.75,0
2,0,0,1,2,3,0,0,1,0.583333,0,0,8,0.75,0
2,0,14,0,9,12,0.863636,0,3,0.375,2,3,13,1.3333,1
4,0,4,2,1,4,0.333333,0,0,0.357143,1,3,18.75,0.75,0
1,0,4,0,7,2,0.666667,0,0,0.333333,0,0,32.25,1.5,0
1,0,1,0,2,2,2,0,0,0.75,0,0,49,1.5,0
1,0,17,0,4,2,0.666667,0,1,0.333333,0,0,20.714286,1,0
1,0,15,0,2,2,0.611111,0,1,0.277778,0,0,15.285714,1.1429,0
1,0,15,0,2,1,0.625,0,1,0.277778,0,0,22.428571,1.1429,0
2,0,0,1,1,2,0.916667,0.25,1,0.555556,0,0,9.75,1.25,0
1,0,0,0,0,0,2,0,0,0,0,0,0,0,0
3,0,1,1,0,3,0.5,1,0,0.444444,1,3,5.333333,0.6667,0
2,0,0,0,4,4,0.916667,0,1,0.5,0,0,15.25,2,1
2,0,30,9,4,8,0.9375,0.625,1,0.518519,0,0,10.777778,1.2222,1
2,2,2,4,1,2,0.625,0.333333,0,0.466667,1,1,16.8,1.4,1
1,0,22,0,6,2,0.942857,0,7,0.285714,0,0,38.25,2,0
1,0,24,15,7,9,0.704545,0.25,3,0.272727,0,0,27.5,2.1667,1
2,0,15,0,3,6,1,0,0,0.5,1,1,4.333333,0.8333,0
1,0,17,0,2,2,0.666667,0,1,0.277778,0,0,11.571429,1,0
2,0,0,0,1,0,2,0,0,1,0,0,3,0,0
1,0,24,0,4,2,0.714286,0,1,0.214286,0,0,39,1,1
4,0,0,1,1,0,2,0,0,1,0,0,6,0,0
2,0,0,1,3,1,0,0,1,0.666667,0,0,23.5,1,0
2,0,0,1,2,4,0.25,0,1,0.533333,1,1,6.2,0.8,0
1,0,17,0,2,2,0.666667,0,1,0.277778,0,0,17.428571,1,0
3,0,1,1,4,1,2,0,0,0.75,1,1,6,0.5,0
