@relation 'camel-1.2_deleteColumns-weka.filters.unsupervised.attribute.Remove-R1-2,4-12,14,16-20'

@attribute noc numeric
@attribute moa numeric
@attribute cam numeric
@attribute bug {1,0}

@data
0,1,0.425,1
0,1,0.36,0
0,3,0.252525,1
0,0,0.416667,0
0,0,0.75,0
0,0,0.4,0
0,0,0.666667,0
0,1,0.466667,1
0,1,0.329545,1
0,0,0.416667,1
0,0,0,0
0,0,0.297561,0
0,0,1,0
0,0,0.666667,0
2,0,0.5625,1
0,0,0.375,1
0,0,0.25,1
0,1,0.571429,0
0,0,0.416667,0
0,2,0.191667,0
3,0,0.4,0
1,0,0.777778,0
0,0,0.339286,0
0,0,0.4375,0
4,0,0.5,0
0,0,1,0
0,0,1,0
0,0,0.666667,0
0,1,0.666667,0
27,0,0.380952,1
0,0,0.333333,0
0,0,1,0
0,0,0.666667,0
4,1,0.428571,1
0,0,0.5,1
3,1,0.131579,1
0,0,0.75,0
0,0,0.44,0
11,7,0.133772,1
0,0,0.5,0
0,0,0.666667,0
0,0,0.5,0
0,3,0.357143,0
0,4,0.444444,0
0,2,0.555556,0
1,2,0.2,0
0,0,1,0
0,0,1,1
0,4,0.314815,1
0,0,0.416667,1
6,0,0.5625,0
0,0,0.5,0
0,0,0.338235,0
0,0,0.3,1
0,1,0.305556,0
0,2,0.625,1
0,2,0.284722,1
0,2,0.314286,0
0,0,0,0
2,0,0.533333,0
0,0,0.607143,0
0,2,0.28,0
0,0,0.75,0
0,1,0.5,0
0,1,0.220238,0
0,0,0.339286,0
0,1,0.305556,0
0,0,0.4,0
9,0,0.333333,1
0,2,0.235294,0
1,2,0.130769,1
0,0,0.2625,0
3,0,0.666667,0
0,0,0.5,0
0,2,0.333333,0
3,1,0.327273,1
0,0,0.35,0
0,0,0.714286,1
0,1,0.104859,1
0,0,1,1
0,0,0.409524,0
0,1,0.24359,0
0,1,0.555556,0
0,0,1,0
0,0,0.4875,0
0,0,0.47619,0
0,0,0.75,1
0,1,0.407407,0
0,0,0.4375,1
0,0,1,1
0,0,0.75,0
0,0,0.199234,1
0,0,0.44,1
3,0,1,0
0,0,0.5,0
0,1,0.444444,0
0,0,1,0
0,0,1,1
4,2,0.375,0
0,0,0.666667,1
0,2,0.13,1
0,1,0.666667,0
0,2,0.16,0
2,0,0.4,0
0,2,0.3,0
0,0,0.373913,0
0,2,0.4375,0
0,0,0.625,0
0,1,0.466667,1
0,0,0.777778,0
0,1,0.6,0
0,0,0.666667,1
0,0,0.666667,0
0,0,0.347222,0
0,0,0.666667,0
2,5,0.179688,1
0,0,1,0
0,0,0.666667,0
0,1,1,0
0,2,0.625,0
0,1,0.092697,0
0,0,0.666667,0
0,2,0.777778,1
0,0,0.333333,1
0,0,0.666667,1
0,9,0.444444,0
0,0,1,0
0,0,0.466667,0
0,0,0.136364,1
0,0,1,0
0,0,0.4375,1
0,0,0.4375,1
0,0,0.4,1
0,0,0.666667,1
0,0,1,0
0,0,0.1,1
0,0,0.28,1
0,1,0.245614,0
3,0,0.666667,1
0,0,0.5,1
2,0,1,0
0,0,1,0
0,0,0.349206,0
0,2,0.235294,0
0,0,1,0
0,0,1,0
0,0,0.583333,0
0,0,0.306122,0
0,1,0.301587,0
0,0,0.4375,0
0,0,0.625,0
0,1,0.202381,0
0,0,0.833333,0
0,2,0.340909,0
0,5,0.117347,1
0,0,1,1
0,2,0.285714,1
0,0,0.333333,0
0,0,0.666667,0
0,0,0.583333,1
7,1,0.230769,1
0,0,1,0
0,0,0,0
0,1,0.333333,1
0,0,0.309524,0
0,0,0.555556,1
0,0,0.373913,0
0,0,0.5,0
0,0,0.666667,0
0,0,0.666667,0
0,0,1,0
0,1,0.666667,0
2,0,0.265625,0
0,0,1,0
0,0,0.214815,1
0,1,0.25,0
0,0,0.833333,0
0,0,0.181818,0
0,1,0.3,0
0,0,0.177778,0
0,1,0.357143,1
1,0,0.642857,0
10,1,0.5,1
0,0,0.6,0
1,1,0.388889,1
11,3,0.067131,1
0,0,0.666667,0
0,1,0.4,0
0,0,0.375,0
0,1,0.36,1
0,1,0.305556,0
0,1,0.4375,1
0,0,1,0
0,2,0.229167,0
0,2,0.36,1
0,0,0.590909,1
0,0,1,0
0,0,0.75,1
0,0,0.5,1
0,0,0.196429,1
0,0,1,1
0,0,0.625,1
0,0,0.4,0
0,0,0.202899,1
0,0,0.75,1
0,0,0.5,0
0,2,0.36,1
0,3,0.3125,0
3,0,0.625,0
2,1,0.5,0
0,2,0.305556,0
0,0,1,0
0,2,0.416667,0
0,0,0.291667,1
0,0,0.444444,1
2,1,0.218182,0
0,2,0.221591,1
0,2,0.144385,0
0,2,0.321429,1
0,1,0.294118,1
0,0,0.75,0
0,0,1,0
4,0,0.361111,0
0,0,1,0
0,1,0.333333,0
0,2,0.225,1
0,1,0.174603,1
0,0,0.366667,0
1,0,0.533333,1
0,2,0.267857,1
0,1,0.261905,0
0,0,0.416667,1
1,1,0.333333,0
0,1,0.583333,1
0,1,0.103448,1
0,0,1,0
0,1,0.125758,0
0,0,0.4,0
0,0,1,0
0,0,1,0
0,0,0.666667,1
0,0,0.555556,1
0,0,1,1
0,1,0.666667,1
0,0,0.625,1
0,0,0.6,0
0,3,0.241546,0
0,2,0.666667,1
0,0,0.75,0
0,0,0.285714,0
0,1,0.190476,0
0,0,1,0
0,1,0.533333,0
9,1,0.5,0
0,1,0.388889,1
1,1,0.4,0
0,0,0.75,0
0,4,0.277778,0
0,0,0.464286,0
24,1,0.277778,1
0,0,0.666667,0
2,1,0.3,0
0,0,0.75,1
0,0,0.5,0
0,0,1,0
0,0,0.5,0
0,3,0.201923,0
3,2,0.37037,1
0,0,0.5,0
0,0,0.142857,0
0,0,0.777778,0
0,1,0.222222,0
0,3,0.265625,1
0,0,0.4375,0
0,0,1,0
0,0,0.4,1
0,2,0.144231,0
0,2,0.257143,1
0,0,0.666667,0
0,0,0.166667,0
0,0,1,0
0,0,0.666667,1
0,0,0.458333,0
0,3,0.466667,1
0,2,0.285714,0
0,4,0.309524,0
0,0,0.533333,1
0,0,1,0
0,4,0.196581,1
0,0,0.47619,0
0,1,0.34375,1
2,0,0.555556,1
0,2,0.36,1
0,2,0.314286,0
0,0,0.583333,0
2,0,0.625,0
0,0,0.555556,1
0,4,0.272727,0
0,0,0,0
0,0,0.666667,1
0,1,0.375,0
0,1,0.363636,0
0,3,0.229167,1
0,0,1,0
0,0,0.311111,1
0,1,0.75,1
0,0,0.416667,0
13,2,0.239583,1
0,0,1,0
0,0,0.5,1
0,0,0.666667,0
0,0,0.833333,0
0,1,0.375,0
0,1,0.261538,0
0,1,0.5,1
0,0,0.666667,1
0,0,0.75,0
0,0,0.354167,0
1,0,0.75,1
0,0,0.402174,0
0,1,0.261905,1
0,1,0.333333,0
0,4,0.392857,1
0,0,0.466667,0
0,1,0.45,0
0,3,0.307692,1
0,0,0.444444,0
0,0,0.303922,1
0,0,0.142857,1
0,0,0.444444,1
2,0,0.37037,0
0,0,0.75,1
0,0,0.5,0
0,0,1,0
0,0,1,0
1,0,0.75,0
0,0,0.625,1
0,0,0.5,0
0,0,1,1
0,1,0.555556,0
0,3,0.162963,0
0,0,0,0
0,0,0.6,0
0,0,0.1875,0
0,1,0.6,1
0,1,0.342857,0
0,0,0.276316,1
0,1,0.666667,1
0,0,0.5,0
0,0,0.333333,0
0,0,0.5,1
0,4,0.185185,0
0,1,0.333333,0
0,0,0.666667,0
0,0,0.2,0
0,1,0.555556,0
0,0,0.666667,0
0,0,0.5,1
1,0,0.666667,0
0,0,1,0
0,0,1,1
0,0,0.6,1
0,0,0.181818,0
0,5,0.214286,0
0,1,0.338462,0
4,0,0.666667,1
0,0,0.75,0
0,1,0.223214,1
0,2,0.223602,0
0,1,0.666667,1
0,0,0.5,0
0,0,0.4,1
0,1,0.388889,1
0,0,0.555556,0
0,0,0.466667,0
0,0,0.5,1
0,4,0.377778,0
0,2,0.314286,0
0,1,0.260417,0
0,0,0.246032,0
0,3,0.444444,0
0,1,0.472222,0
0,1,0.266667,0
0,0,0.36,1
0,2,0.418182,1
0,0,1,0
0,1,0.311111,0
2,0,0.269841,0
0,1,0.583333,1
0,3,0.47619,0
0,1,0.222222,0
0,0,0.5,1
0,0,0.4375,0
0,1,0.333333,1
0,1,0.154167,1
0,0,0.444444,0
3,0,0.555556,1
0,1,0.555556,0
0,0,1,0
0,0,0.666667,0
0,0,1,1
0,0,0.555556,0
0,1,0.325,0
0,1,0.241667,0
0,1,0.361111,1
0,0,0.5,1
0,0,1,0
0,0,0.416667,0
0,0,0.666667,0
0,1,0.375,1
2,1,0.875,0
0,0,1,0
0,0,1,1
0,1,0.111111,1
0,0,1,0
0,2,0.583333,0
0,0,0.286957,0
0,2,0.296296,0
0,0,0.4,1
0,0,1,0
0,0,0.377778,0
0,0,0.333333,0
0,0,0.36,1
0,0,1,0
0,0,0.7,0
0,0,0.75,1
0,1,0.206349,1
0,2,0.422222,0
0,2,0.375,0
0,1,0.25,0
0,2,0.291667,0
0,1,0.21875,0
0,0,0.102837,1
0,1,0.666667,0
0,2,0.555556,0
2,0,1,0
0,0,0,0
0,2,0.194805,0
2,0,0.5,0
0,4,0.444444,0
0,0,0.314286,0
0,0,0.666667,0
0,0,0.666667,0
0,1,0.428571,0
2,0,0.541667,1
0,0,0.666667,0
0,1,0.366667,0
0,0,0.5,0
0,0,1,1
0,0,0.292308,0
0,0,1,0
0,1,1,0
0,2,0.416667,1
