@relation poi-1.5_deleteColumns-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.Remove-R16-weka.filters.unsupervised.attribute.Remove-R11

@attribute dit numeric
@attribute noc numeric
@attribute lcom numeric
@attribute ca numeric
@attribute ce numeric
@attribute npm numeric
@attribute lcom3 numeric
@attribute loc numeric
@attribute dam numeric
@attribute moa numeric
@attribute cam numeric
@attribute ic numeric
@attribute cbm numeric
@attribute amc numeric
@attribute avg_cc numeric
@attribute bug {1,0}

@data
1,0,6,6,0,4,2,4,0,0,1,0,0,0,1,0
1,0,9,2,2,4,0.8,218,1,0,0.666667,0,0,34.833333,1.1667,1
1,0,0,6,1,1,2,1,0,0,1,0,0,0,1,0
2,0,198,2,5,19,0.921429,234,0.857143,0,0.361905,1,4,9.809524,1.5714,1
1,0,0,1,1,4,0.222222,129,1,1,0.4375,1,1,30.5,2.5,0
1,0,4,1,6,4,0.333333,82,0,0,0.416667,0,0,19.25,1.25,0
2,0,43,1,4,9,0.85,117,0.5,0,0.522727,1,6,9.454545,0.8182,1
2,0,43,2,3,9,0.85,117,0,0,0.418182,1,6,9.454545,1,0
2,0,49,2,3,9,0.933333,107,0.333333,0,0.522727,1,6,8.454545,0.8182,0
1,0,0,0,0,0,2,7,0,0,0,0,0,0,0,0
1,0,21,4,3,7,2,7,0,0,0.4,0,0,0,1,1
2,0,115,1,5,37,0.858553,697,0.9375,9,0.277778,1,6,16.461538,0.9487,0
1,0,0,3,3,41,1,329,0.066667,1,0.304762,0,0,5.761905,0.9762,1
2,0,2,4,3,6,0.6875,145,0.75,0,0.527778,1,6,14.666667,1.1111,1
2,0,28,3,2,8,1.142857,56,0,0,0.40625,1,2,5.75,0.75,1
2,0,10,1,1,5,1.25,18,0.5,0,0.6,1,2,2.2,0.6,1
3,3,4,3,0,5,0.5,29,1,0,0.6,0,0,4.6,0.2,1
2,0,141,3,4,17,0.814815,253,0.833333,0,0.307018,1,6,12,0.8947,1
1,0,0,10,0,9,0.25,294,1,0,0.311111,1,1,31.444444,1.8889,0
1,0,2,3,2,4,0.75,36,1,2,0.36,0,0,5.4,0.8,0
1,3,257,13,5,16,0.958418,671,1,14,0.2,0,0,20.233333,1.1333,1
1,0,4,4,3,2,0.333333,46,1,0,0.333333,0,0,10,0.75,0
2,0,72,1,3,10,0.916667,221,0.5,0,0.519231,1,5,15.846154,1.0769,1
2,0,3214,5,4,93,0.981195,1478,0.483146,34,0.313684,1,6,13.46875,0.9896,1
2,0,49,2,3,9,0.85,106,0.5,0,0.522727,1,6,8.454545,0.8182,1
1,0,0,5,1,3,0.25,78,1,0,0.666667,0,0,24.333333,0.6667,1
2,0,43,0,4,9,0.85,117,0.5,0,0.522727,1,6,9.454545,0.8182,1
2,0,43,2,3,9,0.85,116,0.5,0,0.418182,1,6,9.363636,1,1
2,0,43,2,3,9,0.85,116,0.5,0,0.418182,1,6,9.363636,1,1
2,0,4,1,4,2,0.833333,108,1,1,0.4,1,1,25.5,1.25,0
1,0,9,4,10,5,0.722222,663,1,0,0.166667,0,0,93.285714,2,1
1,0,1888,4,44,45,0.880784,2248,0.882353,8,0.108571,0,0,28.355263,1.8421,1
1,0,0,6,1,1,2,1,0,0,1,0,0,0,1,0
2,0,1,1,1,2,2,10,0,0,0.666667,1,1,3.5,0.5,0
1,0,0,1,0,5,0.2,266,1,0,0.166667,0,0,43.166667,2,1
1,0,3,2,7,3,2,121,0,0,0.583333,0,0,39.333333,0.6667,1
2,0,193,3,4,45,0.879348,856,0.95,12,0.32766,1,6,16.787234,1,1
2,0,66,2,4,11,0.777778,175,0.666667,0,0.333333,1,6,12.230769,1.1538,1
1,0,0,2,16,24,0.723077,553,0.8,2,0.183761,0,0,19.296296,1.4815,1
2,0,479,2,4,35,0.898649,536,0.9375,6,0.335135,1,6,12.684211,0.9211,0
2,0,217,2,4,23,0.864,341,0.9,3,0.352,1,6,11.730769,0.8846,1
1,2,19,3,4,6,0.611111,71,1,2,0.325,0,0,5.9,1.3,0
1,0,3,10,1,3,1.5,6,0,0,0.666667,0,0,0,1,1
1,0,9,2,3,11,0.25,92,1,0,0.454545,0,0,7.181818,0.6364,0
2,0,119,1,4,17,0.824074,281,0.833333,0,0.460526,1,6,13.473684,0.8947,1
1,0,6,4,1,4,2,4,0,0,0.583333,0,0,0,1,0
2,0,174,4,3,19,0.961765,285,0.352941,0,0.452381,1,6,11.761905,0.9048,1
2,0,49,2,3,9,0.85,112,0.5,0,0.418182,1,6,9,0.9091,1
1,0,21,1,3,11,0.533333,90,1,0,0.454545,0,0,6.909091,0.6364,0
2,0,49,2,3,9,0.85,112,0.5,0,0.418182,1,6,9,0.9091,0
3,0,15,1,0,6,1.177143,275,0.057143,2,0.3,1,2,39,1.1667,1
1,4,6,4,1,1,2,15,0,0,0.666667,0,0,2.75,0.75,0
2,0,43,2,3,9,0.8,182,0,0,0.418182,1,6,15.363636,1.0909,0
2,0,1,3,1,2,2,10,0,0,0.666667,1,1,3.5,0.5,0
1,0,0,9,0,1,2,1,0,0,1,0,0,0,1,0
2,0,36,3,3,7,1.125,72,0,0,0.555556,1,6,6.888889,0.7778,1
1,0,1,1,4,0,2,82,0,0,0.5,0,0,40,0.5,0
2,0,30,1,4,9,0.90625,106,0.375,4,0.388889,1,2,9.888889,0.7778,1
2,0,217,0,5,33,0.923274,642,0.565217,6,0.280952,1,6,16.685714,0.9429,1
1,0,9,4,3,11,0.25,85,1,0,0.522727,0,0,6.545455,0.6364,0
2,0,35,1,3,9,0.8,119,0.5,0,0.418182,1,6,9.636364,0.8182,1
1,15,28,21,13,8,2,166,0,0,0.458333,0,0,19.75,2.625,1
2,0,66,3,2,11,1.090909,97,0.333333,0,0.333333,1,2,6.833333,1.0833,1
1,0,0,1,3,2,0,14,0,1,0.666667,0,0,5.5,0.5,0
2,0,43,0,4,9,0.85,117,0.5,0,0.522727,1,6,9.454545,0.8182,1
3,0,171,1,3,19,2,126,0,0,0.526316,0,0,5.631579,0.9474,1
2,0,87,2,5,12,0.871429,230,0.8,0,0.516667,1,5,14,1,0
1,0,0,3,1,1,2,1,0,0,1,0,0,0,1,0
2,0,94,1,4,15,0.8125,240,0.8,0,0.470588,1,6,12.823529,0.8824,1
2,0,312,2,4,26,0.796296,434,0.833333,0,0.21875,1,6,14.285714,1.8571,1
2,0,40,1,5,15,0.830357,250,0.571429,2,0.376471,1,6,13.294118,0.8824,1
2,0,43,2,3,9,0.85,117,0,0,0.418182,1,6,9.454545,1,1
2,1,0,7,5,6,0.357143,278,1,0,0.375,1,1,33.5,1.625,0
2,0,252,4,4,22,0.782609,366,0.8,0,0.305556,1,6,14.041667,1.7917,1
2,0,28,2,2,8,1.142857,56,0,0,0.40625,1,2,5.75,0.75,1
1,0,4,1,1,2,0.333333,146,1,0,0.466667,0,0,35.25,1.25,0
2,0,49,2,3,9,0.975,108,0.25,0,0.522727,1,6,8.454545,0.8182,0
2,0,164,1,5,23,0.828704,412,0.888889,2,0.352,1,6,15.12,0.92,1
2,0,349,3,5,18,0.888288,1625,0.933333,1,0.243421,2,7,41.368421,2.3158,1
1,0,1269,5,34,24,0.892573,2395,1,2,0.187192,0,0,39.372881,1.4407,1
2,0,9,5,2,5,0.5,48,1,1,0.342857,0,0,5.714286,0.7143,0
1,0,15,2,0,6,1.2,137,0,0,0.333333,0,0,21.666667,2,1
2,0,3,5,1,3,1.5,38,0,0,0.555556,1,1,11.333333,1,0
2,0,54,4,2,8,0.924242,222,1,1,0.3125,1,2,17,1.3333,0
2,0,104,2,4,15,0.883929,293,0,1,0.485294,1,6,15.823529,1.1765,1
1,0,0,1,0,0,2,5,0,0,0,0,0,0,0,0
1,0,3,0,1,2,2,315,0,0,0.333333,0,0,104,0.6667,1
1,0,0,0,0,24,0.388889,629,1,0,0.313333,1,1,24.04,2.6,0
1,0,1,0,6,2,2,28,0,0,0.5,0,0,13,0.5,1
1,0,36,12,0,9,2,9,0,0,0.555556,0,0,0,1,1
2,0,49,2,3,9,0.85,106,0.5,0,0.522727,1,6,8.454545,0.8182,0
2,0,43,2,3,9,0.85,116,0.5,0,0.418182,1,6,9.363636,1,0
1,0,0,4,0,24,0.388889,629,1,0,0.36,1,1,24.04,2.6,0
1,0,78,2,1,16,0.533333,172,1,0,0.291667,0,0,9.5,1.625,0
1,0,190,1,7,13,2,433,0,0,0.2,0,0,20.65,1.7,0
2,0,213,4,4,20,0.75,330,0.75,0,0.310606,1,6,13.818182,1.8636,1
2,0,49,2,3,9,0.933333,106,0.333333,0,0.418182,1,6,8.363636,0.8182,1
2,0,122,1,5,19,0.94,334,0.4,1,0.301587,1,6,14.190476,0.9048,1
2,0,119,0,4,17,0.901235,284,0.555556,0,0.460526,1,6,13.473684,0.8947,1
2,0,64,1,2,11,0.833333,144,0.75,0,0.5,1,6,9.769231,0.7692,1
1,0,9,2,3,11,0.25,92,1,0,0.454545,0,0,7.181818,0.6364,0
1,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0
1,0,6,3,0,4,2,4,0,0,0.75,0,0,0,1,0
2,0,28,3,2,8,1.142857,56,0,0,0.40625,1,2,5.75,0.75,1
4,0,0,99,0,1,2,5,0,0,1,0,0,4,0,0
2,0,0,0,5,21,0.744318,387,0.875,6,0.356522,1,6,15.478261,0.913,1
2,0,56,1,4,11,0.805556,158,0.666667,0,0.5,1,6,10.923077,0.8462,1
3,0,3,6,2,1,2,27,0,0,0.666667,1,1,8,0.3333,0
2,0,10,1,4,5,2,32,0,0,0.5,0,0,5.4,0.8,0
1,4,4,4,0,4,0.333333,46,1,0,0.666667,0,0,10.25,1,0
2,0,93,1,5,17,0.796296,285,0.833333,1,0.368421,1,6,13.684211,0.8947,1
2,0,0,10,3,11,0.642857,271,1,1,0.25641,1,2,19.307692,0.9231,0
1,0,65,4,12,19,0.75,984,0.6,4,0.147929,0,0,36.076923,2.8846,1
1,0,31,26,0,5,0.577778,414,0.8,0,0.206349,0,0,39.9,1.2,1
2,0,49,3,3,9,0.85,106,0.5,0,0.522727,1,6,8.454545,0.8182,0
2,0,77,2,3,11,0.876923,202,0.8,0,0.517857,1,5,13.071429,1,1
1,0,21,9,0,5,2,350,0,0,0.306122,0,0,49,3.5714,1
1,0,0,3,2,19,0.978947,140,0.133333,1,0.258333,0,0,5.25,0.95,1
2,0,43,2,3,9,0.85,117,0.5,0,0.418182,1,6,9.454545,1,1
2,0,36,1,3,7,1.125,72,0,0,0.555556,1,6,6.888889,0.7778,0
1,0,6,1,2,4,2,4,0,0,0.583333,0,0,0,1,0
1,0,0,3,2,3,0.666667,28,1,2,0.4375,0,0,5.25,0.75,0
2,0,91,0,5,21,0.795455,375,0.875,3,0.356522,1,6,14.956522,0.913,1
2,0,66,2,4,11,0.777778,174,0.666667,0,0.333333,1,6,12.153846,1.1538,1
2,0,43,2,4,9,0.85,156,0.5,0,0.418182,1,6,13,0.9091,1
2,0,201,1,2,23,0.833333,379,0.833333,0,0.369565,1,2,15.217391,1.1304,1
1,0,0,2,9,10,0.566667,210,1,1,0.272727,0,0,17.818182,1.0909,0
1,0,0,2,0,0,2,41,0,0,0,0,0,0,0,0
2,0,43,2,3,9,0.85,106,0.5,0,0.522727,1,6,8.454545,0.8182,0
2,0,252,6,4,22,0.782609,365,0.8,0,0.261905,1,6,14,1.7917,1
1,0,297,0,9,4,0.659004,583,1,0,0.353448,0,0,18.133333,1.9,1
1,0,0,13,0,1,2,1,0,0,1,0,0,0,1,0
1,0,84,3,5,16,0.673913,451,0.833333,3,0.183333,0,0,17.541667,1.7083,0
1,0,0,9,14,14,0.5,453,1,3,0.198864,0,0,27.0625,1.0625,0
1,0,27,2,4,8,0.809524,222,1,2,0.5,0,0,20.5,1.5,1
2,0,36,2,3,7,1.125,72,0,0,0.555556,1,6,6.888889,0.7778,0
1,0,0,1,0,0,2,6,0,0,1,0,0,3,0,0
2,0,35,1,3,12,0.673077,183,0,0,0.297619,1,5,11.785714,1.5714,1
2,0,141,2,3,17,0.865079,266,0.857143,0,0.368421,1,6,12.631579,0.8947,1
1,0,28,5,2,21,0.895833,840,0.166667,0,0.485714,0,0,32.36,2.84,0
1,0,0,0,0,1,2,51,0,0,1,0,0,3,0,1
1,40,10,40,38,5,1.25,288,1,0,0.8,0,0,56.4,0.8,1
2,0,366,6,4,34,0.865306,621,0.928571,5,0.282407,1,6,15.861111,1.1389,1
5,0,6,1,1,4,2,20,0,0,0.666667,0,0,4,0,1
2,0,49,2,3,9,0.975,108,0.25,0,0.522727,1,6,8.454545,0.8182,1
2,0,85,2,4,13,0.814286,209,0.8,0,0.322222,1,6,12.6,0.8667,1
2,0,110,2,3,15,0.833333,232,0.833333,0,0.470588,1,6,12.294118,0.8824,1
1,1,176,4,10,16,0.725,353,0.75,4,0.3625,0,0,15.428571,1,1
1,0,15,5,1,6,2,6,0,0,0.583333,0,0,0,1,0
1,0,1,5,0,2,2,2,0,0,0.75,0,0,0,1,0
2,0,34,1,3,11,0.75,191,0,0,0.294872,1,5,13.307692,1.6923,1
2,0,3,3,4,3,1.5,168,0,0,0.777778,1,4,54.666667,1.6667,0
4,1,4,1,0,5,0.5,29,1,0,0.6,0,0,4.6,0.2,1
1,0,463,114,2,27,0.866667,340,1,0,0.203704,0,0,9.870968,1.0968,1
3,0,26,2,1,7,0.857143,219,0.25,1,0.342857,1,1,25.875,1.125,1
2,0,66,2,3,11,0.805556,140,0.666667,0,0.4,1,6,9.538462,0.8462,0
1,0,1,7,6,1,0,257,1,1,0.514286,0,0,35.571429,0.7143,0
4,0,6,3,1,4,2,20,0,0,0.666667,0,0,4,0,1
2,0,49,2,3,9,1,109,0.2,0,0.522727,1,6,8.454545,0.8182,0
2,0,66,2,3,11,0.805556,140,0.666667,0,0.5,1,6,9.538462,0.8462,1
2,0,1362,14,7,17,0.927083,1806,1,1,0.265306,1,7,30.473684,2.5263,0
1,0,0,1,3,0,0.333333,163,1,0,0.5,0,0,25.666667,2.3333,0
2,0,1,2,6,5,0.809524,314,1,5,0.571429,1,2,42.857143,1.4286,1
2,0,36,1,3,7,1.125,72,0,0,0.555556,1,6,6.888889,0.7778,0
2,0,48,3,2,10,0.890909,171,0.6,0,0.35,1,2,12.833333,1.5,1
2,0,0,1,5,21,0.838843,386,0.636364,5,0.297101,1,6,15.304348,0.913,1
2,0,694,2,4,45,0.911702,677,0.95,8,0.27305,1,6,12.6875,0.9375,1
2,0,535,3,5,30,0.941176,396,0.818182,0,0.225,1,5,10,1.6,1
1,2,0,2,3,4,0.5,107,1,2,0.458333,0,0,16.5,1.1667,0
2,0,49,2,3,9,0.85,106,0.5,0,0.522727,1,6,8.454545,0.8182,1
2,0,43,0,4,9,0.85,117,0.5,0,0.522727,1,6,9.454545,0.8182,1
2,0,210,2,4,21,0.875,368,0.625,0,0.298611,1,6,14,1.2083,1
1,0,6,5,2,4,2,4,0,0,0.666667,0,0,0,1,0
1,100,85,115,0,11,0.846154,125,0.75,0,0.5,0,0,7.642857,0.7857,1
2,0,183,3,4,27,0.864943,391,0.916667,9,0.287356,1,6,11.633333,0.9,1
2,0,148,1,4,19,0.971053,334,0.315789,0,0.452381,1,6,14,0.9048,1
1,0,26,1,0,3,1.047619,169,1,0,0.2,0,0,19.75,1.25,1
2,0,43,2,3,9,0.85,117,0.5,0,0.418182,1,6,9.454545,1,1
1,0,0,3,3,3,0,97,1,0,0.5,0,0,23,1.75,0
2,0,43,0,4,9,1,120,0.2,0,0.522727,1,6,9.454545,0.8182,1
2,0,66,2,3,11,0.805556,140,0.666667,0,0.5,1,6,9.538462,0.8462,0
1,0,106,9,27,13,0.354167,453,1,2,0.144796,0,0,25.470588,1.1176,1
2,0,57,3,13,13,0.607843,316,1,2,0.172222,1,1,16.388889,1.1667,1
2,0,28,3,2,8,1.142857,56,0,0,0.40625,1,2,5.75,0.75,1
2,0,10,1,2,5,1.1,41,0.8,0,0.6,1,2,6.2,0.6,1
2,0,49,2,3,9,0.85,106,0.5,0,0.522727,1,6,8.454545,0.8182,0
2,0,49,2,3,9,0.85,106,0.5,0,0.522727,1,6,8.454545,0.8182,0
2,0,65,2,4,12,0.794872,234,0.666667,0,0.4,1,6,15.5,1.0714,1
2,0,43,3,3,9,0.85,117,0.5,0,0.418182,1,6,9.454545,1,1
2,0,5,2,2,8,0.740741,223,1,0,0.228571,1,2,21,1.2,1
1,0,3,0,17,6,0.083333,282,1,1,0.303571,0,0,39,1.8571,0
1,0,1,2,0,1,2,39,0,0,0.5,0,0,18.5,1.5,0
2,0,511,4,5,35,0.938063,603,0.625,4,0.239382,1,6,14.236842,0.9737,1
1,0,107,25,0,18,0.382353,170,1,0,0.433333,0,0,8.333333,1.2222,0
1,0,0,2,0,0,2,9,0,0,0,0,0,0,0,1
2,0,79,3,3,13,0.785714,251,0.666667,0,0.483333,1,6,15.533333,1.2,1
2,0,0,1,5,17,0.712963,297,0.833333,4,0.368421,1,6,14.315789,0.8947,1
1,0,13,0,7,6,0.6,233,1,0,0.375,0,0,37.666667,1.6667,1
1,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0
1,0,5,1,17,6,0.55,247,0,2,0.375,0,0,39.5,2.6667,0
2,2,0,2,5,10,0,53,1,1,0.55,1,2,4.2,0.9,1
2,0,49,2,3,9,0.85,106,0.5,0,0.522727,1,6,8.454545,0.8182,1
2,0,4,3,0,5,0.428571,90,1,0,0.425,1,1,9.875,0.875,0
1,0,0,3,13,39,0.832447,617,0.875,3,0.165957,0,0,11.6875,1.2708,1
4,0,6,2,1,4,2,20,0,0,0.666667,0,0,4,0,1
2,0,109,1,4,17,0.81746,265,0.857143,1,0.368421,1,6,12.578947,0.8947,0
2,0,30,3,7,6,0.75,55,1,1,0.407407,1,1,5,0.8889,0
2,0,21,1,2,7,2,21,0,0,0.357143,1,2,2,0.8571,1
1,0,1,2,7,2,2,24,0,0,0.5,0,0,11,0.5,0
2,0,43,2,3,9,0.85,117,0.5,0,0.418182,1,6,9.454545,1,1
2,0,112,2,3,15,0.8125,208,0.8,0,0.470588,1,6,10.941176,0.8824,1
1,0,2,1,6,5,0.75,103,1,2,0.36,0,0,18.8,0.8,1
