@relation KC2-weka.filters.unsupervised.attribute.Remove-R5-weka.filters.unsupervised.attribute.Remove-R5-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R16-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R8-weka.filters.unsupervised.attribute.Remove-R14-weka.filters.unsupervised.attribute.Remove-R8-weka.filters.unsupervised.attribute.Remove-R12-weka.filters.unsupervised.attribute.Remove-R7-weka.filters.unsupervised.attribute.Remove-R2-weka.filters.unsupervised.attribute.Remove-R10-weka.filters.unsupervised.attribute.Remove-R5-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.Remove-R6-weka.filters.unsupervised.attribute.Remove-R4

@attribute ev(g) numeric
@attribute l numeric
@attribute lOComment numeric
@attribute lOCodeAndComment numeric
@attribute problems {no,yes}

@data
1,0.13,0,0,no
1,0.13,3,0,no
1,0.11,0,0,no
1,0.29,0,0,no
1,0.13,0,0,no
1,0.29,0,0,no
1,0.33,0,0,no
1,0.33,0,0,no
1,0,0,0,no
1,0.09,0,0,no
1,0.17,1,0,no
1,0.12,2,0,no
1,0.1,0,0,no
1,0.1,1,0,no
1,1.33,0,0,no
1,0.12,0,0,no
1,0.91,0,0,no
1,0.67,0,0,no
1,0.5,0,0,no
1,0.67,0,0,no
1,0.17,0,0,no
1,0.67,0,0,no
1,0.06,3,0,no
1,0.5,0,0,no
1,0,2,0,no
5,0.04,5,0,no
1,0,0,0,no
1,0.14,0,0,no
3,0.08,2,0,no
5,0.07,2,0,no
1,0.67,0,0,no
4,0.05,3,0,no
1,0.17,0,0,no
1,0.09,1,1,no
1,0.06,1,1,no
4,0.08,0,0,no
1,0,0,0,no
1,0.08,0,0,no
1,0.05,0,0,no
1,0.67,0,0,no
1,0.33,0,0,no
1,0,0,0,no
1,0.36,0,0,no
1,0.92,0,0,no
1,0.07,1,0,no
1,0.4,0,0,no
1,0.67,0,0,no
1,0.14,0,0,no
1,0.67,0,0,no
1,0.67,0,0,no
1,0.67,0,0,no
1,0.67,0,0,no
1,0.23,0,0,no
1,0.67,0,0,no
1,0.67,0,0,no
1,0.67,0,0,no
1,0.4,0,0,no
4,0.05,9,0,no
1,0.67,0,0,no
1,0.3,0,0,no
1,0.67,0,0,no
1,0.67,0,0,no
1,0.3,0,0,no
1,0.3,0,0,no
1,0.17,0,0,no
1,0.3,0,0,no
1,0.3,0,0,no
1,0.3,0,0,no
1,0.3,0,0,no
1,0.3,0,0,no
1,0.67,0,0,no
1,0.67,0,0,no
1,0.3,0,0,no
1,0.3,0,0,no
1,0.67,0,0,no
4,0.05,2,0,no
1,0.2,0,0,no
1,0.06,0,0,no
1,0.08,0,0,no
1,0.27,0,0,no
1,0,0,0,no
1,1.33,0,0,no
1,0.67,0,0,no
1,0.67,0,0,no
1,0.67,0,0,no
1,0.07,1,0,no
1,0.67,0,0,no
1,0.4,0,0,no
1,0.09,0,0,no
1,0,0,0,no
1,0.17,0,0,no
1,0.67,0,0,no
1,0,0,0,no
1,0.07,3,0,no
1,0.07,3,0,no
1,0.12,0,0,no
1,0.14,1,0,no
1,0.07,7,0,no
4,0.07,3,0,no
3,0.06,3,0,no
1,0.06,7,0,no
1,0.06,1,0,no
1,0.67,0,0,no
1,0.86,0,0,no
1,0.5,0,0,no
1,0.06,10,0,no
1,0.07,7,0,no
1,0.67,0,0,no
1,0.67,0,0,no
1,0,0,0,no
1,0.67,0,0,no
1,0.67,0,0,no
1,0.67,0,0,no
1,0.33,0,0,no
1,0.15,0,0,no
1,0.03,6,0,no
1,0.1,1,0,no
1,0.67,0,0,no
1,0,0,0,no
7,0.05,1,0,no
1,0.17,0,0,no
1,0.14,0,0,no
1,0.4,0,1,no
1,0.09,1,0,no
1,0.12,0,0,no
1,0.09,0,0,no
1,0.5,0,0,no
1,0.15,1,1,no
1,0.12,0,0,no
1,0.12,0,1,no
1,0.17,0,0,no
1,0.11,1,0,no
1,0.43,0,0,no
1,0.43,0,0,no
1,0.43,0,0,no
1,0.43,0,0,no
1,0.43,0,0,no
1,0.43,0,0,no
1,0.43,0,0,no
1,0.43,0,0,no
7,0.05,1,2,no
3,0.04,1,0,no
4,0.04,1,0,no
9,0.07,3,0,no
1,0.67,0,0,no
4,0.05,2,0,no
3,0.06,10,2,no
3,0.09,1,0,no
1,0.29,0,0,no
1,0.13,1,0,no
1,0.09,0,0,no
1,0.13,0,0,no
3,0.12,0,1,no
1,0.4,0,0,no
1,0.09,2,0,no
1,0.67,0,0,no
1,0.67,0,0,no
1,0.67,0,0,no
1,0.67,0,0,no
1,0,0,0,no
1,0.67,0,0,no
1,0.67,0,0,no
1,0.67,0,0,no
1,0.67,0,0,no
1,0.67,0,0,no
1,0.67,0,0,no
1,0.67,0,0,no
1,0.67,0,0,no
1,0.67,0,0,no
1,0.21,0,0,no
1,0.67,0,0,no
1,0.67,0,0,no
1,0.67,0,0,no
1,0.67,0,0,no
1,0.67,0,0,no
1,0.67,0,0,no
1,0.5,0,0,no
1,0.67,0,0,no
1,0.67,0,0,no
1,0.67,0,0,no
1,0.21,0,0,no
1,0,0,0,no
1,0.67,0,0,no
1,0.67,0,0,no
1,0.67,0,0,no
1,0.67,0,0,no
1,0.67,0,0,no
1,0.16,3,0,no
1,0.67,0,0,no
8,0.04,1,1,no
1,0.4,0,0,no
1,0.29,0,0,no
1,0.67,0,0,no
1,0.5,0,0,no
1,0.07,0,1,no
1,0.33,0,0,no
4,0.07,4,1,no
1,0.67,0,0,no
1,0.67,0,0,no
1,0.67,0,0,no
1,0.67,0,0,no
1,0.67,0,0,no
1,0.67,0,0,no
1,0.67,0,0,no
1,0.67,0,0,no
1,0.5,0,0,no
1,0.19,0,0,no
18,0.03,0,0,no
1,0.67,0,0,no
1,0.67,0,0,no
1,0.25,0,0,no
1,0.67,0,0,no
1,0.12,0,0,no
1,0.67,0,0,no
1,0.67,0,0,no
1,0.19,0,0,no
1,0.16,0,0,no
1,0.67,0,0,no
1,0.5,1,0,no
3,0.11,3,1,no
1,0.5,0,0,no
5,0.04,9,2,no
1,0.5,1,0,no
1,0.5,0,0,no
1,0.33,3,0,no
1,0.17,1,0,no
1,0.33,0,0,no
1,0,0,0,no
1,0.05,2,0,no
1,0.19,0,0,no
4,0.07,3,0,no
6,0.04,3,1,no
6,0.05,1,0,no
1,0.06,2,1,no
3,0.07,0,0,no
1,0.2,0,0,no
1,0,0,0,no
1,0.67,0,0,no
1,0.5,0,0,no
1,0.67,0,0,no
1,0.67,0,0,no
1,0.67,0,0,no
1,0.14,0,0,no
1,0.12,0,0,no
4,0.02,43,0,no
1,0.67,0,0,no
3,0.04,4,1,no
1,0.5,0,0,no
1,0.67,0,0,no
1,0.2,0,0,no
1,0.4,3,0,no
1,0.17,0,0,no
7,0.03,29,0,no
1,0.14,0,0,no
1,0.14,2,0,no
1,0.17,0,0,no
1,0.16,0,0,no
1,0.1,1,0,no
3,0.09,1,1,no
1,0.04,1,0,no
1,0.5,0,0,no
7,0.05,5,1,no
1,0,0,0,no
1,0.18,0,0,no
1,0.14,0,0,no
1,2,0,0,no
1,0.67,0,0,no
1,0.13,0,0,no
3,0.18,0,0,no
1,0.1,0,0,no
1,0.05,5,0,no
1,0.12,0,0,no
1,0.14,0,0,no
3,0.08,3,0,no
3,0.07,0,0,no
1,0.1,0,0,no
1,0.12,0,0,no
1,0.13,0,0,no
1,0.1,0,0,no
1,0.1,0,0,no
1,0,0,0,no
1,0.05,6,1,no
1,0.17,0,0,no
1,0.14,0,0,no
1,0.5,0,1,no
1,0.09,1,0,no
1,0,0,0,no
1,0.15,1,0,no
1,0.17,1,0,no
1,0.06,3,0,no
1,0.23,1,0,no
1,0.07,1,0,no
1,0,0,0,no
1,0,0,0,no
1,0.4,0,0,no
1,0.08,3,0,no
1,0.06,4,0,no
1,0.4,0,0,no
1,0.06,5,0,no
1,0.06,5,0,no
1,0.06,5,0,no
1,0.13,0,0,no
6,0.04,0,0,no
1,0.05,3,1,no
1,0.09,2,0,no
1,0.67,0,0,no
1,0.04,0,0,no
1,0.4,0,0,no
1,0.67,0,1,no
7,0.03,4,2,no
1,0.05,2,0,no
1,0.06,0,0,no
1,0.09,0,0,no
1,0.05,1,0,no
1,0.04,0,0,no
1,0.13,3,1,no
1,0.11,0,0,no
1,0.07,18,0,no
1,0.67,0,0,no
1,0.1,0,0,no
1,0.06,2,0,no
3,0.06,1,0,no
1,0.09,0,0,no
1,0.14,0,0,no
1,0.67,0,0,no
1,0.16,2,1,no
1,0.67,0,0,no
1,0.2,0,0,no
1,0.2,0,1,no
1,0.2,0,0,no
1,0.22,0,0,no
1,0.67,0,0,no
1,0.27,0,0,no
1,0.33,0,0,no
1,0.22,0,0,no
1,0.67,0,0,no
1,0.5,0,0,no
1,0.67,0,0,no
6,0.07,3,0,no
1,0.12,0,0,no
1,0.04,0,1,no
1,0.1,1,2,no
1,0.09,0,1,no
1,0.14,0,1,no
1,0.12,1,0,no
1,0.14,6,0,no
1,0.08,3,0,no
1,0.33,0,0,no
1,0.1,0,0,no
1,0.11,0,0,no
1,0.09,0,0,no
1,0.67,0,0,no
1,0.57,0,0,no
1,0.67,0,0,no
1,0.67,0,0,no
3,0.09,1,0,no
1,0.67,0,0,no
1,0.25,2,0,no
1,0.25,2,0,no
3,0.05,1,1,no
1,0.67,0,0,no
1,0.67,0,0,no
1,0.05,0,1,no
1,0.03,2,0,no
3,0.11,0,1,no
1,0.4,0,0,no
1,0.05,2,4,no
16,0.03,20,2,yes
9,0.04,7,6,yes
6,0.05,4,2,yes
16,0.04,2,0,yes
125,0.01,39,6,yes
4,0.04,0,1,yes
14,0.03,3,1,yes
35,0.02,44,6,yes
1,0.05,4,0,yes
8,0.04,4,2,yes
3,0.06,26,0,yes
18,0.02,38,1,yes
6,0.05,6,1,yes
9,0.04,0,0,yes
5,0.05,3,4,yes
8,0.1,1,0,yes
13,0.03,7,5,yes
17,0.02,12,1,yes
1,0.06,2,0,yes
1,0.06,4,2,yes
7,0.05,2,0,yes
1,0.06,0,0,yes
7,0.05,2,0,yes
5,0.05,17,0,yes
5,0.04,1,0,yes
7,0.06,2,2,yes
8,0.08,4,0,yes
1,0.07,3,0,yes
10,0.04,3,0,yes
1,0.07,0,0,yes
8,0.02,29,11,yes
1,0.08,6,0,yes
4,0.07,3,0,yes
4,0.04,1,0,yes
5,0.11,0,0,yes
1,0.02,23,1,yes
17,0.05,7,0,yes
1,0.05,1,0,yes
1,0.1,12,0,yes
5,0.04,9,0,yes
7,0.04,5,2,yes
34,0.02,40,6,yes
6,0.07,3,0,yes
1,0.07,2,0,yes
1,0.08,5,1,yes
5,0.03,4,0,yes
1,0.06,8,0,yes
4,0.03,3,0,yes
5,0.04,0,0,yes
1,0.09,0,1,yes
6,0.04,14,1,yes
1,0.05,4,0,yes
1,0.1,0,0,yes
5,0.04,5,0,yes
6,0.06,1,0,yes
8,0.04,12,0,yes
1,0.08,0,0,yes
1,0.06,1,0,yes
1,0.06,1,0,yes
1,0.06,1,0,yes
8,0.05,9,0,yes
16,0.04,1,1,yes
1,0.06,0,0,yes
1,0.02,3,0,yes
1,0.05,1,0,yes
1,0.19,2,0,yes
1,0.03,1,0,yes
7,0.03,21,4,yes
1,0.04,2,1,yes
11,0.04,2,5,yes
1,0.09,12,0,yes
1,0.12,4,0,yes
5,0.04,0,0,yes
1,0.08,0,0,yes
5,0.05,4,0,yes
1,0.09,4,0,yes
1,0.1,1,0,yes
1,0.06,2,0,yes
1,0.06,3,1,yes
1,0.06,1,0,yes
1,0.33,0,0,yes
6,0.06,7,0,yes
1,0.11,0,0,yes
1,0.17,0,0,yes
1,0.11,0,0,yes
1,0.15,0,0,yes
1,0.04,4,0,yes
1,0.21,0,0,yes
1,0.1,5,0,yes
1,0.24,0,0,yes
1,0.14,0,0,yes
1,0.14,0,0,yes
1,0.3,0,0,yes
1,0.3,0,0,yes
1,0.22,0,0,yes
1,0.4,0,0,yes
1,0.5,0,0,yes
1,0.67,0,0,yes
1,0.67,0,0,yes
1,0.67,0,0,yes
1,0,0,0,yes
