@relation 'log4j-1.1_deleteColumns-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.PrincipalComponents -R 0.95 -A 5-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N -1'

@attribute -0.353wmc-0.345rfc-0.324loc-0.315npm-0.3ce... numeric
@attribute -0.492dit-0.483mfa-0.449ic-0.405cbm-0.216dam... numeric
@attribute -0.458amc+0.368ca-0.358avg_cc-0.332max_cc+0.301cbo... numeric
@attribute 0.673lcom3-0.486dam-0.297noc+0.217cam+0.201cbm... numeric
@attribute -0.45cam-0.42avg_cc-0.354max_cc-0.353ca-0.331dam... numeric
@attribute -0.822noc-0.251moa+0.248ca+0.221dam-0.214lcom3... numeric
@attribute -0.494dam+0.406moa+0.368ca+0.313mfa+0.312dit... numeric
@attribute 0.668moa+0.464cam-0.26ca-0.254cbm-0.231noc... numeric
@attribute 0.511cbm-0.432lcom-0.359amc+0.272moa-0.259mfa... numeric
@attribute 0.481ce+0.358amc+0.357dam-0.318max_cc-0.301ic... numeric
@attribute 0.614cam-0.508lcom3+0.374cbm-0.255dam+0.204amc... numeric
@attribute -0.527ce+0.432cbm+0.346moa+0.282amc+0.249lcom3... numeric
@attribute bug {1,0}

@data
0.295053,0.933742,-0.003665,-0.655051,0.413857,0.310995,-0.084975,0.070217,0.368632,-1.108492,0.511728,-0.149324,0
2.205582,1.025422,1.084608,1.576485,0.154284,-0.307718,-0.725635,0.509172,0.482306,1.050003,-0.214819,-0.816109,1
0.043504,1.19758,-1.609182,-0.629108,-0.668249,-0.02549,-0.077894,0.181292,-0.08606,-1.456563,0.777397,0.218737,0
2.925808,1.040925,1.257078,1.34724,-0.254351,-0.171729,-0.553422,0.409178,0.106462,0.228255,0.004006,-0.047381,0
-0.508022,-0.688955,-1.047395,-0.245762,0.861762,0.095557,0.968584,0.050476,-1.151785,-0.177693,-0.538121,0.104703,0
-3.174829,-2.417303,-0.158323,1.181976,1.395659,-0.590732,0.645278,1.027629,1.260975,-0.349668,-0.182881,-0.285838,1
1.362754,-3.610915,-0.243462,-0.3812,0.42607,0.170459,1.834607,-0.562832,-0.429547,-0.11616,0.417612,-0.220305,0
0.321646,1.113498,-0.916487,-0.107795,0.771354,0.089839,-0.181351,-0.421631,0.323779,0.709382,0.25406,-0.969609,0
1.918705,1.436123,-0.776028,1.46717,-0.864673,-0.537041,-0.383913,0.253691,-0.781287,0.651534,0.392745,0.50947,0
0.509975,1.003746,-0.249281,-0.368802,1.342504,0.070207,-0.007084,0.068412,0.255735,0.1393,0.243578,-0.207387,0
2.947205,0.886049,0.945106,0.412645,1.716105,-0.266926,-0.09267,-1.173607,0.230571,0.058984,-2.129264,0.781301,0
1.942078,-3.779105,0.507736,-1.732022,-0.570118,0.748954,-0.26618,0.132799,0.068407,0.514677,-0.366184,0.673983,0
1.949349,-0.895308,-0.311925,-0.743409,0.09623,0.341684,0.447268,0.158829,-1.243887,0.840649,0.108989,0.149574,0
0.741594,-2.577181,-0.305998,0.220523,-1.197335,-1.88199,1.275323,-1.149129,-0.620727,-0.505065,-0.434314,0.063442,0
0.77526,0.978262,-0.056488,-0.336026,1.308889,0.016844,-0.063968,-0.02097,0.356601,-0.201754,-0.204442,-0.05091,0
3.176813,1.230358,1.691534,1.461832,-1.470273,0.099683,-0.33192,0.635685,0.103434,-0.218817,0.620623,-0.012872,0
0.581775,1.024856,-0.336273,-0.390517,1.31118,0.051884,0.045279,0.039898,0.29476,0.21122,0.239625,-0.22089,1
0.688558,1.238366,0.093823,-0.424842,0.946367,-0.060606,0.642406,0.519777,0.591951,0.40372,0.347572,0.006715,1
0.910012,1.095857,-0.960253,-0.888425,0.966952,-0.036779,0.29168,-0.345209,0.0182,-0.468048,0.079302,0.441546,0
0.042622,1.042334,-0.445727,-0.270555,1.430924,0.031918,-0.091607,-0.20625,0.187053,-0.268227,-0.444042,0.052857,0
0.922234,1.58473,-1.63411,1.307106,-1.279108,-0.608376,-0.451415,-0.120431,-0.196437,-0.041859,-0.716168,0.098535,0
3.145441,1.194289,1.588362,1.512049,-1.353071,0.017989,-0.456127,0.749143,0.149173,-0.100086,0.608561,-0.155891,0
-5.492682,2.421522,-5.76717,0.184853,-3.914034,-0.788471,0.012947,1.411122,1.003706,0.562291,-0.790094,-0.861166,0
-1.279391,1.509184,-1.449865,-0.437776,1.357124,-0.351077,0.798002,0.867527,0.424031,0.746166,0.197848,0.260782,1
-2.109964,0.948679,-2.327375,-0.399457,-0.929102,0.482549,-1.339279,-0.19489,0.085395,0.054816,-0.20815,-0.545078,1
1.526718,-3.247959,-0.126397,1.538261,-0.404281,-0.509053,1.584849,-0.459541,-0.768826,0.43142,-1.039443,0.544258,0
-0.606791,0.392814,-0.927439,-2.221037,-1.381599,1.155597,-1.852053,-0.06415,0.363982,-0.225599,-0.190146,0.092235,0
-0.587486,1.373369,4.154447,-0.954876,-1.201113,-1.648898,0.791077,-2.42861,-0.06028,-0.100776,0.440073,-0.983272,0
-0.001398,1.680779,-3.511649,-0.143415,-0.403933,-0.380005,0.517816,-1.155824,-1.763798,0.357802,0.702706,1.466618,0
-5.086407,-2.477104,-3.16862,1.961659,-1.808971,-0.756525,-0.692521,0.052353,0.977764,-2.739544,-0.732932,-0.569127,1
2.86154,1.018838,1.190432,1.402557,-0.167135,-0.232743,-0.645704,0.502399,0.172567,0.370868,-0.006096,-0.21085,0
1.368321,-0.585579,0.763917,-0.144313,0.525103,0.437521,0.562211,-0.087762,-0.483334,0.014323,0.039247,-0.68255,0
0.020006,-0.243609,-1.799199,-0.995327,-0.805811,-0.45917,1.999269,1.829822,-0.117276,0.004035,0.407102,-0.577271,0
1.55642,1.387597,-1.090691,0.967359,-0.164638,-0.524829,-0.179176,-0.672534,-0.704141,0.03834,-0.891956,1.040556,0
2.571561,-1.671252,0.903351,1.344978,-0.014333,-0.314023,0.471119,0.112614,-0.412892,-0.479787,-1.046486,0.161117,0
0.264236,1.007612,-0.119254,-0.212915,1.540164,0.041843,-0.01679,0.037454,0.482105,0.525224,0.007009,-0.520658,0
-1.531472,1.211101,-0.482398,-0.286044,0.232525,0.834597,0.252269,-1.610961,0.210611,-0.846695,-0.432394,-0.128407,1
0.630968,-3.936593,0.857786,-2.669099,-1.202644,-0.694184,0.257302,0.18357,0.069727,-0.006761,0.005357,-0.180332,0
0.050248,-0.760072,0.758976,-0.853182,-0.378793,0.6785,-0.536177,0.872974,-0.339604,0.520714,-0.395029,0.064748,1
1.24702,-1.985878,-0.61011,-0.542269,-0.25992,0.289026,0.531876,0.038572,-0.478913,-0.32854,-0.024824,-0.253245,0
-5.60899,1.356366,1.125807,0.610704,0.824632,0.848883,0.318242,0.473411,0.179752,0.214199,0.030337,-0.070566,1
-6.252505,-2.531511,-0.212358,2.139248,1.646199,-0.087594,-0.949346,0.974774,-0.46642,-1.272454,0.29921,-0.181943,1
0.389224,1.003301,-0.303874,-0.413005,1.496878,0.08499,0.02375,-0.048503,0.276644,0.165951,0.101604,-0.194462,0
0.717637,1.18733,-2.052404,-0.996679,0.286378,0.124123,0.168769,-0.868918,-0.699439,-0.550731,0.816781,0.498321,0
-0.136669,1.423412,0.761654,-1.772807,-1.282615,-3.826894,0.200172,-1.334872,-0.403093,-0.445093,0.540995,-0.786343,0
2.799685,0.959218,0.87895,1.054158,0.420405,-0.283645,-0.541485,-0.079801,-0.019118,0.029575,-0.681458,0.367252,0
2.121138,0.950234,1.409622,1.220757,0.005523,-0.040391,-0.66865,-0.047272,-0.013692,-0.436344,-0.562903,0.31021,0
0.135754,0.722288,-1.252432,-1.043456,-1.027198,0.511809,-1.343848,-0.04361,0.159887,-0.415718,-0.275233,0.012329,1
0.206108,1.092509,-0.718697,0.136583,0.929974,0.08012,-0.281317,-0.43083,0.326527,0.736396,-0.013908,-0.924804,1
-1.6023,1.432329,2.703966,-1.017358,-2.842398,2.460725,0.951021,-2.065918,0.928381,0.362858,-0.528702,0.24557,0
0.066057,1.143853,-1.02433,-0.373421,0.786025,-0.002672,-0.003182,-0.017493,0.117097,-0.295657,0.155123,-0.00409,1
-0.731162,1.905905,-2.65452,1.617406,0.205348,-0.71383,0.386218,-0.936244,-1.534406,2.876391,-0.062364,0.82469,0
-4.942104,1.78369,-1.465006,0.94277,-0.864353,1.079674,0.373281,-1.597827,-0.868466,-0.093702,0.182475,-0.216736,1
1.794933,0.220827,0.755194,-1.853079,-0.6299,0.755134,-1.644031,1.090275,0.373948,0.460069,0.115933,0.7321,1
2.242636,-2.589809,0.716818,2.294197,-1.071201,-0.704465,0.288432,0.374869,0.702796,0.293112,0.65367,0.333623,0
0.409332,1.040681,-0.349351,-0.323092,1.343173,0.053517,0.036335,0.075274,0.373718,0.409097,0.256101,-0.401208,0
-2.344024,-5.434865,-0.406326,0.743241,-0.232388,-1.136933,-0.92017,-1.776796,2.76462,1.242188,1.922055,1.84461,1
-2.949647,-2.26582,0.288297,-0.504188,0.335008,-0.294919,-1.045684,-0.099504,0.273049,0.129836,-0.379569,0.12864,1
1.712363,-4.104449,0.193524,0.101836,0.269542,0.082898,1.56762,0.04212,-0.260956,-0.63685,0.195201,-0.908057,0
-3.239542,-1.139174,-2.147564,0.617104,0.163332,0.337041,-0.591621,-0.49152,-1.701626,0.207812,0.116962,0.721764,1
1.61422,0.753211,-0.317207,-1.151135,1.305245,0.350942,-0.10968,-0.808823,0.05745,-0.861011,0.223533,0.036668,0
1.207499,1.710554,-1.710677,1.524582,-1.629807,-0.607269,-0.257728,0.151774,-0.899339,0.513801,0.388327,0.52991,0
1.336681,-2.293023,0.216798,-0.58004,0.109698,0.406813,-0.098381,-0.072358,-0.170485,0.108621,-0.001558,0.350149,0
-13.436228,1.286018,6.654545,0.827216,0.525008,1.156145,-0.48331,1.03823,-2.955331,-0.741229,1.084995,1.182697,1
1.843193,-1.839019,1.040443,1.589566,0.310071,-0.37267,-0.066298,-0.060844,-0.348306,-0.781374,-0.782047,0.644675,0
-0.366092,1.251261,2.974466,1.350128,-0.063659,0.823545,0.223122,-1.309671,0.268221,0.012355,-1.198945,0.01718,0
0.579838,0.929462,0.156766,-0.253816,1.283706,0.055289,-0.126697,0.253345,0.606769,0.279201,0.228403,-0.646912,0
1.545173,0.773209,0.504258,-0.081869,0.561293,0.214948,-0.544445,-0.238324,0.174989,-0.731414,0.15138,-0.223274,0
-3.659845,-2.677373,0.009495,1.302539,1.169276,0.11457,-0.355192,-0.15475,0.157923,-0.98808,-0.090588,0.03217,1
1.807562,0.862287,0.504147,-0.471186,1.37157,-0.012324,0.019597,0.029111,0.44286,-0.235901,-0.135803,0.083456,0
2.555216,1.164254,1.605784,1.184349,-0.687541,0.126877,-0.218266,-0.083323,0.147444,-0.329101,-0.28921,0.255826,1
-2.002782,0.928732,1.395601,0.493912,1.363679,-0.195408,-0.612136,-0.923192,0.25066,0.852374,-0.413298,-1.55444,1
1.36363,-4.801779,0.345474,-1.689407,-0.506036,0.810693,0.147344,0.274279,-0.100995,0.367647,-0.745841,-0.149275,0
0.652055,1.045182,-0.856781,-0.314578,1.056577,0.154169,-0.120592,-0.689266,-0.241153,0.15779,0.213699,-0.047306,0
-1.358197,-2.694542,-0.702838,1.241655,0.572461,-0.121497,-0.088487,-0.3661,0.189759,-0.989077,0.270139,-0.395921,1
3.345343,1.077126,1.279741,1.507408,-1.071941,-0.178391,-0.750821,0.950687,0.054367,-0.174829,0.582833,-0.119385,0
1.894547,-3.26046,0.214557,-1.805259,-1.174934,0.853878,-0.298745,0.644657,-0.492247,0.147671,-0.549862,0.093156,0
2.179835,0.147413,1.201707,-1.749565,-0.64047,0.784352,-1.769924,1.286687,0.255965,0.28309,0.276757,0.888816,0
-2.510137,-4.64205,-0.696643,1.071351,0.426027,-0.224014,-0.617052,-1.212551,2.235021,1.647813,1.122387,0.878388,1
-5.283508,0.718214,4.690269,-3.363837,-0.487001,-5.686174,-1.210331,0.39898,-0.514034,0.606796,-0.551386,-0.117411,1
