@relation 'columba-weka.filters.unsupervised.attribute.Remove-R1,2-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.PrincipalComponents -R 0.95 -A 5-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N -1'

@attribute 0.434nf+0.427nm+0.409pd+0.304la+0.288ld... numeric
@attribute -0.513exp-0.509rexp-0.472sexp+0.233la+0.222pd... numeric
@attribute 0.501lt+0.474ndev+0.465fix+0.398npt-0.213ns... numeric
@attribute 0.463ld+0.449la-0.435entropy-0.347ndev+0.291npt... numeric
@attribute -0.57entropy-0.329ld+0.326npt+0.311pd-0.307la... numeric
@attribute 0.892ns+0.255fix-0.199sexp+0.167lt+0.135ld... numeric
@attribute '0.814fix-0.412lt-0.213ndev-0.2npt+0.18 entropy...' numeric
@attribute -0.677npt+0.585lt-0.254ndev-0.233entropy-0.192ns... numeric
@attribute 0.627ndev-0.587entropy-0.315npt-0.301lt-0.182rexp... numeric
@attribute 0.646pd-0.463nm+0.348sexp-0.308rexp-0.264ld... numeric
@attribute bug {1,0}

@data
1.034871,-2.622773,0.318091,-0.137423,-0.531765,-0.157072,1.653832,0.552381,-0.550603,0.50459,0
-0.981851,1.034008,0.42385,-0.484107,0.329646,-0.260907,-1.098432,-0.504041,0.933611,0.107109,0
1.604106,-2.031991,1.462955,-1.411887,-0.664949,-0.275169,1.208072,-0.126989,-0.270649,0.123181,0
-0.701309,1.187706,0.564179,-0.627535,0.032818,-0.219292,-1.068766,-0.51564,0.576902,0.117966,0
0.336737,-1.681742,0.19755,0.386194,0.329144,-0.786413,-0.821275,-1.146202,1.030918,0.024603,0
7.887482,4.036502,-1.395913,-2.095784,-1.452989,3.157827,-0.504381,-0.029702,1.174246,-3.544834,1
-1.030639,1.63199,0.265087,0.98586,0.370368,0.513402,1.346146,-0.265983,0.361132,0.186223,0
1.528982,1.755066,-1.241484,-0.025482,-1.221599,4.277268,1.388419,0.15775,0.668509,-0.259969,0
0.701376,0.727806,-1.34965,-2.081788,-0.079106,7.740366,0.470114,-1.676028,-0.350838,1.191806,0
4.722106,-1.577013,-4.681417,-2.549033,2.289184,6.510972,-0.762842,0.268058,0.83235,-1.874413,0
-0.040057,-1.974938,-1.051535,1.167668,0.83809,-0.163828,-0.390536,-0.514186,-0.623396,-1.000512,0
2.140204,-3.434294,-3.76403,-1.052713,0.750671,7.11051,-1.252988,0.304319,0.709941,-0.065645,0
2.927875,-0.292171,0.380166,5.641176,-2.201139,1.169316,-1.138978,0.747911,-0.525769,-3.523812,0
0.994453,-2.662697,-0.275046,0.370333,1.279756,4.215752,0.386486,-0.604479,-0.931877,-0.588136,0
2.684322,-3.781469,-4.539523,-1.587654,1.129528,10.755219,-1.924369,-0.69133,0.973764,0.421185,1
0.115027,-2.400309,0.19549,1.250791,1.347493,0.457591,1.136944,-0.011371,-0.674703,-1.180123,0
1.249225,-3.050558,-2.708375,-0.089721,0.514463,3.451352,-0.666586,0.435199,0.266483,-0.478832,0
2.249208,-3.251121,-3.061298,-1.120656,0.325384,7.106926,-1.222903,-1.214395,-0.589944,-0.178564,0
1.338247,-3.051963,-2.689662,-0.333301,0.45935,3.495654,-0.740373,0.991378,0.295855,-0.428968,1
6.467753,-2.831848,-7.489769,-4.216577,3.076061,17.397233,-2.483761,-2.335189,1.946906,-0.232985,1
0.177074,-2.354912,-0.592892,1.153859,0.996291,-0.029319,-0.753437,-0.006818,-0.972046,-1.196162,0
0.139246,-2.378992,-0.830962,1.182961,0.952119,-0.116166,-0.564891,-0.275313,-0.833055,-1.165084,0
1.139192,-3.009736,-2.486558,0.093575,0.694215,3.466752,-0.776158,0.027953,0.080441,-0.550286,0
0.009669,-2.096745,0.566964,0.567717,1.456905,0.353822,-1.709376,1.349688,-1.673706,-1.208161,0
0.197467,-2.298334,-0.453797,1.150671,1.003914,0.027739,-0.861804,0.150316,-1.045501,-1.208362,0
-0.130142,2.416656,1.111029,1.933614,-0.459369,1.024336,0.845542,0.521749,-0.031484,-0.193789,0
0.235206,-2.336202,0.238882,1.429005,1.224804,0.489035,1.123588,0.011344,-0.658029,-1.187224,0
0.419116,-2.104071,-0.44477,1.525154,0.731666,0.096338,-0.830713,0.130492,-0.998818,-1.175943,0
4.254153,-0.997564,-3.980696,-1.891549,2.086806,2.775706,-0.017726,1.075075,0.543732,-2.120122,0
3.165155,-2.976258,-3.348043,-1.547079,-0.098814,7.051088,-0.959677,-0.732157,-0.651875,-0.384199,0
0.790083,-2.49053,-1.174116,0.288844,-0.305797,-0.152494,-0.027531,0.126668,-1.326118,-1.008209,0
1.298727,-3.008194,-2.640849,-0.159344,0.574698,3.454616,-0.722,0.505,0.230569,-0.519658,0
0.399523,2.761591,0.96806,3.157148,-1.139786,1.161285,1.006631,0.346239,0.318207,-0.104964,0
3.497147,-3.952228,-4.250529,-2.459754,0.973114,14.477434,-2.747447,-2.893822,-0.515391,0.90511,0
2.309915,-3.236799,-2.963182,-1.241088,0.333217,7.176727,-1.383128,-0.554844,-0.532528,0.048987,0
1.246232,-3.045469,-2.655638,-0.111383,0.530709,3.456277,-0.706054,0.486263,0.247646,-0.455117,0
2.738129,-2.914476,-2.231324,-0.875645,-0.809585,7.332424,-1.412215,-1.452713,-1.08779,-0.039995,0
2.905557,-2.943119,-3.015363,-0.889138,-0.157306,7.210981,-1.206857,-0.736986,-0.648957,-0.06595,0
3.142797,-3.529301,-3.966135,-1.773459,0.547001,10.753855,-1.832681,-1.779546,-0.24831,0.365709,0
1.1491,-3.029527,-2.444823,0.085683,0.702837,3.453759,-0.802536,0.054084,0.08008,-0.503178,0
0.119815,-2.271927,-0.456969,1.050721,1.060342,0.016668,-0.867494,0.157315,-1.051743,-1.16706,0
3.805619,-1.098428,-3.873119,-1.691058,1.856442,2.873101,-0.083911,1.20319,0.544107,-1.658112,1
6.19358,-0.901531,-5.058617,-3.177529,3.20273,6.177732,-0.560433,0.155692,0.760829,-2.871881,1
0.176953,-2.385258,-0.85164,1.240407,0.919253,-0.100352,-0.548751,-0.29062,-0.83467,-1.212083,0
0.163798,-2.424513,-0.986881,1.258899,0.898614,-0.152518,-0.44182,-0.444626,-0.758812,-1.199011,0
1.555994,-3.025229,-3.183165,-0.383776,0.320904,3.405541,-0.409011,0.9265,0.550232,-0.560163,0
0.16887,-2.433327,-1.019672,1.275312,0.886068,-0.163517,-0.414807,-0.482986,-0.739389,-1.19857,0
3.213899,1.038552,1.004962,5.800788,-2.953057,0.813813,-1.169642,0.41226,0.211954,-0.903552,1
1.560194,-2.972486,-1.803992,0.022849,0.174296,-0.891483,0.018437,1.871478,0.600793,0.099187,1
2.231267,-1.977655,1.652694,-2.159237,-1.013697,-0.44019,1.132815,0.076648,0.823834,-0.020722,0
1.693954,-1.219513,2.162982,-0.071078,-1.200176,0.049362,0.751287,-0.31048,0.654739,0.092236,1
1.155708,3.113072,0.796665,3.359694,-2.264032,0.711975,-1.104073,0.000109,0.923616,-0.386742,1
2.128416,-1.703481,1.482386,3.370574,-0.555038,0.410993,0.731943,0.187324,-0.099355,-0.129089,1
-0.020785,-1.958931,-0.651873,1.11251,0.784925,-0.62076,-0.486703,-0.504522,-0.322818,0.074639,0
0.839113,-2.293597,1.008421,1.887511,0.633482,-0.016809,0.853754,-0.132505,0.222386,0.097245,0
0.105649,1.415992,1.074081,-0.513667,-0.678527,0.016549,-1.502841,0.769532,1.462425,0.022959,0
0.132393,-1.90721,0.644744,1.152015,1.020503,-0.049864,1.087194,-0.288728,0.078391,0.135521,0
1.099507,-1.291712,1.506544,1.353981,-0.03157,0.262553,0.781873,-0.016675,-0.362615,-0.159923,1
0.698493,-1.861643,-0.772837,0.135309,-0.786397,-0.587695,0.01121,-0.182191,-0.738718,0.173877,0
-1.254258,1.068993,0.039428,-0.132353,0.650515,-0.076642,-1.00257,0.071168,0.007975,0.083443,0
-1.271244,1.064482,0.037268,-0.156308,0.665931,-0.080241,-1.003495,0.071352,0.007452,0.078275,0
-0.589947,1.017763,1.472276,-1.203652,-0.567602,0.320653,1.149212,-0.712716,-0.52806,0.308517,1
-0.033373,1.078895,0.432363,-1.720015,-1.164512,-0.431692,-0.592722,-0.79248,0.792664,0.095746,0
-1.028746,0.869961,-0.515441,0.10464,0.287665,-0.382792,-0.471503,-0.931333,0.733716,0.165084,0
-1.389583,0.996601,1.074602,-0.051006,1.24092,0.561247,0.61774,0.660554,-0.198049,0.116166,0
0.372786,1.297147,0.088482,-1.420403,-1.353585,-0.455883,-0.401581,-0.548343,1.108276,0.343014,1
-0.955049,0.676549,0.145833,0.790546,0.6772,0.293275,1.42525,-0.45088,0.333427,0.019738,0
-0.636506,0.905256,1.714811,-0.660426,0.290148,0.447821,0.616165,0.013063,-0.017033,-0.009511,1
-0.457863,0.724319,0.0525,-1.192716,-1.023021,0.278794,1.906574,0.370681,-0.239626,0.426326,1
0.011368,2.017729,1.583408,0.423854,-0.361715,0.386599,-1.867589,0.695579,0.351667,-0.307935,1
-1.118862,1.056437,1.444101,-0.363169,0.883019,0.416309,0.539924,0.100644,0.693453,0.059916,0
-0.071482,1.206144,0.647302,-1.607613,-1.255488,-0.248291,-0.70805,-0.523729,0.097035,0.146139,1
1.021161,1.803249,0.401824,1.422309,-1.902133,0.755857,1.426699,1.240131,1.692783,-0.141967,1
0.011784,-0.355423,3.046945,-1.381756,0.321598,0.501795,-0.168888,0.773115,-0.866142,-0.054777,0
-1.313497,1.5671,1.994004,-1.157968,1.041756,0.408963,-2.460582,1.695683,-0.404531,-0.01946,0
-1.357606,1.54889,2.014104,-1.236142,1.097616,0.404609,-2.483253,1.724915,-0.428753,0.000761,0
-0.761977,1.298919,2.135171,-1.569512,0.07985,0.557859,0.472371,0.245029,-0.748826,0.075132,0
1.280597,-3.004319,-2.856298,-0.192275,0.424282,3.469213,-0.593729,0.63068,0.351561,-0.499777,0
0.175442,-0.21003,-0.596035,2.040247,-0.128566,-0.119345,-0.443614,-0.298693,-0.273396,-0.319589,0
0.628772,-0.668155,-0.171529,-1.555045,-1.322081,-0.351766,-0.313277,0.841475,-0.715149,0.125768,1
-0.61248,-0.00807,-2.027135,-0.027086,-0.153308,-0.361824,0.271498,0.976543,0.557753,0.11149,1
6.217637,0.296445,-3.606153,-2.388029,3.365091,-1.369789,0.841833,1.749755,-0.032834,-4.629556,1
2.656019,-2.97823,-2.846622,-0.745032,-0.157121,7.220074,-1.24649,-1.16534,-0.815422,0.036402,1
1.321663,-2.53938,-2.907392,-0.18174,0.348477,3.438714,-0.540035,0.561677,0.492584,-0.390287,0
0.387082,-2.222221,-0.733127,1.551391,0.699402,-0.029716,-0.60223,-0.20564,-0.825267,-1.170851,0
-1.596718,1.442198,0.848934,-0.090785,1.153646,0.580464,0.785487,0.483526,-0.084114,0.098012,0
1.123846,-2.466526,-1.183402,-0.796597,-0.824403,-0.005928,-0.100037,1.814268,-1.466498,-0.869042,0
3.335763,-3.602037,-3.836812,-2.021457,0.45629,10.77004,-1.93017,-1.329305,-0.332195,0.39306,1
0.941059,-2.55445,-1.055534,-0.512208,-1.091978,-0.099962,0.114042,0.508063,-1.936085,-0.778726,0
1.563109,-3.066631,-1.343775,-0.862405,0.056606,4.028247,1.209517,0.473021,-0.636849,-0.367665,1
0.129305,-2.361595,-0.422148,1.019,1.101806,0.006298,-0.896177,0.187991,-1.075475,-1.17782,0
1.586963,-2.89747,-0.601983,-1.27417,-0.126086,4.171366,0.920971,0.348137,-1.60507,-0.36389,0
-1.615237,1.575166,1.311501,-0.242714,1.278432,0.747087,0.411836,1.017659,-0.349939,0.074672,0
2.881114,-3.859397,-4.762811,-1.641685,1.068072,10.675834,-1.775276,-0.6532,1.117712,0.385193,0
8.119332,0.987054,-4.064488,-3.029021,4.577056,-1.789653,1.075837,1.778356,-0.226203,-5.637085,1
3.548671,-4.251518,-5.683454,-2.303946,1.364146,14.31658,-2.385834,-1.310493,1.47156,0.913643,0
4.012781,-3.880928,-4.676269,-2.825036,0.875241,14.354835,-2.466107,-2.665455,-0.360652,0.726259,0
1.375932,-2.784073,-1.234081,-1.110028,-0.181387,3.693192,-1.090462,-0.03778,-1.922476,-0.36906,0
0.694566,0.738737,-1.397981,-1.842877,0.04538,7.618036,0.617902,-2.561184,-0.447848,1.075792,0
3.10599,-3.735282,-4.972624,-1.786909,1.095673,10.623079,-1.65855,-0.491111,1.210273,0.333332,1
2.533439,-1.502022,-2.714956,-0.782612,0.986877,-0.595772,0.403597,1.821849,0.259457,-2.173189,1
3.394321,-3.52482,-3.915082,-2.133841,0.08936,10.744645,-1.682601,-1.846204,-0.675142,0.349304,0
0.152169,-2.393138,-1.025288,1.266832,0.883263,-0.161515,-0.41107,-0.485757,-0.732909,-1.188168,0
-0.039364,-1.976756,-1.047191,1.166283,0.839988,-0.162421,-0.394098,-0.509123,-0.626629,-1.001907,0
1.664775,-1.844471,-2.626427,-0.35213,0.42752,-0.429533,0.390579,1.720568,0.359018,-1.590902,0
2.17741,-3.268169,-1.548243,-1.482499,0.441777,7.724209,0.361647,-1.101177,-1.172216,0.053835,0
2.118642,-3.44043,-3.709451,-1.035062,0.763646,7.099934,-1.28174,0.271193,0.700998,-0.017863,0
2.07957,-3.287509,-2.852955,-1.024078,0.317485,7.086647,-1.260888,-1.639509,-0.84414,0.036449,0
1.305894,-3.050297,-2.922174,-0.146867,0.39135,3.419662,-0.531031,0.530725,0.415466,-0.450052,0
-1.227417,0.883042,-0.773552,0.333749,0.493672,-0.258764,-0.406475,-0.551746,0.125568,0.12261,0
-0.835536,1.125266,0.3784,-0.231754,0.148514,-0.237631,-1.037841,-0.575977,0.988661,0.131955,0
-1.019169,0.170875,-1.240704,0.721333,0.588999,-0.247393,-0.112237,-0.678334,-0.246014,-0.384261,0
-0.781593,0.248068,-1.073236,0.501757,0.59576,-0.312324,-0.185467,-0.809193,0.008946,-0.516615,0
-1.472293,1.140294,-1.24939,0.467557,0.501351,-0.233307,-0.109489,-0.684464,-0.020234,0.043436,0
0.47775,1.643522,-0.428495,1.183761,-2.119377,0.229659,0.130773,-0.836549,-1.809811,0.513595,0
-1.298657,0.763055,-1.289436,0.584331,0.515236,-0.252074,-0.074767,-0.732933,-0.078437,-0.121999,0
0.348811,0.190772,-1.846157,-1.730092,-1.180205,3.451532,-0.40847,-0.455374,-0.626821,0.734055,0
-1.03544,0.989672,-1.041593,0.963378,0.255058,-0.08472,-0.235919,-0.483424,-0.129514,-0.337231,0
-0.01828,1.794822,-0.641508,2.433816,-0.744689,0.302399,-0.378223,-0.163691,-0.275155,0.419777,0
-1.222454,0.559602,-0.760809,0.411148,0.744612,-0.080939,-0.508282,-0.117028,-0.467463,-0.282915,0
-0.641158,0.782486,0.05458,1.484689,0.439027,0.548917,1.45985,-0.186291,-0.070005,-0.243611,0
-1.298288,0.762258,-1.289315,0.584507,0.515312,-0.252144,-0.074834,-0.732878,-0.078578,-0.122147,0
-0.104057,1.712889,-0.722127,2.31975,-0.668593,0.251393,-0.328142,-0.244647,-0.240488,0.382173,0
-0.013073,-1.064225,1.716017,-0.160912,0.783964,0.888486,0.335673,1.158585,-2.139127,-0.621545,1
0.56894,-1.421021,-2.456529,-0.136669,-0.078066,-0.304632,0.319111,1.769587,0.573062,-0.498205,0
0.194286,-1.487808,-2.143649,0.180917,-0.036433,-0.252056,0.176555,1.212706,0.401725,-0.458134,0
0.283653,-1.447697,-2.13439,0.044309,-0.015298,-0.240815,0.140589,1.425975,0.40701,-0.49634,0
-0.023819,-1.449608,-0.944028,1.335391,0.618731,-0.12763,-0.432684,-0.456031,-0.511067,-0.688101,0
-0.361763,-1.26643,-1.043739,0.985691,0.770954,-0.189563,-0.383094,-0.530443,-0.438189,-0.615587,0
0.068904,-1.486582,-2.011605,0.303375,0.015174,-0.233315,0.110135,1.026603,0.313018,-0.413688,0
0.11856,-1.260455,0.402755,-0.1758,-0.202213,0.388541,1.662613,-0.706358,-1.870826,-0.429162,0
0.194343,-1.530045,-1.158723,0.148275,0.34147,0.306184,1.889127,1.623124,0.609175,-0.421393,1
0.491791,-1.437672,-0.349724,0.148468,-0.763667,-0.030906,-0.227971,-0.683753,-2.20666,-0.611914,0
-0.189508,-1.570687,-0.86838,1.036994,0.837426,-0.144776,-0.523528,-0.345361,-0.589446,-0.741689,0
-0.415219,-1.172099,-0.701764,0.813889,0.900465,-0.077468,-0.66604,-0.134126,-0.632374,-0.604366,0
0.120361,-1.48601,-2.050882,0.172082,-0.039467,-0.212533,0.103445,1.321289,0.35524,-0.394588,0
0.628913,-1.090771,-1.331959,0.077782,-0.580862,-0.087713,-0.005048,0.669846,-0.755158,-0.684098,0
0.047021,-1.166468,0.29404,0.314937,0.5001,0.39753,1.438747,-0.40447,-1.21272,-0.61616,0
80.273931,37.526267,-2.299787,15.407946,17.398052,-3.892711,0.096748,2.230281,-5.437303,11.282676,0
2.650738,-2.907577,1.641743,-0.263098,0.313792,3.322794,-0.319169,-1.571814,1.349624,0.448443,1
3.365536,-2.654092,-3.012308,-1.237372,1.188668,2.460261,-0.442502,0.982395,1.005839,-0.170361,1
-0.078739,-1.376205,-1.557594,0.370743,0.277549,-0.154729,-0.188495,0.876845,0.013506,-0.441504,0
0.35776,-1.223997,-0.357014,-0.298779,-0.026839,0.057517,-0.635661,0.70276,-1.649754,-0.671791,0
0.91637,-1.088258,-1.496393,-0.296309,-0.657342,-0.249327,0.265324,0.205911,-1.060067,-0.693885,0
0.570889,-1.422915,-1.835968,-0.390328,-1.217594,-0.181205,0.430424,0.908562,-0.677146,-0.274774,0
0.382186,-1.440044,-2.191282,-0.026813,-0.005525,-0.25287,0.168878,1.503128,0.426905,-0.57664,0
0.251434,-1.462668,-2.147924,0.023614,-0.068279,-0.224496,0.138664,1.549841,0.429285,-0.426302,0
0.030631,-1.606133,0.165018,-0.127812,0.893323,0.683954,0.869401,2.608196,-0.259165,-0.533198,0
0.142383,-0.441777,0.45285,1.374708,0.56066,0.488016,-1.503886,1.125177,-1.193686,-0.550323,0
0.853288,-1.087068,-1.629374,0.104073,-0.702022,-0.043642,0.043188,1.461382,-0.325107,-0.575875,1
-0.25351,-1.16246,0.395066,0.625353,1.162963,0.313675,-1.541017,1.113389,-1.307196,-0.798204,0
0.71865,-0.48975,1.724382,2.330269,0.389799,1.283083,0.062686,1.578938,-0.925933,-1.725823,1
0.517555,-0.627917,1.316717,0.581092,-0.255827,0.88033,0.873802,0.458169,-2.018855,-0.51001,0
0.394815,-1.189575,-0.920592,-0.725604,-0.669949,0.083355,-0.328985,1.69363,-1.191731,-0.3563,0
0.555657,-1.258118,-0.403081,0.400695,-0.502611,-0.01784,-0.311642,-0.57359,-1.895595,-0.779216,0
4.293035,-2.801669,1.288793,-2.960821,0.508544,2.846441,-0.035663,-0.644075,1.578398,-0.006709,1
0.311189,-1.335538,0.174924,-0.894931,-0.488726,0.52559,1.584052,1.086929,-1.529665,-0.307525,0
0.930715,-1.305484,-1.964239,-0.622539,-1.13514,-0.181564,0.421493,1.437601,-0.536085,-0.455559,1
-0.137951,-1.247941,0.537499,1.201369,1.137376,0.59728,0.902568,0.32652,-0.575191,-0.693893,0
0.842253,-0.693359,-0.480818,0.929553,-0.594506,0.028577,-0.289872,-0.570773,-1.628265,-0.529125,1
1.266584,-0.770036,-1.911879,1.49497,-1.164226,0.150353,0.07457,1.872839,0.574923,-0.888789,1
-0.445699,-1.102637,-0.481884,0.713202,0.978381,0.004012,-0.845755,0.128656,-0.771316,-0.628309,0
-0.411183,-1.286572,0.00263,1.011105,1.191118,0.371896,1.302134,-0.253027,-0.275814,-0.586074,1
2.11273,-3.180593,1.146856,-0.545931,0.505099,3.352686,0.005907,-1.33056,0.056385,0.959209,1
-0.467656,-1.193218,0.439827,0.798903,1.359806,0.516791,0.942495,0.257129,-0.538542,-0.599632,0
0.071843,-1.369883,-1.573058,0.052885,0.223031,-0.096071,-0.254016,1.538534,0.040631,-0.492831,1
-0.342067,-1.371713,-0.09521,0.608062,1.15653,0.107699,-1.161436,0.56183,-1.054386,-0.741035,0
0.974075,-1.246579,-1.829528,-0.400637,-1.305458,-0.131712,0.399578,1.241041,-0.6586,-0.460597,1
-0.037241,-1.448347,-1.801725,0.494806,0.187289,-0.233241,0.014063,0.596498,0.145485,-0.459495,0
0.353231,-0.834743,0.322514,1.454909,0.242578,0.582604,1.337157,-0.228708,-0.787628,-0.417468,1
0.845828,-0.669129,-0.804268,1.395082,-0.601022,0.10272,-0.304216,0.12933,-0.889443,-0.442819,1
1.100931,-0.899508,-1.332538,1.512006,-0.74023,0.110073,-0.124249,0.914356,-0.239064,-0.881066,1
-0.412625,-1.064447,-1.123874,0.976875,0.753946,-0.21909,-0.301734,-0.603183,-0.405713,-0.556465,0
0.325497,-1.716985,-2.287835,0.14169,-0.145825,-0.257785,0.266713,1.501999,0.429506,-0.538018,0
0.401102,-1.473166,-2.281659,0.021193,-0.041761,-0.289122,0.242509,1.390482,0.491434,-0.554831,0
0.449617,-1.463037,-2.337818,-0.038352,-0.066488,-0.293132,0.26713,1.50413,0.529212,-0.551643,0
-0.337197,-1.315113,-1.08005,1.015157,0.756619,-0.211319,-0.352914,-0.582692,-0.408642,-0.600693,0
0.130525,-1.469958,-1.95205,0.242496,0.075624,-0.228692,0.057243,1.088545,0.278162,-0.462999,0
0.362548,-1.484573,-2.290188,-0.042121,-0.118045,-0.254708,0.221032,1.670704,0.517186,-0.426646,0
-0.201489,-0.769156,-0.941579,1.343765,0.466952,-0.070368,-0.406229,-0.427251,-0.424356,-0.625762,1
-0.306933,-1.402647,-1.021691,1.022417,0.793625,-0.185656,-0.358239,-0.474976,-0.580604,-0.856828,0
0.08725,-1.129989,-1.969847,-0.006731,0.048649,-0.20132,0.081521,1.453342,0.235943,-0.609393,1
-0.015796,-1.167169,-1.987434,0.190184,0.042778,-0.232963,0.138425,1.092015,0.236536,-0.561604,0
0.377931,-1.517047,-2.298602,-0.029327,-0.120097,-0.261323,0.229099,1.657877,0.519371,-0.432418,1
0.263907,-1.478905,0.428381,0.282568,0.296347,0.421685,1.434661,-0.403571,-1.519205,-0.663594,0
0.155977,-1.23563,-0.627075,0.072894,-0.59557,-0.134561,-0.088801,-0.893369,-1.870043,-0.424751,0
1.085794,-1.042319,-1.381151,-0.444812,-0.714102,-0.221494,0.209364,0.416032,-1.254578,-0.567665,0
0.827107,-1.248284,-1.1343,-0.013936,-0.989801,-0.099453,0.138228,0.20349,-1.459815,-0.533718,0
2.539775,-2.707891,-2.017125,-1.219334,-0.475985,2.704557,-0.316885,-0.548875,-0.904685,1.113045,0
1.277315,-1.206748,-1.545132,-0.765198,-0.706967,-0.328639,0.417002,0.314345,-1.478461,-0.88608,0
0.709095,-1.017002,-2.47714,-0.371044,0.076446,-0.349389,0.372533,1.770093,0.492542,-0.899389,1
-0.004949,-0.901456,0.316401,1.593294,0.79254,0.602187,1.117173,0.057942,-0.377339,-0.584087,0
2.344811,-3.031814,0.166191,-1.253091,-0.322419,2.733026,-1.628172,-1.521537,0.479187,0.74846,1
2.08951,-3.105574,-0.469323,-0.570604,-0.036179,2.699043,-1.402254,-1.510302,0.940379,0.719487,0
1.713451,-2.489234,0.161626,-1.073232,-0.256324,2.863775,-1.605526,-1.845512,0.055451,0.923594,1
1.424137,-2.862536,-0.156824,-0.387089,0.234792,3.47773,0.974514,-1.577749,-1.318555,0.700447,0
0.150427,-1.019401,-0.43628,-0.062089,0.221443,0.317332,1.822455,0.496069,-0.588248,-0.639982,0
1.045823,-1.294258,-1.675725,-0.089371,-0.815361,-0.214802,0.321257,0.749674,-0.883724,-0.402204,0
-0.220299,-1.303882,-0.87824,1.109163,0.747184,-0.115024,-0.462053,-0.319273,-0.646822,-0.862936,0
0.409472,-1.492278,-2.263166,0.018791,-0.033784,-0.28602,0.228202,1.409672,0.478339,-0.55959,0
-0.302233,-1.410617,-0.940603,0.983762,0.825832,-0.156936,-0.448863,-0.396162,-0.582235,-0.775615,0
-0.193553,-1.132791,-1.724325,0.390951,0.195504,-0.205735,0.001694,0.724575,0.047049,-0.543834,0
0.198292,-1.128063,0.235963,0.389617,0.29268,0.375294,1.554588,-0.564482,-1.286754,-0.51229,0
