@relation camel-1.4_deleteColumns-weka.filters.unsupervised.attribute.Remove-R4-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.Remove-R9-weka.filters.unsupervised.attribute.Remove-R6

@attribute dit numeric
@attribute noc numeric
@attribute lcom numeric
@attribute ca numeric
@attribute ce numeric
@attribute lcom3 numeric
@attribute loc numeric
@attribute moa numeric
@attribute mfa numeric
@attribute cam numeric
@attribute ic numeric
@attribute cbm numeric
@attribute amc numeric
@attribute max_cc numeric
@attribute avg_cc numeric
@attribute bug {1,0}

@data
3,0,4,0,1,0.666667,16,1,0.962264,0.666667,1,1,2.75,1,0.5,0
2,36,256,38,16,0.804348,301,1,0.382353,0.31677,1,1,11.375,3,1,1
1,0,1,1,1,2,16,0,0,0.666667,0,0,7,3,1.5,0
4,0,3,0,3,2,12,0,0.987097,0.666667,1,2,3,1,0.6667,0
1,0,1,2,0,2,2,0,0,0.75,0,0,0,1,1,0
1,0,0,5,0,2,1,0,0,1,0,0,0,1,1,0
3,0,3,1,4,2,16,0,0.971429,0.5,1,1,4.333333,1,0.3333,0
0,0,102,4,23,0.890625,229,4,0,0.173611,0,0,12,3,1.2353,0
1,0,4,1,0,0.625,59,0,0,0.288889,0,0,5.222222,1,0.7778,0
1,3,21,3,9,0.722222,151,1,0,0.37037,0,0,13.7,1,0.6,1
1,0,0,0,0,0.5,32,0,0,0.466667,0,0,5,1,0.8,0
1,0,1,0,1,2,26,0,0,0.75,0,0,12,1,0.5,0
6,0,7,1,2,0.8,80,0,0.791667,0.416667,0,0,11.666667,3,1.1667,0
2,0,7,1,5,0.7,59,0,0.6,0.36,1,1,8.5,2,0.8333,0
1,0,3,0,0,2,57,0,0,0.444444,0,0,18,1,0.6667,0
1,0,435,18,29,2,193,0,0,0.133333,0,0,5.433333,1,0.9667,1
1,0,0,4,1,2,1,0,0,1,0,0,0,1,1,0
1,1,75,1,6,0.803571,139,1,0,0.27619,0,0,8,2,1,0
2,0,0,2,11,0.7,115,2,0.764706,0.466667,1,2,17.5,2,0.8333,1
1,0,24,3,3,0.714286,68,0,0,0.541667,0,0,7.25,2,1.25,0
1,0,12,3,9,0.65,224,4,0,0.275,0,0,23.333333,4,1.3333,0
2,0,0,7,6,0,34,1,0.95,0.541667,0,0,7.25,1,0.5,0
3,0,3,1,6,2,22,0,0.970588,0.666667,1,1,6.333333,1,0.3333,0
3,0,46,3,33,0.777778,672,0,0.772727,0.305556,2,2,50.461538,5,2.1538,0
1,0,1,18,0,2,2,0,0,0.833333,0,0,0,1,1,0
1,0,13,1,2,0.4,57,0,0,0.666667,0,0,8.333333,3,1,0
0,0,1,0,3,2,12,0,0,1,0,0,5,1,0.5,0
1,3,58,3,1,0.777778,112,1,0,0.472222,0,0,7.384615,2,1.0769,1
3,0,9,2,4,0.5,52,0,0.84375,0.309524,1,4,6.285714,2,1,0
1,0,1,1,1,2,2,0,0,1,0,0,0,1,1,0
1,0,1044,8,17,0.915278,620,3,0,0.128728,0,0,11.346939,6,1.4082,0
3,0,7,2,3,0.866667,46,1,0.761905,0.583333,0,0,6.166667,2,1,0
1,0,697,105,4,0.918919,923,0,0,0.090734,0,0,23.263158,8,3.1579,1
3,0,1,6,5,0.333333,45,1,0.785714,0.428571,1,1,5.285714,1,0.8571,0
3,0,157,4,15,0.944444,111,0,0.642857,0.215278,1,1,4.526316,1,0.7895,0
1,0,1484,1,13,0.666667,738,0,0,0.125,0,0,11.842105,6,1.2105,0
1,0,82,3,7,0.84375,162,1,0,0.183007,0,0,8.176471,3,1.1765,1
4,0,33,1,9,0.653846,167,0,0.932927,0.3,1,1,10.642857,5,1.2857,1
0,0,2,1,9,0.666667,71,2,0,0.833333,0,0,16,1,0.5,0
1,0,0,0,0,2,1,0,0,1,0,0,0,1,1,0
1,0,60,0,7,0.727273,63,1,0,0.106061,0,0,4.166667,1,0.9167,0
1,0,1,0,6,2,23,0,0,0.75,0,0,10.5,1,0.5,0
3,0,11,1,8,0.809524,334,1,0.714286,0.314815,1,1,31.7,1,0.8,0
2,0,120,1,1,0.9375,84,0,0.111111,0.367647,0,0,3.470588,1,0.9412,0
2,0,1,0,3,2,11,0,1,0.833333,0,0,4.5,0,0,0
1,1,14,5,30,0.761905,207,1,0,0.35,0,0,24.5,1,0.875,0
1,0,0,4,2,2,1,0,0,1,0,0,0,1,1,0
1,0,0,0,0,2,1,0,0,1,0,0,0,1,1,0
3,0,71,1,5,0.785714,113,0,0.729167,0.35,2,6,6.333333,2,0.9333,0
1,0,6,6,2,2,4,0,0,0.583333,0,0,0,1,1,0
1,0,0,0,3,0.333333,34,0,0,0.5,0,0,7.25,2,1,0
1,31,49,33,2,0.807692,200,0,0,0.380952,0,0,12.857143,3,1.2143,1
1,0,6,4,4,2,31,0,0,0.3125,0,0,6.75,1,0.75,0
1,0,0,3,0,2,0,0,0,0,0,0,0,0,0,1
4,0,10,1,5,2,28,0,0.974522,0.6,1,1,4.6,1,0.8,0
1,0,0,6,0,0.4,57,0,0,0.5,0,0,8,2,0.8333,0
1,0,0,2,3,2,1,0,0,1,0,0,0,1,1,0
2,0,0,2,0,0,52,0,0.692308,0.5,0,0,7.5,1,0.6667,1
1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
0,0,4,2,12,0.666667,88,0,0,0.833333,0,0,20.75,2,0.75,0
1,0,10,1,3,2,56,0,0,0.44,0,0,10.2,1,0.8,1
3,0,0,1,6,0,24,1,0.956522,0.6,0,0,10.5,1,0.5,0
1,0,9,0,11,0.791667,75,3,0,0.357143,0,0,9.142857,1,0.8571,0
1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
5,0,0,1,3,0.5,32,2,0.894737,0.555556,0,0,9,1,0.6667,0
1,0,1,8,4,2,23,0,0,0.5,0,0,10.5,1,0.5,0
1,0,0,2,2,0.5,33,1,0,0.666667,0,0,9,2,1,0
0,0,32,0,13,0.818182,138,1,0,0.272727,0,0,10.083333,8,1.4167,0
0,0,1,1,7,0.5,41,0,0,0.75,0,0,12.333333,1,0.3333,0
1,0,85,4,21,1.048077,461,0,0,0.192308,0,0,31.357143,6,1.9286,0
3,0,0,1,4,0,26,1,0.916667,0.555556,1,1,7.333333,1,0.6667,0
1,0,3,0,3,2,13,0,0,0.333333,0,0,3.333333,1,1,0
4,1,3,1,8,2,52,0,0.948718,0.666667,2,2,16.333333,1,0.6667,0
2,1,28,3,13,0.611111,120,1,0.69697,0.241758,0,0,8,1,0.7692,0
5,0,0,2,3,0.5,21,2,0.894737,0.5,0,0,5.333333,1,0.6667,0
1,0,3,0,4,2,12,0,0,0.833333,0,0,3,1,0.6667,0
1,0,45,3,7,2,216,0,0,0.283333,0,0,20.6,4,2.4,0
5,0,0,1,1,1,21,0,0.944444,0.75,0,0,8.5,1,0.5,0
4,0,291,3,17,0.820513,303,3,0.872928,0.116049,2,3,10,2,0.8889,1
1,0,10,4,0,2,5,0,0,1,0,0,0,1,1,1
1,0,24,0,4,0.375,125,2,0,0.444444,0,0,12.666667,2,1,0
1,0,27,1,2,0.666667,69,1,0,0.425,0,0,5.6,1,0.7,0
4,0,39,3,9,0.666667,68,0,0.777778,0.35,1,1,5.7,1,0.8,0
1,0,1,2,1,2,2,0,0,1,0,0,0,1,1,0
1,0,11,8,2,0.75,166,0,0,0.5,0,0,21.857143,1,0.5714,0
1,1,41,4,7,0.512821,799,0,0,0.316239,0,0,55.857143,14,3.3571,1
1,0,9,0,4,0.2,41,0,0,0.416667,0,0,5.666667,2,1,0
1,0,0,0,0,2,1,0,0,1,0,0,0,1,1,0
1,0,576,1,8,0.86859,758,0,0,0.143939,0,0,14.204082,7,1.7143,0
4,0,13,1,6,0.555556,82,1,0.95625,0.375,1,1,7,2,0.8,1
2,0,0,1,6,0.5,78,1,0.5,0.4,0,0,18,2,1,0
1,0,3,62,2,2,3,0,0,0.555556,0,0,0,1,1,0
1,1,437,1,15,0.855556,251,2,0,0.133995,0,0,7,2,1,1
3,0,8,1,35,0.59375,571,2,0.740741,0.234375,1,1,62,10,1.7778,0
2,0,124,4,7,0.75,99,1,0.730769,0.235294,1,3,4.764706,1,0.8235,0
1,0,1,1,1,2,7,0,0.857143,0.75,0,0,2.5,1,0.5,0
2,0,0,2,9,0,94,0,0.625,0.583333,1,2,22,3,1.25,0
1,0,0,24,3,2,1,0,0,1,0,0,0,1,1,0
2,0,0,0,4,0,80,0,0.722222,0.444444,1,1,12.166667,3,1.1667,0
3,0,318,1,5,0.86039,342,0,0.852273,0.199234,1,3,10.413793,1,0.8966,1
1,0,78,15,9,2,218,0,0,0.461538,0,0,15.769231,2,1.2308,1
5,0,0,1,1,2,14,0,1,1,0,0,12,0,0,0
3,0,14,1,16,0.928571,297,0,0.769231,0.371429,0,0,35.625,6,2.25,0
3,0,13,1,6,0.4,54,1,0.782609,0.444444,1,1,7.833333,1,0.8333,0
0,0,13,1,7,0.9,143,0,0,0.357143,0,0,22.5,1,0.6667,0
1,0,0,21,0,2,1,0,0,1,0,0,0,1,1,0
2,6,7,6,5,0.6,49,2,0.722222,0.375,0,0,6.833333,2,1,0
2,0,3,1,7,2,44,0,0.875,0.75,0,0,13.666667,1,0.3333,0
1,3,46,6,7,0.454545,102,1,0,0.22619,0,0,7.416667,2,1.1667,0
1,0,0,1,2,0.666667,28,2,0,0.4375,0,0,5.25,1,0.75,0
3,0,126,4,17,0.782895,299,2,0.73913,0.16,1,1,13.55,2,1.05,0
0,2,6,2,3,2,93,0,0,0.4,0,0,22.25,4,1.5,0
4,2,1,2,5,1,17,1,1,0.875,0,0,7,0,0,0
3,0,1,0,4,2,9,0,0.916667,0.75,1,1,3.5,1,0.5,0
4,0,0,1,1,2,5,0,1,1,0,0,4,0,0,0
5,0,3,1,1,2,16,0,1,0.777778,0,0,4.333333,0,0,0
1,0,161,10,1,0.829545,249,0,0,0.286957,0,0,9.478261,3,1.087,0
1,0,61,3,17,0.89011,189,1,0,0.1875,0,0,10.733333,1,0.8667,0
1,0,6,0,3,2,93,0,0.8,1,1,2,22.25,1,0.75,0
2,0,4,2,8,0.619048,79,0,0.793103,0.325,0,0,8.5,2,0.875,0
2,0,3,0,1,2,12,0,0.956522,0.666667,1,2,3,1,0.3333,0
3,3,6,10,0,2,20,0,1,0.666667,0,0,4,0,0,0
0,0,1,0,4,2,18,0,0,1,0,0,8,1,0.5,0
3,0,3,0,4,2,24,0,0.967213,0.444444,1,2,7,1,0.6667,0
1,0,0,0,1,2,1,0,0,1,0,0,0,1,1,0
2,0,0,0,1,0.333333,22,0,0.666667,0.583333,0,0,4.25,1,0.5,0
1,0,73,0,10,0.461538,192,0,0,0.306122,0,0,12.571429,2,1.0714,0
1,0,178,9,13,0.881579,587,2,0,0.210526,0,0,28.15,9,1.7,0
2,0,288,5,10,0.854167,204,0,0.633333,0.246667,1,3,7.08,1,0.88,0
1,0,95,1,0,0.285714,106,0,0,0.377778,0,0,5.933333,1,0.9333,0
5,0,6,4,2,0.916667,67,0,0.826087,0.36,0,0,11.8,2,1,0
2,0,17,2,9,0.666667,61,0,0.684211,0.261905,1,1,7.428571,1,0.8571,0
1,0,0,2,3,2,1,0,0,1,0,0,0,1,1,0
1,0,1,16,1,2,2,0,0,0.7,0,0,0,1,1,0
5,0,0,1,1,1,22,0,0.944444,0.666667,0,0,9,1,0.5,0
1,0,2,1,7,0.5,131,2,0,0.777778,0,0,31.25,3,1.5,0
1,0,33,0,5,0.777778,235,1,0,0.422222,0,0,22.2,4,1.2,0
3,0,0,2,12,0.55,99,1,0.846154,0.3,1,1,14.833333,1,0.6667,0
3,0,2,2,21,0.65625,272,1,0.740741,0.28125,1,1,28.333333,2,0.8889,0
3,0,39,4,12,0.777778,177,0,0.741935,0.271605,0,0,16.6,5,1.5,1
2,2,1836,12,25,0.883876,1188,2,0.27381,0.09612,0,0,17.265625,6,1.2031,1
1,0,30,1,18,0.772727,479,1,0,0.418182,0,0,38.416667,17,3.25,0
3,0,16,1,5,0.25,87,1,0.85,0.311111,1,2,8.555556,1,0.6667,0
4,0,10,1,7,2,41,0,0.981366,0.466667,2,3,7.2,1,0.6,1
3,0,3,0,3,2,30,0,0.980769,0.666667,0,0,9,1,0.3333,0
5,0,59,1,16,0.764706,389,1,0.693878,0.20915,1,1,20.166667,3,0.9444,0
2,0,24,0,7,0.6875,78,1,0.2,0.407407,0,0,7.444444,1,0.8889,0
4,0,8,0,9,0.5,91,1,0.902439,0.44,2,5,17,1,0.8,0
1,0,4,1,5,0.333333,23,0,0,0.5,0,0,4.5,1,0.75,0
1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
2,0,21,3,11,0.8625,180,1,0.590909,0.2,1,1,14.636364,3,1.0909,0
1,0,0,134,1,2,1,0,0,1,0,0,0,1,1,0
1,0,76,3,3,0.916667,180,0,0,0.1,0,0,12.769231,1,0.8462,1
1,0,459,11,23,0.9,165,3,0,0.148387,0,0,4.225806,1,0.9677,0
1,0,30,1,2,0.375,79,0,0,0.355556,0,0,7.666667,1,0.7778,0
1,0,1,3,29,0.666667,190,2,0,0.416667,0,0,25.428571,1,0.7143,0
2,0,0,1,11,0.464286,304,2,0.684211,0.371429,1,1,36.5,2,0.875,0
1,0,3,0,5,2,19,0,0,0.533333,0,0,5.333333,1,0.6667,0
1,0,43,4,4,1.014286,163,0,0,0.4,0,0,13.181818,4,1.2727,1
4,0,1,2,3,2,24,0,0.952381,0.666667,1,1,11,1,0.5,0
1,0,6,1,0,2,87,0,0,0.416667,0,0,20.75,2,1,0
1,0,3,0,6,2,41,0,0,0.833333,0,0,12.666667,2,1,1
2,0,0,3,1,0.611111,66,0,0.333333,0.392857,0,0,8,2,1,0
1,0,0,0,0,2,1,0,0,1,0,0,0,1,1,0
4,0,0,1,12,0.208333,300,1,0.766667,0.270833,1,1,32,1,0.7778,0
3,0,8,2,8,0.75,61,1,0.9375,0.45,1,1,11,3,0.8,1
3,0,28,3,4,0.555556,123,0,0.931677,0.292308,1,2,8.230769,1,0.8462,0
1,0,0,1,3,2,1,0,0,1,0,0,0,1,1,0
1,0,4,1,2,0.666667,17,1,0,0.5,0,0,3,1,0.5,0
1,2,6,2,4,2,96,0,0,0.45,0,0,23,3,1.5,0
1,0,37,1,10,0.980952,465,0,0,0.193333,0,0,29,3,1.1333,0
1,0,8,3,5,0.25,39,0,0,0.7,0,0,6.6,1,0.8,0
2,0,0,8,7,0.571429,69,1,0.65,0.3,1,1,7.375,2,1,0
2,0,125,3,13,0.870588,162,0,0.589744,0.179012,1,1,7.722222,3,1.0556,0
1,1,34,3,12,0.80303,217,1,0,0.261364,0,0,16.583333,4,1,0
2,0,0,0,1,2,6,0,1,1,0,0,3,0,0,0
1,3,1214,6,28,0.786096,737,2,0,0.106618,0,0,12.961538,7,1.0962,0
3,0,3,1,4,2,17,0,0.971429,0.5,1,1,4.666667,1,0.3333,0
3,0,6,0,3,0.4375,82,2,0.647059,0.416667,1,2,7.888889,3,0.8889,0
1,0,0,1,3,0,70,1,0,0.326923,0,0,4.307692,1,0.9231,0
3,0,93,1,14,0.821429,217,0,0.73913,0.261905,2,3,13.2,2,0.8667,0
3,0,1,1,4,2,47,0,0.954545,0.75,0,0,22.5,1,0.5,1
0,0,3,1,0,2,106,0,0,0.777778,0,0,34.333333,9,3.6667,0
4,0,3,3,3,2,12,0,0.987097,0.666667,1,2,3,1,0.6667,1
1,7,24,7,4,0.375,125,2,0,0.444444,0,0,12.666667,2,1,0
1,0,1,4,2,2,7,0,0,0.75,0,0,2.5,1,0.5,1
3,0,1,0,4,2,9,0,0.916667,0.75,1,1,3.5,1,0.5,0
1,0,3,1,1,2,63,0,0,0.5,0,0,20,1,0.6667,0
3,1,0,4,5,0.166667,41,1,0.807692,0.47619,1,1,4.714286,1,0.7143,0
3,0,16,1,5,0.809524,66,1,0.955414,0.34375,1,2,6.875,4,1.25,0
2,27,0,27,5,0.285714,47,1,0.65,0.34375,1,1,4.75,1,0.875,0
1,0,78,2,14,2,80,0,0,0.326923,0,0,5.153846,1,0.9231,1
1,1,112,2,5,0.8,151,2,0,0.266667,0,0,8.1875,4,1.3125,0
2,0,834,4,8,0.5,345,0,0.338462,0.261364,1,2,6.795455,1,0.9773,1
1,1,0,1,0,0,27,0,0,1,0,0,5.5,1,0.75,0
3,1,8,5,8,0.458333,127,1,0.928571,0.375,0,0,12.777778,2,0.6667,0
1,0,0,5,0,2,1,0,0,1,0,0,0,1,1,0
0,0,7,2,18,0.6,323,0,0,0.457143,0,0,52.5,4,1.6667,0
1,0,270,2,23,0.927536,127,3,0,0.180556,0,0,4.166667,1,0.9583,0
1,1,45,4,10,0.714286,169,5,0,0.35,0,0,9.8,3,1.2,0
2,0,4,12,1,0.952381,89,7,0.857143,0.444444,1,1,19.5,1,0.5,1
1,0,7,1,3,0.583333,48,2,0,0.392857,0,0,5.571429,3,1,0
3,0,3,0,7,2,45,0,0.944444,0.555556,1,3,14,1,0.6667,0
4,0,73,1,9,0.634615,236,1,0.921687,0.257143,1,15,15.571429,6,1.5,1
2,2,15,2,5,0.333333,44,0,0.814815,0.285714,0,0,5.142857,3,1,0
3,0,0,0,1,0,21,0,0.921053,0.625,2,2,4,1,0.75,0
1,0,0,10,2,2,1,0,0,1,0,0,0,1,1,0
4,0,15,1,5,1,43,0,0.949153,0.444444,0,0,6,1,0.5,0
1,0,0,3,2,2,1,0,0,1,0,0,0,1,1,0
1,0,1,2,4,2,21,0,0,0.5,0,0,9.5,1,0.5,0
1,0,0,30,0,2,1,0,0,1,0,0,0,1,1,0
1,0,6,5,2,1.333333,5,0,0,0.5625,0,0,0,1,1,0
5,1,1,2,8,2,26,0,0.971429,0.666667,1,1,12,1,0.5,0
3,0,1,0,7,2,19,0,0.971429,0.666667,1,1,8.5,1,0.5,0
1,0,0,2,1,0,17,1,0,0.666667,0,0,4.333333,1,0.6667,0
2,0,217,4,18,0.636364,247,3,0.511111,0.241546,1,2,9.608696,2,1,0
1,0,1,1,9,0.5,141,1,0,0.666667,0,0,45.333333,6,2,1
1,0,112,5,4,0.6,273,0,0,0.4875,0,0,15.9375,1,0.875,1
5,0,0,1,1,1,21,0,0.944444,0.75,0,0,8.5,1,0.5,0
2,1,0,1,6,0.25,66,1,0.65,0.388889,1,1,6.222222,1,0.7778,1
3,0,10,1,4,1,35,0,0.945455,0.44,0,0,5.8,1,0.6,0
2,13,9792,59,69,0.895238,1747,3,0.073333,0.057143,0,0,11.326241,6,1.156,1
4,0,4,1,7,0.5,63,1,0.918919,0.4,2,4,11.4,1,0.6,0
1,0,1,1,1,2,121,0,0,0.666667,0,0,59.5,13,6.5,0
