@relation 'log4j-1.1_deleteColumns-weka.filters.unsupervised.attribute.Remove-R1-2,4-9,11,14,19-20'

@attribute noc numeric
@attribute lcom3 numeric
@attribute dam numeric
@attribute moa numeric
@attribute cam numeric
@attribute ic numeric
@attribute cbm numeric
@attribute amc numeric
@attribute bug {1,0}

@data
0,0.666667,1,1,0.666667,0,0,9,1
0,2,0,0,0.833333,1,5,7.333333,0
0,0.666667,0,1,0.333333,0,0,23.166667,0
1,0.666667,0.6,0,0.322917,1,13,17.8125,1
1,0.703704,0.666667,1,0.190789,1,3,13.842105,1
0,0.5,0,0,0.5,2,2,8.75,0
0,0.916667,0.375,0,0.244444,1,1,51.8125,1
0,0.25,0,0,0.25,0,0,14.8,0
0,2,0,0,0.75,0,0,63,0
0,0.75,0.5,0,0.45,1,2,15.8,0
2,0.814869,0.5,5,0.149137,0,0,14.28,1
0,2,0,0,0.46875,1,2,1.625,0
0,2,0,0,0.236111,0,0,0,0
0,0.666667,0,1,0.375,0,0,13.857143,0
0,0.866667,0,0,0.458333,0,0,5.833333,0
0,0.888889,0.133333,1,0.198864,2,3,17.136364,1
0,0.833333,0,1,0.333333,0,0,8,0
0,2,0,0,0.666667,0,0,0,1
1,1.057692,0,0,0.138462,0,0,10.214286,1
0,0.333333,1,0,0.4,2,2,8.25,0
0,0.7,0,0,0.277778,0,0,32.333333,0
0,0.845238,0,0,0.365385,2,3,20.307692,1
0,2,0,0,1,0,0,0,0
0,0.5,1,0,0.555556,1,1,8,0
0,0.75,1,1,0.75,0,0,3.2,0
0,0.767857,0.5,0,0.241667,1,10,21,1
8,0.904762,0.875,5,0.201299,0,0,7.409091,1
