@relation ivy-1.4_deleteColumns-weka.filters.unsupervised.attribute.Remove-R5-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.Remove-R8-weka.filters.unsupervised.attribute.Remove-R6-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R6-weka.filters.unsupervised.attribute.Remove-R9

@attribute noc numeric
@attribute lcom numeric
@attribute ca numeric
@attribute ce numeric
@attribute lcom3 numeric
@attribute moa numeric
@attribute mfa numeric
@attribute cam numeric
@attribute cbm numeric
@attribute amc numeric
@attribute max_cc numeric
@attribute avg_cc numeric
@attribute bug {1,0}

@data
2,3,2,11,2,0,0.977011,1,0,49.666667,1,0.6667,0
0,0,22,0,2,0,0,1,0,0,1,1,0
0,0,1,7,0.833333,2,0.875,0.444444,0,24,1,0.6667,0
0,0,4,0,0.5,0,0,0.666667,0,5,1,0.6667,0
6,28,6,0,0.75,1,0,0.333333,0,3.777778,1,0.7778,0
2,21,2,0,2,0,0,0.761905,0,5.142857,1,0.8571,0
0,28,5,0,2,0,0,0.71875,0,23.75,2,1,0
0,1,10,1,2,0,0,0.75,0,0,1,1,0
0,0,4,0,0.333333,1,0,0.5,0,7,1,0.75,0
0,6,4,2,2,0,0,0.333333,0,14.75,2,1.25,0
0,55,11,2,1,1,0,0.52,0,0.727273,1,0.9091,0
0,4,1,5,0.666667,1,0.5,0.5,0,5.5,1,0.5,0
0,4,2,7,0.666667,2,0.826087,0.6,1,44,1,0.8,0
0,1,2,2,0.45,1,0,0.318182,0,4.909091,1,0.9091,0
5,7,5,3,0.7,1,0,0.444444,0,3.333333,1,0.8333,0
1,1,3,3,2,0,0,0.625,0,3,1,0.5,0
0,70,2,9,0.5,0,0,0.28125,0,11.6875,5,1.4375,0
0,6,11,3,2,0,0,0.5,0,0,1,1,1
0,161,0,7,0.895238,0,0.743902,0.363636,2,9.590909,1,0.9545,0
0,0,7,3,0.5,1,0,0.428571,0,4.428571,1,0.8571,0
0,0,4,0,0.666667,1,0,0.833333,0,13,2,0.75,0
0,1,1,3,2,0,0,0.5,1,20.5,7,3.5,0
0,34,4,5,0.772727,2,0.473684,0.316667,8,10.833333,2,0.9167,0
0,4,1,4,0.666667,1,0.5,0.5,0,4,1,0.5,0
0,31,14,4,0.8,3,0,0.26,0,5.454545,1,0.8182,0
0,1,15,0,2,0,0,1,0,0,1,1,0
0,4,0,8,0.5,0,0.956044,0.466667,1,20.4,2,1,0
0,506,0,17,0.905556,0,0.628866,0.412162,2,15.351351,1,0.973,0
0,72,1,0,0.666667,0,0.92029,0.207692,6,28.153846,5,1.3846,0
0,1,1,2,2,0,0.833333,0.666667,0,4,1,0.5,0
0,52,6,4,0.333333,2,0.45,0.282051,1,14.692308,5,1.1538,0
0,0,4,2,2,0,0,1,0,0,1,1,0
0,49,12,4,0.765306,2,0,0.26,0,7,1,0.7333,0
0,10,1,9,2,0,0,0.314286,0,96.8,13,3.4,0
0,190,32,6,2,0,0,0.3625,0,0,1,1,0
0,13,2,4,0.2,0,0,0.666667,0,28.833333,1,0.6667,0
0,0,0,6,0.619048,0,0.923913,0.458333,2,12.375,1,0.875,0
1,0,9,0,0.375,1,0,0.466667,0,6.8,1,0.8,0
0,0,4,2,2,0,0,1,0,0,1,1,0
0,8,1,4,0.75,1,0,0.5,0,4.6,2,0.8,0
0,66,12,0,1.090909,0,0,0.183333,0,27.833333,4,1.5833,0
0,0,1,3,0.333333,2,0,0.4375,0,6.25,2,1,0
0,21,2,0,2,0,0,0.285714,0,132.714286,11,5.1429,1
3,0,4,0,0,1,0.968254,0.5,0,7.2,1,0.2,0
3,0,3,2,0.2,0,0.6,0.458333,1,11.5,7,1.6667,0
1,10,3,1,2,0,0.75,0.5,2,5.2,1,0.6,0
2,234,2,10,0.875,1,0.717647,0.35,1,16.6,12,1.48,1
0,6,2,0,1.333333,0,1,0.666667,0,4,0,0,0
0,348,0,15,0.888337,0,0.663043,0.35,3,19.21875,1,0.9688,0
0,8,1,0,0.5,0,0.97619,0.625,2,14.2,3,1,0
5,44,17,5,0.555556,1,0,0.188034,1,11.230769,5,1.2308,0
0,22,4,8,0.5,1,0.125,0.25,1,12.888889,2,1,0
0,20326,84,98,0.969309,7,0,0.068627,0,38.263415,20,2.122,1
0,0,1,1,0,0,0.983871,0.666667,1,49,3,1.5,0
3,1,3,5,2,0,0,0.625,0,6.5,1,0.5,1
0,3,0,0,2,0,0,0.416667,0,32.666667,2,1.3333,0
0,0,11,3,0,0,0,0.4,0,13.8,2,1,0
0,1,2,0,0,0,0,0.444444,0,50,4,2,0
0,17,7,4,0.54,0,0,0.393939,0,8.272727,2,1.1818,0
0,1,1,8,2,0,0,0.5,0,28.5,1,0.5,0
0,16,1,0,0.666667,1,0.730769,0.46875,2,40.5,2,1,0
0,28,3,1,0.875,2,0,0.481481,0,5.222222,2,1.1111,0
0,3,1,0,2,0,0,0.555556,0,73.333333,8,5.3333,0
0,0,4,11,1,3,0,0.583333,0,64,6,3.3333,0
0,0,6,0,2,0,0,1,0,0,1,1,0
2,49,2,0,0.8,0,0.924812,0.431818,2,7.545455,2,1.0909,0
0,0,0,7,0.611111,0,0.910448,0.357143,0,19.285714,1,0.8571,0
0,28,4,5,2,0,0,0.3125,0,16.625,6,2.75,0
0,149,0,9,0.85119,0,0.743902,0.530303,0,24,13,2.0455,0
0,1,23,1,2,0,0,0.75,0,0,1,1,0
0,0,0,9,0,0,0.953125,0.625,5,46.25,1,0.75,0
2,0,2,5,0.5,2,0.857143,0.466667,0,11,1,0.6667,0
0,0,2,0,0.5,2,0,0.407407,0,6,1,0.8889,0
0,3,0,0,2,0,0.985185,1,1,4.666667,1,0.6667,0
0,30,3,10,0.90625,3,0.125,0.21875,1,25.444444,4,1.1111,1
2,129,3,4,0.81746,0,0.513514,0.315789,0,15,8,1.4211,0
0,0,1,1,0,1,0,0.555556,0,6,2,1,0
0,0,1,3,0.5,4,0,0.666667,0,17.666667,3,1.3333,0
3,726,4,0,0.82906,3,0,0.107813,0,11.475,6,1.5,0
0,28,49,3,2,0,0,1,0,0,1,1,0
0,13,2,4,0.8,1,0,0.6,0,5.833333,3,1.1667,0
0,174,99,4,0.729323,1,0.36,0.283333,1,26.05,10,2,0
0,58,3,0,0.7,0,0,0.292857,0,43.952381,18,2.619,1
0,48,10,3,0.633333,1,0.545455,0.222222,1,17.230769,6,1.5385,0
0,68,0,7,0.847619,0,0.802632,0.71875,0,9.3125,1,0.9375,0
0,0,1,0,0.547619,2,0.735849,0.222222,2,13.266667,3,1.2,0
0,168,70,0,0.95,0,0,0.1375,0,16.714286,8,1.8571,0
0,44,4,4,0.833333,3,0,0.236111,1,5.583333,2,1,0
0,253,55,11,1.045455,0,0,0.168478,0,0,1,1,0
0,84,0,15,0.851563,0,0.792208,0.254902,1,22.823529,6,1.2353,0
1,210,1,0,0.75,0,0.783019,0.192308,5,20.52,6,1.6,0
0,37,4,8,0.566667,1,0,0.383333,0,30.454545,8,1.8182,0
0,25,1,1,0.805556,0,0,0.7,0,3.9,1,0.9,0
0,0,1,1,0.333333,2,0,0.5,0,7.25,3,1.25,0
0,15,0,10,0.694444,0,0.5,0.4,0,20,7,1.6,0
0,0,1,7,1,1,0.933333,0.6,0,16.5,1,0.5,0
0,65,1,0,0.355769,0,0,0.404762,0,13.214286,3,1.1429,0
0,17,2,0,0.666667,0,0,0.375,0,37.857143,4,1.2857,0
0,81,14,3,0.836735,2,0,0.193878,0,8.466667,2,1.2,0
0,15,0,0,2,0,0.963768,0.833333,1,9.166667,3,1.1667,0
0,86,0,8,0.857143,0,0.802632,0.359375,4,15.125,1,0.9375,0
0,46,0,10,0.783333,0,0.428571,0.323077,0,19.153846,8,1.5385,0
0,6,2,0,2,0,1,0.666667,0,4,0,0,0
0,15,4,0,2,0,0,0.75,0,0,1,1,0
0,35,2,6,0.666667,3,0,0.25,1,12.866667,3,1.0667,0
0,0,7,1,2,0,0,1,0,0,1,1,0
0,26,2,1,0.85,0,0,0.361111,0,5.111111,1,0.8889,0
0,6,41,0,0.59375,0,0,0.407407,1,15,4,1.3333,0
0,14,1,10,0.5625,1,0.454545,0.377778,0,17.222222,4,1.4444,0
0,1146,12,23,0.853535,5,0,0.079545,0,18.071429,6,1.4107,0
0,0,1,0,0.333333,1,0.8125,0.583333,2,9,1,0.75,0
0,6,9,0,2,0,0,0.75,0,0,1,1,0
0,28,0,29,2,0,0,0.285714,0,145,3,1.25,0
3,25,3,1,0.722222,0,0,0.45,0,11.4,2,1,0
0,28,8,3,2,0,0,1,0,0,1,1,0
0,0,0,7,0.4,0,0.924242,0.666667,1,22.166667,1,0.8333,0
0,1,22,0,2,0,0,0.75,0,0,1,1,0
0,0,1,2,0,0,0,0.666667,0,11.5,2,1,0
0,3,1,0,0.6,0,0,0.555556,0,4.333333,1,0.6667,0
0,20,11,1,0.5,1,0,0.34375,1,13.625,6,1.5,0
0,21,38,0,2,0,0,0.571429,0,0,1,1,0
0,7,1,9,0.466667,0,0,0.416667,0,41.5,5,2.1667,0
0,144,2,11,0.885965,0,0.660714,0.227778,3,37.95,3,1.1,0
0,1241,7,0,0.877358,1,0.267606,0.205451,1,27.796296,5,1.2037,0
0,20,0,5,0.5,0,0.416667,0.4,0,26.5,5,2,0
0,29,12,3,0.825,3,0,0.272727,0,3.818182,1,0.9091,0
0,0,0,2,0.583333,0,0,0.466667,0,19,5,1.6,0
0,6,2,1,2,0,0,0.4,0,23.25,3,2,0
0,0,1,3,0,0,0.714286,0.5,0,17.666667,2,1,0
0,118,2,6,0.666667,0,0,0.320313,0,67.8125,1,0.9375,0
0,138,0,15,0.85625,0,0.753086,0.17619,3,25.761905,4,1.1905,0
0,8,1,0,0.5,0,0,0.4,0,18.2,1,0.6,0
0,8,1,1,0.75,1,0,0.5,0,2.8,1,0.6,0
0,0,1,5,0.833333,2,0.875,0.466667,0,11.666667,1,0.6667,0
0,1,0,9,2,0,0.961538,0.666667,1,12.5,1,0.5,0
0,3,2,0,2,0,0,0.666667,0,0,1,1,0
0,78,24,9,2,0,0,0.185897,0,0,1,1,0
0,273,2,13,0.909091,0,0.701149,0.296296,2,14.740741,1,0.963,0
1,10,1,0,2,0,0.968504,0.6,1,4.6,1,0.8,0
0,0,8,2,0.5,1,0,0.466667,0,4.6,1,0.8,0
2,1,2,0,2,0,0.991935,1,1,5,1,0.5,0
1,957,4,0,0.935556,1,0.46988,0.119298,4,58.652174,10,1.6739,0
0,10,12,2,2,0,0,0.666667,0,0,1,1,0
1,13,1,4,0.75,1,0,0.314286,0,6.714286,3,1.1429,0
0,8,4,1,0.75,1,0,0.5,0,2.8,1,0.6,0
19,303,19,15,0.933333,0,0.606557,0.285,2,25.461538,7,2.1923,1
0,1,8,1,2,0,0,0.75,0,0,1,1,0
2,0,2,3,0.5,1,0.923077,0.6,0,10,1,0.5,0
0,4,6,3,0.666667,1,0,0.333333,0,18,4,1.75,0
0,3,14,1,2,0,0,1,0,0,1,1,0
0,5,2,3,0.65,0,0.714286,0.466667,0,14.666667,3,1,0
0,0,5,0,0,1,0.8,0.625,0,5.5,1,0.5,0
0,4,0,0,0.666667,1,0,0.5,0,4.75,1,0.75,0
0,4,8,0,0.5,1,0,0.25,0,5.8,1,0.6,0
0,0,11,0,0.5,0,0,0.555556,0,5,1,0.6667,0
0,1,1,4,2,0,0.833333,0.666667,0,29,4,2,0
0,2,3,6,0.625,1,0,0.533333,0,16.4,2,1.2,0
0,17,2,0,0.725,0,0,0.727273,0,7.272727,2,0.9091,0
0,125,3,12,0.833333,0,0.772152,0.342105,1,15.842105,3,1.0526,0
0,0,1,0,0.729167,2,0.73913,0.357143,2,169.714286,1,0.8571,1
0,0,1,1,0.333333,2,0,0.5,0,7.25,3,1.25,0
0,3,1,0,2,0,0.777778,0.833333,2,4,1,0.6667,0
0,0,3,3,0.4,1,0,0.458333,0,7.833333,2,1,0
0,0,1,3,1,1,0.923077,0.666667,0,5.5,1,0.5,0
0,3,10,1,2,0,0,0.666667,0,0,1,1,0
0,634,9,11,0.844156,5,0,0.141608,0,21.044444,9,1.5778,0
0,0,1,4,1,1,0.928571,0.6,0,6.5,1,0.5,0
0,15,3,0,0.5,0,0,0.535714,0,5.857143,1,0.5714,0
0,31,6,0,0.611111,0,0,0.4,1,9.3,3,1.3,0
0,28,24,3,2,0,0,1,0,0,1,1,0
0,1,10,1,2,0,0,0.666667,0,0,1,1,0
0,3,5,0,2,0,0,0.416667,0,291.333333,4,1.6667,1
2,45,2,3,2,0,0,0.466667,1,16.3,9,1.8,0
0,86,12,4,0.511111,1,0.409091,0.294643,8,10.5,1,0.8125,0
0,1,4,0,2,0,0,0.666667,0,0,1,1,0
0,2,0,8,0.625,0,0.956044,0.7,1,18.8,1,0.8,0
0,3,2,1,1,1,0,0.75,0,3.333333,1,0.3333,0
0,739,1,14,0.940476,0,0.592233,0.372093,5,13.465116,1,0.9767,0
0,10,2,0,2,0,0.6,0.48,3,66.6,14,3.4,0
0,89,2,0,0.107143,1,0,0.333333,0,7.733333,2,1,0
0,160,0,12,0.85,0,0.753086,0.178571,6,36,7,1.5238,0
1,79,1,1,0.807692,0,0,0.285714,0,5.5,2,1,0
0,3,1,0,1,1,0.933333,1,1,16.333333,2,0.6667,0
0,15,5,0,0.888889,0,0,0.4,0,19.285714,1,0.7143,0
0,10,3,0,1.010101,1,0.5,0.393939,1,22,6,1.6667,0
0,0,1,2,0,0,1,1,0,6,0,0,0
0,54,1,0,0.840909,0,0,0.5,0,12.75,3,1.4167,0
0,45,11,3,2,0,0,0.366667,0,0,1,1,0
0,222,0,0,0.695652,0,0.843537,0.139881,10,13.333333,8,1.8333,0
0,4,0,8,0.666667,0,0.755102,0.192308,2,9.076923,1,0.9231,0
0,4423,21,33,0.903313,6,0,0.098039,1,33.271845,26,2.5631,0
