@relation camel-1.6_deleteColumns-weka.filters.unsupervised.attribute.Remove-R4-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.Remove-R9-weka.filters.unsupervised.attribute.Remove-R6-weka.filters.unsupervised.attribute.Remove-R9-weka.filters.unsupervised.attribute.Remove-R7

@attribute dit numeric
@attribute noc numeric
@attribute lcom numeric
@attribute ca numeric
@attribute ce numeric
@attribute lcom3 numeric
@attribute moa numeric
@attribute cam numeric
@attribute ic numeric
@attribute cbm numeric
@attribute amc numeric
@attribute max_cc numeric
@attribute avg_cc numeric
@attribute bug {1,0}

@data
3,0,0,3,5,0.166667,1,0.47619,1,1,4.714286,1,0.7143,1
1,0,0,5,2,2,0,1,0,0,0,1,1,0
1,0,190,3,14,2,0,0.225,0,0,0,1,1,0
1,0,0,1,1,2,0,1,0,0,6,0,0,0
1,0,11,4,7,0.444444,2,0.4,0,0,8,1,0.5714,0
2,27,0,27,5,0.285714,1,0.34375,1,1,4.75,1,0.875,0
1,0,66,7,13,2,0,0.333333,0,0,5.166667,1,0.9167,1
1,0,6,5,3,2,0,0.75,0,0,0,1,1,0
1,1,112,2,6,0.8,2,0.266667,0,0,8.125,3,1.25,1
1,0,2,1,6,0.625,1,0.4375,0,0,12.2,5,1.4,0
3,0,245,19,16,0.835165,1,0.169231,1,6,11.518519,3,1.0741,0
1,0,21,0,11,0.555556,4,0.211111,0,0,8.3,1,0.9,0
2,0,641,4,24,0.904135,1,0.155263,1,1,10.25641,2,0.9744,0
0,2,21,2,9,1.166667,0,0.6,0,0,22.142857,5,2.4286,0
1,1,81,7,8,0.388889,2,0.315789,0,0,23.789474,8,2.1053,1
2,0,102,4,13,0.966667,1,0.195313,0,0,7.375,1,0.9375,0
2,0,1,2,1,2,0,1,0,0,13.5,1,0.5,0
2,0,4,4,1,0.888889,3,0.444444,1,1,9.5,1,0.5,0
1,0,0,0,0,2,0,0,0,0,0,0,0,0
0,2,6,2,8,1.333333,0,0.5,0,0,20,5,2,0
3,0,0,1,15,0.642857,1,0.357143,1,1,15.375,2,0.875,0
3,0,111,0,4,0.813725,0,0.311111,1,2,9.777778,5,1.2778,0
1,0,0,0,0,2,0,0,0,0,0,0,0,0
2,0,198,8,7,0.8,1,0.217687,1,3,4.619048,1,0.8571,0
1,0,6,0,0,2,0,0.375,0,0,18.75,5,2,0
3,0,1,0,4,2,0,0.666667,1,1,4.5,1,0.5,0
3,0,37,3,14,0.589286,4,0.314286,1,1,13.2,5,1.4,1
3,0,3,1,3,2,0,0.777778,1,2,7.333333,1,0.6667,0
1,1,0,4,5,0.08,1,0.258242,0,0,8.038462,2,1,1
1,0,0,1,4,0,1,0.666667,0,0,18,1,0.5,1
1,0,0,0,0,2,0,0,0,0,0,0,0,0
1,0,1,1,2,0.5,0,0.5,0,0,28,5,1.6667,1
2,4,34,6,9,0.625,1,0.230769,0,0,13.230769,3,1.1538,1
1,0,1,40,0,2,0,1,0,0,0,1,1,1
3,0,3,1,6,0,1,0.375,1,1,6.5,1,0.8333,0
2,0,9,3,6,0.666667,3,0.444444,1,20,4.5,1,0.8333,0
2,0,104,8,17,0.866071,1,0.18125,1,1,16.529412,2,0.7647,1
3,0,0,1,5,0,0,0.533333,0,0,8.333333,1,0.6667,1
1,0,231,182,1,2,0,0.25974,0,0,0,1,1,1
2,0,15,0,9,2,0,0.25,1,2,14,2,1,0
1,0,0,1,2,0,1,0.75,0,0,4.5,1,0.5,0
2,0,0,1,1,2,0,1,0,0,13,0,0,0
3,0,57,4,11,0.8,3,0.241071,0,0,11.666667,6,1.0667,0
5,0,24,1,13,0.785714,1,0.222222,1,1,4.875,1,0.875,0
3,0,22,1,25,0.727273,1,0.272727,2,3,31.166667,2,0.9167,0
1,0,0,1,5,0.222222,1,0.458333,0,0,20.75,3,1.25,0
4,0,72,7,14,0.813333,0,0.21875,1,1,8.0625,1,0.8125,0
1,1,3,3,0,0.2,0,0.666667,0,0,8,1,0.8333,1
1,0,24,1,15,0.375,0,0.416667,1,4,25.444444,10,2.1111,0
4,1,0,2,4,2,1,1,0,0,8,0,0,0
3,0,4,2,24,0.904762,2,0.583333,0,0,36.25,3,1,0
3,1,55,3,18,0.788462,3,0.205357,1,2,12.142857,5,1.2143,0
2,0,17,6,5,0.666667,0,0.375,0,0,11.571429,2,1,0
1,0,0,2,10,0,3,0.571429,0,0,32.5,1,0.5,1
1,0,39,0,4,0.692308,0,0.261538,0,0,15.142857,1,0.8571,0
6,0,10,1,14,2,0,0.366667,0,0,14.4,1,0.6,0
1,0,3,1,4,2,0,0.666667,0,0,18.333333,3,1.3333,0
3,0,1,1,3,2,0,0.666667,1,2,7.5,1,0.5,0
1,0,1,0,2,2,0,0.75,0,0,2.5,1,0.5,0
4,0,0,1,11,0.708333,1,0.291667,2,4,43.555556,1,0.7778,0
4,1,1,5,4,2,0,0.75,0,0,1.5,1,0.5,0
1,0,0,5,5,0.518519,1,0.257143,0,0,12.3,2,0.9,0
2,0,3,3,4,2,0,0.5,1,1,19,3,1.3333,0
3,0,1,0,6,2,0,0.666667,1,2,18.5,1,0.5,0
2,2,5,5,9,0.4,1,0.366667,0,0,14.666667,2,1.1667,1
2,0,178,4,8,0.789474,1,0.221429,1,3,4.65,1,0.85,0
2,0,1,2,1,2,0,1,0,0,19,1,0.5,0
1,0,29,2,5,0.911111,1,0.444444,0,0,9.5,4,1.6,1
3,0,61,1,5,0.595238,0,0.366667,1,3,10,2,0.9333,0
1,0,45,8,4,2,0,0.255556,0,0,0,1,1,0
4,0,15,0,6,2,0,0.3,0,0,6.5,1,0.3333,0
1,0,6,4,2,2,0,0.55,0,0,0,1,1,0
3,0,0,1,8,0.555556,0,0.5,0,0,48.5,1,0.5,0
3,0,3,0,8,2,0,0.666667,1,1,12,1,0.6667,0
3,0,10,1,4,2,0,0.466667,1,1,5.2,1,0.8,0
1,0,0,1,0,0.333333,0,0.625,0,0,11.5,1,0.75,0
1,0,6,1,3,2,0,1,0,0,3.75,1,0.75,0
1,0,17,2,27,2,0,0.285714,1,4,24.714286,1,0.5714,0
3,3,37,3,6,0.666667,0,0.3,1,1,10.272727,1,0.8182,1
1,0,300,3,7,0.910494,0,0.136364,0,0,7.428571,4,1.1429,0
2,2,93,7,16,0.745098,1,0.2,1,1,19.611111,3,0.9444,1
2,0,7,0,2,0.583333,1,0.314286,1,1,4.285714,1,0.7143,0
2,1,2573,15,44,0.93067,8,0.069257,1,1,18.826667,7,1.36,1
2,0,10,3,6,2,0,0.36,1,1,5,1,0.6,0
2,1,992,2,43,0.929078,4,0.093617,0,0,15.729167,6,1.2292,0
1,0,16,0,8,0.571429,0,0.267857,0,0,18.625,2,1,0
3,0,15,3,10,0.944444,1,0.328571,1,2,20.857143,3,1.2857,1
3,0,8,3,16,0.75,0,0.314286,1,1,57.8,18,5,0
5,0,3,2,1,1.5,0,0.777778,0,0,4.333333,0,0,0
4,0,0,1,1,0.5,1,0.5,0,0,9.666667,1,0.6667,0
3,0,8,0,9,0.5,0,0.4,1,2,15.4,2,1.2,0
0,0,0,1,4,0,0,0.37037,0,0,22.555556,1,0.8889,0
2,0,11,3,12,0.666667,4,0.355556,1,1,16.6,3,1.1,1
0,0,102,4,14,0.858333,3,0.222222,0,0,10.3125,3,1.125,0
1,0,15,3,0,2,0,0.555556,0,0,0,1,1,0
4,0,1,2,1,2,0,0.833333,0,0,4.5,0,0,0
3,0,26,1,8,0.555556,2,0.307692,1,1,16.153846,8,1.3846,1
2,0,627,3,19,0.824324,7,0.105263,0,0,7.368421,2,1.0263,1
3,0,71,4,9,0.230769,0,0.271429,2,7,11.142857,4,1.3571,0
2,0,54,1,12,0.708333,1,0.305556,1,1,15.769231,3,1.1538,1
3,0,0,1,3,0.333333,0,0.4375,2,3,20.25,3,1.25,0
0,0,2,1,9,0.666667,2,0.833333,0,0,16,1,0.5,0
1,4,9,5,0,0.6,0,0.5,0,0,2.666667,1,0.6667,0
2,0,22,3,11,0.285714,0,0.303571,0,0,6.375,1,0.625,0
0,2,28,2,14,2,0,0.375,0,0,25,2,1,0
1,0,0,5,6,0.25,1,0.44,0,0,21.2,3,1.2,0
1,0,6,0,9,2,0,0.25,0,0,12.5,1,0.75,0
2,1,8,3,2,0.75,0,0.583333,0,0,4.6,1,0.6,0
2,0,3,0,1,2,0,0.666667,1,2,3,1,0.3333,0
2,0,15,3,8,0.666667,3,0.357143,1,20,4.857143,1,0.8571,0
2,0,3,1,7,1,0,0.75,1,1,4.333333,1,0.3333,0
1,0,1,1,0,2,0,1,0,0,0,1,1,0
1,0,0,1,6,0.333333,0,0.416667,0,0,17.25,1,0.5,0
2,0,289,1,16,0.875,2,0.136364,0,0,9.423077,3,1.1154,0
0,0,4,1,9,0.666667,0,0.4375,0,0,19,6,2.25,0
2,0,30,3,10,0.708333,3,0.333333,1,21,5.111111,1,0.8889,0
1,0,3,1,3,2,0,0.666667,0,0,19,6,2.3333,0
4,3,0,4,0,2,0,1,0,0,5,0,0,0
3,0,6,4,4,2,0,0.5625,0,0,14.5,2,1,1
4,0,30,1,8,0.25,0,0.355556,2,3,7.222222,1,0.5556,0
3,0,11,3,8,0.8,0,0.4,1,1,6,1,0.6667,0
1,0,1,2,11,2,0,0.666667,1,1,36,1,0.5,0
1,0,0,1,0,2,0,1,0,0,0,1,1,0
2,0,3,0,1,2,0,0.666667,1,2,3,1,0.3333,0
1,0,3,1,4,2,0,0.833333,0,0,5.666667,1,0.6667,0
2,0,133,6,18,0.951872,0,0.130952,1,1,6.222222,1,0.9444,0
1,1,137,1,6,0.857143,1,0.157895,0,0,8.315789,2,1,1
4,0,6,1,3,0.5,1,0.34375,1,1,9.875,3,1.25,0
3,0,0,1,4,0,1,0.5,1,1,6.666667,1,0.6667,1
6,0,0,1,2,0.666667,1,0.4375,0,0,9.5,1,0.75,0
1,0,0,4,1,2,0,1,0,0,0,1,1,0
4,0,297,3,16,0.880637,1,0.166144,1,1,25,17,2.7333,1
1,0,0,6,0,2,0,1,0,0,0,1,1,0
1,0,7,2,12,0.666667,0,0.4,1,1,34,1,0.6667,0
1,0,0,1,0,2,0,0,0,0,0,0,0,0
2,0,18,1,5,0.935065,8,0.314286,1,1,18.375,1,0.75,0
5,0,0,24,1,0.5,0,0.5,0,0,11.5,2,1,1
2,1,220,8,20,0.90942,5,0.142292,1,1,17,5,1.5833,0
3,16,4,17,4,0.75,0,0.5,1,3,9.2,3,1.2,1
3,0,3,0,4,2,0,0.777778,1,1,10,1,0.6667,0
1,0,1,2,1,2,0,0.75,0,0,2,1,0.5,0
2,1,29,5,1,0.807692,0,0.535714,0,0,10.785714,5,1.2857,0
1,0,3,2,5,2,0,0.555556,0,0,5,1,0.6667,0
1,0,25,1,7,0.722222,0,0.311111,0,0,7.2,3,1,0
3,0,168,8,29,0.725,1,0.192857,2,3,11.47619,5,1.0952,0
1,0,6,4,3,0.625,1,0.466667,0,0,4.8,1,0.8,0
4,0,17,2,4,0.633333,1,0.327273,1,2,8.545455,3,1,1
1,0,3,5,3,2,0,0.583333,0,0,63.333333,10,5.6667,0
1,0,0,5,3,2,0,1,0,0,0,1,1,0
5,0,0,0,1,0.833333,0,0.5,0,0,10.25,2,0.75,0
1,0,325,446,4,1.04,0,0.157692,0,0,0,1,1,1
0,0,1,1,1,2,0,1,0,0,2.5,1,0.5,0
1,0,495,1,4,0.90303,2,0.134804,0,0,6.852941,11,1.2647,0
1,0,3,7,2,2,0,1,0,0,0,1,1,0
3,0,0,1,23,0.666667,2,0.4375,1,1,52.75,7,2.25,0
5,0,6,1,2,0.916667,0,0.36,0,0,11.8,2,1,1
1,0,3,1,5,2,0,0.416667,0,0,10,2,1,1
1,0,22,1,8,0.8125,2,0.265625,0,0,13.666667,3,1.2222,0
1,3,0,3,0,0.333333,0,0.625,0,0,6.5,1,0.75,0
2,0,9,8,6,0.733333,1,0.366667,0,0,6.5,1,0.6667,0
3,0,1527,7,21,0.944357,3,0.133621,1,2,9.084746,11,1.2034,1
1,0,0,1,5,0,0,0.625,0,0,14,1,0.5,1
4,0,15,0,3,2,0,0.444444,2,2,5.166667,1,0.5,0
4,0,27,3,8,0.611111,1,0.32,2,3,7.5,2,0.9,0
2,0,15,1,4,0.666667,0,0.433333,1,3,12.428571,2,1,0
1,0,53,2,12,0.794872,1,0.230769,0,0,13.785714,3,1.3571,1
1,0,25,1,0,0.725,0,0.409091,0,0,8.181818,3,1.2727,0
2,0,0,1,6,0.166667,1,0.357143,1,1,20.428571,4,1.2857,1
3,0,1,2,17,0.5,1,0.444444,1,1,25.666667,1,0.8333,0
1,0,0,1,6,0.5,0,0.6,0,0,22.333333,6,2,0
1,0,0,0,0,2,0,1,0,0,0,1,1,0
6,0,0,1,2,2,0,1,0,0,12,0,0,0
4,0,0,3,0,0.666667,0,0.45,0,0,7.75,2,0.75,0
2,0,79,3,9,0.892857,0,0.314286,0,0,7.2,4,1,0
1,0,1,2,0,2,0,1,0,0,0,1,1,1
1,0,1,6,0,2,0,1,0,0,0,1,1,0
4,2,54,12,11,0.545455,1,0.333333,0,0,5.833333,1,0.5,0
1,0,0,3,1,2,0,1,0,0,0,1,1,0
3,6,75,6,6,0.821429,0,0.205357,1,1,10.4,3,0.9333,1
2,0,15,3,7,0.666667,3,0.357143,1,20,5.857143,1,0.8571,0
3,0,157,4,15,0.944444,0,0.215278,1,1,4.526316,1,0.7895,0
1,0,1708,1,13,0.661111,0,0.122222,0,0,12.196721,6,1.2131,0
1,0,0,3,1,2,0,1,0,0,0,1,1,0
1,0,283,5,13,0.888889,3,0.157343,0,0,13.851852,7,1.5556,1
1,0,0,1,4,0,1,0.5,0,0,6.6,1,0.6,1
4,0,33,2,9,0.653846,0,0.3,1,1,10.642857,5,1.2857,0
0,0,2,1,9,0.666667,2,0.833333,0,0,16,1,0.5,0
1,0,0,0,0,2,0,1,0,0,0,1,1,0
1,0,60,0,8,0.727273,1,0.104167,0,0,4.25,1,0.9167,0
1,0,1,0,6,2,0,0.75,0,0,10.5,1,0.5,0
2,0,9,1,6,0.666667,3,0.444444,1,20,4.5,1,0.8333,0
3,0,24,1,7,0.40625,2,0.333333,0,0,13.111111,1,0.6667,0
3,0,1,1,3,2,0,0.666667,1,1,5,1,0.5,0
2,0,9,1,1,0.2,0,0.416667,0,0,6.333333,2,0.8333,0
2,14,3,22,4,0.111111,1,0.5,1,1,7,1,0.8,1
3,0,9,4,6,0.6,0,0.375,2,4,17.333333,4,1.3333,0
1,0,0,0,0,2,0,1,0,0,0,1,1,0
1,0,18,3,38,0.766667,3,0.333333,0,0,18.923077,1,0.8462,0
1,0,0,4,2,2,0,1,0,0,0,1,1,0
1,0,15,0,3,2,0,0.291667,0,0,6.5,1,0.8333,0
1,0,0,0,0,2,0,0,0,0,0,0,0,0
3,0,1,2,9,2,0,0.5,0,0,17,2,1,1
1,0,3,1,3,2,0,0.533333,0,0,15,1,0.6667,0
3,0,0,1,7,0.5,1,0.458333,1,1,9,1,0.8333,0
1,0,0,8,0,2,0,1,0,0,0,1,1,0
3,0,0,2,10,0.733333,3,0.3,1,1,10.857143,1,0.7143,0
2,0,4,2,1,0.944444,6,0.444444,1,1,17,1,0.5,0
1,0,30,1,7,0.71875,0,0.375,0,0,9.222222,1,0.6667,0
1,0,10,1,5,0.5,0,0.333333,0,0,19.222222,4,1.8889,0
1,0,181,3,21,0.871429,6,0.123377,0,0,12.272727,6,1.4091,1
1,0,3,0,4,2,0,0.833333,0,0,5,1,0.6667,0
4,0,3,3,8,0.333333,0,0.283333,2,3,9.6,4,0.9,0
1,0,4,5,2,0.25,0,0.7,0,0,4.8,1,0.8,0
1,0,10,0,4,2,0,0.36,0,0,4.6,1,0.8,0
2,0,56,2,5,0.75,0,0.260417,1,2,10.75,2,1.0833,0
4,0,24,4,3,0.625,1,0.444444,2,2,5.555556,1,0.4444,0
4,0,0,6,0,0,0,0.75,0,0,8.5,1,0.5,0
2,0,52,1,7,0.638889,2,0.321429,0,0,14.230769,1,0.5385,0
1,1,75,1,6,0.803571,1,0.27619,0,0,8,2,1,1
2,0,0,2,11,0.7,2,0.466667,1,2,23.666667,4,1.1667,1
1,0,24,3,3,0.714286,0,0.541667,0,0,7.25,2,1.25,0
1,0,12,3,9,0.65,4,0.275,0,0,23.333333,4,1.3333,0
2,0,0,2,0,2,0,1,0,0,3,0,0,0
2,0,0,7,6,0,1,0.5,0,0,7.75,1,0.5,0
3,0,3,1,6,2,0,0.666667,1,1,6.333333,1,0.3333,0
3,0,320,3,37,0.854839,1,0.175953,2,3,24.6875,7,1.7813,0
1,0,1,22,0,2,0,0.833333,0,0,0,1,1,1
4,0,21,2,8,2,0,0.392857,3,4,7.142857,2,0.7143,0
3,0,42,2,10,0.704545,2,0.233766,1,1,9,2,0.8333,1
1,0,6,20,3,2,0,0.4,0,0,0,1,1,1
1,0,39,5,12,0.8,4,0.272727,0,0,7.818182,1,0.9091,0
1,0,0,0,0,2,0,0,0,0,0,0,0,0
3,0,13,0,3,0.4,0,0.375,1,1,4.5,2,1,0
2,0,159,4,7,0.666667,1,0.233083,1,3,4.473684,1,0.8421,0
1,1,0,1,5,0,1,0.309524,0,0,5.333333,1,0.8333,1
1,0,0,0,0,2,0,1,0,0,0,1,1,0
1,17,279,39,10,0.776,3,0.205128,0,0,12.884615,6,1.3846,0
0,0,3,1,3,2,0,0.416667,0,0,20.666667,4,1.6667,0
1,0,1,60,0,2,0,0.833333,0,0,0,1,1,0
1,0,1,5,5,0,1,0.5,0,0,7.333333,1,0.3333,1
1,0,0,0,0,2,0,1,0,0,0,1,1,0
1,0,22,1,0,0.761905,0,0.458333,0,0,5.125,1,0.875,0
4,0,13,1,6,0.555556,1,0.375,1,1,7,2,0.8,0
2,0,0,1,6,0.5,1,0.4,0,0,18,2,1,1
2,0,123,1,10,0.686275,2,0.161111,0,0,6.722222,1,0.9444,0
1,1,437,1,15,0.855556,2,0.133995,0,0,7,2,1,1
3,0,0,1,40,0.458333,2,0.222222,1,1,54.777778,1,0.8889,0
2,0,124,4,7,0.75,1,0.235294,1,3,4.764706,1,0.8235,0
1,0,1,1,1,2,0,0.75,0,0,2.5,1,0.5,0
2,0,0,2,10,0.25,0,0.5,1,2,23.4,4,1.4,0
1,0,0,0,0,2,0,1,0,0,0,1,1,0
