@relation 'poi-3.0_deleteColumns-weka.filters.unsupervised.attribute.Remove-R1,4-5,7-9,11,14,18-20'

@attribute dit numeric
@attribute noc numeric
@attribute lcom numeric
@attribute lcom3 numeric
@attribute dam numeric
@attribute moa numeric
@attribute cam numeric
@attribute ic numeric
@attribute cbm numeric
@attribute bug {1,0}

@data
2,0,95,0.777778,0.833333,0,0.305263,1,4,1
2,0,0,0.830579,0.636364,5,0.217391,1,4,1
3,0,10,1.25,0,0,0.4,1,1,0
3,0,15,1.2,0,0,0.333333,1,1,0
1,0,0,0.583333,1,2,0.4,0,0,0
3,0,15,1.2,0,0,0.333333,0,0,0
1,0,0,2,0,0,1,0,0,0
5,2,0,2,0,0,1,0,0,0
2,0,28,1.142857,0,0,0.325,1,4,1
2,0,6,0.875,0.333333,0,0.355556,1,5,1
2,0,197,0.843537,0.857143,0,0.25,1,3,1
2,0,64,0.75,0.8,0,0.218487,1,4,1
3,0,3,0.722222,0.5,0,0.3,1,2,1
2,6,133,0.740741,0.888889,3,0.193548,1,2,1
1,0,6,2,0,0,0.4,0,0,1
1,0,0,2,0,0,0,0,0,0
2,0,22,0.642857,1,0,0.196429,0,0,1
1,0,36,2,0,0,0.314815,0,0,0
1,0,0,1.001035,0.043478,1,0.302326,0,0,1
2,0,99,0.815126,0.857143,1,0.259259,1,4,1
2,0,30,0.75,1,1,0.407407,1,1,0
1,0,6,2,0,0,0.25,0,0,0
1,0,45,2,0,0,0.4,0,0,0
1,0,9,0.966667,0.6,0,0.357143,0,0,0
3,0,1,2,0,0,0.625,0,0,0
2,0,36,1.125,0,0,0.259259,0,0,0
1,0,3,0.75,1,2,0.333333,0,0,1
2,0,106,0.753788,0.909091,7,0.155556,0,0,1
1,0,8,0.821429,0.083333,0,0.642857,0,0,1
2,0,6,0.916667,0.666667,2,0.55,1,1,1
2,0,43,0.9,0.333333,0,0.257576,1,4,1
2,0,92,0.92,0.4,2,0.190476,1,4,1
4,0,6,2,0,0,0.666667,0,0,0
1,0,9,0.25,1,0,0.454545,0,0,0
1,0,0,0,1,1,0.75,0,0,0
2,0,35,0.8,0.5,0,0.309091,1,4,1
1,0,1,2,0,0,0.5,0,0,0
2,0,36,1.125,0,0,0.259259,0,0,0
2,0,45,1.111111,0.333333,0,0.25,0,0,1
3,4,4,0.5,1,0,0.6,0,0,0
1,0,0,2,0,0,0,0,0,0
1,0,3,2,0,0,0.833333,0,0,1
2,0,73,0.788462,0.75,0,0.314286,1,4,1
2,0,119,0.809524,0.857143,0,0.254386,1,4,1
1,0,0,0,0,0,0.666667,0,0,0
1,1,2,1.272727,0.036364,0,0.5,0,0,0
2,0,394,0.883333,0.866667,5,0.218254,1,4,1
2,0,43,0.8,0.5,0,0.309091,1,4,1
2,0,35,0.8,0.5,0,0.309091,1,4,1
2,0,90,0.78125,0.833333,0,0.305882,1,4,1
2,1,25,0.6,1,0,0.227273,1,5,1
2,0,45,1.111111,0.333333,0,0.25,0,0,0
1,0,9,0.722222,1,0,0.166667,0,0,1
1,0,1,2,0,0,0.75,0,0,0
1,0,0,2,0,0,1,0,0,0
2,0,108,0.796875,0,1,0.243697,1,3,1
3,0,6,1.333333,0,0,0.5,1,3,1
1,4,6,2,0,0,0.666667,0,0,0
3,0,146,0.977891,0.238095,4,0.252874,1,4,1
1,0,0,2,0,0,1,0,0,0
2,0,36,1.125,0,0,0.311111,1,4,1
2,0,36,1.125,0,0,0.259259,0,0,0
1,0,9,0.25,1,0,0.522727,0,0,0
2,0,0,0.666667,0.5,0,0.269231,1,4,1
1,0,0,0,0,0,0.5,0,0,0
2,0,54,0.787879,0.666667,0,0.316667,1,4,1
1,19,85,1,0.25,0,0.1875,0,0,1
2,0,45,1.111111,0.333333,0,0.25,0,0,0
2,0,1374,0.957181,0.473684,0,0.162963,1,4,1
1,0,6,2,0,0,1,0,0,0
1,1,18,0.484848,1,0,0.366667,1,1,1
3,0,0,2,0,0,1,0,0,1
1,0,1,0.75,0,0,0.5,0,0,1
1,0,4,0.333333,0,0,0.416667,0,0,0
2,0,33,0.833333,0.5,0,0.266667,1,4,1
2,0,33,0.833333,0,0,0.266667,1,4,1
2,0,4,0.683333,0,0,0.338462,1,1,0
2,0,39,0.925926,0.333333,0,0.32,1,4,1
2,1,21,0.85,0.75,0,0.257576,1,2,1
2,0,43,0.833333,0.666667,0,0.333333,1,5,1
1,0,15,2,0,0,0.291667,0,0,0
2,0,91,0.848684,0.9375,9,0.216117,1,4,1
1,14,164,0.842105,1,0,0.2375,0,0,1
1,0,107,0.711538,0.833333,4,0.148148,0,0,1
2,0,57,0.928571,0.333333,0,0.306667,1,4,1
2,0,4,0.8,0.6,0,0.291667,1,2,0
5,0,1,2,0,0,0.875,0,0,0
1,0,0,2,0,0,1,0,0,0
2,0,74,0.7625,0.8,0,0.305882,1,4,1
2,1,20,0.821429,1,4,0.666667,1,1,1
1,0,1,0.794872,0,1,0.328571,0,0,1
2,1,0,0.357143,1,0,0.375,1,1,1
3,0,8,0.785714,0.5,0,0.325,1,4,1
2,0,474,0.936343,0.625,4,0.190972,1,4,1
2,0,234,0.747826,0.8,0,0.22619,1,4,1
1,0,107,0.382353,1,0,0.433333,0,0,0
2,0,0,0,1,0,0.32,1,2,0
2,0,79,0.857143,0.5,0,0.306667,1,4,1
2,0,0,0.703704,0.833333,4,0.254386,1,4,1
1,0,0,2,0,0,0,0,0,0
5,0,6,2,0,0,0.666667,0,0,0
1,0,105,1.071429,0,0,0.10303,0,0,1
2,0,45,1.111111,0.333333,0,0.25,0,0,1
2,0,253,2,0,0,0.669565,1,2,1
4,0,6,2,0,0,0.666667,0,0,0
2,0,36,1.125,0,0,0.259259,0,0,0
2,0,85,0.776471,0,0,0.355556,1,1,1
2,1,0,2,0,0,1,0,0,0
2,0,44,0.75,0.666667,0,0.307692,1,4,1
5,0,6,2,0,0,0.666667,0,0,0
3,0,3,2,0,0,0.666667,1,1,1
2,0,0,0.208333,0,0,0.212,1,3,0
2,0,10,2,0,0,0.5,0,0,0
3,0,55,1.1,0.333333,0,0.454545,2,5,1
2,0,0,0.694444,0.666667,2,0.182222,1,4,1
2,0,0,0.642857,1,1,0.25641,1,2,0
3,0,10,1.25,0,0,0.36,2,2,0
1,0,15,0.644444,1,0,0.180556,0,0,1
1,0,0,0.984848,0.111111,1,0.253623,0,0,1
2,0,42,0.787879,0.333333,0,0.22619,1,4,1
3,0,1,2,0,0,0.625,0,0,0
1,0,53,1.033333,1,0,0.157143,0,0,1
2,0,35,0.8,0.5,0,0.257576,1,4,1
2,0,14,0.785714,0,0,0.325,0,0,0
3,0,0,1.142857,0.5,0,0.270833,1,5,0
3,0,13,1.2,0,0,0.333333,2,3,0
3,0,6,1.333333,0,0,0.625,1,2,0
1,0,158,0.75,0,1,0.175,0,0,1
3,0,0,0.5,0.5,0,0.075456,2,20,0
1,2,3,0.333333,1,0,0.34,0,0,1
2,0,94,0.7625,0.8,0,0.305882,1,4,1
1,0,78,0.533333,1,0,0.291667,0,0,0
3,0,15,1.2,0,0,0.333333,1,1,0
1,0,100,0.926471,0.470588,4,0.129167,0,0,1
2,0,442,0.895833,0.9375,6,0.25463,1,4,1
2,0,179,0.836,0.9,3,0.253333,1,4,1
2,0,0,0.821429,1,6,0.583333,1,2,0
2,0,39,0.851852,0.333333,0,0.228571,1,2,1
1,0,0,0,0,0,0.666667,0,0,0
2,0,436,0.857143,0.928571,3,0.137592,1,4,1
1,0,21,0.533333,1,0,0.454545,0,0,0
3,0,3130,0.830357,1,2,0.079561,2,20,1
2,0,43,0.8,0.5,0,0.309091,1,4,1
2,0,35,0.8,0.5,0,0.309091,1,4,1
1,0,0,0,0,0,0.75,0,0,0
1,0,6,2,0,0,0.666667,0,0,1
1,134,66,2,0,0,0.283333,0,0,1
2,0,95,0.87037,0.555556,0,0.305263,1,4,1
2,0,52,0.872727,0.6,0,0.316667,1,4,0
2,0,39,0.925926,0.333333,0,0.32,1,4,1
1,0,6,2,0,0,0.75,0,0,0
1,0,0,0,1,1,0.5625,0,0,1
4,0,3,2,0,0,0.777778,0,0,0
2,1,15,2,0,0,0.333333,1,2,0
2,0,28,1.142857,0,0,0.325,1,4,1
2,0,38,0.822917,0.666667,1,0.27451,1,5,1
1,0,0,0.25,1,0,0.311111,1,1,0
2,0,282,0.669643,0,0,0.232759,1,3,1
1,3,290,0.962649,1,16,0.175781,0,0,1
2,0,25,0.8,0.5,0,0.309091,1,3,1
2,0,2,0.666667,0.166667,1,0.259259,1,2,0
2,0,28,0.636364,1,0,0.246753,1,6,1
1,0,0,1.125,0.25,0,0.583333,0,0,1
2,0,43,0.95,0.25,0,0.309091,1,4,1
2,2,27,0.776224,0.909091,0,0.27381,1,2,1
2,0,55,0.757143,0.8,0,0.2,1,4,1
2,0,35,0.8,0.5,0,0.257576,1,4,1
1,0,15,2,0,0,0.583333,0,0,0
1,0,1,0.5,1,1,0.466667,0,0,0
3,0,5,0.904762,1,0,0.4,1,4,1
6,0,0,2,0,0,1,0,0,0
2,0,35,0.8,0.5,0,0.257576,1,4,1
2,0,35,0.730769,0.5,0,0.342857,1,4,1
2,0,33,0.833333,0.5,0,0.266667,1,4,1
2,0,11,0.8,1,2,0.541667,1,1,1
1,0,36,2,0,0,0.296296,0,0,1
2,0,28,1.142857,0,0,0.325,1,4,1
1,0,24,0.863636,1,0,0.214286,0,0,1
2,4,69,0.698413,1,0,0.238095,1,4,1
3,0,0,0.916667,0.5,0,0.30303,1,4,1
2,0,52,0.722222,0.666667,0,0.269231,1,4,1
1,0,102,0.355556,0.666667,0,0.18,0,0,1
2,0,15,0.777778,0.5,0,0.34,1,3,1
2,0,64,0.85,0.8,0,0.307692,1,3,1
1,0,1,0.75,1,0,0.5,0,0,1
2,0,149,0.860947,0.846154,0,0.265432,1,5,1
4,0,9,0.75,1,2,0.181818,1,1,1
2,0,221,0.90404,0.444444,0,0.21118,1,3,1
3,0,36,1.125,0,0,0.311111,1,4,1
2,2,102,0.933333,0.75,1,0.190476,0,0,1
2,0,11,0.85,0.5,0,0.38,1,5,1
1,0,0,0.357143,0,1,0.375,0,0,0
2,0,55,1.1,0,0,0.220779,0,0,0
1,0,20,0.625,1,0,0.301587,0,0,1
2,0,73,0.861538,0.8,0,0.314286,1,3,1
5,0,0,2,0,0,1,0,0,0
2,0,0,0.757576,0.333333,0,0.277778,1,5,1
2,0,35,1,0.166667,0,0.309091,1,4,1
2,2,96,0.755556,0.5,0,0.325,1,4,1
1,0,0,2,0,0,1,0,0,0
2,0,5,0.740741,1,0,0.228571,1,2,0
1,0,1,2,0,0,0.625,0,0,1
2,0,25,0.888889,0.666667,0,0.3,1,2,1
2,0,36,1.125,0,0,0.259259,0,0,0
1,0,4,0.333333,1,0,0.466667,0,0,0
2,0,35,0.8,0.5,0,0.257576,1,4,0
2,0,65,0.912587,0.384615,3,0.220779,2,5,1
2,0,9,0.5,1,1,0.342857,0,0,0
1,0,0,0.923684,0,1,0.302564,0,0,0
2,0,4,0.666667,1,0,0.5,1,1,1
2,0,4,0.428571,1,0,0.425,1,1,1
2,0,54,0.924242,1,1,0.3125,1,2,1
2,0,326,0.940217,0.565217,1,0.200758,1,5,1
3,0,312,0.891705,0.928571,0,0.265625,1,5,1
1,0,0,2,0,0,0,0,0,0
2,0,54,0.787879,0.666667,0,0.263889,1,4,1
2,0,55,0.753846,0.8,0,0.214286,1,4,1
2,0,53,0.714286,0.75,0,0.209524,1,4,1
3,0,15,1.2,0,0,0.333333,0,0,0
2,21,10,1.25,0,0,0.6,0,0,0
1,0,15,2,0,0,0.533333,0,0,1
2,0,28,1.142857,0,0,0.325,1,4,1
1,0,198,0.841751,1,0,0.383929,0,0,1
2,0,148,0.944118,0.352941,0,0.304762,1,4,1
2,0,616,0.9,0.95,8,0.215805,1,4,1
3,0,1,1.357143,0,0,0.5,0,0,1
2,0,35,0.8,0.5,0,0.309091,1,4,1
2,0,43,0.98,0.2,0,0.309091,1,4,1
2,0,35,0.8,0.5,0,0.257576,1,4,1
1,0,6,2,0,0,0.583333,0,0,0
1,0,0,0.666667,1,2,0.4375,0,0,0
2,0,116,0.507246,1,0,0.160256,1,7,0
2,0,55,0.753846,0.8,0,0.214286,1,4,1
1,0,0,0,0,0,0.916667,0,0,0
1,0,0,0,1,1,0.541667,0,0,1
1,0,0,0.566667,1,1,0.272727,0,0,1
2,0,33,0.833333,0.5,0,0.32,1,4,1
2,0,44,0.75,0.666667,0,0.307692,1,4,1
2,0,234,0.747826,0.8,0,0.197917,1,4,1
1,1,4,0.833333,1,0,0.416667,0,0,1
1,0,3,2,0,0,0.75,0,0,1
2,0,36,1.125,0,0,0.311111,1,4,1
3,0,9,0.166667,1,0,0.428571,1,1,0
2,0,43,0.833333,0.666667,0,0.333333,1,5,1
2,0,95,0.847222,0.625,0,0.305263,1,4,1
2,0,39,0.833333,0.5,0,0.32,1,4,1
2,0,33,0.833333,0.5,0,0.266667,1,4,1
1,0,0,0.125,0,0,0.259259,0,0,0
1,0,34,0.690909,1,0,0.375,0,0,1
1,0,0,0.583333,0.75,3,0.19697,0,0,1
1,0,36,2,0,0,0.25,0,0,0
1,0,252,0.742857,0.888889,3,0.16,1,1,1
2,0,39,0.851852,0.333333,0,0.228571,1,2,1
3,0,10,1.25,0,0,0.4,1,1,0
3,0,3,1.5,0,0,0.666667,1,5,0
1,0,0,2,0,0,0,0,0,0
2,0,24,0.875,0.5,0,0.311111,1,4,1
3,0,1275,1.02,0,0,0.193277,0,0,0
3,0,3,1.5,0,0,0.666667,1,5,0
1,1,127,0.754902,1,2,0.25,1,1,1
2,0,123,0.777778,0.833333,0,0.218045,1,4,1
2,0,9,0.944444,0.666667,0,0.314286,1,2,0
2,3,0,0.142857,1,0,0.375,1,1,1
1,0,2,0.75,1,2,0.36,0,0,0
3,0,0,0.6875,0.5,0,0.311111,1,4,1
1,0,4,0.333333,1,0,0.333333,0,0,0
2,0,3119,0.980995,0.483146,34,0.251773,1,4,1
2,0,36,1.125,0,0,0.259259,0,0,1
5,0,6,2,0,0,0.666667,0,0,0
2,2,0,1.25,0,0,0.5,0,0,0
1,3,84,0.994048,0,2,0.317647,0,0,1
1,1,273,0.82,0.5,1,0.288,1,1,0
2,0,95,0.888889,0.5,0,0.305263,1,4,1
1,0,0,0,0,0,0.666667,0,0,0
3,1,41,0.916667,0,1,0.327273,0,0,1
1,0,7059,0.940894,0.722222,19,0.077239,0,0,1
2,0,33,0.833333,0.5,0,0.266667,1,4,1
2,0,350,0.867647,0.941176,4,0.216216,1,4,1
2,0,181,0.877273,0.7,1,0.223602,1,4,1
2,1,187,0.747475,0.888889,2,0.173203,2,3,1
2,0,141,0.859195,0.916667,9,0.216749,1,4,1
2,0,51,0.852941,0.625,0,0.259259,1,4,1
2,0,189,0.914322,0.565217,6,0.216327,1,4,1
2,0,35,0.98,0.2,0,0.309091,1,4,1
1,0,0,0,1,1,0.6,0,0,0
2,0,25,0.75,0.5,0,0.257576,1,4,1
1,0,0,2,0,0,1,0,0,1
1,0,106,0.354167,1,2,0.144796,0,0,1
2,0,94,0.649123,1,2,0.154545,1,1,0
1,0,6,2,0,0,0.25,0,0,0
1,0,0,0.611111,0.5,0,0.45,1,1,0
1,0,0,2,0,0,1,0,0,0
2,0,75,0.772727,0.875,3,0.253623,1,4,1
1,0,0,0.222222,1,1,0.4375,1,1,0
2,0,35,0.8,0.5,0,0.309091,1,4,1
2,0,36,1.125,0,0,0.259259,0,0,1
2,0,45,1.111111,0.333333,0,0.25,0,0,0
1,0,0,1.3125,0.125,1,0.666667,0,0,1
2,0,0,0.5,1,0,0.5,1,1,0
2,1,246,0.929012,0.518519,6,0.252252,1,4,1
2,0,740,0.835938,1,3,0.182692,2,18,1
1,0,0,2,0,0,1,0,0,0
1,0,0,2,0,0,1,0,0,0
2,0,0,0.35,1,0,0.363636,1,5,1
1,0,1,2,0,0,1,0,0,1
2,0,35,0.8,0.5,0,0.309091,1,4,1
3,0,1485,1.018519,0,0,0.192208,0,0,1
2,0,39,0.833333,0.5,0,0.32,1,4,1
3,0,1,2,0,0,0.555556,0,0,1
1,0,0,0.388889,1,0,0.313333,1,1,0
2,0,35,0.8,0.5,0,0.257576,1,4,1
1,0,1,2,0,0,0.5,0,0,1
2,0,25,0.957143,0.142857,0,0.222222,1,6,1
1,0,158,0.75,0,1,0.175,0,0,1
2,1,89,0.721088,0.857143,2,0.198864,1,2,0
2,0,35,0.8,0.5,0,0.309091,1,4,1
2,0,610,0.957692,0.5,14,0.215457,1,4,1
2,0,6,0.75,1,2,0.55,1,1,1
2,0,140,0.800926,0.888889,2,0.253333,1,4,1
2,0,39,0.972222,0.25,0,0.32,1,4,1
1,0,2862,0.921695,1,6,0.136886,0,0,1
3,2,0,0,1,1,0.15,2,7,0
2,0,43,0.8,0.5,0,0.309091,1,4,1
1,0,0,0.925743,0.4375,3,0.135567,0,0,1
1,0,0,2,0,0,1,0,0,0
2,0,17,0.84,0.4,0,0.287879,1,4,1
2,0,155,0.854167,0.875,0,0.236842,1,4,1
1,0,0,0.65625,1,1,0.25,0,0,0
1,0,630,2,0,0,0.200617,0,0,1
2,0,21,1,1,0,0.314286,1,2,0
1,0,1,2,0,0,0.75,0,0,0
2,0,39,0.925926,0.333333,0,0.32,1,4,1
2,0,45,1.111111,0.333333,0,0.25,0,0,0
2,0,43,0.833333,0.666667,0,0.333333,1,5,1
1,0,0,0.5,1,1,0.7,0,0,1
2,0,35,0.761364,0.875,4,0.253623,1,4,1
2,0,39,0.833333,0.5,0,0.32,1,4,1
1,0,0,2,0,0,1,0,0,0
1,0,728,0.715584,0.642857,1,0.173737,0,0,1
2,0,0,0.6875,0.8,3,0.254902,1,4,1
2,0,120,0.955263,0.315789,0,0.304762,1,4,1
3,0,4,0.666667,1,1,0.5,1,1,1
1,0,1,2,0,0,0.5,0,0,0
2,0,22,0.885714,0.8,0,0.270833,1,2,0
1,0,0,0.611111,1,0,0.52381,0,0,1
1,2,42,0.818182,0,0,0.708333,0,0,0
1,0,0,0.333333,0,1,0.47619,0,0,0
1,0,0,0.388889,1,0,0.313333,1,1,1
2,0,45,1.111111,0.5,0,0.25,0,0,0
1,0,1,2,0,0,0.5,0,0,1
2,0,35,0.8,0.5,0,0.257576,1,4,1
3,0,0,0.090909,0,1,0.316667,3,5,1
1,0,0,0.509615,1,0,0.37037,1,1,1
3,0,124,1.045398,0.023697,2,0.161538,2,7,1
2,2,3,1.04,0.4,0,0.4,1,5,1
2,0,39,1,0.2,0,0.32,1,4,1
2,0,56,0.75,0.666667,0,0.307692,1,4,1
1,2,19,0.611111,1,2,0.325,0,0,0
2,0,36,1.125,0,0,0.259259,0,0,0
1,0,6,2,0,0,0.583333,0,0,0
2,0,35,0.8,0.5,0,0.257576,1,4,1
2,4,3,2,0,0,0.666667,0,0,1
2,0,305,0.867725,0.944444,8,0.251938,1,4,1
1,2,0,0.5,1,2,0.458333,0,0,1
3,0,21,1.149123,0.052632,2,0.22449,1,2,0
2,5,38,0.685714,0.857143,3,0.196429,1,2,1
2,0,33,0.777778,0,0,0.266667,1,4,1
4,2,0,0.5,1,0,0.5,0,0,0
