@relation 'KC1-weka.filters.unsupervised.attribute.Remove-R1-2,4-6,8-13,17-21'

@attribute ev(g) numeric
@attribute l numeric
@attribute lOComment numeric
@attribute lOBlank numeric
@attribute locCodeAndComment numeric
@attribute defects {false,true}

@data
5,0.07,0,3,0,true
3,0.07,0,2,0,true
3,0.1,0,5,0,true
5,0.04,44,35,3,true
1,0.09,0,1,0,true
1,0.06,2,2,0,true
1,0.08,2,5,0,true
7,0.05,11,19,2,true
7,0.05,11,20,2,true
3,0.07,9,11,3,true
1,0.09,3,5,0,true
1,0.07,6,12,0,true
8,0.03,11,28,3,true
3,0.06,3,7,0,true
1,0.08,1,1,0,true
1,0.06,1,1,0,true
1,0.2,0,1,0,true
4,0.03,3,24,2,true
1,1,0,0,0,true
1,0.5,0,0,0,true
4,0.03,2,4,1,true
1,0.4,0,0,0,true
1,0.4,0,0,0,true
1,0.22,5,4,0,true
1,0.15,2,11,0,true
1,0.67,0,0,0,true
1,0.5,0,0,0,true
1,0.27,0,1,0,true
1,0.14,0,1,0,true
1,0.33,0,1,0,true
1,0.15,0,0,0,true
1,0.02,0,5,0,true
1,0.07,1,2,0,true
11,0.02,22,23,0,true
1,0.08,11,7,0,true
1,0,0,0,0,true
1,0.16,0,0,0,true
1,0.18,0,0,0,true
1,0.26,0,0,0,true
1,0.07,2,3,0,true
3,0.13,0,1,0,true
3,0.07,0,3,0,true
4,0.04,24,22,0,true
3,0.07,5,2,0,true
1,0.33,0,1,0,true
3,0.07,4,4,0,true
1,0.09,12,5,0,true
12,0.03,27,18,0,true
3,0.12,0,0,0,true
3,0.08,0,2,0,true
1,0.5,0,1,0,true
1,0.1,0,3,0,true
1,1.33,0,1,0,true
3,0.14,0,3,0,true
4,0.06,2,3,0,true
1,0.2,0,1,0,true
5,0.05,0,9,0,true
1,0.08,0,2,0,true
5,0.06,19,16,0,true
3,0.06,0,2,0,true
3,0.12,0,0,0,true
3,0.11,0,1,0,true
1,0.5,0,2,0,true
1,0,0,0,0,true
1,0.29,0,0,0,true
1,0.08,4,3,0,true
1,0.19,0,0,0,true
1,0.05,0,2,0,true
1,0.06,0,3,0,true
1,0.07,1,3,1,true
1,0.05,0,3,2,true
1,0.09,3,9,0,true
1,0.41,1,0,0,true
1,0.4,1,0,0,true
1,0.08,0,3,0,true
1,0.67,0,0,0,true
1,0.13,0,1,1,true
1,0.33,1,0,0,true
1,0.4,0,1,0,true
5,0.05,2,5,0,true
1,0.17,0,2,0,true
1,0.14,1,1,0,true
1,0.21,0,0,0,true
1,0.17,0,0,0,true
3,0.07,0,2,0,true
1,0.14,0,3,0,true
1,0.12,0,3,0,true
1,0.12,0,3,0,true
1,0.12,0,3,0,true
3,0.09,1,1,0,true
3,0.08,1,1,0,true
5,0.03,6,6,0,true
1,0.13,1,3,1,true
1,0.03,2,5,0,true
9,0.04,0,10,1,true
8,0.03,11,9,0,true
1,0.05,0,2,0,true
1,0.33,0,1,0,true
1,0.1,0,0,0,true
1,0.05,0,1,0,true
8,0.05,3,2,0,true
1,0.05,6,16,0,true
1,0.2,0,0,0,true
10,0.03,0,12,0,true
6,0.03,4,16,0,true
1,0.12,0,0,0,true
1,0.05,7,7,0,true
3,0.09,3,5,0,true
1,0.4,0,1,0,true
1,0.1,0,0,0,true
1,0.13,0,1,0,true
1,0.19,1,1,0,true
18,0.04,17,23,0,true
22,0.02,6,24,0,true
1,0.08,0,2,0,true
1,0.12,0,1,0,true
1,0,0,0,0,true
3,0.11,0,8,0,true
4,0.06,0,1,0,true
7,0.04,2,11,0,true
1,0.15,1,7,0,true
1,0.08,0,1,0,true
21,0.02,3,58,0,true
1,0.06,0,13,0,true
1,0.12,0,0,0,true
3,0.06,0,3,0,true
5,0.07,10,11,4,true
1,0.09,11,4,0,true
1,0.29,0,0,0,true
1,0.4,0,0,0,true
1,0.33,0,0,0,true
1,0.07,3,6,0,true
1,0.3,4,5,0,true
1,0.2,0,4,0,true
1,0.14,0,2,0,true
1,0.09,2,2,0,true
1,0.1,2,3,1,true
1,0.2,3,1,0,true
3,0.06,0,4,0,true
1,0.19,18,0,0,true
1,0.14,0,1,0,true
1,0.33,0,0,0,true
1,0.91,0,1,0,true
3,0.07,0,2,0,true
10,0.04,26,25,0,true
10,0.05,24,18,0,true
6,0.06,8,5,0,true
1,0.25,0,0,0,true
1,0.22,0,0,0,true
1,0.22,0,0,0,true
1,0.22,0,0,0,true
1,0.22,0,0,0,true
1,0.15,0,2,0,true
1,0.08,4,5,0,true
1,0.08,4,3,0,true
1,1,0,0,0,true
3,0.05,0,5,0,true
5,0.06,1,6,0,true
7,0.04,2,5,1,true
1,0.06,2,5,0,true
13,0.06,2,3,0,true
7,0.02,9,15,0,true
1,0.04,7,5,0,true
5,0.06,10,3,0,true
1,0.03,4,13,0,true
1,0.16,10,2,1,true
8,0.04,6,10,1,true
1,0.16,0,1,0,true
1,0.05,0,10,0,true
1,0.16,0,1,0,true
1,0.16,0,0,0,true
3,0.03,0,8,0,true
1,0.19,2,3,0,true
1,0.4,0,0,0,true
8,0.05,44,32,0,true
1,0.18,0,0,0,true
1,0.18,0,0,0,true
4,0.04,8,12,1,true
1,0.19,0,0,0,true
3,0.04,2,9,0,true
1,0.21,0,2,0,true
1,0.07,10,12,0,true
1,0.32,0,2,0,true
10,0.04,8,6,0,true
12,0.03,35,11,0,true
1,0.11,3,3,0,true
4,0.03,2,7,0,true
7,0.02,0,12,0,true
14,0.02,1,12,0,true
1,0.06,10,7,0,true
15,0.02,2,11,0,true
1,0.17,1,1,0,true
1,0.4,0,0,0,true
1,0.06,16,17,0,true
8,0.03,10,13,2,true
1,1,0,0,0,true
6,0.03,1,18,0,true
3,0.03,0,14,0,true
12,0.03,23,13,0,true
5,0.05,0,3,0,true
6,0.06,2,15,0,true
16,0.02,9,16,7,true
1,0.38,0,0,0,false
1,0,0,0,0,false
1,0,0,0,0,false
1,0,0,0,0,false
1,0.29,0,2,0,false
1,0.38,0,0,0,false
1,0,0,0,0,false
1,0,0,0,0,false
1,0,0,0,0,false
1,0.27,0,2,0,false
1,0.29,0,2,0,false
1,0,0,0,0,false
1,0.29,0,2,0,false
1,0,0,1,0,false
1,0.14,0,2,0,false
3,0.1,0,2,0,false
3,0.1,0,2,0,false
3,0.1,0,2,0,false
1,0.19,0,2,0,false
5,0.09,1,6,0,false
1,0.17,0,1,0,false
1,0.06,0,1,0,false
3,0.09,3,3,0,false
1,0.1,0,5,0,false
1,0.11,0,1,0,false
1,0.1,0,4,0,false
1,0.21,0,2,0,false
1,0.15,0,3,0,false
1,0.11,0,2,0,false
9,0.06,4,2,0,false
1,0.06,4,4,0,false
5,0.04,9,5,0,false
1,0.11,1,1,0,false
1,0.11,1,1,0,false
1,0.11,1,1,0,false
1,0.13,1,4,0,false
1,0.19,0,0,0,false
1,0.17,0,0,0,false
1,0.08,0,2,0,false
1,0.18,0,0,0,false
1,0.04,6,6,0,false
1,0.1,0,1,0,false
1,0.1,0,2,0,false
1,0.11,0,1,0,false
1,0.09,2,2,0,false
3,0.05,0,2,0,false
1,0.04,2,1,0,false
1,0.09,0,1,0,false
9,0.06,1,1,0,false
11,0.03,11,17,0,false
1,0.33,0,1,0,false
1,0.4,0,1,0,false
1,0.08,0,4,0,false
1,0.21,0,0,0,false
3,0.07,0,2,0,false
1,0.25,0,2,0,false
5,0.05,4,5,0,false
1,0.33,0,1,0,false
1,0.11,0,3,0,false
1,0.17,1,2,0,false
1,0.11,0,1,0,false
5,0.06,1,4,0,false
1,0.1,0,2,0,false
1,0.33,0,1,0,false
1,0.4,0,0,0,false
1,0.33,0,1,0,false
1,0.4,0,0,0,false
1,0.67,0,1,0,false
1,0.16,0,2,0,false
1,0,0,0,0,false
1,0.06,0,2,1,false
1,0,0,0,0,false
1,2,0,0,0,false
1,2,0,0,0,false
1,0,0,0,0,false
1,1,0,0,0,false
1,0.4,0,1,0,false
1,1,0,0,0,false
1,0.3,0,3,0,false
1,2,0,0,0,false
1,0,0,0,0,false
1,1,0,0,0,false
1,0,0,0,0,false
1,0.09,1,5,0,false
1,0,0,0,0,false
1,1,0,0,0,false
1,0.3,0,3,0,false
1,1,0,0,0,false
1,1,0,0,0,false
1,0.25,0,2,0,false
1,0.23,0,0,0,false
1,0,0,0,0,false
1,0.3,0,3,0,false
1,0.5,0,0,0,false
1,0.64,0,0,0,false
1,0.38,0,1,0,false
3,0.11,0,2,0,false
1,0.18,0,2,0,false
8,0.05,4,7,0,false
1,0.4,0,0,0,false
1,0.4,0,1,0,false
1,0.4,0,1,0,false
1,0.4,0,0,0,false
1,0.4,0,0,0,false
1,0.4,0,0,0,false
1,0.4,0,1,0,false
1,0.4,0,0,0,false
1,0.4,0,0,0,false
1,0.4,0,1,0,false
1,0.04,5,4,0,false
1,0.04,2,2,0,false
10,0.03,5,7,0,false
1,0.05,3,4,0,false
1,0.67,0,0,0,false
1,0.67,0,0,0,false
1,0.67,0,0,0,false
1,0.67,0,0,0,false
1,0.67,0,0,0,false
1,0.67,0,0,0,false
1,0.67,0,0,0,false
1,0.67,0,0,0,false
3,0.06,0,1,0,false
1,0.67,0,0,0,false
1,0.67,0,0,0,false
1,0.67,0,0,0,false
1,0.67,0,0,0,false
1,0.67,0,0,0,false
1,0.67,0,0,0,false
1,0.67,0,0,0,false
1,0.67,0,0,0,false
1,0.67,0,0,0,false
1,0.67,0,0,0,false
1,0.67,0,0,0,false
1,0.67,0,0,0,false
1,0.67,0,0,0,false
1,0.67,0,0,0,false
1,0.21,0,0,0,false
1,0.67,0,0,0,false
1,0.67,0,0,0,false
1,0.67,0,0,0,false
1,0.67,0,0,0,false
1,0.67,0,0,0,false
1,0.67,0,0,0,false
1,0.67,0,0,0,false
1,0.67,0,0,0,false
1,0.67,0,0,0,false
1,0.67,0,0,0,false
1,0.67,0,0,0,false
1,0.67,0,0,0,false
1,0.67,0,0,0,false
1,0.67,0,0,0,false
1,0.67,0,0,0,false
1,0.67,0,0,0,false
1,0.67,0,0,0,false
1,0.67,0,0,0,false
1,0.67,0,0,0,false
1,0.67,0,0,0,false
1,0.67,0,0,0,false
1,0.67,0,0,0,false
1,0.67,0,0,0,false
1,0.67,0,0,0,false
1,0.67,0,0,0,false
1,0.67,0,0,0,false
1,0.67,0,0,0,false
1,0.16,0,2,0,false
1,0.16,0,2,0,false
1,0.15,0,3,0,false
1,0.5,0,0,0,false
1,0.5,0,2,0,false
1,0.14,0,2,0,false
1,0.16,0,2,0,false
1,0.16,0,2,0,false
1,0.17,0,3,0,false
1,0.16,0,3,0,false
1,0.16,0,3,0,false
1,0.5,0,0,0,false
1,0.17,0,3,0,false
1,0.27,2,1,0,false
1,0.17,0,4,0,false
1,0.16,0,2,0,false
1,0.16,0,3,0,false
1,0.17,0,3,0,false
1,0.19,0,4,0,false
1,0.16,0,3,0,false
1,0.19,0,4,0,false
1,0.16,0,2,0,false
1,0.16,0,3,0,false
1,0.16,0,3,0,false
5,0.05,2,3,0,false
1,0.16,0,0,0,false
1,0.33,0,1,0,false
1,0.4,0,0,0,false
1,0.5,0,0,0,false
1,0.5,0,0,0,false
1,0.67,0,0,0,false
1,0.22,0,0,0,false
1,0.67,0,0,0,false
1,0.67,0,0,0,false
1,0.67,0,0,0,false
1,0.67,0,0,0,false
1,0.08,0,1,0,false
1,0.08,0,1,0,false
1,0.1,2,1,0,false
1,0.67,0,0,0,false
1,0.67,0,0,0,false
1,0,0,0,0,false
1,0.1,0,2,0,false
1,0.67,0,0,0,false
1,0.67,0,0,0,false
1,0.67,0,0,0,false
1,0.29,0,0,0,false
1,0.09,7,4,0,false
1,0.4,0,0,0,false
3,0.09,1,1,0,false
3,0.08,1,1,0,false
3,0.08,0,2,0,false
3,0.06,0,1,0,false
1,0.09,0,1,0,false
1,0.06,0,3,0,false
3,0.09,1,0,0,false
1,0.06,4,4,0,false
1,0.21,2,2,0,false
1,0.16,0,1,0,false
1,0.06,1,4,0,false
1,0.3,1,2,0,false
5,0.05,4,4,0,false
1,0.12,0,0,0,false
8,0.05,3,2,0,false
1,0.16,0,0,0,false
1,0.33,0,1,0,false
1,0.4,0,0,0,false
1,0.18,0,1,0,false
1,0.4,0,0,0,false
1,0.16,0,0,0,false
8,0.05,3,2,0,false
1,0.33,0,1,0,false
1,0.4,0,0,0,false
3,0.23,0,2,0,false
11,0.07,1,2,0,false
1,0.15,0,1,0,false
1,0.33,0,0,0,false
1,0.33,0,1,0,false
1,0.09,0,0,0,false
1,0.33,0,0,0,false
3,0.05,0,4,0,false
5,0.05,4,5,0,false
1,0.18,0,4,0,false
1,0.33,0,0,0,false
1,0.16,0,0,0,false
1,0.33,0,1,0,false
1,0.4,0,0,0,false
1,0.15,0,0,0,false
1,0.67,0,0,0,false
1,0.67,0,0,0,false
3,0.06,3,2,0,false
3,0.15,0,3,0,false
1,0.4,0,1,0,false
3,0.09,1,1,0,false
1,0.06,0,0,0,false
1,0.14,1,3,0,false
1,0.17,1,3,0,false
1,0.11,1,2,0,false
1,0.11,1,2,0,false
1,0.14,1,2,0,false
1,0.1,1,2,0,false
1,0.14,1,3,0,false
1,0.12,1,3,0,false
1,0.17,1,2,0,false
1,0.14,1,3,0,false
1,0.17,1,2,0,false
1,0.17,1,2,0,false
1,0.17,1,2,0,false
1,0.15,1,3,0,false
1,0.14,1,3,0,false
1,0.17,1,2,0,false
1,0.14,1,3,0,false
1,0.17,1,2,0,false
1,0.16,1,2,0,false
1,0.16,1,2,0,false
1,0.14,1,3,0,false
1,0.16,1,3,0,false
1,0.16,1,2,0,false
7,0.03,7,9,0,false
5,0.09,2,2,0,false
1,0.07,0,6,0,false
1,0.24,0,0,0,false
1,0.18,0,1,0,false
1,0.16,0,3,0,false
1,0.16,0,3,0,false
1,0.17,0,3,0,false
1,0.09,3,4,0,false
5,0.07,0,0,0,false
3,0.05,0,3,0,false
1,0.33,0,0,0,false
1,0.33,0,0,0,false
1,0.33,0,0,0,false
1,0.19,0,4,0,false
1,0.16,0,0,0,false
8,0.05,3,2,0,false
1,0.33,0,1,0,false
1,0.4,0,0,0,false
1,0.16,0,0,0,false
1,0.33,0,1,0,false
1,0.4,0,0,0,false
1,0.16,0,0,0,false
8,0.05,3,2,0,false
1,0.33,0,1,0,false
1,0.4,0,0,0,false
7,0.04,7,6,0,false
1,0.08,0,4,0,false
1,0.09,0,5,0,false
3,0.07,0,2,0,false
1,0.1,0,1,0,false
1,0.22,1,0,0,false
4,0.06,0,4,0,false
1,0.11,0,1,0,false
1,0.11,0,1,0,false
1,0.12,0,1,0,false
1,0,0,0,0,false
1,0,0,0,0,false
1,0,0,0,0,false
1,0,0,0,0,false
1,0,0,0,0,false
1,0.2,0,1,0,false
1,0.17,0,0,0,false
1,0.33,0,0,0,false
1,0.12,0,4,0,false
1,0.31,0,2,0,false
1,0.34,0,2,0,false
1,0.25,0,0,0,false
1,0.33,0,0,0,false
1,0.11,0,3,0,false
1,0.31,0,2,0,false
1,0.27,0,2,0,false
1,0.11,0,1,0,false
1,0.08,0,3,0,false
1,0.33,0,0,0,false
1,0.17,0,0,0,false
1,0.07,0,2,0,false
1,0.31,0,2,0,false
1,0.1,0,2,0,false
1,0.14,0,0,0,false
1,0.5,0,0,0,false
1,1,0,0,0,false
1,1,0,0,0,false
1,2,0,0,0,false
1,2,0,0,0,false
1,0.13,0,0,0,false
1,0.18,0,0,0,false
1,0.33,0,0,0,false
1,0.25,0,0,0,false
1,0.15,0,0,0,false
1,0.31,0,2,0,false
1,0.11,0,2,0,false
1,0.67,0,0,0,false
1,0.11,0,1,0,false
1,0.67,0,0,0,false
1,0.67,0,0,0,false
1,0.67,0,0,0,false
1,0.67,0,0,0,false
1,0.67,0,0,0,false
1,0.67,0,0,0,false
1,0.67,0,0,0,false
1,0.67,0,0,0,false
1,0.12,0,0,0,false
1,0.67,0,0,0,false
1,0.67,0,0,0,false
1,0.67,0,0,0,false
1,0.06,0,2,0,false
1,0.07,0,0,0,false
1,0.67,0,0,0,false
1,0.67,0,0,0,false
1,0.67,0,0,0,false
1,0.67,0,0,0,false
1,0.67,0,0,0,false
1,0.67,0,0,0,false
1,0.21,0,0,0,false
1,0.67,0,0,0,false
1,0.67,0,0,0,false
1,0.67,0,0,0,false
1,0.67,0,0,0,false
1,0.19,0,0,0,false
1,0.31,0,2,0,false
1,0.19,0,0,0,false
1,0.31,0,2,0,false
1,0.33,0,0,0,false
1,0.31,0,2,0,false
1,0.34,0,2,0,false
1,0.09,0,1,0,false
3,0.04,0,8,1,false
1,0.67,1,0,0,false
1,0.67,0,0,0,false
1,0.15,0,1,0,false
1,0.2,0,1,0,false
1,0.31,0,2,0,false
1,0.18,0,0,0,false
1,0.15,0,0,0,false
1,0.33,0,0,0,false
1,0.16,0,1,0,false
1,0.07,0,1,0,false
1,0.33,0,0,0,false
1,0.17,0,0,0,false
1,0.31,0,2,0,false
1,0.34,0,2,0,false
1,0.23,0,1,0,false
1,0.33,0,0,0,false
1,0.17,0,0,0,false
1,0.31,0,2,0,false
1,0.34,0,2,0,false
3,0.07,1,6,0,false
1,0.18,0,0,0,false
1,0.31,0,2,0,false
1,0.18,0,0,0,false
1,0.31,0,2,0,false
1,0.25,0,2,0,false
1,0.16,0,0,0,false
1,0.21,0,1,0,false
1,0.17,0,1,0,false
1,0.2,0,1,0,false
1,0.22,0,0,0,false
1,0.67,0,0,0,false
1,0,0,0,0,false
1,0.5,0,0,0,false
1,0.5,0,0,0,false
1,0.5,0,0,0,false
1,0.5,0,0,0,false
1,0.24,0,0,0,false
1,0.5,0,0,0,false
1,0.24,0,0,0,false
1,0.22,0,0,0,false
1,0.22,0,0,0,false
1,0.05,3,3,0,false
1,0.18,1,2,0,false
1,0.29,0,0,0,false
1,0.33,0,0,0,false
1,0.29,0,0,0,false
1,0.33,0,0,0,false
1,0.05,8,10,0,false
1,0.29,0,0,0,false
1,0.67,0,0,0,false
1,0.13,0,1,0,false
1,0.1,0,0,0,false
1,0.07,1,5,0,false
1,0.42,0,0,0,false
1,0.56,0,0,0,false
1,0.06,3,2,0,false
1,0.4,0,0,1,false
1,0.33,0,0,1,false
1,0.33,0,0,0,false
1,0.33,0,0,1,false
1,0.33,0,0,1,false
1,0.33,0,0,1,false
1,0.33,0,0,1,false
1,0.5,0,0,0,false
1,0.33,0,0,1,false
1,0.12,0,0,0,false
1,0.05,2,0,0,false
1,0.13,0,1,0,false
1,0.5,0,0,0,false
1,0.67,0,0,0,false
1,0.67,0,0,0,false
1,0.33,0,0,0,false
1,0.67,0,0,0,false
1,0.67,0,0,0,false
1,0.67,0,0,0,false
1,0.67,0,0,0,false
1,0.67,0,0,0,false
1,0.67,0,0,0,false
1,0.29,0,0,0,false
1,0.4,0,0,0,false
1,0.67,0,0,0,false
4,0.04,16,5,0,false
1,0.67,0,0,0,false
1,0.4,0,0,0,false
1,0.4,0,0,0,false
1,0.4,0,0,0,false
1,0.4,0,0,0,false
1,0.67,0,0,0,false
1,0.4,0,0,0,false
1,0.4,0,0,0,false
1,0.4,0,0,0,false
1,0.4,0,0,0,false
1,0.24,0,0,0,false
1,0.24,0,0,0,false
1,0.24,0,0,0,false
1,0.24,0,0,0,false
1,0.15,0,0,0,false
1,0.29,3,0,0,false
1,0.05,0,2,5,false
1,0.21,3,0,0,false
1,0.08,3,8,0,false
1,0.29,1,0,2,false
1,0.29,1,0,2,false
1,0.33,1,0,2,false
1,0.33,1,0,1,false
1,0.5,2,0,0,false
1,0.5,0,0,0,false
1,0.13,0,1,0,false
1,0.67,0,0,0,false
1,0.67,0,0,0,false
1,0.67,0,0,0,false
1,0.22,0,0,0,false
1,0.67,0,0,0,false
1,0.23,0,0,0,false
1,0.67,0,0,0,false
1,0.12,11,4,0,false
1,0,0,0,0,false
1,0.08,1,6,0,false
1,0,0,0,0,false
1,0.04,19,21,3,false
1,1,0,0,0,false
1,2,0,0,0,false
1,0,0,0,0,false
11,0.03,19,0,4,false
1,0.67,0,0,0,false
1,0.67,0,0,0,false
1,0.67,0,0,0,false
1,0.67,0,0,0,false
1,0.67,0,0,0,false
1,0.11,10,13,0,false
1,0.09,2,3,0,false
1,0.67,0,0,0,false
1,0.67,0,0,0,false
1,0.5,0,0,0,false
1,0.67,0,0,0,false
1,0.07,2,4,0,false
3,0.08,9,8,0,false
1,0.09,0,3,0,false
1,0.11,2,3,0,false
1,0.11,2,6,0,false
1,0.11,2,6,0,false
1,0.67,0,0,0,false
1,0,0,0,0,false
1,0,0,0,0,false
1,0,0,0,0,false
1,0,0,0,0,false
1,0,0,0,0,false
3,0.09,0,0,0,false
1,0.1,0,1,0,false
1,0.07,3,7,0,false
1,0.19,0,1,0,false
1,0.21,0,0,0,false
26,0.02,6,13,11,false
1,0.14,1,2,3,false
1,0,0,1,0,false
1,0,0,0,0,false
1,0.14,0,3,0,false
1,0,0,0,0,false
1,2,0,0,0,false
1,0,0,1,0,false
1,0,0,0,0,false
1,0,0,0,0,false
1,0,0,0,0,false
1,0.14,0,1,0,false
1,0.08,0,0,0,false
1,0.67,0,0,0,false
1,0.67,0,0,0,false
1,0.67,0,0,0,false
1,0.67,0,0,0,false
1,0.4,0,0,0,false
1,0.5,0,0,0,false
1,0.67,0,0,0,false
1,0,0,0,0,false
1,0.11,0,6,0,false
1,0.1,0,3,0,false
1,0,0,0,0,false
1,0.25,1,0,0,false
10,0.03,4,9,5,false
1,0.67,0,0,0,false
1,0.67,0,0,0,false
1,0.67,0,0,0,false
1,0.67,0,0,0,false
1,0.07,0,2,0,false
3,0.05,0,2,0,false
1,0.12,0,1,0,false
1,0.07,0,1,0,false
1,0.1,1,3,0,false
1,0.19,0,1,0,false
1,0.06,1,20,0,false
1,0.67,0,0,0,false
1,0.67,0,0,0,false
1,0,0,0,0,false
1,0.17,0,1,0,false
1,0.13,0,0,1,false
3,0.17,0,1,0,false
1,0.06,5,12,3,false
1,0.06,2,11,3,false
6,0.04,20,10,3,false
7,0.04,20,12,6,false
1,0.14,1,2,0,false
1,0.43,0,0,0,false
1,0.39,0,0,0,false
1,0,0,0,0,false
1,0,0,0,0,false
1,0.2,0,0,0,false
1,0.1,0,2,0,false
1,0.1,0,2,0,false
1,0.67,0,0,0,false
1,0.67,0,0,0,false
1,0.67,0,0,0,false
1,0.67,0,0,0,false
1,0.67,0,0,0,false
1,0.3,0,0,0,false
1,0.67,0,0,0,false
1,0.67,0,0,0,false
1,0.67,0,0,0,false
1,0.67,0,0,0,false
1,0.67,0,0,0,false
1,0.4,0,0,0,false
1,0.24,0,0,0,false
1,0.14,2,1,0,false
1,0.21,0,0,0,false
1,0.08,5,9,0,false
1,0.2,0,0,0,false
1,0.67,0,0,0,false
1,0.17,0,0,0,false
1,0.12,0,1,0,false
1,0.14,0,0,0,false
1,0.23,0,0,3,false
1,0.09,0,0,1,false
1,0.67,0,0,0,false
1,0.13,0,1,0,false
1,0.12,0,0,0,false
1,0.09,0,0,1,false
1,0.11,0,1,0,false
1,0.2,0,0,0,false
1,0.2,0,0,0,false
1,0.67,0,0,0,false
1,0.67,0,0,0,false
1,0.39,0,1,0,false
1,0.5,0,0,0,false
1,1,0,0,0,false
1,1,0,0,0,false
1,0.67,0,0,0,false
1,0.67,0,0,0,false
1,0.17,0,1,0,false
1,0.3,0,1,0,false
1,0,0,0,0,false
1,0,0,0,0,false
1,0,0,0,0,false
1,0,0,0,0,false
1,0,0,0,0,false
1,0,0,0,0,false
1,2,0,0,0,false
1,0,0,0,0,false
1,0,0,0,0,false
1,0,0,0,0,false
1,0.04,0,6,0,false
3,0.1,1,0,0,false
7,0.1,1,1,0,false
1,0,0,0,0,false
1,0,0,0,0,false
1,0,0,0,0,false
1,0,0,0,0,false
9,0.09,1,1,0,false
1,0.67,0,0,0,false
1,0,0,0,0,false
1,0,0,0,0,false
5,0.08,1,2,0,false
8,0.04,9,9,0,false
5,0.1,3,4,0,false
1,0.13,1,3,0,false
1,0.09,1,2,0,false
15,0.04,12,3,3,false
6,0.06,1,3,0,false
1,0.08,4,4,0,false
1,1,0,0,0,false
