@relation 'ant-1.5_deleteColumns-weka.filters.unsupervised.attribute.Remove-R1-2,4-9,11,14,16-17,19'

@attribute noc numeric
@attribute lcom3 numeric
@attribute dam numeric
@attribute moa numeric
@attribute cam numeric
@attribute amc numeric
@attribute avg_cc numeric
@attribute bug {1,0}

@data
0,0.555556,1,0,0.47619,20,1.1429,0
0,2,1,0,1,31.5,0.5,0
0,0.555556,1,0,0.47619,14.714286,1.1429,0
8,0.71256,1,9,0.230159,45.105263,4.2632,1
0,0.333333,1,0,0.875,13.5,1.75,0
0,0.810714,0.9,2,0.317241,18.206897,1.3793,0
9,0.666667,1,1,0.5,4.25,0.5,0
0,2,0,0,1,0,1,0
3,0.87619,0.857143,0,0.285714,19.4375,1.6875,0
0,0.674074,1,2,0.25,32.25,0.8125,0
0,2,0,0,1,0,1,0
0,0,1,1,0.666667,6.5,0.5,0
0,0.666667,1,0,0.533333,11.2,0.8,0
0,0.85,1,1,0.296296,30.444444,1,0
0,0.75,1,0,0.4,20.142857,1,1
0,2,0,0,0.666667,4.5,0.5,0
0,0.708333,1,0,0.47619,16.428571,1.2857,0
0,0.785714,1,0,0.85,26.090909,1.7273,0
0,1.2,0,0,0.722222,0,1,0
4,0.666667,1,1,0.228571,13.7,0.8,0
0,0.823864,0.909091,8,0.25,67,1,0
0,0.703704,1,1,0.375,6.3,1.1,0
0,0.638889,1,0,0.320513,31.384615,1.8462,0
0,0.5,1,0,0.416667,14.222222,0.6667,1
0,0.6,1,0,0.555556,208.666667,1,0
10,0,1,1,0.45,5.4,1,0
0,2,0,0,1,26.5,2,0
5,0,1,0,0.114583,5.055556,0.9444,0
0,0.69697,1,0,0.3,24.166667,1.3333,0
0,0.333333,1,1,0.9,27.2,2.2,0
1,0.921717,0.777778,2,0.207729,27.26087,2.3913,1
0,2,0,0,0.555556,65,2.3333,0
0,0.384615,1,1,0.333333,9.785714,0.6429,0
0,1,0,0,0.5,25.4,0.8,0
0,0.859375,0.761905,1,0.257576,126.333333,5.6061,0
0,1.037037,0.666667,0,0.266667,25.857143,1.1429,0
0,2,0,0,1,15.5,0.5,0
0,2,0,0,0.108359,0,1,0
0,0.714286,1,0,0.75,12.625,1.75,0
0,0.7,1,0,0.416667,21.166667,0.8333,0
0,0.970476,0.6,4,0.105495,25.56044,1.4945,0
0,0.633333,1,0,0.242188,21.3125,1.75,0
0,0.964006,1,6,0.206349,11.125,1.4722,0
0,0.916667,0.25,2,0.25,58.909091,1,1
0,1.5,0,0,0.666667,0,1,0
0,0.583333,1,0,0.714286,6.285714,0.8571,0
0,2,0,0,1,0,1,0
0,1,0,0,0.5,48.666667,0.6667,0
0,0.8,1,0,0.444444,10.166667,1.5,0
0,0.666667,0,0,0.342857,35.714286,3,0
0,0.6,1,0,0.272109,28.809524,3,0
0,2,0,0,0.333333,47.75,0.75,0
0,0.82,1,2,0.16129,20.387097,1.0323,1
0,0,1,2,0.666667,86.333333,5,0
26,0.714286,1,0,0.6875,9.625,1.5,0
0,0.666667,1,0,0.5,10.5,0.75,0
0,0.785714,0.5,0,0.166667,45.875,1.25,0
4,0.045455,1,0,0.093822,6.73913,1.2609,0
0,0.8819,0.684211,1,0.176829,31.142857,1.9286,0
0,0.628571,1,1,0.325,37.75,0.875,0
0,0.666667,1,0,0.75,36.75,0.75,0
0,0.693878,0.571429,0,0.25,43.75,5.375,0
0,0.683333,1,0,0.232323,15.727273,0.9091,0
0,0.9,0.6,0,0.285714,73.8,2.1,0
0,0.8,0.5,0,0.2,20.166667,1.3333,0
0,0.793651,1,0,0.45,35.2,1.1,0
2,0.555556,1,0,0.5,15,1.2,0
0,0.75,0.5,0,0.294737,25.157895,2,0
0,2,0,0,0.666667,8,0.6667,0
1,0.863636,1,0,0.142045,49.647059,1.1471,1
0,0.666667,1,1,0.3,15.3,1.4,0
0,0.166667,1,0,0.625,34,1,0
0,2,0,0,0,0,0,0
0,2,0,0,0,0,0,0
0,0.833333,0.666667,0,0.466667,32,0.6,0
1,0.869231,1,2,0.166667,20.925926,1.1481,1
0,2,0,0,1,4,0,0
0,0.7,1,0,0.555556,10.666667,0.8333,0
0,0.7,1,0,0.428571,18,0.8571,0
0,0.75,0,0,0.44,15,2,0
0,0.896842,1,4,0.221154,32.153846,1.1538,1
0,0.866071,0.285714,1,0.163399,31.647059,1.5294,0
0,0.458333,1,2,0.392857,27.142857,2.1429,0
0,0.714286,1,0,0.142857,10,0.875,0
0,0.733333,1,0,0.180556,22.625,1.1563,0
0,0.65,1,0,0.327273,13.909091,1.2727,1
0,0.818182,0,0,0.15,37.583333,1.8333,0
0,0.823232,0.909091,1,0.305263,43.105263,2.2105,1
0,0.805195,1,1,0.261905,11.416667,1.25,0
0,2,0,0,1,15.5,0.5,0
0,0.733333,1,0,0.5,14.333333,0.8333,0
0,0,1,0,0.666667,8.333333,0.6667,0
0,0.729167,1,0,0.3125,22.111111,1.4444,0
0,0.5,0,0,0.666667,153.285714,0.8571,0
0,0.849265,1,0,0.188889,41.333333,0.9444,1
0,0.542857,1,1,0.34375,16,1.625,0
0,0.5,1,0,0.666667,8.333333,0.6667,0
0,0.641975,1,0,0.197531,20.392857,2.25,0
0,2,0,0,1,11.333333,1.3333,0
0,0.683333,1,2,0.22619,33.095238,1.9048,1
0,0.571429,1,0,0.375,21,1.125,0
0,2,0,0,0.666667,14.5,0.5,0
0,2,0,0,0.45,33.25,2.75,0
0,0.813725,0.882353,0,0.141414,88.631579,2.5263,1
0,2,0,0,1,0,1,0
0,0.535714,1,0,0.541667,12,1.25,0
0,0.5,1,0,0.666667,26,0.6667,0
0,2,0,0,0.407407,10.555556,1.6667,0
0,2,0,0,1,0,1,0
0,0.694444,1,1,0.45,22.2,1.4,0
0,0.75,1,0,0.533333,12.6,0.8,0
0,0.866667,1,0,0.5,21,1.75,0
0,0.8,0.666667,2,0.6,14.333333,1.3333,0
0,0.94,0.966667,10,0.1375,25.777778,1.6543,1
0,2,0,0,1,3,0,0
0,2,0,0,0.444444,0,1,0
2,0.5,1,0,0.833333,7,1.3333,0
1,2,0,0,0.555556,16.333333,1.6667,0
0,0.666667,1,0,0.533333,18.2,0.8,0
0,0.714286,1,0,0.325,33.75,1.25,0
0,0.666667,1,1,0.75,13.25,0.75,0
0,0,1,0,0.75,20.5,0.5,0
1,0.752525,1,2,0.257576,32.911765,2.5,0
0,0.75,0.333333,0,0.466667,19.6,1,1
0,0.458333,1,2,0.392857,26.857143,2.5714,0
0,0,1,0,0.533333,12.6,1.2,0
0,0.910256,1,1,0.595238,27,1,0
0,0.75,0.5,0,0.666667,33,0.6667,0
0,2,0,0,0.555556,16.333333,1.6667,0
0,0.857143,0.142857,1,0.259259,32.666667,0.8889,0
2,0.666667,1,0,0.615385,7.230769,0.7692,1
0,0.714286,1,0,0.277778,43.733333,0.9333,0
0,0.809524,1,1,0.309091,16.045455,1.7273,0
0,0,1,0,0.125,7.375,0.9375,0
0,2,0,0,0.875,3,0.75,0
0,0.84,0.5,0,0.215909,33.636364,2.7273,0
0,0.75,1,3,0.2125,31.1,1.5,1
0,0,1,0,0.444444,6.333333,0.8333,0
52,0.818182,1,4,0.246377,9.73913,1.1739,0
0,2,0,0,1,123,0.5,0
0,0.866667,1,0,0.444444,38,0.8333,0
0,1,0,0,0.5,47.5,3,0
0,1.242424,1,0,0.5,79.333333,5.6667,0
0,2,0,0,0.75,9,0.5,0
0,0.708333,0.5,0,0.342857,29.142857,2.8571,0
3,0.8,1,2,0.226667,22.25,2.0625,0
0,0.666667,1,0,0.714286,4.714286,0.8571,0
0,0.914783,0.36,0,0.322981,48.083333,1.9167,0
0,1,0,0,0.5,48.333333,0.6667,0
2,2,0,0,0.666667,8,0.6667,0
0,0,1,0,0.555556,9.333333,0.6667,0
0,0,1,0,0.666667,9.666667,0.6667,0
0,0.333333,1,0,0.4375,19.5,2,0
0,0.571429,1,1,0.3,18.875,1,0
0,2,0,0,0.5,16.75,0.75,0
0,0,1,0,0.428571,11.571429,1,0
0,2,0,0,1,0,1,0
2,0.714286,1,0,0.4375,16.875,0.875,0
0,0.7,1,2,0.287879,24.545455,1.9091,0
5,0.333333,1,1,0.4375,3.25,0.75,0
0,0.6,1,0,0.666667,7.666667,0.8333,0
0,2,0,0,1,32,2,0
0,2,0,0,0.333333,29,5,0
0,2,0,0,0.5,5.666667,1,0
0,0.781057,0.787234,1,0.20625,60.46875,4.0938,0
0,0.928571,0.8,0,0.278571,45.310345,2.6207,1
0,0.946302,0.952381,4,0.154167,15.5625,1.375,0
0,0,1,1,0.666667,20.333333,0.6667,0
1,0.918193,0.952381,2,0.194444,19.85,1.6,1
0,2,0,0,1,5,0,0
0,2,0,0,0.444444,28.333333,0.6667,0
0,0.5,1,0,0.7,6.2,0.6,0
0,0.93254,1,1,0.342857,38.733333,2.7333,1
0,2,0,0,0.75,13,1,0
0,0.3125,0.75,1,0.583333,12,0.6,0
0,2,0,0,1,21,0.5,0
0,2,0,0,0.875,4,0.75,0
0,2,0,0,1,3,0,0
1,0.5,1,0,0.9,25.2,1.8,0
0,0.333333,1,0,0.875,4.75,0.75,0
0,0.776812,0.933333,6,0.13834,27.875,1.75,1
2,0.796429,1,1,0.076352,15.853659,1.6585,0
1,0.946429,1,3,0.223214,10.866667,1.0667,0
0,0.75,1,1,0.327273,27.272727,3,0
0,0.892308,0.615385,1,0.3,30.636364,2.1818,0
0,0,1,0,0.75,31,0.5,0
0,0.5,1,0,0.533333,20.2,1.4,0
0,0.666667,1,0,0.342857,35.571429,0.8571,0
0,0,1,0,0.75,8.5,0.5,1
0,2,0,0,0.6,116.4,5.8,0
0,0.333333,0,0,0.714286,12.571429,1.4286,0
0,0.5,1,0,0.5,28.333333,0.3333,0
0,0.7,1,0,0.555556,10.833333,0.8333,0
5,0.4,1,0,0.5,5.333333,1.3333,0
1,2,0,0,0.555556,16.333333,1.6667,0
0,0.886364,0.727273,2,0.232143,30.333333,1.0476,1
0,0.65625,1,0,0.518519,8.333333,0.8889,0
1,0.872727,1,2,0.24,19.307692,1.1923,0
0,0.333333,1,0,0.75,22.25,0.75,0
0,0.631818,0.818182,0,0.293651,27.857143,0.8571,0
0,2,0,0,0,2052,0,0
13,0.666667,1,1,0.266667,13.3,1.2,0
1,0.75,1,0,0.271605,49.222222,1.3333,1
0,2,0,0,0.75,0,1,0
0,2,0,0,1,0,1,0
0,0.9,1,1,0.26,64.818182,8.4545,0
0,0,1,2,0.6,90.5,5,0
0,0.806818,0.875,0,0.140909,18.73913,1.4783,0
0,0.428571,1,0,0.3125,21.375,2,0
0,0.896552,1,3,0.204167,22.566667,1.4667,0
0,2,0,0,0.271429,0,1,0
0,0.849817,1,3,0.309091,36.454545,1.2273,1
0,0.666667,1,0,0.346939,56.625,3.875,0
1,2,0,0,0.5,14.5,0.75,0
0,0.533333,1,0,0.833333,13.166667,0.8333,1
0,0.697917,1,0,0.708333,22.076923,3.4615,0
0,2,0,0,1,10.5,0.5,0
0,1,0,0,0.5,29.666667,0.6667,0
1,0.75,1,0,0.7,5,0.8,0
0,0.555556,1,0,0.47619,14.428571,1.4286,0
0,2,0,0,0.75,4,0.5,0
0,0.786667,1,2,0.25,28.375,1.4375,0
0,0.722222,1,1,0.4,13.1,1.3,0
2,0.583333,1,1,0.464286,11.571429,0.8571,0
0,2,0,0,1,65,0.5,0
0,2,0,0,0,0,0,0
0,0,1,0,0.342857,19.857143,1,0
0,2,0,0,0.625,0,1,0
0,2,0,0,1,0,1,0
0,0.333333,1,0,0.5,16,0.75,0
