@relation 'postgres-weka.filters.unsupervised.attribute.Remove-R1,2-weka.filters.unsupervised.attribute.Remove-R2-3,12-13'

@attribute ns numeric
@attribute entropy numeric
@attribute la numeric
@attribute ld numeric
@attribute lt numeric
@attribute fix numeric
@attribute ndev numeric
@attribute pd numeric
@attribute npt numeric
@attribute sexp numeric
@attribute bug {1,0}

@data
2,0.252004,0.11642,0.002019,495.333333,1,10,145,0.666667,23284,1
11,0.999605,0.006435,0.006435,308.458438,0,22,110642,0.255668,29775,0
1,0,1,1,0,0,3,112,1,82,0
1,0,0.034161,0.024845,322,0,10,30,1,7281,0
2,0.721928,0.008216,0.003521,426,1,8,135,1,16483,0
5,0.788136,0.002932,0.01686,378.944444,0,17,2076,0.555556,26937,0
3,0.825826,0.010384,0.028037,128.4,0,10,6417,0.466667,22822,0
1,0,0.0199,0.014925,201,1,4,0,1,7253,0
2,0.670926,0.051661,0.01845,180.666667,0,10,562,1,4684,0
2,0.697884,0.028627,0.009835,711.75,1,13,0,0.125,2272,0
2,0.647772,0.00857,0.027674,700.125,0,13,0,0.125,2264,1
2,0.697884,0.028627,0.009835,711.75,1,13,707,1,2256,0
2,0.878657,0.019115,0.014885,395.782609,1,13,3121,0.565217,15586,1
3,0.590464,0.269697,0.262626,330,0,11,161,1,15513,1
3,0.559355,0.00729,0.069745,411.5,1,12,579,0.8,655,0
3,0.9047,0.011365,0.002879,1099.833333,1,13,518,1,23447,1
2,0.819448,0.002859,0.002859,1865.666667,0,13,198,1,21242,0
4,0.863253,0.008439,0.003882,987.5,1,12,275,1,14325,0
3,0.948019,0.015059,0.007888,697.25,0,8,58,0.75,8878,0
1,0,0.034091,0.001894,528,0,2,0,1,273,1
1,0,0.393145,0.028226,496,0,2,176,1,260,0
2,1,0.002176,0.004353,459.5,0,10,110,1,10408,0
1,0.574295,0.024912,0.023287,738.6,0,11,103,0.8,2110,1
1,0,0.501511,0.175227,331,0,2,1,1,46,0
2,0.521921,0.026743,0.002708,738.5,1,12,68,1,21042,1
3,0.994737,0.011482,0.015658,319.333333,0,4,24,1,9059,1
2,0.992774,0.021769,0.005442,367.5,1,4,6,1,13620,0
4,0.960011,0.002578,0.002578,1016,0,14,904,0.952381,13773,0
4,0.467097,0.071372,0.017145,627,0,11,205,1,21528,1
1,0,0.149418,0.007115,1546,0,5,3,1,473,0
1,0,0.071429,0.047619,42,0,4,34,1,3184,0
3,0.400205,0.015723,0.141509,106,0,6,81,1,20033,1
1,0,0.329843,0.001745,573,0,8,85,1,9004,0
2,0.749595,0.004715,0.002619,954.5,0,11,61,1,423,0
2,0.740013,0.008773,0.023455,1260.111111,0,14,603,0.611111,12068,1
1,0,0.125,0,8,0,1,18,1,38,0
4,0.445366,0.025599,0.06507,605.5,0,12,298,1,21197,1
5,0.72813,0.015641,0.018896,821.288462,0,18,6548,0.653846,13395,1
1,0,0.1,0.016667,240,0,3,0,1,57,0
1,0,0.009346,0.009346,214,0,3,0,1,51,0
3,0.482159,0.041916,0.011976,55.666667,0,5,296,1,8523,1
1,0,0.126984,0.063492,63,1,3,6,1,120,1
3,0.902642,0.042453,0.042453,212,1,4,186,1,206,1
1,0,0.02027,0.006757,296,0,7,40,1,6320,1
1,0.811876,0.026536,0.00688,407,1,5,100,1,1178,1
1,0,0.114286,0.142857,35,0,1,2,1,81,1
3,0.926371,0.005829,0.006477,772,0,10,31,0.375,3546,1
2,0.94566,0.047794,0.033088,136,0,5,20,1,5877,1
1,0.85035,0.026161,0.015648,511.25,0,10,696,0.75,1820,1
1,0,0.018361,0.000656,1525,0,10,14,1,12225,0
2,0.927557,0.056122,0.015306,130.666667,1,8,0,1,5817,1
2,0,0.005952,0.007937,252,0,8,9,1,12235,0
2,0.717633,0.026559,0.026223,297.45,0,12,1069,0.85,17949,1
1,0,0.012681,0.009058,552,0,1,1,1,39,0
1,0,0.074928,0.002882,347,0,8,13,1,5750,0
1,0,0.008421,0.008421,475,1,8,2,1,12164,0
2,0.526698,0.051698,0.008616,493.25,0,11,203,1,966,0
4,0.654663,0.015127,0.084628,407.666667,0,9,234,0.833333,1126,1
1,0,0.291751,0.231388,497,0,6,57,1,253,0
1,0,0.014118,0.002353,425,0,6,39,1,12023,0
2,0.641375,0.032582,0.007643,621.5,0,10,93,1,8837,0
1,0,0.024194,0.008065,248,1,2,4,1,638,1
1,0,0.00247,0.013247,4454,0,10,10,1,394,1
3,0.516975,0.078325,0.039744,573.111111,0,10,194,0.444444,19443,1
2,0.391989,0.100303,0.023634,755.571429,1,11,14,0.071429,17645,1
3,0.51438,0.067718,0.057413,679.285714,1,10,336,0.857143,19378,0
2,0.650022,0.056478,0.023256,150.5,0,8,0,1,5633,1
1,0.868401,0.010086,0.010807,462.666667,1,4,0,0.333333,985,0
1,0,0,0,44,0,1,0,1,20,1
5,0.923907,0.007093,0.008511,459.73913,0,11,1926,0.565217,1077,0
1,0.267245,3,3,0,0,8,7908,0.42623,459,0
1,0.761606,0.027708,0.029274,830.1,0,11,418,0.6,348,1
3,0.5,0.031746,0.031746,15.75,0,5,306,1,609,0
1,0,0,0,119,0,1,0,1,15,1
2,0.885469,0.028133,0.028133,26.066667,0,6,5871,0.666667,11171,1
1,0,0.888889,1.111111,9,0,2,1671,1,11152,0
1,0,0.027842,0.030162,431,0,1,25,1,11150,0
1,0.400158,0.015393,0.130621,478.684211,0,10,762,0.631579,4895,1
1,0,0.001468,0.001468,2044,1,7,0,1,1600,0
1,0.916102,0.032967,0.059655,212.333333,0,4,337,1,308,0
2,0.817499,0.024972,0.035912,1005.555556,0,10,449,0.666667,778,1
3,0.812973,0.208298,0.043174,509.571429,1,8,542,0.571429,17203,1
2,0.994985,0.019305,0.003861,518,0,6,112,1,666,0
1,0,0.02459,0.004098,244,0,7,1,1,1466,0
2,0.485461,0.074349,0.066914,134.5,1,8,22,1,360,0
1,0,0.02,0.011429,1400,1,9,0,1,4010,1
1,0.902344,0.004108,0.014378,456.4375,0,7,618,0.34375,141,0
2,0.994888,0.019819,0.013024,588.666667,0,6,21,0.666667,11164,0
3,0.979548,0.006184,0.00889,301.85,1,12,9370,0.416667,789,1
1,0,0.016575,0.006906,724,1,4,0,1,3638,0
2,0.322458,0.102722,0.028095,379.666667,1,6,14,0.666667,4907,1
1,0,0.006392,0.005682,1408,0,6,51,1,2,1
2,0.277712,0.315193,0.29932,220.5,0,2,4,0.5,4282,0
2,0.914661,0.012005,0.026411,166.6,0,8,190,1,534,0
3,0.818998,0.047925,0.073407,427.75,1,10,869,0.7,3892,1
2,0.627416,0.104102,0.108062,589.166667,0,10,35,1,3587,1
1,0.888521,0.020225,0.004494,333.75,0,5,174,1,42,1
1,0.970951,0.008011,0.003115,1123.5,0,10,4,0.5,303,0
1,0.970951,0.029412,0.029412,85,0,2,4,0.5,252,1
3,0.98283,0.001774,0.008869,644.285714,0,10,97,0.285714,2697,1
3,0.37819,0.016382,0.048123,586,1,10,101,1,263,1
4,0.70316,0.018511,0.014885,524,1,10,708,0.7,393,1
2,0.788811,0.125628,0.112563,497.5,1,7,15,1,204,1
1,0.607312,0.025199,0.03183,188.5,1,6,646,0.75,27,0
1,1,0.003058,0.003058,327,0,5,0,0.5,736,1
1,0,0.014793,0.014793,338,0,4,20,1,23,0
5,0.914126,0.005737,0.00566,895.655172,0,12,935,0.586207,341,0
2,0.811278,0.023346,0.007782,128.5,1,10,1251,1,4334,0
3,0.783092,7,7,0,0,6,9702,0.583333,15226,0
2,0.944115,0.001191,0.008339,1399,0,8,385,1,13948,0
1,0,0.065789,0.013158,76,1,4,852,1,4229,0
3,0.834641,0.00372,0.003044,1182.8,1,12,413,0.8,14269,0
1,0,0.0199,0.014925,201,1,4,70,1,7254,0
1,0.721928,0.05364,0.01341,261,0,10,206,1,4187,0
1,0.961237,0.026066,0.004739,211,1,9,828,1,53,0
2,0.56651,0.037344,0.024896,120.5,1,8,70,0.5,6456,0
10,0.999809,0.005864,0.005864,339.932745,0,24,155710,0.179713,34265,0
1,0.961237,0.027708,0.005038,198.5,0,9,34,1,50,0
1,0,0.028,0.004,500,1,9,2,1,16,0
3,0.624794,0.051386,0.00166,1095.090909,0,18,947,0.727273,62,1
1,0,0.005831,0.005831,343,0,6,32,1,551,0
3,0.742048,0.013651,0.004179,1435.8,0,15,225,0.8,19102,0
1,0,0.186441,0.101695,59,1,3,45,1,161,0
2,0.890492,0.047393,0.014218,105.5,0,3,2,0.5,6510,0
1,0,0.011549,0.002717,1472,0,6,2,1,13167,0
4,0.802678,0.115478,0.082159,468.2,0,10,344,0.666667,19907,1
1,0,0.036478,0.002516,795,0,4,90,1,11903,1
2,0.903214,0.009371,0.009371,498,0,9,79,1,175,0
1,0,0.028807,0.028807,243,1,7,0,1,5060,1
2,0.972694,0.033999,0.031781,451,0,5,15,0.333333,161,0
1,0,0.000677,0.006093,1477,1,6,7,1,108,0
1,0,0.025068,0.00542,1476,1,6,26,1,104,1
1,0,0.006472,0.003236,618,1,3,34,1,692,0
1,0,0.008278,0.006623,604,0,3,16,1,215,1
2,0.950742,0.019713,0.035842,186,0,8,6,0.333333,47,1
2,0.797195,0.032275,0.015113,650.666667,0,10,78,0.666667,4182,1
1,0.99789,0.011765,0.055882,85,0,8,47,0.5,147,0
2,1,0.001134,0.004535,882,1,9,2,0.5,9666,0
2,0.803114,0.048387,0.072581,41.333333,1,4,884,1,365,1
2,1,0.004751,0.001188,842,1,9,20,1,9639,1
1,0.5,2,2,0,0,2,2206,0.5,264,0
3,0.722812,0.054531,0.080816,254.9,1,10,171,0.3,13151,1
1,0.764205,0.006568,0.022989,304.5,0,3,274,1,198,0
3,0.653239,0.040841,0.007924,386,1,11,284,0.588235,13256,1
1,0,0,0,31,1,1,0,1,8838,1
3,0.810308,0.041356,0.034739,302.25,1,6,348,1,298,0
3,0.964853,0.004333,0.009947,597.294118,0,11,446,0.705882,259,1
2,0.721928,0.007407,0.02963,135,1,7,190,1,226,0
1,0.825627,0.110132,0.008811,113.5,1,7,162,1,3636,0
1,0.970951,0.006126,0.001531,326.5,1,5,15,1,729,1
1,1,0.035541,0.035541,309.5,1,4,184,1,195,0
1,0,0.037736,0.005391,371,1,9,293,1,17,0
2,0.947354,0.00762,0.00762,341.2,0,9,351,0.8,137,1
2,0.965039,0.019476,0.028464,222.5,0,10,246,0.333333,26164,0
4,0.525496,0.081822,0.037619,842.181818,0,12,799,0.5,10001,1
4,0.88602,0.051754,0.035952,627.090909,1,10,196,0.818182,10739,1
4,0.839861,0.059528,0.028146,386.375,1,9,254,0.375,9635,0
1,1,0.008511,0.055319,235,0,7,4,0.5,2949,0
9,0.988751,0.009216,0.000353,190.932692,0,12,39945,0.423077,29466,0
1,0,0.009091,0.009091,110,1,3,4,1,1168,0
1,0,0,0,146,0,1,0,1,1002,0
1,0,1,1,0,0,2,2,1,1001,0
1,0,0.06903,0.886194,178.666667,0,3,62,0.666667,1500,1
1,0.867528,8,8,0,0,8,1053,0.666667,820,0
2,0,0.00692,0.00692,144.5,0,12,20,1,374,1
1,1,2,2,0,0,3,146,1,651,0
3,0.583438,0.008117,0.000902,1108.75,0,14,33,0.75,22537,0
1,0,1,1,0,0,5,7,1,592,0
1,0.482995,5,5,0,0,7,13730,0.607143,583,0
1,0,0,0,0,0,2,1046,1,441,0
1,0,0,0,229.75,0,1,0,0.25,140,0
1,0,0.067308,0.038462,104,1,3,169,1,16,0
1,0,0,0,35,0,1,0,1,15,0
1,0,0.018913,0.016548,38.454545,0,4,44,0.272727,253,0
2,0.927363,0.004989,0.004989,467.733333,0,10,1883,0.6,1522,1
1,0.976978,0.014726,0.01071,149.4,1,4,465,0.6,174,0
1,0.7858,0.344114,0.121604,96.625,0,2,542,0.25,167,1
1,0,1,1,0,0,4,102,1,832,0
3,0.630069,0.093857,0.082765,390.666667,0,4,281,1,23848,1
1,0,1,1,0,0,3,172,1,585,0
1,0,0,0,69,0,1,0,1,5,0
1,0,0,0,176,1,1,0,0.5,349,1
1,0,0,0,565,0,1,0,1,333,1
3,0,0.00641,0.000256,780,1,8,172,0.6,11347,1
1,0,0,0,498,0,1,0,1,1,0
1,0,0,0,0,0,2,3632,0.714286,182,0
1,1,4,4,0,0,2,658,0.75,122,0
1,0.649199,0.211957,0.154891,61.333333,0,2,896,0.333333,49,0
1,0,0.018265,0.018265,219,0,6,120,1,492,0
6,1,0.013825,0.013825,72.33241,0,15,63319,0.191136,888,0
1,0,1.734513,1.725664,226,0,2,0,1,760,0
1,0,0.008811,0.008811,227,0,3,65,1,1485,0
2,0.82235,0.131537,0.161648,210.333333,0,5,377,1,14500,1
1,0,0.078603,0.087336,229,0,3,0,1,868,0
4,0.991404,0.003641,0.006862,595.083333,0,16,607,0.75,19630,0
1,0,0.008621,0.008621,232,1,3,16,1,135,0
3,0.977872,0.003204,0.003204,678.478261,0,16,1056,0.73913,24964,0
1,0,0,0,225,0,1,0,1,1348,0
1,0.728664,0.166667,62.4,3.333333,1,4,711,0.333333,233,1
1,0,0.004651,0.004651,215,1,2,56,1,40,0
1,0,0,0,0,1,3,218,0.5,896,0
7,0.835969,0.010956,0.011034,675.96875,0,15,6173,0.40625,18916,1
4,0.885488,0.05568,0.048028,503.064516,0,12,4679,0.526882,3599,1
3,0.492947,0.156696,0.343984,367.75,0,9,297,0.625,2659,1
1,0,0.084,0.08,250,0,3,43,1,24,1
1,0,0.008065,0.008065,248,0,3,4,1,7,0
9,0.764409,0.190039,0.163327,306.486175,0,14,24938,0.387097,13652,1
3,0.857729,0.036274,0.0206,203,1,9,1189,0.545455,11928,0
10,0.795008,0.099168,0.091203,290.694175,0,13,27186,0.402913,9861,1
1,0,0.017391,0.008696,230,1,2,53,1,128,0
1,0.168661,0.381323,0.085603,128.5,0,2,474,1,126,0
9,0.747293,0.114764,0.102425,245.062201,0,8,18129,0.334928,5085,1
3,0.522553,0.106111,0.109207,346,1,5,654,0.714286,2568,1
1,0,1.165803,0.974093,193,0,2,58,1,42,1
5,0.894389,0.014584,0.013098,414.593023,0,5,86,0.011628,2500,1
9,0.853902,0.246165,0.245462,182.167721,0,7,0,0.001582,2496,1
10,0.86422,1.331029,1.211044,168.47016,0,7,103931,0.411936,1868,1
1,0,0,0,119,0,1,0,0.5,4,1
1,0,0,0,119,0,1,0,0.5,4,0
1,0.534944,0.143885,0.003597,139,1,3,434,1,631,0
1,0,0,0,25,0,1,0,1,43,0
1,0,0.023952,0.023952,167,0,4,4,1,1288,0
3,0.794365,0.01293,0.00757,786.869565,1,20,2595,0.565217,28,0
3,0.279121,0.06998,0.002616,509.666667,0,12,280,0.666667,239,1
3,0.287196,0.150557,0.048059,736.6,0,13,369,0.3,26042,1
1,1,0.009009,0.003003,333,0,2,5,1,1202,0
2,0.650022,0.004756,0.00517,2418,1,15,0,0.5,18733,0
1,0,0,0,133,0,1,0,1,1187,1
1,0,0,0,176,0,1,0,0.25,186,1
1,0,0.407407,0.018519,27,0,2,134,1,3,0
1,0.744722,0.183612,0.183612,219.666667,1,1,378,0.333333,204,0
1,0,0,0,11,1,1,0,1,204,0
1,0,0,0,299,0,1,0,1,1229,0
4,0.583046,0.029637,0.018443,612.837209,0,18,16164,0.44186,24410,1
1,0.85704,0.020913,0.021863,175.333333,1,4,430,0.333333,59,0
11,0.865288,0.035529,0.034,512.914373,0,24,129806,0.336391,36182,1
1,0.62962,0.053348,0.175936,176.2,0,3,920,0.4,198,0
1,0.459824,0.507326,1.481685,91,0,3,642,0.5,114,0
1,0,0,0,28,0,1,0,0.5,762,0
1,0.680526,0.075228,0.053186,130.4375,0,3,96,0.125,153,0
1,0,0.030769,0.05641,390,1,2,109,1,585,0
1,0,0.019553,0.041899,358,0,1,1,1,121,0
1,0,0,0,365,0,1,0,1,120,0
1,0,0.030769,0.05641,390,1,2,117,1,586,0
9,0.993936,0.024628,0.001841,131.656566,0,17,58392,0.454545,276,0
2,0.918296,0.002568,0.002568,584,0,7,234,1,1014,0
1,0,0.096491,0.535088,114,0,3,103,1,748,0
1,0.999159,0.085635,0.071823,120.666667,1,4,22,0.666667,649,0
1,0,0,0,93.5,0,2,167,1,762,0
1,0.812868,0.02616,0.00211,395,0,6,221,1,737,1
10,0.864835,0.024859,0.02392,676.766749,0,27,13708,0.317618,37626,1
1,0.996374,0.07164,0.041008,144.571429,1,6,2436,0.071429,571,0
2,0.86588,0.072715,0.029588,286.385965,0,10,9471,0.508772,3026,1
3,0.951646,0.006145,0.004314,420.495575,0,18,6992,0.309735,786,0
6,0.971742,0.003166,0.004523,368.5,0,11,868,0.666667,20264,0
1,0.957742,0.009901,0.0009,158.714286,0,5,528,0.857143,1394,0
1,0.774384,0.078616,0.115454,123.666667,1,4,3879,0.166667,239,1
1,0,0,0,118.055556,0,1,0,0.055556,114,0
10,0.831539,0.085352,0.076017,460.796964,0,19,15793,0.155598,26194,1
1,0.853604,0.057263,0.057263,238.666667,0,2,240,0.666667,424,0
1,0.811278,0.012158,0.012158,164.5,0,4,79,1,1100,1
1,0,0.090909,0.017045,176,1,3,63,1,526,0
1,0,0.030303,0.030303,165,0,2,0,1,188,0
1,0,0.131148,0.065574,183,1,3,328,1,218,0
1,0,0.096591,0.045455,176,1,3,326,1,527,0
1,0,0.106509,0.094675,169,1,2,269,1,193,0
1,0,0.048193,0.042169,166,1,2,268,1,192,0
1,0,0.030303,0.030303,165,0,2,263,1,189,0
1,0.949452,0.06087,0.049275,172.5,1,3,526,0.5,187,0
1,0.949452,0.06087,0.049275,172.5,1,3,352,0.5,185,1
1,0,0,0.02924,171,1,3,180,1,190,0
1,0,0,0.02924,171,1,3,189,1,191,0
11,0.848207,0.113253,0.107249,395.207792,0,22,99102,0.402597,28188,1
1,0,0.002618,0.002618,382,1,4,5,1,60,0
7,0.662945,0.019962,0.019037,998.038462,0,17,382,0.115385,25919,1
1,1,0.125,0,40,0,3,680,0.666667,1363,0
3,0.920296,0.005065,0.013086,592.25,1,12,326,0.75,775,0
1,0.453716,0.018182,0.109091,82.5,0,6,524,1,502,0
1,0,0.009709,0.07767,103,0,4,45,1,356,0
2,0.938545,0.056903,0.056903,79.407407,0,5,1176,0.074074,6105,0
1,0,0.018519,0.018519,108,0,3,253,1,5,0
1,0,0.064815,0.027778,108,1,3,44,1,17,0
9,0.885833,0.015906,0.015539,206.39243,1,16,6127,0.057769,18641,1
1,0,0.068627,0.068627,102,1,1,1,1,4,0
1,0,0.480392,0.333333,102,0,1,1,1,3,1
1,0,0.033708,0.033708,89,0,1,24,1,2,0
1,0,0,0,89,0,1,0,1,1,1
1,0.453716,0.018182,0.109091,82.5,0,6,610,1,504,0
1,0,0,0,148,0,1,0,1,1176,0
2,0.842798,0.016232,0.004754,1078.125,0,16,377,0.5,24719,0
1,0,0.005423,0.009761,922,0,8,0,1,16684,0
1,0,0.001843,0.001229,1628,1,14,112,1,280,0
1,0,0.078562,0.197071,250.333333,1,2,998,1,361,0
1,0.515273,0.004252,0.005952,392,1,2,630,1,260,0
1,0,0,0,312,0,1,0,0.5,73,0
1,0.698726,0.013443,0.001867,446.333333,0,4,458,0.666667,838,0
1,0,0,0.12426,676,0,4,36,1,589,0
1,0,0,0,30,0,1,0,0.5,73,0
1,0,0.089172,0.126327,942,1,4,45,1,1171,0
1,0.133368,0.194416,0.139607,483.5,1,4,16,0.5,469,0
9,0.800052,0.083189,0.067368,499.716475,0,21,33016,0.429119,31406,1
1,0,0.010941,0.013129,914,1,4,2,1,808,0
1,0.840404,0.003254,0.031453,345.75,0,5,1604,0.5,77,0
3,0.318309,0.010922,0.051375,353.142857,0,10,467,0.571429,633,1
1,0.318215,0.035971,0.038849,695,1,3,32,0.5,440,0
1,0,0.10199,0.003731,804,1,2,83,1,758,0
1,0,0.012179,0.002706,739,1,2,72,1,751,0
1,0.041049,0.336957,0.275815,368,1,2,305,1,675,1
1,0,0.02695,0.031206,705,1,2,297,1,177,1
1,0,0.036585,0.020325,984,1,4,627,1,1173,0
1,0,0.18866,0.138144,970,1,4,178,1,471,0
1,0,0.089267,0.126461,941,1,4,359,1,1172,0
1,0,0.555556,0.111111,9,1,3,1638,1,471,0
2,0.916964,0.003381,0.003381,961.25,1,8,146,0.75,380,1
4,0.80585,0.005725,0.005725,1286.181818,1,12,377,0.909091,14742,0
1,0,0.591904,0.202407,914,0,4,27,1,1398,1
1,0.216397,0.021563,0.01752,371,1,2,20,1,727,1
1,0,0,0,292,0,1,0,0.333333,189,0
1,0,1.227642,0.455285,123,0,2,58,1,44,1
6,0.923084,0.002216,0.02542,439.227679,0,7,20586,0.334821,4092,1
4,0.745517,0.02545,0.03048,621.3125,0,5,204,0.4375,3776,1
8,0.893762,0.046437,0.046312,233.857143,0,7,337,0.007264,2988,1
1,0,0,0,14.666667,0,1,0,0.333333,47,0
1,0,0,0,37,0,1,0,0.333333,10,0
1,0,0,0,37,0,1,0,0.333333,10,0
1,0,0,0.002882,694,0,2,1,1,573,0
1,0,0.008333,0.008333,360,0,2,89,1,1353,0
7,0.98087,0.00293,0.00306,698.181818,0,14,2392,0.636364,24199,0
1,0,0.005571,0.005571,359,0,2,369,1,893,0
1,0,0.008357,0.013928,359,1,2,22,1,202,0
1,0.931002,0.018962,0.016592,281.266667,1,9,2872,0.733333,666,1
1,1,0.003717,0.003717,269,0,2,124,1,576,0
7,0.814054,0.023347,0.019705,198.631679,1,16,6365,0.022901,18007,1
1,0,0.015625,0.004261,704,1,2,78,1,805,0
1,0,0,0,135,0,1,0,0.333333,333,1
1,0,0.007937,0.001587,630,1,2,55,1,1275,0
1,0,0.007987,0.001597,626,1,2,12,1,686,0
1,0.791918,0.019837,0.016797,416.733333,0,6,2672,0.866667,680,1
1,0,0.024116,0.061093,622,0,2,256,1,542,0
1,0.918296,0.008287,0.004144,362,1,2,1002,1,432,0
1,0,0.003135,0,638,0,2,50,1,902,0
4,0.833583,0.006719,0.014373,611.25,0,13,1488,0.678571,10502,1
6,0.970081,0.004494,0.004494,518.0625,1,15,10617,0.6875,10346,0
2,0.672295,0.018329,0.009164,927.5,0,3,40,1,6107,0
3,0.854054,0.003531,0.003378,930.428571,0,9,237,1,4511,0
1,0,0.020144,0,695,0,2,56,1,572,1
2,0.998714,0.095205,0.059589,486.666667,1,5,9,0.666667,324,0
1,0.413817,0.015737,0.018598,349.5,1,2,277,1,142,0
1,0,0.007937,0.001587,630,1,2,63,1,1276,0
1,0,0,0.002717,368,1,5,26,1,945,0
5,1,0.013078,0.013078,152.928571,0,5,2746,0.785714,14280,0
1,0,0.04618,0.010076,1191,1,2,11,1,227,1
1,0.650022,0.073671,0.071256,414,0,2,41,1,172,0
1,0,0.153285,0.094891,137,1,1,4,1,341,0
1,0,0.046141,0.010067,1192,1,2,80,1,228,0
1,0,0.000672,0.008059,1489,0,9,10,1,6,0
4,0.846199,0.012039,0.022056,963.329897,0,22,2888,0.350515,189,1
1,0,0.159153,0.230874,1464,1,7,22,1,52,0
1,0,0.001318,0.001318,1517,1,6,38,1,50,1
1,0.629249,0.011456,0.001348,742,0,6,159,1,1257,0
1,0,0.004118,0.000686,1457,0,6,3,1,47,0
1,0,0.021521,0.025108,1394,1,6,151,1,45,0
1,0.907696,0.016257,0.012302,1138,1,7,102,1,1191,0
2,0.83263,0.028076,0.002808,1306,1,15,92,0.666667,1814,0
1,0,0.052015,0.042491,1365,0,6,89,1,42,0
1,0,0.00074,0.001479,1352,0,6,0,1,1565,0
