@relation 'KC1-weka.filters.unsupervised.attribute.Remove-R1-2,4-6,8-13,15,17-21'

@attribute ev(g) numeric
@attribute l numeric
@attribute lOComment numeric
@attribute locCodeAndComment numeric
@attribute defects {false,true}

@data
1,0.33,1,0,true
1,0.4,0,0,true
5,0.05,2,0,true
1,0.17,0,0,true
1,0.14,1,0,true
1,0.21,0,0,true
1,0.17,0,0,true
3,0.07,0,0,true
1,0.14,0,0,true
1,0.12,0,0,true
1,0.12,0,0,true
1,0.12,0,0,true
3,0.09,1,0,true
3,0.08,1,0,true
5,0.03,6,0,true
1,0.13,1,1,true
1,0.03,2,0,true
9,0.04,0,1,true
8,0.03,11,0,true
1,0.05,0,0,true
1,0.33,0,0,true
1,0.1,0,0,true
1,0.05,0,0,true
8,0.05,3,0,true
1,0.05,6,0,true
1,0.2,0,0,true
10,0.03,0,0,true
6,0.03,4,0,true
1,0.12,0,0,true
1,0.05,7,0,true
3,0.09,3,0,true
1,0.4,0,0,true
1,0.1,0,0,true
1,0.13,0,0,true
1,0.19,1,0,true
18,0.04,17,0,true
22,0.02,6,0,true
1,0.08,0,0,true
1,0.12,0,0,true
1,0,0,0,true
3,0.11,0,0,true
4,0.06,0,0,true
7,0.04,2,0,true
1,0.15,1,0,true
1,0.08,0,0,true
21,0.02,3,0,true
1,0.06,0,0,true
1,0.12,0,0,true
3,0.06,0,0,true
5,0.07,10,4,true
1,0.09,11,0,true
1,0.29,0,0,true
1,0.4,0,0,true
1,0.33,0,0,true
1,0.07,3,0,true
1,0.3,4,0,true
1,0.2,0,0,true
1,0.14,0,0,true
1,0.09,2,0,true
1,0.1,2,1,true
1,0.2,3,0,true
3,0.06,0,0,true
1,0.19,18,0,true
1,0.14,0,0,true
1,0.33,0,0,true
1,0.91,0,0,true
3,0.07,0,0,true
10,0.04,26,0,true
10,0.05,24,0,true
6,0.06,8,0,true
1,0.25,0,0,true
1,0.22,0,0,true
1,0.22,0,0,true
1,0.22,0,0,true
1,0.22,0,0,true
1,0.15,0,0,true
1,0.08,4,0,true
1,0.08,4,0,true
1,1,0,0,true
3,0.05,0,0,true
5,0.06,1,0,true
7,0.04,2,1,true
1,0.06,2,0,true
13,0.06,2,0,true
7,0.02,9,0,true
1,0.04,7,0,true
5,0.06,10,0,true
1,0.03,4,0,true
1,0.16,10,1,true
8,0.04,6,1,true
1,0.16,0,0,true
1,0.05,0,0,true
1,0.16,0,0,true
1,0.16,0,0,true
3,0.03,0,0,true
1,0.19,2,0,true
1,0.4,0,0,true
8,0.05,44,0,true
1,0.18,0,0,true
1,0.18,0,0,true
4,0.04,8,1,true
1,0.19,0,0,true
3,0.04,2,0,true
1,0.21,0,0,true
1,0.07,10,0,true
1,0.32,0,0,true
10,0.04,8,0,true
12,0.03,35,0,true
1,0.11,3,0,true
4,0.03,2,0,true
7,0.02,0,0,true
14,0.02,1,0,true
1,0.06,10,0,true
15,0.02,2,0,true
1,0.17,1,0,true
1,0.4,0,0,true
1,0.06,16,0,true
8,0.03,10,2,true
1,1,0,0,true
6,0.03,1,0,true
3,0.03,0,0,true
12,0.03,23,0,true
5,0.05,0,0,true
6,0.06,2,0,true
16,0.02,9,7,true
1,0.38,0,0,false
1,0,0,0,false
1,0,0,0,false
1,0,0,0,false
1,0.29,0,0,false
1,0.38,0,0,false
1,0,0,0,false
1,0,0,0,false
1,0,0,0,false
1,0.27,0,0,false
1,0.29,0,0,false
1,0,0,0,false
1,0.29,0,0,false
1,0,0,0,false
1,0.14,0,0,false
3,0.1,0,0,false
3,0.1,0,0,false
3,0.1,0,0,false
1,0.19,0,0,false
5,0.09,1,0,false
1,0.17,0,0,false
1,0.06,0,0,false
3,0.09,3,0,false
1,0.1,0,0,false
1,0.11,0,0,false
1,0.1,0,0,false
1,0.21,0,0,false
1,0.15,0,0,false
1,0.11,0,0,false
9,0.06,4,0,false
1,0.06,4,0,false
5,0.04,9,0,false
1,0.11,1,0,false
1,0.11,1,0,false
1,0.11,1,0,false
1,0.13,1,0,false
1,0.19,0,0,false
1,0.17,0,0,false
1,0.08,0,0,false
1,0.18,0,0,false
1,0.04,6,0,false
1,0.1,0,0,false
1,0.1,0,0,false
1,0.11,0,0,false
1,0.09,2,0,false
3,0.05,0,0,false
1,0.04,2,0,false
1,0.09,0,0,false
9,0.06,1,0,false
11,0.03,11,0,false
1,0.33,0,0,false
1,0.4,0,0,false
1,0.08,0,0,false
1,0.21,0,0,false
3,0.07,0,0,false
1,0.25,0,0,false
5,0.05,4,0,false
1,0.33,0,0,false
1,0.11,0,0,false
1,0.17,1,0,false
1,0.11,0,0,false
5,0.06,1,0,false
1,0.1,0,0,false
1,0.33,0,0,false
1,0.4,0,0,false
1,0.33,0,0,false
1,0.4,0,0,false
1,0.67,0,0,false
1,0.16,0,0,false
1,0,0,0,false
1,0.06,0,1,false
1,0,0,0,false
1,2,0,0,false
1,2,0,0,false
1,0,0,0,false
1,1,0,0,false
1,0.4,0,0,false
1,1,0,0,false
1,0.3,0,0,false
1,2,0,0,false
1,0,0,0,false
1,1,0,0,false
1,0,0,0,false
1,0.09,1,0,false
1,0,0,0,false
1,1,0,0,false
1,0.3,0,0,false
1,1,0,0,false
1,1,0,0,false
1,0.25,0,0,false
1,0.23,0,0,false
1,0,0,0,false
1,0.3,0,0,false
1,0.5,0,0,false
1,0.64,0,0,false
1,0.38,0,0,false
3,0.11,0,0,false
1,0.18,0,0,false
8,0.05,4,0,false
1,0.4,0,0,false
1,0.4,0,0,false
1,0.4,0,0,false
1,0.4,0,0,false
1,0.4,0,0,false
1,0.4,0,0,false
1,0.4,0,0,false
1,0.4,0,0,false
1,0.4,0,0,false
1,0.4,0,0,false
1,0.04,5,0,false
1,0.04,2,0,false
10,0.03,5,0,false
1,0.05,3,0,false
1,0.67,0,0,false
1,0.67,0,0,false
1,0.67,0,0,false
1,0.67,0,0,false
1,0.67,0,0,false
1,0.67,0,0,false
1,0.67,0,0,false
1,0.67,0,0,false
3,0.06,0,0,false
1,0.67,0,0,false
1,0.67,0,0,false
1,0.67,0,0,false
1,0.67,0,0,false
1,0.67,0,0,false
1,0.67,0,0,false
1,0.67,0,0,false
1,0.67,0,0,false
1,0.67,0,0,false
1,0.67,0,0,false
1,0.67,0,0,false
1,0.67,0,0,false
1,0.67,0,0,false
1,0.67,0,0,false
1,0.21,0,0,false
1,0.67,0,0,false
1,0.67,0,0,false
1,0.67,0,0,false
1,0.67,0,0,false
1,0.67,0,0,false
1,0.67,0,0,false
1,0.67,0,0,false
1,0.67,0,0,false
1,0.67,0,0,false
1,0.67,0,0,false
1,0.67,0,0,false
1,0.67,0,0,false
1,0.67,0,0,false
1,0.67,0,0,false
1,0.67,0,0,false
1,0.67,0,0,false
1,0.67,0,0,false
1,0.67,0,0,false
1,0.67,0,0,false
1,0.67,0,0,false
1,0.67,0,0,false
1,0.67,0,0,false
1,0.67,0,0,false
1,0.67,0,0,false
1,0.67,0,0,false
1,0.67,0,0,false
1,0.67,0,0,false
1,0.16,0,0,false
1,0.16,0,0,false
1,0.15,0,0,false
1,0.5,0,0,false
1,0.5,0,0,false
1,0.14,0,0,false
1,0.16,0,0,false
1,0.16,0,0,false
1,0.17,0,0,false
1,0.16,0,0,false
1,0.16,0,0,false
1,0.5,0,0,false
1,0.17,0,0,false
1,0.27,2,0,false
1,0.17,0,0,false
1,0.16,0,0,false
1,0.16,0,0,false
1,0.17,0,0,false
1,0.19,0,0,false
1,0.16,0,0,false
1,0.19,0,0,false
1,0.16,0,0,false
1,0.16,0,0,false
1,0.16,0,0,false
5,0.05,2,0,false
1,0.16,0,0,false
1,0.33,0,0,false
1,0.4,0,0,false
1,0.5,0,0,false
1,0.5,0,0,false
1,0.67,0,0,false
1,0.22,0,0,false
1,0.67,0,0,false
1,0.67,0,0,false
1,0.67,0,0,false
1,0.67,0,0,false
1,0.08,0,0,false
1,0.08,0,0,false
1,0.1,2,0,false
1,0.67,0,0,false
1,0.67,0,0,false
1,0,0,0,false
1,0.1,0,0,false
1,0.67,0,0,false
1,0.67,0,0,false
1,0.67,0,0,false
1,0.29,0,0,false
1,0.09,7,0,false
1,0.4,0,0,false
3,0.09,1,0,false
3,0.08,1,0,false
3,0.08,0,0,false
3,0.06,0,0,false
1,0.09,0,0,false
1,0.06,0,0,false
3,0.09,1,0,false
1,0.06,4,0,false
1,0.21,2,0,false
1,0.16,0,0,false
1,0.06,1,0,false
1,0.3,1,0,false
5,0.05,4,0,false
1,0.12,0,0,false
8,0.05,3,0,false
1,0.16,0,0,false
1,0.33,0,0,false
1,0.4,0,0,false
1,0.18,0,0,false
1,0.4,0,0,false
1,0.16,0,0,false
8,0.05,3,0,false
1,0.33,0,0,false
1,0.4,0,0,false
3,0.23,0,0,false
11,0.07,1,0,false
1,0.15,0,0,false
1,0.33,0,0,false
1,0.33,0,0,false
1,0.09,0,0,false
1,0.33,0,0,false
3,0.05,0,0,false
5,0.05,4,0,false
1,0.18,0,0,false
1,0.33,0,0,false
1,0.16,0,0,false
1,0.33,0,0,false
1,0.4,0,0,false
1,0.15,0,0,false
1,0.67,0,0,false
1,0.67,0,0,false
3,0.06,3,0,false
3,0.15,0,0,false
1,0.4,0,0,false
3,0.09,1,0,false
1,0.06,0,0,false
1,0.14,1,0,false
1,0.17,1,0,false
1,0.11,1,0,false
1,0.11,1,0,false
1,0.14,1,0,false
1,0.1,1,0,false
1,0.14,1,0,false
1,0.12,1,0,false
1,0.17,1,0,false
1,0.14,1,0,false
1,0.17,1,0,false
1,0.17,1,0,false
1,0.17,1,0,false
1,0.15,1,0,false
1,0.14,1,0,false
1,0.17,1,0,false
1,0.14,1,0,false
1,0.17,1,0,false
1,0.16,1,0,false
1,0.16,1,0,false
1,0.14,1,0,false
1,0.16,1,0,false
1,0.16,1,0,false
7,0.03,7,0,false
5,0.09,2,0,false
1,0.07,0,0,false
1,0.24,0,0,false
1,0.18,0,0,false
1,0.16,0,0,false
1,0.16,0,0,false
1,0.17,0,0,false
1,0.09,3,0,false
5,0.07,0,0,false
3,0.05,0,0,false
1,0.33,0,0,false
1,0.33,0,0,false
1,0.33,0,0,false
1,0.19,0,0,false
1,0.16,0,0,false
8,0.05,3,0,false
1,0.33,0,0,false
1,0.4,0,0,false
1,0.16,0,0,false
1,0.33,0,0,false
1,0.4,0,0,false
1,0.16,0,0,false
8,0.05,3,0,false
1,0.33,0,0,false
1,0.4,0,0,false
7,0.04,7,0,false
1,0.08,0,0,false
1,0.09,0,0,false
3,0.07,0,0,false
1,0.1,0,0,false
1,0.22,1,0,false
4,0.06,0,0,false
1,0.11,0,0,false
1,0.11,0,0,false
1,0.12,0,0,false
1,0,0,0,false
1,0,0,0,false
1,0,0,0,false
1,0,0,0,false
1,0,0,0,false
1,0.2,0,0,false
1,0.17,0,0,false
1,0.33,0,0,false
1,0.12,0,0,false
1,0.31,0,0,false
1,0.34,0,0,false
1,0.25,0,0,false
1,0.33,0,0,false
1,0.11,0,0,false
1,0.31,0,0,false
1,0.27,0,0,false
1,0.11,0,0,false
1,0.08,0,0,false
1,0.33,0,0,false
1,0.17,0,0,false
1,0.07,0,0,false
1,0.31,0,0,false
1,0.1,0,0,false
1,0.14,0,0,false
1,0.5,0,0,false
1,1,0,0,false
1,1,0,0,false
1,2,0,0,false
1,2,0,0,false
1,0.13,0,0,false
1,0.18,0,0,false
1,0.33,0,0,false
1,0.25,0,0,false
1,0.15,0,0,false
1,0.31,0,0,false
1,0.11,0,0,false
1,0.67,0,0,false
1,0.11,0,0,false
1,0.67,0,0,false
1,0.67,0,0,false
1,0.67,0,0,false
1,0.67,0,0,false
1,0.67,0,0,false
1,0.67,0,0,false
1,0.67,0,0,false
1,0.67,0,0,false
1,0.12,0,0,false
1,0.67,0,0,false
1,0.67,0,0,false
1,0.67,0,0,false
1,0.06,0,0,false
1,0.07,0,0,false
1,0.67,0,0,false
1,0.67,0,0,false
1,0.67,0,0,false
1,0.67,0,0,false
1,0.67,0,0,false
1,0.67,0,0,false
1,0.21,0,0,false
1,0.67,0,0,false
1,0.67,0,0,false
1,0.67,0,0,false
1,0.67,0,0,false
1,0.19,0,0,false
1,0.31,0,0,false
1,0.19,0,0,false
1,0.31,0,0,false
1,0.33,0,0,false
1,0.31,0,0,false
1,0.34,0,0,false
1,0.09,0,0,false
3,0.04,0,1,false
1,0.67,1,0,false
1,0.67,0,0,false
1,0.15,0,0,false
1,0.2,0,0,false
1,0.31,0,0,false
1,0.18,0,0,false
1,0.15,0,0,false
1,0.33,0,0,false
1,0.16,0,0,false
1,0.07,0,0,false
1,0.33,0,0,false
1,0.17,0,0,false
1,0.31,0,0,false
1,0.34,0,0,false
1,0.23,0,0,false
1,0.33,0,0,false
1,0.17,0,0,false
1,0.31,0,0,false
1,0.34,0,0,false
3,0.07,1,0,false
1,0.18,0,0,false
1,0.31,0,0,false
1,0.18,0,0,false
1,0.31,0,0,false
1,0.25,0,0,false
1,0.16,0,0,false
1,0.21,0,0,false
1,0.17,0,0,false
1,0.2,0,0,false
1,0.22,0,0,false
1,0.67,0,0,false
1,0,0,0,false
1,0.5,0,0,false
1,0.5,0,0,false
1,0.5,0,0,false
1,0.5,0,0,false
1,0.24,0,0,false
1,0.5,0,0,false
1,0.24,0,0,false
1,0.22,0,0,false
1,0.22,0,0,false
1,0.05,3,0,false
1,0.18,1,0,false
1,0.29,0,0,false
1,0.33,0,0,false
1,0.29,0,0,false
1,0.33,0,0,false
1,0.05,8,0,false
1,0.29,0,0,false
1,0.67,0,0,false
1,0.13,0,0,false
1,0.1,0,0,false
1,0.07,1,0,false
1,0.42,0,0,false
1,0.56,0,0,false
1,0.06,3,0,false
1,0.4,0,1,false
1,0.33,0,1,false
1,0.33,0,0,false
1,0.33,0,1,false
1,0.33,0,1,false
1,0.33,0,1,false
1,0.33,0,1,false
1,0.5,0,0,false
1,0.33,0,1,false
1,0.12,0,0,false
1,0.05,2,0,false
1,0.13,0,0,false
1,0.5,0,0,false
1,0.67,0,0,false
1,0.67,0,0,false
1,0.33,0,0,false
1,0.67,0,0,false
1,0.67,0,0,false
1,0.67,0,0,false
1,0.67,0,0,false
1,0.67,0,0,false
1,0.67,0,0,false
1,0.29,0,0,false
1,0.4,0,0,false
1,0.67,0,0,false
4,0.04,16,0,false
1,0.67,0,0,false
1,0.4,0,0,false
1,0.4,0,0,false
1,0.4,0,0,false
1,0.4,0,0,false
1,0.67,0,0,false
1,0.4,0,0,false
1,0.4,0,0,false
1,0.4,0,0,false
1,0.4,0,0,false
1,0.24,0,0,false
1,0.24,0,0,false
1,0.24,0,0,false
1,0.24,0,0,false
1,0.15,0,0,false
1,0.29,3,0,false
1,0.05,0,5,false
1,0.21,3,0,false
1,0.08,3,0,false
1,0.29,1,2,false
1,0.29,1,2,false
1,0.33,1,2,false
1,0.33,1,1,false
1,0.5,2,0,false
1,0.5,0,0,false
1,0.13,0,0,false
1,0.67,0,0,false
1,0.67,0,0,false
1,0.67,0,0,false
1,0.22,0,0,false
1,0.67,0,0,false
1,0.23,0,0,false
1,0.67,0,0,false
1,0.12,11,0,false
1,0,0,0,false
1,0.08,1,0,false
1,0,0,0,false
1,0.04,19,3,false
1,1,0,0,false
1,2,0,0,false
1,0,0,0,false
11,0.03,19,4,false
1,0.67,0,0,false
1,0.67,0,0,false
1,0.67,0,0,false
1,0.67,0,0,false
1,0.67,0,0,false
1,0.11,10,0,false
1,0.09,2,0,false
1,0.67,0,0,false
1,0.67,0,0,false
1,0.5,0,0,false
1,0.67,0,0,false
1,0.07,2,0,false
3,0.08,9,0,false
1,0.09,0,0,false
1,0.11,2,0,false
1,0.11,2,0,false
1,0.11,2,0,false
1,0.67,0,0,false
1,0,0,0,false
1,0,0,0,false
1,0,0,0,false
1,0,0,0,false
1,0,0,0,false
3,0.09,0,0,false
1,0.1,0,0,false
1,0.07,3,0,false
1,0.19,0,0,false
1,0.21,0,0,false
26,0.02,6,11,false
1,0.14,1,3,false
1,0,0,0,false
1,0,0,0,false
1,0.14,0,0,false
1,0,0,0,false
1,2,0,0,false
1,0,0,0,false
1,0,0,0,false
1,0,0,0,false
1,0,0,0,false
1,0.14,0,0,false
1,0.08,0,0,false
1,0.67,0,0,false
1,0.67,0,0,false
1,0.67,0,0,false
1,0.67,0,0,false
1,0.4,0,0,false
1,0.5,0,0,false
1,0.67,0,0,false
1,0,0,0,false
1,0.11,0,0,false
1,0.1,0,0,false
1,0,0,0,false
1,0.25,1,0,false
10,0.03,4,5,false
1,0.67,0,0,false
1,0.67,0,0,false
1,0.67,0,0,false
1,0.67,0,0,false
1,0.07,0,0,false
3,0.05,0,0,false
1,0.12,0,0,false
1,0.07,0,0,false
1,0.1,1,0,false
1,0.19,0,0,false
1,0.06,1,0,false
1,0.67,0,0,false
1,0.67,0,0,false
1,0,0,0,false
1,0.17,0,0,false
1,0.13,0,1,false
3,0.17,0,0,false
1,0.06,5,3,false
1,0.06,2,3,false
6,0.04,20,3,false
7,0.04,20,6,false
1,0.14,1,0,false
1,0.43,0,0,false
1,0.39,0,0,false
1,0,0,0,false
1,0,0,0,false
1,0.2,0,0,false
1,0.1,0,0,false
1,0.1,0,0,false
1,0.67,0,0,false
1,0.67,0,0,false
1,0.67,0,0,false
1,0.67,0,0,false
1,0.67,0,0,false
1,0.3,0,0,false
1,0.67,0,0,false
1,0.67,0,0,false
1,0.67,0,0,false
1,0.67,0,0,false
1,0.67,0,0,false
1,0.4,0,0,false
1,0.24,0,0,false
1,0.14,2,0,false
1,0.21,0,0,false
1,0.08,5,0,false
1,0.2,0,0,false
1,0.67,0,0,false
1,0.17,0,0,false
1,0.12,0,0,false
1,0.14,0,0,false
1,0.23,0,3,false
1,0.09,0,1,false
1,0.67,0,0,false
1,0.13,0,0,false
1,0.12,0,0,false
1,0.09,0,1,false
1,0.11,0,0,false
1,0.2,0,0,false
1,0.2,0,0,false
1,0.67,0,0,false
1,0.67,0,0,false
1,0.39,0,0,false
1,0.5,0,0,false
1,1,0,0,false
1,1,0,0,false
1,0.67,0,0,false
1,0.67,0,0,false
1,0.17,0,0,false
1,0.3,0,0,false
1,0,0,0,false
1,0,0,0,false
1,0,0,0,false
1,0,0,0,false
1,0,0,0,false
1,0,0,0,false
1,2,0,0,false
1,0,0,0,false
1,0,0,0,false
1,0,0,0,false
1,0.04,0,0,false
3,0.1,1,0,false
7,0.1,1,0,false
1,0,0,0,false
1,0,0,0,false
1,0,0,0,false
1,0,0,0,false
9,0.09,1,0,false
1,0.67,0,0,false
1,0,0,0,false
1,0,0,0,false
5,0.08,1,0,false
8,0.04,9,0,false
5,0.1,3,0,false
1,0.13,1,0,false
1,0.09,1,0,false
15,0.04,12,3,false
6,0.06,1,0,false
1,0.08,4,0,false
1,1,0,0,false
3,0.07,4,0,false
1,0.16,0,0,false
1,1,0,0,false
1,1,0,0,false
1,1,0,0,false
1,0.09,0,0,false
1,0.29,0,0,false
1,0.4,0,0,false
1,0.4,0,0,false
1,0.29,0,0,false
1,0.4,0,0,false
1,0.4,0,0,false
1,0.4,0,0,false
1,0.29,0,0,false
1,0.4,0,0,false
1,0.4,0,0,false
1,0.4,0,0,false
1,0.29,0,0,false
1,0.4,0,0,false
1,0.29,0,0,false
1,0.29,0,0,false
1,0.67,0,0,false
1,0.67,0,0,false
1,0.67,0,0,false
1,0.67,0,0,false
1,0.67,0,0,false
1,0.1,0,0,false
1,0.67,0,0,false
1,0.67,0,0,false
1,0.67,0,0,false
1,0.67,0,0,false
1,0.67,0,0,false
1,0.67,0,0,false
1,0.06,4,0,false
1,0.67,0,0,false
1,0.5,0,0,false
1,0.5,0,0,false
1,0,0,0,false
1,0.09,0,0,false
1,0.67,0,0,false
1,0.67,0,0,false
1,0.67,0,0,false
7,0.06,4,0,false
7,0.06,2,1,false
7,0.06,2,1,false
1,0.67,0,0,false
1,0.16,1,0,false
1,0.67,0,0,false
1,0.17,1,0,false
1,0.15,1,0,false
1,0.21,0,0,false
1,0.25,3,0,false
3,0.04,0,0,false
3,0.1,0,0,false
1,0.29,0,0,false
4,0.03,0,0,false
1,0.4,0,0,false
3,0.12,0,0,false
1,0.4,0,0,false
1,0.29,0,0,false
1,0.4,0,0,false
1,0.4,0,0,false
3,0.07,0,0,false
1,0.4,0,0,false
3,0.07,0,0,false
5,0.05,0,0,false
1,0.11,0,0,false
11,0.07,0,0,false
1,0.29,0,0,false
1,0.16,0,0,false
1,0.4,0,0,false
1,0.4,0,0,false
1,0.4,0,0,false
1,0.29,0,0,false
10,0.05,1,0,false
10,0.05,1,0,false
1,0.4,0,0,false
1,0.29,0,0,false
1,0.29,0,0,false
1,0.06,2,0,false
1,0.67,0,0,false
1,0.5,0,0,false
1,0.06,1,0,false
1,0,0,0,false
4,0.04,0,0,false
1,0.67,0,0,false
1,0.67,0,0,false
1,0.67,0,0,false
1,0.14,0,0,false
5,0.03,0,0,false
5,0.02,0,0,false
5,0.02,0,0,false
7,0.02,0,0,false
1,0,0,0,false
1,0,0,0,false
1,0,0,0,false
1,0,0,0,false
1,0,0,0,false
1,0,0,0,false
1,0,0,0,false
1,0,0,0,false
1,0,0,0,false
1,0,0,0,false
1,0,0,0,false
1,0,0,0,false
8,0.07,3,0,false
1,0,0,0,false
1,0.1,0,0,false
1,0,0,0,false
1,0,0,0,false
1,0,0,0,false
1,0.17,0,0,false
1,0.15,0,0,false
1,2,0,0,false
1,1,0,0,false
1,1.6,0,0,false
1,1,0,0,false
1,2,0,0,false
1,0,0,0,false
1,1,0,0,false
1,0,0,0,false
1,0,0,0,false
1,0.04,4,0,false
1,0,0,0,false
1,0,0,0,false
1,0.15,0,0,false
1,0,0,0,false
1,0,0,0,false
1,0.15,0,0,false
1,0,0,0,false
1,0,0,0,false
1,0.67,0,0,false
1,0,0,0,false
1,0,0,0,false
1,0,0,0,false
1,0.67,0,0,false
1,0,0,0,false
1,0.4,0,0,false
1,0,0,0,false
3,0.1,2,0,false
1,0.67,0,0,false
1,0.67,0,0,false
1,0.67,0,0,false
1,0.67,0,0,false
1,0,0,0,false
1,0,0,0,false
1,0.13,1,0,false
1,0,0,0,false
1,0.12,0,0,false
1,0.15,0,0,false
1,0.13,0,0,false
1,0,0,0,false
1,0,0,0,false
1,0,0,0,false
1,0.17,0,0,false
1,0.13,0,0,false
1,0.15,0,0,false
1,0.13,0,0,false
1,0,0,0,false
1,0.15,0,0,false
1,0.67,0,0,false
1,0.67,0,0,false
1,0.5,2,2,false
1,0,0,0,false
1,0.5,0,0,false
1,0,0,0,false
1,0.18,0,0,false
1,0,0,0,false
1,0.5,0,0,false
1,0,0,0,false
1,0.18,0,0,false
1,0,0,0,false
1,0,0,0,false
1,0.07,1,1,false
1,0.06,4,0,false
1,0.13,2,0,false
