@relation 'platform-weka.filters.unsupervised.attribute.Remove-R1,2-weka.filters.unsupervised.attribute.Remove-R3,12-13'

@attribute ns numeric
@attribute nm numeric
@attribute entropy numeric
@attribute la numeric
@attribute ld numeric
@attribute lt numeric
@attribute fix numeric
@attribute ndev numeric
@attribute pd numeric
@attribute npt numeric
@attribute sexp numeric
@attribute bug {1,0}

@data
1,1,0,0.033149,0.01105,181,0,7,3,1,97,0
1,1,0,0.022346,0.011173,179,0,7,5,1,90,0
1,1,0,0.185393,0.219101,178,1,6,1,1,75,1
1,1,0,0.016304,0.065217,184,1,6,1,1,70,1
1,2,0.514091,0.064426,0.021008,357,0,6,2,1,66,0
1,1,0,0.005556,0,180,0,6,0,1,64,0
1,1,0,0.005587,0.005587,179,0,6,0,1,61,0
1,1,0,0.106145,0.01676,179,1,6,4,1,60,1
1,1,0,0.005988,0.02994,167,0,6,1,1,50,0
1,2,0,0.029412,0.011765,42.5,1,6,22,0.75,42,0
1,1,0,0.02381,0.011905,168,0,6,0,1,33,0
1,1,0,0.011765,0.005882,170,0,6,0,1,22,0
1,1,0,0.201183,0.201183,169,1,6,1,1,17,0
1,1,0,1.858824,1.747059,170,1,6,29,1,11,1
1,1,0,0.025806,0.006452,155,1,5,1,1,341,1
1,2,0.999723,0.113027,0.082375,261,1,5,24,1,334,0
1,1,0,0.031746,0.007937,126,1,5,1,1,325,0
1,1,0,0.041237,0.020619,97,1,5,35,1,318,0
1,1,0,0.170455,0.011364,88,1,5,34,1,290,0
2,4,0.736155,0.056723,0.02521,119,0,5,10,0.5,372,1
1,2,0.918296,0.012315,0.002463,203,0,5,5,1,272,0
1,1,0,0.061728,0.015432,324,1,5,69,1,13,0
1,1,0,0.003571,0.003571,280,1,4,0,1,30,0
1,1,0.311929,0.328205,0.402564,195,1,4,34,1,29,0
1,1,0,0.12,0.050909,275,0,4,1,1,1,0
1,1,0.67418,0.116691,0.155096,96.714286,0,3,6,0.285714,7,0
1,1,1,0.02924,0,171,0,2,72,0.333333,13,0
1,1,0,0.014286,0.014286,70,0,5,129,1,152,0
2,2,0.236647,1.366279,1.267442,57.333333,0,5,504,1,185,0
1,3,0.011048,1.905292,0.278552,71.8,0,5,126,0.4,137,0
2,3,0.438403,0.954545,1.056818,17.6,0,5,381,0.6,103,0
1,1,0,0.175,0.1375,80,0,5,116,1,81,0
1,1,0.918296,0.018634,0,80.5,0,7,206,1,2,0
1,1,0,0.020408,0.061224,147,1,5,53,1,337,0
2,2,1,0.222222,0.222222,4.5,0,1,0,1,31,0
1,1,0,0.078853,0.139785,139.5,0,4,0,1,9,0
1,1,0,0,0,0,0,1,0,1,137,0
2,2,0.020023,1.183333,9,20,0,5,395,1,177,0
1,1,0,2.086957,0,46,0,1,0,1,137,0
1,1,0,1,0.333333,3,1,3,630,1,391,0
1,1,0,0.166667,0.166667,6,0,2,0,1,63,0
1,1,0,0.5,0.166667,6,0,2,4,1,1,0
1,1,0,0,0,6,1,1,0,1,55,0
1,1,0.590962,0.715455,0.623337,122.125,0,6,607,0.875,12,0
1,3,0.554383,2.120172,0.706009,30.064516,0,6,216,0.387097,250,1
1,1,0,0.046296,0.009259,108,0,4,83,1,22,0
1,1,0.856439,0.532838,0.096654,73.363636,1,4,108,0.363636,22,0
1,1,0.361805,0.304348,0.294314,37.375,0,2,178,0.375,10,0
1,1,1,0.583784,0,92.5,0,6,171,1,4,0
1,1,0,0.082759,0.124138,145,1,6,27,1,2,0
1,1,0,0.430464,0.006623,151,1,5,11,1,1,1
1,1,0,0.109244,0.008403,119,0,4,8,1,31,1
1,1,0,0.092593,0.148148,108,0,4,12,1,23,0
1,1,0,0.5,0.023256,86,0,3,8,1,27,0
1,1,0,0.014493,0.014493,69,1,2,0,1,2,0
1,1,0,0.014493,0,69,0,2,6,1,1,0
1,2,0.685387,0.373494,0.036145,27.666667,1,2,242,1,323,1
1,1,0,0.4,0.2,5,0,1,29,1,300,0
1,2,0,0,0,12.5,1,1,0,0.5,285,1
1,1,0,0,0,0,0,1,0,1,80,0
1,2,1,0.3,0.3,10,0,1,718,1,436,0
1,1,0.819448,0.074468,0.095745,31.333333,0,4,496,1,299,0
1,2,0,0,0,9.5,1,1,0,0.5,256,1
1,1,0.908804,0.108344,0.027397,80.3,0,2,17,0.2,23,0
1,1,0.917675,2.671742,2.671742,82.1,0,6,3335,0.4,61,0
1,1,0,0.183673,0.020408,49,0,3,174,1,27,0
2,2,1,0.019417,0.019417,51.5,1,4,148,0.5,42,0
4,4,0.913972,0.108,0.04,35.714286,1,4,74,0.857143,245,0
4,5,1,0.005447,0.005447,183.6,1,5,46,1,725,0
1,1,0,0.023256,0.511628,43,0,1,3,1,11,0
1,1,0,0.023256,0.023256,43,1,3,78,1,25,0
1,1,0,0,0,88.777778,0,4,444,0.333333,24,0
1,2,0.77085,2.661309,0,42.487805,0,6,2174,0.170732,80,0
1,1,0,0,0,15,1,1,0,1,169,0
1,1,0,0.013699,0.027397,73,1,2,159,1,392,0
1,1,0,0.013514,0.013514,74,0,2,47,1,374,0
1,1,0,0.03125,0.03125,64,1,2,0,1,327,0
1,1,0,0,0,34,1,1,0,1,126,1
1,1,0,0,0,0,0,1,0,1,80,0
2,3,0.902972,0.042576,0.017467,229,1,4,83,1,920,1
1,1,0,0.194444,0,36,0,3,42,1,165,0
1,1,0,0.074074,0.037037,27,0,3,9,1,7,0
1,1,0,0,0.074074,27,0,3,1,1,111,0
1,2,0.928516,0.080952,0.034524,280,1,7,23,1,5,1
1,1,0,0.473684,0.473684,19,0,2,15,1,74,0
1,1,0,2.736842,2.789474,19,1,2,64,1,12,1
1,1,0.863121,0.021739,0.028986,69,1,5,0,0.5,323,0
1,1,0,0.546012,0.006135,81.5,1,5,60,1,331,0
1,1,0,0,0,11,1,1,0,0.5,38,0
1,1,0,0,0,74,0,1,0,1,11,0
1,1,0,0.006623,0.006623,151,1,5,3,1,2,0
1,1,0,1.358025,8.358025,27,0,5,686,1,80,0
1,1,0.622466,0.33121,0.050955,39.25,0,1,4,0.25,35,0
1,1,0,0,0,32.5,0,1,0,0.25,31,0
1,1,0,0,0,8,1,1,0,1,403,0
1,1,0,0,0,41,1,1,0,1,447,1
1,1,0,0.183099,0.070423,71,1,3,1,1,534,0
1,1,0,1.30303,0.560606,66,1,3,352,1,533,0
2,2,0.730017,0.032988,0.013195,530.5,1,4,89,1,4354,1
1,1,0,0.034483,0.034483,29,1,3,103,1,307,0
1,1,0,0.034483,0.034483,29,1,3,0,1,270,0
1,1,0,0.103448,0.068966,29,1,3,70,1,269,0
1,1,0,0.065217,0.086957,46,1,3,49,1,236,1
1,1,0,0.032258,0.032258,31,1,2,5,1,205,0
1,1,0,0.16129,0.129032,31,1,2,78,1,194,1
1,1,0,1.384615,1.410256,39,0,2,127,1,5,1
1,1,0,0.088235,0.029412,34,1,1,3,1,283,0
1,1,0,0,0,0,0,1,0,1,90,0
1,1,0,0.021277,0.021277,47,1,3,280,1,310,0
2,2,0.412309,0.212714,0.398533,81.8,1,3,627,0.4,3343,1
2,2,0.989498,0.017937,0.024664,148.666667,0,2,276,1,2125,0
1,1,0,0.04878,0.02439,41,1,1,29,1,332,0
1,1,0,0.275862,0,29,0,1,2,1,308,0
1,1,0,0.003745,0.003745,267,0,2,1,1,19,0
1,1,0,1.337079,1.277154,267,1,2,112,1,6,0
1,1,0,0.004,0.004,250,1,1,8,1,306,0
1,3,0.742084,0.151899,0.151899,131.666667,0,5,55,0.666667,301,1
1,1,0,0.011429,0.011429,175,0,1,0,1,260,0
1,1,0,0.011429,0.011429,175,0,1,0,1,259,0
1,1,0,0,0,0,0,1,0,1,105,0
1,1,0,0.222826,0.065217,184,0,1,0,1,156,0
1,1,0,0.018072,0.301205,166,0,1,0,1,155,0
1,1,0,0.208696,0,115,0,1,0,1,150,0
1,1,0,0.440367,0.137615,109,0,1,0,1,130,0
1,1,0,0.063291,0.063291,79,0,1,0,1,129,0
1,2,0.782444,0.361702,0.095745,47,0,5,124,1,107,0
1,1,0,0.197917,0.020833,96,1,1,294,1,500,0
1,1,0,0,0,76,1,1,0,1,393,0
1,1,0,0,0,79,1,1,0,1,445,0
1,1,0,0.020408,0.020408,49,0,2,77,1,529,0
1,1,0,0.040816,0.040816,49,0,2,1,1,518,0
1,1,0,0.047619,0.047619,42,0,2,63,1,379,0
1,2,0.370056,0.156479,0.118582,409,1,3,2,1,330,1
2,2,0.816452,0.096774,0.103943,69.75,1,2,86,1,1492,0
1,1,0,0.783784,0.027027,37,1,2,119,1,301,1
1,1,0,1.115385,0.192308,26,1,2,140,1,251,0
1,1,0,0.8,0,25,1,1,109,1,177,1
1,1,0,0.35,0,20,0,1,12,1,87,1
1,1,0,0,0,18,1,1,0,1,43,1
1,1,0,0.294118,0.235294,17,1,1,196,1,370,0
1,1,0,0.1875,0.0625,16,0,1,118,1,302,0
1,2,1,0.105263,0.105263,9.5,1,1,2,0.5,263,0
2,2,0.619382,0.009166,0.00275,545.5,1,1,9,1,3563,0
1,1,0,0.054688,0.054688,128,1,1,13,1,409,1
1,1,0,0,0,128,1,1,0,1,407,1
1,1,0,0,0.352941,17,0,2,87,1,184,0
1,1,0,0.6875,0,16,1,2,43,1,125,0
1,1,0,0.333333,0,18,1,2,1,1,18,0
1,2,0.873175,1.692308,1.74359,29.25,0,2,549,0.75,10,0
1,2,0.367202,0.507886,0.037855,105.666667,0,1,0,0.333333,270,1
1,1,0,0,0,12,0,1,0,1,258,0
1,1,0,0,0,0,0,1,0,1,90,0
1,2,0.448864,0.12766,0.212766,47,0,5,122,1,92,0
1,1,0,0.097222,0.263889,72,1,1,0,1,446,0
1,1,0,0.005102,0.005102,784,1,4,45,1,408,0
1,2,0,0,0,15,1,1,0,0.5,2,1
1,2,0.94566,0.097297,0.021622,92.5,0,5,105,1,340,0
5,10,0.954745,0.092137,0.318507,125.9,1,9,83,0.8,1839,1
1,1,0,0,0,0,0,1,0,1,128,0
1,1,0,1.979592,0,49,0,1,0,1,128,0
1,1,0,0,0,0,0,1,0,1,150,0
1,2,0,0,0,0,0,5,130,0.25,164,0
1,1,0,0,0,0,0,1,0,1,150,0
1,1,0.083188,0.706161,0.208531,105.5,0,1,0,0.5,154,0
1,1,1,3.222222,0,18,0,1,0,0.5,150,0
1,1,0,0.042105,0,95,1,5,16,1,313,0
1,1,0.669016,0.052239,0.097015,134,1,1,4,0.5,282,0
1,1,0.842658,0.300813,0.089431,61.5,1,1,445,1,502,0
1,1,0,0,0,37,1,1,0,1,466,1
1,1,0,0.164384,0.013699,73,1,1,75,1,492,0
1,1,0,0.073529,0.044118,68,1,1,36,1,484,0
1,1,0,0,0,66,1,1,0,1,466,1
1,1,0,0.164384,0.013699,73,1,1,127,1,493,0
1,1,0,0,0,0,0,1,0,1,80,0
1,1,0,0,0,0,0,1,0,1,116,0
1,1,0,0,0,0,0,1,0,1,80,0
2,2,0,1,1,0.333333,0,6,286,1,141,0
2,3,0.864974,0.037313,0.037313,44.666667,0,5,375,1,92,0
1,1,0,0,0,0,0,1,0,1,80,0
1,1,0,0,0,0,0,1,0,1,80,0
1,1,0,0,0,0,0,1,0,1,80,0
1,1,0,0,0,0,0,1,0,1,80,0
1,1,0,0,0,0,0,1,0,1,80,0
1,1,0,0,0,0,0,1,0,1,80,0
1,1,0,0,0,0,0,1,0,1,80,0
1,1,0,0,0,0,0,1,0,1,80,0
1,2,0,0.136364,0,13.2,0,1,0,0.2,114,0
1,1,0,0,0,0,0,1,0,1,80,0
1,1,0,0,0,0,0,1,0,1,80,0
1,1,0,0,0,0,0,1,0,1,80,0
1,2,0.187202,0.035144,0.300319,52.166667,0,5,127,0.333333,143,0
1,1,0,0,0,0,0,1,0,1,80,0
1,1,0,0,0,0,0,1,0,1,80,0
1,1,0,0,0,0,0,1,0,1,80,0
1,1,0,0,0,0,0,1,0,1,80,0
1,1,0,0,0,0,0,1,0,1,115,0
1,1,0,0,0,0,0,1,0,1,80,0
1,3,0.09765,0.357143,0.285714,6.222222,0,5,123,0.222222,105,0
1,1,0,0,0,0,0,1,0,1,80,0
2,3,0.618095,0.025518,0.015949,78.375,0,1,0,0.125,158,0
1,1,0,0,0,0,0,1,0,1,80,0
1,1,0,0,0,0,0,1,0,1,80,0
1,1,0,0,0,0,0,1,0,1,186,0
1,1,0,0,0,0,0,1,0,1,186,0
1,1,0,0,0,0,0,1,0,1,186,0
1,1,0,0,0,0,0,1,0,1,186,0
1,1,0,0,0,0,0,1,0,1,186,0
1,1,0,0.017751,0.017751,169,0,1,0,1,188,0
1,1,0,0.130178,0.236686,169,0,1,0,1,187,0
1,1,0,0,0,0,0,1,0,1,186,0
1,1,0,0,0,0,0,1,0,1,186,0
1,3,0.813296,2.166843,0,86.090909,0,1,0,0.090909,186,0
1,1,0,0.009963,0.004981,401.5,1,5,443,1,406,0
1,2,0.860988,0.040737,0.033948,343.666667,0,9,511,1,296,1
1,1,0,0.067797,0.508475,118,1,2,120,1,246,0
1,1,0,0.022388,0.022388,134,0,1,1,1,133,0
1,1,0,0.104478,0.373134,134,0,1,28,1,124,1
1,1,0.956889,0.361775,0.395904,146.5,0,2,15,1,73,1
1,1,0,0,0,142,1,1,0,1,53,0
1,1,0,0,0,0,0,1,27,1,285,0
1,1,0,0,0,0,0,1,0,1,216,0
1,3,0.990692,0.046524,0.046524,79.434783,0,9,6627,0.73913,434,0
1,1,0,0.5,0.5,6,0,1,393,1,411,0
2,2,0,0,0,6,1,1,0,0.5,1713,0
1,1,0,0,0,12.5,1,1,0,0.5,540,0
1,1,0,0,0,12.666667,1,1,0,0.333333,476,0
1,1,0,0,0,9,1,1,0,1,471,0
1,1,0,0.052632,0,19,0,3,371,1,546,0
3,13,0.989437,0.018198,0.018198,115.684211,0,6,19,0.105263,6768,0
2,16,1,0.003659,0.003659,273.305556,1,11,5357,0.555556,4797,1
1,1,0,0,0,22,1,1,0,1,195,1
1,1,0.548629,0.051491,0.322493,369,1,6,62,0.5,544,0
1,1,0.548629,0.266517,0.042553,446.5,1,6,0,0.5,542,0
1,1,0.548629,0.051491,0.322493,369,1,6,1047,1,540,0
2,17,0.998643,0.041894,0.349727,32.294118,1,3,19,0.117647,4180,0
1,1,0,0.063371,0.178707,789,1,4,23,1,394,1
1,1,0,0.076923,0.025641,78,1,1,0,1,361,1
2,3,0.753804,0.106145,0.032123,477.333333,1,4,134,0.666667,1552,1
2,2,0.996486,0.051243,0.045968,663.5,1,4,2,1,1237,1
1,1,0,0.191111,0.031111,225,1,3,7,1,818,0
1,1,0,0.009818,0.021038,713,1,4,10,1,158,0
