@relation xerces-1.2_deleteColumns-weka.filters.unsupervised.attribute.Remove-R4-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.Remove-R11-weka.filters.unsupervised.attribute.Remove-R5-weka.filters.unsupervised.attribute.Remove-R14-weka.filters.unsupervised.attribute.Remove-R7-weka.filters.unsupervised.attribute.Remove-R10-weka.filters.unsupervised.attribute.Remove-R6-weka.filters.unsupervised.attribute.Remove-R3

@attribute dit numeric
@attribute noc numeric
@attribute ca numeric
@attribute npm numeric
@attribute dam numeric
@attribute moa numeric
@attribute cam numeric
@attribute cbm numeric
@attribute amc numeric
@attribute avg_cc numeric
@attribute bug {1,0}

@data
1,0,6,6,0,2,0.5,1,12.166667,0.6667,0
4,0,0,7,0,0,0.342857,0,5,0.8571,0
1,0,3,13,0,0,0.410714,0,33.714286,3.7143,0
2,0,2,1,1,0,0.571429,2,118,0.5,0
4,0,0,3,0,0,0.666667,0,4.666667,0.6667,0
1,2,2,22,1,11,0.113889,0,22.877551,1.0408,0
1,0,0,12,0,0,0.75,0,0,1,0
1,0,8,0,0,0,0,0,0,0,0
2,0,1,6,1,3,0.263889,0,22.2,0.7,0
2,0,1,21,1,2,0.160839,3,83.558824,1.0588,0
1,0,11,42,1,0,0.257937,0,10.5,1.6429,1
1,0,0,4,0,0,0.75,0,0,1,0
1,0,0,4,0,0,0.5,0,0,1,0
2,0,2,35,1,10,0.30662,7,28.560976,1.1951,0
1,1,0,7,0,0,0.333333,0,15,0.875,1
1,0,1,2,0,0,0.75,0,0,1,0
2,0,1,7,0.7,2,0.232323,0,27.818182,1.2727,0
1,0,0,16,0,0,0.645833,0,0,1,1
2,1,3,7,0.75,0,0.52381,4,9.857143,1.8571,1
2,0,1,11,0,0,0.192513,10,14.470588,1.8824,0
1,0,5,4,0,1,0.55,0,16.5,0.5,0
4,0,0,7,0,0,0.571429,6,4.571429,0.8571,0
1,0,0,6,0,0,0.5,0,0,1,0
1,0,0,2,0,0,0.75,0,0,1,0
4,0,0,5,0,0,0.6,0,9.4,1.6,0
4,0,0,5,0,0,0.45,0,4.6,0.8,0
2,0,1,10,1,2,0.189815,0,105.666667,1.1667,0
1,0,2,29,1,0,0.226481,0,46.142857,3.1429,0
4,0,0,5,0,0,0.45,0,5,0.8,0
1,0,0,2,0,0,0.75,0,0,1,0
1,0,5,5,0.6,1,0.2125,0,75.727273,1.0909,0
1,0,0,1,0,0,1,0,0,1,1
1,0,1,2,0,0,0.75,0,0,1,0
1,0,6,5,0,0,0.35,0,20.4,1.8,0
4,0,1,3,0,0,0.666667,0,5.333333,0.6667,0
1,0,0,7,0,0,0.428571,0,0,1,1
1,0,0,1,0,0,1,0,3,0,0
1,0,0,24,0,0,0.528846,0,26.730769,2.6538,0
1,0,0,24,0.736842,9,0.126667,0,27.933333,1.2333,0
1,0,0,2,0,0,0.75,0,0,1,0
1,0,1,10,0,0,0.5,0,0,1,0
4,2,10,14,0.5,0,0.34375,18,16.875,2.375,1
1,0,0,8,0,0,0.666667,0,0,1,1
1,0,1,2,0,0,0.75,0,0,1,0
1,2,9,13,1,9,0.152632,0,55.947368,1.9737,0
1,0,0,10,0,0,0.4,0,0,1,1
3,2,2,5,0,0,0.6,0,3,0.2,0
2,0,1,3,1,0,0.433333,2,21.5,1.5,0
4,0,0,13,0,0,0.538462,7,4.538462,0.9231,0
4,0,18,8,1,0,0.4375,0,6.75,0.5,0
1,0,1,0,0,0,0,0,0,0,0
1,0,0,4,0,0,0.5,0,0,1,0
4,0,0,3,0,0,0.5,0,4.666667,0.6667,0
4,1,6,14,0.875,3,0.383333,6,11.8,1.5333,0
1,0,0,3,0,0,0.555556,0,0,1,0
1,0,1,14,0.2,3,0.31,0,26.1,3.95,0
4,0,0,9,0,0,0.555556,6,4.555556,0.8889,0
1,0,0,1,0,0,1,0,3,0,0
1,0,1,4,0,0,0.75,0,0,1,0
4,0,0,1,0,0,1,0,5,0,0
4,1,3,9,0.5,0,0.325,6,10.3,1.5,0
4,4,12,24,0.666667,1,0.337931,11,19.517241,2.4828,1
1,0,0,26,0,0,0.487179,0,0,1,0
3,2,6,6,0,0,0.333333,4,13.833333,1.1667,1
2,0,3,16,0.875,6,0.119298,5,19.844444,1.5556,0
1,0,0,35,1,6,0.125926,0,10.944444,1.1389,0
1,0,1,4,0.009288,0,0.5,0,157.2,2.2,0
4,0,0,9,0,0,0.555556,5,4.555556,0.8889,0
1,0,0,18,0,0,0.285714,0,1.222222,0.9444,0
1,0,0,11,0,0,0.515152,0,0,1,0
2,2,9,5,0.666667,2,0.416667,3,7.25,1.25,0
4,0,0,27,0,0,0.37963,0,5.333333,1.1111,0
3,0,37,2,0.051282,0,0.555556,1,134.25,0.5,0
1,0,1,12,0.692308,4,0.232143,0,67.863636,4.6818,0
1,0,1,0,0,0,0,0,0,0,0
4,0,0,3,0,0,0.5,0,4.666667,0.6667,0
4,1,0,1,0,0,1,0,7,0,0
1,0,0,2,0,0,0.75,0,0,1,0
4,1,0,1,0,0,1,0,7,0,1
3,0,55,29,0.8,5,0.284848,4,28.617647,2.2059,0
1,0,22,2,0,0,0.6,0,0,1,0
1,0,0,1,0,0,1,0,3,0,0
1,0,0,6,0,0,0.75,0,0,1,0
1,0,1,6,0,0,0.75,0,0,1,0
1,0,0,3,0,0,0.666667,0,0,1,1
1,0,0,15,0,0,0.488889,0,0,1,0
1,0,2,4,0.064516,0,0.5,0,40,2.2,0
1,0,0,2,0,0,0.75,0,0,1,1
1,1,5,18,1,1,0.179012,0,18.388889,1.7778,0
3,0,0,2,0,0,1,0,81,0.3333,0
1,0,3,2,1,0,0.5,0,97.25,0.5,0
1,0,0,10,1,0,0.375,0,5,0.8,0
1,0,0,8,0,0,0.75,0,0,1,0
1,0,1,2,0,0,0.75,0,0,1,0
4,0,0,3,0,0,0.666667,0,4.666667,0.6667,0
1,0,0,1,0,0,1,0,0,1,0
3,0,0,2,0,0,0.75,0,3.5,0,1
1,0,0,14,0,0,0.206349,0,0,1,0
1,0,0,2,0,0,0.333333,0,33,0.6667,0
1,0,38,11,0,0,0.409091,1,16,1.1818,0
1,0,10,20,0.090909,6,0.192308,1,123.603774,13.3585,0
5,1,1,1,0,0,1,0,5,0,1
1,0,1,1,0,0,1,0,0,1,0
1,0,1,2,0,0,0.75,0,0,1,0
3,1,2,4,0.666667,0,0.611111,3,30.5,1.3333,1
4,0,0,17,0,0,0.317647,0,6.235294,1.1765,0
2,0,2,1,1,0,0.388889,2,12,1,0
4,0,0,5,0,0,0.6,4,4.6,0.8,0
1,0,6,28,1,2,0.333333,0,39.724138,2.8621,0
4,0,1,1,0.5,0,0.5,11,24.25,1.5,0
2,0,0,2,0,0,1,0,5.5,0.5,1
4,0,0,3,0,0,0.666667,0,5.333333,0.6667,0
2,0,1,5,0,0,0.328571,7,58.2,2.8,1
1,1,0,9,0,0,0.228571,0,4.3,0.9,1
1,0,0,16,0,0,0.5,0,0,1,0
1,0,3,6,0,0,0.35,0,26.166667,2.75,0
1,0,0,2,0,0,0.75,0,0,1,0
1,0,0,18,0,0,0.5,0,0,1,0
2,0,6,6,0,1,0.375,0,7.5,0.8333,1
4,0,0,7,0,0,0.571429,6,4.571429,0.8571,0
1,0,6,1,0,0,0.566667,0,45.6,2.8,0
2,0,1,9,0.15,2,0.189815,0,75.944444,1.1667,0
4,0,0,1,0,0,1,0,4,0,0
1,0,0,35,0,0,0.371429,0,0,1,0
1,0,0,19,0,0,0.438596,0,0,1,0
4,0,0,15,0,0,0.533333,6,4.533333,0.9333,0
2,0,1,22,0.882353,3,0.170833,4,179.390244,1.0488,1
4,0,0,23,0,0,0.521739,0,4.521739,0.9565,0
2,0,1,7,1,2,0.285714,0,93.9,0.8,0
1,1,3,11,0.1,2,0.393939,0,6,0.9091,1
1,0,0,4,0,0,0.75,0,0,1,0
1,2,3,5,0,1,0.533333,0,20,3.3333,1
1,14,15,5,1,0,0.533333,0,1.4,0.8,0
1,6,7,0,0,1,0.195652,0,9.166667,0.9583,0
1,0,0,2,0,0,1,0,0,1,1
1,0,0,14,1,0,0.392857,0,4,0.7143,0
1,0,10,39,0.862069,12,0.138249,0,35.177419,1.3226,1
1,0,0,3,0,0,0.777778,0,0,1,1
4,0,0,9,0,0,0.555556,6,4.555556,0.8889,0
1,0,2,10,1,0,0.533333,0,8.2,1.1,0
1,0,0,15,0,0,0.285714,0,1.266667,0.9333,0
1,1,3,4,1,1,0.44,0,50.6,6,0
2,0,0,2,1,1,0.5,0,6.5,0.5,0
1,0,0,6,0,0,0.75,0,0,1,0
1,0,1,4,1,0,0.25,0,28.142857,1.5714,1
2,0,1,7,0.214286,0,0.46875,1,25.125,1.5,0
1,0,1,0,0,0,0,0,0,0,0
1,0,0,2,0,0,0.75,0,0,1,0
1,0,7,3,0.153846,1,0.31746,0,38.222222,4.6667,0
1,0,7,16,0.071429,15,0.15303,0,54.422222,1.0222,0
1,0,16,1,0,0,1,0,0,1,0
4,0,0,5,0,0,0.6,0,4.6,0.8,0
1,0,0,0,0,0,0,0,0,0,1
1,0,1,8,0,0,0.5,0,0,1,0
4,0,0,9,0,0,0.555556,4,4.555556,0.8889,0
3,0,16,48,0.952381,1,0.22623,10,40.508197,2.4918,0
4,0,0,3,0,0,0.666667,0,5.333333,0.6667,0
1,0,0,22,0,0,0.281818,0,0,1,0
4,0,0,7,0,0,0.571429,6,4.571429,0.8571,0
4,0,0,11,0,0,0.545455,6,4.545455,0.9091,0
3,0,1,5,0,0,0.55,1,14.2,0.4,0
1,0,1,3,1,0,0.833333,0,72.666667,4.6667,0
1,0,1,22,1,15,0.148033,0,101.028571,1.0429,0
1,0,0,20,0,0,0.75,0,0,1,0
1,3,7,3,1,0,0.333333,0,36.6,0.6,0
4,0,0,7,0,0,0.571429,6,4.571429,0.8571,0
1,0,0,3,0,0,0.666667,0,0,1,0
1,0,0,5,0,0,0.6,0,0,1,1
1,0,0,12,0,0,0.4375,0,13.583333,1.25,0
3,0,1,1,0.5,0,0.5,7,19.5,1,0
4,0,0,7,0,0,0.571429,6,4.571429,0.8571,0
1,0,1,0,0.5,1,0.333333,0,35.6,1,0
1,0,3,5,1,1,0.533333,0,45,1.4,0
2,0,1,7,0.944444,2,0.314286,0,123.7,0.8,0
1,0,0,16,0,0,0.6875,0,0,1,0
1,0,1,0,0,0,0,0,0,0,0
1,0,1,26,0,7,0.222222,0,61.146341,3.0244,1
4,0,0,1,0,0,1,0,4,0,0
4,0,1,1,0.5,0,0.5,9,27.75,2.25,0
1,0,8,11,0,0,0.291667,1,68.75,5.0833,0
3,0,0,2,0,0,1,0,81,0.3333,0
1,0,0,2,0,0,0.75,0,0,1,0
2,0,1,3,1,1,0.6,1,14.6,0.6,1
1,1,0,6,1,0,0.571429,0,12.875,0.75,1
4,0,4,2,0,0,0.666667,0,5,0.5,0
1,0,4,0,0,0,1,0,3,0,0
1,0,9,4,0.083333,0,0.5,0,34.4,2.2,0
1,0,0,26,0,0,0.5,0,0,1,0
4,0,0,9,0,0,0.555556,5,4.555556,0.8889,0
1,0,1,4,0,0,0.75,0,0,1,0
1,0,1,7,1,3,0.387755,0,143.857143,0.7143,0
4,0,0,7,0,0,0.571429,6,4.571429,0.8571,0
3,0,1,1,0.5,0,0.5,7,19.75,0.75,0
1,0,0,1,0,0,1,0,0,1,0
1,0,1,4,0,0,0.75,0,0,1,0
1,0,0,2,0,0,0.5,0,3.333333,0.3333,1
4,0,1,4,0,0,0.625,5,2.75,0.5,0
1,4,6,0,1,3,0.518519,0,7,0.8889,0
4,0,0,15,0,0,0.4,0,7.4,1.1333,0
1,0,0,2,0,0,0.75,0,0,1,0
1,0,6,5,0,0,0.4,0,0,1,0
2,0,2,10,0,0,0.239316,7,75.923077,7.5385,0
4,0,0,7,0,0,0.571429,0,5.142857,0.8571,0
1,0,0,0,0,0,0,0,0,0,1
2,0,1,7,0.857143,2,0.244444,0,16.4,1.1,0
4,0,1,3,0,0,0.666667,0,4.666667,0.6667,0
1,0,1,7,1,7,0.307692,0,108.384615,1.0769,1
4,0,0,5,0,0,0.45,2,5.2,0.8,0
1,0,1,8,0,0,0.75,0,0,1,0
1,0,3,8,1,2,0.303571,0,21.125,1.5,0
4,0,0,9,0,0,0.416667,0,4.777778,0.8889,0
4,0,0,9,0,0,0.555556,6,4.555556,0.8889,0
1,0,1,18,0,0,0.75,0,0,1,0
1,0,0,8,0,0,0.5,0,0,1,0
4,0,2,19,0,1,0.275,0,13.15,2,0
1,0,0,12,0,0,0.354167,0,0,1,0
1,0,7,8,0,0,0.363636,0,0,1,0
4,0,0,23,0,0,0.295652,3,5.478261,1.1304,0
2,0,1,1,0,0,0.571429,2,69,0.5,0
1,0,1,10,0,0,0.75,0,0,1,0
3,0,1,1,0.5,0,0.5,5,42.5,2.5,0
1,0,0,34,0,0,0.282353,0,0,1,0
1,0,0,29,0,0,0.37069,0,0,1,0
1,0,1,0,0,0,0,0,0,0,0
1,0,8,51,0.965517,38,0.101329,0,69.465116,1.5581,1
4,0,0,3,0,0,0.5,0,5.666667,0.6667,0
1,0,1,8,1,2,0.464286,0,56.25,0.625,0
1,0,1,2,0,0,0.75,0,0,1,0
1,3,3,36,0.933333,3,0.127273,0,33.290909,2.9273,0
1,0,1,10,0.941176,0,0.233333,0,35.105263,2.7895,0
4,0,2,12,1,1,0.357143,0,11.214286,1.7857,0
4,0,0,7,0,0,0.571429,6,4.571429,0.8571,0
1,0,1,2,0,0,0.75,0,0,1,0
3,1,3,6,0.5,0,0.5,5,6.333333,1.3333,0
1,0,0,2,0,0,0.75,0,0,1,0
3,1,2,4,0.666667,0,0.611111,3,26,1.3333,1
1,0,0,14,0,0,0.5,0,0,1,0
1,6,6,5,1,3,0.466667,0,18.222222,0.8889,0
4,0,0,11,0,0,0.545455,4,4.545455,0.9091,0
1,0,0,17,0,0,0.455882,0,0,1,1
3,52,53,17,0,0,0.456522,2,9.826087,1.6087,0
1,0,0,2,0,0,0.75,0,0,1,0
4,0,1,13,0,0,0.538462,0,4.538462,0.9231,0
1,0,5,13,0.636364,4,0.233083,0,28.5,2.65,0
1,0,2,6,0,0,0.458333,0,98.833333,2.5,0
2,0,1,1,0,0,0.571429,0,71.5,0.5,0
1,0,0,6,0,0,0.611111,0,0,1,0
1,0,1,6,0,0,0.75,0,0,1,0
1,0,0,5,0,0,0.7,0,0,1,0
2,0,1,6,1,3,0.233333,0,66,0.8,0
4,0,0,5,0,0,0.6,0,4.6,0.8,0
4,0,0,5,0,0,0.6,4,4.6,0.8,0
1,0,10,8,0.176471,0,0.25,0,779.8,4.7,0
4,0,0,7,0,0,0.571429,4,4.571429,0.8571,0
1,0,0,7,0,0,1,0,0,1,1
4,1,4,10,0.8,0,0.4,6,7.8,1.6,0
4,0,0,1,0,0,1,0,7,0,1
3,0,1,1,0.5,0,0.466667,8,22.2,2,0
1,0,1,16,0,0,0.375,0,0,1,0
1,0,0,12,0,0,0.5,0,0,1,0
3,0,0,2,0,0,1,0,713.666667,0.3333,0
1,0,5,1,0,2,1,0,3,0,0
4,0,0,5,0,0,0.6,4,4.6,0.8,0
1,0,0,2,0,0,0.75,0,0,1,0
4,0,0,11,0,0,0.545455,6,4.545455,0.9091,0
1,0,0,4,0,0,1,0,0,1,1
1,0,4,8,0.962963,9,0.154872,0,130.348485,1.697,1
1,0,0,11,0,0,0.348485,0,0,1,0
1,0,0,23,0,0,0.347826,0,0,1,0
2,0,2,1,1,2,0.416667,2,24.333333,0.8333,0
1,0,1,4,0,0,0.75,0,0,1,0
1,0,0,25,0,0,0.33,0,0,1,1
4,0,1,1,0.5,0,0.555556,7,9.333333,0.6667,0
4,0,0,9,0,0,0.555556,0,4.555556,0.8889,0
1,0,0,3,0,0,1,0,0,1,1
4,0,0,38,0,0,0.294737,3,5.026316,1.0789,0
4,0,0,25,0,0,0.312,7,4.68,0.96,0
4,0,0,5,0,0,0.6,4,4.6,0.8,0
4,0,0,22,1,1,0.25,1,7.090909,1.2273,0
1,0,1,20,0,0,0.375,0,0,1,0
2,0,1,6,1,1,0.3,1,12.25,0.75,0
4,1,4,5,0.666667,1,0.4,6,8.8,1.2,0
1,0,5,4,0.136364,0,0.5,0,35.6,2.2,0
1,0,0,2,0,0,0.75,0,0,1,0
3,0,0,2,0,0,1,0,306.333333,0.3333,0
1,0,1,2,0,0,0.75,0,0,1,0
4,0,0,5,0,0,0.6,0,4.6,0.8,0
4,0,0,19,0,0,0.394737,6,4.631579,0.9474,0
1,0,0,1,0,0,1,0,0,1,1
4,0,0,8,1,0,0.466667,0,10.333333,0.5556,0
4,0,0,7,0,0,0.571429,6,4.571429,0.8571,0
1,0,0,4,0,0,0.75,0,0,1,0
1,0,0,13,0,0,0.461538,0,0,1,0
4,0,0,7,0,0,0.571429,0,5.142857,0.8571,0
2,1,2,11,0.5,0,0.186275,8,65.333333,7.1111,0
2,0,2,2,1,1,0.355556,2,15.111111,0.8889,0
4,0,0,19,0,0,0.394737,0,4.526316,0.9474,0
1,0,0,27,1,2,0.137778,0,44.543478,4.0435,0
1,0,0,1,0,0,1,0,0,1,1
4,0,1,15,0,0,0.32,1,12,1.7333,0
1,0,1,4,0,0,0.75,0,0,1,0
1,0,0,2,0,0,1,0,0,1,1
1,0,1,8,0,0,0.75,0,0,1,0
2,0,7,7,1,0,0.40625,2,33.5,1,0
4,0,0,5,0,0,0.6,4,4.6,0.8,0
1,0,0,2,0,0,0.5,0,50,5,0
4,0,0,9,0,0,0.555556,1,4.777778,0.8889,0
1,0,0,5,0,0,0.7,0,0,1,0
3,3,3,11,0.666667,1,0.480769,2,22.571429,1.5714,1
1,0,0,38,0,0,0.355263,0,0,1,0
1,0,49,26,0.916667,2,0.338889,0,68.9,3.1667,0
2,0,0,2,0,0,1,0,5.5,0.5,1
1,1,1,11,1,0,0.431818,0,8.090909,0.9091,0
3,0,0,2,0,0,1,0,107,0.3333,0
1,9,15,2,0.366667,20,0.1875,0,42.102041,2.2857,0
2,1,2,41,1,6,0.141337,9,27.625,1.0625,1
2,0,2,1,1,1,0.45,2,10.8,0.8,0
1,0,0,6,0,0,1,0,0,1,1
4,0,1,35,1,2,0.214286,0,12.027778,2,0
1,0,0,24,0,0,0.270833,0,0,1,0
1,0,1,4,0,0,0.75,0,0,1,0
6,0,16,1,0,0,1,0,5,0,1
1,0,0,1,0,0,1,0,3,0,0
2,0,1,6,1,1,0.333333,1,53.857143,0.7143,0
1,0,0,11,1,3,0.318182,0,28.636364,0.9091,0
4,0,0,21,0,0,0.314286,7,4.619048,0.9524,0
4,0,0,5,0,0,0.6,0,9.4,1.6,0
1,0,8,8,0,0,0.583333,0,0,1,0
1,0,0,2,0,0,0.75,0,0,1,0
4,0,0,13,0,0,0.403846,0,6.923077,1.2308,0
2,0,1,7,1,1,0.285714,0,5.75,0.75,0
1,0,0,0,0,0,0,0,0,0,1
4,0,0,3,0,0,0.5,0,4.666667,0.6667,0
1,0,7,3,0,0,0.666667,0,0,1,0
4,0,0,17,1,1,0.490196,0,4.705882,1,0
2,0,1,16,1,0,0.183007,15,22.411765,2.2353,0
5,0,1,1,0.5,0,0.555556,11,13,1,0
1,0,2,3,0,0,0.5,0,0,1,0
4,0,0,9,0,0,0.555556,5,4.555556,0.8889,0
4,0,0,3,0,0,0.666667,0,4.666667,0.6667,0
1,0,6,6,0,2,0.5,1,13.333333,0.6667,0
2,0,1,6,1,2,0.333333,0,84.571429,0.7143,0
1,0,0,10,0,0,0.75,0,0,1,0
1,0,0,7,0,0,0.25,0,0,1,0
2,0,0,3,0,1,0.444444,0,6.5,0.5,0
1,0,0,13,0,0,0.538462,0,0,1,1
1,0,0,2,0,0,0.75,0,0,1,0
1,1,2,3,0.076923,0,0.194286,0,61.64,2.48,0
1,0,1,0,0,0,0,0,0,0,0
1,0,0,1,0,0,1,0,0,1,0
4,0,0,3,0,0,0.666667,0,4.666667,0.6667,0
2,0,1,22,0.833333,3,0.201149,2,85.233333,1.3,0
1,0,0,1,0,0,1,0,0,1,0
1,0,1,4,0,0,0.75,0,0,1,0
1,0,1,0,0,0,0,0,0,0,0
4,0,0,17,0,0,0.397059,0,4.647059,0.9412,0
4,3,48,49,0.916667,2,0.155107,19,20.483871,1.9516,1
3,0,1,1,0.5,0,0.5,7,13.5,1,0
4,0,0,7,0,0,0.428571,0,4.571429,0.8571,0
2,0,1,24,0.647059,3,0.188889,4,80.903226,1.2581,0
1,0,0,2,0,0,0.333333,0,7.333333,0.6667,0
1,0,0,22,0,0,0.75,0,0,1,0
4,0,0,4,1,1,0.583333,0,6.75,1,0
1,0,0,4,0,0,1,0,0,1,0
1,0,0,3,0,0,0.666667,0,0,1,1
4,0,16,8,1,0,0.4375,0,6.75,0.5,0
1,0,0,16,0,0,0.375,0,0,1,0
1,3,21,36,0.833333,1,0.11655,0,15.742424,2.2727,1
3,0,1,1,0.5,0,0.5,8,17.25,1.25,0
4,1,2,3,0,0,0.555556,4,3,0.6667,0
4,0,1,3,0,0,0.666667,0,4.666667,0.6667,0
1,0,0,8,0,0,0.354167,0,0,1,0
3,0,1,1,0.5,0,0.555556,3,18,0.6667,0
1,0,0,2,0,0,1,0,0,1,0
1,0,1,2,0,0,0.75,0,0,1,0
2,0,1,8,1,3,0.2,0,100.230769,1.0769,1
1,0,0,4,0,0,0.5,0,0,1,0
3,1,2,3,0,0,0.555556,4,3,0.6667,0
4,0,1,1,0.5,0,0.555556,12,13,1,0
4,0,0,23,0,0,0.521739,6,4.521739,0.9565,0
4,0,0,13,0,0,0.403846,6,4.615385,0.9231,0
3,0,0,5,1,0,0.6,0,5.6,0.2,1
1,0,0,8,0,0,0.75,0,0,1,0
4,0,0,27,0,0,0.388889,0,4.592593,0.963,0
1,0,0,20,0,3,0.15035,0,6.181818,0.9545,0
1,0,6,0,0,0,0.5,0,11.666667,0.6667,0
1,0,0,0,0,0,0,0,0,0,1
3,0,0,0,1,0,0.366667,3,173.666667,0.8889,0
4,0,1,31,0,0,0.309677,0,7.354839,1.3871,0
1,0,1,2,0,0,0.75,0,0,1,0
1,0,3,6,0,0,0.375,0,0,1,0
1,0,5,3,0,0,0.583333,0,0,1,0
2,0,1,2,1,0,0.184211,12,19.461538,1.5641,0
1,0,0,3,0,0,1,0,0,1,0
1,0,1,5,0,0,0.520833,0,70.375,5.625,0
1,0,1,8,0,0,0.75,0,0,1,0
3,35,36,7,0,0,0.436364,3,7.454545,1.2727,0
2,0,1,7,1,3,0.208333,0,58.333333,0.8333,0
1,0,1,2,0,0,0.75,0,0,1,0
1,0,1,0,1,0,0.625,0,5.75,1,0
2,0,1,1,0,0,0.625,2,37,5.5,0
1,0,0,11,0.8,2,0.375,0,16.923077,1.4615,0
1,0,0,5,0,0,0.4,0,0,1,1
1,1,1,6,0.5,0,0.285714,0,12.25,0.75,0
1,0,36,4,0,0,0.75,0,0,1,0
2,0,1,6,0.8,3,0.333333,0,27.857143,0.7143,0
1,0,5,2,1,2,0.5,0,53.666667,0.3333,0
1,0,0,6,0,0,0.375,0,0,1,0
1,0,1,9,1,4,0.307692,0,27.153846,4.1538,1
4,0,0,13,0,0,0.538462,4,4.538462,0.9231,0
3,0,1,1,0.5,0,0.555556,7,11.666667,0.6667,0
1,0,0,3,0,0,0.666667,0,0,1,0
4,0,0,15,0,0,0.4,4,4.6,0.9333,0
2,2,3,20,1,2,0.174479,3,90.848485,1.0606,1
