@relation 'jedit-3.2_deleteColumns-weka.filters.unsupervised.attribute.Remove-R1,4-9,11,16-17'

@attribute dit numeric
@attribute noc numeric
@attribute lcom3 numeric
@attribute dam numeric
@attribute moa numeric
@attribute mfa numeric
@attribute cam numeric
@attribute amc numeric
@attribute max_cc numeric
@attribute avg_cc numeric
@attribute bug {1,0}

@data
1,0,1.015957,0.106383,16,0,0.40625,33.888889,2,1,0
2,0,0.625,1,0,0.636364,0.6,17.2,4,1.4,0
1,0,2,0,0,0,1,9,0,0,0
6,0,0.8,1,1,0.993893,0.32,40,2,1,0
7,0,0.5,1,1,0.993912,0.466667,70.8,3,1.6,0
2,0,2,0,0,0.947368,0.625,52,1,0.5,0
2,0,0.722222,0.75,1,0.724138,0.472222,21.6,3,1.2,1
6,0,0.5,1,0,0.996988,1,118,5,2.6667,0
8,0,2,0,0,0.998836,0.75,86.5,15,7.5,1
5,0,2,0,0,0.992974,0.5,16.875,3,1.125,0
1,0,2,0,0,0,0.52381,0,1,1,0
6,0,0.761905,0.666667,1,0.991018,0.5,14,2,0.875,1
4,0,0.927203,1,3,0.957037,0.127778,19.333333,20,1.9,1
2,0,1,0,0,0.857143,0.45,68.5,4,2.25,0
1,2,0.566667,0,3,0,0.236364,15.272727,3,1.0909,0
2,0,2,0,0,0.947368,0.625,91.5,1,0.5,0
2,0,1,0,0,0.947368,0.625,38,1,0.5,0
2,0,2,0,0,0.923077,0.75,6,1,0.5,0
6,0,0.5,1,0,0.996988,1,84,5,2,1
1,2,0.972222,0.333333,0,0,0.318182,32.538462,10,2.4615,0
6,0,0.458333,1,1,0.996241,0.4375,36,8,2.6,1
1,0,2,0,0,0,1,0,1,1,0
1,0,0.795455,0.25,2,0,0.083333,31.622222,12,2.0222,0
1,0,2,0,0,0,0.155983,42.25,30,3.1111,0
1,0,2,0,0,0,1,3,0,0,0
1,0,0.873016,0.8,5,0,0.140909,25.272727,11,2.6818,1
1,0,0.5,1,0,0,0.166667,7.857143,4,1.5714,0
7,0,0.875,1,0,0.977545,0.1875,37.294118,5,1.1765,0
4,0,2,0,0,1,1,4,0,0,0
6,16,1,1,1,0.996937,0.5,18.333333,1,0.6667,0
5,0,0.813131,1,3,0.973174,0.19883,24.631579,9,2.0526,1
6,0,0.5,1,1,0.996988,1,80,1,0.6667,1
3,0,0.75,1,0,0.809524,0.466667,5.4,1,0.8,0
3,0,2,0,0,1,1,4,0,0,0
5,15,0.805556,1,0,0.986405,0.5,24.4,2,1.1,1
1,13,0.761905,1,2,0,0.354167,6.875,3,1.25,0
2,0,0.888889,1,5,0.419355,0.233918,55.894737,33,5.5789,1
1,0,0.900621,1,0,0,0.15528,20.958333,6,1.875,1
1,0,0.951111,0.48,1,0,0.314286,140.6,32,8.5,1
2,0,0.285714,1,0,0.695652,0.40625,20.625,2,1.375,0
1,0,2,0,0,0,0,148,0,0,0
1,0,0.64,1,2,0,0.112903,38.290323,23,3.129,1
1,0,0.751701,0.166667,1,0,0.5,123.7,163,8.68,0
1,0,0,1,0,0,0.666667,13.25,3,1.75,0
1,0,0.72,1,1,0,0.16,20.727273,5,1.7273,0
1,0,0.7,0.8,0,0,0.323529,39.058824,13,2.1176,0
6,0,0.5,1,1,0.996988,1,76,3,1.6667,0
6,0,0.761905,0.666667,1,0.991018,0.5,14,2,0.875,1
2,0,2,0,0,0.857143,0.583333,42.75,1,0.75,0
2,0,0.863636,1,4,0.541667,0.319444,36.5,12,3.3333,1
1,0,0.529412,0.705882,0,0,0.296296,45.666667,7,1.5926,0
2,0,0.809524,1,0,0.7,0.392857,14.428571,3,1.4286,1
5,0,0.5,1,1,0.995856,0.416667,14,2,1,0
2,0,0.5,1,0,0.777778,0.444444,22.333333,6,2.3333,0
6,0,0.892361,0.875,8,0.922747,0.078469,24.836364,13,2.5091,1
1,4,0.993197,0.142857,0,0,0.392045,9.545455,4,1.3182,1
1,0,0.766234,0,1,0,0.375,42.125,1,0.375,0
2,0,2,0,0,0.777778,0.466667,5.666667,1,0.6667,0
2,0,0.444444,1,0,0.7,0.357143,18.25,5,1.75,0
7,0,0.833333,1,0,0.986405,0.3,36.6,5,1.3,0
8,0,2,0,0,0.998836,0.75,49,7,3.5,1
1,0,0.6,0,0,0,0.28,61.166667,11,3,0
3,0,1.222222,0.133333,0,0.85,0.5,13,1,0.75,0
2,0,2,0,0,0.947368,0.625,31.5,1,0.5,0
1,0,0.888889,1,1,0,0.157407,5.2,3,1.16,0
1,0,0.708333,0.625,1,0,0.274854,65.052632,5,1.6316,0
8,0,2,0,0,1,1,82,0,0,1
1,0,0.669643,0.125,1,0,0.333333,24.533333,6,2.2667,0
3,0,0.375,1,2,0.818182,0.366667,32.4,7,2.6,0
2,0,0.833333,0.666667,0,0.64,0.30303,13.909091,4,1.5455,0
1,0,2,0,0,0,0.666667,0,1,1,1
3,0,0.44,0.4,1,0.85,0.333333,62.666667,14,4.3333,0
1,0,1.4375,0,2,0,0.5,4,2,1,0
2,0,2,0,0,0.104167,0.054675,7.172414,3,1.023,0
3,0,2,0,0,0.857143,0.75,4,1,0.5,0
2,0,0.616667,0.6,2,0.454545,0.285714,69,5,3.1429,1
5,0,0.794118,0.583333,5,0.976084,0.317647,28.944444,7,1.9444,1
2,0,2,0,0,0.947368,0.625,14,1,0.5,0
1,0,2,0,0,0,1,0,1,1,0
5,0,0.25,1,0,0.993912,0.6,66.4,12,4.2,0
6,0,2,0,0,0.997382,0.5,14,1,0.6667,0
6,0,0.814815,1,0,0.982196,0.5,38.076923,12,2.3077,1
3,0,2,0,0,1,0.75,3.5,0,0,0
2,0,0.8,1,0,0.565217,0.4,19.272727,8,2.2727,1
8,0,2,0,0,0.998836,0.75,62.5,9,4.5,1
7,0,0.814815,1,1,0.986405,0.25,46.1,9,2.3,1
1,0,0.68,0,1,0,0.458333,19.5,2,1.3333,1
6,0,0.691667,1,1,0.978986,0.22449,26.761905,13,2.7619,1
2,0,1,0,0,0.947368,0.625,16,1,0.5,0
2,0,1,0,0,0.9,0.533333,89.666667,1,0.6667,0
7,0,2,0,0,0.996947,0.555556,53,1,0.6667,1
6,0,0.711538,1,0,0.993994,0.5,73.6,6,2,1
1,35,0.888889,0.5,4,0,0.233083,11.315789,6,1.6316,0
2,0,1.125,0.625,4,0.947368,0.625,63.5,1,0.5,0
2,0,2,0,0,0.947368,0.6,18.5,1,0.5,0
1,0,2,0,0,0,1,0,1,1,0
1,0,0.91875,1,4,0,0.183824,10.117647,4,1.4118,1
6,0,0.666667,1,2,0.993893,0.4,28.8,1,0.8,1
6,0,0.777778,1,3,0.990868,0.285714,19.285714,1,0.8571,1
3,0,0.927273,0.181818,1,0.6,0.4,10.666667,1,0.6667,0
1,0,2,0,0,0,0.6,0,1,1,0
1,0,0.718392,0.8,8,0,0.183375,57.458647,46,5.5439,0
1,0,2,0,0,0,0.363636,40.454545,6,3.5455,0
3,0,1.12,0,0,0.85,0.5,28.833333,14,2.8333,0
1,0,0.833333,1,0,0,0.180556,36.153846,6,2.5385,1
2,0,2,0,0,0.947368,0.625,14,1,0.5,0
7,0,0.782051,1,0,0.981955,0.217949,46.538462,7,1.7692,0
2,0,2,0,0,0.947368,0.625,17,1,0.5,0
2,0,0.714286,1,0,0.5,0.291667,26.375,8,2,0
5,0,0.857143,0.928571,3,0.98048,0.257143,36.071429,6,1.7857,1
2,0,0.75,0,0,0.714286,0.333333,20,3,1.2,0
1,0,0.745455,1,3,0,0.416667,18.25,5,2,1
2,0,0.5,0,0,0.818182,0.366667,29.4,10,4,0
5,0,0.575758,0.909091,0,0.995601,0.375,74.5,11,4,1
2,0,0.333333,0,0,0.666667,0.425,17.8,4,1.9,0
1,0,2,0,0,0,0.301587,99.444444,20,6,1
6,0,0.5,1,1,0.996988,1,102,3,1.6667,0
1,0,0.46875,1,0,0,0.6,51.2,10,3.8,0
1,0,0.886905,0.571429,0,0,0.178571,31.230769,7,2.3077,0
3,2,0.1,0,1,0.653846,0.575758,11.363636,2,1.1818,0
1,0,0.428571,1,1,0,0.395833,16,5,1.375,0
5,0,0.833333,1,3,0.994437,0.32,90,3,1.4,0
2,0,0.673077,1,1,0.842105,0.619048,62.214286,10,2.0714,1
3,0,0.672727,1,0,0.666667,0.30303,40.333333,17,4.3333,1
6,0,0.9,1,2,0.970194,0.169312,22.714286,8,1.8571,1
1,0,2,0,0,0,0.75,0,1,1,0
2,0,2,0,0,0.9,0.6,20,1,0.6667,0
2,0,1,0,0,0.947368,0.666667,24.5,1,0.5,0
1,0,0.666667,1,1,0,0.5,8,2,1,0
6,0,0.775,1,0,0.984871,0.363636,52.363636,12,1.9091,1
2,0,2,0,0,0.947368,0.625,24,1,0.5,0
1,0,2,0,0,0,0.555556,3,2,1,0
5,0,0.633333,1,2,0.981955,0.323077,29.230769,8,1.6154,1
1,0,0.678571,1,2,0,0.234375,18.5,6,2,0
7,0,1,1,0,0.996947,0.666667,57.333333,1,0.6667,1
1,0,0.785714,1,3,0,0.247619,47.666667,13,4.4,1
3,0,0.875,0.25,0,0.666667,0.5,8.2,1,0.6,0
2,0,1,0,0,0.9,0.444444,32.333333,6,2.3333,0
1,2,0.8,1,0,0,0.205357,6.875,3,1.1875,0
2,0,0.8,1,0,0.924242,0.305556,49.166667,8,2,1
8,0,2,0,0,0.994206,0.333333,23,5,2.1667,0
6,0,0.392344,1,2,0.983655,0.5,51.166667,5,1.4167,1
7,0,0.869231,1,2,0.98048,0.174603,48.857143,9,2.2143,1
2,0,0.771429,1,0,0.722222,0.722222,36.166667,7,3,1
1,0,2,0,0,0,0.444444,0,1,1,0
2,0,2,0,0,0.9,0.75,2,1,0.5,0
1,0,2,0,0,0,0.183673,32.928571,14,3.7143,1
2,0,0.5,1,0,0.777778,0.444444,34,11,4,0
2,0,0.6,1,0,0.6875,0.47619,22.166667,3,1.3333,0
1,0,0.666667,1,1,0,0.265306,57.142857,14,4.1429,1
7,0,0.642857,1,0,0.993912,0.4,73.6,6,2.6,0
2,0,0.5625,1,0,0.935484,0.466667,38,8,2.2,1
3,0,0.952558,0.790698,7,0.324324,0.068783,38.714286,25,3.5317,1
7,0,0.808036,1,3,0.97901,0.283333,77,7,1.3333,1
1,0,1.5,0,0,0,0.833333,0,1,1,0
4,0,2,0,0,1,1,4,0,0,0
1,0,0.622222,1,0,0,0.35,28.4,10,2.8,0
1,0,2,0,0,0,0.430769,0,1,1,0
1,0,2,0,1,0,1,15,0,0,0
5,0,0.5,1,0,0.996711,0.5,44.666667,2,1,0
6,0,0.816667,1,1,0.982196,0.24359,26.384615,5,1.9231,0
7,0,0.8,1,0,0.992401,0.388889,50.333333,1,0.8333,0
7,6,2,0,0,1,1,92,0,0,0
1,0,2,0,0,0,1,0,1,1,0
1,0,0.666667,1,0,0,0.333333,13.25,4,2,0
5,0,0.4,1,1,0.991817,0.277778,20,1,0.8333,1
2,0,0.875,0,2,0.9,0.555556,42.333333,1,0.6667,0
6,0,0.785714,1,0,0.982196,0.333333,32.153846,9,2.2308,1
2,0,1,0,0,0.947368,0.625,9.5,1,0.5,0
2,0,2,0,0,0.807692,0.5,14.5,2,1,1
2,0,0.760684,1,1,0.824324,0.22449,21.5,8,1.7143,1
2,0,1.142857,0,0,0.818182,0.72,48.8,1,0.8,0
1,0,0.773109,1,0,0,0.104575,39.166667,16,2.7222,0
2,0,1,0,0,0.947368,0.75,3.5,1,0.5,0
2,0,0.828571,0.5,3,0.333333,0.236364,113.363636,17,4.9091,1
1,2,0.375,1,0,0,0.296296,18.222222,6,1.8889,0
6,0,2,0,0,0.997382,0.444444,22.666667,2,1,0
1,2,0.777778,0,0,0,0.4,6.6,1,0.7,1
1,0,1.8,0,2,0,0.666667,13,1,0.5,1
4,0,0.899522,1,3,0.936232,0.136752,23.977778,12,2.0889,1
2,0,2,0,0,0.9,0.533333,25.333333,1,0.6667,0
1,0,0.666667,1,0,0,0.5,5.25,1,0.75,0
1,0,0.65,1,1,0,0.416667,7.833333,2,1,1
2,0,0.93007,0.461538,2,0.152174,0.231061,55,9,1.7778,0
3,0,2,0,0,1,1,4,0,0,0
2,0,1.0625,0,0,0.636364,0.285714,44.333333,25,5.1667,0
3,0,0.375,1,2,0.818182,0.366667,32.4,7,2.6,0
3,0,2,0,0,1,1,4,0,0,0
2,0,0.666667,1,0,0.7,0.375,12.25,6,2,0
1,1,0.949091,0.818182,4,0,0.111765,30.803922,6,1.5882,0
1,0,2,0,0,0,0,496,0,0,0
3,0,2,0,0,1,1,4,0,0,0
1,0,0,1,0,0,0.666667,14.25,2,1.5,0
6,0,0.898438,1,1,0.976012,0.213235,18.176471,5,1.3529,1
2,0,0.75,0.5,0,0.777778,0.444444,48,18,7.3333,0
6,0,0.833333,1,2,0.992378,0.333333,36.166667,1,0.8333,0
2,0,1,0,0,0.947368,0.666667,8,1,0.3333,0
1,0,0.921126,0.717391,1,0,0.138067,42.483051,9,1.4492,0
1,0,0.858586,1,3,0,0.103896,11.652174,9,1.4783,1
1,0,0.5,1,0,0,0.259259,11.111111,3,1.5556,0
1,0,0.436364,1,0,0,0.395833,16.75,3,1.3333,0
1,0,2,0,0,0,0.3,40.2,6,3,0
1,0,1,0,0,0,0.75,6,0,0,0
1,0,2,0,0,0,1,0,1,1,0
2,0,0.375,1,0,0.636364,0.3,24,4,1.6,0
1,3,2,0,0,0,0.416667,7.166667,2,1.5,0
7,0,0.943182,0.875,1,0.983434,0.222222,54.916667,5,1.25,1
2,0,2,0,0,0.782609,0.229167,45.666667,1,0.8333,0
1,6,2,0,0,0,0.414286,1.714286,1,0.9286,0
3,0,0.833333,0.333333,0,0.666667,0.5,7.8,1,0.6,0
7,0,0.8,1,0,0.992401,0.25,8,1,0.8333,1
8,0,2,0,0,1,1,110,0,0,0
2,0,0.625,0,0,0.818182,0.433333,39.4,1,0.8,0
2,0,1,0,0,0.947368,0.625,12.5,1,0.5,0
2,0,0.5,1,0,0.777778,0.444444,24,5,2,0
1,0,0.5,0,0,0,0.466667,29.4,5,1.8,1
1,0,0,1,0,0,0.666667,13.25,3,1.75,0
4,0,0.1,0,0,0.764706,0.545455,14.454545,2,0.9091,0
1,0,0.53125,1,0,0,0.6,47.6,10,3.8,0
2,0,2,0,0,0.72,0.363636,32.875,1,0.875,0
2,0,2,0,0,0.947368,0.625,30.5,1,0.5,0
2,0,0,1,0,0.714286,0.666667,10,1,0.6667,0
2,0,1,0,0,0.947368,0.666667,8,1,0.5,0
2,0,2,0,0,0.947368,0.625,13,1,0.5,0
1,0,0.555556,0.333333,2,0,0.357143,73.5,2,1,0
5,0,2,0,0,0.996947,1,17.333333,1,0.6667,0
1,0,2,0,0,0,1,3,0,0,0
2,0,0.94,0.6,0,0.525,0.375,45.47619,16,3.1905,1
7,0,0.611111,1,1,0.993812,0.3,28.142857,8,2.1429,1
1,0,0.915102,1,7,0,0.059418,42.858586,56,4.0707,1
3,0,2,0,0,1,1,4,0,0,0
2,0,0.333333,0,0,0.75,0.457143,6.428571,1,0.8571,0
2,0,0.95,0.75,0,0.807692,0.541667,19.333333,4,1.3333,0
1,0,0.611111,0.833333,3,0,0.583333,33.75,3,1,1
2,0,0.72,1,3,0.5,0.305556,40.166667,10,2.3333,1
2,0,2,0,0,0.96,0.583333,12.333333,2,1,0
2,1,0.780952,1,2,0.166667,0.241071,26.25,14,2.625,1
1,0,2,0,0,0,0.75,0,1,1,0
1,0,0,1,0,0,0.466667,15.2,4,2,0
3,0,1,0,0,0.857143,0.35,18.5,1,0.75,0
1,0,0,1,0,0,0.484848,11.181818,2,1.1818,0
5,0,0.875,0.833333,1,0.981955,0.261538,21.846154,10,1.6923,1
