@relation data/M_multi_metrics_ML.csv-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R61-weka.filters.unsupervised.attribute.Remove-R41-weka.filters.unsupervised.attribute.Remove-R49-weka.filters.unsupervised.attribute.Remove-R48-weka.filters.unsupervised.attribute.Remove-R49-weka.filters.unsupervised.attribute.Remove-R28-weka.filters.unsupervised.attribute.Remove-R53-weka.filters.unsupervised.attribute.Remove-R40-weka.filters.unsupervised.attribute.Remove-R14-weka.filters.unsupervised.attribute.Remove-R6-weka.filters.unsupervised.attribute.Remove-R50-weka.filters.unsupervised.attribute.Remove-R32-weka.filters.unsupervised.attribute.Remove-R32-weka.filters.unsupervised.attribute.Remove-R16-weka.filters.unsupervised.attribute.Remove-R36-weka.filters.unsupervised.attribute.Remove-R43-weka.filters.unsupervised.attribute.Remove-R34-weka.filters.unsupervised.attribute.Remove-R31-weka.filters.unsupervised.attribute.Remove-R43-weka.filters.unsupervised.attribute.Remove-R21-weka.filters.unsupervised.attribute.Remove-R4-weka.filters.unsupervised.attribute.Remove-R31-weka.filters.unsupervised.attribute.Remove-R30-weka.filters.unsupervised.attribute.Remove-R7-weka.filters.unsupervised.attribute.Remove-R2

@attribute ck_oo_numberOfPrivateMethods numeric
@attribute LDHH_fanIn numeric
@attribute WCHU_numberOfPublicAttributes numeric
@attribute CvsWEntropy numeric
@attribute LDHH_numberOfPublicMethods numeric
@attribute LDHH_numberOfPrivateAttributes numeric
@attribute CvsEntropy numeric
@attribute LDHH_numberOfPublicAttributes numeric
@attribute WCHU_numberOfPrivateMethods numeric
@attribute ck_oo_numberOfPublicAttributes numeric
@attribute ck_oo_noc numeric
@attribute numberOfCriticalBugsFoundUntil: numeric
@attribute LDHH_numberOfPrivateMethods numeric
@attribute WCHU_numberOfPrivateAttributes numeric
@attribute CvsLogEntropy numeric
@attribute WCHU_noc numeric
@attribute LDHH_numberOfAttributesInherited numeric
@attribute ck_oo_fanOut numeric
@attribute ck_oo_numberOfLinesOfCode numeric
@attribute ck_oo_numberOfAttributesInherited numeric
@attribute ck_oo_dit numeric
@attribute ck_oo_fanIn numeric
@attribute LDHH_noc numeric
@attribute WCHU_dit numeric
@attribute ck_oo_lcom numeric
@attribute WCHU_numberOfAttributesInherited numeric
@attribute LDHH_numberOfLinesOfCode numeric
@attribute ck_oo_numberOfPrivateAttributes numeric
@attribute numberOfMajorBugsFoundUntil: numeric
@attribute WCHU_numberOfPublicMethods numeric
@attribute LDHH_dit numeric
@attribute WCHU_numberOfMethodsInherited numeric
@attribute LDHH_fanOut numeric
@attribute LDHH_numberOfMethodsInherited numeric
@attribute ck_oo_numberOfMethodsInherited numeric
@attribute ck_oo_numberOfPublicMethods numeric
@attribute class {buggy,clean}

@data
0,0,0,0.004944,0,0,1.49003,0,0,0,0,0,0,0,0.121386,0,0,12,76,1,3,0,0,0,0,0,0.009111,0,0,0,0,0,0.006771,0,5,0,buggy
0,0.001126,0,0.01636,0,0,2.9065,0,0,2,1,0,0,0,0.076735,0,0,0,32,0,1,1,0,0,15,0,0,0,0,0,0,2.02,0,0.009791,9,6,clean
0,0,0,0.002227,0,0,4.70448,0,0,0,0,0,0,0,9.20262,0,0,2,14,0,1,0,0,0,3,0,0.003498,0,0,0,0,0,0.003393,0,0,2,clean
1,0,0,0.027879,0,0,7.66451,0,0,0,0,0,0,0,9.27709,0,0,2,69,0,1,2,0,0,55,0,0,6,0,0,0,2.04,0.018159,0.009791,18,10,clean
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,clean
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,60,0,2,1,0,0,10,0,0,2,1,0,0,0,0,0,4,4,clean
2,0.001233,0,0.002656,0,0,1.40719,0,0,0,0,0,0,0,0.034881,0,0,2,71,0,1,0,0,0,136,0,0,4,0,0,0,2.02,0,0.009791,9,15,clean
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,33,4,3,1,0,0,6,0,0,4,0,0,0,1.1,0,0.027723,43,4,clean
6,0,0,0.005904,0,0,1.78572,0,1.02,0,0,0,0.000594,0,0.052765,0,0.001023,1,122,1,1,1,0,0,105,1.01,0.002035,4,0,0,0,4.13,0.001686,0.010674,113,9,clean
0,0.009522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,18,0,1,2,0,0,6,0,0,2,0,0,0,0,0,0,9,4,clean
0,0,0,0.001953,0,0,3.13741,0,0,0,0,0,0,0,9.14037,0,0,1,16,0,2,0,0,0,6,0,0,1,0,0,0,3.04,0,0.010847,19,3,clean
1,0.047453,0,0.034476,0.011852,0.003264,6.87646,0,3.05,0,0,1,0.008619,1.01,9.32549,0,0,9,79,0,1,15,0,0,36,0,0.009601,7,1,4.06,0,1.01,0.003393,0.005924,9,8,clean
4,0,0,0.172504,0.004075,0.006195,20.4305,0,3.03,0,0,2,0.005557,2.04,9.72916,0,0,9,217,0,1,1,0,0,21,0,0.037243,10,2,1.01,0,2.02,0.007077,0.009791,9,2,clean
0,0.013754,0,0.001875,0,0,1.49003,0,0,0,1,0,0,0,0.121386,0,0,1,13,0,2,2,0,0,6,0,0,2,0,0,0,1.1,0,0.027723,22,1,clean
0,0.066184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,1,3,0,0,210,0,0,11,0,0,0,0,0,0,18,21,buggy
15,0.001665,0,0.217807,0.001104,0.000957,15.72,0,1.08,0,0,1,0.0009,1.1,0.421471,0,0,15,456,0,1,0,0,0,120,0,0.003097,2,2,1.01,0,2.02,0.03945,0.009791,9,1,clean
0,0,0,0.017608,0,0,10.6456,0,0,0,0,0,0,0,9.43518,0,0,5,64,0,1,1,0,0,21,0,0.006479,4,0,0,0,0,0.00539,0,0,4,clean
0,0,0,0.002277,0,0.003264,1.84703,0,0,0,0,0,0,1.01,9.09329,0,0,3,61,0,1,1,0,0,21,0,0.003498,1,0,0,0,1.01,0,0.005924,9,7,clean
0,0,0,0.042056,0,0,7.58067,0,0,0,0,0,0,0,9.27729,0,0.0025,3,54,7,1,0,0,0,6,2.07,0.002936,2,0,0,0,5.31,0.002663,0.016354,31,4,clean
0,0.058192,0,0.004776,0,0,3.33706,0,0,0,8,0,0,0,9.21468,1.01,0,0,36,0,1,31,0.00377,0,55,0,0,5,0,0,0,0,0,0,9,11,clean
0,0.003678,0,0.008344,0.004651,0.004769,8.73103,0,0,0,0,0,0,3.04,9.32615,0,0,0,23,0,2,6,0,1.01,21,0,0.005585,5,0,3.06,0.000875,3.08,0,0.012165,22,7,clean
3,0,1.03,0.023915,0,0,5.41242,0,0,8,0,0,0,0,9.19356,0,0,11,307,0,1,0,0,0,45,0,0,0,1,0,0,2.02,0.044241,0.009791,9,7,clean
2,0,0,0.034676,0.001655,0.003174,11.5189,0,1.01,0,0,0,0.0012,2.02,9.39297,0,0,3,34,0,1,0,0,0,6,0,0.003043,3,0,1.01,0,2.02,0.004111,0.009791,9,2,clean
0,0,0,0.002557,0,0,6.11627,0,0,0,0,0,0,0,9.25218,0,0,3,13,0,2,0,0,0,6,0,0.004263,0,0,0,0,2.02,0,0.009791,17,0,clean
0,0,0,0.000949,0,0,1.84703,0,0,0,1,0,0,0,9.09329,0,0,1,47,0,1,1,0,0,15,0,0,1,0,0,0,0,0,0,0,4,clean
0,0,0,0.002692,0,0,3.33706,0,0,0,0,0,0,0,9.21468,0,0,1,9,1,2,0,0,0,3,0,0.004384,1,0,0,0,1.01,0,0.005924,15,0,clean
0,0,0,0.017626,0,0.010189,9.62849,0,0,0,0,0,0,1.01,9.40165,0,0,5,99,0,1,2,0,0,6,0,0.009643,1,0,0,0,0,0.029215,0,0,4,clean
0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,clean
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,122,16,3,1,0,0,36,0,0,4,1,0,0,0,0,0,49,7,buggy
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,1,1,0,0,1,0,0,2,0,0,0,0,0,0,9,1,buggy
0,0,0,0.017674,0.002241,0,11.4778,0,0,0,0,0,0,0,9.44939,0,0,14,63,0,2,0,0,0,66,0,0.004601,0,1,1.02,0,8.12,0.01125,0.022649,31,12,clean
0,0,0,0.001763,0,0,4.58293,0,0,0,0,0,0,0,9.17116,0,0,0,41,0,1,2,0,0,91,0,0,6,0,0,0,2.02,0,0.009791,9,14,clean
0,0.001602,0,0.061734,0.003194,0.004547,18.4529,0,0,0,0,0,0,2.05,9.61644,0,0,9,84,0,2,1,0,1.01,3,0,0.005028,1,0,2.03,0.001571,2.09,0.012691,0.004479,7,2,buggy
0,0.006419,0,0.001081,0,0,3.39209,0,0,0,0,0,0,0,9.15904,0,0.005667,1,23,2,4,3,0,1.01,15,2.02,0,1,0,0,0.002921,6.96,0,0.019903,170,6,clean
0,0,0,0.052219,0,0,10.5612,0,0,0,0,0,0,0,9.34163,0,0,3,65,0,1,3,0,0,6,0,0,0,0,0,0,2.02,0,0.009791,9,4,clean
0,0,0,0.013317,0,0,5.0865,0,0,0,0,0,0,0,0.166306,0,0,0,43,0,1,0,0,0,21,0,0.003043,3,0,0,0,3.29,0.002623,0.011815,9,7,clean
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,clean
0,0,0,0.005312,0,0,3.37801,0,0,0,0,0,0,0,9.16485,0,0,4,106,0,1,2,0,0,6,0,0.011097,4,0,0,0,0,0.004111,0,0,4,buggy
0,0.005593,0,0.000949,0,0,1.84703,0,0,0,0,0,0,0,9.09329,0,0,1,22,1,1,1,0,0,21,0,0,4,0,0,0,1.01,0,0.005924,14,6,clean
0,0,2.1,0,0,0,0,0.026356,0,38,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,buggy
0,0.006837,0,0.192404,0,0.001218,18.8264,0,0,0,0,0,0,1.01,9.60696,0,0,1,19,0,1,2,0,0,15,0,0.001143,4,0,0,0,3.09,0,0.011815,9,6,clean
0,0,0,0,0.006379,0.010189,0,0,0,0,0,0,0,1.01,0,0,0,0,23,0,1,4,0,0,21,0,0.007599,3,0,1.02,0,0,0,0,0,7,clean
0,0.006191,0,0.004835,0,0,4.15475,0,0,0,0,0,0,0,9.19857,0,0,0,20,0,1,4,0,0,15,0,0,4,0,0,0,1.01,0,0.005924,9,6,clean
0,0,0,0.008271,0,0,6.83865,0,0,0,0,0,0,0,9.28183,0,0,4,19,2,3,1,0,0,3,0,0.003043,0,0,0,0,4.15,0,0.014101,42,3,clean
0,0.007271,0,0.000949,0,0,1.84703,0,0,0,0,0,0,0,9.09329,0,0,1,29,0,1,2,0,0,28,0,0,3,0,0,0,1.01,0,0.005924,15,8,clean
0,0.005815,0,0.016954,0,0,5.94514,0,0,0,0,1,0,0,9.22122,0,0,2,82,0,3,0,0,0,91,0,0.01023,7,1,0,0,2.08,0.002623,0.009791,52,14,clean
0,0,0,0.001773,0,0,1.34306,0,0,0,0,0,0,0,0.032607,0,0,0,27,0,1,1,0,0,10,0,0,0,0,0,0,0,0,0,0,5,clean
3,0,0,0.061515,0,0,13.9579,0,0,0,0,0,0,0,9.49991,0,0,11,133,4,2,0,0,0,15,0,0.005204,3,0,0,0,0,0.025472,0,12,1,clean
4,0,0,0.019605,0.006611,0,1.49003,0,0,0,0,0,0,0,0.121386,0,0,14,309,1,2,1,0,0,561,0,0.01497,8,0,1.02,0,0,0.022485,0,27,30,clean
2,0,0,0.040174,0,0,11.7194,0,0,0,0,0,0,0,9.43991,0,0,7,111,0,1,1,0,0,15,0,0.001327,3,0,0,0,0,0.024405,0,0,3,clean
0,0,0,0.008085,0,0,5.94514,0,0,0,0,1,0,0,9.22122,0,0,1,40,0,2,0,0,0,21,0,0.01023,3,1,0,0,3.31,0.002623,0.011815,25,7,clean
1,0,0,0.025216,0.003194,0.013067,9.68542,0,1.01,0,0,0,0.003114,2.04,9.43089,0,0,6,31,0,1,9,0,0,1,0,0.003167,0,0,1.01,0,2.02,0.003794,0.009791,9,1,clean
0,0,0,0.002291,0,0,4.61832,0,0,0,0,1,0,0,9.17816,0,0,5,76,1,2,3,0,0,78,0,0.003349,1,1,0,0,2.02,0,0.009791,23,13,clean
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,22,0,1,1,0,0,3,0,0,1,0,0,0,0,0,0,0,3,buggy
3,0.006419,0,0.014471,0.006798,0,3.33706,0,1.03,0,0,0,0.004871,0,9.21468,0,0,3,53,0,1,3,0,0,45,0,0.004908,1,0,2.02,0,0,0.059041,0,0,5,clean
0,0.013754,0,0.000682,0,0.007905,1.49003,0,0,0,0,0,0,1.01,0.121386,0,0,3,11,7,3,0,0,0,1,0,0.009937,2,0,0,0,1.1,0,0.027723,39,2,clean
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,461,0,1,5,0,0,105,0,0,29,0,0,0,0,0,0,9,4,buggy
0,0.036188,0,0.003657,0.005692,0,4.7898,0,0,0,0,0,0,0,9.21441,0,0,1,36,0,1,12,0,0,66,0,0.005486,0,0,2.09,0,1.01,0,0.005924,9,12,clean
1,0.021362,0,0.018047,0.021139,0,2.38141,0,0,0,1,0,0,0,9.07779,0,0,20,263,0,2,3,0,0,465,0,0.049891,4,1,3.07,0,2.09,0.056435,0.004816,12,26,clean
0,0.006874,0,0.001193,0,0,1.49003,0,0,0,0,0,0,0,0.121386,0,0,4,24,4,3,1,0,0,6,0,0,1,0,0,0,1.1,0,0.027723,43,4,clean
4,0.017931,0,0.00695,0,0,7.58607,0,0,0,0,0,0,0,9.3141,0,0,8,205,0,1,1,0,0,153,0,0.010535,10,0,0,0,0,0.024777,0,0,12,clean
0,0,0,0,0.012529,0.012522,0,0,0,0,0,0,0,1.01,0,0,0,9,83,0,1,3,0,0,91,0,0.022484,6,0,1.02,0,0,0.03446,0,9,14,clean
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,2,1,0,0,6,0,0,2,0,0,0,1.1,0,0.027723,22,1,clean
0,0,0,0.014507,0.003348,0,2.8654,0,0,0,0,0,0,0,0.077595,0,0,1,6,0,2,0,0,0,1,0,0.003498,0,0,1.01,0,3.03,0.003393,0.012459,11,2,clean
0,0,0,0.002704,0,0,2.38141,0,0,0,0,0,0,0,9.07779,0,0,5,50,0,2,2,0,0,21,0,0.004384,1,1,0,0,3.07,0.006771,0.056265,14,7,buggy
0,0,0,0.001369,0,0,3.24474,0,0,0,0,0,0,0,9.14866,0,0,3,51,0,1,0,0,0,105,0,0,0,0,0,0,2.02,0,0.009791,9,15,clean
0,0,0,0.002541,0,0.010189,3.26838,0,0,0,0,0,0,1.01,9.16383,0,0,1,26,4,2,0,0,0,1,0,0,1,0,0,0,1.01,0,0.005924,11,2,clean
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,146,0,1,9,0,0,105,0,0,2,1,0,0,0,0,0,13,13,buggy
2,0.014027,0,0.848744,0.009602,0.008363,35.5302,0,1.02,0,0,4,0.000798,4.11,10.0764,0,0.030844,9,198,25,4,1,0,2.02,36,2.02,0.044594,11,5,2.03,0.006657,8.3,0.023262,0.019174,78,3,clean
0,0,0,0.001587,0,0,4.88878,0,0,0,0,0,0,0,9.22338,0,0,1,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,clean
0,0,0,0.000949,0,0,1.84703,0,0,0,0,0,0,0,9.09329,0,0,0,3,0,1,1,0,0,0,0,0,1,0,0,0,2.03,0,0.033647,26,1,clean
0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,clean
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,clean
0,0,0,0.029353,0,0,2.88496,0,0,0,0,0,0,0,0.079964,0,0.001023,5,186,3,1,1,0,0,21,1.03,0,3,0,0,0,4.25,0.001686,0.010674,125,4,clean
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,40,0,1,1,0,0,3,0,0,3,0,0,0,0,0,0,9,1,buggy
0,0,0,0.001781,0,0,3.7967,0,0,0,0,0,0,0,9.14904,0,0,3,16,0,1,1,0,0,1,0,0,0,0,0,0,2.02,0,0.009791,9,2,clean
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,227,0,2,1,0,0,210,0,0,8,0,0,0,0,0.022087,0,12,19,clean
0,0,0,0.023841,0,0,8.24642,0,0,0,0,0,0,0,0.205613,0,0,1,23,0,1,0,0,1.01,3,0,0,2,0,0,0.000875,3.05,0,0.012165,9,3,clean
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,134,0,1,2,0,0,36,0,0.026968,6,0,0,0,0,0,0,0,4,buggy
0,0,1.01,0,0,0,0,0.014053,0,23,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,clean
3,0,0,0.150819,0,0.015122,15.0673,0,1.01,0,0,1,0.001861,3.04,9.58228,0,0,10,251,0,1,5,0,0,45,0,0.018491,7,2,0,0,0,0.012262,0,0,5,buggy
1,0.003678,0,0.000581,0,0,0.95565,0,0,0,0,0,0,0,0.136886,0,0,5,130,0,1,3,0,0,28,0,0.012507,2,0,0,0,1.01,0.012361,0.005924,9,7,buggy
0,0.013341,0,0.008759,0,0,14.3114,0,0,0,0,0,0,0,9.46929,0,0,0,14,0,1,8,0,0,6,0,0,0,0,0,0,0,0,0,0,4,clean
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1,clean
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,1,0,0,0,0,0,0,2,0,0,0,2.02,0,0.009791,9,1,clean
0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,clean
5,0.008144,0,0.049919,0.008001,0.012292,12.7925,0,4.09,0,0,0,0.015175,4.1,9.56194,0,0,11,136,0,1,1,0,0,120,0,0.024628,6,0,3.04,0,3.05,0.012675,0.012165,12,10,clean
3,0.003485,0,0.104889,0.003803,0.003995,14.1081,0,1.01,0,0,0,0.002774,2.02,9.57627,0,0.002308,16,324,0,3,1,0,1.01,66,1.03,0.021208,10,0,2.02,0.002921,1.05,0.006073,0.002341,14,6,buggy
0,0.023755,0,0.005326,0,0,4.15475,0,0,0,5,0,0,0,9.19857,6.07,0,2,31,0,1,7,0.022523,0,21,0,0.007936,2,0,0,0,1.01,0,0.005924,9,7,clean
0,0.003485,0,0.005702,0.003348,0,7.45802,0,0,0,1,1,0,0,9.31408,0,0,1,6,0,1,2,0,0,1,0,0.003498,0,1,1.01,0,2.02,0.003393,0.009791,9,2,clean
1,0.002153,0,0.039501,0,0.011863,13.2646,0,0,0,0,1,0,2.03,9.50082,0,0,6,54,0,1,2,0,0,3,0,0.010956,0,2,0,0,0,0.012393,0,0,2,buggy
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,1,1,0,0,1,0,0,2,0,0,0,0,0,0,9,1,buggy
0,0,0,0.004413,0,0,3.37801,0,0,0,0,0,0,0,9.16485,0,0,0,7,7,1,1,0,0,1,0,0,1,0,0,0,2.03,0.003393,0.008591,31,2,clean
0,0.008973,0,0.057452,0,0,5.94514,0,0,0,0,1,0,0,9.22122,0,0,8,288,0,2,2,0,0,1035,0,0.01023,23,1,0,0,2.06,0.002623,0.009791,35,46,clean
5,0,0,0.030131,0.003803,0.000731,10.9344,0,0,0,0,0,0,1.01,9.4805,0,0.030844,10,265,25,4,1,0,2.02,91,2.02,0.016453,15,1,2.02,0.006657,8.3,0.003005,0.019174,78,5,clean
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,1,0,0,0,231,0,0,10,0,0,0,2.02,0,0.009791,9,22,clean
3,0.003083,0,0.069027,0,0.002022,7.41111,0,0,0,0,0,0,2.03,0.20874,0,0.000514,17,308,4,2,12,0,0,703,1.02,0.002881,21,0,0,0,1.02,0.003534,0.000376,10,34,clean
0,0,0,0.002143,0,0,3.13741,0,0,0,0,0,0,0,9.14037,0,0,6,87,0,1,3,0,0,21,0,0,5,0,0,0,2.02,0.024144,0.009791,12,7,clean
1,0.025538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,63,0,1,4,0,0,36,0,0.00586,3,0,0,0,0,0.008081,0,9,8,clean
1,0,0,0.013388,0.006075,0.002734,8.94961,0,0,0,0,0,0,1.01,9.36564,0,0,9,65,0,1,2,0,2.02,45,0,0.009919,4,1,3.12,0.004356,5.14,0.020267,0.015794,9,9,clean
0,0.006419,0,0.002548,0,0,6.12708,0,0,0,0,0,0,0,9.25052,1.02,0,3,32,0,1,0,0.004973,0,1,0,0.007599,0,0,0,0,0,0.015771,0,0,0,clean
4,0,0,0,0.046059,0.045459,0,0,0,0,0,0,0,1.01,0,0,0,7,153,0,1,6,0,0,136,0,0.074453,5,2,1.02,0,0,0.053053,0,9,13,clean
0,0,0,0.060614,0,0,5.38371,0,0,0,0,0,0,0,0.132776,0,0,6,326,0,1,0,0,0,55,0,0,9,1,0,0,0,0.004661,0,0,11,clean
0,0.007608,0,0.005967,0,0,1.49003,0,0,0,4,0,0,0,0.121386,1.02,0,4,51,1,2,8,0.004498,0,36,0,0,1,0,0,0,0,0,0,27,6,clean
0,0,0,0.002243,0,0,2.92733,0,0,0,0,0,0,0,9.15676,0,0,1,20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,clean
0,0,0,0.005414,0,0,4.15475,0,0,0,0,0,0,0,9.19857,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.01,0,0.005924,9,0,buggy
0,0,0,0.006308,0,0,1.49003,0,0,0,1,0,0,0,0.121386,0,0,3,22,0,2,1,0,0,15,0,0.004384,4,0,0,0,1.1,0,0.027723,22,1,clean
