@relation 'ivy-1.4_deleteColumns-weka.filters.unsupervised.attribute.Remove-R1-2,4-12,14,16-17'

@attribute noc numeric
@attribute moa numeric
@attribute cam numeric
@attribute amc numeric
@attribute max_cc numeric
@attribute avg_cc numeric
@attribute bug {1,0}

@data
0,0,0.5,20.5,7,3.5,0
0,2,0.316667,10.833333,2,0.9167,0
0,1,0.5,4,1,0.5,0
0,3,0.26,5.454545,1,0.8182,0
0,0,1,0,1,1,0
0,0,0.466667,20.4,2,1,0
0,0,0.412162,15.351351,1,0.973,0
0,0,0.207692,28.153846,5,1.3846,0
0,0,0.666667,4,1,0.5,0
0,2,0.282051,14.692308,5,1.1538,0
0,0,1,0,1,1,0
0,2,0.26,7,1,0.7333,0
0,0,0.314286,96.8,13,3.4,0
0,0,0.3625,0,1,1,0
0,0,0.666667,28.833333,1,0.6667,0
0,0,0.458333,12.375,1,0.875,0
1,1,0.466667,6.8,1,0.8,0
0,0,1,0,1,1,0
0,1,0.5,4.6,2,0.8,0
0,0,0.183333,27.833333,4,1.5833,0
0,2,0.4375,6.25,2,1,0
0,0,0.285714,132.714286,11,5.1429,1
3,1,0.5,7.2,1,0.2,0
3,0,0.458333,11.5,7,1.6667,0
1,0,0.5,5.2,1,0.6,0
2,1,0.35,16.6,12,1.48,1
0,0,0.666667,4,0,0,0
0,0,0.35,19.21875,1,0.9688,0
0,0,0.625,14.2,3,1,0
5,1,0.188034,11.230769,5,1.2308,0
0,1,0.25,12.888889,2,1,0
0,7,0.068627,38.263415,20,2.122,1
0,0,0.666667,49,3,1.5,0
3,0,0.625,6.5,1,0.5,1
0,0,0.416667,32.666667,2,1.3333,0
0,0,0.4,13.8,2,1,0
0,0,0.444444,50,4,2,0
0,0,0.393939,8.272727,2,1.1818,0
0,0,0.5,28.5,1,0.5,0
0,1,0.46875,40.5,2,1,0
0,2,0.481481,5.222222,2,1.1111,0
0,0,0.555556,73.333333,8,5.3333,0
0,3,0.583333,64,6,3.3333,0
0,0,1,0,1,1,0
2,0,0.431818,7.545455,2,1.0909,0
0,0,0.357143,19.285714,1,0.8571,0
0,0,0.3125,16.625,6,2.75,0
0,0,0.530303,24,13,2.0455,0
0,0,0.75,0,1,1,0
0,0,0.625,46.25,1,0.75,0
2,2,0.466667,11,1,0.6667,0
0,2,0.407407,6,1,0.8889,0
0,0,1,4.666667,1,0.6667,0
0,3,0.21875,25.444444,4,1.1111,1
2,0,0.315789,15,8,1.4211,0
0,1,0.555556,6,2,1,0
0,4,0.666667,17.666667,3,1.3333,0
3,3,0.107813,11.475,6,1.5,0
0,0,1,0,1,1,0
0,1,0.6,5.833333,3,1.1667,0
0,1,0.283333,26.05,10,2,0
0,0,0.292857,43.952381,18,2.619,1
0,1,0.222222,17.230769,6,1.5385,0
0,0,0.71875,9.3125,1,0.9375,0
0,2,0.222222,13.266667,3,1.2,0
0,0,0.1375,16.714286,8,1.8571,0
0,3,0.236111,5.583333,2,1,0
0,0,0.168478,0,1,1,0
0,0,0.254902,22.823529,6,1.2353,0
1,0,0.192308,20.52,6,1.6,0
0,1,0.383333,30.454545,8,1.8182,0
0,0,0.7,3.9,1,0.9,0
0,2,0.5,7.25,3,1.25,0
0,0,0.4,20,7,1.6,0
0,1,0.6,16.5,1,0.5,0
0,0,0.404762,13.214286,3,1.1429,0
0,0,0.375,37.857143,4,1.2857,0
0,2,0.193878,8.466667,2,1.2,0
0,0,0.833333,9.166667,3,1.1667,0
0,0,0.359375,15.125,1,0.9375,0
0,0,0.323077,19.153846,8,1.5385,0
0,0,0.666667,4,0,0,0
0,0,0.75,0,1,1,0
0,3,0.25,12.866667,3,1.0667,0
0,0,1,0,1,1,0
0,0,0.361111,5.111111,1,0.8889,0
0,0,0.407407,15,4,1.3333,0
0,1,0.377778,17.222222,4,1.4444,0
0,5,0.079545,18.071429,6,1.4107,0
0,1,0.583333,9,1,0.75,0
0,0,0.75,0,1,1,0
0,0,0.285714,145,3,1.25,0
3,0,0.45,11.4,2,1,0
0,0,1,0,1,1,0
0,0,0.666667,22.166667,1,0.8333,0
0,0,0.75,0,1,1,0
0,0,0.666667,11.5,2,1,0
0,0,0.555556,4.333333,1,0.6667,0
0,1,0.34375,13.625,6,1.5,0
0,0,0.571429,0,1,1,0
0,0,0.416667,41.5,5,2.1667,0
0,0,0.227778,37.95,3,1.1,0
0,1,0.205451,27.796296,5,1.2037,0
0,0,0.4,26.5,5,2,0
0,3,0.272727,3.818182,1,0.9091,0
0,0,0.466667,19,5,1.6,0
0,0,0.4,23.25,3,2,0
0,0,0.5,17.666667,2,1,0
0,0,0.320313,67.8125,1,0.9375,0
0,0,0.17619,25.761905,4,1.1905,0
0,0,0.4,18.2,1,0.6,0
0,1,0.5,2.8,1,0.6,0
0,2,0.466667,11.666667,1,0.6667,0
0,0,0.666667,12.5,1,0.5,0
0,0,0.666667,0,1,1,0
0,0,0.185897,0,1,1,0
0,0,0.296296,14.740741,1,0.963,0
1,0,0.6,4.6,1,0.8,0
0,1,0.466667,4.6,1,0.8,0
2,0,1,5,1,0.5,0
1,1,0.119298,58.652174,10,1.6739,0
0,0,0.666667,0,1,1,0
1,1,0.314286,6.714286,3,1.1429,0
0,1,0.5,2.8,1,0.6,0
19,0,0.285,25.461538,7,2.1923,1
0,0,0.75,0,1,1,0
2,1,0.6,10,1,0.5,0
0,1,0.333333,18,4,1.75,0
0,0,1,0,1,1,0
0,0,0.466667,14.666667,3,1,0
0,1,0.625,5.5,1,0.5,0
0,1,0.5,4.75,1,0.75,0
0,1,0.25,5.8,1,0.6,0
0,0,0.555556,5,1,0.6667,0
0,0,0.666667,29,4,2,0
0,1,0.533333,16.4,2,1.2,0
0,0,0.727273,7.272727,2,0.9091,0
0,0,0.342105,15.842105,3,1.0526,0
0,2,0.357143,169.714286,1,0.8571,1
0,2,0.5,7.25,3,1.25,0
0,0,0.833333,4,1,0.6667,0
0,1,0.458333,7.833333,2,1,0
0,1,0.666667,5.5,1,0.5,0
0,0,0.666667,0,1,1,0
0,5,0.141608,21.044444,9,1.5778,0
0,1,0.6,6.5,1,0.5,0
0,0,0.535714,5.857143,1,0.5714,0
0,0,0.4,9.3,3,1.3,0
0,0,1,0,1,1,0
0,0,0.666667,0,1,1,0
0,0,0.416667,291.333333,4,1.6667,1
2,0,0.466667,16.3,9,1.8,0
0,1,0.294643,10.5,1,0.8125,0
0,0,0.666667,0,1,1,0
0,0,0.7,18.8,1,0.8,0
0,1,0.75,3.333333,1,0.3333,0
0,0,0.372093,13.465116,1,0.9767,0
0,0,0.48,66.6,14,3.4,0
0,1,0.333333,7.733333,2,1,0
0,0,0.178571,36,7,1.5238,0
1,0,0.285714,5.5,2,1,0
0,1,1,16.333333,2,0.6667,0
0,0,0.4,19.285714,1,0.7143,0
0,1,0.393939,22,6,1.6667,0
0,0,1,6,0,0,0
0,0,0.5,12.75,3,1.4167,0
0,0,0.366667,0,1,1,0
0,0,0.139881,13.333333,8,1.8333,0
0,0,0.192308,9.076923,1,0.9231,0
0,6,0.098039,33.271845,26,2.5631,0
