@relation 'KC1-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.PrincipalComponents -R 0.95 -A 5-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N -1'

@attribute -0.248n-0.247total_Op-0.246total_Opnd-0.246v-0.243lOCode... numeric
@attribute 0.674l-0.332uniq_Op+0.286t+0.286e+0.259locCodeAndComment... numeric
@attribute -0.766locCodeAndComment-0.525lOComment-0.144lOBlank+0.124e+0.124t... numeric
@attribute -0.563lOComment+0.532locCodeAndComment-0.409l-0.236lOBlank-0.189i... numeric
@attribute 0.522i-0.382lOComment-0.366ev(g)+0.281uniq_Opnd+0.247l... numeric
@attribute '-0.461l+0.38 t+0.38 e-0.363ev(g)-0.345uniq_Op...' numeric
@attribute 0.628lOBlank+0.359uniq_Op-0.345iv(g)+0.332d-0.238i... numeric
@attribute defects {false,true}

@data
-0.319347,-1.100995,0.021508,0.06553,0.202616,0.018517,0.548841,true
-7.343081,0.220601,-1.734873,2.643605,2.914201,0.030071,-0.177582,true
-3.114739,-1.116724,0.838542,0.761212,-0.199845,-0.776996,0.133811,true
2.284929,-0.218872,-0.185244,0.383698,-0.794913,1.167655,-0.530436,true
0.958859,-0.499089,-0.441293,-0.567235,0.142871,0.11866,0.210502,true
1.314527,-0.259306,0.038628,-0.076665,0.616368,0.182401,-0.377558,true
1.949892,0.03024,0.0688,0.213941,-0.200898,0.198978,0.050897,true
-0.237728,-1.194928,-0.199989,-0.378486,1.134554,0.066504,0.006728,true
2.054443,-0.21031,-0.166328,0.339374,-0.719178,1.198452,-0.68116,true
2.340271,0.993898,0.109658,-0.281777,-0.013718,-0.06935,0.050448,true
-0.639254,-1.075372,0.184442,0.380351,-0.017977,0.119774,0.305691,true
0.995246,-0.606218,0.021718,0.007162,0.64901,0.040422,-0.231794,true
0.520306,-0.843354,0.098346,0.386076,-0.151594,0.231182,0.419387,true
-2.135503,-1.191258,0.291223,0.093879,0.561411,0.086763,0.1281,true
-0.864121,-1.113662,0.197097,0.31072,0.21523,0.134356,0.246685,true
-3.336752,-1.105814,0.16837,-0.311165,0.307152,0.101765,-0.453492,true
1.498924,-0.386032,0.005509,0.208016,-0.101256,0.135903,0.239265,true
-2.038212,-0.905824,0.766414,1.221384,-1.392486,-1.280088,1.196902,true
2.340271,0.993898,0.109658,-0.281777,-0.013718,-0.06935,0.050448,true
-6.682955,-0.745485,1.393793,1.081789,-0.50109,-1.114868,2.074656,true
-19.229263,1.973674,2.860427,-0.629438,2.542732,2.382457,1.657641,true
1.132813,-0.524487,-0.032191,-0.051628,0.438174,0.05533,0.209414,true
-4.655443,-0.961662,0.817232,0.196042,0.343166,-0.154488,1.451187,true
-8.749752,0.630716,2.614965,1.982538,-1.33563,-0.958931,0.83263,true
1.440732,-0.489613,-0.005831,0.266996,-0.221858,0.225812,0.443681,true
2.285962,0.952556,0.103991,-0.312413,0.075052,-0.100366,0.026064,true
-0.038007,-1.196959,0.140205,0.422782,-0.026672,-0.176891,0.814023,true
-2.168141,-1.566927,-0.123936,-0.264944,-0.998069,-0.491524,2.906973,true
-6.228175,-0.801816,1.189479,0.430692,-0.443211,-0.248221,0.357521,true
-11.08874,1.50151,2.878192,1.939637,-1.34997,-0.210771,2.397509,true
-3.130222,-1.485396,0.794795,0.988716,-0.138856,-0.716497,1.844704,true
-3.938502,-0.71354,1.196508,1.080215,-0.526658,-1.186192,0.3827,true
1.094984,-0.565294,-0.07013,-0.041572,0.253106,0.135468,0.393499,true
0.368012,-1.100853,-0.239904,-0.055734,0.369844,0.125249,0.068603,true
-3.237039,-0.17903,1.272144,1.139894,-1.128245,-1.665246,-0.924949,true
-0.150164,-0.51109,0.51544,0.853594,-0.966961,-0.694233,-0.105167,true
0.483929,-0.880602,0.174752,0.37606,0.185119,0.011339,0.164168,true
-0.067621,-0.788394,0.261107,0.400024,-0.051744,-0.515149,0.157857,true
-5.900074,-1.507667,0.326394,-0.737538,1.071699,-0.153588,0.734442,true
-12.083715,1.144279,3.199047,1.843915,1.164427,1.972412,2.727694,true
-2.185608,-1.286841,0.612648,0.97554,-0.838139,-0.919901,1.87834,true
-1.285105,-1.166832,0.334341,0.045461,0.890503,-0.287278,-0.086132,true
-3.474742,-1.465731,0.912297,1.086703,-0.150963,-0.715848,1.951945,true
-3.629087,-1.50653,0.999251,1.177407,0.077715,-0.751942,1.639621,true
-3.137309,-1.197874,0.813623,0.534348,0.613857,-0.137701,0.456771,true
-1.768452,-0.929444,0.569411,0.61129,-0.476055,0.08229,0.966726,true
-7.695763,-0.383636,1.970962,1.70463,-0.671971,-0.971413,2.618513,true
-0.348142,-0.979444,0.188943,0.04183,0.669713,-0.160849,-0.168353,true
-1.412673,-1.184198,0.376956,0.271583,0.37008,-0.189336,0.46747,true
-11.244629,0.145961,2.014223,0.32641,-1.164046,-1.904397,1.16991,true
1.044307,-0.573683,0.133193,0.448453,-0.383503,0.183217,0.116743,true
-1.94015,-0.831824,0.698753,0.806165,-0.529621,-0.98543,0.362614,true
-0.121147,-0.81167,0.410065,0.839487,-0.643077,-0.313969,0.621463,true
-1.470225,-1.126192,0.266355,0.203997,-0.003667,-0.678054,0.529477,true
-23.890816,1.828144,-8.358331,-8.207413,-4.39645,2.515552,-1.950755,true
-0.769634,-1.222543,0.303132,0.411878,0.317952,-0.227711,0.122156,true
-5.744433,-0.875998,0.963584,-0.022323,0.253909,-0.469816,-1.389345,true
-2.048394,-1.203209,-0.106599,-0.409472,0.089726,0.007829,0.184174,true
-8.772953,-0.503563,-3.407689,-1.081264,-1.144046,-0.992052,1.585494,true
-8.597214,-0.540202,-3.487288,-1.124187,-1.338956,-1.061526,1.749263,true
-5.100148,-0.46389,-4.590895,0.130347,0.254835,-0.537403,0.800003,true
-1.46744,-1.100275,-0.30948,-0.529259,-0.249871,0.034047,0.137413,true
-5.495568,-1.592583,-0.724243,-1.929439,0.39459,0.023316,0.456254,true
-13.951102,1.229086,-3.449768,-0.319685,-1.502549,-0.192234,2.337616,true
-4.603468,-1.709483,-0.052829,-0.696697,1.123038,-0.316859,1.010054,true
-0.413291,-1.087136,0.124606,0.322868,-0.007159,0.037389,0.226464,true
-0.683197,-1.063287,0.234666,0.47783,-0.111358,0.173378,0.436339,true
1.359767,-0.092238,0.209188,0.404969,-0.702392,0.208839,-0.234783,true
-18.08379,1.996987,0.300698,0.739869,1.62171,2.264748,2.657972,true
2.557237,1.774592,0.168776,-0.717556,0.238507,-0.474652,0.199663,true
2.252314,0.566064,0.096831,-0.015485,-0.142968,0.107161,0.044724,true
-10.923962,0.318929,1.248759,1.749621,0.818652,0.028855,0.381035,true
2.075145,0.252242,0.078638,0.108188,-0.143078,0.167949,0.03824,true
2.139059,0.287358,0.089584,0.142268,-0.211371,0.189283,0.061095,true
0.335868,-0.755026,-1.02208,-1.24752,-0.027729,0.418401,0.088054,true
-3.149565,-2.119025,-0.819936,-2.076891,2.921769,-0.170872,0.531561,true
2.340271,0.993898,0.109658,-0.281777,-0.013718,-0.06935,0.050448,true
1.816387,0.332351,0.05294,-0.240559,0.402239,-0.055551,-0.194729,true
1.864936,-0.055098,0.025134,0.215359,-0.319217,0.356543,0.146412,true
0.808079,-0.623931,0.129103,0.364107,-0.20128,0.172102,0.009405,true
1.704844,-0.068978,-0.000258,0.054757,-0.080415,0.154747,0.128519,true
1.31957,-0.577541,0.146646,0.567282,-0.380966,0.160356,0.1603,true
-15.839044,0.992209,3.971916,1.748247,3.916684,3.347011,2.559133,true
-1.694335,-1.17437,0.223335,0.122488,0.159416,-0.090136,-0.052832,true
-16.591103,1.155755,-1.110483,-3.506573,-3.346164,2.192637,2.610204,true
-2.117533,-1.425459,-1.810577,-2.112788,-1.088286,0.533529,0.486527,true
2.341166,-0.207772,-0.011405,0.571283,-0.669835,1.113734,-0.483293,true
-0.090636,-1.036283,0.150979,0.070965,0.937605,-0.158075,-0.370448,true
-0.200252,-1.178379,0.023164,-0.268909,1.752002,-0.0948,-0.480074,true
1.239319,-0.48911,0.024624,0.063484,0.450568,0.050348,-0.11897,true
-3.280424,-1.213557,0.311,-0.202943,0.475833,-0.233615,-0.342627,true
0.14316,-0.432205,0.37517,0.602253,-0.735347,-0.399744,-0.256279,true
-2.255228,-0.975386,0.527576,0.371374,0.007959,-0.512624,0.00155,true
-15.076837,-0.800473,-2.811769,-6.196787,-0.623035,1.852245,-0.17318,true
-6.677016,-1.01216,0.156146,-1.287938,1.310451,-0.121785,-1.852653,true
1.102008,-0.428232,-0.040892,-0.244393,0.802321,-0.085438,-0.120305,true
-6.496006,-0.991526,0.232402,-1.161482,1.096555,-0.178938,-1.429909,true
-4.035402,-1.628831,-1.83106,-2.858702,0.442329,0.516343,-0.796528,true
-19.72426,0.935661,-1.576579,-4.977307,-1.667886,2.081554,0.302944,true
0.246974,-0.416617,0.416655,0.715314,-0.811726,-0.383882,-0.383253,true
-2.110867,-0.958783,0.550601,0.408822,0.071481,-0.569375,-0.191626,true
2.021589,0.474839,0.035206,-0.164029,-0.02049,0.067082,0.131222,true
-1.705828,-1.249339,0.269869,0.023397,0.560715,-0.309605,-0.078309,true
2.212611,2.264878,0.100611,-1.500216,0.976223,-1.07162,0.218177,true
-0.038398,-0.47426,0.283806,0.412512,-0.714219,-0.418577,0.022084,true
-3.300346,-1.003034,0.336677,0.079828,-0.11347,-0.487924,0.02537,true
0.4537,-0.868008,-0.007955,-0.148634,1.0736,0.038499,-0.185054,true
-3.414489,-1.2195,0.613772,0.613736,-1.003466,-1.254803,1.60713,true
-0.62572,-1.091737,0.259655,0.420576,0.021953,-0.029586,0.414718,true
-10.853116,-1.595635,-2.505264,-4.866736,0.217833,0.583699,0.097366,true
-2.682722,-1.013771,0.646782,0.459935,0.240275,-0.447929,-0.066469,true
0.246974,-0.416617,0.416655,0.715314,-0.811726,-0.383882,-0.383253,true
0.090399,-0.655979,0.360102,0.671672,-0.569225,-0.421301,0.020533,true
1.976068,0.491737,-0.010185,-0.220544,-0.14569,0.100171,0.289593,true
2.341166,-0.207772,-0.011405,0.571283,-0.669835,1.113734,-0.483293,true
0.94307,-0.423458,0.107679,-0.001176,0.485359,-0.162507,-0.382396,true
-2.173973,-1.451478,-0.369325,-0.655214,0.549046,0.109181,0.18371,true
1.551986,-0.28253,0.161712,0.499393,-0.536727,0.209112,-0.070479,true
-2.189831,-1.151225,0.656643,0.639471,0.017596,-0.182598,0.325288,true
-0.906274,-1.275101,0.385974,0.725675,-0.504583,-0.306588,0.955879,true
-1.949508,-0.971579,-0.882976,0.886702,0.431502,-0.383761,0.325624,true
-3.485922,-0.648112,-1.546232,1.956606,1.139174,-0.318459,0.750094,true
-5.196376,-1.67735,-0.075773,-1.336296,1.450115,-0.460186,-0.175851,true
0.907815,-0.3004,-0.227104,-0.712648,1.118906,-0.154038,-0.631546,true
1.545916,-0.012791,-0.145488,-0.316413,0.2826,0.049026,-0.224621,true
-1.942651,-0.995899,0.449134,0.166243,0.322019,-0.105325,-0.199421,true
2.340271,0.993898,0.109658,-0.281777,-0.013718,-0.06935,0.050448,true
0.5927,-0.311118,-0.948034,1.119863,0.159,0.020476,0.026872,true
1.760117,-0.066061,-0.112723,-0.039742,-0.126788,0.193263,-0.051834,true
1.927629,0.198912,0.027402,0.000377,-0.112423,0.148726,0.155017,true
-4.648791,-1.125357,0.573126,0.232766,-0.148439,-0.807721,0.667724,true
0.583341,-0.845341,-0.024416,0.003182,0.563348,0.135984,0.176258,true
0.09654,-0.971747,-0.043526,0.012399,0.322395,0.009272,-0.050782,true
1.41051,-0.504901,0.061149,0.306348,0.05306,0.161015,0.053557,true
-0.450631,-0.692684,0.4066,0.210955,0.246904,-0.447495,-0.982675,true
-2.059904,-0.772538,0.704341,0.644422,-0.70507,-0.814065,-0.444352,true
-1.393196,-1.528813,-0.016921,-0.590552,2.365491,-0.048751,-0.074358,true
0.512531,-0.727417,0.16969,0.438106,-0.569859,-0.021773,0.39837,true
0.512531,-0.727417,0.16969,0.438106,-0.569859,-0.021773,0.39837,true
0.512531,-0.727417,0.16969,0.438106,-0.569859,-0.021773,0.39837,true
-8.211585,-1.974013,0.719428,-1.598823,5.543481,-0.59559,-2.549106,true
-8.810816,-1.754622,0.913345,-1.429747,5.216035,-0.436923,-2.517602,true
-9.516419,-0.296526,0.769544,-0.541845,0.360914,0.849766,0.473155,true
-0.224499,-0.455206,-1.134752,0.716377,0.066088,-0.133297,0.0273,true
-10.118106,-0.30011,1.806753,0.155708,0.678841,0.514416,-0.570383,true
-10.97799,0.663361,1.257953,1.570033,-0.82882,-1.714931,-0.369121,true
-13.298508,0.263866,0.497239,-1.732283,-0.442308,0.45739,-0.795944,true
-5.218596,-1.255676,0.852027,-0.080238,2.473799,0.604195,-0.039122,true
1.617853,-0.134192,0.00685,0.017421,0.10637,0.108753,0.10672,true
-2.680619,-1.261126,0.442045,-0.175533,1.448152,-0.328683,-1.215624,true
-4.65724,-1.273772,0.823128,0.051719,2.195043,0.450367,-0.166394,true
-5.712691,-0.036742,1.28181,0.806545,-2.327828,-1.975993,-1.561461,true
-8.645801,-1.538014,-0.308858,-2.037801,1.361957,0.790512,1.750996,true
-1.210013,-1.571928,-0.037423,-0.836916,3.146622,-0.380818,-1.131634,true
-13.127998,1.125852,2.771141,0.786991,-0.223542,-0.087352,0.473354,true
-18.412316,1.084898,2.562032,-1.093508,1.981742,1.375459,-0.303097,true
-1.043281,-1.078058,0.384944,0.195948,0.768936,-0.327649,-0.629826,true
-7.87692,-1.078429,0.093864,-1.475644,0.552516,0.161417,-0.788612,true
-2.111484,-1.06827,-0.135874,-0.37786,-0.359183,-0.512417,0.087266,true
1.216039,0.184345,0.167859,-0.074152,-0.115596,-0.186478,-0.397288,true
0.304109,-1.027589,0.227665,0.610523,-0.188071,-0.129215,0.173472,true
0.530558,-0.589979,0.214395,0.416902,-0.408483,0.067993,-0.153661,true
0.638333,-0.7421,-0.082889,-0.00855,0.108301,-0.022635,-0.059935,true
-23.314695,2.037939,0.873334,-3.953007,-1.936032,-1.184531,-3.502828,true
-21.583529,3.986594,3.874725,1.03676,-3.755027,-0.158465,2.14488,true
-1.014628,-1.131006,0.29488,0.305578,0.320519,-0.027712,0.185613,true
0.707118,-0.871929,0.068791,0.339656,0.157891,0.233643,0.302122,true
2.086923,-0.204449,-0.151766,0.359527,-0.714303,1.196063,-0.667492,true
-0.66855,-0.865616,0.055679,0.072246,-0.568877,-0.411954,1.022619,true
-1.953544,-0.844109,0.929704,1.200229,-0.88077,-1.058047,0.274183,true
-8.457193,-0.107913,1.50945,0.330646,-0.784133,-0.870261,0.63334,true
0.245241,-0.911558,-0.300282,-0.251991,-0.358619,0.066681,1.021907,true
0.366695,-1.074073,0.254261,0.711698,-0.230959,-0.03086,0.614603,true
-22.321,3.31419,2.866148,-0.722764,-4.305958,0.084921,7.891418,true
-1.500971,-1.077125,0.01101,-0.106116,-0.826605,0.077924,2.013889,true
0.627039,-1.009435,0.121472,0.434961,0.315041,0.086481,0.265991,true
-1.598116,-1.235375,0.565501,0.879071,-0.719599,-0.927876,0.777973,true
-5.684376,0.126192,-5.684186,0.868699,0.032423,-1.02132,0.605389,true
-0.811013,-1.161854,-1.897476,-1.985984,-0.970981,0.962834,0.188857,true
1.439992,-0.162271,0.14944,0.233788,-0.115969,0.003754,-0.20418,true
1.796281,0.103883,0.050263,-0.034353,0.18313,0.062523,-0.118449,true
1.928023,0.109374,0.064058,0.124928,-0.085596,0.298588,-0.123583,true
-3.74977,-1.473677,-0.142571,-0.841769,0.993931,0.134979,0.334294,true
0.74846,-0.467242,-0.881469,-1.125933,-0.202556,0.293197,0.363162,true
0.428807,-0.570105,0.060483,0.009772,-0.157699,-0.093491,0.177873,true
0.565358,-0.78508,0.086942,0.321152,-0.200116,0.03072,0.30058,true
-0.211782,-1.015021,-0.10197,0.115638,-0.491788,0.007767,0.225052,true
-1.857128,-1.048909,-1.250812,0.308648,0.979515,-0.28284,0.004867,true
1.074305,-0.407933,-0.422961,-0.262608,-0.686557,0.314709,-0.154769,true
-2.874935,-1.335448,0.695502,0.668412,0.141081,-0.746168,0.925246,true
-0.041572,-0.910942,-3.097022,-3.21132,-1.825283,1.082796,-0.92564,true
-1.12472,-1.357336,0.12335,-0.279941,1.793953,-0.196412,-0.481735,true
1.334928,-0.314811,0.012394,-0.092461,0.601615,-0.02653,-0.20348,true
1.477289,0.936254,-0.055474,-1.253271,1.406037,-0.803738,-0.271857,true
-2.469383,-0.985483,0.599153,0.385273,0.282697,-0.48181,-0.180444,true
-17.432397,0.154488,-2.360251,-5.757265,-2.296015,1.195633,0.461402,true
-13.148623,-0.687687,-2.5014,-4.853451,-2.733678,-0.347702,-0.207893,true
-8.849915,-0.73887,0.167307,-1.397442,-0.547037,-1.127142,-1.913482,true
1.412792,-0.457144,0.055032,0.21435,0.194959,0.071096,0.025994,true
1.329063,-0.482473,0.046598,0.204346,0.210697,0.176055,-0.062886,true
1.329063,-0.482473,0.046598,0.204346,0.210697,0.176055,-0.062886,true
1.329063,-0.482473,0.046598,0.204346,0.210697,0.176055,-0.062886,true
1.329063,-0.482473,0.046598,0.204346,0.210697,0.176055,-0.062886,true
0.778481,-0.637494,0.082223,0.276646,-0.192911,0.149593,0.195744,true
-1.664167,-1.403714,-0.574135,-0.7439,0.186012,0.296526,0.701334,true
-3.150004,-1.460513,-0.258572,-0.83637,0.628882,-0.168708,-0.484924,true
2.469028,1.71886,0.152758,-0.769571,0.346114,-0.514988,0.151719,true
-5.071608,-1.175664,0.874388,0.221286,0.997692,-0.283575,0.508015,true
-4.910131,-0.977461,0.733221,0.176267,-0.490766,-1.232229,-0.066976,true
-6.593189,-0.189406,0.102658,1.508029,-1.335987,-1.637809,0.092969,true
-5.445635,-1.636581,0.354454,-0.718774,2.106533,0.008292,-0.00754,true
-8.626468,0.674421,1.874051,0.529871,-1.878819,-2.761167,-3.14153,true
-35.18708,7.474566,6.589495,-0.505201,0.455299,6.058275,-4.723043,true
-8.534851,-0.821967,0.156875,-1.548447,1.387444,1.137523,-0.789,true
-8.23046,-0.288927,0.323861,-1.190537,-1.998504,-1.623916,-3.287777,true
-9.312734,-0.806176,0.834192,-0.700376,0.393442,0.700498,1.383351,true
0.415006,-0.233491,-2.737407,-0.786735,-1.384812,0.594225,-0.24891,true
-8.779933,-0.073832,-0.445356,0.238143,-0.899973,-1.223232,0.260369,true
0.68405,-0.707291,0.024503,0.055272,0.54259,0.29925,-0.066714,true
-3.555635,-1.462593,0.453746,0.090204,0.259632,-0.14529,1.812415,true
0.568123,-0.981927,0.03909,0.165739,0.596551,0.012984,0.226104,true
0.628893,-0.967208,0.080145,0.232088,0.64038,0.005826,0.066797,true
-8.189089,-1.037038,1.723992,1.071443,1.215436,0.402171,2.986493,true
0.100298,-0.884619,-0.369935,-0.484091,0.164975,-0.002946,0.024123,true
2.102759,0.281726,0.080502,0.124383,-0.211827,0.188039,0.039457,true
-20.10709,-1.081965,-6.291769,-11.006471,-1.504445,2.814129,0.115731,true
-0.192132,-1.176914,0.026805,-0.263871,1.75322,-0.095397,-0.476657,true
-0.200252,-1.178379,0.023164,-0.268909,1.752002,-0.0948,-0.480074,true
-6.783969,-0.688618,-1.732716,-0.866728,-0.322562,0.263115,1.334042,true
0.730766,-0.802025,0.04549,0.084191,0.729016,0.065195,-0.154363,true
-11.415504,-0.639092,1.376826,-0.735171,3.573615,1.681776,1.18631,true
1.360444,-0.463169,-0.031359,0.158008,-0.09664,0.244907,0.329096,true
-5.193862,-1.581583,-1.369564,-2.418772,-0.62593,0.10442,0.493165,true
0.085302,-0.965602,-0.16356,-0.76521,1.926775,-0.403133,-0.426988,true
-15.059105,1.015675,1.732328,-0.908109,-0.328184,-0.216949,-2.424795,true
-16.139451,1.0086,-2.990168,-5.452436,-5.298158,1.26779,-1.605514,true
-0.551404,-1.110515,-0.434568,-0.421226,-0.147016,0.153344,0.255222,true
-8.131072,-0.516613,1.432047,0.474199,-0.950585,-0.700073,0.167313,true
-9.502065,0.077891,2.100418,1.228578,-0.627943,0.057421,2.601865,true
-16.883842,2.344852,3.857502,1.643935,-0.355418,0.554313,1.406588,true
-4.370052,-1.661286,-1.349266,-2.085026,0.136203,0.574471,0.556281,true
-22.563671,4.221231,5.257656,2.047848,-0.274129,2.040545,0.690207,true
-0.534045,-1.26997,-0.234736,-0.593721,1.579416,-0.028125,-0.410872,true
1.543366,-0.049802,0.022061,-0.166383,0.52698,-0.040436,-0.218019,true
-5.712987,-1.879335,-2.797598,-4.064383,-0.713703,1.019557,1.526714,true
-9.677263,0.294322,-2.312618,0.274392,-1.547329,-0.664988,1.321894,true
2.467117,1.718974,0.155497,-0.768438,0.348324,-0.516804,0.147734,true
-10.399615,-0.446069,1.479768,-0.034169,0.67156,0.269853,3.005548,true
-12.204013,0.068243,2.348925,0.272158,0.497419,0.277932,0.85204,true
