@relation 'CM1-weka.filters.unsupervised.attribute.Remove-R1-2,4-6,8-12,16-21'

@attribute ev(g) numeric
@attribute l numeric
@attribute lOCode numeric
@attribute lOComment numeric
@attribute lOBlank numeric
@attribute defects {false,true}

@data
1,0.06,2,13,3,false
7,0.04,12,33,22,false
9,0.05,6,7,8,false
1,0.5,0,0,0,false
1,0.5,0,0,0,false
3,0.07,3,35,2,false
1,0.5,0,0,0,false
1,0.5,0,0,0,false
1,0.38,0,0,0,false
1,0.38,0,0,0,false
1,0.06,0,7,14,false
1,0.07,0,6,5,false
1,0.4,0,0,0,false
1,0.05,0,0,4,false
11,0.02,2,65,10,false
1,0.5,0,0,0,false
1,0.13,2,18,10,false
1,0.19,0,0,5,false
1,0.06,0,6,5,false
1,0.29,0,0,0,false
1,0.11,3,0,4,false
1,0.11,3,0,4,false
1,0.08,0,39,12,false
1,0.11,0,6,0,false
1,0.04,6,6,3,false
1,0.27,0,0,1,false
3,0.13,0,5,0,false
1,0.03,12,20,10,false
1,0.67,0,0,0,false
1,0.44,0,0,1,false
1,0.3,0,0,0,false
1,0.38,0,0,0,false
19,0.03,0,18,24,false
1,0.04,1,58,6,false
1,0.5,0,0,0,false
1,0.5,0,0,0,false
9,0.05,1,19,6,false
1,0.67,0,0,0,false
1,0.5,0,0,0,false
1,0.4,0,0,0,false
1,0.4,0,4,0,false
1,0.47,0,0,0,false
1,0.09,1,23,0,false
1,0.26,0,9,1,false
1,0.07,4,15,0,false
1,0.08,1,0,1,false
3,0.09,1,0,4,false
1,0.07,0,6,1,false
1,0.5,0,0,0,false
1,0.09,6,13,1,false
1,0.12,0,9,0,false
1,0.14,0,0,0,false
1,0.33,0,0,0,false
1,0.05,1,4,1,false
1,0.21,0,3,0,false
1,0.09,0,3,0,false
1,0.67,0,0,0,false
1,0.29,0,0,0,false
1,0.33,0,3,0,false
1,0.09,0,12,1,false
5,0.04,0,9,5,false
1,0.05,0,2,3,false
4,0.04,0,3,4,false
15,0.02,27,41,67,false
4,0.07,7,11,9,false
1,0.05,9,22,15,false
1,0.33,1,1,0,false
1,0.07,4,0,6,false
1,0.4,0,0,0,false
1,0.08,0,0,1,false
1,0.23,0,0,0,false
1,0.21,0,0,0,false
1,0.07,0,0,1,false
1,0.07,0,0,1,false
1,0.33,0,0,0,false
1,0.4,0,0,0,false
1,0.04,10,22,21,false
1,0.67,1,1,2,false
1,0.04,6,10,9,false
1,0.67,1,1,2,false
1,0.04,7,10,10,false
1,0.03,35,31,46,false
1,0.67,1,1,2,false
1,0.67,1,1,2,false
1,0.07,8,14,8,false
1,0.5,1,7,1,false
1,0.03,18,28,33,false
1,0.06,5,0,10,false
1,0.05,11,21,25,false
1,0.07,2,13,9,false
3,0.07,4,16,20,false
1,0.2,3,3,3,false
1,0.06,2,4,10,false
1,0.1,5,4,6,false
1,0.1,5,4,6,false
1,0.5,3,3,2,false
1,0.12,4,8,7,false
1,0.09,3,12,14,false
5,0.07,4,18,19,false
1,0.29,0,3,7,false
5,0.04,21,29,36,false
1,0.16,0,2,2,false
1,0.16,0,2,2,false
1,0.16,0,2,2,false
1,0.16,0,2,2,false
1,0.16,0,2,2,false
1,0.16,0,2,2,false
1,0.16,0,2,2,false
1,0.08,2,2,3,false
1,0.08,2,2,3,false
4,0.07,14,22,9,false
1,0.15,4,12,5,false
1,0.12,3,3,1,false
1,0.11,3,3,1,false
1,0.07,0,0,5,false
10,0.04,6,57,49,false
15,0.04,20,56,77,false
1,0.18,0,0,2,false
1,0.05,1,29,31,false
1,0.04,11,31,34,false
1,0.11,11,5,14,false
1,0.19,2,7,2,false
1,0.22,2,0,1,false
1,0.22,3,0,1,false
1,0.12,5,0,5,false
1,0.15,6,0,4,false
1,0.05,1,1,5,false
1,0.1,0,7,4,false
9,0.02,6,51,39,false
1,0.05,7,6,18,false
5,0.01,16,37,49,false
3,0.02,12,25,31,false
1,0.22,1,0,1,false
1,0.2,2,5,7,false
1,0.12,3,4,6,false
1,0.04,7,3,5,false
1,0.14,0,0,2,false
4,0.08,1,0,1,false
1,0.11,2,7,7,false
1,0.12,0,0,1,false
4,0.03,5,0,17,false
1,0.14,2,1,3,false
1,0.14,2,0,3,false
1,0.07,1,1,6,false
3,0.21,0,0,0,false
1,0.08,4,0,4,false
1,0.5,0,0,0,false
5,0.16,0,0,0,false
9,0.02,44,76,84,false
1,0.02,28,6,17,false
5,0.03,3,8,16,false
1,0.04,0,14,51,false
1,0.09,0,6,6,false
1,0.14,0,0,1,false
1,0.04,4,3,9,false
1,0.08,4,0,5,false
1,0.67,0,3,1,false
8,0.02,0,22,15,false
8,0.02,0,22,15,false
9,0.02,1,23,23,false
9,0.02,1,23,23,false
4,0.04,1,10,4,false
4,0.04,1,10,4,false
4,0.04,1,5,3,false
4,0.04,1,5,3,false
9,0.01,1,12,6,false
15,0.01,1,16,9,false
6,0.02,1,6,7,false
7,0.03,3,8,6,false
8,0.04,0,8,5,false
1,0.05,10,22,6,false
1,0.04,0,21,15,false
5,0.04,25,13,40,false
1,0.09,0,0,9,false
1,0.04,0,15,16,false
15,0.03,6,100,82,false
1,0.14,0,0,1,false
4,0.03,5,26,34,false
1,0.06,9,31,22,false
1,0.1,0,12,9,false
1,0.5,0,0,2,false
3,0.07,3,4,12,false
3,0.05,4,21,14,false
13,0.02,5,70,38,false
5,0.05,4,58,39,false
1,0.5,1,0,2,false
1,0.06,4,16,19,false
1,0.2,0,0,1,false
1,0.1,9,7,13,false
1,0.29,0,0,0,false
1,0.29,0,0,0,false
1,0.33,0,0,0,false
1,0.33,0,0,0,false
1,0.09,0,0,3,false
1,0.19,1,6,6,false
1,0.16,0,1,3,false
1,0.2,0,0,1,false
1,0.33,0,0,0,false
1,0.14,0,1,2,false
1,0.1,0,0,3,false
1,0.09,4,15,6,false
1,0.33,0,0,0,false
1,0.05,1,16,12,false
1,0.16,0,2,6,false
1,0.15,0,0,0,false
1,0.18,0,0,0,false
1,0.17,0,0,1,false
1,0.06,0,0,3,false
7,0.04,6,15,25,false
1,0.06,3,2,5,false
1,0.17,3,2,5,false
1,0.06,7,9,15,false
1,0.5,2,1,3,false
1,0.09,4,2,5,false
1,0.07,2,2,6,false
1,0.06,2,2,5,false
1,0.05,3,0,4,false
1,0.33,3,2,5,false
1,0.04,3,0,4,false
1,0.1,1,9,14,false
10,0.03,28,17,35,false
1,0.1,1,0,1,false
1,0.09,7,2,6,false
1,0.36,0,0,0,false
1,0.13,2,1,3,false
1,0.05,8,19,17,false
1,0.03,10,7,16,false
1,0.03,14,5,11,false
1,0.05,2,0,5,false
27,0.01,80,165,81,false
1,0.07,1,0,2,false
1,0.18,2,2,20,false
10,0.03,35,12,115,false
12,0.02,53,27,156,false
1,0.06,15,2,10,false
9,0.04,19,53,17,false
27,0.02,61,32,48,false
1,0.11,1,0,1,false
1,0.08,1,0,1,false
7,0.05,6,8,17,false
3,0.02,30,18,74,false
1,0.07,8,4,33,false
1,0.05,1,0,1,false
1,0.04,1,0,1,false
1,0.1,1,0,4,false
9,0.05,5,8,16,false
3,0.02,30,19,40,false
9,0.03,25,15,77,false
1,0.23,0,10,4,false
1,0.16,0,5,3,false
1,0.5,0,0,1,false
1,0.67,0,0,0,false
3,0.07,2,14,8,false
1,0.23,0,10,4,false
1,0.18,0,2,3,false
1,0.07,4,19,13,false
1,0.5,0,0,1,false
1,0.67,0,0,0,false
1,0.22,1,7,5,false
1,0.25,1,7,5,false
1,0.09,0,7,7,false
1,0.19,0,3,5,false
1,0.19,0,3,5,false
1,0.06,1,19,16,false
1,0.4,2,2,3,false
1,0.2,1,0,3,false
1,0.22,1,0,3,false
1,0.16,2,6,4,false
1,0.4,2,2,3,false
1,0.2,1,0,3,false
1,0.22,1,0,3,false
1,0.16,2,6,4,false
1,0,0,0,1,false
1,0,0,0,1,false
1,0,0,12,8,false
1,0.5,2,0,3,false
1,0.23,0,8,2,false
1,0.07,0,4,7,false
1,0.67,1,1,2,false
1,0.27,3,1,1,false
1,0.16,4,5,2,false
1,0.1,2,5,3,false
1,0.12,4,0,2,false
4,0.04,4,33,27,false
5,0.06,2,2,6,false
3,0.04,7,14,20,false
1,0.16,0,1,4,false
1,0.16,0,2,5,false
1,0.1,1,2,3,false
4,0.1,3,7,7,false
4,0.1,1,5,7,false
1,0.14,0,0,0,false
1,0.09,0,0,0,false
1,0.1,0,0,0,false
4,0.08,0,0,0,false
6,0.07,1,9,2,false
3,0.07,0,0,5,false
3,0.1,0,0,0,false
10,0.09,0,0,12,false
10,0.05,1,0,8,false
10,0.1,0,0,12,false
1,0.05,8,0,5,false
5,0.04,0,9,5,false
1,0.05,0,2,3,false
4,0.04,0,3,4,false
1,0.2,0,0,0,false
1,0.29,0,0,0,false
3,0.03,0,2,7,false
1,0.35,0,0,2,false
1,0.02,0,1,10,false
1,0.04,1,10,7,false
1,0.11,3,12,7,false
1,0.5,0,0,1,false
3,0.17,0,0,3,false
1,0.04,1,4,5,false
1,0.09,0,3,9,false
1,0.29,0,0,0,false
1,0.08,0,0,1,false
1,0.23,0,0,0,false
1,0.21,0,0,0,false
1,0.07,0,0,1,false
1,0.07,0,0,1,false
1,0.33,0,0,0,false
1,0.4,0,0,0,false
1,0.1,0,0,1,false
1,0.05,1,19,15,true
1,0.08,4,22,27,true
8,0.04,6,45,30,true
1,0.07,0,7,9,true
1,0.05,7,30,31,true
1,0.04,7,46,62,true
1,0.05,6,14,36,true
1,0.04,11,57,93,true
21,0.01,14,170,155,true
1,0.11,0,1,7,true
1,0.11,0,1,7,true
1,0.01,3,91,55,true
1,0.07,0,11,9,true
9,0.02,20,96,46,true
3,0.08,0,12,1,true
1,0.03,0,62,10,true
30,0.02,45,339,42,true
3,0.04,3,29,16,true
9,0.02,23,65,12,true
4,0.07,14,78,2,true
1,0.03,6,7,6,true
1,0.07,6,4,3,true
5,0.03,6,6,9,true
1,0.05,2,11,40,true
1,0.14,2,0,0,true
1,0.05,6,39,25,true
1,0.06,1,19,27,true
5,0.08,0,17,9,true
1,0.05,16,23,32,true
1,0.08,1,3,10,true
9,0.02,4,62,30,true
1,0.05,3,24,13,true
11,0.03,7,28,31,true
1,0.04,0,4,17,true
9,0.02,9,73,51,true
1,0.18,0,0,0,true
1,0.1,2,22,12,true
1,0.11,3,34,14,true
1,0.09,3,11,10,true
1,0.1,2,19,8,true
1,0.2,0,7,7,true
4,0.08,2,31,10,true
7,0.05,4,18,4,true
1,0.04,2,13,2,true
3,0.05,1,7,4,true
3,0.02,9,59,35,true
1,0.15,1,12,4,true
5,0.06,2,7,0,true
