@relation xerces-1.2_deleteColumns-weka.filters.unsupervised.attribute.Remove-R4-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.Remove-R11-weka.filters.unsupervised.attribute.Remove-R5-weka.filters.unsupervised.attribute.Remove-R14

@attribute dit numeric
@attribute noc numeric
@attribute lcom numeric
@attribute ca numeric
@attribute npm numeric
@attribute lcom3 numeric
@attribute loc numeric
@attribute dam numeric
@attribute moa numeric
@attribute cam numeric
@attribute ic numeric
@attribute cbm numeric
@attribute amc numeric
@attribute avg_cc numeric
@attribute bug {1,0}

@data
4,0,21,0,7,2,39,0,0,0.571429,1,6,4.571429,0.8571,0
1,0,3,0,3,2,3,0,0,0.666667,0,0,0,1,0
1,0,10,0,5,2,5,0,0,0.6,0,0,0,1,1
1,0,0,0,12,0.30303,178,0,0,0.4375,0,0,13.583333,1.25,0
3,0,0,1,1,0.666667,84,0.5,0,0.5,2,7,19.5,1,0
4,0,21,0,7,2,39,0,0,0.571429,1,6,4.571429,0.8571,0
1,0,4,1,0,0.875,185,0.5,1,0.333333,0,0,35.6,1,0
1,0,0,3,5,0.166667,233,1,1,0.533333,0,0,45,1.4,0
2,0,13,1,7,0.524691,1265,0.944444,2,0.314286,0,0,123.7,0.8,0
1,0,120,0,16,2,16,0,0,0.6875,0,0,0,1,0
1,0,0,1,0,2,0,0,0,0,0,0,0,0,0
1,0,0,1,26,0.796875,2564,0,7,0.222222,0,0,61.146341,3.0244,1
4,0,0,0,1,2,5,0,0,1,0,0,4,0,0
4,0,0,1,1,0.666667,117,0.5,0,0.5,4,9,27.75,2.25,0
1,0,24,8,11,0.924242,855,0,0,0.291667,1,1,68.75,5.0833,0
3,0,1,0,2,0.5,247,0,0,1,0,0,81,0.3333,0
1,0,1,0,2,2,2,0,0,0.75,0,0,0,1,0
2,0,0,1,3,0.5,81,1,1,0.6,1,1,14.6,0.6,1
1,1,14,0,6,0.785714,115,1,0,0.571429,0,0,12.875,0.75,1
4,0,0,4,2,0,13,0,0,0.666667,0,0,5,0.5,0
1,0,0,4,0,2,14,0,0,1,0,0,3,0,0
1,0,0,9,4,1.166667,201,0.083333,0,0.5,0,0,34.4,2.2,0
1,0,325,0,26,2,26,0,0,0.5,0,0,0,1,0
4,0,36,0,9,2,50,0,0,0.555556,1,5,4.555556,0.8889,0
1,0,6,1,4,2,4,0,0,0.75,0,0,0,1,0
1,0,5,1,7,0.366667,1019,1,3,0.387755,0,0,143.857143,0.7143,0
4,0,21,0,7,2,39,0,0,0.571429,1,6,4.571429,0.8571,0
3,0,0,1,1,0.666667,85,0.5,0,0.5,2,7,19.75,0.75,0
1,0,0,0,1,2,1,0,0,1,0,0,0,1,0
1,0,6,1,4,2,4,0,0,0.75,0,0,0,1,0
1,0,1,0,2,0.5,14,0,0,0.5,0,0,3.333333,0.3333,1
4,0,6,1,4,1.333333,16,0,0,0.625,2,5,2.75,0.5,0
1,4,20,6,0,0.825,77,1,3,0.518519,0,0,7,0.8889,0
4,0,105,0,15,2,126,0,0,0.4,0,0,7.4,1.1333,0
1,0,1,0,2,2,2,0,0,0.75,0,0,0,1,0
1,0,10,6,5,2,5,0,0,0.4,0,0,0,1,0
2,0,18,2,10,2,1000,0,0,0.239316,2,7,75.923077,7.5385,0
4,0,21,0,7,2,43,0,0,0.571429,0,0,5.142857,0.8571,0
1,0,0,0,0,2,0,0,0,0,0,0,0,0,1
2,0,33,1,7,0.825397,181,0.857143,2,0.244444,0,0,16.4,1.1,0
4,0,3,1,3,2,17,0,0,0.666667,0,0,4.666667,0.6667,0
1,0,30,1,7,0.757576,1444,1,7,0.307692,0,0,108.384615,1.0769,1
4,0,10,0,5,2,31,0,0,0.45,1,2,5.2,0.8,0
1,0,28,1,8,2,8,0,0,0.75,0,0,0,1,0
1,0,4,3,8,0.653061,184,1,2,0.303571,0,0,21.125,1.5,0
4,0,36,0,9,2,52,0,0,0.416667,0,0,4.777778,0.8889,0
4,0,36,0,9,2,50,0,0,0.555556,1,6,4.555556,0.8889,0
1,0,153,1,18,2,18,0,0,0.75,0,0,0,1,0
1,0,28,0,8,2,8,0,0,0.5,0,0,0,1,0
4,0,190,2,19,1,284,0,1,0.275,0,0,13.15,2,0
1,0,66,0,12,2,12,0,0,0.354167,0,0,0,1,0
1,0,28,7,8,2,8,0,0,0.363636,0,0,0,1,0
4,0,253,0,23,2,149,0,0,0.295652,1,3,5.478261,1.1304,0
2,0,1,1,1,2,140,0,0,0.571429,2,2,69,0.5,0
1,0,45,1,10,2,10,0,0,0.75,0,0,0,1,0
3,0,0,1,1,0.666667,176,0.5,0,0.5,2,5,42.5,2.5,0
1,0,561,0,34,2,34,0,0,0.282353,0,0,0,1,0
1,0,406,0,29,2,29,0,0,0.37069,0,0,0,1,0
1,0,0,1,0,2,0,0,0,0,0,0,0,0,0
1,0,1993,8,51,0.943103,6176,0.965517,38,0.101329,0,0,69.465116,1.5581,1
4,0,3,0,3,2,20,0,0,0.5,0,0,5.666667,0.6667,0
1,0,20,1,8,0.333333,464,1,2,0.464286,0,0,56.25,0.625,0
1,0,1,1,2,2,2,0,0,0.75,0,0,0,1,0
1,3,811,3,36,0.787654,1901,0.933333,3,0.127273,0,0,33.290909,2.9273,0
1,0,149,1,10,0.96732,703,0.941176,0,0.233333,0,0,35.105263,2.7895,0
4,0,91,2,12,1,172,1,1,0.357143,0,0,11.214286,1.7857,0
4,0,21,0,7,2,39,0,0,0.571429,1,6,4.571429,0.8571,0
1,0,1,1,2,2,2,0,0,0.75,0,0,0,1,0
3,1,9,3,6,0.9,46,0.5,0,0.5,1,5,6.333333,1.3333,0
1,0,1,0,2,2,2,0,0,0.75,0,0,0,1,0
3,1,3,2,4,0.8,165,0.666667,0,0.611111,3,3,26,1.3333,1
1,0,91,0,14,2,14,0,0,0.5,0,0,0,1,0
1,6,0,6,5,0.65,183,1,3,0.466667,0,0,18.222222,0.8889,0
4,0,55,0,11,2,61,0,0,0.545455,1,4,4.545455,0.9091,0
1,0,136,0,17,2,17,0,0,0.455882,0,0,0,1,1
3,52,253,53,17,2,249,0,0,0.456522,1,2,9.826087,1.6087,0
1,0,1,0,2,2,2,0,0,0.75,0,0,0,1,0
4,0,78,1,13,2,72,0,0,0.538462,0,0,4.538462,0.9231,0
1,0,62,5,13,0.708134,601,0.636364,4,0.233083,0,0,28.5,2.65,0
1,0,0,2,6,0.844444,608,0,0,0.458333,0,0,98.833333,2.5,0
2,0,1,1,1,2,145,0,0,0.571429,0,0,71.5,0.5,0
1,0,15,0,6,2,6,0,0,0.611111,0,0,0,1,0
1,0,15,1,6,2,6,0,0,0.75,0,0,0,1,0
1,0,10,0,5,2,5,0,0,0.7,0,0,0,1,0
2,0,35,1,6,0.673611,686,1,3,0.233333,0,0,66,0.8,0
4,0,10,0,5,2,28,0,0,0.6,0,0,4.6,0.8,0
4,0,10,0,5,2,28,0,0,0.6,1,4,4.6,0.8,0
1,0,5,10,8,0.908497,7825,0.176471,0,0.25,0,0,779.8,4.7,0
4,0,21,0,7,2,39,0,0,0.571429,1,4,4.571429,0.8571,0
1,0,21,0,7,2,7,0,0,1,0,0,0,1,1
4,1,37,4,10,0.933333,93,0.8,0,0.4,2,6,7.8,1.6,0
4,0,0,0,1,2,10,0,0,1,0,0,7,0,1
3,0,0,1,1,0.75,118,0.5,0,0.466667,2,8,22.2,2,0
1,0,120,1,16,2,16,0,0,0.375,0,0,0,1,0
1,0,66,0,12,2,12,0,0,0.5,0,0,0,1,0
3,0,1,0,2,0.5,2145,0,0,1,0,0,713.666667,0.3333,0
1,0,0,5,1,2,12,0,2,1,0,0,3,0,0
4,0,10,0,5,2,28,0,0,0.6,1,4,4.6,0.8,0
1,0,1,0,2,2,2,0,0,0.75,0,0,0,1,0
4,0,55,0,11,2,61,0,0,0.545455,1,6,4.545455,0.9091,0
1,0,6,0,4,2,4,0,0,1,0,0,0,1,1
1,0,1255,4,8,0.769231,8696,0.962963,9,0.154872,0,0,130.348485,1.697,1
1,0,55,0,11,2,11,0,0,0.348485,0,0,0,1,0
1,0,253,0,23,2,23,0,0,0.347826,0,0,0,1,0
2,0,0,2,1,0.2,154,1,2,0.416667,1,2,24.333333,0.8333,0
1,0,6,1,4,2,4,0,0,0.75,0,0,0,1,0
1,0,300,0,25,1.041667,37,0,0,0.33,0,0,0,1,1
4,0,0,1,1,0.75,33,0.5,0,0.555556,2,7,9.333333,0.6667,0
4,0,36,0,9,2,50,0,0,0.555556,0,0,4.555556,0.8889,0
1,0,3,0,3,2,3,0,0,1,0,0,0,1,1
4,0,703,0,38,2,229,0,0,0.294737,1,3,5.026316,1.0789,0
4,0,300,0,25,2,142,0,0,0.312,1,7,4.68,0.96,0
4,0,10,0,5,2,28,0,0,0.6,1,4,4.6,0.8,0
4,0,231,0,22,0.952381,179,1,1,0.25,1,1,7.090909,1.2273,0
1,0,190,1,20,2,20,0,0,0.375,0,0,0,1,0
2,0,0,1,6,0.619048,109,1,1,0.3,1,1,12.25,0.75,0
4,1,2,4,5,0.833333,52,0.666667,1,0.4,2,6,8.8,1.2,0
1,0,0,5,4,1.159091,205,0.136364,0,0.5,0,0,35.6,2.2,0
1,0,1,0,2,2,2,0,0,0.75,0,0,0,1,0
3,0,1,0,2,0.5,923,0,0,1,0,0,306.333333,0.3333,0
1,0,1,1,2,2,2,0,0,0.75,0,0,0,1,0
4,0,10,0,5,2,28,0,0,0.6,0,0,4.6,0.8,0
4,0,171,0,19,2,107,0,0,0.394737,1,6,4.631579,0.9474,0
1,0,0,0,1,2,1,0,0,1,0,0,0,1,1
4,0,28,0,8,0.375,106,1,0,0.466667,0,0,10.333333,0.5556,0
4,0,21,0,7,2,39,0,0,0.571429,1,6,4.571429,0.8571,0
1,0,6,0,4,2,4,0,0,0.75,0,0,0,1,0
1,0,78,0,13,2,13,0,0,0.461538,0,0,0,1,0
4,0,21,0,7,2,43,0,0,0.571429,0,0,5.142857,0.8571,0
2,1,109,2,11,0.588235,1196,0.5,0,0.186275,1,8,65.333333,7.1111,0
2,0,0,2,2,0.375,147,1,1,0.355556,1,2,15.111111,0.8889,0
4,0,171,0,19,2,105,0,0,0.394737,0,0,4.526316,0.9474,0
1,0,683,0,27,0.838889,2103,1,2,0.137778,0,0,44.543478,4.0435,0
1,0,0,0,1,2,17,0,0,1,0,0,0,1,1
4,0,105,1,15,2,195,0,0,0.32,1,1,12,1.7333,0
1,0,6,1,4,2,4,0,0,0.75,0,0,0,1,0
1,0,1,0,2,2,2,0,0,1,0,0,0,1,1
1,0,28,1,8,2,8,0,0,0.75,0,0,0,1,0
2,0,0,7,7,0.767857,284,1,0,0.40625,1,2,33.5,1,0
4,0,10,0,5,2,28,0,0,0.6,1,4,4.6,0.8,0
1,0,1,0,2,2,103,0,0,0.5,0,0,50,5,0
4,0,36,0,9,2,52,0,0,0.555556,1,1,4.777778,0.8889,0
1,0,10,0,5,2,5,0,0,0.7,0,0,0,1,0
3,3,17,3,11,0.717949,333,0.666667,1,0.480769,1,2,22.571429,1.5714,1
1,0,703,0,38,2,38,0,0,0.355263,0,0,0,1,0
1,0,67,49,26,0.829023,2121,0.916667,2,0.338889,0,0,68.9,3.1667,0
2,0,1,0,2,2,13,0,0,1,0,0,5.5,0.5,1
1,1,15,1,11,0.5,102,1,0,0.431818,0,0,8.090909,0.9091,0
3,0,1,0,2,0.5,325,0,0,1,0,0,107,0.3333,0
1,9,866,15,2,0.995139,2172,0.366667,20,0.1875,0,0,42.102041,2.2857,0
2,1,568,2,41,0.902128,1384,1,6,0.141337,2,9,27.625,1.0625,1
2,0,0,2,1,0.25,60,1,1,0.45,1,2,10.8,0.8,0
1,0,15,0,6,2,6,0,0,1,0,0,0,1,1
4,0,630,1,35,1,471,1,2,0.214286,0,0,12.027778,2,0
1,0,276,0,24,1.043478,28,0,0,0.270833,0,0,0,1,0
1,0,6,1,4,2,4,0,0,0.75,0,0,0,1,0
6,0,0,16,1,2,6,0,0,1,0,0,5,0,1
1,0,0,0,1,2,4,0,0,1,0,0,3,0,0
2,0,15,1,6,0.740741,393,1,1,0.333333,1,1,53.857143,0.7143,0
1,0,0,0,11,0.716667,332,1,3,0.318182,0,0,28.636364,0.9091,0
4,0,210,0,21,2,118,0,0,0.314286,1,7,4.619048,0.9524,0
4,0,10,0,5,2,52,0,0,0.6,0,0,9.4,1.6,0
1,0,28,8,8,2,8,0,0,0.583333,0,0,0,1,0
1,0,1,0,2,2,2,0,0,0.75,0,0,0,1,0
4,0,78,0,13,2,103,0,0,0.403846,0,0,6.923077,1.2308,0
2,0,26,1,7,0.785714,56,1,1,0.285714,0,0,5.75,0.75,0
1,0,0,0,0,2,0,0,0,0,0,0,0,0,1
4,0,3,0,3,2,17,0,0,0.5,0,0,4.666667,0.6667,0
1,0,3,7,3,2,3,0,0,0.666667,0,0,0,1,0
4,0,136,0,17,0.9375,98,1,1,0.490196,0,0,4.705882,1,0
2,0,0,1,16,0.4625,403,1,0,0.183007,1,15,22.411765,2.2353,0
