@relation 'columba-weka.filters.unsupervised.attribute.Remove-R1,2-weka.filters.unsupervised.attribute.Remove-R2-3,5-6,10,12-14'

@attribute ns numeric
@attribute entropy numeric
@attribute lt numeric
@attribute fix numeric
@attribute ndev numeric
@attribute npt numeric
@attribute bug {1,0}

@data
3,0.955232,72,0,2,0.666667,0
3,0.641848,61.5,0,1,0.444444,0
4,0.576936,52.7,0,1,0.5,0
2,0,31,0,1,0.5,0
1,0,132,0,1,1,0
2,0,52.468531,0,1,0.006993,1
3,0,60.242236,0,1,0.006211,1
1,0,38,0,1,1,0
1,0,8,0,1,1,0
2,0,11.181818,0,1,0.090909,0
1,0,0,0,1,1,0
1,0,21,0,3,1,1
1,0,50.1,0,1,0.05,1
1,0.959278,118.466667,1,9,0.4,0
1,0.693186,103.555556,1,8,0.777778,1
1,0,81,0,5,1,1
1,0.11091,43.5,1,2,1,1
1,0,22,0,1,1,0
1,0,39,1,2,1,0
1,0.054939,273.333333,0,8,0.666667,0
1,0,38,1,2,1,0
1,0.334163,118.666667,1,3,1,1
1,0.628234,13.666667,0,2,0.666667,0
1,0,215,0,3,1,0
1,0,216,0,3,1,0
1,0.884153,161.666667,1,5,1,1
1,0.677169,113,0,8,0.75,0
1,0,29,0,4,1,0
1,0,272,1,2,1,0
1,0.607304,73,0,8,0.615385,1
1,0,23,1,2,1,0
1,0.387051,242,1,5,1,1
1,0.825627,87,1,3,0.5,1
1,0.056432,356.666667,0,6,1,1
1,0,220,1,5,1,0
1,0.804625,177.2,0,7,0.8,1
1,0.126579,38.333333,1,5,0.333333,1
1,0.667714,448,1,6,1,0
1,0,595,0,5,1,0
1,0,604,0,5,1,0
1,0.725686,350,1,5,1,0
2,0,27,0,1,0.25,0
1,0,19,0,1,1,0
1,0.916726,197.6,0,4,0.4,1
1,0,20,0,1,0.333333,1
1,0,63.156951,0,1,0.004484,1
3,0.680559,46.666667,0,1,0.583333,1
2,0,16.75,0,1,0.25,0
1,0,42,0,1,1,0
1,0,240,1,2,1,0
1,0.753502,181.8,0,1,0.2,0
4,0.629258,104.8,0,1,0.4,1
1,1,85.5,0,1,0.5,0
2,0.63093,74.333333,1,1,0.333333,1
1,0,139,0,1,1,0
2,0.976305,174,1,1,0.5,0
1,0,348,1,2,1,0
4,0,34.875,0,1,0.125,0
1,0,67.8,0,1,0.003077,1
5,0,40.5,0,1,0.083333,0
5,0.772281,84.666667,0,1,0.533333,0
2,0.889513,207.666667,0,1,0.666667,0
3,0.933574,52.166667,1,2,1,0
4,0,28,0,1,0.045455,1
1,0,40.603175,0,1,0.015873,1
4,0.870059,56.8,0,1,0.466667,0
1,0,0,0,1,1,0
1,0,3,0,1,1,0
1,0,12,0,1,0.030303,0
3,0.886292,108.666667,1,1,0.666667,0
3,0,67.714286,0,1,0.142857,0
3,0.64448,30.428571,0,1,0.714286,0
2,0,6.75,0,1,0.25,0
1,0,63,0,2,1,0
1,0,139,0,6,1,0
1,0,0,0,1,1,0
1,0,0,0,2,1,0
1,0,17,0,1,1,0
1,0.98648,28.5,0,1,1,0
1,0,0,0,1,1,0
2,0.928839,107,0,2,0.5,0
1,0,30,0,1,1,0
1,0,36,0,1,1,0
1,0,122,0,1,1,0
1,0,26,1,1,1,0
1,0,0,0,1,1,0
1,0,25,0,1,1,0
1,0.591673,385.5,1,1,1,1
1,0,19.181818,0,1,0.045455,0
1,0,7,0,1,0.25,0
1,0,29.6,0,1,0.2,0
1,0,11,0,1,1,0
1,0,13,0,1,1,0
1,0,7,0,1,0.333333,0
1,0.970951,58.5,1,1,1,0
1,0,23.6,1,1,0.2,1
1,0.974252,83,0,1,1,0
1,0,44,0,1,1,0
1,0,96,0,1,1,0
1,0,27,0,1,0.25,0
1,0.484206,66.333333,0,1,0.5,0
1,0.533563,65.2,1,1,1,0
2,0.30127,0,0,15,0.276793,0
2,0.358423,93.428571,1,8,1,1
2,0,49.127273,0,1,0.018182,1
1,0,59,0,1,0.5,0
1,0.593229,220.25,0,1,0.75,0
1,0.697436,25.133333,0,1,0.533333,0
1,0.67839,18.75,0,1,0.25,0
1,0,31.166667,0,1,0.166667,0
1,0,36.166667,0,1,0.166667,0
1,0,286.333333,1,1,0.333333,0
1,0,313,0,1,1,0
1,0.340311,81.875,0,1,0.25,1
1,0,339,0,1,1,0
1,0,311,1,1,1,1
1,0.780502,235.5,1,1,1,0
1,0.625829,221.666667,0,1,0.333333,0
1,0.78355,82.666667,0,1,1,0
2,0.69565,183.461538,1,10,0.461538,1
1,0.918296,178.5,1,1,0.5,0
1,0.628475,52.8,0,1,0.1,1
1,0,128,1,1,1,0
1,0.665893,57.2,0,1,1,1
1,0,11.25,0,1,0.125,1
1,0,150,0,1,1,0
1,0,27,1,1,1,1
2,0.604113,126.333333,1,5,1,1
1,0,133,1,1,1,0
1,0,116,0,1,0.333333,1
1,0,235,0,1,1,0
1,0.677175,43.666667,0,1,0.166667,1
1,0,0,0,1,0.5,0
1,0.289079,35.5,1,1,1,1
1,0.354738,48,0,1,0.8,1
1,0.147465,26,0,1,0.5,1
1,0,0,0,1,1,0
1,0,5.857143,0,1,0.142857,0
1,0,8,0,1,0.166667,0
1,0,10.875,0,1,0.125,0
1,0,2,0,1,1,0
1,0,22.666667,0,1,0.333333,0
1,0,27.6,0,1,0.1,0
1,0,18,0,1,1,1
1,0,18,0,1,1,0
1,0,60.5,0,1,0.25,1
1,0,24,0,1,0.333333,0
1,0,24.5,0,1,0.1,1
1,0.66501,74.666667,1,1,1,0
1,0.873981,42.5,0,1,1,0
1,0.770872,59.777778,0,1,0.5,0
1,0.804446,51,0,1,0.6,0
2,0.946714,27.714286,0,1,0.428571,0
1,0.875416,42.846154,0,1,0.461538,0
1,0,34.571429,0,1,0.047619,1
1,0,62,1,1,1,0
2,0.670387,106.333333,0,7,0.833333,1
2,0.367111,27.2,0,6,0.8,0
2,0.716636,109.333333,0,6,1,1
2,0.911534,31.25,1,1,1,0
1,0.424831,46.6,1,1,0.6,0
1,0.617522,26.818182,0,1,0.363636,0
1,0,44,0,1,1,0
1,0,11.666667,0,1,0.166667,0
1,0,36,0,1,1,0
1,0,27.5,0,1,0.5,0
1,0.615232,38.333333,1,1,1,0
1,0,42.5,0,1,0.5,0
1,0,7,0,1,1,0
2,0.79381,126.6,1,3,0.4,0
1,0,12,1,1,1,0
1,0,0,0,1,1,0
1,0,111,0,1,1,0
2,0.755754,90,1,7,0.5,0
1,0,74,0,1,1,0
1,0,0,0,1,1,0
1,0.437734,97,0,1,0.5,0
1,0,0,0,1,1,0
1,0,0,0,1,1,0
1,0,13,0,1,1,0
1,0,0,0,1,1,0
1,0,0,0,1,1,0
1,0,0,0,1,1,0
1,0,0,0,1,1,0
1,0,0,0,1,1,0
1,0,0,0,1,1,0
1,0,0,0,1,1,0
1,0.854993,59.5,0,1,0.125,0
1,0,0,0,1,1,0
1,0,0,0,1,1,0
1,0,77,0,1,1,0
1,0,0,0,1,1,0
1,0,67,0,1,1,0
1,0,0,0,1,1,0
1,0,177,0,1,1,0
1,0,0,0,1,1,0
1,0.875463,50.166667,0,1,0.166667,0
1,0,0,0,1,1,0
1,0,30,0,1,1,0
1,0.837994,84,0,1,0.142857,0
1,0,0,0,1,1,0
1,0,0,0,1,1,0
1,0,0,0,1,1,0
1,0,0,0,1,1,0
1,0,0,0,1,1,0
1,0,0,0,1,1,0
1,0,0,0,1,1,0
1,0,0,0,1,1,0
1,0,0,0,1,1,0
1,0,55,0,1,1,1
1,0,54,1,1,1,0
1,0,52,0,1,1,0
1,0,56,0,1,1,0
1,0,0,0,1,1,0
1,0,0,0,6,0.4,0
1,0,9,0,1,1,0
1,0,39,0,1,1,0
1,0,9,0,1,1,0
1,0.422893,43.473684,0,10,0.789474,0
1,0,12,0,1,1,0
1,0,12,0,1,1,0
1,0,0,0,1,1,0
1,0,10,0,1,0.5,0
1,0,0,0,2,1,0
1,0,9,0,1,1,0
1,0,0,0,2,1,0
1,0,61.5,0,1,0.166667,1
1,0,61.5,0,1,0.166667,0
1,0,0,0,1,1,0
1,0,12,0,1,1,0
1,0,12,0,1,1,0
1,0,0,0,1,1,0
1,0,0,0,2,1,0
1,0,74,0,1,0.5,1
2,0.957675,39.047297,0,8,0.02027,1
2,0.443,55.6,0,6,0.5,1
2,0.868247,112.941176,0,8,0.431373,1
1,0,119,0,1,1,0
1,0,46.533333,0,1,0.022222,0
1,0,0,0,2,0.045455,0
1,0,11,0,1,1,0
1,0,45,0,1,0.5,0
1,0,0,0,1,1,0
1,0,37,0,1,1,0
1,0,0,0,1,1,0
1,0,34,0,1,1,0
1,0,39,0,1,0.5,0
2,0.690767,86.2,1,2,1,0
1,0,0,0,2,1,0
1,0.859335,27.181818,0,1,0.090909,0
1,0,24.5,0,1,0.5,0
1,0,11,0,1,1,0
1,0,11,0,1,1,0
1,0.244154,130.75,1,2,0.5,1
2,0.743698,70.965517,1,6,0.689655,0
1,0,0,0,1,1,0
1,0,38,0,1,1,0
2,0.84964,58.730769,0,6,0.423077,1
1,0,39,1,1,1,1
1,0,39,0,1,1,0
1,0,11,1,2,1,0
1,0,68,0,1,0.5,1
1,1,60.5,0,2,1,0
2,0.875332,54.277778,0,7,0.722222,1
1,0,83,1,2,1,0
1,0,95,1,1,1,0
1,0,94,1,1,1,0
2,0.768254,66.916667,1,4,0.541667,1
2,0,8.166667,1,2,0.5,0
1,0,24.166667,0,1,0.166667,1
1,0,12,1,2,1,0
2,0,92.5,1,5,1,0
1,0.94566,135.5,1,2,0.5,0
1,0,148,0,1,0.333333,0
1,0,148,0,1,0.333333,0
2,0.861546,166.25,1,7,0.75,1
1,1,205,1,5,0.5,0
1,0,370,1,4,1,1
2,0.471933,57.299065,0,7,0.378505,1
1,0,121.75,0,1,0.25,0
1,0.576632,35.473684,1,3,0.263158,1
1,0,31.666667,0,1,0.333333,1
1,0,0,0,1,1,0
1,0,0,0,4,1,0
1,0,104,0,1,1,0
1,0,32,0,1,1,1
1,0,73,0,4,1,1
1,0.981941,70.5,0,4,1,0
1,0,108,1,3,1,1
1,0,72,0,1,1,0
1,0,0,0,1,1,0
1,0,32,1,2,1,0
1,0,20,0,1,1,0
1,0,30,0,1,1,0
1,0.882657,46.925926,1,6,0.37037,1
1,0.974981,27.181818,0,1,0.090909,0
1,0.993238,28.555556,0,1,0.444444,0
1,0,32.5,0,1,0.083333,1
1,0.957608,45.666667,1,4,0.222222,0
2,0.912187,86.866667,1,7,0.466667,1
1,0.852992,40.5,0,1,0.166667,0
2,0.841092,45.625,0,5,0.5,0
2,0.830056,168.8,0,6,0.8,0
1,0,37.875,1,1,0.125,1
1,0,0,0,4,0.333333,0
1,0.717753,44,0,1,0.444444,0
1,0,17,0,1,0.5,0
1,0,17,1,1,1,0
1,0,13.75,0,1,0.25,0
1,0,51,1,1,1,0
1,0.953583,32.5,0,1,0.25,0
1,0,32,1,2,1,0
1,0.979032,15.333333,0,1,0.333333,0
2,0.024639,9.4,0,7,0.3,0
1,0.498396,17.75,0,3,0.75,0
1,0,0,0,1,1,0
1,0,89,1,1,1,0
1,0,88,0,1,1,0
1,0.38715,110.666667,1,2,1,0
1,0,0,0,4,1,0
1,0,20,1,3,1,0
2,0.663197,93.5,1,5,1,1
2,0.681785,39.7,0,5,0.3,1
1,0,24,1,3,1,0
1,0,25,0,2,1,0
1,0,21,0,1,1,0
1,0,43,0,1,0.5,0
1,0,15,0,1,1,0
1,0.94776,78.083333,0,2,0.666667,1
1,0,162,0,3,1,0
1,0,70.5,0,1,0.5,0
1,0,34,0,1,1,0
1,0.274644,31.444444,0,6,0.666667,0
1,0,127,0,4,1,1
1,0.891161,100.333333,0,5,0.666667,0
1,0.118859,219,0,5,1,1
1,0.842118,150.333333,0,11,0.416667,1
1,0.310918,47,0,3,0.8,1
1,0,24,0,1,1,0
1,0.795269,76,0,5,0.2,1
1,0,6,0,1,1,0
2,0.971555,190.25,0,8,1,0
1,0.696723,74.333333,0,4,0.833333,1
1,0.692678,74.388889,0,7,0.444444,1
1,0.881291,58,0,2,1,1
1,0,21.333333,0,1,0.333333,0
1,0,195,0,1,1,0
1,0,49,0,3,1,0
1,0,40.5,0,1,0.5,0
1,0,23,1,1,1,0
1,0.702093,97.333333,1,3,1,0
1,0.74136,70,0,8,0.833333,1
1,0,152,0,6,1,0
1,0.961032,130,0,4,1,0
1,0,107,0,2,1,0
1,0,66.3,0,1,0.1,1
1,0,92,0,4,1,1
1,0,16,1,3,1,0
1,0,7,0,1,0.5,0
1,0.78209,131,0,4,0.666667,1
1,0.969724,68,1,8,0.6,0
1,0,34.666667,0,1,0.333333,1
1,0,34.666667,0,1,0.333333,0
1,0.491237,198.5,1,5,1,0
1,0,35,0,1,1,0
1,0,44,0,1,1,1
1,0,66,1,1,1,1
1,0,38,0,1,1,0
1,0,50,0,1,1,0
1,0,57,0,4,1,0
1,0.798652,29,0,5,0.333333,0
1,0.918296,169.5,0,2,1,1
1,0.782933,130.714286,0,5,1,0
1,0,27,1,1,1,0
1,0,53,0,1,1,1
1,0,204,0,4,1,0
1,0,0,0,1,1,0
1,0.961586,305.571429,0,3,0.857143,0
1,0,39,0,1,1,0
1,0,63,0,4,1,0
1,0,162,1,2,1,0
1,0,160,0,5,1,0
1,0,147,0,4,1,1
1,0.590387,90.75,0,4,1,0
1,0.63431,211.5,0,1,0.5,0
1,0,107,0,3,1,0
1,0,980,0,2,1,0
1,0.811278,180.5,0,2,1,0
1,0.830923,116.5,1,9,1,1
1,0.954434,30,0,1,0.5,1
1,0,260.5,1,1,0.25,1
1,0.590645,75.25,0,3,1,0
1,0.657883,177.571429,0,7,1,1
1,0.472377,285.857143,0,6,0.857143,1
1,0.585937,115,0,2,1,1
1,0,49,0,6,1,0
1,0.507042,123.25,0,4,0.416667,1
1,0,181,0,1,1,0
1,0.80473,143,0,3,0.526316,1
1,0,18.666667,0,1,0.333333,0
1,0,34,0,1,1,0
1,0.318894,283,1,7,1,1
1,0,357,1,5,1,1
1,0.557286,201.166667,1,6,0.666667,1
1,0,134,0,4,1,0
1,0.889095,111,0,4,0.555556,0
1,0,69,0,2,1,0
1,0,120,0,6,1,1
1,0.098959,110.5,1,5,1,1
1,0.682592,117.714286,1,6,0.571429,1
1,0.11249,231,1,5,1,1
1,0,50,0,2,1,0
1,0,153,0,2,1,0
1,0,103,0,1,1,0
1,0,135,0,4,1,1
1,0.652235,119.2,0,5,1,1
1,0,146,0,1,1,0
1,0.035668,154,0,5,1,1
1,0,49,1,2,1,0
1,0.875331,81.35,0,7,0.4,0
1,0,214,1,6,1,1
1,0,278,0,2,1,0
1,0,144,1,2,1,0
1,0,75,0,2,1,0
1,0,30,0,2,1,0
1,0.928512,178.25,0,6,1,0
1,0,81,0,2,1,0
1,0,602,0,5,1,1
1,0,152,0,4,1,0
1,0,325,0,3,1,1
1,0,649,1,5,1,1
1,0,354,0,5,1,1
1,0,236,0,3,1,0
1,0.037369,108,0,4,1,0
1,0.998001,25.5,1,2,0.5,1
1,0,27.4,0,1,0.2,0
1,0,73,1,3,1,0
1,0,49,0,4,1,0
1,0,104,1,2,1,0
1,0,64.5,0,1,0.5,0
1,0,6,0,1,1,0
1,0,7,0,1,1,0
1,0,29,0,2,1,0
1,0.918296,120,1,4,1,0
1,0.899744,17,0,2,0.5,0
1,0,29,0,1,0.25,0
1,0,43,0,2,1,0
1,0.798289,20.3,0,4,0.6,0
1,0,8,0,2,1,0
1,0,9,0,2,1,0
1,0.928321,19.666667,0,1,0.666667,0
1,0.899744,15.5,0,1,1,0
1,0,19.090909,0,1,0.090909,1
1,0,9,0,2,1,0
1,0.925818,56.571429,0,2,0.428571,0
1,0,8.25,0,1,0.25,0
1,0,19.5,1,2,1,0
1,0,20,0,1,0.5,0
1,0.908839,26.888889,0,6,0.555556,0
1,0.923722,44.36,0,6,0.52,0
1,0,5,0,1,0.5,0
1,0,14,0,1,1,0
1,0,11,0,1,1,0
1,0,5,0,1,1,0
1,1,21,0,1,1,0
1,0,11,0,1,1,0
1,0,6,0,1,1,0
1,0,10,0,1,1,0
1,0,5,1,1,1,0
1,0,10.333333,0,1,0.333333,0
1,0.858396,9.333333,0,1,1,0
1,0,4,0,1,1,0
1,0,0,0,2,1,0
1,0,51,0,1,0.142857,1
1,0.934425,56.930233,1,5,0.232558,1
1,0.93351,115.833333,0,3,0.166667,1
1,0,155,0,1,1,0
2,0.563508,48,0,4,0.444444,0
1,0.679817,99.012658,0,14,0.208861,1
1,0.941182,31.235294,0,4,0.588235,0
1,0.39994,31.72,1,4,0.36,1
1,0.868533,109.506667,0,7,0.373333,1
1,0,36,1,1,1,0
1,0,82.875,0,1,0.125,1
1,0.824852,37.142857,0,1,0.285714,0
1,0.597095,44.666667,0,1,0.333333,0
1,0,54,0,1,1,0
1,0,153,0,1,1,0
1,0,7,0,1,1,0
1,0.744205,181.5,0,6,1,1
1,0.94566,56,0,3,1,0
1,0.706598,33,0,7,0.888889,1
1,0.671252,115.448276,0,9,0.862069,1
1,0.456051,44.333333,0,2,0.666667,0
1,0,54,0,2,1,0
1,0,34,1,1,1,1
1,0,17.666667,0,1,0.111111,1
1,0,0,0,2,0.5,0
1,0,0,1,7,0.666667,0
1,0,10,0,1,0.5,0
1,0.78134,67.25,0,6,1,0
1,0.667312,101.093023,1,6,0.604651,1
1,0,7.5,0,1,0.5,1
1,0,32.9,0,1,0.1,1
1,0.731099,122,0,7,0.588235,1
1,0,26,1,1,1,0
1,0,103,1,1,1,0
1,0.461646,61.75,1,2,0.75,0
1,0,37.888889,0,1,0.111111,1
1,0,205,0,3,1,0
1,0,105,1,1,1,0
1,0.660854,38.4,0,5,0.9,1
1,0,70.142857,0,1,0.142857,1
1,0.576459,71.692308,1,5,0.461538,1
1,0,47,0,3,1,0
1,0,255,0,4,1,0
1,0,264,1,2,1,1
1,0,259,0,2,1,1
1,0.995979,140,1,2,1,0
1,0,104.5,0,1,0.25,1
1,0.728409,107.378378,0,3,0.405405,0
1,0,8,1,1,1,0
1,0,11,1,1,0.5,1
1,0.923867,49,1,4,0.428571,0
1,0,28,1,1,1,0
1,0,53,0,3,1,0
1,0.781424,103.5,1,4,1,1
1,0.696034,66.888889,0,4,0.888889,1
1,0,65,1,2,1,0
1,0.679272,33.2,1,3,0.8,0
2,0.696579,48.933333,0,7,0.8,1
1,0,49,0,3,1,1
1,0.882789,108.755102,1,13,0.561224,0
1,0.937382,76.727273,1,2,0.409091,1
1,0,93.833333,0,1,0.166667,1
1,0,198,1,2,1,0
1,0,198,0,2,1,1
1,0,199,0,2,1,0
1,0.941062,99.784653,1,4,0.272277,1
1,0.832923,116.428571,0,7,0.571429,0
1,0,269,0,6,1,0
1,0.96023,95.666667,1,5,1,0
1,0,297,0,4,1,0
1,0.904136,129.43617,0,6,0.585106,1
1,0.948937,233,0,3,0.833333,0
1,0.9929,71.841176,0,3,0.3,0
1,0,314,1,2,1,0
1,0,29,1,1,1,0
1,0.917759,75.6,1,4,0.4,1
1,0.853776,47.153846,0,4,0.230769,1
1,0,34,1,3,1,0
1,0.965091,36.236842,0,8,0.096491,0
1,0,25.142857,0,1,0.142857,0
1,0.979156,55.2,0,6,0.3,0
1,0.918296,111,1,4,1,0
1,0.63093,35.333333,0,4,0.666667,1
1,0.918971,38.222222,0,4,0.444444,1
1,0.621866,91.6,0,8,0.4,1
1,0,0,0,3,1,0
1,0,384,0,3,1,0
1,0,384,1,2,1,0
1,0,382,0,2,1,0
1,0,382,0,2,1,0
1,0,146.5,0,1,0.25,1
1,0.975881,33.064103,0,8,0.089744,0
1,1,40.142857,0,3,0.142857,0
1,0,18.666667,0,1,0.333333,1
1,0.878683,91.214286,0,9,0.392857,1
1,0,36,0,1,1,0
1,0,87,1,3,1,0
1,0.833562,43.44,0,6,0.16,0
1,0,33.5,0,1,0.5,1
1,0.858688,38.090909,0,5,0.454545,0
1,0,45.333333,0,1,0.333333,1
1,0.439496,23.666667,0,3,0.333333,0
1,0.727255,130.791667,0,9,0.833333,1
1,0,45,0,1,1,0
1,0,116,0,4,1,0
1,0,147,1,3,1,0
1,0,106.2,0,1,0.2,1
1,0.903776,93.5,0,5,0.5,0
1,0.859627,107.4,0,5,0.2,1
1,0.849751,102,0,3,0.5,0
1,0.905853,298.857143,1,2,0.571429,0
1,0,1371,1,2,1,0
1,0,137,0,5,1,0
1,0.413817,123.5,1,5,1,0
1,0.458686,107,1,2,1,0
1,0,182,0,1,1,1
1,0,16.2,0,3,0.6,0
1,0,38,0,2,1,0
1,1,38.333333,1,3,0.666667,0
1,0,58,0,1,0.5,0
1,0.984417,47,0,4,0.8,0
1,0,100,0,3,1,0
1,0,93,0,1,1,0
1,0,0,0,1,1,0
1,1,81.5,0,3,1,0
1,0,83,0,2,1,0
1,0.531328,141.6,0,5,0.8,1
1,0.103275,59,1,2,1,0
1,0,47,0,1,0.333333,0
1,0,6,0,1,1,0
1,0,52,0,1,0.125,1
1,0.7477,106.25,1,8,0.5,0
1,0.840359,120.5,1,6,0.5,0
1,0.985228,70.5,0,6,1,0
1,0.873262,49.75,0,5,0.5625,1
1,0.787127,49,1,3,1,0
1,0.591214,65.666667,0,5,0.666667,1
1,0,9,0,1,1,0
1,0.669592,43,0,4,1,0
1,0,50,0,1,1,0
1,0.734956,465.5,1,1,1,0
1,0.818087,63.2,0,7,0.266667,0
1,0,57.2,0,1,0.2,1
1,0,19,0,3,1,0
1,0,21,0,3,1,0
1,0.597534,211,0,3,0.571429,0
1,0.9997,194,0,2,1,0
1,0.970951,327.5,1,2,1,0
1,0.584507,73.333333,0,4,1,0
1,0,156.4,0,1,0.2,1
1,0,117,0,2,1,1
1,0.616508,57.666667,0,5,0.5,1
1,0.791453,43.641791,1,10,0.343284,1
1,0,56,0,1,1,1
1,0,275,0,1,1,1
1,0,8,0,1,1,0
1,0,46,0,1,1,1
1,0.983794,50,0,1,1,0
1,0.739271,36.4,1,1,0.2,0
1,0,26.25,1,1,0.25,1
1,0,39,1,1,1,0
1,0,32.166667,1,1,0.166667,1
1,0,61.8,0,1,0.05,1
1,0.589764,105.083333,0,5,0.75,1
1,1,128,0,2,1,0
1,0,37,0,1,1,0
1,0.903954,108.5,0,4,0.833333,1
1,0.904674,70.038462,1,5,0.384615,1
1,0,121,0,3,1,0
1,0.143726,153.5,0,2,1,0
1,0,136,0,2,1,0
1,0.976021,157,1,3,1,0
1,0,92,1,2,1,0
1,0.93751,139.75,1,6,0.75,1
1,0,0,0,1,1,0
1,0,117,1,2,1,0
1,0,54.666667,0,1,0.333333,1
2,0.566532,134.375,0,5,0.375,0
1,0,78.625,0,1,0.125,1
1,0,143,1,4,1,0
1,0,143,0,2,1,1
1,0,144,0,2,1,0
1,1,147,1,4,1,0
1,0,0,0,2,1,0
1,0.289065,36.909091,0,5,0.545455,1
1,0,45.333333,0,1,0.333333,1
1,0.91289,104.309211,0,6,0.368421,1
1,0,188,0,3,1,0
1,0,187,0,3,1,0
1,0,193,0,3,1,0
1,0,97,0,2,1,0
1,0,42,0,1,1,0
1,0,21.5,0,1,0.5,0
1,0,29.5,0,1,0.25,1
1,0.981693,28.333333,0,4,1,0
1,0.830798,204.2,1,2,0.4,0
1,0,50.75,0,1,0.25,1
1,0.813336,53,0,6,0.45,0
1,0.604292,65.5,0,5,0.75,0
1,0,29,0,3,1,0
1,0,36,1,3,1,0
1,0.999411,73.5,0,2,1,0
1,0,40.333333,0,1,0.111111,0
1,0.312336,456.5,0,2,0.25,0
1,0.973917,359.4,0,2,0.6,0
1,0.582758,29.625,1,7,0.65625,1
1,0,38,1,2,1,0
1,0,39.333333,0,1,0.333333,0
1,0.771949,117,1,6,0.5,1
1,0,96,0,1,1,0
1,0.525419,39.8,0,5,0.7,0
1,0,95,0,1,0.25,0
1,0.770881,48,0,9,0.555556,0
1,0,65,0,1,1,0
1,0,77.1,0,1,0.1,1
1,0.800302,265.25,0,2,0.875,0
1,0.566446,75.75,1,2,0.75,0
1,0.086968,80.5,0,4,1,1
1,0,17,0,1,1,0
1,0,5,0,1,1,0
2,0.979289,32.928571,1,4,0.285714,0
1,0,8,0,2,1,0
2,0,26.5,0,1,0.25,1
1,0.944849,67.624633,0,14,0.296188,1
1,0.546045,61.609375,0,10,0.484375,0
1,0,18,1,3,1,1
1,0.980798,25.5,0,3,0.5,0
1,0.527041,38.857143,1,2,0.428571,1
1,0,20,0,1,1,1
1,0.999526,45,0,4,0.5,1
1,0,96,0,3,1,0
1,0,31,0,1,1,1
1,0,0,0,4,0.5,0
1,0,85,0,3,1,0
1,0,48,1,1,1,1
1,0,25,1,1,1,0
1,0,17,1,2,1,0
1,0,12,0,1,1,0
1,0,3,0,1,1,0
1,0,12,0,1,0.166667,0
1,0,11,0,1,1,0
1,0,6.714286,0,1,0.142857,0
1,0,10,0,1,0.5,0
1,0,10,0,1,1,0
1,0,9,1,1,1,0
1,0,15,0,1,0.25,0
1,0.509559,24.666667,1,2,1,1
1,0,4,1,1,1,0
1,0,13.5,0,1,0.5,0
1,0.973011,93.1,0,6,0.7,0
1,0,13.5,0,1,0.166667,1
1,0.527766,82.625,0,9,0.625,1
2,0.19729,189,0,1,1,1
1,0,12,0,1,1,0
1,0,10,0,1,0.333333,0
1,0,5.25,0,1,0.25,0
1,0,4,0,1,1,0
1,0,5,0,1,1,0
2,0,21.5,0,1,0.25,0
1,0,3,0,1,1,0
1,0,9.25,0,1,0.25,0
1,0.615529,44.666667,0,2,0.666667,1
1,0,6,0,1,0.5,0
