@relation 'ant-1.5_deleteColumns-weka.filters.unsupervised.attribute.Remove-R1,4,7-9'

@attribute dit numeric
@attribute noc numeric
@attribute rfc numeric
@attribute lcom numeric
@attribute lcom3 numeric
@attribute loc numeric
@attribute dam numeric
@attribute moa numeric
@attribute mfa numeric
@attribute cam numeric
@attribute ic numeric
@attribute cbm numeric
@attribute amc numeric
@attribute max_cc numeric
@attribute avg_cc numeric
@attribute bug {1,0}

@data
1,0,9,0,0.666667,64,1,0,0,0.533333,0,0,11.2,1,0.8,0
2,0,50,24,0.85,288,1,1,0.68,0.296296,1,1,30.444444,2,1,0
6,0,32,13,0.75,150,1,0,0.9625,0.4,4,9,20.142857,2,1,1
6,0,4,1,2,11,0,0,0.987179,0.666667,0,0,4.5,1,0.5,0
5,0,18,0,0.708333,126,1,0,0.848485,0.47619,2,5,16.428571,5,1.2857,0
1,0,34,0,0.785714,312,1,0,0,0.85,0,0,26.090909,3,1.7273,0
1,0,6,15,1.2,10,0,0,0,0.722222,0,0,0,1,1,0
3,4,21,23,0.666667,149,1,1,0.692308,0.228571,1,2,13.7,1,0.8,0
4,0,81,40,0.823864,1178,0.909091,8,0.516129,0.25,2,4,67,2,1,0
1,0,13,31,0.703704,76,1,1,0,0.375,0,0,6.3,2,1.1,0
3,0,43,36,0.638889,424,1,0,0.755102,0.320513,1,6,31.384615,4,1.8462,0
2,0,20,0,0.5,141,1,0,0.6,0.416667,0,0,14.222222,1,0.6667,1
3,0,30,0,0.6,1262,1,0,0.880952,0.555556,1,1,208.666667,2,1,0
1,10,7,0,0,33,1,1,0,0.45,0,0,5.4,2,1,0
4,0,12,1,2,55,0,0,0.980392,1,1,2,26.5,4,2,0
2,5,23,0,0,110,1,0,0.346154,0.114583,0,0,5.055556,1,0.9444,0
5,0,37,0,0.69697,308,1,0,0.736842,0.3,2,5,24.166667,7,1.3333,0
1,0,20,0,0.333333,144,1,1,0,0.9,0,0,27.2,5,2.2,0
3,1,73,151,0.921717,668,0.777778,2,0.627119,0.207729,3,3,27.26087,26,2.3913,1
2,0,38,3,2,198,0,0,0.9,0.555556,1,1,65,6,2.3333,0
4,0,26,0,0.384615,153,1,1,0.65,0.333333,1,2,9.785714,2,0.6429,0
2,0,24,10,1,133,0,0,0.764706,0.5,0,0,25.4,1,0.8,0
2,0,43,322,0.859375,4244,0.761905,1,0.138889,0.257576,1,1,126.333333,32,5.6061,0
1,0,20,19,1.037037,197,0.666667,0,0,0.266667,0,0,25.857143,4,1.1429,0
3,0,8,1,2,33,0,0,0.969697,1,0,0,15.5,1,0.5,0
1,0,19,171,2,19,0,0,0,0.108359,0,0,0,1,1,0
3,0,17,18,0.714286,112,1,0,0.840909,0.75,0,0,12.625,4,1.75,0
3,0,22,1,0.7,137,1,0,0.880952,0.416667,3,3,21.166667,1,0.8333,0
1,0,212,3687,0.970476,2452,0.6,4,0,0.105495,0,0,25.56044,6,1.4945,0
1,0,36,58,0.633333,363,1,0,0,0.242188,0,0,21.3125,5,1.75,0
4,0,116,2338,0.964006,900,1,6,0.52349,0.206349,1,1,11.125,8,1.4722,0
4,0,83,11,0.916667,671,0.25,2,0.886364,0.25,2,2,58.909091,2,1,1
1,0,3,3,1.5,4,0,0,0,0.666667,0,0,0,1,1,0
1,0,11,3,0.583333,53,1,0,0,0.714286,0,0,6.285714,2,0.8571,0
1,0,1,0,2,1,0,0,0,1,0,0,0,1,1,0
2,0,22,3,1,152,0,0,0.866667,0.5,0,0,48.666667,1,0.6667,0
2,0,11,13,0.8,68,1,0,0.924242,0.444444,1,5,10.166667,3,1.5,0
5,0,26,0,0.666667,261,0,0,0.863636,0.342857,2,5,35.714286,8,3,0
3,0,62,134,0.6,630,1,0,0.6,0.272109,1,1,28.809524,9,3,0
1,0,23,6,2,195,0,0,0,0.333333,0,0,47.75,1,0.75,0
3,0,103,209,0.82,673,1,2,0.552239,0.16129,1,3,20.387097,2,1.0323,1
1,0,24,1,0,264,1,2,0,0.666667,0,0,86.333333,13,5,0
1,26,14,20,0.714286,87,1,0,0,0.6875,0,0,9.625,5,1.5,0
3,0,9,2,0.666667,48,1,0,0.925,0.5,0,0,10.5,1,0.75,0
1,0,39,22,0.785714,377,0.5,0,0,0.166667,0,0,45.875,3,1.25,0
4,4,40,223,0.045455,179,1,0,0.614035,0.093822,0,0,6.73913,4,1.2609,0
2,0,115,703,0.8819,1369,0.684211,1,0.478873,0.176829,1,5,31.142857,12,1.9286,0
3,0,37,0,0.628571,315,1,1,0.840909,0.325,0,0,37.75,1,0.875,0
3,0,17,4,0.666667,152,1,0,0.925,0.75,1,1,36.75,1,0.75,0
5,0,28,0,0.693878,365,0.571429,0,0.844444,0.25,1,4,43.75,19,5.375,0
1,0,32,27,0.683333,190,1,0,0,0.232323,0,0,15.727273,1,0.9091,0
3,0,61,37,0.9,758,0.6,0,0.804348,0.285714,0,0,73.8,7,2.1,0
1,0,14,5,0.8,131,0.5,0,0,0.2,0,0,20.166667,3,1.3333,0
3,0,42,21,0.793651,369,1,0,0.804348,0.45,0,0,35.2,2,1.1,0
3,2,24,29,0.555556,162,1,0,0.804348,0.5,0,0,15,4,1.2,0
3,0,61,121,0.75,503,0.5,0,0.638298,0.294737,2,2,25.157895,5,2,0
4,0,8,3,2,27,0,0,0.988636,0.666667,3,4,8,2,0.6667,0
4,1,138,421,0.863636,1740,1,0,0.709091,0.142045,4,4,49.647059,4,1.1471,1
3,0,31,15,0.666667,166,1,1,0.769231,0.3,1,1,15.3,3,1.4,0
3,0,22,0,0.166667,142,1,0,0.925,0.625,0,0,34,2,1,0
1,0,0,0,2,24,0,0,0,0,0,0,0,0,0,0
1,0,0,0,2,7,0,0,0,0,0,0,0,0,0,0
4,0,20,4,0.833333,168,0.666667,0,0.896552,0.466667,2,4,32,1,0.6,0
3,1,80,249,0.869231,607,1,2,0.587302,0.166667,0,0,20.925926,3,1.1481,1
3,0,2,0,2,5,0,0,1,1,0,0,4,0,0,0
1,0,11,1,0.7,74,1,0,0,0.555556,0,0,10.666667,1,0.8333,0
3,0,17,1,0.7,138,1,0,0.842105,0.428571,0,0,18,1,0.8571,0
4,0,9,10,0.75,81,0,0,0.924528,0.44,2,2,15,5,2,0
4,0,89,219,0.896842,881,1,4,0.757282,0.221154,3,4,32.153846,3,1.1538,1
1,0,71,14,0.866071,569,0.285714,1,0,0.163399,1,1,31.647059,8,1.5294,0
4,0,25,0,0.458333,201,1,2,0.853659,0.392857,1,3,27.142857,4,2.1429,0
1,0,21,26,0.714286,89,1,0,0,0.142857,0,0,10,2,0.875,0
1,0,69,264,0.733333,771,1,0,0,0.180556,1,1,22.625,4,1.1563,0
5,0,30,5,0.65,168,1,0,0.91,0.327273,2,10,13.909091,3,1.2727,1
1,0,47,60,0.818182,466,0,0,0,0.15,0,0,37.583333,4,1.8333,0
3,0,117,35,0.823232,849,0.909091,1,0.672727,0.305263,2,3,43.105263,12,2.2105,1
1,0,22,44,0.805195,156,1,1,0,0.261905,0,0,11.416667,4,1.25,0
2,0,9,1,2,33,0,0,0.958333,1,0,0,15.5,1,0.5,0
3,0,16,5,0.733333,95,1,0,0.880952,0.5,0,0,14.333333,1,0.8333,0
2,0,7,0,0,29,1,0,0.818182,0.666667,0,0,8.333333,1,0.6667,0
3,0,34,10,0.729167,214,1,0,0.840909,0.3125,1,1,22.111111,6,1.4444,0
1,0,8,0,0.5,1082,0,0,0,0.666667,0,0,153.285714,2,0.8571,0
4,0,90,87,0.849265,778,1,0,0.782051,0.188889,4,4,41.333333,1,0.9444,1
1,0,22,0,0.542857,141,1,1,0,0.34375,0,0,16,5,1.625,0
2,0,7,1,0.5,29,1,0,0.818182,0.666667,0,0,8.333333,1,0.6667,0
1,0,57,266,0.641975,602,1,0,0,0.197531,0,0,20.392857,16,2.25,0
6,0,11,3,2,37,0,0,0.969697,1,2,3,11.333333,2,1.3333,0
3,0,82,184,0.683333,719,1,2,0.6,0.22619,1,3,33.095238,4,1.9048,1
5,0,29,0,0.571429,179,1,0,0.823529,0.375,2,5,21,4,1.125,0
2,0,9,1,2,31,0,0,0.923077,0.666667,0,0,14.5,1,0.5,0
1,0,14,28,2,274,0,0,0,0.45,0,0,33.25,7,2.75,0
1,0,103,133,0.813725,1720,0.882353,0,0,0.141414,0,0,88.631579,11,2.5263,1
1,0,1,0,2,3,0,0,0,1,0,0,0,1,1,0
1,0,18,10,0.535714,108,1,0,0,0.541667,0,0,12,3,1.25,0
3,0,14,1,0.5,82,1,0,0.948718,0.666667,1,1,26,1,0.6667,0
6,0,24,36,2,104,0,0,0.888889,0.407407,3,8,10.555556,2,1.6667,0
1,0,3,3,2,3,0,0,0,1,0,0,0,1,1,0
3,0,36,0,0.694444,236,1,1,0.804348,0.45,1,1,22.2,2,1.4,0
3,0,13,4,0.75,71,1,0,0.902439,0.533333,0,0,12.6,1,0.8,0
1,0,10,2,0.866667,93,1,0,0,0.5,0,0,21,5,1.75,0
3,0,21,1,0.8,95,0.666667,2,0.882353,0.6,0,0,14.333333,3,1.3333,0
3,0,213,2518,0.94,2199,0.966667,10,0.318966,0.1375,3,3,25.777778,13,1.6543,1
4,0,2,0,2,4,0,0,1,1,0,0,3,0,0,0
1,0,6,15,2,6,0,0,0,0.444444,0,0,0,1,1,0
3,2,6,1,0.5,25,1,0,0.882353,0.833333,1,1,7,3,1.3333,0
5,1,14,3,2,52,0,0,0.96875,0.555556,1,1,16.333333,3,1.6667,0
3,0,17,0,0.666667,99,1,0,0.902439,0.533333,1,1,18.2,1,0.8,0
3,0,39,10,0.714286,282,1,0,0.840909,0.325,1,1,33.75,4,1.25,0
1,0,13,0,0.666667,60,1,1,0,0.75,0,0,13.25,1,0.75,0
4,0,13,0,0,87,1,0,0.928571,0.75,2,4,20.5,1,0.5,0
1,1,67,437,0.752525,1171,1,2,0,0.257576,0,0,32.911765,23,2.5,0
2,0,20,0,0.75,106,0.333333,0,0.921569,0.466667,0,0,19.6,2,1,1
4,0,25,0,0.458333,199,1,2,0.853659,0.392857,1,3,26.857143,5,2.5714,0
1,0,13,0,0,69,1,0,0,0.533333,0,0,12.6,3,1.2,0
3,0,33,65,0.910256,404,1,1,0.74,0.595238,1,2,27,2,1,0
1,0,19,0,0.75,104,0.5,0,0,0.666667,0,0,33,1,0.6667,0
5,0,14,3,2,52,0,0,0.96875,0.555556,1,1,16.333333,3,1.6667,0
1,0,38,12,0.857143,310,0.142857,1,0,0.259259,0,0,32.666667,1,0.8889,0
1,2,20,46,0.666667,111,1,0,0,0.615385,0,0,7.230769,1,0.7692,1
4,0,72,39,0.714286,683,1,0,0.847826,0.277778,0,0,43.733333,1,0.9333,0
1,0,49,125,0.809524,382,1,1,0,0.309091,0,0,16.045455,8,1.7273,0
3,0,29,0,0,135,1,0,0.666667,0.125,1,1,7.375,1,0.9375,0
1,0,5,6,2,16,0,0,0,0.875,0,0,3,1,0.75,0
5,0,38,1,0.84,391,0.5,0,0.791667,0.215909,1,4,33.636364,8,2.7273,0
1,0,47,11,0.75,329,1,3,0,0.2125,0,0,31.1,6,1.5,1
2,0,15,0,0,45,1,0,0.642857,0.444444,1,1,6.333333,1,0.8333,0
2,52,37,179,0.818182,255,1,4,0.290323,0.246377,1,3,9.73913,4,1.1739,0
2,0,26,1,2,248,0,0,0.958333,1,1,1,123,1,0.5,0
3,0,34,0,0.866667,237,1,0,0.880952,0.444444,0,0,38,1,0.8333,0
2,0,26,6,1,195,0,0,0.884615,0.5,0,0,47.5,10,3,0
2,0,18,0,1.242424,274,1,0,0.888889,0.5,1,3,79.333333,12,5.6667,0
2,0,6,1,2,20,0,0,0.875,0.75,1,1,9,1,0.5,0
5,0,28,0,0.708333,215,0.5,0,0.863636,0.342857,1,4,29.142857,9,2.8571,0
1,3,56,86,0.8,375,1,2,0,0.226667,0,0,22.25,14,2.0625,0
1,0,8,3,0.666667,43,1,0,0,0.714286,0,0,4.714286,1,0.8571,0
1,0,78,218,0.914783,1203,0.36,0,0,0.322981,0,0,48.083333,17,1.9167,0
2,0,20,3,1,151,0,0,0.92,0.5,0,0,48.333333,1,0.6667,0
4,2,8,3,2,27,0,0,0.988636,0.666667,3,4,8,2,0.6667,0
2,0,8,0,0,32,1,0,0.75,0.555556,0,0,9.333333,1,0.6667,0
2,0,7,0,0,33,1,0,0.818182,0.666667,0,0,9.666667,1,0.6667,0
5,0,15,0,0.333333,83,1,0,0.953846,0.4375,1,1,19.5,5,2,0
2,0,25,14,0.571429,163,1,1,0.416667,0.3,1,1,18.875,2,1,0
2,0,12,6,2,71,0,0,0.625,0.5,0,0,16.75,1,0.75,0
1,0,8,0,0,89,1,0,0,0.428571,1,1,11.571429,4,1,0
1,0,7,21,2,7,0,0,0,1,0,0,0,1,1,0
3,2,21,18,0.714286,145,1,0,0.840909,0.4375,1,1,16.875,1,0.875,0
3,0,40,17,0.7,286,1,2,0.75,0.287879,1,1,24.545455,3,1.9091,0
4,5,5,0,0.333333,18,1,1,0.921053,0.4375,0,0,3.25,1,0.75,0
1,0,11,3,0.6,54,1,0,0,0.666667,0,0,7.666667,1,0.8333,0
4,0,14,1,2,66,0,0,0.980392,1,1,2,32,4,2,0
1,0,12,3,2,90,0,0,0,0.333333,1,1,29,8,5,0
1,0,4,3,2,20,0,0,0,0.5,0,0,5.666667,2,1,0
2,0,40,330,0.781057,2014,0.787234,1,0.225,0.20625,1,1,60.46875,26,4.0938,0
1,0,120,396,0.928571,1348,0.8,0,0,0.278571,0,0,45.310345,29,2.6207,1
4,0,108,964,0.946302,816,0.952381,4,0.624,0.154167,3,3,15.5625,7,1.375,0
2,0,10,0,0,67,1,1,0.714286,0.666667,1,1,20.333333,1,0.6667,0
3,1,99,664,0.918193,855,0.952381,2,0.486842,0.194444,0,0,19.85,8,1.6,1
4,0,3,0,2,6,0,0,1,1,0,0,5,0,0,0
1,0,14,3,2,88,0,0,0,0.444444,0,0,28.333333,1,0.6667,0
1,0,7,4,0.5,39,1,0,0,0.7,0,0,6.2,1,0.6,0
1,0,69,39,0.93254,614,1,1,0,0.342857,0,0,38.733333,10,2.7333,1
3,0,8,1,2,28,0,0,0.967742,0.75,0,0,13,2,1,0
1,0,10,8,0.3125,69,0.75,1,0,0.583333,0,0,12,3,0.6,0
2,0,14,1,2,44,0,0,0.958333,1,0,0,21,1,0.5,0
1,0,7,6,2,20,0,0,0,0.875,0,0,4,1,0.75,0
5,0,2,0,2,4,0,0,1,1,0,0,3,0,0,0
1,1,15,0,0.5,137,1,0,0,0.9,0,0,25.2,4,1.8,0
1,0,5,0,0.333333,24,1,0,0,0.875,0,0,4.75,1,0.75,0
1,0,85,218,0.776812,708,0.933333,6,0,0.13834,0,0,27.875,7,1.75,1
3,2,102,560,0.796429,698,1,1,0.434783,0.076352,1,3,15.853659,5,1.6585,0
1,1,29,87,0.946429,190,1,3,0,0.223214,0,0,10.866667,4,1.0667,0
3,0,37,19,0.75,317,1,1,0.787234,0.327273,1,1,27.272727,21,3,0
1,0,26,31,0.892308,361,0.615385,1,0,0.3,0,0,30.636364,5,2.1818,0
4,0,7,0,0,130,1,0,0.928571,0.75,2,4,31,1,0.5,0
1,0,19,0,0.5,108,1,0,0,0.533333,0,0,20.2,3,1.4,0
3,0,36,0,0.666667,261,1,0,0.860465,0.342857,2,2,35.571429,1,0.8571,0
5,0,7,0,0,20,1,0,0.928571,0.75,0,0,8.5,1,0.5,1
4,0,46,10,2,587,0,0,0.952381,0.6,4,6,116.4,18,5.8,0
1,0,11,7,0.333333,98,0,0,0,0.714286,0,0,12.571429,7,1.4286,0
1,0,19,1,0.5,89,1,0,0,0.5,0,0,28.333333,1,0.3333,0
3,0,14,1,0.7,75,1,0,0.880952,0.555556,0,0,10.833333,1,0.8333,0
3,5,8,3,0.4,39,1,0,0.857143,0.5,0,0,5.333333,3,1.3333,0
5,1,14,3,2,52,0,0,0.96875,0.555556,1,1,16.333333,3,1.6667,0
3,0,73,74,0.886364,669,0.727273,2,0.649123,0.232143,1,1,30.333333,3,1.0476,1
1,0,18,14,0.65625,88,1,0,0,0.518519,0,0,8.333333,1,0.8889,0
3,1,54,225,0.872727,539,1,2,0.606557,0.24,0,0,19.307692,7,1.1923,0
3,0,16,0,0.333333,95,1,0,0.914286,0.75,0,0,22.25,1,0.75,0
1,0,35,38,0.631818,617,0.818182,0,0,0.293651,0,0,27.857143,3,0.8571,0
1,0,1,0,2,2064,0,0,0,0,0,0,2052,0,0,0
2,13,24,19,0.666667,146,1,1,0.5,0.266667,0,0,13.3,3,1.2,0
3,1,53,16,0.75,457,1,0,0.822222,0.271605,2,2,49.222222,5,1.3333,1
1,0,2,1,2,2,0,0,0,0.75,0,0,0,1,1,0
1,0,2,1,2,2,0,0,0,1,0,0,0,1,1,0
1,0,26,53,0.9,725,1,1,0,0.26,0,0,64.818182,47,8.4545,0
1,0,30,0,0,186,1,2,0,0.6,0,0,90.5,10,5,0
2,0,68,181,0.806818,462,0.875,0,0.547619,0.140909,0,0,18.73913,5,1.4783,0
3,0,31,0,0.428571,181,1,0,0.833333,0.3125,1,1,21.375,5,2,0
3,0,77,365,0.896552,717,1,3,0.578125,0.204167,0,0,22.566667,7,1.4667,0
1,0,14,91,2,14,0,0,0,0.271429,0,0,0,1,1,0
4,0,92,129,0.849817,837,1,3,0.787879,0.309091,2,2,36.454545,5,1.2273,1
1,0,40,18,0.666667,464,1,0,0,0.346939,0,0,56.625,11,3.875,0
1,1,11,6,2,62,0,0,0,0.5,0,0,14.5,1,0.75,0
3,0,19,0,0.533333,88,1,0,0.880952,0.833333,0,0,13.166667,1,0.8333,1
1,0,23,68,0.697917,308,1,0,0,0.708333,0,0,22.076923,36,3.4615,0
3,0,7,1,2,23,0,0,0.969697,1,0,0,10.5,1,0.5,0
2,0,19,3,1,93,0,0,0.866667,0.5,0,0,29.666667,1,0.6667,0
1,1,7,6,0.75,32,1,0,0,0.7,0,0,5,1,0.8,0
1,0,22,0,0.555556,111,1,0,0,0.47619,0,0,14.428571,4,1.4286,0
4,0,5,1,2,10,0,0,0.985507,0.75,1,1,4,1,0.5,0
3,0,48,58,0.786667,480,1,2,0.711538,0.25,2,2,28.375,4,1.4375,0
3,0,33,3,0.722222,145,1,1,0.804348,0.4,2,4,13.1,2,1.3,0
2,2,15,1,0.583333,92,1,1,0.454545,0.464286,1,1,11.571429,1,0.8571,0
2,0,20,1,2,132,0,0,0.958333,1,1,1,65,1,0.5,0
1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
1,0,8,0,0,147,1,0,0,0.342857,1,1,19.857143,4,1,0
1,0,4,6,2,4,0,0,0,0.625,0,0,0,1,1,0
1,0,1,0,2,1,0,0,0,1,0,0,0,1,1,0
2,0,12,0,0.333333,70,1,0,0.75,0.5,0,0,16,1,0.75,0
