@relation 'poi-1.5_deleteColumns-weka.filters.unsupervised.attribute.Remove-R1-2,4-5,7-9,11,14,16,19-20'

@attribute noc numeric
@attribute lcom numeric
@attribute lcom3 numeric
@attribute dam numeric
@attribute moa numeric
@attribute cam numeric
@attribute cbm numeric
@attribute amc numeric
@attribute bug {1,0}

@data
2,19,0.611111,1,2,0.325,0,5.9,0
0,3,1.5,0,0,0.666667,0,0,1
0,9,0.25,1,0,0.454545,0,7.181818,0
0,119,0.824074,0.833333,0,0.460526,6,13.473684,1
0,6,2,0,0,0.583333,0,0,0
0,174,0.961765,0.352941,0,0.452381,6,11.761905,1
0,49,0.85,0.5,0,0.418182,6,9,1
0,21,0.533333,1,0,0.454545,0,6.909091,0
0,49,0.85,0.5,0,0.418182,6,9,0
0,15,1.177143,0.057143,2,0.3,2,39,1
4,6,2,0,0,0.666667,0,2.75,0
0,43,0.8,0,0,0.418182,6,15.363636,0
0,1,2,0,0,0.666667,1,3.5,0
0,0,2,0,0,1,0,0,0
0,36,1.125,0,0,0.555556,6,6.888889,1
0,1,2,0,0,0.5,0,40,0
0,30,0.90625,0.375,4,0.388889,2,9.888889,1
0,217,0.923274,0.565217,6,0.280952,6,16.685714,1
0,9,0.25,1,0,0.522727,0,6.545455,0
0,35,0.8,0.5,0,0.418182,6,9.636364,1
15,28,2,0,0,0.458333,0,19.75,1
0,66,1.090909,0.333333,0,0.333333,2,6.833333,1
0,0,0,0,1,0.666667,0,5.5,0
0,43,0.85,0.5,0,0.522727,6,9.454545,1
0,171,2,0,0,0.526316,0,5.631579,1
0,87,0.871429,0.8,0,0.516667,5,14,0
0,0,2,0,0,1,0,0,0
0,94,0.8125,0.8,0,0.470588,6,12.823529,1
0,312,0.796296,0.833333,0,0.21875,6,14.285714,1
0,40,0.830357,0.571429,2,0.376471,6,13.294118,1
0,43,0.85,0,0,0.418182,6,9.454545,1
1,0,0.357143,1,0,0.375,1,33.5,0
0,252,0.782609,0.8,0,0.305556,6,14.041667,1
0,28,1.142857,0,0,0.40625,2,5.75,1
0,4,0.333333,1,0,0.466667,0,35.25,0
0,49,0.975,0.25,0,0.522727,6,8.454545,0
0,164,0.828704,0.888889,2,0.352,6,15.12,1
0,349,0.888288,0.933333,1,0.243421,7,41.368421,1
0,1269,0.892573,1,2,0.187192,0,39.372881,1
0,9,0.5,1,1,0.342857,0,5.714286,0
0,15,1.2,0,0,0.333333,0,21.666667,1
0,3,1.5,0,0,0.555556,1,11.333333,0
0,54,0.924242,1,1,0.3125,2,17,0
0,104,0.883929,0,1,0.485294,6,15.823529,1
0,0,2,0,0,0,0,0,0
0,3,2,0,0,0.333333,0,104,1
0,0,0.388889,1,0,0.313333,1,24.04,0
0,1,2,0,0,0.5,0,13,1
0,36,2,0,0,0.555556,0,0,1
0,49,0.85,0.5,0,0.522727,6,8.454545,0
0,43,0.85,0.5,0,0.418182,6,9.363636,0
0,0,0.388889,1,0,0.36,1,24.04,0
0,78,0.533333,1,0,0.291667,0,9.5,0
0,190,2,0,0,0.2,0,20.65,0
0,213,0.75,0.75,0,0.310606,6,13.818182,1
0,49,0.933333,0.333333,0,0.418182,6,8.363636,1
0,122,0.94,0.4,1,0.301587,6,14.190476,1
0,119,0.901235,0.555556,0,0.460526,6,13.473684,1
0,64,0.833333,0.75,0,0.5,6,9.769231,1
0,9,0.25,1,0,0.454545,0,7.181818,0
0,0,2,0,0,0,0,0,0
0,6,2,0,0,0.75,0,0,0
0,28,1.142857,0,0,0.40625,2,5.75,1
0,0,2,0,0,1,0,4,0
0,0,0.744318,0.875,6,0.356522,6,15.478261,1
0,56,0.805556,0.666667,0,0.5,6,10.923077,1
0,3,2,0,0,0.666667,1,8,0
0,10,2,0,0,0.5,0,5.4,0
4,4,0.333333,1,0,0.666667,0,10.25,0
0,93,0.796296,0.833333,1,0.368421,6,13.684211,1
0,0,0.642857,1,1,0.25641,2,19.307692,0
0,65,0.75,0.6,4,0.147929,0,36.076923,1
0,31,0.577778,0.8,0,0.206349,0,39.9,1
0,49,0.85,0.5,0,0.522727,6,8.454545,0
0,77,0.876923,0.8,0,0.517857,5,13.071429,1
0,21,2,0,0,0.306122,0,49,1
0,0,0.978947,0.133333,1,0.258333,0,5.25,1
0,43,0.85,0.5,0,0.418182,6,9.454545,1
0,36,1.125,0,0,0.555556,6,6.888889,0
0,6,2,0,0,0.583333,0,0,0
0,0,0.666667,1,2,0.4375,0,5.25,0
0,91,0.795455,0.875,3,0.356522,6,14.956522,1
0,66,0.777778,0.666667,0,0.333333,6,12.153846,1
0,43,0.85,0.5,0,0.418182,6,13,1
0,201,0.833333,0.833333,0,0.369565,2,15.217391,1
0,0,0.566667,1,1,0.272727,0,17.818182,0
0,0,2,0,0,0,0,0,0
0,43,0.85,0.5,0,0.522727,6,8.454545,0
0,252,0.782609,0.8,0,0.261905,6,14,1
0,297,0.659004,1,0,0.353448,0,18.133333,1
0,0,2,0,0,1,0,0,0
0,84,0.673913,0.833333,3,0.183333,0,17.541667,0
0,0,0.5,1,3,0.198864,0,27.0625,0
0,27,0.809524,1,2,0.5,0,20.5,1
0,36,1.125,0,0,0.555556,6,6.888889,0
0,0,2,0,0,1,0,3,0
0,35,0.673077,0,0,0.297619,5,11.785714,1
0,141,0.865079,0.857143,0,0.368421,6,12.631579,1
0,28,0.895833,0.166667,0,0.485714,0,32.36,0
0,0,2,0,0,1,0,3,1
40,10,1.25,1,0,0.8,0,56.4,1
0,366,0.865306,0.928571,5,0.282407,6,15.861111,1
0,6,2,0,0,0.666667,0,4,1
0,49,0.975,0.25,0,0.522727,6,8.454545,1
0,85,0.814286,0.8,0,0.322222,6,12.6,1
0,110,0.833333,0.833333,0,0.470588,6,12.294118,1
1,176,0.725,0.75,4,0.3625,0,15.428571,1
0,15,2,0,0,0.583333,0,0,0
0,1,2,0,0,0.75,0,0,0
0,34,0.75,0,0,0.294872,5,13.307692,1
0,3,1.5,0,0,0.777778,4,54.666667,0
1,4,0.5,1,0,0.6,0,4.6,1
0,463,0.866667,1,0,0.203704,0,9.870968,1
0,26,0.857143,0.25,1,0.342857,1,25.875,1
0,66,0.805556,0.666667,0,0.4,6,9.538462,0
0,1,0,1,1,0.514286,0,35.571429,0
0,6,2,0,0,0.666667,0,4,1
0,49,1,0.2,0,0.522727,6,8.454545,0
0,66,0.805556,0.666667,0,0.5,6,9.538462,1
0,1362,0.927083,1,1,0.265306,7,30.473684,0
0,0,0.333333,1,0,0.5,0,25.666667,0
0,1,0.809524,1,5,0.571429,2,42.857143,1
0,36,1.125,0,0,0.555556,6,6.888889,0
0,48,0.890909,0.6,0,0.35,2,12.833333,1
0,0,0.838843,0.636364,5,0.297101,6,15.304348,1
0,694,0.911702,0.95,8,0.27305,6,12.6875,1
0,535,0.941176,0.818182,0,0.225,5,10,1
2,0,0.5,1,2,0.458333,0,16.5,0
0,49,0.85,0.5,0,0.522727,6,8.454545,1
0,43,0.85,0.5,0,0.522727,6,9.454545,1
0,210,0.875,0.625,0,0.298611,6,14,1
0,6,2,0,0,0.666667,0,0,0
100,85,0.846154,0.75,0,0.5,0,7.642857,1
0,183,0.864943,0.916667,9,0.287356,6,11.633333,1
0,148,0.971053,0.315789,0,0.452381,6,14,1
0,26,1.047619,1,0,0.2,0,19.75,1
0,43,0.85,0.5,0,0.418182,6,9.454545,1
0,0,0,1,0,0.5,0,23,0
0,43,1,0.2,0,0.522727,6,9.454545,1
0,66,0.805556,0.666667,0,0.5,6,9.538462,0
0,106,0.354167,1,2,0.144796,0,25.470588,1
0,57,0.607843,1,2,0.172222,1,16.388889,1
0,28,1.142857,0,0,0.40625,2,5.75,1
0,10,1.1,0.8,0,0.6,2,6.2,1
0,49,0.85,0.5,0,0.522727,6,8.454545,0
0,49,0.85,0.5,0,0.522727,6,8.454545,0
0,65,0.794872,0.666667,0,0.4,6,15.5,1
0,43,0.85,0.5,0,0.418182,6,9.454545,1
0,5,0.740741,1,0,0.228571,2,21,1
0,3,0.083333,1,1,0.303571,0,39,0
0,1,2,0,0,0.5,0,18.5,0
0,511,0.938063,0.625,4,0.239382,6,14.236842,1
0,107,0.382353,1,0,0.433333,0,8.333333,0
0,0,2,0,0,0,0,0,1
0,79,0.785714,0.666667,0,0.483333,6,15.533333,1
0,0,0.712963,0.833333,4,0.368421,6,14.315789,1
0,13,0.6,1,0,0.375,0,37.666667,1
0,0,2,0,0,0,0,0,0
0,5,0.55,0,2,0.375,0,39.5,0
2,0,0,1,1,0.55,2,4.2,1
0,49,0.85,0.5,0,0.522727,6,8.454545,1
0,4,0.428571,1,0,0.425,1,9.875,0
0,0,0.832447,0.875,3,0.165957,0,11.6875,1
0,6,2,0,0,0.666667,0,4,1
0,109,0.81746,0.857143,1,0.368421,6,12.578947,0
0,30,0.75,1,1,0.407407,1,5,0
0,21,2,0,0,0.357143,2,2,1
0,1,2,0,0,0.5,0,11,0
0,43,0.85,0.5,0,0.418182,6,9.454545,1
0,112,0.8125,0.8,0,0.470588,6,10.941176,1
0,2,0.75,1,2,0.36,0,18.8,1
