@relation poi-1.5_deleteColumns-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.Remove-R16-weka.filters.unsupervised.attribute.Remove-R11-weka.filters.unsupervised.attribute.Remove-R8-weka.filters.unsupervised.attribute.Remove-R11

@attribute dit numeric
@attribute noc numeric
@attribute lcom numeric
@attribute ca numeric
@attribute ce numeric
@attribute npm numeric
@attribute lcom3 numeric
@attribute dam numeric
@attribute moa numeric
@attribute cam numeric
@attribute cbm numeric
@attribute amc numeric
@attribute avg_cc numeric
@attribute bug {1,0}

@data
2,0,64,1,2,11,0.833333,0.75,0,0.5,6,9.769231,0.7692,1
1,0,9,2,3,11,0.25,1,0,0.454545,0,7.181818,0.6364,0
1,0,0,0,0,0,2,0,0,0,0,0,0,0
1,0,6,3,0,4,2,0,0,0.75,0,0,1,0
2,0,28,3,2,8,1.142857,0,0,0.40625,2,5.75,0.75,1
4,0,0,99,0,1,2,0,0,1,0,4,0,0
2,0,0,0,5,21,0.744318,0.875,6,0.356522,6,15.478261,0.913,1
2,0,56,1,4,11,0.805556,0.666667,0,0.5,6,10.923077,0.8462,1
3,0,3,6,2,1,2,0,0,0.666667,1,8,0.3333,0
2,0,10,1,4,5,2,0,0,0.5,0,5.4,0.8,0
1,4,4,4,0,4,0.333333,1,0,0.666667,0,10.25,1,0
2,0,93,1,5,17,0.796296,0.833333,1,0.368421,6,13.684211,0.8947,1
2,0,0,10,3,11,0.642857,1,1,0.25641,2,19.307692,0.9231,0
1,0,65,4,12,19,0.75,0.6,4,0.147929,0,36.076923,2.8846,1
1,0,31,26,0,5,0.577778,0.8,0,0.206349,0,39.9,1.2,1
2,0,49,3,3,9,0.85,0.5,0,0.522727,6,8.454545,0.8182,0
2,0,77,2,3,11,0.876923,0.8,0,0.517857,5,13.071429,1,1
1,0,21,9,0,5,2,0,0,0.306122,0,49,3.5714,1
1,0,0,3,2,19,0.978947,0.133333,1,0.258333,0,5.25,0.95,1
2,0,43,2,3,9,0.85,0.5,0,0.418182,6,9.454545,1,1
2,0,36,1,3,7,1.125,0,0,0.555556,6,6.888889,0.7778,0
1,0,6,1,2,4,2,0,0,0.583333,0,0,1,0
1,0,0,3,2,3,0.666667,1,2,0.4375,0,5.25,0.75,0
2,0,91,0,5,21,0.795455,0.875,3,0.356522,6,14.956522,0.913,1
2,0,66,2,4,11,0.777778,0.666667,0,0.333333,6,12.153846,1.1538,1
2,0,43,2,4,9,0.85,0.5,0,0.418182,6,13,0.9091,1
2,0,201,1,2,23,0.833333,0.833333,0,0.369565,2,15.217391,1.1304,1
1,0,0,2,9,10,0.566667,1,1,0.272727,0,17.818182,1.0909,0
1,0,0,2,0,0,2,0,0,0,0,0,0,0
2,0,43,2,3,9,0.85,0.5,0,0.522727,6,8.454545,0.8182,0
2,0,252,6,4,22,0.782609,0.8,0,0.261905,6,14,1.7917,1
1,0,297,0,9,4,0.659004,1,0,0.353448,0,18.133333,1.9,1
1,0,0,13,0,1,2,0,0,1,0,0,1,0
1,0,84,3,5,16,0.673913,0.833333,3,0.183333,0,17.541667,1.7083,0
1,0,0,9,14,14,0.5,1,3,0.198864,0,27.0625,1.0625,0
1,0,27,2,4,8,0.809524,1,2,0.5,0,20.5,1.5,1
2,0,36,2,3,7,1.125,0,0,0.555556,6,6.888889,0.7778,0
1,0,0,1,0,0,2,0,0,1,0,3,0,0
2,0,35,1,3,12,0.673077,0,0,0.297619,5,11.785714,1.5714,1
2,0,141,2,3,17,0.865079,0.857143,0,0.368421,6,12.631579,0.8947,1
1,0,28,5,2,21,0.895833,0.166667,0,0.485714,0,32.36,2.84,0
1,0,0,0,0,1,2,0,0,1,0,3,0,1
1,40,10,40,38,5,1.25,1,0,0.8,0,56.4,0.8,1
2,0,366,6,4,34,0.865306,0.928571,5,0.282407,6,15.861111,1.1389,1
5,0,6,1,1,4,2,0,0,0.666667,0,4,0,1
2,0,49,2,3,9,0.975,0.25,0,0.522727,6,8.454545,0.8182,1
2,0,85,2,4,13,0.814286,0.8,0,0.322222,6,12.6,0.8667,1
2,0,110,2,3,15,0.833333,0.833333,0,0.470588,6,12.294118,0.8824,1
1,1,176,4,10,16,0.725,0.75,4,0.3625,0,15.428571,1,1
1,0,15,5,1,6,2,0,0,0.583333,0,0,1,0
1,0,1,5,0,2,2,0,0,0.75,0,0,1,0
2,0,34,1,3,11,0.75,0,0,0.294872,5,13.307692,1.6923,1
2,0,3,3,4,3,1.5,0,0,0.777778,4,54.666667,1.6667,0
4,1,4,1,0,5,0.5,1,0,0.6,0,4.6,0.2,1
1,0,463,114,2,27,0.866667,1,0,0.203704,0,9.870968,1.0968,1
3,0,26,2,1,7,0.857143,0.25,1,0.342857,1,25.875,1.125,1
2,0,66,2,3,11,0.805556,0.666667,0,0.4,6,9.538462,0.8462,0
1,0,1,7,6,1,0,1,1,0.514286,0,35.571429,0.7143,0
4,0,6,3,1,4,2,0,0,0.666667,0,4,0,1
2,0,49,2,3,9,1,0.2,0,0.522727,6,8.454545,0.8182,0
2,0,66,2,3,11,0.805556,0.666667,0,0.5,6,9.538462,0.8462,1
2,0,1362,14,7,17,0.927083,1,1,0.265306,7,30.473684,2.5263,0
1,0,0,1,3,0,0.333333,1,0,0.5,0,25.666667,2.3333,0
2,0,1,2,6,5,0.809524,1,5,0.571429,2,42.857143,1.4286,1
2,0,36,1,3,7,1.125,0,0,0.555556,6,6.888889,0.7778,0
2,0,48,3,2,10,0.890909,0.6,0,0.35,2,12.833333,1.5,1
2,0,0,1,5,21,0.838843,0.636364,5,0.297101,6,15.304348,0.913,1
2,0,694,2,4,45,0.911702,0.95,8,0.27305,6,12.6875,0.9375,1
2,0,535,3,5,30,0.941176,0.818182,0,0.225,5,10,1.6,1
1,2,0,2,3,4,0.5,1,2,0.458333,0,16.5,1.1667,0
2,0,49,2,3,9,0.85,0.5,0,0.522727,6,8.454545,0.8182,1
2,0,43,0,4,9,0.85,0.5,0,0.522727,6,9.454545,0.8182,1
2,0,210,2,4,21,0.875,0.625,0,0.298611,6,14,1.2083,1
1,0,6,5,2,4,2,0,0,0.666667,0,0,1,0
1,100,85,115,0,11,0.846154,0.75,0,0.5,0,7.642857,0.7857,1
2,0,183,3,4,27,0.864943,0.916667,9,0.287356,6,11.633333,0.9,1
2,0,148,1,4,19,0.971053,0.315789,0,0.452381,6,14,0.9048,1
1,0,26,1,0,3,1.047619,1,0,0.2,0,19.75,1.25,1
2,0,43,2,3,9,0.85,0.5,0,0.418182,6,9.454545,1,1
1,0,0,3,3,3,0,1,0,0.5,0,23,1.75,0
2,0,43,0,4,9,1,0.2,0,0.522727,6,9.454545,0.8182,1
2,0,66,2,3,11,0.805556,0.666667,0,0.5,6,9.538462,0.8462,0
1,0,106,9,27,13,0.354167,1,2,0.144796,0,25.470588,1.1176,1
2,0,57,3,13,13,0.607843,1,2,0.172222,1,16.388889,1.1667,1
2,0,28,3,2,8,1.142857,0,0,0.40625,2,5.75,0.75,1
2,0,10,1,2,5,1.1,0.8,0,0.6,2,6.2,0.6,1
2,0,49,2,3,9,0.85,0.5,0,0.522727,6,8.454545,0.8182,0
2,0,49,2,3,9,0.85,0.5,0,0.522727,6,8.454545,0.8182,0
2,0,65,2,4,12,0.794872,0.666667,0,0.4,6,15.5,1.0714,1
2,0,43,3,3,9,0.85,0.5,0,0.418182,6,9.454545,1,1
2,0,5,2,2,8,0.740741,1,0,0.228571,2,21,1.2,1
1,0,3,0,17,6,0.083333,1,1,0.303571,0,39,1.8571,0
1,0,1,2,0,1,2,0,0,0.5,0,18.5,1.5,0
2,0,511,4,5,35,0.938063,0.625,4,0.239382,6,14.236842,0.9737,1
1,0,107,25,0,18,0.382353,1,0,0.433333,0,8.333333,1.2222,0
1,0,0,2,0,0,2,0,0,0,0,0,0,1
2,0,79,3,3,13,0.785714,0.666667,0,0.483333,6,15.533333,1.2,1
2,0,0,1,5,17,0.712963,0.833333,4,0.368421,6,14.315789,0.8947,1
1,0,13,0,7,6,0.6,1,0,0.375,0,37.666667,1.6667,1
1,0,0,0,0,0,2,0,0,0,0,0,0,0
1,0,5,1,17,6,0.55,0,2,0.375,0,39.5,2.6667,0
2,2,0,2,5,10,0,1,1,0.55,2,4.2,0.9,1
2,0,49,2,3,9,0.85,0.5,0,0.522727,6,8.454545,0.8182,1
2,0,4,3,0,5,0.428571,1,0,0.425,1,9.875,0.875,0
1,0,0,3,13,39,0.832447,0.875,3,0.165957,0,11.6875,1.2708,1
4,0,6,2,1,4,2,0,0,0.666667,0,4,0,1
2,0,109,1,4,17,0.81746,0.857143,1,0.368421,6,12.578947,0.8947,0
2,0,30,3,7,6,0.75,1,1,0.407407,1,5,0.8889,0
2,0,21,1,2,7,2,0,0,0.357143,2,2,0.8571,1
1,0,1,2,7,2,2,0,0,0.5,0,11,0.5,0
2,0,43,2,3,9,0.85,0.5,0,0.418182,6,9.454545,1,1
2,0,112,2,3,15,0.8125,0.8,0,0.470588,6,10.941176,0.8824,1
1,0,2,1,6,5,0.75,1,2,0.36,0,18.8,0.8,1
