@relation PC1-weka.filters.unsupervised.attribute.Remove-R10-weka.filters.unsupervised.attribute.Remove-R5-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R4-weka.filters.unsupervised.attribute.Remove-R15-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R6-weka.filters.unsupervised.attribute.Remove-R12-weka.filters.unsupervised.attribute.Remove-R12-weka.filters.unsupervised.attribute.Remove-R7

@attribute ev(g) numeric
@attribute iv(G) numeric
@attribute L numeric
@attribute D numeric
@attribute I numeric
@attribute T numeric
@attribute lOComment numeric
@attribute locCodeAndComment numeric
@attribute lOBlank numeric
@attribute uniq_Op numeric
@attribute branchCount numeric
@attribute defects {false,true}

@data
3,2,0.08,12.25,31.98,266.6,14,4,28,14,5,true
1,8,0.04,22.28,52.7,1453.64,73,16,32,22,12,true
21,9,0.02,45.1,97.66,11037.62,23,13,37,23,49,true
1,3,0.05,20,98.09,2179.83,17,0,18,16,11,true
1,23,0.04,22.35,218.7,6070.69,49,1,39,20,51,true
4,7,0.04,26.43,40.9,1587.13,0,2,13,25,16,true
1,1,0.08,12.5,17.5,151.89,3,1,2,15,5,true
1,1,0.26,3.91,59.59,50.52,7,2,8,5,1,true
3,4,0.02,59.93,118.33,23607.11,42,0,36,28,13,true
1,5,0.07,13.73,34.79,364.4,0,0,7,21,8,true
8,7,0.03,36.58,64.48,4792.82,18,10,80,26,23,true
1,4,0.05,19.66,96.31,2068.3,0,12,11,16,13,true
1,1,0.33,3,11.07,5.54,0,0,1,6,1,true
9,18,0.02,51.91,87.72,13132.05,50,0,56,32,36,true
1,1,0.15,6.5,21.43,50.31,1,0,7,13,1,true
4,12,0.03,38.18,70.21,5686.6,27,0,31,28,24,true
1,1,0.15,6.5,21.43,50.31,1,0,7,13,1,true
4,4,0.07,14.1,42.78,472.49,1,3,9,18,13,true
6,13,0.02,61.92,95.98,20441.11,55,0,55,33,40,true
9,7,0.03,32,88.87,5055.99,6,6,5,24,33,true
20,5,0.03,39.86,92.23,8140.23,39,0,32,28,57,true
4,3,0.05,20.26,32.1,731.9,8,2,9,25,9,true
5,5,0.05,20.61,44.67,1054.48,9,0,7,18,9,true
1,3,0.02,46.39,140.08,16746.63,20,0,27,31,17,true
1,1,0.07,13.54,40.63,413.69,9,1,12,16,1,true
1,1,0.5,2,17.43,3.87,0,0,0,4,1,true
3,2,0.07,14.73,31.08,374.47,5,1,7,18,7,true
5,5,0.05,18.6,43.84,842.58,7,0,5,18,9,true
1,1,0.5,2,17.43,3.87,0,0,0,4,1,true
1,3,0.13,7.7,32.35,106.57,0,0,9,11,5,true
1,1,0.5,2,17.43,3.87,0,0,0,4,1,true
1,1,0.5,2,17.43,3.87,0,0,0,4,1,true
1,4,0.08,11.79,46.5,358.84,0,0,12,15,7,true
1,1,0.5,2,17.43,3.87,0,0,0,4,1,true
1,1,0.5,2,17.43,3.87,0,0,0,4,1,true
7,7,0.07,13.35,81.27,804.58,1,0,16,14,17,true
1,2,0.09,10.88,32.54,213.83,7,2,4,15,7,true
1,2,0.08,12.16,39.65,325.74,4,3,3,16,9,true
1,1,0.22,4.5,15.23,17.13,0,0,2,9,1,true
1,1,0.06,16,36.57,520.13,6,5,7,12,7,true
1,1,0.08,12.28,31.88,266.96,6,2,8,13,7,true
1,1,0.5,2,17.43,3.87,0,0,0,4,1,true
1,4,0.05,21.45,23.63,604.03,4,0,20,22,12,true
1,1,0.5,2,17.43,3.87,0,0,0,4,1,true
1,1,0.27,3.67,26.64,19.9,2,2,6,6,1,false
1,3,0.08,12.92,30.85,285.97,2,0,21,15,8,false
1,1,0.22,4.5,7.33,8.25,3,2,2,6,3,false
5,17,0.03,33.04,97.32,5903.6,35,1,43,31,39,false
1,2,0.07,14.55,29.59,347.74,0,0,1,16,13,false
1,1,0,0,0,0,0,0,0,1,1,false
1,3,0.08,12.75,14.24,128.58,0,0,2,12,7,false
1,1,0,0,0,0,0,0,0,1,1,false
1,1,0.02,44.27,46.96,5113.08,1,7,2,34,29,false
1,1,0,0,0,0,0,0,0,2,1,false
1,1,0,0,0,0,0,0,0,2,1,false
1,1,0,0,0,0,0,0,0,2,1,false
1,1,0,0,0,0,0,0,0,2,1,false
1,1,0,0,0,0,0,0,0,2,1,false
1,1,0,0,0,0,0,0,0,2,1,false
1,1,0,0,0,0,0,0,0,2,1,false
1,1,0,0,0,0,0,0,0,2,1,false
1,1,0.24,4.14,31.25,29.71,9,0,5,7,1,false
1,1,0.24,4.2,28.57,28,2,0,2,6,3,false
1,1,0.17,5.91,26.02,50.47,15,0,11,10,1,false
1,1,0.24,4.14,31.25,29.71,9,0,5,7,1,false
1,1,0.24,4.2,28.57,28,2,0,2,6,3,false
1,1,0.13,7.43,46.18,141.56,19,0,18,12,1,false
1,1,0.11,9.33,28.36,137.25,2,0,7,10,5,false
1,5,0.09,11.67,27.48,207.81,5,2,14,14,9,false
1,1,0,0,0,0,0,0,0,2,1,false
1,1,0,0,0,0,0,0,0,2,1,false
1,2,0.13,7.78,37.7,126.71,8,0,9,10,3,false
1,1,0.4,2.5,13.95,4.84,2,0,1,5,1,false
1,1,0.4,2.5,13.95,4.84,3,0,3,5,1,false
1,1,0.14,7,21.71,59.11,6,1,5,8,1,false
1,1,0,0,0,0,0,0,0,2,1,false
1,2,0.15,6.67,11.42,28.2,0,0,0,8,3,false
1,1,0,0,0,0,0,0,0,1,1,false
1,1,0.56,1.8,25,4.5,0,0,1,3,1,false
1,2,0.11,9.21,25.22,118.78,0,0,5,13,3,false
1,3,0.05,21.67,14.61,381.12,0,0,1,13,11,false
5,7,0.06,15.94,55.33,781.29,9,1,23,18,13,false
7,7,0.05,21.36,47.89,1213.43,11,6,30,26,18,false
1,1,0,0,0,0,0,0,0,2,1,false
5,7,0.04,23.21,41.98,1256.97,2,4,16,25,15,false
1,1,0.5,2,14.04,3.12,0,0,5,4,3,false
5,8,0.04,25.15,56.74,1993.3,17,9,18,27,25,false
1,2,0.08,12.67,37.81,337.06,3,1,16,16,3,false
1,3,0.16,6.18,36.95,78.32,15,0,7,10,5,false
1,1,0.09,10.83,13.12,85.54,0,0,2,15,5,false
1,1,0.14,7.09,23.6,65.93,19,0,11,12,1,false
1,3,0.16,6.18,36.95,78.32,15,0,7,10,5,false
1,1,0.09,10.83,13.12,85.54,0,0,2,15,5,false
1,1,0.16,6.11,21.55,44.71,15,0,15,10,1,false
1,1,0,0,0,0,0,0,0,2,1,false
1,1,0,0,0,0,0,0,0,2,1,false
1,9,0.04,22.33,59.57,1649.83,19,0,25,27,13,false
5,5,0.08,12,51.55,412.43,6,8,14,16,17,false
1,1,0,0,0,0,0,0,0,2,1,false
1,1,0.17,6,15.63,31.26,0,0,1,9,1,false
1,1,0.3,3.33,12.6,7.78,4,1,4,5,1,false
1,2,0.21,4.73,31.45,39.05,4,0,7,8,3,false
1,1,0.29,3.5,15.36,10.46,0,0,0,6,1,false
1,6,0.07,14.58,58.73,693.95,0,0,3,15,19,false
1,1,0.5,2,17.43,3.87,0,0,1,4,1,false
1,2,0.15,6.5,18.6,43.67,0,0,0,9,3,false
1,2,0.1,9.92,19.43,106.17,0,0,0,14,3,false
1,1,0,0,0,0,0,0,0,2,1,false
1,1,0,0,0,0,0,0,0,2,1,false
1,1,0,0,0,0,0,0,0,2,1,false
9,11,0.05,21.88,68.42,1818.77,10,0,28,21,27,false
1,1,0,0,0,0,0,0,0,2,1,false
1,1,0,0,0,0,0,0,0,2,1,false
1,1,0,0,0,0,0,0,0,2,1,false
1,1,0,0,0,0,0,0,0,2,1,false
1,1,0,0,0,0,0,0,0,2,1,false
1,1,0.24,4.2,27.25,26.7,9,0,6,7,1,false
1,5,0.05,19,20.42,409.52,5,0,7,11,6,false
1,1,0.16,6.11,21.55,44.71,16,0,10,10,1,false
1,1,0.24,4.2,27.25,26.7,9,0,6,7,1,false
1,1,0.29,3.5,11.86,8.07,0,0,1,7,1,false
1,1,0.14,7.09,23.6,65.93,19,0,11,12,1,false
5,7,0.06,15.62,54.02,732,5,1,22,18,13,false
5,4,0.1,9.92,44.98,245.75,5,1,13,14,11,false
1,1,0,0,0,0,0,0,0,2,1,false
1,1,0,0,0,0,0,0,0,2,1,false
1,1,0,0,0,0,0,0,0,2,1,false
5,6,0.03,33.53,50.49,3153.14,10,0,31,30,16,false
1,2,0.12,8.64,27.97,115.91,9,5,7,10,5,false
1,1,0,0,0,0,0,0,0,2,1,false
1,3,0.08,12,17.84,142.7,0,0,0,11,5,false
15,60,0.02,60.04,133.5,26735.64,0,3,8,36,143,false
70,71,0.03,33.23,89.69,5501.1,0,0,2,17,143,false
9,1,0.03,31.95,15.66,888.52,4,1,4,19,27,false
6,6,0.04,26.96,28.38,1145.81,0,0,1,20,15,false
1,3,0.06,16.4,72.17,1077.82,15,0,15,15,11,false
1,1,0,0,0,0,0,0,0,2,1,false
1,1,0.5,2,9.83,2.18,0,0,1,4,1,false
1,1,0.24,4.2,27.25,26.7,9,0,6,7,1,false
1,1,0.18,5.71,17.09,31.01,9,0,5,8,1,false
1,1,0.12,8.08,30.24,109.61,12,0,11,10,1,false
1,1,0.24,4.2,27.25,26.7,9,0,6,7,1,false
1,1,0.18,5.71,17.09,31.01,9,0,5,8,1,false
1,1,0.16,6.11,21.55,44.71,16,0,10,10,1,false
1,1,0,0,0,0,0,0,0,2,1,false
1,1,0,0,0,0,0,0,0,2,1,false
1,1,0.16,6.43,18.44,42.33,0,0,1,10,1,false
1,1,0.67,1.5,5.33,0.67,0,0,0,3,1,false
1,3,0.08,13.2,37.53,363.31,2,0,7,11,5,false
1,2,0.07,15,18.15,226.9,0,0,2,10,3,false
1,1,0.67,1.5,7.74,0.97,0,0,0,3,1,false
1,1,0.5,2,5.8,1.29,0,0,0,4,1,false
1,8,0.04,22.41,31.82,887.67,0,0,2,22,15,false
3,3,0.05,18.86,27.19,537.1,3,0,9,18,9,false
3,2,0.06,16.76,113.81,1775.43,26,2,48,17,5,false
13,27,0.01,72.75,109.99,32344.76,159,35,17,47,51,false
1,2,0.15,6.87,26.32,69.11,14,0,7,11,3,false
1,1,0.17,5.73,28.4,51.74,9,0,7,7,1,false
1,1,0.1,10.21,27.93,161.89,18,0,11,13,1,false
1,2,0.15,6.87,26.32,69.11,14,0,7,11,3,false
1,1,0.17,5.73,28.4,51.74,9,0,7,7,1,false
1,1,0.12,8.18,25.77,95.83,12,0,14,10,1,false
1,3,0.09,10.84,67.09,437.84,0,0,3,12,5,false
1,2,0.07,14.63,65.33,776.26,0,2,10,12,3,false
1,1,0.4,2.5,13.95,4.84,2,0,1,5,1,false
1,1,0.33,3,13.29,6.64,3,2,1,6,1,false
1,5,0.04,25.45,66.95,2408.85,6,3,16,24,11,false
1,2,0.5,2,5.8,1.29,0,0,1,4,3,false
1,1,0.5,2,5.8,1.29,0,0,0,4,1,false
1,3,0.09,10.91,20.13,133.1,1,0,2,10,5,false
1,2,0.06,16.47,60.96,918.35,8,0,10,13,3,false
1,1,0.21,4.67,8.54,10.33,0,0,2,7,1,false
1,2,0.1,10.5,19.11,117.06,0,1,2,11,5,false
7,10,0.02,58.5,44.12,8388.52,19,8,42,26,24,false
1,5,0.09,10.67,43.17,273.2,18,0,14,15,9,false
1,1,0.25,3.94,49.83,42.92,15,1,11,6,1,false
1,1,0.11,9.17,26.65,124.4,15,0,12,11,1,false
1,5,0.09,10.67,43.17,273.2,18,0,14,15,9,false
1,1,0.24,4.2,46.01,45.09,15,1,13,6,1,false
1,1,0.1,10.21,27.93,161.89,18,0,11,13,1,false
9,4,0.05,19.57,31.49,669.69,5,0,11,18,17,false
3,3,0.06,16.37,34.03,507.27,1,1,3,16,5,false
5,5,0.07,13.68,50.36,523.37,0,1,11,16,13,false
5,2,0.04,24,36.38,1164.27,6,0,9,18,11,false
1,1,0.27,3.67,26.64,19.9,2,2,1,6,1,false
1,1,0.15,6.67,17.2,42.48,0,0,0,10,3,false
3,9,0.05,20.63,50.81,1200.76,0,0,1,22,19,false
1,5,0.03,28.6,47.52,2159.45,2,2,4,26,20,false
4,2,0.04,26.13,15.74,596.81,1,1,4,19,15,false
1,1,0.33,3,21.04,10.52,0,0,0,4,1,false
1,6,0.1,10,48.43,269.03,5,0,13,11,17,false
1,5,0.04,24.91,41.03,1414.57,7,1,23,22,11,false
1,4,0.11,8.89,40.56,178.05,5,3,3,10,11,false
1,3,0.07,14.66,50.26,599.82,0,9,1,19,13,false
1,1,0.06,16.62,38.3,587.35,16,3,17,16,3,false
1,1,0.21,4.67,30.56,36.98,12,0,8,8,1,false
1,1,0.27,3.75,11.52,9,1,1,2,6,1,false
1,1,0.14,6.92,27.5,73.23,18,0,11,12,1,false
1,1,0.21,4.67,30.56,36.98,12,0,8,8,1,false
1,1,0.27,3.75,11.52,9,1,1,2,6,1,false
1,1,0.11,9.17,26.65,124.4,15,0,12,11,1,false
1,2,0.06,15.45,58.18,772.02,13,0,12,15,5,false
1,3,0.08,12.29,45.16,378.73,1,0,4,12,5,false
1,1,0.14,7,21.14,57.56,2,1,3,8,1,false
1,2,0.16,6.38,27.56,62.22,3,0,1,9,3,false
1,3,0.09,11.15,25.55,176.59,0,0,0,10,7,false
1,1,0.22,4.46,48.53,53.73,0,0,0,5,1,false
4,2,0.04,26.13,15.74,596.81,1,1,4,19,15,false
3,3,0.08,12.83,19.41,177.62,0,0,1,14,5,false
4,6,0.06,16.8,34.52,541.31,0,2,9,21,12,false
1,1,0.08,12.86,38.84,356.71,10,0,22,12,1,false
1,2,0.05,20,15.86,352.54,4,2,6,16,9,false
1,2,0.11,8.79,75.95,325.85,9,1,14,10,5,false
5,3,0.09,11.31,43.77,310.92,1,7,2,14,11,false
1,2,0.04,24.81,17.63,602.92,1,3,5,15,9,false
1,1,0.24,4.2,27.25,26.7,9,0,6,7,1,false
1,1,0.19,5.25,10.76,16.47,0,2,2,6,1,false
1,1,0.16,6.11,21.55,44.71,13,0,9,10,1,false
1,1,0.24,4.2,27.25,26.7,9,0,6,7,1,false
1,1,0.19,5.25,10.76,16.47,0,2,2,6,1,false
1,1,0.16,6.25,19.35,41.99,12,0,12,10,1,false
1,7,0.1,9.8,50.85,271.56,4,0,13,11,17,false
1,3,0.06,16.96,37.91,605.76,8,0,19,16,13,false
4,2,0.02,40.3,41.25,3721.5,35,2,19,26,15,false
1,2,0.33,3,19.12,9.56,0,0,2,6,3,false
1,2,0.19,5.25,8.57,13.12,0,0,0,7,3,false
1,1,0.17,5.83,7.4,14,1,0,0,7,1,false
1,2,0.15,6.5,38.09,89.41,0,0,1,8,3,false
1,1,0.04,23.4,8.55,260.2,0,0,1,13,7,false
4,7,0.03,30.08,14.99,753.47,0,0,2,19,13,false
1,4,0.22,4.5,23.69,26.65,5,3,6,6,7,false
3,2,0.07,13.59,26.25,269.28,6,4,10,14,9,false
1,1,0.32,3.12,12.17,6.6,1,0,2,5,1,false
1,1,0.32,3.12,12.17,6.6,1,0,2,5,1,false
1,1,0.14,6.92,27.5,73.23,18,0,11,12,1,false
4,5,0.06,15.65,32.24,438.82,0,2,8,20,11,false
3,1,0.13,7.78,19.66,66.08,4,0,3,10,5,false
1,1,0.33,3,15.5,7.75,0,2,0,5,1,false
4,2,0.03,37.19,42.11,3234.93,38,2,19,25,15,false
1,2,0.09,11.09,25.67,175.32,0,1,0,13,5,false
6,4,0.04,27.71,28.4,1211.17,0,0,2,19,17,false
1,1,0.33,3,13.29,6.64,0,0,0,6,3,false
9,4,0.04,22.38,68.52,1906.47,8,0,42,25,27,false
1,6,0.06,16.92,143.69,2286.26,16,10,10,16,41,false
9,7,0.06,15.9,88.97,1249.28,15,0,18,17,19,false
1,1,0.05,19.74,135.85,2939.92,5,7,10,15,4,false
3,4,0.06,17.42,45.07,759.53,8,4,21,22,14,false
1,1,0.23,4.38,11.59,12.33,0,2,2,5,1,false
1,1,0.23,4.38,11.59,12.33,0,2,2,5,1,false
1,1,0.16,6.11,21.55,44.71,13,0,9,10,1,false
1,1,0.08,12.28,15.98,133.84,5,0,7,13,1,false
8,27,0.02,42.84,63.2,6442.72,6,1,30,46,36,false
1,4,0.06,16.14,37.27,540.32,1,0,9,20,5,false
3,2,0.02,43.21,15.29,1585.95,0,0,0,17,15,false
1,5,0.08,13,45.44,426.64,0,0,1,13,9,false
1,2,0.09,11.39,25.27,182.23,0,0,2,11,3,false
1,1,0.25,4,9.51,8.45,0,0,0,6,3,false
1,1,0,0,0,0,0,0,0,1,1,false
4,2,0.13,7.7,19.97,65.76,0,0,3,11,7,false
9,5,0.08,12.68,39,348.11,3,0,11,13,17,false
5,3,0.09,10.78,28.03,181.01,3,0,0,15,9,false
1,1,0.06,15.4,93.12,1226.87,21,0,48,14,5,false
1,1,0.06,17.85,85.96,1520.93,21,1,48,16,5,false
1,4,0.15,6.87,164.89,432.99,50,2,27,11,11,false
1,1,0.24,4.08,14.5,13.43,0,0,1,7,1,false
1,1,0.25,4,13.47,11.98,0,0,1,6,3,false
1,2,0.22,4.5,21.33,24,3,1,4,8,3,false
4,2,0.05,18.95,53.64,1069.78,13,2,8,18,11,false
1,1,0.25,4,8.72,7.75,0,0,0,6,1,false
1,6,0.05,18.48,41.3,783.84,0,0,1,16,13,false
1,2,0.16,6.4,22.15,50.41,0,0,1,8,3,false
1,1,0.25,4,9.51,8.45,0,0,0,6,3,false
22,17,0.02,46.25,50.98,6059.65,7,0,8,32,52,false
1,5,0.03,31.25,48.28,2619.45,3,0,17,25,17,false
1,3,0.03,38.68,35.84,2978.5,16,2,14,22,11,false
1,1,0.21,4.69,62.78,76.64,1,0,2,5,1,false
1,1,0.17,6,11.42,22.84,1,0,2,8,3,false
5,3,0.09,11.53,30.08,222.13,4,0,0,14,9,false
1,5,0.06,17.35,34.89,583.68,10,0,6,17,6,false
1,5,0.06,17.35,34.89,583.68,10,0,6,17,6,false
1,1,0.11,8.73,20.73,87.73,7,0,5,12,5,false
1,1,0.5,2,46.26,10.28,0,0,2,4,1,false
3,6,0.04,27.98,34.18,1487.1,25,2,23,23,13,false
1,1,0.25,4,20.76,18.46,0,0,1,4,1,false
1,1,0.08,13,32.46,304.77,1,0,2,12,1,false
1,7,0.04,24.62,35.76,1204.28,7,0,14,21,9,false
3,4,0.07,15,16.41,205.1,5,0,9,15,9,false
6,3,0.06,16.25,20,293.47,0,0,1,13,13,false
1,1,0.25,4,9.51,8.45,0,0,0,6,3,false
1,8,0.04,27.02,40.52,1643.12,5,0,4,19,29,false
3,7,0.04,24.23,64.45,2102.67,5,0,18,24,15,false
1,2,0.12,8.31,32.81,125.73,1,2,3,13,7,false
4,4,0.06,15.5,27.09,361.52,0,2,7,19,10,false
1,1,0.27,3.65,45.65,33.86,3,2,2,5,1,false
1,1,0.23,4.31,50.67,52.35,15,2,9,6,1,false
1,5,0.07,13.43,27.2,272.67,7,0,10,13,9,false
5,3,0.05,19.55,44.17,937.95,12,15,15,21,21,false
1,1,0.31,3.2,16.84,9.58,0,0,0,4,1,false
1,1,0.32,3.12,11.16,6.05,0,0,0,5,1,false
1,1,0.05,21.67,5.29,138.08,0,0,2,10,1,false
1,1,0.25,4,9.51,8.45,0,0,0,6,3,false
4,7,0.04,23.8,19.75,621.44,0,3,2,17,15,false
3,8,0.04,26.36,69.56,2684.56,7,0,19,24,17,false
1,2,0.04,25.98,34.97,1311.58,7,1,21,23,10,false
1,1,0.28,3.6,14.41,10.38,0,0,3,6,1,false
1,1,0.29,3.5,9.06,6.16,0,0,0,7,1,false
1,1,0.16,6.25,18.01,39.09,0,0,2,10,3,false
1,5,0.03,33.54,44.52,2781.61,3,0,16,25,17,false
1,4,0.18,5.5,19.64,33,1,0,4,8,7,false
1,2,0.25,4,23.5,20.89,3,0,2,8,3,false
1,1,0.21,4.67,8.54,10.33,0,0,0,7,1,false
6,7,0.02,43.99,106.19,11414.13,37,2,31,19,37,false
1,2,0.18,5.71,13.67,24.81,0,0,1,8,3,false
3,3,0.1,9.9,35.44,193.16,2,0,2,13,7,false
1,1,0.33,3,13.29,6.64,0,0,0,6,3,false
1,3,0.17,6,22.33,44.66,0,0,1,10,5,false
6,10,0.02,45,83.64,9409.14,9,0,25,30,27,false
1,1,0.5,2,62,13.78,0,0,1,4,1,false
1,2,0.09,10.58,22.11,137.4,3,2,6,11,5,false
1,1,0.21,4.67,8.54,10.33,0,0,2,7,1,false
3,1,0.12,8.25,16.48,62.3,4,0,4,11,5,false
3,8,0.03,31.21,67.22,3638.3,5,0,19,28,21,false
1,1,0.25,4,17.92,15.93,2,0,2,6,1,false
1,3,0.09,11,15.83,106.43,1,1,5,11,5,false
1,1,0.05,19.73,66.5,1438.36,29,11,24,19,7,false
1,1,0.4,2.5,8.98,3.12,0,0,0,5,1,false
1,3,0.06,16,19.82,281.84,0,0,1,16,5,false
3,3,0.2,5.06,19.38,27.59,1,0,1,9,5,false
1,2,0.1,10,11.6,64.44,0,0,2,10,3,false
3,4,0.04,24.44,21.9,726.94,0,0,6,20,9,false
17,11,0.02,44.73,95.85,10653.28,7,12,101,34,46,false
1,2,0.14,7.08,23.29,64.93,2,0,4,10,3,false
1,1,0.5,2,9.83,2.18,0,1,1,4,1,false
1,1,0.06,17.4,87.22,1467.05,27,0,12,15,5,false
1,1,0.29,3.5,9.06,6.16,0,0,0,7,1,false
3,10,0.04,25.56,81.98,2974.33,8,0,19,23,19,false
1,2,0.07,13.93,38.89,419.2,0,0,4,20,11,false
1,2,0.14,6.9,39.87,105.45,7,2,5,9,3,false
1,1,0.11,9.05,46,209.18,2,0,8,10,1,false
1,17,0.01,87.53,83.06,35352.71,24,42,62,29,71,false
1,8,0.04,24.9,39.25,1352.03,3,0,5,18,15,false
8,8,0.05,18.35,23.36,437.18,1,0,1,16,15,false
1,1,0.14,7.13,26.51,74.76,0,0,1,9,3,false
17,15,0.02,53.33,59.99,9479.87,0,2,12,40,55,false
1,19,0.04,25.62,52.55,1916.8,0,0,24,31,22,false
1,3,0.1,9.95,32.45,178.41,1,0,3,14,4,false
1,1,0.67,1.5,40.15,5.02,0,0,1,3,1,false
3,6,0.03,31.11,55.79,2999.82,7,0,18,28,11,false
1,1,0.07,15.11,120.16,1523.81,8,2,13,15,5,false
1,1,0.06,17.4,87.22,1467.05,27,0,11,15,5,false
1,10,0.03,39.72,43.51,3813.38,3,2,16,28,19,false
1,1,0.21,4.67,8.54,10.33,0,0,2,7,1,false
3,9,0.04,27.5,79.08,3322.57,7,0,20,25,19,false
1,2,0.13,7.86,10.92,37.47,0,0,4,10,3,false
7,8,0.04,26.83,90.99,3639.89,34,1,26,22,25,false
1,6,0.05,20.71,43.19,1028.77,12,2,12,22,12,false
1,1,0.04,23.87,148.42,4699.28,2,0,19,21,9,false
1,17,0.01,89.75,79.48,35567.99,24,42,56,29,71,false
5,3,0.04,24,24.27,776.69,0,0,1,19,9,false
1,3,0.1,10.5,19.11,117.06,1,0,1,11,5,false
1,1,0.1,9.75,11.62,61.37,0,0,1,9,5,false
1,1,0.26,3.82,34.26,27.75,0,0,3,6,1,false
1,2,0.04,28.31,75.92,3381,12,0,14,21,3,false
1,6,0.12,8.26,169.61,643.02,10,5,5,12,11,false
7,3,0.05,22,19.37,520.73,2,0,8,11,13,false
5,7,0.06,15.87,43.76,612.03,7,0,8,17,13,false
1,1,0.06,17.4,87.22,1467.05,27,0,12,15,5,false
1,2,0.11,9.43,10.81,53.4,0,0,2,12,3,false
1,1,0.18,5.71,17.09,31.01,0,0,2,8,1,false
1,4,0.07,13.54,41.14,418.79,12,1,6,17,7,false
5,6,0.02,40.15,88.12,7889.94,34,0,24,19,29,false
1,1,0.67,1.5,13.79,1.72,0,0,5,3,1,false
5,8,0.05,18.7,41.04,797.52,0,2,2,21,13,false
1,2,0.07,14.57,10.79,127.24,1,0,1,12,5,false
1,1,0.33,3,13,6.5,0,0,0,4,1,false
1,2,0.11,8.89,15.29,67.13,0,0,0,10,5,false
1,1,0.11,9.16,35.16,163.84,2,0,5,12,1,false
5,4,0.03,32.08,20.59,1177.59,19,3,14,21,13,false
5,1,0.03,29.7,27.54,1349.5,20,1,16,11,27,false
5,7,0.03,32.88,69.97,4202.39,19,0,22,28,19,false
1,1,0.1,10.38,30.06,180.09,0,0,6,9,1,false
1,4,0.04,26.51,111.14,4338.85,13,0,48,14,15,false
1,1,0.06,17.4,87.22,1467.05,27,0,11,15,5,false
1,22,0.03,28.96,54.19,2525.64,0,0,27,34,25,false
1,2,0.13,7.5,26.92,84.13,1,1,4,12,3,false
1,1,0.5,2,10.34,2.3,0,0,1,4,1,false
1,3,0.05,22.17,47.47,1295.77,27,1,11,19,11,false
1,2,0.2,5,15.23,21.15,2,0,1,7,3,false
1,2,0.1,10.4,14.35,86.25,0,0,1,13,3,false
