@relation 'data/M_multi_metrics_EQ.csv-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.PrincipalComponents -R 0.95 -A 5-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N -1'

@attribute -0.176WCHU_rfc-0.176WCHU_numberOfLinesOfCode-0.174WCHU_wmc-0.172LDHH_wmc-0.172LDHH_numberOfLinesOfCode... numeric
@attribute 0.352WCHU_numberOfAttributesInherited+0.299WCHU_numberOfMethodsInherited+0.281LDHH_numberOfMethodsInherited+0.267LDHH_dit+0.261WCHU_dit... numeric
@attribute '0.325ck_oo_fanIn+0.305WCHU_fanIn+0.3  LDHH_fanIn+0.24 ck_oo_noc+0.226WCHU_noc...' numeric
@attribute -0.27WCHU_noc-0.266WCHU_numberOfPublicAttributes-0.255ck_oo_fanIn-0.251ck_oo_numberOfAttributes-0.251LDHH_numberOfPublicAttributes... numeric
@attribute 0.293ck_oo_numberOfAttributesInherited+0.277ck_oo_numberOfPublicMethods+0.262ck_oo_numberOfPrivateAttributes+0.228ck_oo_numberOfMethods+0.211LDHH_numberOfAttributesInherited... numeric
@attribute -0.299LDHH_noc-0.285WCHU_noc-0.277ck_oo_numberOfAttributesInherited-0.261ck_oo_noc-0.241WCHU_numberOfAttributesInherited... numeric
@attribute '-0.374LDHH_noc-0.31ck_oo_noc-0.306WCHU_noc+0.25 WCHU_fanIn-0.234ck_oo_numberOfPrivateAttributes...' numeric
@attribute -0.338WCHU_dit-0.328LDHH_dit-0.327LDHH_numberOfAttributesInherited+0.277LDHH_numberOfPrivateAttributes+0.251LDHH_numberOfAttributes... numeric
@attribute -0.368LDHH_dit-0.36LDHH_numberOfPrivateAttributes+0.288ck_oo_numberOfPublicAttributes+0.281WCHU_numberOfPublicAttributes-0.256WCHU_dit... numeric
@attribute -0.42ck_oo_numberOfAttributesInherited-0.3LDHH_numberOfPublicMethods-0.259LDHH_numberOfAttributesInherited+0.236WCHU_numberOfMethodsInherited+0.222LDHH_numberOfMethodsInherited... numeric
@attribute 0.428ck_oo_dit+0.273LDHH_numberOfPublicAttributes-0.257ck_oo_numberOfPrivateAttributes+0.246ck_oo_fanOut+0.233CvsExpEntropy... numeric
@attribute '-0.341numberOfCriticalBugsFoundUntil:-0.292numberOfMajorBugsFoundUntil:+0.279LDHH_numberOfPrivateAttributes+0.24 LDHH_numberOfAttributes-0.218ck_oo_numberOfPublicAttributes...' numeric
@attribute '0.41 CvsExpEntropy-0.353numberOfHighPriorityBugsFoundUntil:+0.277CvsLinEntropy-0.264WCHU_numberOfAttributes-0.252ck_oo_numberOfAttributesInherited...' numeric
@attribute -0.486numberOfCriticalBugsFoundUntil:-0.397ck_oo_dit-0.308numberOfMajorBugsFoundUntil:-0.189ck_oo_numberOfPublicAttributes+0.183numberOfHighPriorityBugsFoundUntil:... numeric
@attribute '0.429numberOfHighPriorityBugsFoundUntil:+0.356ck_oo_numberOfPublicAttributes+0.33 LDHH_numberOfAttributesInherited+0.284ck_oo_dit-0.262numberOfCriticalBugsFoundUntil:...' numeric
@attribute 0.367LDHH_fanOut-0.315LDHH_numberOfPublicAttributes+0.297LDHH_noc-0.295LDHH_numberOfAttributesInherited+0.249LDHH_cbo... numeric
@attribute 0.374LDHH_numberOfAttributesInherited+0.283LDHH_numberOfPublicAttributes+0.271LDHH_fanOut+0.263numberOfCriticalBugsFoundUntil:-0.26ck_oo_dit... numeric
@attribute 0.417LDHH_noc-0.338LDHH_numberOfPrivateAttributes-0.256ck_oo_numberOfPublicMethods-0.25ck_oo_noc-0.249ck_oo_numberOfPublicAttributes... numeric
@attribute '0.498LDHH_noc-0.364ck_oo_noc+0.348ck_oo_numberOfPublicMethods+0.26 LDHH_numberOfPrivateAttributes-0.25LDHH_numberOfPublicMethods...' numeric
@attribute 0.335LDHH_numberOfAttributesInherited+0.307WCHU_numberOfPublicMethods-0.266CvsExpEntropy+0.257CvsWEntropy-0.25numberOfHighPriorityBugsFoundUntil:... numeric
@attribute '0.27 WCHU_noc+0.268ck_oo_numberOfAttributesInherited-0.263WCHU_numberOfAttributesInherited-0.256ck_oo_numberOfMethodsInherited-0.243ck_oo_noc...' numeric
@attribute '-0.568WCHU_numberOfAttributesInherited+0.29 WCHU_numberOfPrivateAttributes+0.256LDHH_numberOfAttributesInherited-0.205ck_oo_numberOfPrivateMethods+0.186ck_oo_numberOfPrivateAttributes...' numeric
@attribute class {buggy,clean}

@data
-7.708,1.446606,1.690191,2.92156,-1.399021,-1.105289,1.854754,-1.421575,1.036666,-0.872895,-0.448442,-0.245875,1.637327,2.923103,1.204417,0.711097,-1.167238,0.920979,0.549812,1.268953,0.481986,-1.02736,buggy
3.484727,-0.873255,-0.778073,0.22934,-0.672094,0.092006,0.207601,-0.142059,-0.004014,-0.305529,-0.238269,-0.079224,-0.115709,-0.16546,0.052024,-0.085936,0.043963,0.173849,-0.110667,0.0892,-0.175467,-0.158435,clean
1.702715,-0.85198,-0.457469,-0.141535,1.097116,0.248136,-0.589546,0.231872,0.36681,0.422566,-0.528523,-0.058689,0.562878,0.460085,-0.312411,0.141722,0.194769,0.318376,-0.060344,-0.653788,0.192178,0.064748,clean
-0.546395,-1.293919,-0.301679,-0.439511,-0.100421,0.203542,0.70591,-0.013928,-0.067364,-0.396891,1.26015,-1.037321,0.136385,-0.328943,-0.32143,0.785695,0.994661,0.085336,-0.203098,0.272808,-0.294527,0.405445,clean
0.277612,1.946676,1.158876,2.085813,0.086881,-0.162707,-0.759977,0.52364,-0.244688,1.059426,1.260455,1.280979,-0.666133,-1.339042,1.371384,-0.963329,-1.476529,0.842303,-0.3436,0.267214,0.080293,0.320995,buggy
3.484727,-0.873255,-0.778073,0.22934,-0.672094,0.092006,0.207601,-0.142059,-0.004014,-0.305529,-0.238269,-0.079224,-0.115709,-0.16546,0.052024,-0.085936,0.043963,0.173849,-0.110667,0.0892,-0.175467,-0.158435,clean
2.591739,-0.68428,-0.525366,0.364503,0.474837,0.340883,-0.512334,0.145561,0.493548,0.105756,-0.597949,-0.044804,-0.136439,0.217718,-0.166906,-0.062454,0.14643,-0.078717,0.189996,-0.313538,0.08616,0.074999,clean
2.155237,1.298554,0.433153,1.953549,-0.138469,-0.840542,-0.259178,1.371998,1.039775,1.602971,-1.005168,0.586214,0.122644,0.862685,-0.896787,0.124204,0.639472,-0.376096,0.547453,-0.35954,0.491933,0.340479,clean
2.964726,-1.005073,-0.705847,0.364913,-0.394883,-0.078438,0.373818,-0.029142,0.137913,-0.28288,0.037275,-0.821162,-0.41269,-1.076966,-0.41514,-0.207608,0.623375,-0.203344,-0.128405,0.28594,-0.108247,-0.142937,clean
3.430624,-0.875734,-0.663498,0.178343,-0.575637,0.157254,0.201726,-0.152627,0.007037,-0.291321,-0.235947,-0.081145,-0.160237,-0.160617,0.061224,-0.127878,0.022391,0.138354,-0.032718,0.030538,-0.219956,-0.162493,clean
1.533417,-1.17931,-0.51461,-0.274203,1.046318,-0.090257,-0.140401,-0.022362,-0.264979,-0.202996,0.974487,-0.621907,1.184548,0.937763,-0.202482,-0.106691,-0.008685,0.07149,0.000497,-0.845573,-0.228828,-0.148124,buggy
-13.478289,0.256684,1.016501,3.212895,5.208337,4.614923,-5.539608,-3.690578,1.721166,0.098994,2.429077,-0.125813,-2.260338,1.773754,-0.364938,-1.255479,-3.071917,-0.381261,1.609876,1.756063,1.764762,-1.802189,buggy
3.351228,-0.865879,-0.67588,0.270643,-0.436347,0.151414,0.119573,-0.159653,0.065548,-0.296966,-0.133123,-0.059824,-0.202034,-0.114467,0.071536,-0.10881,0.054185,0.012308,-0.013032,0.036792,-0.223996,-0.139153,clean
3.430624,-0.875734,-0.663498,0.178343,-0.575637,0.157254,0.201726,-0.152627,0.007037,-0.291321,-0.235947,-0.081145,-0.160237,-0.160617,0.061224,-0.127878,0.022391,0.138354,-0.032718,0.030538,-0.219956,-0.162493,clean
-3.32555,-0.790042,1.86091,-2.209329,1.317263,2.486461,-0.155914,0.926456,-1.443808,-0.631717,-0.552694,1.570314,-0.554807,-0.15551,0.426669,0.659235,-0.352009,-0.019268,0.762526,0.079935,-0.947418,0.176658,clean
3.351228,-0.865879,-0.67588,0.270643,-0.436347,0.151414,0.119573,-0.159653,0.065548,-0.296966,-0.133123,-0.059824,-0.202034,-0.114467,0.071536,-0.10881,0.054185,0.012308,-0.013032,0.036792,-0.223996,-0.139153,clean
3.385623,-0.350862,-0.668801,0.396784,-0.337539,0.046955,-0.171232,-0.344536,-0.270754,0.008806,0.637968,0.267638,-0.313942,-0.970215,0.640323,-0.445871,-0.508087,0.578499,-0.457905,0.064086,0.225894,-0.234729,clean
2.58762,0.284115,0.44631,0.179694,-1.031638,-1.260127,-0.725283,0.636457,0.315706,0.528961,-0.596071,0.043247,0.243715,0.521567,-0.761283,-0.48162,-0.156666,-0.552667,-0.894009,0.201661,-0.778817,0.570542,clean
-0.216028,-0.442677,5.341867,-3.412264,-2.361836,-1.829655,-2.186472,-0.511733,0.291822,-0.293478,-0.833969,-0.842041,0.50908,0.550864,-0.011886,-1.686566,-1.517422,-2.211698,-1.899236,0.525103,1.588784,0.406972,buggy
0.157251,-1.071864,-1.020568,0.209534,-0.200872,-0.754164,-0.058578,1.236651,-1.322445,-0.189504,0.626909,-0.7014,1.111631,-0.675253,-0.791293,0.167085,1.082208,-0.554531,0.438085,0.405033,0.238676,-0.148818,buggy
3.351228,-0.865879,-0.67588,0.270643,-0.436347,0.151414,0.119573,-0.159653,0.065548,-0.296966,-0.133123,-0.059824,-0.202034,-0.114467,0.071536,-0.10881,0.054185,0.012308,-0.013032,0.036792,-0.223996,-0.139153,clean
1.066491,0.008075,-0.672447,0.594937,0.80641,-0.665368,-0.452121,0.904436,0.277175,1.278773,-0.483288,0.259173,0.329101,0.413614,-0.760743,0.051336,-0.420946,-0.204283,0.520795,0.273136,-0.144851,0.909054,buggy
1.786159,0.088272,-0.46185,0.730977,0.621061,-0.428877,-0.471693,0.74502,0.309668,0.919917,-0.434926,0.547609,-0.122432,0.241202,-0.433528,0.00774,0.035881,-0.349452,0.30079,-0.022779,-0.377952,0.552483,buggy
-13.881559,-2.980211,-2.980311,1.499047,-2.319468,-1.054618,0.418508,-1.005119,0.258787,-0.166963,-1.440669,0.300171,-0.837521,-0.341234,0.687563,-0.621473,-0.621203,0.240706,-0.243677,-0.397711,0.255629,-0.009541,buggy
-1.855864,-0.917769,6.456445,-4.121146,-1.805798,-1.069066,-2.361346,-0.785305,0.509189,-1.118201,-0.358423,-1.119093,0.177873,0.349174,0.470782,-0.915961,-0.69691,-1.663312,-2.17794,0.016543,-0.954026,-0.14963,buggy
0.214165,-0.332883,0.642003,0.195806,1.251981,0.941199,-0.549058,0.307372,0.979838,0.508513,-0.833909,0.085497,-0.238979,0.200373,0.222937,0.217662,0.069083,-0.108186,0.467869,-0.592523,-0.09714,0.282511,clean
-6.90376,-0.126051,-1.909666,-0.360282,-0.409783,0.14573,0.014644,-0.388873,0.13946,-1.510646,0.097966,2.307517,1.692248,0.482878,-0.22227,0.07855,-1.237378,-1.303767,1.285362,-0.986297,-0.634096,-0.615049,clean
2.91474,-0.902328,-0.258969,0.024891,0.322575,0.459432,-0.123515,-0.166498,0.224446,-0.102622,-0.238823,-0.011272,-0.36509,-0.107055,0.081576,-0.264201,0.013813,-0.115301,0.271504,-0.268322,-0.419119,-0.094762,clean
3.103099,-1.002265,-0.447987,0.023006,-0.077065,0.294024,0.114872,-0.328294,0.067453,-0.177923,-0.030576,0.045907,-0.216052,0.043521,0.105219,-0.095782,0.095051,-0.057005,-0.022603,-0.002149,-0.310572,-0.345693,clean
2.248936,0.746372,0.387936,0.861987,1.812335,-0.209925,-0.878246,-0.400286,-0.097874,1.06153,1.860133,1.274449,-1.059047,-2.046362,1.286107,-0.934019,-0.972719,0.203593,-0.38935,-0.387663,-0.08502,0.083145,buggy
-0.943841,1.30133,2.76087,2.03435,-1.554405,1.494633,0.021708,1.464304,0.616449,-0.93748,-1.632483,0.244054,2.02377,0.313427,0.295496,0.19076,0.676634,0.65279,-0.866874,-1.037387,1.503642,-0.470358,clean
-5.757807,-1.460047,-1.695787,-1.327049,2.076327,1.053308,-2.335766,2.844949,-2.944367,-1.944132,0.372391,1.865231,0.626658,0.340068,-1.025267,-0.383014,-0.21667,-2.008438,2.431183,1.578064,-0.3521,-1.420585,buggy
0.877171,-0.523829,-0.364792,0.445547,0.552879,-0.383492,0.077923,0.22135,0.22979,0.34941,0.574405,-0.580979,0.233591,0.554968,-0.334844,0.053894,-0.026006,-0.324726,0.402809,-0.204375,-0.293426,0.205536,clean
-1.154418,0.090521,-0.488914,0.014345,-0.363299,0.216171,0.179368,0.729649,0.131147,0.074284,0.790174,0.182582,-0.183011,1.578369,-0.162885,0.626638,-0.119053,0.090237,-0.035955,0.416284,-0.25139,0.784763,clean
1.949975,-0.887759,0.854427,-1.133542,0.427623,0.488096,0.806132,0.105298,-0.687928,0.138649,0.117903,-0.27561,0.862354,0.005166,0.066202,-0.318405,-0.023914,0.419051,0.234009,-1.031384,-0.234528,0.089902,buggy
2.684478,-0.634906,-0.864285,-0.324928,0.591359,0.759724,-0.434139,-0.102481,0.906777,-0.039285,-0.444808,-0.49312,-0.090713,-0.300765,0.516753,0.158704,-0.217982,-0.520995,0.54243,-0.048693,-0.030121,-0.15877,clean
2.904557,-0.071441,-0.183649,0.832474,-0.553821,-0.198358,0.145114,0.3696,0.352368,0.377733,-0.440466,0.108834,-0.058807,0.380254,-0.320881,-0.003233,0.236321,-0.053206,0.226089,-0.021726,0.076658,-0.084723,buggy
-3.651181,0.12463,-1.02398,1.095064,-1.678309,-1.358645,1.391069,1.467159,0.277293,0.473608,0.120442,-2.066429,-0.404809,-2.203745,-2.093962,-0.735766,0.309607,-0.151943,0.697037,2.095614,0.111862,0.77551,clean
-4.375066,-2.25766,-1.956016,-0.996059,4.290473,0.071018,-1.803659,-0.410685,1.587546,1.811358,-0.64149,0.593086,0.333237,1.487613,-0.697813,1.732854,1.207003,0.057896,-1.281284,0.19344,0.496963,-0.828682,clean
-2.906204,-0.877134,-0.468633,-0.895905,0.518779,0.627113,-0.666615,1.888961,-2.411066,-1.572559,1.587814,1.437773,0.929225,0.445648,0.294745,1.429996,0.602108,-0.949512,0.545618,0.545489,-0.486386,0.138098,buggy
3.430624,-0.875734,-0.663498,0.178343,-0.575637,0.157254,0.201726,-0.152627,0.007037,-0.291321,-0.235947,-0.081145,-0.160237,-0.160617,0.061224,-0.127878,0.022391,0.138354,-0.032718,0.030538,-0.219956,-0.162493,clean
2.398926,1.790826,0.469156,1.994563,-0.137937,-1.278129,0.092891,0.714625,0.404547,1.155648,0.35714,1.382648,-0.716807,-0.473221,0.11062,0.585081,0.208274,-0.059426,-0.523788,-0.098704,0.711986,0.405796,clean
2.964726,-1.005073,-0.705847,0.364913,-0.394883,-0.078438,0.373818,-0.029142,0.137913,-0.28288,0.037275,-0.821162,-0.41269,-1.076966,-0.41514,-0.207608,0.623375,-0.203344,-0.128405,0.28594,-0.108247,-0.142937,clean
1.737785,-0.020374,-0.593202,0.497539,-1.060563,0.047866,0.330923,0.303503,0.418738,0.099265,-0.160855,-0.028702,0.001909,0.863116,-0.296837,-0.015832,-0.323575,0.212193,0.053015,0.561502,0.118383,0.23149,buggy
-1.935811,3.370351,-0.258281,0.906958,-0.268887,0.9852,-1.171834,-2.188854,-3.120095,1.426074,0.452887,-1.380139,-1.367023,0.488411,-0.527873,0.940464,0.136351,-0.400995,-0.563856,0.344366,0.258252,-0.043143,clean
-0.916419,11.244959,-6.295033,-6.352782,-2.243366,1.801182,0.187314,0.48071,0.29871,-1.213181,3.061641,0.496878,-0.90185,2.191958,-3.732539,-3.510452,2.189571,1.675512,-0.194459,-0.865761,0.263884,-0.622175,buggy
-35.836362,-6.27206,-5.854083,2.672807,-3.477602,-2.260132,1.826404,-5.490568,4.099121,0.195852,-1.328306,2.549108,2.488739,-5.10391,-3.102435,-0.338691,-1.221338,-0.980571,1.769273,0.312183,0.174088,-0.41798,buggy
-2.198112,2.589993,0.122546,-0.045451,-1.18538,1.601319,0.004847,-1.108296,0.346054,0.806269,3.087846,-0.813969,-1.386812,0.435384,-1.226449,-0.739699,1.543028,0.702912,-0.542525,-0.258992,2.352488,-0.360039,buggy
-4.38688,0.138178,5.994677,-3.239625,5.622408,2.462742,0.67226,-1.41509,0.57086,0.474704,-1.652141,0.417022,-1.198292,-0.701197,0.840321,-1.80318,0.251455,-1.161176,1.864223,-1.539998,-1.540121,0.300851,buggy
2.729873,-0.900427,-0.461022,0.017715,0.079767,0.279766,0.042175,-0.097017,0.058873,-0.13867,-0.019906,-0.292381,-0.106015,0.216553,-0.048659,-0.09036,-0.124859,-0.080927,0.189671,-0.181989,-0.182144,0.086336,clean
0.455742,0.408894,-0.305135,1.088111,1.378437,-1.24088,-0.730218,-0.098483,-0.780867,1.106321,3.025006,0.338435,0.527277,-1.568317,1.29604,-0.964365,-0.99382,0.750173,-0.395653,-0.625103,-0.315428,0.314973,buggy
3.009202,-1.013831,-0.187579,-0.368131,-0.172638,-0.03479,-0.437917,-0.266053,0.243163,-0.213443,-0.315701,-0.118306,-0.151408,0.034004,-0.002603,-0.384893,-0.013405,-0.302338,-0.526691,-0.038185,-0.663321,-0.124253,buggy
0.944833,3.063728,-0.344039,1.021546,1.174162,-1.33812,0.034583,-0.810954,0.15755,-0.165012,1.230067,0.832626,0.039902,-0.67326,1.624768,-0.843299,-0.51571,0.764508,-0.761689,0.744627,0.154861,-0.841928,buggy
2.53002,-1.385119,-0.89274,0.099776,0.429491,0.139073,-0.198712,-0.655297,0.487593,0.074623,-0.340073,0.260179,0.000351,0.085676,-0.213606,-0.226106,0.23208,0.171027,-0.137558,0.324528,0.051367,-0.947176,clean
-7.950715,0.260773,2.298223,-1.762725,1.275897,2.270089,0.953597,0.612765,1.17782,-0.593537,2.769635,1.246007,0.746247,-0.092043,-1.497986,0.04969,2.880888,-1.136503,0.608182,-0.602345,1.165338,0.132349,buggy
2.625293,-0.031398,0.198015,0.687946,-1.139996,-0.370865,-0.283971,0.321471,0.364749,-0.133157,-0.466739,-0.35399,0.262325,0.526714,-0.329355,-0.314054,-0.322915,-0.093579,-0.373815,0.400028,-0.049344,0.079455,clean
1.391657,1.408813,0.464574,1.583963,0.681983,-0.863771,-0.606042,0.202839,-0.343341,1.308033,2.297129,1.018563,0.053442,-1.297138,1.118232,-0.70767,-0.951461,0.522107,-0.376513,-0.683907,0.154129,0.465412,buggy
