@relation 'xalan-2.4_deleteColumns-weka.filters.unsupervised.attribute.Remove-R1-2,4-9,11,14,16,19-20'

@attribute noc numeric
@attribute lcom3 numeric
@attribute dam numeric
@attribute moa numeric
@attribute cam numeric
@attribute cbm numeric
@attribute amc numeric
@attribute bug {1,0}

@data
0,0,1,0,0.342857,2,29.285714,0
0,2,0,0,0.75,6,7.5,0
0,2,0,0,1,0,3,0
0,2,0,0,0,0,28,0
0,2,0,0,1,0,0,0
1,2,0,0,0.5,4,13.5,0
1,2,0,0,1,0,3,0
0,2,0,0,0.666667,0,0,0
0,0.916667,0.357143,0,0.199074,2,37.6,1
0,1.019737,1,0,0.292857,8,41.55,1
0,0,0,0,0.833333,0,11.333333,0
0,2,0,0,0.75,0,0,0
1,0.911111,0.933333,11,0.131313,19,32.507463,1
0,2,0,0,0.555556,1,7.333333,0
0,0.85,0.8,4,0.239234,3,75.578947,0
2,0.878405,0.604651,6,0.133333,0,36.760563,1
0,0.166667,1,0,0.4,0,21.75,0
0,0.666667,1,0,0.45,0,5.25,0
0,2,0,0,1,0,4,0
10,2,0,0,0.44,4,10.2,0
0,0.45,1,2,0.305556,8,67.666667,0
0,0,1,0,0.342857,2,8.142857,0
0,2,0,0,0.5,6,116,1
0,0.666667,0,1,0.278195,0,7,0
4,0.912946,1,0,0.25,0,27.058824,1
6,0.806452,1,1,0.163462,0,7.59375,0
0,2,0,0,0.5,8,27.25,0
0,2,0,0,0.339286,7,63.571429,0
0,2,0,0,0.6,0,5.5,0
0,2,0,0,0.119485,0,0,0
0,0.4375,1,2,0.45,0,21.2,1
0,0.55,0.5,1,0.409091,3,10.363636,0
2,0.5,1,0,0.666667,0,9,0
0,2,0,0,0.333333,0,46,1
2,0.2,1,0,0.4,10,14.5,0
0,2,0,0,0.416667,19,2.875,0
0,2,0,0,1,4,2.333333,0
0,2,0,0,1,0,0,0
0,0.333333,1,1,0.4375,2,22.75,0
0,2,0,0,0.555556,1,5.333333,0
0,0.5,1,1,0.555556,0,10,0
0,2,0,0,0.75,6,6.5,0
0,2,0,0,0.444444,0,12.666667,0
0,0.68254,0.333333,2,0.365079,0,20.363636,0
0,0.409091,1,1,0.291667,13,18,1
0,0.846429,1,4,0.237069,0,12.241379,0
0,2,0,0,1,0,0,0
0,2,0,0,0.583333,4,12.333333,0
1,0.666667,1,0,0.666667,3,21.25,1
0,0.5,0,0,1,0,198.333333,0
0,2,0,0,0.75,1,2,0
0,0.333333,1,0,0.45,4,36,0
0,0.5,0,1,0.555556,0,7.333333,0
1,2,0,0,0.314815,0,2.111111,0
0,0.166667,1,3,0.444444,15,86,0
0,2,0,0,0,0,119,0
0,2,0,0,0.6,4,20.5,1
0,1,0,3,0.388889,0,58.666667,0
0,2,0,0,0.666667,1,55.333333,0
0,0.555556,0,1,0.28,22,7.5,1
0,0,0.75,3,0.444444,4,54.666667,0
1,2,0,0,0.625,2,24,0
0,2,0,0,0.555556,1,7.333333,0
0,0.444444,0,2,0.5625,4,36.25,0
0,0.333333,1,0,0.4,7,9.75,0
0,2,0,0,0.533333,4,31.166667,1
0,2,0,0,0.444444,5,25.666667,0
0,1.456897,0.896552,0,0.5,0,174,0
0,2,0,0,0.75,7,35,0
0,0.75,1,1,0.333333,6,27.4,0
0,0.909091,0,0,0.25,0,38.583333,1
0,0.894661,1,6,0.131488,0,48.5,0
0,2,0,0,0.348485,0,3,0
2,0.733333,0.4,2,0.180108,9,34.16129,0
0,2,0,0,0,0,0,0
9,2,0,0,0.5,5,12.75,0
0,0.785714,1,5,0.293333,5,9.6,0
0,0.666667,1,2,0.25,4,19.5,0
0,2,0,0,0.666667,3,17,0
1,0.666667,1,0,0.45,0,6.25,0
0,0.65,1,2,0.466667,0,63.6,0
0,0.5,0,2,0.407407,1,6.222222,0
0,0.142857,1,2,0.270833,3,15.625,0
0,0.5,1,1,0.555556,4,11,0
0,2,0,0,0.191892,1,0,0
0,2,0,0,1,0,0,0
0,2,0,0,0.4,4,9.75,0
0,2,0,0,0.75,8,31.5,0
0,1.211538,0.051282,1,0.375,0,69.4,0
12,1.223684,0,0,0.416667,0,80,0
0,0.4,1,2,0.361111,6,32.166667,0
0,2,0,0,0.466667,0,86,0
0,2,0,0,0.4,12,46,0
2,0.96875,0,6,0.173611,29,17,1
6,2,0,0,0.555556,0,1,0
0,0.86031,1,9,0.136298,6,55.571429,0
0,2,0.015625,0,1,0,3,0
0,0.65,1,3,0.305556,5,58.5,0
0,2,0,0,0.35,5,60,0
0,0.285714,1,1,0.270833,5,13.5,0
0,0.783972,1,2,0.23545,0,9.238095,0
0,2,0,1,1,0,12,0
0,2,0,0,0.555556,1,7,0
0,2,0,0,0.444444,14,42.666667,0
0,0.75,0.5,0,0.571429,0,69.714286,0
0,1.030769,0.3,0,0.207143,5,55.785714,0
0,2,0,0,1,0,0,0
0,0.722222,0,0,0.333333,0,82.857143,1
2,0.907407,1,3,0.190789,4,16,0
0,2,0,0,1,0,0,0
0,0.329412,1,0,0.685185,0,45,0
0,2,0,0,0.75,1,5.5,0
0,0.333333,1,2,0.305556,7,34,0
3,0.840909,1,1,0.236111,3,6.666667,0
0,0.714286,1,1,0.267857,1,21,0
2,0.942857,0.8,4,0.181818,14,6.681818,0
0,0.644444,1,2,0.3,9,64.3,0
0,2,0,0,0.333333,0,0,0
0,0.52381,1,0,0.199301,4,31.454545,1
2,0.75,1,1,0.259259,4,16.222222,0
0,0.5,0,0,1,0,203.333333,0
0,2,0,0,0.314815,7,20.666667,1
0,0.425,1,0,0.515152,0,19.909091,0
0,0.628571,1,1,0.416667,5,24.875,0
0,2,0,0,1,0,12,0
0,0.185185,1,2,0.257143,9,58.7,0
0,1.027778,0,0,0.27027,0,0,0
0,2,0,0,1,0,0,0
1,0.625,1,2,0.171171,9,17.621622,1
0,0.834921,1,3,0.215873,0,25.111111,0
2,0.88172,1,2,0.180556,19,19.25,0
0,0.285714,0,0,0.34375,0,13.75,0
0,0.53125,1,1,0.253968,13,33.111111,0
0,0.6,1,0,0.666667,2,4.166667,0
1,0.4375,1,2,0.165775,9,15.411765,0
0,0.852381,1,4,0.140496,7,20.590909,0
1,2,0,4,1,0,21,0
0,1.095238,0,0,0.666667,0,10.75,0
0,2,0,0,1,0,0,0
0,0.25,1,0,0.366667,1,24.6,0
0,0.888889,1,0,0.4,1,3.8,0
0,1.015345,0.086957,0,0.411765,0,20.833333,0
0,0.5,1,1,0.265306,6,27.142857,0
0,0.660714,1,0,0.339286,0,47.875,0
0,1.111111,0,0,0.55,0,0,0
0,0.5,1,0,0.8,0,4.6,0
0,0.25,1,1,0.333333,5,24.4,0
0,2,0,0,1,0,4,0
0,0.5,0,0,1,0,140.666667,0
0,0.733333,0,0,0.458333,1,75,0
0,0.583333,1,2,0.3125,7,55.111111,0
0,0.5,0,0,1,0,203.333333,0
0,0.7,1,1,0.233766,5,19.454545,0
0,0,0,0,0.875,0,12,0
0,0,1,0,0.464286,0,21,0
0,2,0,0,1,0,3,1
0,2,0,0,0.7,4,6.8,0
0,2,0,0,0.555556,0,7,0
0,2,0,0,1,0,3,0
0,0,0,1,0.4,0,15.2,0
0,1.142857,0,0,0.225,0,17.375,1
0,0.583333,1,2,0.238095,5,17.428571,0
0,2,0,0,0.625,0,0,0
0,0.6,1,0,0.444444,5,7,0
0,0,1,1,0.444444,13,15.666667,0
0,2,0,0,0.833333,0,4.5,0
0,0.863946,0.785714,2,0.153101,0,23.930233,0
0,2,0,0,0.555556,1,7.333333,0
0,0.844444,1,0,0.263889,5,6.4,0
1,0.858333,0.166667,0,0.404762,0,18.190476,1
0,0.941176,0,0,0.235294,0,13.277778,1
0,0,1,1,0.285714,7,19.285714,0
0,2,0,0,0.5,6,15.666667,0
0,0.375,0,1,0.238095,5,23,0
0,0.833333,1,0,0.416667,3,30.25,0
7,0.375,0,1,0.355556,9,12.555556,0
1,0.703704,0,2,0.333333,22,8.6,1
0,0.6,1,2,0.2,13,33.9375,1
0,0.633333,1,2,0.222222,0,31.181818,0
0,0.97076,0.210526,3,0.475,0,21.8,1
0,2,0,0,0.625,2,12.5,0
0,0.666667,1,3,0.309091,5,23.090909,0
0,0.5,1,0,0.75,3,25,0
0,0.5,0,0,1,0,190.333333,0
0,2,0,0,0.833333,0,5,0
0,0.666667,1,1,0.416667,5,17.25,0
1,0.541667,0.5,0,0.269231,4,18.615385,0
0,0.472222,1,2,0.4,0,16.8,0
0,0.833333,1,1,0.361111,12,20.333333,0
0,2,0,0,0.6,2,20.4,0
0,1.269231,0,1,0.833333,0,12.5,0
0,0.833333,0,2,0.466667,0,25,0
0,2,0,0,0.6,6,17.666667,0
4,0.166667,1,1,0.428571,0,15.857143,0
4,0.375,0,1,0.355556,15,12.666667,0
0,2,0,0,0.444444,0,68,0
0,0.680272,0.857143,4,0.180952,0,41.545455,0
0,2,0,0,0.625,0,4.666667,0
0,0.5,1,0,0.4,6,10.6,0
0,0,1,0,0.555556,3,38.333333,0
1,0.861111,0.75,2,0.571429,0,11.428571,0
0,0.447368,0,2,0.258333,1,8.2,0
0,2,0,0,0.666667,7,14,0
0,0.901042,1,1,0.217593,6,30.96,1
0,0.566667,1,1,0.340909,5,9.636364,0
1,0.8,1,0,0.309091,2,28.909091,0
0,0.925,0.375,1,0.3,0,36.363636,1
0,2,0,0,0.833333,6,13,0
0,2,0,0,0.466667,5,12.8,0
1,0.936207,0.793103,11,0.069318,0,14.617284,1
0,0.3,0,0,0.6,0,10.166667,0
0,2,0,0,1,0,0,0
0,0.7875,0.03125,0,0.444444,2,436,1
0,0.5,1,0,0.75,3,115,0
0,0.518519,1,2,0.242857,4,28.9,0
0,2,0,0,0.583333,12,57.666667,0
0,0.1,0,2,0.4,1,14.833333,0
0,2,0,0,0.533333,5,11.333333,0
0,0.75,1,2,0.416667,0,22.8,0
1,0.6,0.2,3,0.184211,24,16.421053,1
3,2,0,0,0.52381,0,79.666667,0
0,2,0,0,0.6,4,21,0
0,0.741667,1,1,0.453125,0,14.8125,0
0,0.962585,0.166667,2,0.328042,0,43.465116,1
0,0.571429,1,0,0.325,8,8.125,0
0,0.583333,1,0,0.266667,6,24.8,0
0,0.361111,1,0,0.410256,0,11.076923,0
0,0,1,1,0.5,0,20,0
0,2,0,0,0.75,7,20.5,0
0,2,0,0,0.625,2,24,0
0,0.895161,0.870968,3,0.106918,0,21.132075,0
0,0.59,1,0,0.261905,0,15.761905,0
0,1,1,3,0.5,1,10,0
0,0.902778,1,0,0.152727,0,21.12,0
0,2,0,0,0.6,4,29.5,0
0,2,0,1,1,0,12,0
0,2,0,0,0.75,1,5.5,0
0,0.798319,0,1,0.185808,0,7.466667,0
0,0.948113,0.916667,6,0.101307,7,34,1
0,2,0,0,0.555556,1,7.333333,0
0,0.333333,1,0,0.4,5,27.5,0
0,0.821429,1,0,0.16,6,12.866667,0
0,2,0,0,1,0,3,0
0,0.817582,0.923077,2,0.176623,0,24.027778,0
1,0.733333,1,4,0.392857,0,44.142857,0
5,2,0,0,0.203297,0,2.076923,0
0,0.619048,1,1,0.190476,0,20.466667,1
0,0.55,1,4,0.361111,4,86.833333,1
0,0.929143,0.52,9,0.142593,0,21.388889,0
0,2,0,0,0.75,7,13,0
12,2,0,0,0.9,0,2.8,0
0,2,0,0,0.555556,5,9.333333,0
0,0.25,1,1,0.333333,3,49.4,0
0,0.8,1,0,0.333333,7,114.333333,1
0,2,0,0,1,0,9,0
0,0.916667,1,0,0.225,5,10.727273,0
0,2,0,0,0.4375,6,15,0
0,1.041667,0,0,0.34,0,0,0
0,2,0,0,1,0,3,0
0,0.628571,1,2,0.311111,0,9.2,0
0,0.333333,1,0,0.4,7,9.75,0
0,1,0,1,0.666667,0,13.8,0
0,0.708333,0,1,0.4,0,14.555556,0
0,0.642857,0,0,0.666667,0,15,0
23,0.848958,0.9375,4,0.13141,10,74.12,1
0,0.111111,0,1,0.28,1,6.7,0
0,2,0,0,0.45,4,9.4,1
0,0.777778,1,0,0.375,0,5,0
0,2,0,0,1,1,2.333333,0
0,0.653409,0.818182,0,0.291667,0,34.882353,0
0,0.4,1,0,0.444444,4,8.833333,0
0,2,0,0,0.555556,0,5,0
0,2,0,0,0.75,6,6.5,0
1,0.888889,1,0,0.5625,0,6.9375,0
0,0.833333,0,0,0.5,4,14,0
0,0.625,0.5,0,0.340659,0,25.384615,0
0,2,0,0,1,0,4,0
0,0.083333,1,1,0.306122,9,39,0
0,0.769231,1,0,0.206349,0,37.642857,0
0,2,0,0,0.5,6,2,0
0,0.783333,1,1,0.207692,11,49.615385,0
1,0.739394,0.833333,1,0.160714,4,13.875,0
0,0.611111,0.5,3,0.3125,0,79.9,1
3,0.8,1,0,0.5,1,12.625,0
0,0.9,1,1,0.305556,1,16,0
0,0.562963,0.8,0,0.285714,1,24.964286,0
1,0.746667,0.8,1,0.1875,9,20.9375,0
0,0.681818,0.5,2,0.409091,0,28.583333,0
0,0,1,1,0.285714,7,19.285714,0
0,0.634483,0.6,0,0.2,0,14.166667,0
0,0.9,1,0,0.21875,5,7.384615,0
0,2,0,0,1,0,4,0
0,0.142857,1,1,0.270833,4,29,0
2,2,0,0,0.306122,0,0.857143,0
0,1,1,1,0.5,0,3,0
0,0.75,1,2,0.18125,10,15.0625,0
0,0.8,0.8,2,0.215909,1,44.6875,0
0,0.5,0.5,0,0.150538,20,28.032258,1
0,2,0,0,0.555556,0,7,0
7,2,0,0,0.285714,7,4.666667,0
0,2,0,0,0.30303,0,0,0
0,0.875,0.5,1,0.44,0,38.2,0
0,0.4,1,1,0.305556,6,29.333333,0
0,1.111111,0,0,0.4,0,0,0
3,0.25,1,2,0.366667,14,28.4,0
0,2,0,0,0.245,2,13.4,0
0,2,0,0,0.388889,3,8.666667,0
0,0.9,0,2,0.194595,0,47.473684,0
0,0.833333,0.5,0,0.233333,0,25.714286,0
0,1.025,0,1,0.351852,7,28.666667,1
0,0.5,0,0,1,0,165,0
0,2,0,0,1,0,3,0
29,0.913655,0.75,3,0.090336,12,14.083333,1
0,2,0,0,0.8,14,13.3,1
0,2,0,0,0.27381,0,0,0
0,0.629167,0.875,0,0.219262,0,22.639344,0
1,0.933784,1,9,0.093333,0,41.893333,1
0,0.84755,1,6,0.1625,0,96.8,0
1,0.382353,1,0,0.916667,0,24.222222,1
0,2,0,0,0.6,0,38.6,1
1,0.666667,1,0,0.666667,3,93,1
0,0.083333,1,4,0.458333,7,138.5,1
7,0.95393,0.111111,0,0.120879,8,9.857143,0
0,2,0,0,0.5,0,72.75,1
2,0.6,0,1,0.35,0,81.8,0
0,2,0,0,0.75,6,6.5,0
0,0.666667,1,0,0.5,0,5.25,0
0,0.65,0.4,0,0.4375,7,48.6,0
0,0.333333,1,0,0.333333,0,58,0
0,2,0,0,1,0,2.5,0
0,0.25,1,2,0.4,14,23.8,0
28,0.807692,1,0,0.404762,0,8.571429,0
1,0.79321,0.722222,3,0.289189,0,20.243243,1
2,2,0,0,0.4375,4,0.75,0
0,1.095238,0.428571,3,0.428571,0,87.25,0
0,0,0,1,0.416667,1,4.75,0
0,2,0,0,0.444444,13,24,0
0,0.952899,0.043478,7,0.266667,0,150.846154,1
0,0.86,0.4,1,0.666667,0,46,0
0,2,0,0,1,0,9,0
0,0.939909,0.944444,11,0.07913,6,18.44,0
0,2,0,0,0.5,12,8.75,0
0,0,1,0,0.45,0,8,0
0,0.625,1,0,0.25,0,30,0
0,2,0,0,0.111111,0,6.666667,0
0,0.833333,1,1,0.333333,0,4.428571,0
0,2,0,0,0.666667,1,18.5,0
0,0.571429,0,1,0.3,4,11,0
1,0.735294,0.5,1,0.136752,6,26.111111,1
0,0.76,0.4,0,0.375,6,82.333333,1
0,1.015385,0,0,0.277056,0,0,0
0,0.710938,1,2,0.341176,0,20.588235,1
3,0.942857,0.8,0,0.339286,0,9.75,1
0,0.65,1,0,0.444444,0,7.833333,0
0,2,0,0,1,0,0,0
1,2,0,0,0.6,0,4.5,0
0,2,0,3,1,0,71,0
0,2,0,0,1,0,0,0
0,2,0,0,0.380952,0,21.571429,0
0,1,1,0,1,0,18,0
0,2,0,0,0.475,8,66.875,1
1,0.392857,0,0,0.311111,2,22.666667,0
0,0.5,0.5,1,0.380952,0,23,1
0,0.45,1,0,0.606061,0,24.636364,0
0,0,1,1,0.444444,13,19.333333,0
0,2,0,0,0.363636,0,6.181818,0
0,0.5,1,1,0.333333,6,49.4,0
0,0.916667,1,0,0.325,2,6.6,0
0,2,0,0,1,0,0,0
0,0,1,1,0.305556,8,15.666667,0
0,0.4875,1,0,0.264706,0,16.647059,0
0,1,1,1,0.4,6,97.6,0
0,0.428571,0.5,1,0.34375,5,11.875,0
0,2,0,0,0.533333,5,11.333333,0
0,0.8,0,0,0.444444,0,6,0
1,0.583333,1,2,0.230769,6,28.692308,0
0,2,0,0,0.75,7,4,0
0,2,0,0,0.4,0,38.25,0
0,0.25,1,1,0.464286,0,60.142857,0
0,0.857143,0.875,4,0.232804,30,98.181818,0
0,0.972789,0.142857,0,0.227513,0,101.136364,0
0,2,0,0,0,0,0,0
1,0.941667,0.96,14,0.151442,0,19.463918,0
0,0.730769,1,2,0.234694,8,10.357143,0
0,2,0,0,0.5,8,36.2,0
0,0.883142,1,1,0.211111,8,100.5,1
0,2,0,0,1,0,0,0
0,0.879252,0.857143,1,0.344828,5,25.241379,0
0,2,0,0,0.25,0,371.5,1
0,2,0,0,0.75,0,18.5,0
1,0.884444,0.888889,6,0.22,0,41.692308,0
0,2,0,0,1,0,0,0
0,0,1,0,0.777778,0,14.666667,0
0,1,1,0,0.466667,0,6.666667,0
0,2,0,0,0.625,4,5.5,0
0,2,0,0,0.6,5,14.5,0
0,0.5,1,1,0.285714,5,15.571429,0
0,2,0,0,0.5,6,2,0
0,2,0,0,0.75,8,20,0
0,2,0,0,0.75,6,10.5,0
0,1.02381,0,0,0.168605,0,29.651163,1
0,0.825,1,0,0.340909,5,9,0
0,0.666667,1,1,0.35,5,10.7,0
1,0.333333,1,0,0.5,1,39.142857,0
0,0.64,1,3,0.204545,7,33.090909,0
0,0.887195,1,2,0.190476,0,12.428571,1
0,1,1,0,0.5,0,21.666667,0
0,2,0,0,1,0,0,0
3,0.828571,0.8,2,0.168182,15,16.181818,1
0,2,0,0,1,0,15,0
0,2,0,0,0.4,3,22,0
0,0.2,1,0,0.333333,3,7,0
0,0.5,0,0,1,0,197,0
0,2,0,0,0.5,0,10.6,0
0,0.891667,1,1,0.185455,0,18.36,0
0,0.5,1,0,0.555556,0,19.666667,0
0,0.836735,1,0,0.333333,0,28,0
1,2,0,0,0.298611,0,1.166667,0
0,0.667917,0.923077,1,0.125397,0,19.52381,0
0,0.825,0.5,2,0.191919,9,13.909091,0
0,0.62963,0.666667,2,0.269841,9,34.6,0
0,0.693333,1,2,0.258242,0,6.769231,1
15,0.3,0,1,0.345455,4,9.181818,0
0,0.568182,0.6,1,0.175926,0,25.4,1
0,0.513889,1,0,0.394737,0,12.263158,1
0,0.7375,0.85,12,0.151562,0,34.169231,0
0,0,0,1,0.5625,0,15.25,0
0,0.472222,1,1,0.4,0,16.6,0
0,0.596154,0.05,0,0.162393,0,51.5,0
0,2,0,0,0.5,3,49.666667,0
0,0.888889,1,1,0.309524,4,32.428571,0
1,0.428571,0,1,0.375,22,25.625,1
0,2,0,0,0,0,88,0
0,2,0,0,0.5,8,19.25,0
0,0,0,1,0.4,0,15.2,0
0,2,0,0,0.47619,6,55.333333,0
0,0.78125,0.25,6,0.269841,20,41.666667,0
0,1,0,0,0.5,0,19,0
2,0.966051,0.913043,4,0.073443,19,14.040541,0
0,1.5,1,0,0.533333,0,108.333333,1
2,2,0,0,0.5,0,21,0
0,0,1,1,0.555556,7,18.333333,0
0,0.25,1,1,0.314286,4,15.4,0
0,0.076923,1,1,0.295918,3,11.357143,0
0,0.5,1,3,0.285714,8,46.5,0
0,0,1,0,0.583333,0,50.5,0
0,2,0,0,0.305556,15,60.5,0
0,0.75,0,2,0.158508,1,13.030303,0
1,2,0,0,0.19107,0,5.056075,0
0,2,0,0,1,0,0,0
0,2,0,0,0.583333,2,9,0
0,0.666667,1,0,0.466667,0,5.75,0
0,1.02,0,0,0.181373,0,40.823529,1
0,2,0,0,1,0,0,0
0,0,0,1,0.666667,0,9.333333,0
5,0.911765,1,6,0.163993,0,16.884615,0
0,2,0,0,0.20202,3,17.666667,0
0,2,0,0,0.833333,6,13,0
0,2,0,0,0.555556,0,4.333333,0
0,0.553571,1,1,0.383333,0,30.933333,0
0,0.679426,0.454545,2,0.163793,0,58.793103,1
0,2,0,0,0.611111,0,0,0
0,0.820513,0.692308,5,0.126116,1,25.453125,1
0,0.966667,0,0,0.190217,0,4.195652,0
0,2,0,0,0.2,0,16,0
1,0.333333,0.666667,1,0.475,0,42.4,0
1,0.333333,1,1,0.5,4,39.25,0
0,1,1,2,0.583333,0,57,0
0,1.125,0,0,0.555556,0,0,0
0,1,0,0,0.6,0,20.2,0
0,0.588235,1,0,0.238095,9,48.777778,1
0,0.625,1,4,0.309524,4,20.285714,0
0,2,0,0,0.75,1,5.5,0
0,2,0,0,0.555556,0,6.333333,0
0,0.939696,0.714286,18,0.05765,2,25.162602,1
0,0.694444,0,1,0.4,0,11.692308,0
0,2,0,0,0.25,0,5,0
0,0.166667,1,0,0.342857,0,15.714286,0
0,2,0,0,0.333333,0,21.666667,0
21,0.838235,1,3,0.285714,2,12,0
1,0.625,0.5,1,0.5,4,20,0
0,0.454545,1,1,0.533333,0,10.5,0
0,0.6,1,2,0.361111,5,51,0
1,0.8,1,0,0.327273,5,10.272727,0
0,0.571429,1,1,0.4375,8,23.875,1
0,0,1,4,0.444444,13,61.333333,0
0,2,0,0,0.75,7,16.5,0
0,0.166667,1,1,0.75,0,17.5,0
2,2,0,0,0.666667,0,1,0
0,2,0,0,0.666667,0,0,1
0,2,0,0,0.625,0,4,0
0,1,1,0,0.4,4,6,0
0,0.979798,0,0,0.25,0,137.652174,0
0,0.911111,0.866667,0,0.351852,0,76.142857,1
0,0.559524,1,1,0.25,2,19.363636,0
0,0.520833,0.5,1,0.253333,1,5.36,0
0,0.066667,0.866667,6,1,0,133,1
1,0.666667,0,0,0.307692,0,18.923077,0
0,0.619048,1,0,0.215909,4,19.5,0
0,0.484848,0.333333,0,0.25,15,11.083333,0
4,0.888889,1,2,0.288889,0,6.9,0
0,1.5,1,0,0.333333,0,40,0
0,2,0,0,1,0,5,0
5,0.4,1,1,0.366667,4,9.666667,1
1,0.214286,1,0,0.5,6,11.875,0
0,0.416667,0,0,0.182692,22,22.538462,1
0,2,0,0,0.833333,0,5,1
0,0.333333,1,0,0.5,0,4.5,0
0,2,0,0,0.20202,3,13.555556,0
0,2,0,0,0.238095,4,20.428571,1
0,0,1,1,0.75,0,11,0
0,0.5,0,0,1,0,198.333333,0
0,0.5,0,0,1,0,197,0
0,2,0,0,0.75,6,17,0
0,0.269231,1,1,0.410714,1,22.571429,0
0,0.62963,0.0625,1,0.242798,0,58.285714,1
0,2,0,0,0.75,6,16,0
0,0.918293,0.4,0,0.233062,0,23.428571,1
0,2,0,0,0.555556,1,6.666667,0
0,0.780488,1,0,0.226481,0,47.333333,1
0,2,0,0,0.555556,1,7.333333,0
2,2,0,0,0.371429,4,22.285714,0
0,0.375,1,1,0.333333,5,34,0
0,2,0,0,0,0,0,0
0,2,0,0,0.5,0,71.5,0
0,2,0,0,0.666667,1,34.666667,0
0,0.944444,1,2,0.269231,0,18.923077,0
0,2,0,0,1,0,0,0
0,0.5,1,0,0.4375,0,58.5,0
0,0,0,1,0.666667,1,7.5,0
0,0.333333,1,1,0.211538,0,21.384615,1
0,0.839286,1,0,0.47619,2,10.5,0
0,0.5,0,0,1,0,193,0
0,0.777778,1,0,0.4,1,9.1,0
11,0.821429,1,2,0.348148,0,17.533333,0
