@relation 'xerces-1.2_deleteColumns-weka.filters.unsupervised.attribute.Remove-R1-2,4-9,11,14'

@attribute noc numeric
@attribute lcom3 numeric
@attribute dam numeric
@attribute moa numeric
@attribute cam numeric
@attribute ic numeric
@attribute cbm numeric
@attribute amc numeric
@attribute max_cc numeric
@attribute avg_cc numeric
@attribute bug {1,0}

@data
0,2,0,0,0.75,0,0,0,1,1,0
0,2,0,0,0.666667,0,0,4.666667,1,0.6667,0
0,2,0,0,1,0,0,0,1,1,0
0,2,0,0,0.75,0,0,3.5,0,0,1
0,2,0,0,0.206349,0,0,0,1,1,0
0,2,0,0,0.333333,0,0,33,1,0.6667,0
0,0.05,0,0,0.409091,1,1,16,7,1.1818,0
0,0.906177,0.090909,6,0.192308,1,1,123.603774,147,13.3585,0
1,2,0,0,1,0,0,5,0,0,1
0,2,0,0,1,0,0,0,1,1,0
0,2,0,0,0.75,0,0,0,1,1,0
1,0.8,0.666667,0,0.611111,3,3,30.5,3,1.3333,1
0,2,0,0,0.317647,0,0,6.235294,3,1.1765,0
0,0.625,1,0,0.388889,1,2,12,2,1,0
0,2,0,0,0.6,1,4,4.6,1,0.8,0
0,0.81391,1,2,0.333333,0,0,39.724138,6,2.8621,0
0,0.666667,0.5,0,0.5,3,11,24.25,4,1.5,0
0,2,0,0,1,0,0,5.5,1,0.5,1
0,2,0,0,0.666667,0,0,5.333333,1,0.6667,0
0,2,0,0,0.328571,1,7,58.2,13,2.8,1
1,2,0,0,0.228571,0,0,4.3,1,0.9,1
0,2,0,0,0.5,0,0,0,1,1,0
0,0.530303,0,0,0.35,0,0,26.166667,8,2.75,0
0,2,0,0,0.75,0,0,0,1,1,0
0,2,0,0,0.5,0,0,0,1,1,0
0,0.981818,0,1,0.375,0,0,7.5,1,0.8333,1
0,2,0,0,0.571429,1,6,4.571429,1,0.8571,0
0,0.066667,0,0,0.566667,0,0,45.6,7,2.8,0
0,0.891176,0.15,2,0.189815,0,0,75.944444,4,1.1667,0
0,2,0,0,1,0,0,4,0,0,0
0,2,0,0,0.371429,0,0,0,1,1,0
0,2,0,0,0.438596,0,0,0,1,1,0
0,2,0,0,0.533333,1,6,4.533333,1,0.9333,0
0,0.608824,0.882353,3,0.170833,1,4,179.390244,2,1.0488,1
0,2,0,0,0.521739,0,0,4.521739,1,0.9565,0
0,0.709877,1,2,0.285714,0,0,93.9,1,0.8,0
1,0.9,0.1,2,0.393939,0,0,6,1,0.9091,1
0,2,0,0,0.75,0,0,0,1,1,0
2,0.8,0,1,0.533333,0,0,20,14,3.3333,1
14,1.25,1,0,0.533333,0,0,1.4,1,0.8,0
6,1.023551,0,1,0.195652,0,0,9.166667,2,0.9583,0
0,2,0,0,1,0,0,0,1,1,1
0,0.876923,1,0,0.392857,0,0,4,1,0.7143,0
0,0.850198,0.862069,12,0.138249,0,0,35.177419,6,1.3226,1
0,2,0,0,0.777778,0,0,0,1,1,1
0,2,0,0,0.555556,1,6,4.555556,1,0.8889,0
0,0,1,0,0.533333,0,0,8.2,2,1.1,0
0,2,0,0,0.285714,0,0,1.266667,1,0.9333,0
1,0.25,1,1,0.44,0,0,50.6,22,6,0
0,0.666667,1,1,0.5,0,0,6.5,1,0.5,0
0,2,0,0,0.75,0,0,0,1,1,0
0,0.875,1,0,0.25,0,0,28.142857,4,1.5714,1
0,1.040816,0.214286,0,0.46875,1,1,25.125,6,1.5,0
0,2,0,0,0,0,0,0,0,0,0
0,2,0,0,0.75,0,0,0,1,1,0
0,1.028846,0.153846,1,0.31746,0,0,38.222222,17,4.6667,0
0,0.942776,0.071429,15,0.15303,0,0,54.422222,2,1.0222,0
0,2,0,0,1,0,0,0,1,1,0
0,2,0,0,0.6,0,0,4.6,1,0.8,0
0,2,0,0,0,0,0,0,0,0,1
0,2,0,0,0.5,0,0,0,1,1,0
0,2,0,0,0.555556,1,4,4.555556,1,0.8889,0
0,0.890476,0.952381,1,0.22623,2,10,40.508197,12,2.4918,0
0,2,0,0,0.666667,0,0,5.333333,1,0.6667,0
0,2,0,0,0.281818,0,0,0,1,1,0
0,2,0,0,0.571429,1,6,4.571429,1,0.8571,0
0,2,0,0,0.545455,1,6,4.545455,1,0.9091,0
0,2,0,0,0.55,1,1,14.2,2,0.4,0
0,1,1,0,0.833333,0,0,72.666667,8,4.6667,0
0,0.92296,1,15,0.148033,0,0,101.028571,3,1.0429,0
0,2,0,0,0.75,0,0,0,1,1,0
3,0.75,1,0,0.333333,0,0,36.6,1,0.6,0
0,2,0,0,0.571429,1,6,4.571429,1,0.8571,0
0,2,0,0,0.666667,0,0,0,1,1,0
0,2,0,0,0.6,0,0,0,1,1,1
0,0.30303,0,0,0.4375,0,0,13.583333,2,1.25,0
0,0.666667,0.5,0,0.5,2,7,19.5,2,1,0
0,2,0,0,0.571429,1,6,4.571429,1,0.8571,0
0,0.875,0.5,1,0.333333,0,0,35.6,3,1,0
0,0.166667,1,1,0.533333,0,0,45,4,1.4,0
0,0.524691,0.944444,2,0.314286,0,0,123.7,1,0.8,0
0,2,0,0,0.6875,0,0,0,1,1,0
0,2,0,0,0,0,0,0,0,0,0
0,0.796875,0,7,0.222222,0,0,61.146341,11,3.0244,1
0,2,0,0,1,0,0,4,0,0,0
0,0.666667,0.5,0,0.5,4,9,27.75,7,2.25,0
0,0.924242,0,0,0.291667,1,1,68.75,28,5.0833,0
0,0.5,0,0,1,0,0,81,1,0.3333,0
0,2,0,0,0.75,0,0,0,1,1,0
0,0.5,1,1,0.6,1,1,14.6,1,0.6,1
1,0.785714,1,0,0.571429,0,0,12.875,1,0.75,1
0,0,0,0,0.666667,0,0,5,1,0.5,0
0,2,0,0,1,0,0,3,0,0,0
0,1.166667,0.083333,0,0.5,0,0,34.4,9,2.2,0
0,2,0,0,0.5,0,0,0,1,1,0
0,2,0,0,0.555556,1,5,4.555556,1,0.8889,0
0,2,0,0,0.75,0,0,0,1,1,0
0,0.366667,1,3,0.387755,0,0,143.857143,1,0.7143,0
0,2,0,0,0.571429,1,6,4.571429,1,0.8571,0
0,0.666667,0.5,0,0.5,2,7,19.75,1,0.75,0
0,2,0,0,1,0,0,0,1,1,0
0,2,0,0,0.75,0,0,0,1,1,0
0,0.5,0,0,0.5,0,0,3.333333,1,0.3333,1
0,1.333333,0,0,0.625,2,5,2.75,1,0.5,0
4,0.825,1,3,0.518519,0,0,7,1,0.8889,0
0,2,0,0,0.4,0,0,7.4,3,1.1333,0
0,2,0,0,0.75,0,0,0,1,1,0
0,2,0,0,0.4,0,0,0,1,1,0
0,2,0,0,0.239316,2,7,75.923077,30,7.5385,0
0,2,0,0,0.571429,0,0,5.142857,1,0.8571,0
0,2,0,0,0,0,0,0,0,0,1
0,0.825397,0.857143,2,0.244444,0,0,16.4,4,1.1,0
0,2,0,0,0.666667,0,0,4.666667,1,0.6667,0
0,0.757576,1,7,0.307692,0,0,108.384615,3,1.0769,1
0,2,0,0,0.45,1,2,5.2,1,0.8,0
0,2,0,0,0.75,0,0,0,1,1,0
0,0.653061,1,2,0.303571,0,0,21.125,2,1.5,0
0,2,0,0,0.416667,0,0,4.777778,1,0.8889,0
0,2,0,0,0.555556,1,6,4.555556,1,0.8889,0
0,2,0,0,0.75,0,0,0,1,1,0
0,2,0,0,0.5,0,0,0,1,1,0
0,1,0,1,0.275,0,0,13.15,4,2,0
0,2,0,0,0.354167,0,0,0,1,1,0
0,2,0,0,0.363636,0,0,0,1,1,0
0,2,0,0,0.295652,1,3,5.478261,3,1.1304,0
0,2,0,0,0.571429,2,2,69,1,0.5,0
0,2,0,0,0.75,0,0,0,1,1,0
0,0.666667,0.5,0,0.5,2,5,42.5,8,2.5,0
0,2,0,0,0.282353,0,0,0,1,1,0
0,2,0,0,0.37069,0,0,0,1,1,0
0,2,0,0,0,0,0,0,0,0,0
0,0.943103,0.965517,38,0.101329,0,0,69.465116,17,1.5581,1
0,2,0,0,0.5,0,0,5.666667,1,0.6667,0
0,0.333333,1,2,0.464286,0,0,56.25,1,0.625,0
0,2,0,0,0.75,0,0,0,1,1,0
3,0.787654,0.933333,3,0.127273,0,0,33.290909,13,2.9273,0
0,0.96732,0.941176,0,0.233333,0,0,35.105263,15,2.7895,0
0,1,1,1,0.357143,0,0,11.214286,4,1.7857,0
0,2,0,0,0.571429,1,6,4.571429,1,0.8571,0
0,2,0,0,0.75,0,0,0,1,1,0
1,0.9,0.5,0,0.5,1,5,6.333333,2,1.3333,0
0,2,0,0,0.75,0,0,0,1,1,0
1,0.8,0.666667,0,0.611111,3,3,26,3,1.3333,1
0,2,0,0,0.5,0,0,0,1,1,0
6,0.65,1,3,0.466667,0,0,18.222222,2,0.8889,0
0,2,0,0,0.545455,1,4,4.545455,1,0.9091,0
0,2,0,0,0.455882,0,0,0,1,1,1
52,2,0,0,0.456522,1,2,9.826087,4,1.6087,0
0,2,0,0,0.75,0,0,0,1,1,0
0,2,0,0,0.538462,0,0,4.538462,1,0.9231,0
0,0.708134,0.636364,4,0.233083,0,0,28.5,11,2.65,0
0,0.844444,0,0,0.458333,0,0,98.833333,8,2.5,0
0,2,0,0,0.571429,0,0,71.5,1,0.5,0
0,2,0,0,0.611111,0,0,0,1,1,0
0,2,0,0,0.75,0,0,0,1,1,0
0,2,0,0,0.7,0,0,0,1,1,0
0,0.673611,1,3,0.233333,0,0,66,1,0.8,0
0,2,0,0,0.6,0,0,4.6,1,0.8,0
0,2,0,0,0.6,1,4,4.6,1,0.8,0
0,0.908497,0.176471,0,0.25,0,0,779.8,9,4.7,0
0,2,0,0,0.571429,1,4,4.571429,1,0.8571,0
0,2,0,0,1,0,0,0,1,1,1
1,0.933333,0.8,0,0.4,2,6,7.8,2,1.6,0
0,2,0,0,1,0,0,7,0,0,1
0,0.75,0.5,0,0.466667,2,8,22.2,7,2,0
0,2,0,0,0.375,0,0,0,1,1,0
0,2,0,0,0.5,0,0,0,1,1,0
0,0.5,0,0,1,0,0,713.666667,1,0.3333,0
0,2,0,2,1,0,0,3,0,0,0
0,2,0,0,0.6,1,4,4.6,1,0.8,0
0,2,0,0,0.75,0,0,0,1,1,0
0,2,0,0,0.545455,1,6,4.545455,1,0.9091,0
0,2,0,0,1,0,0,0,1,1,1
0,0.769231,0.962963,9,0.154872,0,0,130.348485,25,1.697,1
0,2,0,0,0.348485,0,0,0,1,1,0
0,2,0,0,0.347826,0,0,0,1,1,0
0,0.2,1,2,0.416667,1,2,24.333333,1,0.8333,0
0,2,0,0,0.75,0,0,0,1,1,0
0,1.041667,0,0,0.33,0,0,0,1,1,1
0,0.75,0.5,0,0.555556,2,7,9.333333,1,0.6667,0
0,2,0,0,0.555556,0,0,4.555556,1,0.8889,0
0,2,0,0,1,0,0,0,1,1,1
0,2,0,0,0.294737,1,3,5.026316,3,1.0789,0
0,2,0,0,0.312,1,7,4.68,1,0.96,0
0,2,0,0,0.6,1,4,4.6,1,0.8,0
0,0.952381,1,1,0.25,1,1,7.090909,3,1.2273,0
0,2,0,0,0.375,0,0,0,1,1,0
0,0.619048,1,1,0.3,1,1,12.25,1,0.75,0
1,0.833333,0.666667,1,0.4,2,6,8.8,2,1.2,0
0,1.159091,0.136364,0,0.5,0,0,35.6,9,2.2,0
0,2,0,0,0.75,0,0,0,1,1,0
0,0.5,0,0,1,0,0,306.333333,1,0.3333,0
0,2,0,0,0.75,0,0,0,1,1,0
0,2,0,0,0.6,0,0,4.6,1,0.8,0
0,2,0,0,0.394737,1,6,4.631579,1,0.9474,0
0,2,0,0,1,0,0,0,1,1,1
0,0.375,1,0,0.466667,0,0,10.333333,1,0.5556,0
0,2,0,0,0.571429,1,6,4.571429,1,0.8571,0
0,2,0,0,0.75,0,0,0,1,1,0
0,2,0,0,0.461538,0,0,0,1,1,0
0,2,0,0,0.571429,0,0,5.142857,1,0.8571,0
1,0.588235,0.5,0,0.186275,1,8,65.333333,37,7.1111,0
0,0.375,1,1,0.355556,1,2,15.111111,2,0.8889,0
0,2,0,0,0.394737,0,0,4.526316,1,0.9474,0
0,0.838889,1,2,0.137778,0,0,44.543478,19,4.0435,0
0,2,0,0,1,0,0,0,1,1,1
0,2,0,0,0.32,1,1,12,6,1.7333,0
0,2,0,0,0.75,0,0,0,1,1,0
0,2,0,0,1,0,0,0,1,1,1
0,2,0,0,0.75,0,0,0,1,1,0
0,0.767857,1,0,0.40625,1,2,33.5,2,1,0
0,2,0,0,0.6,1,4,4.6,1,0.8,0
0,2,0,0,0.5,0,0,50,10,5,0
0,2,0,0,0.555556,1,1,4.777778,1,0.8889,0
0,2,0,0,0.7,0,0,0,1,1,0
3,0.717949,0.666667,1,0.480769,1,2,22.571429,6,1.5714,1
0,2,0,0,0.355263,0,0,0,1,1,0
0,0.829023,0.916667,2,0.338889,0,0,68.9,9,3.1667,0
0,2,0,0,1,0,0,5.5,1,0.5,1
1,0.5,1,0,0.431818,0,0,8.090909,1,0.9091,0
0,0.5,0,0,1,0,0,107,1,0.3333,0
9,0.995139,0.366667,20,0.1875,0,0,42.102041,24,2.2857,0
1,0.902128,1,6,0.141337,2,9,27.625,3,1.0625,1
0,0.25,1,1,0.45,1,2,10.8,1,0.8,0
0,2,0,0,1,0,0,0,1,1,1
0,1,1,2,0.214286,0,0,12.027778,7,2,0
0,1.043478,0,0,0.270833,0,0,0,1,1,0
0,2,0,0,0.75,0,0,0,1,1,0
0,2,0,0,1,0,0,5,0,0,1
0,2,0,0,1,0,0,3,0,0,0
0,0.740741,1,1,0.333333,1,1,53.857143,1,0.7143,0
0,0.716667,1,3,0.318182,0,0,28.636364,1,0.9091,0
0,2,0,0,0.314286,1,7,4.619048,1,0.9524,0
0,2,0,0,0.6,0,0,9.4,3,1.6,0
0,2,0,0,0.583333,0,0,0,1,1,0
0,2,0,0,0.75,0,0,0,1,1,0
0,2,0,0,0.403846,0,0,6.923077,3,1.2308,0
0,0.785714,1,1,0.285714,0,0,5.75,1,0.75,0
0,2,0,0,0,0,0,0,0,0,1
0,2,0,0,0.5,0,0,4.666667,1,0.6667,0
0,2,0,0,0.666667,0,0,0,1,1,0
0,0.9375,1,1,0.490196,0,0,4.705882,2,1,0
0,0.4625,1,0,0.183007,1,15,22.411765,8,2.2353,0
0,0.75,0.5,0,0.555556,3,11,13,2,1,0
0,2,0,0,0.5,0,0,0,1,1,0
0,2,0,0,0.555556,1,5,4.555556,1,0.8889,0
0,2,0,0,0.666667,0,0,4.666667,1,0.6667,0
0,0.984615,0,2,0.5,1,1,13.333333,1,0.6667,0
0,0.740741,1,2,0.333333,0,0,84.571429,1,0.7143,0
0,2,0,0,0.75,0,0,0,1,1,0
0,2,0,0,0.25,0,0,0,1,1,0
0,0.666667,0,1,0.444444,0,0,6.5,1,0.5,0
0,2,0,0,0.538462,0,0,0,1,1,1
0,2,0,0,0.75,0,0,0,1,1,0
1,0.850863,0.076923,0,0.194286,0,0,61.64,55,2.48,0
0,2,0,0,0,0,0,0,0,0,0
0,2,0,0,1,0,0,0,1,1,0
0,2,0,0,0.666667,0,0,4.666667,1,0.6667,0
0,0.522989,0.833333,3,0.201149,1,2,85.233333,4,1.3,0
0,2,0,0,1,0,0,0,1,1,0
0,2,0,0,0.75,0,0,0,1,1,0
0,2,0,0,0,0,0,0,0,0,0
0,2,0,0,0.397059,0,0,4.647059,1,0.9412,0
3,0.92623,0.916667,2,0.155107,2,19,20.483871,23,1.9516,1
0,0.666667,0.5,0,0.5,2,7,13.5,2,1,0
0,2,0,0,0.428571,0,0,4.571429,1,0.8571,0
0,0.813725,0.647059,3,0.188889,1,4,80.903226,5,1.2581,0
0,2,0,0,0.333333,0,0,7.333333,1,0.6667,0
0,2,0,0,0.75,0,0,0,1,1,0
0,1,1,1,0.583333,0,0,6.75,2,1,0
0,2,0,0,1,0,0,0,1,1,0
0,2,0,0,0.666667,0,0,0,1,1,1
0,0.285714,1,0,0.4375,0,0,6.75,1,0.5,0
0,2,0,0,0.375,0,0,0,1,1,0
3,0.967521,0.833333,1,0.11655,0,0,15.742424,31,2.2727,1
0,0.666667,0.5,0,0.5,2,8,17.25,3,1.25,0
1,1.5,0,0,0.555556,1,4,3,1,0.6667,0
0,2,0,0,0.666667,0,0,4.666667,1,0.6667,0
0,2,0,0,0.354167,0,0,0,1,1,0
0,0.75,0.5,0,0.555556,2,3,18,1,0.6667,0
0,2,0,0,1,0,0,0,1,1,0
0,2,0,0,0.75,0,0,0,1,1,0
0,0.769841,1,3,0.2,0,0,100.230769,4,1.0769,1
0,2,0,0,0.5,0,0,0,1,1,0
1,1.5,0,0,0.555556,1,4,3,1,0.6667,0
0,0.75,0.5,0,0.555556,3,12,13,2,1,0
0,2,0,0,0.521739,1,6,4.521739,1,0.9565,0
0,2,0,0,0.403846,1,6,4.615385,1,0.9231,0
0,0,1,0,0.6,0,0,5.6,1,0.2,1
0,2,0,0,0.75,0,0,0,1,1,0
0,2,0,0,0.388889,0,0,4.592593,1,0.963,0
0,0.698413,0,3,0.15035,0,0,6.181818,2,0.9545,0
0,0.5,0,0,0.5,0,0,11.666667,2,0.6667,0
0,2,0,0,0,0,0,0,0,0,1
0,0.579545,1,0,0.366667,1,3,173.666667,1,0.8889,0
0,2,0,0,0.309677,0,0,7.354839,6,1.3871,0
0,2,0,0,0.75,0,0,0,1,1,0
0,2,0,0,0.375,0,0,0,1,1,0
0,2,0,0,0.583333,0,0,0,1,1,0
0,1,1,0,0.184211,1,12,19.461538,12,1.5641,0
0,2,0,0,1,0,0,0,1,1,0
0,0.142857,0,0,0.520833,0,0,70.375,8,5.625,0
0,2,0,0,0.75,0,0,0,1,1,0
35,2,0,0,0.436364,2,3,7.454545,3,1.2727,0
0,0.710227,1,3,0.208333,0,0,58.333333,1,0.8333,0
0,2,0,0,0.75,0,0,0,1,1,0
0,0,1,0,0.625,0,0,5.75,2,1,0
0,2,0,0,0.625,2,2,37,11,5.5,0
0,0.733333,0.8,2,0.375,0,0,16.923077,4,1.4615,0
0,2,0,0,0.4,0,0,0,1,1,1
1,0.928571,0.5,0,0.285714,0,0,12.25,1,0.75,0
0,2,0,0,0.75,0,0,0,1,1,0
0,0.766667,0.8,3,0.333333,0,0,27.857143,1,0.7143,0
0,0.166667,1,2,0.5,0,0,53.666667,1,0.3333,0
0,2,0,0,0.375,0,0,0,1,1,0
0,0.6875,1,4,0.307692,0,0,27.153846,11,4.1538,1
0,2,0,0,0.538462,1,4,4.538462,1,0.9231,0
0,0.75,0.5,0,0.555556,2,7,11.666667,1,0.6667,0
0,2,0,0,0.666667,0,0,0,1,1,0
0,2,0,0,0.4,1,4,4.6,1,0.9333,0
2,0.565625,1,2,0.174479,1,3,90.848485,2,1.0606,1
