@relation 'xalan-2.5_deleteColumns-weka.filters.unsupervised.attribute.Remove-R1-2,4-5,7-9,11,14,16,18-20'

@attribute noc numeric
@attribute lcom numeric
@attribute lcom3 numeric
@attribute dam numeric
@attribute moa numeric
@attribute cam numeric
@attribute cbm numeric
@attribute bug {1,0}

@data
0,8,0.75,1,2,0.18125,10,0
0,36,2,0,0,0.333333,0,0
0,117,0.5,0.5,0,0.150538,20,0
0,4,0.625,1,0,0.25,0,1
0,36,2,0,0,0.111111,0,1
0,19,0.833333,1,1,0.333333,0,1
0,1,2,0,0,0.666667,1,0
0,16,0.571429,0,1,0.3,4,1
0,3,2,0,0,0.555556,0,0
0,6,2,0,0,0.583333,0,1
0,8,0.875,0.5,1,0.44,0,1
0,3,0.4,1,1,0.305556,6,1
0,45,1.111111,0,0,0.4,0,0
3,0,0.25,1,2,0.366667,14,0
0,208,0.95,0,0,0.21645,2,0
0,0,2,0,0,0,0,1
0,34,0.826389,0.75,0,0.201923,0,0
0,15,0.833333,0.5,0,0.233333,0,1
0,39,1.022222,0,1,0.333333,7,1
0,1,0.5,0,0,1,0,1
0,0,0.333333,1,1,0.4,6,1
0,0,0.52381,0.833333,0,0.583333,0,1
0,3,2,0,0,0.555556,2,0
0,6,2,0,0,0.4375,4,0
0,0,0.7,0,0,0.722222,0,1
0,1,2,0,0,0.75,7,1
0,3,0.733333,0.777778,3,0.328571,0,1
0,1,1,0,1,1,0,0
1,0,0.342105,1,0,0.6,0,1
0,188,0.947368,1,0,0.25,0,1
1,1,0.5,1,0,1,0,1
0,0,0.083333,1,4,0.458333,7,0
7,819,0.95393,0.111111,0,0.112245,8,1
0,28,2,0,0,0.5,0,1
2,3,0.56,0,1,0.375,0,0
0,1,2,0,0,0.75,6,1
0,0,0.666667,1,0,0.5,0,0
0,6,0.65,0.4,0,0.4375,8,1
0,0,0.333333,1,0,0.333333,0,0
0,1,2,0,0,1,0,1
0,0,0.25,1,0,0.533333,1,1
10,526,0.998047,0,16,0.234375,0,0
0,223,0.634483,0.6,0,0.2,0,1
0,54,0.9,1,0,0.21875,5,0
0,0,2,0,0,1,0,1
0,4,1.285714,0,0,0.5,2,1
0,0,0.142857,1,1,0.270833,5,0
0,0,2,0,0,1,0,0
0,23,0.798319,1,8,0.214286,3,1
0,1,1.428571,0,0,1,0,1
0,1069,0.939909,0.944444,11,0.07913,6,1
0,0,0.5,1,0,0.220238,2,0
0,0,0.25,0,1,0.3,0,0
0,1,1.3,0,0,1,0,0
0,66,2,0,0,0.444444,0,1
0,0,0,1,0,0.777778,0,0
0,1,1,1,0,0.466667,0,0
0,1,2,0,0,0.625,4,0
0,1,2,0,0,0.6,5,0
0,0,0.5,1,1,0.285714,6,0
0,24,2,0,0,0.395833,14,1
0,3,2,0,0,0.5,6,1
1,79,0.735294,0.5,1,0.136752,6,1
0,1,0.7,0.4,0,0.349206,6,1
0,2145,1.015385,0,0,0.277056,0,1
0,0,2,0,0,1,0,0
0,34,0.778947,1,4,0.242857,7,0
0,6,2,0,0,0.625,4,1
1,0,0.333333,1,2,0.34375,5,0
1,50,0.831579,1,1,0.225,8,1
0,4,0.25,1,0,0.4,0,1
1,1,2,0,0,0.6,0,0
0,0,2,0,3,1,0,1
0,0,2,0,0,1,0,0
0,21,2,0,0,0.5,0,1
0,1,1,1,0,1,0,0
0,50,0.65625,1,0,0.196078,0,1
1,0,0.392857,0,0,0.311111,2,0
0,0,0.5,0.5,1,0.357143,0,1
0,0,0.45,1,0,0.606061,0,1
0,0,0,1,1,0.444444,13,0
1,4,2,0,0,0.5,4,0
1,0,2,0,0,1,0,0
0,1,2,0,0,0.666667,0,0
0,190,0.936455,0.307692,0,0.202899,2,0
0,0,0.4875,1,0,0.264706,0,0
0,2,1,1,1,0.4,7,1
0,0,0,1,1,0.34375,5,0
0,3,2,0,0,0.533333,5,0
0,4,0.25,1,2,0.4,14,0
0,4,0.666667,0,0,0.555556,0,0
0,15,1.2,0,0,0.533333,0,0
1,440,0.79321,0.722222,3,0.289189,0,0
2,6,2,0,0,0.4375,4,0
0,0,0,1,2,0.666667,0,0
0,0,0,0,1,0.416667,1,0
0,3,2,0,0,0.444444,13,0
0,66,0.952899,0.043478,7,0.266667,0,0
0,211,0.656566,1,3,0.196078,0,1
0,0,2,0,0,1,0,0
1,0,0.3375,1,0,0.5,0,1
0,6,2,0,0,0.5,8,1
0,21,2,0,0,0.339286,7,1
0,1,2,0,0,0.6,0,0
0,561,2,0,0,0.119485,0,0
0,0,0.25,1,1,0.466667,0,0
0,0,0.55,0.5,1,0.409091,3,0
0,171,2,0,0,0.381579,0,0
0,0,0.076923,1,1,0.295918,3,0
0,0,0.5,1,3,0.285714,8,0
0,1,0.5,1,1,0.555556,4,0
0,666,2,0,0,0.191892,1,0
0,0,2,0,0,0,0,0
0,0,0.75,0,2,0.158508,1,1
0,1,2,0,0,0.75,8,1
0,1,2,0,0,0.75,6,1
0,990,1.022727,0,0,0.172222,0,1
0,29,0.825,1,0,0.340909,5,1
0,0,0.5,1,1,0.35,8,0
1,15,0.333333,1,0,0.5,1,0
0,1,1.423077,0,0,1,0,0
0,0,0.171429,1,1,0.3125,2,0
0,202,0.851541,1,3,0.185315,0,1
0,1,2,0,0,0.5,0,0
0,1,1.3,0,0,1,0,0
0,0,2,0,0,0,0,0
0,0,2,0,0,1,0,1
0,3,2,0,0,0.583333,4,0
0,0,2,0,0,1,0,1
0,6,2,0,0,0.4,3,0
0,0,0.2,1,0,0.333333,3,0
0,1,1.428571,0,0,1,0,1
0,3,2,0,0,0.5,4,0
0,1,0.5,0,1,0.555556,0,0
1,36,2,0,0,0.314815,0,0
0,0,0.166667,1,3,0.444444,14,0
0,0,2,0,0,0,0,0
0,335,0.667917,0.923077,1,0.125397,0,0
0,15,0.825,0.5,2,0.191919,9,1
0,5,0.8,0,0,0.444444,0,0
0,0,0,1,0,0.36,0,0
0,1,2,0,0,0.75,7,1
0,6,2,0,0,0.4,0,0
0,0,0.25,1,1,0.464286,0,1
10,10,2,0,0,0.44,4,0
0,0,0.5,1,2,0.305556,10,1
1,4056,0.922303,0.777778,14,0.173913,0,1
0,1,1.3,0,0,1,0,0
0,10,2,0,0,0.4,8,1
0,0,0.883142,1,1,0.211111,8,0
0,1,2,0,0,0.75,7,1
0,17,0.888889,1,1,0.309524,4,0
1,6,0.375,0,1,0.355556,22,1
0,0,2,0,0,0,0,0
0,280,0.890625,1,5,0.140152,0,1
0,0,0.25,0,0,0.4,0,0
0,3,2,0,0,0.47619,7,1
0,8,0.78125,0.25,6,0.269841,20,1
0,1,1,0,0,0.5,0,1
0,53,0.785714,1,5,0.293333,6,1
0,27,0.666667,1,2,0.25,4,1
0,3,2,0,0,0.666667,3,0
1,4,0.666667,1,0,0.45,0,0
0,0,0.65,1,2,0.466667,0,0
0,1,1.3,0,0,1,0,0
0,1,1.3,0,0,1,0,0
0,181,0.979798,0,0,0.25,0,1
0,18,0.904762,0.866667,0,0.328571,0,1
0,3,0.6,1,0,0.666667,2,1
1,0,0.4375,1,2,0.165775,9,1
0,121,0.852381,1,4,0.140496,7,1
0,1,0.5,0,0,1,0,1
1,0,2,0,4,1,0,1
0,1,2,0,0,0.75,8,1
0,1,2,0,0,0.666667,0,0
0,0,1.211538,0.051282,1,0.375,0,0
0,3,2,0,0,0.583333,2,0
0,2,0.666667,1,0,0.466667,0,0
0,1275,1.02,0,0,0.181373,0,1
0,1,2,0,0,1,0,1
0,0,0.333333,1,1,0.583333,0,0
3,472,0.96875,0,6,0.173611,30,1
6,3,2,0,0,0.555556,0,0
0,617,0.86031,1,9,0.136298,7,1
0,0,2,0.015625,0,1,0,1
0,0,0.65,1,3,0.305556,6,1
0,10,2,0,0,0.35,5,0
0,0,0.679426,0.454545,2,0.163793,0,1
0,1,1.3,0,0,1,0,0
0,0,0.62963,0.666667,2,0.269841,9,0
15,0,0.3,0,1,0.345455,4,1
1,1,2,0,0,0.625,2,0
0,3,2,0,0,0.555556,1,0
0,0,0.081081,1,0,0.192105,1,0
0,0,0.444444,0,2,0.5625,4,1
0,0,0.333333,1,0,0.4,7,0
0,0,0.808333,1,3,0.134444,18,1
0,0,0.472222,1,1,0.4,0,1
0,27,0.596154,0.05,0,0.162393,0,0
0,1,1.456897,0.896552,0,0.5,0,1
0,7393,0.942357,0.74359,16,0.053124,2,1
3,64,0.854167,1,1,0.230769,3,0
0,0,0.75,1,2,0.228758,0,1
2,189,0.942857,0.8,4,0.181818,14,1
0,0,0.166667,1,0,0.342857,0,1
0,36,2,0,0,0.333333,0,0
22,115,0.838235,1,3,0.285714,2,1
0,185,0.52381,1,0,0.199301,4,0
1,2,0.625,0.5,1,0.5,4,0
2,22,0.75,1,1,0.259259,4,0
0,1,0.5,0,0,1,0,1
0,36,2,0,0,0.314815,10,1
0,28,0.5,1,1,0.416667,8,0
0,21,2,0,0,0.404762,0,1
0,0,0,1,4,0.444444,13,0
0,0,0.185185,1,2,0.257143,9,0
0,903,1.02381,0,0,0.261628,0,0
0,258,2,0,0,0.361111,14,1
1,212,0.625,1,2,0.171171,9,0
0,6,2,0,0,0.625,0,0
0,1,2,0,0,0.625,2,1
0,0,0.666667,1,3,0.309091,7,0
0,1,0.5,1,0,1,0,0
0,1,0.5,0,0,1,0,1
0,1,2,0,0,0.833333,0,1
0,1,0.5,0,0,1,0,1
0,1,1.423077,0,0,1,0,0
0,1,2,0,0,0.75,1,0
0,199,0.571429,1,0,0.215909,4,0
0,4,0.484848,0.333333,0,0.25,15,0
0,0,0.25,1,0,0.366667,1,1
0,37,0.888889,1,0,0.4,1,0
0,1,0.5,0,0,1,0,1
0,0,1.024837,0.04902,0,0.411111,0,1
0,0,0.5,1,1,0.25,6,1
0,1,1.423077,0,0,1,0,0
1,18,0.828571,1,0,0.314286,0,1
0,3,2,0,0,0.611111,0,0
0,0,2,0,1,1,0,1
0,3,2,0,0,0.555556,1,0
0,3,2,0,0,0.444444,14,0
0,1,0.75,0.5,0,0.571429,0,0
0,79,1.030769,0.3,0,0.207143,6,0
0,57,0.961538,1,1,0.538462,29,1
0,9,0.722222,0,0,0.333333,0,1
2,99,0.907407,1,3,0.190789,5,1
0,10,0.566667,1,0,0.232143,9,1
0,0,0.625,1,4,0.309524,4,0
0,1,2,0,0,0.75,1,0
0,3,2,0,0,0.555556,0,0
0,1,2,0,0,0.75,6,1
0,323,0.205882,1,0,0.234921,0,1
0,716,0.930233,1,0,0.15035,13,1
0,0,2,0,0,1,0,1
0,1,1.423077,0,0,1,0,0
0,0,1.269231,0,1,0.833333,0,0
10,8,1.247951,0,0,0.333333,0,1
2,21,2,0,0,0.371429,4,0
0,5,0.583333,1,2,0.238095,5,1
0,6,2,0,0,0.625,0,0
0,9,0.6,1,0,0.444444,6,1
0,0,0,1,1,0.444444,13,0
0,1,2,0,0,0.833333,0,1
0,0,2,0,0,1,0,0
0,3,2,0,0,0.555556,1,0
0,27,0.844444,1,0,0.263889,5,0
1,67,0.873016,0.166667,2,0.327273,0,0
0,10,2,0,0,0.45,0,0
0,2365,0.958128,1,5,0.151429,8,1
0,1,0.5,0,0,1,0,1
0,1,1.423077,0,0,1,0,0
0,1,0.5,0,0,1,0,1
0,17,0.777778,1,0,0.4,1,0
0,6,0.375,0,1,0.238095,6,1
0,0,0.833333,1,0,0.416667,4,1
7,6,0.375,0,1,0.355556,9,1
1,3,0.777778,0,2,0.333333,22,1
0,46,0.6,1,2,0.2,13,1
0,0,0.633333,1,2,0.222222,0,0
0,2,0.949275,0.391304,4,0.555556,0,1
0,0,0.583333,1,0,0.342857,2,0
0,1,2,0,0,0.75,1,0
0,0,2,0,0,1,0,1
0,13,0.735294,1,2,0.185185,14,0
0,4,0.5,1,1,0.36,5,1
0,2107,0.938127,0.730769,5,0.108696,1,1
0,17,0.654321,1,1,0.2875,0,1
0,66,1.090909,0,0,0.416667,0,0
0,0,0.5,1,0,0.8,0,1
0,0,0.25,1,1,0.333333,5,0
0,0,0.333333,1,0,0.5,0,0
0,374,1,0,0,0.181548,3,0
0,190,2,0,0,0.238095,4,0
0,1,1,1,0,0.75,0,0
0,1,0.5,0,0,1,0,1
0,1,0.5,0,0,1,0,1
0,15,0.7,1,1,0.233766,6,1
0,0,0,0,0,0.875,0,0
0,0,0,1,0,0.464286,0,0
0,1,1.423077,0,0,1,0,0
0,0,0,1,0,0.555556,3,1
0,1,2,0,0,0.666667,0,0
0,16,0.791667,0,0,0.205128,9,1
0,0,0.4,1,4,0.625,0,0
0,3,2,0,0,0.666667,7,1
0,1,2,0,0,0.6,4,0
0,16,0.75,1,3,0.296296,2,1
0,1,0.5,0,0,1,0,1
0,2147,0.882716,0.625,4,0.086934,0,0
0,1,2,0,0,0.833333,6,0
0,10,2,0,0,0.466667,6,1
1,2203,0.934524,0.791667,13,0.06993,0,1
0,0,0.3,0,0,0.6,0,1
0,0,2,0,0,0,0,0
0,3,0.7875,0.03125,0,0.444444,1,1
0,1,0.5,1,0,1,0,0
0,1,0.518519,1,2,0.242857,5,0
0,3,2,0,0,0.583333,12,0
0,0,0.083333,0,2,0.371429,2,0
0,3,2,0,0,0.533333,5,0
0,4,0.75,1,2,0.416667,0,1
1,83,0.6,0.2,3,0.184211,24,1
0,14,0.583333,1,4,0.307692,8,0
0,1,2,0,0,0.75,6,1
0,1,2,0,0,0.75,6,1
0,20,0.6875,1,1,0.311111,10,1
0,0,0.517857,1,2,0.361111,6,1
0,617,0.870813,0.545455,1,0.142857,17,0
0,5191,0.943807,0.666667,8,0.119839,0,1
0,0,0.333333,1,2,0.238095,8,0
0,0,2,0,0,0,0,0
0,0,0.285714,1,2,0.25,5,0
0,151,1,0,0,0.247368,4,0
0,6,2,0,0,0.5,0,1
1,1,2,0,0,0.75,0,0
0,0,0.5,1,0,0.466667,0,1
0,0,2,0,0,1,0,1
0,184,2,0,0,0.230769,4,0
0,17,0.788889,1,1,0.277778,0,0
0,0,0,0,0,0.4,0,0
0,10,2,0,0,0.6,2,1
0,0,0,1,2,0.444444,13,0
0,6,0.809524,1,3,0.3,5,1
0,0,0,1,1,0.625,0,1
0,0,0.333333,1,0,0.5,1,0
0,3,2,0,0,0.5,4,0
0,21,2,0,0,1,0,0
0,1,0.583333,1,0,0.314286,11,0
2,71,0.706349,0.833333,4,0.272727,1,1
0,1,2,0,0,0.75,1,0
1,5,0.733333,1,4,0.392857,0,1
5,78,2,0,0,0.203297,0,0
0,3,2,0,0,0.533333,5,0
2,0,2,0,0,1,0,0
3,91,0.811688,0.818182,3,0.267857,0,0
0,1,2,0,0,0.75,7,1
0,11,0.611111,0.666667,0,0.333333,0,0
12,10,2,0,0,0.9,0,0
0,3,2,0,0,0.555556,5,1
0,0,0.25,1,1,0.333333,4,0
0,0,0.847619,1,0,0.270833,7,1
0,0,2,0,0,1,0,1
0,37,0.916667,1,0,0.225,5,0
0,6,2,0,0,0.4375,6,1
0,0,0.75,0,1,0.666667,0,1
0,0,2,0,0,1,0,0
0,0,0.628571,1,2,0.311111,0,1
0,0,0.333333,1,0,0.4,7,0
0,0,0.6875,0,1,0.666667,0,1
0,24,0.708333,0,1,0.4,0,1
3,1852,0.965104,0.933333,4,0.139744,0,1
0,0,2,0,0,1,0,0
0,14,0.983516,0.615385,0,0.25,0,0
0,0,0.111111,0,1,0.28,1,0
0,10,2,0,0,0.45,4,1
0,15,1.133333,1,0,0.56,4,0
0,126,0.7625,1,0,0.265306,0,0
6,311,0.978632,1,1,0.159259,2,1
0,36,2,0,0,0.238095,0,0
0,1,2,0,0,0.75,6,1
0,0,2,0,0,1,0,0
0,0,0.666667,1,2,0.375,8,0
0,0,0.625,1,2,0.288889,6,0
3,0,2,0,0,1,0,0
2,257,0.802885,0.625,4,0.138889,4,0
0,3,2,0,0,0.555556,0,0
0,4,0.5,1,0,0.36,8,0
0,1,2,0,0,0.625,3,1
0,0,0.333333,1,0,0.4,6,0
0,91,0.857143,1,0,0.16,5,0
0,0,2,0,0,1,0,0
0,0,0.817582,0.923077,2,0.176623,0,0
0,29,0.769231,1,0,0.206349,0,1
0,3,2,0,0,0.5,6,1
0,40,0.783333,1,1,0.207692,10,1
2,714,0.739394,0.833333,1,0.160714,4,1
0,3,0.611111,0.5,3,0.3125,0,0
0,15,0.666667,1,1,0.25,7,1
0,13,0.8,1,1,0.4,0,0
0,28,2,0,0,0.28125,0,0
1,50,0.746667,0.8,1,0.1875,10,1
0,0,2,0,0,1,0,0
1,76,0.8,0.8,2,0.215909,1,0
0,3,2,0,0,0.666667,2,1
0,0,0.892857,0,1,0.62963,0,0
0,0,1.266667,0,0,0.833333,0,1
6,0,0.238095,0,1,0.265152,0,0
0,36,2,0,0,0.296296,0,0
0,91,0.686275,0.666667,0,0.222222,3,0
0,0,0.814815,0.444444,2,0.285714,8,0
7,36,2,0,0,0.285714,7,1
0,9,1,0,0,0.349206,5,1
2,10,2,0,0,0.4,0,0
0,10,2,0,0,0.466667,6,1
10,8,1.246296,0,0,0.333333,0,1
0,3,0.75,1,2,0.4,6,0
0,1,1.428571,0,0,1,0,1
0,13,2,0,0,0.388889,3,1
0,607,0.9,0,2,0.194595,0,0
0,0,0.305556,0.75,1,0.44,0,1
0,0,0.636364,1,0,0.55,1,0
0,1,1.3,0,0,1,0,0
