@relation 'xalan-2.5_deleteColumns-weka.filters.unsupervised.attribute.Remove-R1,4-5,7-9,11,18-20'

@attribute dit numeric
@attribute noc numeric
@attribute lcom numeric
@attribute lcom3 numeric
@attribute dam numeric
@attribute moa numeric
@attribute mfa numeric
@attribute cam numeric
@attribute ic numeric
@attribute cbm numeric
@attribute bug {1,0}

@data
4,0,3,2,0,0,0.990566,0.666667,1,1,0
4,0,0,2,0,0,1,1,0,0,1
4,0,23,0.555556,0,1,0.905263,0.28,3,22,0
7,0,0,0,0.75,3,0.985185,0.444444,3,4,1
2,0,932,0.568182,0.6,1,0.328125,0.175926,1,1,1
1,0,0,0.543478,1,0,0,0.316667,0,0,1
4,0,1,1.3,0,0,0.97619,1,0,0,0
1,0,508,0.7375,0.85,12,0,0.151562,0,0,1
2,0,6,1,0,1,0.966667,0.5625,0,0,0
5,0,15,2,0,0,0.977064,0.533333,2,4,1
3,0,15,2,0,0,0.975124,0.444444,2,6,1
1,0,1,2,0,0,0,0.666667,0,0,0
4,0,1,2,0,0,0.974359,0.5,2,3,1
3,0,0,0.333333,1,2,0.934211,0.305556,2,7,0
3,0,742,0.95,1,0,0.74,0.148218,3,14,0
1,0,0,0.694444,0,1,0,0.4,0,0,1
1,0,10,2,0,0,0,0.25,0,0,0
1,0,0,0.6875,1,0,0,0.555556,0,0,1
3,0,7,0.644444,1,2,0.861538,0.3,1,9,1
1,0,10,2,0,0,0,0.333333,0,0,0
2,0,0,0.841667,1,1,0.520958,0.114403,2,7,0
4,0,1,0.5,0,0,0.97619,1,0,0,1
4,0,1,0.5,0,0,0.97619,1,0,0,1
1,0,54,0.454545,1,1,0,0.533333,0,0,0
3,0,3,0.6,1,2,0.918033,0.361111,1,7,0
1,0,0,0.425,1,0,0,0.515152,0,0,1
2,0,0,0.485714,1,2,0.65,0.34375,1,5,1
4,0,1,1.423077,0,0,0.97619,1,0,0,0
5,0,1,2,0,0,0.982143,0.75,2,7,1
1,0,0,0.166667,1,1,0,0.75,0,0,1
3,2,3,2,0,0,0.972603,0.666667,0,0,0
1,0,0,2,0,0,0,1,0,0,1
1,0,6,2,0,0,0,0.55,0,0,0
1,0,0,2,0,0,0,1,0,0,0
1,0,221,0.964286,1,1,0,0.143939,0,0,1
2,0,0,0.111111,0,1,0.689655,0.325,1,1,0
1,0,3,2,0,0,0,0.5,0,0,1
4,0,1,0.5,0,0,0.97619,1,0,0,1
3,3,0,0.416667,1,2,0.934211,0.357143,2,4,0
4,1,40,0.638889,0.666667,3,0.946903,0.188034,4,11,1
4,1,8,0.541667,0.5,0,0.771429,0.269231,2,4,1
3,0,0,1.095238,0,0,0.944444,0.666667,0,0,1
1,0,0,2,0,0,0,1,0,0,0
2,0,0,0,1,1,0.684211,0.428571,1,5,0
3,4,27,0.888889,1,2,0.898734,0.288889,0,0,0
4,0,0,2,0,0,1,1,0,0,1
1,0,3,1.5,1,0,0,0.333333,0,0,0
6,0,0,2,0,0,1,1,0,0,0
6,5,1,0.333333,1,1,0.962406,0.342857,2,5,1
3,0,3,2,0,0,0.95,0.833333,0,0,1
3,0,0,0.285714,1,1,0.965517,0.270833,2,5,1
1,0,0,0.831481,1,3,0,0.214141,0,0,1
1,0,1009,0.966667,0,0,0,0.190217,0,0,0
1,0,10,2,0,0,0,0.2,0,0,1
1,1,0,0.333333,0.666667,1,0,0.475,0,0,1
2,1,0,0.333333,1,1,0.823529,0.5,1,4,0
1,0,1,2,0,0,0,0.5,0,0,1
1,0,36,1.125,0,0,0,0.555556,0,0,0
1,1,8,0.75,0,0,0,0.6,0,0,1
2,0,49,0.6,1,1,0.181818,0.275,0,0,1
1,0,0,2,0,0,0,1,0,0,0
1,0,3,0.329412,1,0,0,0.685185,0,0,1
3,0,1,2,0,0,0.97619,0.75,1,1,0
2,0,0,2,0,0,0,1,0,0,1
3,0,10,2,0,0,0.98,0.7,2,4,1
2,0,3,2,0,0,0.5,0.555556,0,0,0
3,0,3,2,0,0,0.952381,0.555556,1,1,0
1,0,375,0.780488,1,0,0,0.226481,0,0,0
2,0,0,0,0,0,0.966667,0.4,0,0,0
3,0,3,2,0,0,0.953488,0.555556,1,1,0
2,3,1581,0.878882,0.73913,4,0.557692,0.15102,2,11,1
4,0,4,1.282051,0,0,0.953488,0.5,2,2,0
3,0,0,0.416667,1,1,0.933333,0.333333,2,6,0
1,0,0,2,0,0,0,0,0,0,0
1,0,1,2,0,0,0,0.5,0,0,1
4,0,3,2,0,0,0.990566,0.666667,1,1,0
2,0,573,0.755102,0.785714,2,0.236364,0.153101,0,0,1
1,1,315,0.884444,0.888889,6,0,0.22,0,0,1
1,0,0,0.5,1,0,0,0.4375,0,0,0
3,0,0,0,0,1,0.964286,0.666667,1,1,0
1,0,469,0.578947,0,0,0,0.25641,0,0,1
1,0,0,0.333333,1,1,0,0.211538,0,0,0
1,0,151,0.941176,0,0,0,0.235294,0,0,1
5,0,14,0.839286,1,0,0.958333,0.47619,1,2,1
3,0,0,0,1,1,0.934211,0.285714,2,7,0
3,0,3,2,0,0,0.95,0.5,1,6,1
1,0,3,2,0,0,0,0.555556,0,0,0
3,11,101,0.821429,1,2,0.933333,0.348148,0,0,1
3,0,8,0.428571,1,1,0.965517,0.3,2,5,1
2,1,3,2,0,0,0.98913,0.761905,0,0,0
3,0,4,0.5,1,1,0.9375,0.36,2,5,1
1,1,0,0.422414,1,0,0,0.4,0,0,1
1,0,0,2,0,0,0,1,0,0,0
4,0,0,2,0,0,1,1,0,0,0
5,0,1,2,0,0,0.995283,0.625,2,2,0
1,0,1224,0.895408,0.828571,3,0,0.115288,0,0,1
1,0,0,0.59,1,0,0,0.261905,0,0,0
2,0,4,1,1,3,0.904762,0.5,1,1,1
1,0,254,0.892857,1,1,0,0.152727,0,0,0
1,1,19,0.833333,1,0,0,0.375,0,0,0
2,0,0,0.214286,1,0,0.722222,0.5,1,6,0
3,0,22,0.416667,0,0,0.865854,0.182692,2,22,1
3,0,0,2,0,0,1,1,0,0,1
1,0,0,0.711111,0,5,0,0.4,0,0,0
4,0,0,2,0,0,1,1,0,0,1
4,0,1,0.5,0,0,0.97619,1,0,0,1
2,0,3,0.733333,0,0,0.772727,0.458333,1,1,1
3,0,0,0.583333,1,2,0.910256,0.3125,2,7,0
3,10,8,1.24359,0,0,0.926829,0.333333,0,0,1
4,0,1,0.5,0,0,0.97619,1,0,0,1
5,0,1,2,0,0,0.982456,0.75,1,6,1
2,0,0,0.269231,1,1,0.785714,0.410714,1,1,0
1,0,0,0.640625,0.0625,1,0,0.242063,0,0,0
2,1,5826,0.967949,0.769231,3,0.47549,0.153846,0,0,0
2,3,143,0.714286,1,1,0.820755,0.217172,1,4,1
1,0,13,0.861111,0.75,2,0,0.571429,0,0,0
2,0,0,0.447368,0,2,0.540541,0.258333,1,1,0
4,0,1,2,0,0,0.979592,0.75,1,6,1
2,0,0,0.083333,0,1,0.5,0.230769,0,0,0
2,0,0,0.62963,1,1,0.590909,0.35,1,7,0
4,1,39,0.8,1,0,0.964286,0.309091,1,2,0
2,0,1,2,0,0,0.8,0.666667,0,0,1
3,0,0,0,1,1,0.946667,0.333333,2,7,0
6,0,1,2,0,0,0.984615,0.75,1,6,1
2,2,3,2,0,0,0.942857,1,0,0,0
4,0,2,0.333333,1,1,0.981308,0.4,1,2,0
1,0,12,0.625,1,0,0,0.416667,0,0,1
1,0,0,0.5,0,0,0,0.555556,0,0,0
5,0,1,2,0,0,0.995327,0.625,1,1,1
4,8,6,2,0,0,0.985915,0.55,1,1,1
1,0,70,0.795322,0.888889,0,0,0.214286,0,0,1
4,0,10,2,0,0,0.9819,0.6,3,7,1
4,0,0,0,1,0,0.944444,0.666667,0,0,0
4,0,15,1,0,0,0.9819,0.375,3,8,1
4,0,0,0.166667,0,1,0.931034,0.367347,3,16,1
1,1,0,2,0,0,0,1,0,0,1
3,3,6,2,0,0,0.978723,0.642857,0,0,0
4,0,1,2,0,0,0.989691,0.6,2,4,0
1,0,62,0.757813,1,1,0,0.441176,0,0,0
1,0,783,0.962585,0.166667,2,0,0.328042,0,0,1
3,0,4,0.571429,1,0,0.922078,0.325,2,8,0
3,0,0,0.583333,1,0,0.875,0.266667,2,6,0
1,0,0,0.361111,1,0,0,0.410256,0,0,1
1,0,0,0,1,1,0,0.5,0,0,0
5,0,1,2,0,0,0.982143,0.75,2,7,1
5,0,3,2,0,0,0.99095,1,1,1,0
1,0,0,0.6875,0.833333,0,0,0.291667,0,0,0
3,0,3,0.4,1,0,0.975124,0.444444,2,4,1
4,0,1,2,0,0,0.989691,0.6,2,4,1
1,0,0,2,0,1,0,1,0,0,1
3,0,1,2,0,0,0.97619,0.75,1,1,0
1,0,0,0.458333,1,1,0,0.416667,0,0,1
3,0,9,0.833333,1,1,0.934211,0.361111,2,12,0
1,0,14,0.809524,0.333333,1,0,0.619048,0,0,1
1,3,3,2,0,0,0,0.666667,0,0,0
1,0,0,0.833333,0,2,0,0.466667,0,0,1
4,0,3,2,0,0,0.979592,0.6,2,6,0
3,4,0,0.166667,1,1,0.970297,0.428571,0,0,1
5,4,6,0.375,0,1,0.875,0.355556,4,15,1
1,0,3,2,0,0,0,0.444444,0,0,0
1,0,121,0.680272,0.857143,4,0,0.180952,0,0,1
5,0,15,2,0,0,1,0.625,0,0,0
3,0,8,0.5,1,0,0.904762,0.4,1,6,1
1,0,8,0.607143,1,1,0,0.321429,0,0,1
2,0,0,0,1,0,0.684211,0.342857,1,2,0
1,0,10,0.586667,1,2,0,0.214815,0,0,1
3,0,0,0.55,1,4,0.923077,0.361111,2,5,1
1,0,552,0.919872,0.576923,7,0,0.18018,0,0,1
5,0,1,2,0,0,0.982143,0.75,2,7,1
1,2,157,0.993827,0.444444,1,0,0.157407,0,0,0
1,0,1,0.5,1,0,0,0.5,0,0,0
4,0,0,0,0,0,0.987342,0.666667,2,3,1
1,0,0,2,0,0,0,1,0,0,0
5,0,1,2,0,0,0.982456,0.75,1,6,1
4,2,0,0.919838,1,2,0.497354,0.180871,1,26,1
3,0,1,2,0,0,0.97561,0.75,1,1,0
3,0,68,0.765,1,4,0.78022,0.210884,2,8,1
1,0,300,1.041667,0,0,0,0.34,0,0,0
1,0,4,0.75,0.5,1,0,0.25,0,0,1
2,0,4,0.5,1,0,0.555556,0.325,0,0,1
3,0,369,0.903263,0.576923,0,0.384615,0.142857,1,2,1
1,0,8,0.552632,1,0,0,0.875,0,0,1
1,0,0,2,0,0,0,1,0,0,0
1,0,0,0.642857,0,0,0,0.666667,0,0,1
3,23,124,0.931373,0.882353,4,0.739583,0.128205,3,10,1
4,0,10,2,0,0,0.96,0.333333,3,12,0
1,0,10,2,0,0,0,0.6,0,0,0
4,8,1016,0.851307,0.833333,4,0.616,0.145105,2,9,1
1,0,37,0.777778,1,0,0,0.375,0,0,0
2,0,3,2,0,0,0.5,0.555556,0,0,0
1,0,0,0.733333,1,0,0,0.333333,0,0,0
2,0,0,0.4375,1,3,0.4,0.4,0,0,0
1,2,3240,1.0125,1,0,0,0.096708,0,0,0
1,19,59,0.807692,1,0,0,0.404762,0,0,1
2,0,0,0.833333,0,0,0.571429,0.5,1,4,0
1,0,42,0.625,0.5,0,0,0.340659,0,0,0
3,0,0,2,0,0,1,1,0,0,0
1,0,5992,0.794444,0,1,0,0.185185,0,0,1
2,0,1287,0.948889,0.92,6,0.5,0.101604,2,6,1
3,0,3,2,0,0,0.953488,0.555556,1,1,0
2,0,0,0,1,0,0.857143,0.533333,1,3,0
5,0,0,0,0,0,0.978417,0.285714,3,14,0
2,0,36,2,0,0,0.804878,0.351852,2,3,0
5,0,1,2,0,0,0.982143,0.75,2,7,1
2,0,0,0.125,1,1,0.789474,0.197531,1,7,1
3,0,0,0.083333,1,1,0.922078,0.306122,2,9,1
2,14,0,0.363636,1,2,0.731707,0.21875,1,7,0
1,0,1695,1.001916,0.333333,0,0,0.114224,0,0,1
3,2,1176,1,0,1,0.606838,0.122222,3,21,1
1,0,0,2,0,0,0,1,0,0,0
1,0,36,2,0,0,0,0.333333,0,0,0
2,0,13,0.9,1,1,0.871795,0.305556,1,1,0
1,0,268,0.562963,0.8,0,0,0.285714,1,1,1
1,0,3,1,1,0,0,0.5,0,0,1
2,0,0,0.657143,1,0,0.932692,0.35,0,0,0
5,0,8,0.75,1,2,0.899281,0.18125,3,10,0
1,0,36,2,0,0,0,0.333333,0,0,0
4,0,117,0.5,0.5,0,0.802721,0.150538,4,20,0
1,0,4,0.625,1,0,0,0.25,0,0,1
1,0,36,2,0,0,0,0.111111,0,0,1
2,0,19,0.833333,1,1,0.444444,0.333333,0,0,1
3,0,1,2,0,0,0.978261,0.666667,1,1,0
4,0,16,0.571429,0,1,0.966507,0.3,2,4,1
2,0,3,2,0,0,0.5,0.555556,0,0,0
1,0,6,2,0,0,0,0.583333,0,0,1
3,0,8,0.875,0.5,1,0.904762,0.44,0,0,1
3,0,3,0.4,1,1,0.918033,0.305556,1,6,1
1,0,45,1.111111,0,0,0,0.4,0,0,0
4,3,0,0.25,1,2,0.969697,0.366667,3,14,0
2,0,208,0.95,0,0,0.622642,0.21645,1,2,0
1,0,0,2,0,0,0,0,0,0,1
1,0,34,0.826389,0.75,0,0,0.201923,0,0,0
1,0,15,0.833333,0.5,0,0,0.233333,0,0,1
5,0,39,1.022222,0,1,0.96371,0.333333,3,7,1
4,0,1,0.5,0,0,0.97619,1,0,0,1
3,0,0,0.333333,1,1,0.949153,0.4,2,6,1
1,0,0,0.52381,0.833333,0,0,0.583333,0,0,1
3,0,3,2,0,0,0.953488,0.555556,2,2,0
4,0,6,2,0,0,0.969697,0.4375,2,4,0
1,0,0,0.7,0,0,0,0.722222,0,0,1
5,0,1,2,0,0,0.982143,0.75,2,7,1
1,0,3,0.733333,0.777778,3,0,0.328571,0,0,1
1,0,1,1,0,1,0,1,0,0,0
1,1,0,0.342105,1,0,0,0.6,0,0,1
2,0,188,0.947368,1,0,0.1,0.25,0,0,1
3,1,1,0.5,1,0,0.974359,1,0,0,1
4,0,0,0.083333,1,4,0.969697,0.458333,3,7,0
2,7,819,0.95393,0.111111,0,0.428571,0.112245,2,8,1
1,0,28,2,0,0,0,0.5,0,0,1
1,2,3,0.56,0,1,0,0.375,0,0,0
4,0,1,2,0,0,0.979592,0.75,1,6,1
1,0,0,0.666667,1,0,0,0.5,0,0,0
4,0,6,0.65,0.4,0,0.941176,0.4375,2,8,1
1,0,0,0.333333,1,0,0,0.333333,0,0,0
1,0,1,2,0,0,0,1,0,0,1
1,0,0,0.25,1,0,0,0.533333,1,1,1
1,10,526,0.998047,0,16,0,0.234375,0,0,0
1,0,223,0.634483,0.6,0,0,0.2,0,0,1
5,0,54,0.9,1,0,0.926174,0.21875,2,5,0
4,0,0,2,0,0,1,1,0,0,1
4,0,4,1.285714,0,0,0.953488,0.5,2,2,1
5,0,0,0.142857,1,1,0.933962,0.270833,4,5,0
1,0,0,2,0,0,0,1,0,0,0
3,0,23,0.798319,1,8,0.811594,0.214286,2,3,1
4,0,1,1.428571,0,0,0.97619,1,0,0,1
5,0,1069,0.939909,0.944444,11,0.853659,0.07913,3,6,1
3,0,0,0.5,1,0,0.5,0.220238,1,2,0
1,0,0,0.25,0,1,0,0.3,0,0,0
4,0,1,1.3,0,0,0.97619,1,0,0,0
1,0,66,2,0,0,0,0.444444,0,0,1
4,0,0,0,1,0,1,0.777778,0,0,0
4,0,1,1,1,0,0.975904,0.466667,0,0,0
4,0,1,2,0,0,0.989691,0.625,2,4,0
4,0,1,2,0,0,0.989691,0.6,2,5,0
3,0,0,0.5,1,1,0.903226,0.285714,1,6,0
2,0,24,2,0,0,0.653846,0.395833,1,14,1
3,0,3,2,0,0,0.95,0.5,1,6,1
3,1,79,0.735294,0.5,1,0.920188,0.136752,2,6,1
3,0,1,0.7,0.4,0,0.571429,0.349206,2,6,1
1,0,2145,1.015385,0,0,0,0.277056,0,0,1
4,0,0,2,0,0,1,1,0,0,0
2,0,34,0.778947,1,4,0.40625,0.242857,1,7,0
4,0,6,2,0,0,0.985366,0.625,2,4,1
2,1,0,0.333333,1,2,0.65,0.34375,1,5,0
6,1,50,0.831579,1,1,0.838983,0.225,3,8,1
1,0,4,0.25,1,0,0,0.4,0,0,1
4,1,1,2,0,0,1,0.6,0,0,0
1,0,0,2,0,3,0,1,0,0,1
1,0,0,2,0,0,0,1,0,0,0
2,0,21,2,0,0,0.25,0.5,0,0,1
1,0,1,1,1,0,0,1,0,0,0
1,0,50,0.65625,1,0,0,0.196078,0,0,1
4,1,0,0.392857,0,0,0.62963,0.311111,1,2,0
1,0,0,0.5,0.5,1,0,0.357143,0,0,1
1,0,0,0.45,1,0,0,0.606061,0,0,1
4,0,0,0,1,1,0.979592,0.444444,3,13,0
2,1,4,2,0,0,0.823529,0.5,1,4,0
3,1,0,2,0,0,1,1,0,0,0
1,0,1,2,0,0,0,0.666667,0,0,0
3,0,190,0.936455,0.307692,0,0.47619,0.202899,1,2,0
1,0,0,0.4875,1,0,0,0.264706,0,0,0
3,0,2,1,1,1,0.9375,0.4,3,7,1
2,0,0,0,1,1,0.65,0.34375,1,5,0
5,0,3,2,0,0,0.99,0.533333,3,5,0
4,0,4,0.25,1,2,0.96,0.4,3,14,0
1,0,4,0.666667,0,0,0,0.555556,0,0,0
1,0,15,1.2,0,0,0,0.533333,0,0,0
1,1,440,0.79321,0.722222,3,0,0.289189,0,0,0
3,2,6,2,0,0,0.959459,0.4375,2,4,0
1,0,0,0,1,2,0,0.666667,0,0,0
2,0,0,0,0,1,0.740741,0.416667,1,1,0
4,0,3,2,0,0,0.979592,0.444444,3,13,0
1,0,66,0.952899,0.043478,7,0,0.266667,0,0,0
1,0,211,0.656566,1,3,0,0.196078,0,0,1
1,0,0,2,0,0,0,1,0,0,0
1,1,0,0.3375,1,0,0,0.5,0,0,1
6,0,6,2,0,0,0.955224,0.5,2,8,1
4,0,21,2,0,0,0.923077,0.339286,2,7,1
4,0,1,2,0,0,0.987805,0.6,0,0,0
1,0,561,2,0,0,0,0.119485,0,0,0
2,0,0,0.25,1,1,0.4,0.466667,0,0,0
2,0,0,0.55,0.5,1,0.583333,0.409091,1,3,0
1,0,171,2,0,0,0,0.381579,0,0,0
4,0,0,0.076923,1,1,0.941704,0.295918,2,3,0
3,0,0,0.5,1,3,0.934211,0.285714,2,8,0
3,0,1,0.5,1,1,0.965517,0.555556,1,4,0
1,0,666,2,0,0,0,0.191892,1,1,0
1,0,0,2,0,0,0,0,0,0,0
1,0,0,0.75,0,2,0,0.158508,1,1,1
5,0,1,2,0,0,0.982143,0.75,3,8,1
4,0,1,2,0,0,0.979592,0.75,1,6,1
1,0,990,1.022727,0,0,0,0.172222,0,0,1
3,0,29,0.825,1,0,0.951456,0.340909,2,5,1
2,0,0,0.5,1,1,0.590909,0.35,1,8,0
4,1,15,0.333333,1,0,0.972222,0.5,1,1,0
4,0,1,1.423077,0,0,0.97619,1,0,0,0
2,0,0,0.171429,1,1,0.65,0.3125,1,2,0
1,0,202,0.851541,1,3,0,0.185315,0,0,1
1,0,1,2,0,0,0,0.5,0,0,0
4,0,1,1.3,0,0,0.97619,1,0,0,0
1,0,0,2,0,0,0,0,0,0,0
1,0,0,2,0,0,0,1,0,0,1
5,0,3,2,0,0,0.990698,0.583333,2,4,0
1,0,0,2,0,0,0,1,0,0,1
3,0,6,2,0,0,0.949153,0.4,1,3,0
3,0,0,0.2,1,0,0.918033,0.333333,1,3,0
4,0,1,1.428571,0,0,0.97619,1,0,0,1
4,0,3,2,0,0,0.979592,0.5,2,4,0
4,0,1,0.5,0,1,0.990868,0.555556,0,0,0
2,1,36,2,0,0,0.6,0.314815,0,0,0
4,0,0,0.166667,1,3,0.979592,0.444444,3,14,0
1,0,0,2,0,0,0,0,0,0,0
1,0,335,0.667917,0.923077,1,0,0.125397,0,0,0
3,0,15,0.825,0.5,2,0.951456,0.191919,2,9,1
2,0,5,0.8,0,0,0.642857,0.444444,0,0,0
1,0,0,0,1,0,0,0.36,0,0,0
5,0,1,2,0,0,0.982143,0.75,2,7,1
1,0,6,2,0,0,0,0.4,0,0,0
1,0,0,0.25,1,1,0,0.464286,0,0,1
2,10,10,2,0,0,0.931034,0.44,1,4,0
3,0,0,0.5,1,2,0.918033,0.305556,2,10,1
1,1,4056,0.922303,0.777778,14,0,0.173913,0,0,1
4,0,1,1.3,0,0,0.97619,1,0,0,0
6,0,10,2,0,0,0.941176,0.4,2,8,1
5,0,0,0.883142,1,1,0.954545,0.211111,2,8,0
4,0,1,2,0,0,0.979592,0.75,2,7,1
3,0,17,0.888889,1,1,0.903226,0.309524,1,4,0
6,1,6,0.375,0,1,0.888889,0.355556,5,22,1
1,0,0,2,0,0,0,0,0,0,0
2,0,280,0.890625,1,5,0.295455,0.140152,0,0,1
2,0,0,0.25,0,0,0.966667,0.4,0,0,0
4,0,3,2,0,0,0.96,0.47619,1,7,1
5,0,8,0.78125,0.25,6,0.954286,0.269841,2,20,1
1,0,1,1,0,0,0,0.5,0,0,1
3,0,53,0.785714,1,5,0.933333,0.293333,2,6,1
3,0,27,0.666667,1,2,0.937799,0.25,3,4,1
4,0,3,2,0,0,0.990566,0.666667,2,3,0
4,1,4,0.666667,1,0,0.990868,0.45,0,0,0
1,0,0,0.65,1,2,0,0.466667,0,0,0
4,0,1,1.3,0,0,0.97619,1,0,0,0
4,0,1,1.3,0,0,0.97619,1,0,0,0
1,0,181,0.979798,0,0,0,0.25,0,0,1
2,0,18,0.904762,0.866667,0,0.5,0.328571,0,0,1
3,0,3,0.6,1,0,0.975124,0.666667,1,2,1
5,1,0,0.4375,1,2,0.892857,0.165775,2,9,1
3,0,121,0.852381,1,4,0.740741,0.140496,2,7,1
4,0,1,0.5,0,0,0.97619,1,0,0,1
1,1,0,2,0,4,0,1,0,0,1
5,0,1,2,0,0,0.982143,0.75,3,8,1
1,0,1,2,0,0,0,0.666667,0,0,0
1,0,0,1.211538,0.051282,1,0,0.375,0,0,0
5,0,3,2,0,0,0.990698,0.583333,1,2,0
4,0,2,0.666667,1,0,0.975904,0.466667,0,0,0
1,0,1275,1.02,0,0,0,0.181373,0,0,1
1,0,1,2,0,0,0,1,0,0,1
2,0,0,0.333333,1,1,0.5,0.583333,0,0,0
4,3,472,0.96875,0,6,0.801471,0.173611,3,30,1
1,6,3,2,0,0,0,0.555556,0,0,0
3,0,617,0.86031,1,9,0.830508,0.136298,2,7,1
1,0,0,2,0.015625,0,0,1,0,0,1
3,0,0,0.65,1,3,0.918033,0.305556,1,6,1
2,0,10,2,0,0,0.5,0.35,2,5,0
1,0,0,0.679426,0.454545,2,0,0.163793,0,0,1
4,0,1,1.3,0,0,0.97619,1,0,0,0
3,0,0,0.62963,0.666667,2,0.898734,0.269841,2,9,0
3,15,0,0.3,0,1,0.791667,0.345455,2,4,1
4,1,1,2,0,0,0.995261,0.625,2,2,0
3,0,3,2,0,0,0.953488,0.555556,1,1,0
1,0,0,0.081081,1,0,0,0.192105,1,1,0
2,0,0,0.444444,0,2,0.727273,0.5625,1,4,1
3,0,0,0.333333,1,0,0.959459,0.4,2,7,0
3,0,0,0.808333,1,3,0.633846,0.134444,1,18,1
1,0,0,0.472222,1,1,0,0.4,0,0,1
1,0,27,0.596154,0.05,0,0,0.162393,0,0,0
1,0,1,1.456897,0.896552,0,0,0.5,0,0,1
2,0,7393,0.942357,0.74359,16,0.092199,0.053124,1,2,1
4,3,64,0.854167,1,1,0.878788,0.230769,2,3,0
1,0,0,0.75,1,2,0,0.228758,0,0,1
3,2,189,0.942857,0.8,4,0.903226,0.181818,2,14,1
1,0,0,0.166667,1,0,0,0.342857,0,0,1
1,0,36,2,0,0,0,0.333333,0,0,0
2,22,115,0.838235,1,3,0.760563,0.285714,1,2,1
2,0,185,0.52381,1,0,0.622642,0.199301,2,4,0
2,1,2,0.625,0.5,1,0.823529,0.5,1,4,0
5,2,22,0.75,1,1,0.925234,0.259259,3,4,0
4,0,1,0.5,0,0,0.97619,1,0,0,1
5,0,36,2,0,0,0.963801,0.314815,4,10,1
5,0,28,0.5,1,1,0.927928,0.416667,2,8,0
1,0,21,2,0,0,0,0.404762,0,0,1
4,0,0,0,1,4,0.979592,0.444444,3,13,0
3,0,0,0.185185,1,2,0.8875,0.257143,2,9,0
1,0,903,1.02381,0,0,0,0.261628,0,0,0
3,0,258,2,0,0,0.880208,0.361111,2,14,1
3,1,212,0.625,1,2,0.682692,0.171171,2,9,0
5,0,6,2,0,0,0.963855,0.625,0,0,0
4,0,1,2,0,0,0.995261,0.625,2,2,1
2,0,0,0.666667,1,3,0.565217,0.309091,1,7,0
3,0,1,0.5,1,0,0.974359,1,0,0,0
4,0,1,0.5,0,0,0.97619,1,0,0,1
5,0,1,2,0,0,1,0.833333,0,0,1
4,0,1,0.5,0,0,0.97619,1,0,0,1
4,0,1,1.423077,0,0,0.97619,1,0,0,0
3,0,1,2,0,0,0.97619,0.75,1,1,0
2,0,199,0.571429,1,0,0.622642,0.215909,2,4,0
4,0,4,0.484848,0.333333,0,0.921875,0.25,3,15,0
6,0,0,0.25,1,0,0.979021,0.366667,1,1,1
3,0,37,0.888889,1,0,0.956098,0.4,1,1,0
4,0,1,0.5,0,0,0.97619,1,0,0,1
1,0,0,1.024837,0.04902,0,0,0.411111,0,0,1
