@relation jedit-4.1_deleteColumns-weka.filters.unsupervised.attribute.Remove-R4-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.Remove-R6

@attribute dit numeric
@attribute noc numeric
@attribute lcom numeric
@attribute ca numeric
@attribute ce numeric
@attribute lcom3 numeric
@attribute loc numeric
@attribute dam numeric
@attribute moa numeric
@attribute mfa numeric
@attribute cam numeric
@attribute ic numeric
@attribute cbm numeric
@attribute amc numeric
@attribute max_cc numeric
@attribute avg_cc numeric
@attribute bug {1,0}

@data
2,0,0,1,4,0.125,206,1,0,0.7,0.35,1,3,39.8,11,4,0
2,0,2,2,8,0.555556,176,0.333333,0,0.857143,0.5,1,1,42.25,1,0.75,0
2,0,0,2,7,0.285714,167,1,0,0.695652,0.40625,1,2,19.75,4,1.875,0
1,0,0,1,1,0.222222,62,1,0,0,0.666667,0,0,13.75,3,1.75,0
2,0,0,4,5,0.272727,176,0,0,0.615385,0.35,1,2,13.583333,4,1.75,0
1,0,105,8,5,1.071429,913,0.428571,0,0,0.237037,0,0,59.4,29,7.2667,0
1,2,26,10,2,0.857143,28,1,1,0,0.275,0,0,2.375,1,0.875,0
2,0,10,2,13,1.071429,162,0,0,0.818182,0.72,0,0,30,1,0.8,0
5,0,1606,26,36,0.942356,1917,0.684211,5,0.913287,0.139063,3,12,28.359375,21,2.3594,1
6,0,40,3,7,0.858586,342,1,1,0.983824,0.5,4,10,26.75,5,1.5,1
1,0,3,7,2,0.666667,230,1,1,0,0.35,0,0,21.5,5,1.8,1
2,0,25,3,6,0.75,161,0.5,0,0.615385,0.386364,1,2,13.454545,5,2.2727,0
2,0,24,8,9,0.818182,1304,0.636364,1,0.831169,0.373333,1,7,79.8125,14,2.6875,1
6,19,10,22,3,0.5,56,1,1,0.995413,0.44,0,0,10,1,0.6,0
5,0,184,14,20,0.831909,868,1,4,0.960294,0.145604,1,4,29.535714,15,2.3571,1
2,0,1,2,5,1,22,0,0,0.947368,0.625,1,1,9.5,1,0.5,0
3,0,2,6,0,0.75,36,1,0,0.809524,0.466667,1,1,5.4,1,0.8,0
2,0,0,6,2,2,5,0,0,1,1,0,0,4,0,0,0
5,17,67,18,2,0.711538,395,1,0,0.98048,0.446429,0,0,26.928571,2,1.2143,0
1,13,12,13,2,0.761905,65,1,2,0,0.354167,0,0,6.75,3,1.25,0
4,0,0,1,1,0.444444,195,1,0,0.995378,0.375,1,3,46.25,2,1.25,1
3,0,3,0,3,2,33,0,0,1,0.75,0,0,10,0,0,0
1,0,291,6,17,0.875,755,0.875,2,0,0.125874,0,0,26.666667,12,2.5185,1
1,2,8,2,3,0.428571,149,1,0,0,0.4375,0,0,17.5,9,2.875,1
1,2,15,4,5,0.583333,81,1,2,0,0.457143,0,0,10.285714,3,1.4286,0
1,5,6,9,0,2,11,0,0,0,0.75,0,0,1.75,1,0.75,0
1,0,0,2,0,2,191,0,0,0,0,0,0,152,0,0,0
1,0,210,11,31,0.683871,1566,0.9,2,0,0.136719,0,0,47.625,31,4.25,1
6,0,65,9,11,0.738095,512,1,1,0.981735,0.253333,1,1,32.533333,8,1.2667,0
2,0,3,4,7,2,79,0,0,0.9,0.533333,1,1,25.333333,1,0.6667,0
6,0,18,4,9,0.71875,210,1,1,0.988183,0.5,4,12,21.888889,2,1,0
1,0,9,18,3,0.611111,141,0.666667,1,0,0.208333,0,0,18.714286,5,1.4286,0
1,0,100,4,0,0.7,679,0.8,0,0,0.323529,0,0,38.352941,13,2.4118,0
6,0,0,1,4,0.7,507,1,10,0.997019,1,3,5,120.75,6,2,0
2,0,3,1,3,1.0625,283,0,0,0.636364,0.285714,1,2,43.5,24,5,0
3,0,8,0,4,0.375,176,1,2,0.818182,0.366667,2,3,33,7,2.6,0
2,0,1,2,2,2,8,0,0,0.888889,0.625,0,0,3,1,0.5,0
8,0,6,3,13,2,119,0,0,0.996516,0.875,0,0,28.75,7,2.25,0
1,0,35,1,2,0.6,52,1,1,0,0.424242,0,0,3.636364,1,0.9091,0
6,0,4,2,4,0.25,353,1,2,0.994056,0.5,1,3,67.2,5,1.6,0
2,0,4,1,3,0.666667,55,1,0,0.7,0.375,1,2,12.25,6,2,0
6,0,4,2,6,0.464286,247,1,2,0.994056,0.5,2,4,47,4,1.8,0
8,0,6,3,14,2,132,0,0,0.996516,0.875,0,0,32,7,2.25,0
1,0,200,41,16,0.871212,375,0.909091,3,0,0.113095,0,0,13.56,8,1.56,1
1,0,13,0,2,0.6,375,0,0,0,0.28,0,0,61.333333,11,3,0
3,0,0,8,1,1.222222,71,0.133333,0,0.85,0.5,1,1,13,1,0.75,0
2,0,1,3,8,2,65,0,0,0.947368,0.625,0,0,31.5,1,0.5,0
1,0,10,1,0,2,206,0,0,0,0.3,0,0,40.2,6,3,0
1,0,91,6,15,0.708333,1313,0.625,1,0,0.274854,0,0,67.684211,5,1.6316,0
2,0,0,2,3,0.375,127,1,0,0.636364,0.3,1,2,24,4,1.6,0
7,0,6,3,4,0.75,214,1,0,0.993939,0.3,2,5,41.4,1,0.8,0
3,0,8,0,4,0.375,176,1,2,0.818182,0.366667,2,3,33,7,2.6,0
1,0,78,7,0,2,13,0,0,0,0.430769,0,0,0,1,1,0
6,0,3,3,5,0.533333,214,1,1,0.994994,0.32,2,11,33.666667,8,2.5,0
1,0,53,5,6,0.782609,477,0.043478,2,0,0.373737,0,0,40.272727,7,3.0909,0
3,0,2,1,2,0.642857,289,1,0,0.987988,0.7,2,6,55.4,2,1,1
6,0,38,5,11,0.8,307,1,1,0.983824,0.25,4,12,24.166667,3,1.5833,1
7,0,9,3,8,0.8,299,1,0,0.992436,0.388889,0,0,48.333333,1,0.8333,0
5,0,5,6,7,0.828571,536,1,3,0.993056,0.3,0,0,87.166667,3,1.5,0
7,5,8,6,3,0.625,121,1,0,0.99536,0.6,2,2,22.8,6,1.8,0
1,0,13,5,0,0.5,65,1,0,0,0.166667,0,0,8,4,1.5714,0
7,0,133,3,4,0.79798,646,1,0,0.97619,0.180556,3,5,32.421053,5,1.1053,0
2,0,1,2,10,0.875,134,0,2,0.9,0.555556,1,3,42.333333,1,0.6667,0
8,0,13,3,24,0.933333,233,1,3,0.997028,0.5,1,1,37.333333,3,0.6667,0
1,0,1,4,1,2,2,0,0,0,0.625,0,0,0,1,1,0
4,0,23,2,2,0.533333,492,0.333333,1,0.764706,0.272727,2,4,43.181818,14,3.2727,0
1,0,3,5,0,1.4375,23,0,2,0,0.5,0,0,4,2,1,0
2,0,3649,0,8,2,696,0,0,0.105263,0.056202,0,0,7.093023,3,1.0233,0
2,0,1,1,3,2,10,0,0,0.75,0.75,0,0,4,1,0.5,0
2,0,0,2,8,0.625,879,0.666667,2,0.5,0.25,0,0,122.857143,3,1.4286,1
2,0,11,2,12,0.914286,1839,0.333333,3,0.375,0.236364,0,0,164.272727,20,5.0909,1
8,0,4,3,13,0.666667,237,1,0,0.996516,0.666667,0,0,58,19,5.25,0
6,0,3,6,3,2,46,0,0,0.997382,0.833333,0,0,14.333333,1,0.6667,0
2,0,1,5,5,2,30,0,0,0.947368,0.625,0,0,14,1,0.5,0
1,0,0,5,8,0.5,158,0,0,0,0.466667,0,0,30,5,1.8,0
5,0,0,4,1,0.571429,419,1,0,0.989394,0.625,0,0,51,12,3.375,0
7,0,1,2,4,0.5,40,1,1,0.997399,0.4,1,1,12,1,0.6667,0
1,0,1,0,7,0.714286,343,0.285714,0,0,0.2,0,0,47,11,3.5714,0
6,0,42,3,10,0.796296,512,1,5,0.982379,0.5,3,5,37.692308,9,2.1538,1
3,0,1,7,0,2,9,0,0,1,0.75,0,0,3.5,0,0,0
2,0,31,1,5,0.8,223,1,1,0.565217,0.333333,1,3,18.545455,8,2.2727,0
8,0,6,2,8,2,129,0,0,0.996516,0.875,0,0,31.25,8,2.5,0
7,0,15,6,18,0.793651,606,1,2,0.986466,0.25,3,6,58.9,17,3.4,1
2,0,1,1,6,2,28,0,0,0.947368,0.625,1,1,13,1,0.5,0
1,1,1358,37,18,0.94026,1757,0.380952,4,0,0.11016,0,0,30,7,1.6964,1
6,0,206,18,6,0.772487,615,1,1,0.970588,0.219388,3,7,20.714286,13,2.3571,0
1,0,0,4,0,0.5,66,1,0,0,0.75,0,0,9.666667,2,1,0
5,0,0,2,5,0.666667,119,1,0,0.993912,0.4,0,0,22.2,1,0.8,1
1,0,0,1,0,2,6,0,0,0,1,0,0,3,0,0,0
2,0,190,4,9,1,690,0,0,0.672414,0.4,2,3,33.4,8,3,1
6,0,0,2,3,0.714286,406,1,0,0.994056,0.5,3,5,77.4,5,1.8,0
7,0,51,2,13,0.782051,774,1,0,0.980568,0.214286,0,0,53.428571,6,1.7857,0
1,36,147,47,7,0.888889,240,0.5,4,0,0.233083,0,0,11.315789,6,1.6316,0
2,0,0,1,2,2,5,0,0,1,1,0,0,4,0,0,0
2,0,1,2,8,2,40,0,0,0.947368,0.6,1,2,18.5,1,0.5,0
1,0,1,6,1,2,2,0,0,0,1,0,0,0,1,1,0
1,0,293,11,4,0.925339,293,1,7,0,0.136364,0,0,9.222222,4,1.1481,1
1,0,0,4,10,0.619048,207,0.857143,4,0,0.6,0,0,49,9,2.5,0
2,0,16,4,19,0.770833,404,1,4,0.428571,0.246914,0,0,43.222222,11,2.7778,0
1,0,0,2,3,0,204,1,0,0,0.535714,0,0,28,3,2.1429,1
2,0,26,3,4,0.857143,72,0,0,0.872727,0.333333,0,0,7.875,2,1,0
2,1,71,8,10,0.789916,460,1,2,0.15,0.208333,0,0,24.166667,14,2.5556,1
1,0,1,2,1,2,2,0,0,0,0.75,0,0,0,1,1,0
1,0,0,8,2,0,89,1,0,0,0.375,0,0,13.666667,4,1.8333,1
3,0,15,2,0,1.12,184,0,0,0.85,0.5,1,1,28.833333,14,2.8333,0
1,0,0,39,2,0,135,1,0,0,0.484848,0,0,11.181818,2,1.1818,0
5,0,60,14,20,0.794643,429,0.857143,1,0.976084,0.235294,3,12,23.823529,9,1.8824,1
8,0,21,1,11,2,157,0,0,0.993056,0.314286,1,7,21.428571,6,2.2857,0
2,0,1,1,9,2,106,0,0,0.947368,0.625,2,2,52,1,0.5,0
2,0,1,4,4,0.694444,246,0.75,1,0.829787,0.444444,1,1,23.2,3,1.6,0
2,0,3,1,5,0.771429,215,0.857143,0,0.722222,0.722222,1,3,33.666667,7,3,0
2,0,1,0,1,2,16,0,0,0.75,0.75,1,1,7,2,1,0
2,0,1,1,5,2,24,0,0,0.954545,0.75,0,0,11,1,0.5,0
5,0,43,4,5,0.666667,219,1,0,0.990654,0.375,1,1,20.8,4,1.6,0
2,0,1,1,3,0.5,106,1,0,0.777778,0.444444,1,2,34,11,4,0
1,0,0,1,6,0.736111,392,1,2,0,0.404762,0,0,53.285714,11,4.2857,1
7,0,2,1,5,0.611111,461,1,2,0.993939,0.4,0,0,89.4,6,2.6,0
2,0,2,1,4,0.5625,198,0.75,0,0.935484,0.466667,1,7,37.8,8,2.2,0
6,0,26,3,6,0.449198,650,1,3,0.983824,0.5,1,3,51.75,3,1.3333,1
1,0,15,1,0,2,6,0,0,0,0.75,0,0,0,1,1,0
4,0,13445,52,34,0.887106,9017,0.639344,10,0.731597,0.080053,3,19,36.472803,32,3.5774,1
2,0,1,3,6,1,54,0,0,0.947368,0.666667,1,2,24.5,1,0.5,0
1,1,6,2,2,0.666667,37,1,1,0,0.5,0,0,8,2,1,0
7,0,77,8,11,0.849206,584,1,1,0.979104,0.355556,0,0,37.333333,9,1.5333,0
7,0,52,1,7,0.709091,284,1,2,0.983508,0.277778,0,0,22.25,3,1.3333,0
1,0,3,0,9,1,54,0,0,0,0.333333,0,0,16.666667,3,1.3333,1
1,0,15,4,3,2,34,0,0,0,0.611111,0,0,4.666667,2,1,0
5,0,105,8,17,0.822222,477,1,3,0.973174,0.336842,2,5,23.578947,10,1.4211,1
7,0,67,3,7,0.888889,356,0.888889,1,0.980568,0.285714,0,0,23.785714,3,1.0714,0
2,0,30,1,1,0.805556,115,1,0,0.571429,0.269231,0,0,7.384615,2,1.0769,0
7,0,542,8,26,0.831502,1807,0.892857,5,0.946609,0.186813,2,3,43.475,15,2.175,1
2,0,0,1,4,0,87,0,1,0.777778,0.444444,1,2,27.333333,7,3,0
1,0,0,6,1,1.015625,368,0.104167,17,0,0.40625,0,0,34.555556,2,1,0
2,0,3,1,10,1,102,0,0,0.9,0.444444,1,1,32.666667,6,2.3333,0
1,0,0,9,7,0.492857,1738,1,3,0,0.251701,0,0,81.428571,35,9.0952,0
1,5,54,28,3,0.727273,49,1,0,0,0.3125,0,0,3,1,0.9167,0
2,0,5,3,7,0.72,377,1,0,0.924242,0.305556,0,0,61,13,3.8333,0
1,0,0,12,0,2,617,0,0,0,0,0,0,496,0,0,0
2,0,1,1,3,0.5,71,1,0,0.777778,0.444444,1,2,22.333333,6,2.3333,0
6,0,28,2,3,0.818182,269,1,0,0.983824,0.5,2,4,20.666667,1,0.9167,0
6,0,1420,125,37,0.949153,1722,0.515152,9,0.916193,0.082456,2,3,27.15,20,2.8,1
1,4,471,29,15,0.969697,679,0.333333,0,0,0.242424,0,0,18.617647,5,1.5588,1
3,0,16,1,1,0.714286,49,1,0,0.911392,1,0,0,4.875,1,0.875,0
1,0,10,0,2,2,12,0,0,0,0.8,0,0,1.4,1,0.8,1
2,0,3,1,3,2,20,0,0,0.777778,0.466667,1,2,5.666667,1,0.6667,0
2,0,0,1,3,0.444444,80,1,0,0.7,0.357143,1,2,18.25,5,1.75,0
1,0,9847,99,51,0.929969,5007,0.714286,12,0,0.077948,0,0,32.727891,39,3.7959,1
7,0,32,2,9,0.872727,720,1,3,0.983508,0.291667,1,1,57.75,8,1.5,1
6,0,1,1,2,0.5,263,1,0,0.997019,1,2,4,84,5,2,0
4,0,0,17,0,2,5,0,0,1,1,0,0,4,0,0,0
1,0,61,4,7,0.307692,314,1,1,0,0.320513,0,0,21.357143,8,2.5,1
2,0,1,1,6,2,36,0,0,0.947368,0.625,1,1,17,1,0.5,0
2,0,0,4,6,0.444444,123,1,0,0.538462,0.285714,1,1,16.142857,3,1.1429,0
5,0,153,29,18,0.897306,1181,0.888889,3,0.967407,0.173913,1,7,49.173913,18,2.913,1
2,0,4,1,4,0.833333,109,0,0,0.769231,0.4,0,0,25.75,3,1.75,0
1,0,26,15,6,0.733333,274,1,3,0,0.338462,0,0,19.692308,5,2.1538,0
2,0,4,1,6,0.5,153,0,0,0.818182,0.366667,0,0,29.4,10,4,0
6,0,3,7,5,0.7,263,0.3,0,0.994483,0.314286,2,2,41.166667,11,3.3333,1
1,0,23,3,9,0.65,479,1,1,0,0.4,0,0,42.181818,3,1.0909,1
1,0,15,4,1,2,6,0,0,0,1,0,0,0,1,1,0
6,0,1,1,4,0.5,435,1,9,0.997019,1,3,5,137.333333,2,1.3333,0
1,0,0,2,1,0.46875,273,1,0,0,0.6,0,0,52,10,3.8,0
1,0,38,76,1,0.892857,446,0.5,0,0,0.178571,0,0,32.230769,7,2.3846,0
1,0,3,1,2,1,13,0,1,0,0.625,0,0,3,1,0.3333,0
3,3,43,53,1,0.5,154,0,1,0.566667,0.577778,1,2,9.133333,3,1.3333,0
2,0,24,3,2,0.818182,253,0,0,0.592593,0.395833,1,2,19.833333,6,2.0833,0
1,0,1039,45,21,0.778867,1684,0.117647,5,0,0.126362,0,0,29.309091,32,1.6,1
3,0,38,3,7,0.666667,670,0.777778,0,0.729167,0.185185,2,5,40.3125,24,4.875,1
6,0,25,3,8,0.716667,349,1,0,0.985272,0.5,3,5,30.181818,6,1.9091,1
6,0,1,1,3,0.5,159,1,1,0.997019,1,1,3,50,1,0.6667,0
2,0,6,1,3,2,86,0,0,0.928571,0.6,1,1,20.5,2,1,0
2,0,37,4,4,0.760684,429,0.888889,1,0.824324,0.22449,0,0,29,5,1.5,0
2,0,15,3,14,1.114286,286,0,0,0.782609,0.611111,0,0,45.5,1,0.8333,0
1,0,43,4,11,0.661765,785,0.875,0,0,0.104575,0,0,42.166667,18,3.1111,0
2,0,1,3,1,1,10,0,0,0.947368,0.75,0,0,3.5,1,0.5,0
2,0,78,1,15,0.875269,1296,1,5,0.464286,0.265625,1,3,78.0625,35,6,1
6,0,34,3,6,0.9375,91,1,2,0.987749,0.592593,3,3,8.888889,1,0.8889,1
1,0,6,4,1,2,4,0,0,0,0.916667,0,0,0,1,1,1
1,0,30,5,13,0.796875,1525,0.9375,4,0,0.215385,0,0,115.076923,42,8.8462,1
6,0,3,5,2,2,66,0,0,0.997382,0.444444,0,0,21,2,1,0
1,2,59,17,1,0.807692,117,0,0,0,0.297619,0,0,7.071429,5,1.0714,1
1,1,1,9,1,1.347826,138,0,2,0,0.4,0,0,37.333333,15,5.3333,0
4,0,988,14,14,0.960918,1107,0.677419,5,0.925501,0.101415,3,25,19.301887,7,1.6038,1
1,0,3,1,4,0.751701,6280,0.166667,1,0,0.5,0,0,124.12,167,8.76,0
1,0,0,1,1,0,59,1,0,0,0.666667,0,0,13.25,3,1.75,0
1,0,0,14,0,0.666667,28,1,0,0,0.5,0,0,5.25,1,0.75,0
1,0,0,7,1,0.625,64,1,1,0,0.428571,0,0,7.571429,2,1.1429,0
2,1,1019,19,25,0.946488,2549,0.461538,2,0.148936,0.230072,1,2,52.957447,11,1.766,0
2,0,0,1,2,2,5,0,0,1,1,0,0,4,0,0,0
2,0,6,3,7,2,176,0,0,0.857143,0.583333,1,1,43,1,0.75,0
6,1,13,11,1,0.8,75,1,0,0.996078,0.4,3,12,11.333333,2,0.6667,0
2,0,36,1,7,0.865613,505,1,4,0.541667,0.319444,1,3,39.166667,14,3.6667,0
2,0,0,3,2,2,5,0,0,1,1,0,0,4,0,0,0
1,0,25,3,0,0.529412,1277,0.705882,0,0,0.296296,0,0,45.666667,7,1.5926,0
2,0,1,1,2,2,65,0,0,0.888889,0.625,0,0,31.5,7,3.5,0
7,0,29,2,10,0.814286,396,1,0,0.984985,0.363636,0,0,34.363636,4,1.3636,0
1,0,6075,6,1,0.921126,5207,0.717391,1,0,0.138067,0,0,42.347458,9,1.5678,1
2,0,0,1,1,2,6,0,0,1,1,0,0,4,0,0,0
1,0,2,1,1,0.678571,236,1,0,0,1,0,0,24.444444,5,2.8889,0
1,0,0,4,2,0.5,112,1,0,0,0.259259,0,0,11.222222,3,1.5556,0
1,0,0,2,1,0.436364,218,1,0,0,0.395833,0,0,16.75,3,1.3333,0
1,0,311,7,3,0.873333,179,1,1,0,0.16,0,0,5.653846,3,1.1923,0
1,0,1,2,0,1,16,0,0,0,0.75,0,0,6,0,0,0
1,0,6,6,0,2,4,0,0,0,1,0,0,0,1,1,0
1,0,0,19,1,0.653846,386,0.125,1,0,0.342857,0,0,26,6,2.4286,0
1,4,10,4,1,2,48,0,0,0,0.45,0,0,8.6,2,1.6,0
7,0,43,4,11,0.866397,1049,0.894737,1,0.980568,0.204082,0,0,72.571429,9,2.4286,0
2,0,25,2,1,0.833333,177,0,0,0.64,0.30303,2,3,14.818182,6,2,0
2,1,6,2,6,0.75,81,1,1,0.666667,0.288889,1,2,14,2,1,0
1,0,1,3,2,2,2,0,0,0,1,0,0,0,1,1,0
1,0,898,36,5,0.795455,1472,0.25,2,0,0.083333,0,0,31.622222,12,2.0222,0
1,0,666,12,15,2,1616,0,0,0,0.153846,0,0,42.675676,30,3.1622,0
1,0,0,2,0,0.225,387,1,0,0,0.436364,0,0,33.818182,4,1.8182,0
1,0,0,1,0,2,6,0,0,0,1,0,0,3,0,0,0
1,0,90,13,5,0.8625,660,0.6875,5,0,0.169312,0,0,29.666667,14,3.1429,1
1,0,4,1,3,0.666667,62,1,0,0,0.333333,0,0,14.25,4,2.25,1
5,0,106,4,16,0.770833,554,1,3,0.974277,0.215686,3,4,31.235294,15,2.5294,1
4,0,0,2,1,2,5,0,0,1,1,0,0,4,0,0,0
2,0,1,1,6,2,30,0,0,0.947368,0.625,1,1,14,1,0.5,0
2,0,15,3,13,2,280,0,0,0.782609,0.229167,1,1,45.666667,1,0.8333,0
1,7,91,7,2,2,38,0,0,0,0.414286,0,0,1.714286,1,0.9286,0
2,0,4,4,3,0.875,52,0.25,0,0.5,0.5,1,1,8.6,1,0.6,0
7,0,20,2,6,0.8,294,1,0,0.989442,0.375,2,5,35.125,5,1.375,0
1,0,34,26,1,0.962963,237,0.888889,0,0,0.083333,0,0,16.538462,3,1.9231,1
2,0,6,1,10,0.625,206,0,0,0.818182,0.433333,1,1,39.8,1,0.8,0
2,0,1,1,8,1,28,0,0,0.947368,0.625,1,1,12.5,1,0.5,0
1,0,97,12,15,0.857143,623,0.846154,3,0,0.25,0,0,26.727273,6,1.7727,1
5,0,267,21,16,0.921429,751,0.571429,5,0.957478,0.209524,0,0,22.774194,12,2.3548,1
2,0,0,1,3,0.5,77,1,0,0.777778,0.444444,1,2,24,5,2,0
1,0,1,3,1,2,2,0,0,0,1,0,0,0,1,1,0
1,0,0,1,1,0,59,1,0,0,0.666667,0,0,13.25,3,1.75,0
4,0,33,14,5,0.45,141,0,0,0.764706,0.363636,1,2,11.636364,2,1,0
1,0,0,0,5,0.375,161,1,0,0,0.25,0,0,30.8,3,1.6,0
1,0,0,2,1,0.53125,256,1,0,0,0.6,0,0,48.6,10,3.8,0
2,0,28,1,17,2,273,0,0,0.72,0.363636,1,1,33.125,1,0.875,0
2,0,1,1,11,2,91,0,0,0.947368,0.625,1,1,44.5,1,0.5,0
2,0,0,4,2,0,36,1,0,0.6,0.666667,1,1,10.666667,1,0.6667,0
2,0,1,2,6,1,19,0,0,0.947368,0.666667,0,0,8,1,0.5,0
2,0,6,3,13,0.788043,727,0.956522,4,0.461538,0.25,0,0,77.222222,14,3.1111,1
1,0,0,6,3,0.59375,112,0,1,0,0.533333,0,0,19.8,2,1,0
3,0,5,1,7,0.809524,153,1,2,0.727273,0.392857,2,2,19.857143,2,1.2857,0
1,0,0,6,10,0.713333,1130,0.9,4,0,0.386667,0,0,69,29,5.875,1
1,0,0,10,10,0.533333,316,0.333333,2,0,0.357143,0,0,51.166667,2,1,0
2,0,1,1,9,1,36,0,0,0.947368,0.625,1,1,16,1,0.5,0
2,0,3,1,10,1,274,0,0,0.9,0.533333,1,1,90,1,0.6667,0
7,0,3,3,4,2,161,0,0,0.99696,0.555556,0,0,52.666667,1,0.6667,1
1,0,0,11,1,0.458333,110,1,0,0,0.384615,0,0,7.307692,2,1,1
1,0,3,1,9,2,110,0,0,0,0.555556,0,0,35.666667,17,6.3333,1
7,0,9,3,5,0.611111,214,1,1,0.993812,0.3,3,13,28.714286,8,2.1429,0
1,0,5891,169,60,0.923077,5263,0.964286,9,0,0.053846,0,0,43.364407,61,4,1
2,0,1,1,11,1.125,137,0.625,4,0.947368,0.625,1,1,63.5,1,0.5,0
2,0,19,8,8,0.333333,53,0,0,0.75,0.457143,1,1,6.428571,1,0.8571,0
2,0,9,1,4,0.74,439,0.6,0,0.886364,0.5,2,3,70.5,13,4.1667,1
5,0,5,5,9,0.7,140,1,3,0.992401,0.388889,0,0,21.666667,2,1,0
5,0,5,5,6,0.666667,141,1,2,0.992401,0.5,1,7,22,1,0.8333,0
6,0,9,4,6,0.8,134,1,3,0.992378,0.3,0,0,20.833333,1,0.8333,0
1,0,49,2,1,0.8,50,1,1,0,0.454545,0,0,3.363636,1,0.9091,0
2,0,5,8,4,0.933333,86,0.166667,1,0.428571,0.4,1,1,11.333333,1,0.6667,0
1,0,10,9,1,2,5,0,0,0,0.666667,0,0,0,1,1,0
1,0,0,1,48,0.727689,23590,0.769231,8,0,0.138015,0,0,56.05569,46,5.4673,0
3,0,4,1,0,1,82,0,0,0.857143,0.35,2,2,18.5,1,0.75,0
2,0,0,7,3,0.641975,552,0.111111,1,0.3,0.273504,0,0,53.3,13,4.7,0
1,0,44,4,10,0.833333,487,0.6,0,0,0.180556,0,0,36.076923,6,2.6923,1
