@relation 'data/M_multi_metrics_LC.csv-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R1-11,13-16,18-28,30-43,45,47-61'

@attribute LDHH_numberOfPublicAttributes numeric
@attribute numberOfCriticalBugsFoundUntil: numeric
@attribute ck_oo_dit numeric
@attribute numberOfHighPriorityBugsFoundUntil: numeric
@attribute numberOfMajorBugsFoundUntil: numeric
@attribute class {buggy,clean}

@data
0,0,1,0,0,clean
0,0,3,0,0,clean
0,0,1,0,0,clean
0,0,2,0,0,clean
0,0,2,0,0,clean
0,0,2,0,0,clean
0.000661,0,1,0,0,clean
0,0,2,0,0,clean
0,0,2,0,0,clean
0,0,1,0,0,clean
0,0,1,0,0,clean
0,0,1,0,0,clean
0,0,1,0,0,clean
0,0,2,0,0,clean
0,0,1,0,0,clean
0,0,2,0,0,buggy
0,0,1,0,0,clean
0,0,1,0,0,clean
0,0,3,0,0,clean
0,0,2,0,0,clean
0,0,2,0,0,clean
0,0,1,0,0,clean
0,0,2,0,0,clean
0,0,3,0,0,clean
0,0,1,0,0,clean
0,0,2,0,0,clean
0,0,1,0,0,clean
0.002182,0,1,0,0,clean
0,0,2,0,0,clean
0,0,2,0,0,clean
0,0,3,0,0,clean
0,0,1,0,0,clean
0,0,3,0,0,clean
0,0,1,0,0,clean
0,0,3,0,0,clean
0,0,3,0,0,clean
0,0,1,0,0,buggy
0,0,1,0,0,clean
0,0,2,0,0,clean
0,0,1,0,0,clean
0,0,3,0,0,clean
0,0,1,0,0,clean
0,0,4,0,0,clean
0.021974,0,1,0,0,buggy
0,0,3,0,0,clean
0,0,2,0,0,clean
0,0,2,0,0,clean
0,0,1,0,0,clean
0,0,2,0,0,clean
0,0,1,0,0,clean
0,0,1,0,0,clean
0,0,1,0,0,clean
0,0,2,0,0,clean
0.023553,0,1,0,0,buggy
0,0,2,0,0,buggy
0,0,1,0,0,clean
0,0,1,0,0,clean
0,0,4,0,0,clean
0.020901,0,1,0,0,clean
0.001195,0,1,0,0,clean
0.00085,0,1,0,0,clean
0,0,3,0,0,buggy
0,0,1,0,0,clean
0,0,1,0,0,clean
0,0,2,0,0,clean
0,0,2,0,0,clean
0,0,2,0,0,clean
0,0,3,0,0,clean
0.000661,0,1,0,0,clean
0,0,1,0,0,clean
0,0,1,0,0,clean
0,0,1,0,0,clean
0,0,4,0,0,clean
0,0,1,0,0,clean
0,0,3,0,0,clean
0,0,2,0,0,clean
0,0,2,0,0,clean
0,0,1,0,0,clean
0.000524,0,1,0,0,buggy
0,0,2,0,0,clean
0,0,1,0,0,buggy
0,0,1,0,0,clean
0,0,2,0,0,clean
0,0,3,0,0,clean
0,0,1,0,0,clean
0,0,2,0,0,clean
0,0,2,0,0,clean
0,0,2,0,0,buggy
0,0,3,0,0,clean
0,0,1,0,0,clean
0.000661,0,1,0,0,clean
0,0,2,0,0,buggy
0,0,1,0,0,clean
0,0,3,0,0,clean
0,0,1,0,0,clean
0.020901,0,1,0,0,buggy
0,0,4,0,0,clean
0,0,3,0,0,clean
0,0,2,0,0,clean
0,0,1,0,0,clean
0,0,1,0,0,clean
0,0,2,0,0,clean
0,0,2,0,0,clean
0,0,3,0,0,clean
0,0,1,0,0,clean
0.00439,0,1,0,0,clean
0,0,1,0,0,clean
0,0,2,0,0,clean
0,0,1,0,0,clean
0,0,1,0,0,clean
0,0,1,0,0,clean
0,0,1,0,0,clean
0,0,3,0,0,clean
0,0,2,0,0,clean
0,0,2,0,0,clean
0,0,2,0,0,clean
0,0,1,0,0,clean
0,0,3,0,0,clean
0,0,2,0,0,clean
0,0,3,0,0,clean
0,0,3,0,0,clean
0,0,3,0,0,clean
0,0,1,0,0,clean
0,0,1,0,0,buggy
0,0,2,0,0,clean
0,0,3,0,0,clean
0,0,2,0,0,clean
0,0,2,0,0,clean
0,0,1,0,0,clean
0,0,1,0,0,clean
0,0,1,0,0,clean
0,0,1,0,0,clean
0,0,2,0,0,clean
0,0,3,0,0,buggy
0,0,4,0,0,clean
0,0,1,0,0,clean
0,0,1,0,0,clean
0,0,1,0,0,clean
0,0,3,0,0,clean
0.001857,0,2,0,0,clean
0,0,1,0,0,clean
0,0,5,0,0,clean
0.000524,0,1,0,0,clean
0,0,3,0,0,clean
0,0,2,0,0,buggy
0,0,1,0,0,clean
0,0,2,0,0,clean
0,0,2,0,0,clean
0,0,3,0,0,clean
0,0,2,0,0,clean
0,0,3,0,0,clean
0,0,1,0,0,clean
0,0,2,0,0,clean
0.003702,0,1,0,0,clean
0,0,2,0,0,clean
0,0,2,0,0,clean
0,0,2,0,0,clean
0,0,2,0,0,clean
0,0,1,0,0,clean
0,0,1,0,0,clean
0,0,1,0,0,clean
0,0,1,0,0,clean
0,0,1,0,0,clean
0,0,1,0,0,clean
0,0,2,0,0,clean
0,0,1,0,0,clean
0,0,1,0,0,clean
0.001076,0,2,0,0,buggy
0,0,1,0,0,clean
0,0,1,0,0,clean
0,0,1,0,0,buggy
0,0,1,0,0,clean
0,0,2,0,0,clean
0,0,1,0,0,clean
0,0,2,0,0,clean
0,0,4,0,0,clean
0,0,1,0,0,clean
0,0,1,0,0,clean
0,0,1,0,0,clean
0,0,1,0,0,clean
0,0,3,0,0,buggy
0,0,1,0,0,clean
0,0,1,0,0,clean
0,0,2,0,0,clean
0,0,2,0,0,buggy
0,0,1,0,0,clean
0,0,1,0,0,clean
0,0,1,0,0,clean
0,0,1,0,0,clean
0,0,5,0,0,clean
0,0,1,0,0,clean
0,0,1,0,0,clean
0,0,2,0,0,clean
0,0,2,0,0,clean
0,0,3,0,0,clean
0,0,2,0,0,clean
0,0,3,0,0,clean
0,0,1,0,0,clean
0,0,2,0,0,clean
0,0,2,0,0,clean
0,0,1,0,0,clean
0,0,4,0,0,clean
0,0,1,0,0,clean
0,0,2,0,0,clean
0,0,3,0,0,clean
0,0,1,0,0,clean
0,0,1,0,0,clean
0,0,4,0,0,clean
0,0,1,0,0,clean
0,0,1,0,0,clean
0,0,2,0,0,buggy
0,0,2,0,0,clean
0,0,1,0,0,clean
0,0,2,0,0,clean
0,0,1,0,0,clean
0.003021,0,1,0,0,clean
0,0,1,0,0,clean
0,0,1,0,0,clean
0,0,1,0,0,clean
0,0,3,0,0,clean
0,0,3,0,0,clean
0,0,3,0,0,clean
0,0,2,0,0,clean
0,0,2,0,0,clean
0,0,1,0,0,clean
0,0,1,0,0,clean
0.000658,0,2,0,0,buggy
0,0,3,0,0,clean
0,0,1,0,0,clean
0,0,3,0,0,clean
0,0,2,0,0,clean
0,0,3,0,0,clean
0,0,1,0,0,clean
0,0,2,0,0,clean
0,0,2,0,0,clean
0.001073,0,2,0,0,buggy
0,0,1,0,0,clean
0,0,2,0,0,clean
0,0,2,0,0,clean
0,0,3,0,0,clean
0,0,3,0,0,clean
0,0,1,0,0,buggy
0,0,3,0,0,clean
0,0,3,0,0,clean
0,0,2,0,0,clean
0,0,2,0,0,clean
0.000513,0,2,0,0,clean
0,0,1,0,0,clean
0,0,2,0,0,clean
0,0,2,0,0,clean
0,0,2,0,0,clean
0,0,4,0,0,clean
0,0,3,0,0,clean
0,0,1,0,0,clean
0,0,1,0,0,clean
0,0,2,0,0,clean
0,0,1,0,0,clean
0,0,1,0,0,clean
0,0,2,0,0,clean
0,0,1,0,0,clean
0,0,1,0,0,clean
0,0,3,0,0,clean
0,0,1,0,0,clean
0,0,1,0,0,buggy
0,0,1,0,0,clean
0.001468,0,2,0,0,clean
0.003908,0,3,0,0,buggy
0,0,3,0,0,clean
0,0,1,0,0,clean
0,0,3,0,0,clean
0.00085,0,2,0,0,clean
0,0,2,0,0,clean
0,0,1,0,0,clean
0,0,1,0,0,clean
0,0,1,0,0,clean
0.00663,0,1,0,0,buggy
0.000876,0,2,0,0,clean
0,0,1,0,0,clean
0,0,2,0,0,clean
0,0,2,0,0,clean
0,0,3,0,0,clean
0,0,1,0,0,clean
0,0,3,0,0,buggy
0,0,1,0,0,clean
0,0,4,0,0,clean
0,0,3,0,0,clean
0,0,2,0,0,clean
0,0,1,0,0,clean
0,0,1,0,0,clean
0,0,1,0,0,clean
0,0,2,0,0,clean
0,0,2,0,0,clean
0,0,1,0,0,clean
0,0,4,0,0,clean
0,0,2,0,0,clean
0,0,2,0,0,clean
0,0,1,0,0,clean
0,0,1,0,0,clean
0,0,3,0,0,buggy
0.005861,0,1,0,0,clean
0,0,2,0,0,clean
0,0,2,0,0,clean
0,0,1,0,0,clean
0,0,2,0,0,clean
0,0,1,0,0,clean
0,0,3,0,0,clean
0.002182,0,2,0,0,clean
0,0,4,0,0,clean
0,0,3,0,0,clean
0,0,1,0,0,clean
0,0,4,0,0,clean
0.000658,0,1,0,0,clean
0,0,2,0,0,clean
0,0,1,0,0,buggy
0,0,2,0,0,clean
0,0,1,0,0,clean
0,0,1,0,0,clean
0,0,2,0,0,clean
0,0,1,0,0,clean
0,0,1,0,0,clean
0,0,1,0,0,clean
0,0,1,0,0,clean
0,0,2,0,0,clean
0,0,3,0,0,clean
0,0,1,0,0,clean
0,0,3,0,0,clean
0,0,2,0,0,clean
0,0,2,0,0,clean
0,0,2,0,0,clean
0,0,3,0,0,clean
0,0,1,0,0,clean
0.000914,0,1,0,0,clean
0,0,3,0,0,clean
0,0,2,0,0,clean
0,0,2,0,0,clean
0,0,2,0,0,clean
0,0,2,0,0,clean
0,0,1,0,0,clean
0,0,1,0,0,clean
0,0,1,0,0,buggy
0,0,2,0,0,clean
0,0,4,0,0,buggy
0,0,3,0,0,clean
0,0,3,0,0,clean
0,0,1,0,0,clean
0,0,2,0,0,clean
0,0,1,0,0,clean
0.005861,0,2,0,0,clean
0,0,2,0,0,clean
0,0,2,0,0,clean
0,0,1,0,0,buggy
0,0,1,0,0,clean
0,0,2,0,0,clean
0,0,3,0,0,clean
0,0,2,0,0,clean
0,0,2,0,0,clean
0,0,2,0,0,clean
0,0,2,0,0,clean
0,0,1,0,0,clean
0,0,1,0,0,clean
0,0,3,0,0,clean
0,0,1,0,0,clean
0,0,3,0,0,clean
0,0,4,0,0,clean
0,0,3,0,0,clean
0,0,4,0,0,clean
0,0,1,0,0,clean
0,0,3,0,0,clean
0,0,3,0,0,buggy
0,0,1,0,0,clean
0,0,3,0,0,clean
0,0,2,0,0,clean
0,0,1,0,0,clean
0,0,1,0,0,clean
0,0,1,0,0,clean
0,0,1,0,0,clean
0.000452,0,2,0,0,clean
0,0,2,0,0,clean
0,0,1,0,0,clean
0,0,1,0,0,clean
0,0,2,0,0,clean
0,0,1,0,0,clean
0,0,1,0,0,clean
0,0,1,0,0,clean
0,0,1,0,0,clean
0,0,1,0,0,clean
0,0,2,0,0,clean
0,0,1,0,0,clean
0,0,2,0,0,clean
0,0,1,0,0,clean
0,0,2,0,0,clean
0.001811,0,1,0,0,buggy
0,0,2,0,0,clean
0,0,1,0,0,clean
0,0,3,0,0,clean
0,0,1,0,0,clean
0,0,2,0,0,clean
0,0,2,0,0,clean
0,0,2,0,0,clean
0.003514,0,1,0,0,clean
0,0,2,0,0,clean
0,0,1,0,0,clean
0,0,2,0,0,clean
0,0,4,0,0,clean
0,0,1,0,0,clean
0,0,3,0,0,clean
0,0,1,0,0,clean
0,0,2,0,0,clean
0,0,2,0,0,clean
0,0,1,0,0,clean
0,0,1,0,0,clean
0,0,2,0,0,clean
0,0,1,0,0,clean
0,0,2,0,0,clean
0,0,3,0,0,clean
0,0,1,0,0,clean
0,0,2,0,0,clean
0,0,1,0,0,clean
0,0,1,0,0,clean
0,0,2,0,0,clean
0,0,2,0,0,clean
0,0,1,0,0,clean
0,0,3,0,0,clean
0,0,3,0,0,buggy
0,0,3,0,0,clean
0.000994,0,2,0,0,clean
0,0,1,0,0,clean
0,0,2,0,0,clean
0,0,1,0,0,clean
0,0,2,0,0,clean
0,0,3,0,0,clean
0,0,3,0,0,clean
0,0,2,0,0,clean
0,0,2,0,0,clean
0,0,1,0,0,clean
0,0,3,0,0,clean
0,0,1,0,0,clean
0,0,3,0,0,buggy
0,0,1,0,0,clean
0,0,1,0,0,clean
0,0,3,0,0,clean
0,0,1,0,0,clean
0,0,2,0,0,clean
0,0,1,0,0,clean
0,0,1,0,0,clean
0,0,1,0,0,clean
0.002652,0,2,0,0,clean
0,0,1,0,0,clean
0,0,1,0,0,clean
0,0,4,0,0,clean
0,0,1,0,0,clean
0,0,1,0,0,clean
0,0,1,0,0,clean
0,0,3,0,0,clean
0,0,3,0,0,clean
0,0,1,0,0,clean
0,0,3,0,0,clean
0,0,1,0,0,clean
0,0,1,0,0,clean
0,0,2,0,0,clean
0,0,1,0,0,buggy
0.005303,0,1,0,0,buggy
0,0,1,0,0,clean
0,0,1,0,0,clean
0,0,3,0,0,buggy
0,0,1,0,0,clean
0,0,2,0,0,clean
0,0,3,0,0,clean
0,0,1,0,0,clean
0,0,3,0,0,clean
0,0,1,0,0,clean
0,0,2,0,0,clean
0,0,1,0,0,clean
0,0,2,0,0,clean
0,0,2,0,0,clean
0,0,1,0,0,clean
0,0,3,0,0,clean
0.000661,0,1,0,0,clean
0,0,1,0,0,clean
0,0,1,0,0,clean
0,0,2,0,0,clean
0,0,3,0,0,clean
0,0,4,0,0,clean
0,0,2,0,0,clean
0,0,1,0,0,clean
0.001811,0,1,0,0,buggy
0,0,1,0,0,clean
0,0,3,0,0,buggy
0,0,3,0,0,clean
0,0,4,0,0,clean
0,0,1,0,0,clean
0,0,3,0,0,clean
0,0,1,0,0,clean
0,0,1,0,0,clean
0,0,2,0,0,clean
0,0,2,0,0,clean
0.000994,0,3,0,0,buggy
0,0,1,0,0,buggy
0,0,2,0,0,clean
0.001468,0,2,0,0,clean
0.006303,0,1,0,0,buggy
0,0,1,0,0,clean
0,0,3,0,0,clean
0,0,3,0,0,clean
0,0,2,0,0,clean
0,0,1,0,0,clean
0,0,1,0,0,clean
0,0,3,0,0,clean
0,0,2,0,0,buggy
0,0,2,0,0,clean
0.000452,0,1,0,0,clean
0,0,1,0,0,clean
0,0,1,0,0,clean
0,0,1,0,0,clean
0,0,2,0,0,clean
0,0,1,0,0,clean
0,0,2,0,0,clean
0,0,2,0,0,clean
0,0,2,0,0,clean
0,0,2,0,0,clean
0,0,1,0,0,clean
0,0,1,0,0,clean
0,0,3,0,0,clean
0,0,2,0,0,clean
0,0,2,0,0,clean
0,0,2,0,0,clean
0,0,1,0,0,clean
0,0,1,0,0,clean
0,0,2,0,0,clean
0,0,1,0,0,clean
0,0,1,0,0,clean
0,0,1,0,0,clean
0,0,3,0,0,clean
0,0,3,0,0,clean
0,0,3,0,0,buggy
0,0,2,0,0,clean
0,0,3,0,0,clean
0,0,1,0,0,clean
0,0,1,0,0,clean
