@relation poi-1.5_deleteColumns-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.Remove-R16-weka.filters.unsupervised.attribute.Remove-R11-weka.filters.unsupervised.attribute.Remove-R8-weka.filters.unsupervised.attribute.Remove-R11-weka.filters.unsupervised.attribute.Remove-R6-weka.filters.unsupervised.attribute.Remove-R6

@attribute dit numeric
@attribute noc numeric
@attribute lcom numeric
@attribute ca numeric
@attribute ce numeric
@attribute dam numeric
@attribute moa numeric
@attribute cam numeric
@attribute cbm numeric
@attribute amc numeric
@attribute avg_cc numeric
@attribute bug {1,0}

@data
2,0,43,2,3,0,0,0.418182,6,15.363636,1.0909,0
2,0,1,3,1,0,0,0.666667,1,3.5,0.5,0
1,0,0,9,0,0,0,1,0,0,1,0
2,0,36,3,3,0,0,0.555556,6,6.888889,0.7778,1
1,0,1,1,4,0,0,0.5,0,40,0.5,0
2,0,30,1,4,0.375,4,0.388889,2,9.888889,0.7778,1
2,0,217,0,5,0.565217,6,0.280952,6,16.685714,0.9429,1
1,0,9,4,3,1,0,0.522727,0,6.545455,0.6364,0
2,0,35,1,3,0.5,0,0.418182,6,9.636364,0.8182,1
1,15,28,21,13,0,0,0.458333,0,19.75,2.625,1
2,0,66,3,2,0.333333,0,0.333333,2,6.833333,1.0833,1
1,0,0,1,3,0,1,0.666667,0,5.5,0.5,0
2,0,43,0,4,0.5,0,0.522727,6,9.454545,0.8182,1
3,0,171,1,3,0,0,0.526316,0,5.631579,0.9474,1
2,0,87,2,5,0.8,0,0.516667,5,14,1,0
1,0,0,3,1,0,0,1,0,0,1,0
2,0,94,1,4,0.8,0,0.470588,6,12.823529,0.8824,1
2,0,312,2,4,0.833333,0,0.21875,6,14.285714,1.8571,1
2,0,40,1,5,0.571429,2,0.376471,6,13.294118,0.8824,1
2,0,43,2,3,0,0,0.418182,6,9.454545,1,1
2,1,0,7,5,1,0,0.375,1,33.5,1.625,0
2,0,252,4,4,0.8,0,0.305556,6,14.041667,1.7917,1
2,0,28,2,2,0,0,0.40625,2,5.75,0.75,1
1,0,4,1,1,1,0,0.466667,0,35.25,1.25,0
2,0,49,2,3,0.25,0,0.522727,6,8.454545,0.8182,0
2,0,164,1,5,0.888889,2,0.352,6,15.12,0.92,1
2,0,349,3,5,0.933333,1,0.243421,7,41.368421,2.3158,1
1,0,1269,5,34,1,2,0.187192,0,39.372881,1.4407,1
2,0,9,5,2,1,1,0.342857,0,5.714286,0.7143,0
1,0,15,2,0,0,0,0.333333,0,21.666667,2,1
2,0,3,5,1,0,0,0.555556,1,11.333333,1,0
2,0,54,4,2,1,1,0.3125,2,17,1.3333,0
2,0,104,2,4,0,1,0.485294,6,15.823529,1.1765,1
1,0,0,1,0,0,0,0,0,0,0,0
1,0,3,0,1,0,0,0.333333,0,104,0.6667,1
1,0,0,0,0,1,0,0.313333,1,24.04,2.6,0
1,0,1,0,6,0,0,0.5,0,13,0.5,1
1,0,36,12,0,0,0,0.555556,0,0,1,1
2,0,49,2,3,0.5,0,0.522727,6,8.454545,0.8182,0
2,0,43,2,3,0.5,0,0.418182,6,9.363636,1,0
1,0,0,4,0,1,0,0.36,1,24.04,2.6,0
1,0,78,2,1,1,0,0.291667,0,9.5,1.625,0
1,0,190,1,7,0,0,0.2,0,20.65,1.7,0
2,0,213,4,4,0.75,0,0.310606,6,13.818182,1.8636,1
2,0,49,2,3,0.333333,0,0.418182,6,8.363636,0.8182,1
2,0,122,1,5,0.4,1,0.301587,6,14.190476,0.9048,1
2,0,119,0,4,0.555556,0,0.460526,6,13.473684,0.8947,1
2,0,64,1,2,0.75,0,0.5,6,9.769231,0.7692,1
1,0,9,2,3,1,0,0.454545,0,7.181818,0.6364,0
1,0,0,0,0,0,0,0,0,0,0,0
1,0,6,3,0,0,0,0.75,0,0,1,0
2,0,28,3,2,0,0,0.40625,2,5.75,0.75,1
4,0,0,99,0,0,0,1,0,4,0,0
2,0,0,0,5,0.875,6,0.356522,6,15.478261,0.913,1
2,0,56,1,4,0.666667,0,0.5,6,10.923077,0.8462,1
3,0,3,6,2,0,0,0.666667,1,8,0.3333,0
2,0,10,1,4,0,0,0.5,0,5.4,0.8,0
1,4,4,4,0,1,0,0.666667,0,10.25,1,0
2,0,93,1,5,0.833333,1,0.368421,6,13.684211,0.8947,1
2,0,0,10,3,1,1,0.25641,2,19.307692,0.9231,0
1,0,65,4,12,0.6,4,0.147929,0,36.076923,2.8846,1
1,0,31,26,0,0.8,0,0.206349,0,39.9,1.2,1
2,0,49,3,3,0.5,0,0.522727,6,8.454545,0.8182,0
2,0,77,2,3,0.8,0,0.517857,5,13.071429,1,1
1,0,21,9,0,0,0,0.306122,0,49,3.5714,1
1,0,0,3,2,0.133333,1,0.258333,0,5.25,0.95,1
2,0,43,2,3,0.5,0,0.418182,6,9.454545,1,1
2,0,36,1,3,0,0,0.555556,6,6.888889,0.7778,0
1,0,6,1,2,0,0,0.583333,0,0,1,0
1,0,0,3,2,1,2,0.4375,0,5.25,0.75,0
2,0,91,0,5,0.875,3,0.356522,6,14.956522,0.913,1
2,0,66,2,4,0.666667,0,0.333333,6,12.153846,1.1538,1
2,0,43,2,4,0.5,0,0.418182,6,13,0.9091,1
2,0,201,1,2,0.833333,0,0.369565,2,15.217391,1.1304,1
1,0,0,2,9,1,1,0.272727,0,17.818182,1.0909,0
1,0,0,2,0,0,0,0,0,0,0,0
2,0,43,2,3,0.5,0,0.522727,6,8.454545,0.8182,0
2,0,252,6,4,0.8,0,0.261905,6,14,1.7917,1
1,0,297,0,9,1,0,0.353448,0,18.133333,1.9,1
1,0,0,13,0,0,0,1,0,0,1,0
1,0,84,3,5,0.833333,3,0.183333,0,17.541667,1.7083,0
1,0,0,9,14,1,3,0.198864,0,27.0625,1.0625,0
1,0,27,2,4,1,2,0.5,0,20.5,1.5,1
2,0,36,2,3,0,0,0.555556,6,6.888889,0.7778,0
1,0,0,1,0,0,0,1,0,3,0,0
2,0,35,1,3,0,0,0.297619,5,11.785714,1.5714,1
2,0,141,2,3,0.857143,0,0.368421,6,12.631579,0.8947,1
1,0,28,5,2,0.166667,0,0.485714,0,32.36,2.84,0
1,0,0,0,0,0,0,1,0,3,0,1
1,40,10,40,38,1,0,0.8,0,56.4,0.8,1
2,0,366,6,4,0.928571,5,0.282407,6,15.861111,1.1389,1
5,0,6,1,1,0,0,0.666667,0,4,0,1
2,0,49,2,3,0.25,0,0.522727,6,8.454545,0.8182,1
2,0,85,2,4,0.8,0,0.322222,6,12.6,0.8667,1
2,0,110,2,3,0.833333,0,0.470588,6,12.294118,0.8824,1
1,1,176,4,10,0.75,4,0.3625,0,15.428571,1,1
1,0,15,5,1,0,0,0.583333,0,0,1,0
1,0,1,5,0,0,0,0.75,0,0,1,0
2,0,34,1,3,0,0,0.294872,5,13.307692,1.6923,1
2,0,3,3,4,0,0,0.777778,4,54.666667,1.6667,0
4,1,4,1,0,1,0,0.6,0,4.6,0.2,1
1,0,463,114,2,1,0,0.203704,0,9.870968,1.0968,1
3,0,26,2,1,0.25,1,0.342857,1,25.875,1.125,1
2,0,66,2,3,0.666667,0,0.4,6,9.538462,0.8462,0
1,0,1,7,6,1,1,0.514286,0,35.571429,0.7143,0
4,0,6,3,1,0,0,0.666667,0,4,0,1
2,0,49,2,3,0.2,0,0.522727,6,8.454545,0.8182,0
2,0,66,2,3,0.666667,0,0.5,6,9.538462,0.8462,1
2,0,1362,14,7,1,1,0.265306,7,30.473684,2.5263,0
1,0,0,1,3,1,0,0.5,0,25.666667,2.3333,0
2,0,1,2,6,1,5,0.571429,2,42.857143,1.4286,1
2,0,36,1,3,0,0,0.555556,6,6.888889,0.7778,0
2,0,48,3,2,0.6,0,0.35,2,12.833333,1.5,1
2,0,0,1,5,0.636364,5,0.297101,6,15.304348,0.913,1
2,0,694,2,4,0.95,8,0.27305,6,12.6875,0.9375,1
2,0,535,3,5,0.818182,0,0.225,5,10,1.6,1
1,2,0,2,3,1,2,0.458333,0,16.5,1.1667,0
2,0,49,2,3,0.5,0,0.522727,6,8.454545,0.8182,1
2,0,43,0,4,0.5,0,0.522727,6,9.454545,0.8182,1
2,0,210,2,4,0.625,0,0.298611,6,14,1.2083,1
1,0,6,5,2,0,0,0.666667,0,0,1,0
1,100,85,115,0,0.75,0,0.5,0,7.642857,0.7857,1
2,0,183,3,4,0.916667,9,0.287356,6,11.633333,0.9,1
2,0,148,1,4,0.315789,0,0.452381,6,14,0.9048,1
1,0,26,1,0,1,0,0.2,0,19.75,1.25,1
2,0,43,2,3,0.5,0,0.418182,6,9.454545,1,1
1,0,0,3,3,1,0,0.5,0,23,1.75,0
2,0,43,0,4,0.2,0,0.522727,6,9.454545,0.8182,1
2,0,66,2,3,0.666667,0,0.5,6,9.538462,0.8462,0
1,0,106,9,27,1,2,0.144796,0,25.470588,1.1176,1
2,0,57,3,13,1,2,0.172222,1,16.388889,1.1667,1
2,0,28,3,2,0,0,0.40625,2,5.75,0.75,1
2,0,10,1,2,0.8,0,0.6,2,6.2,0.6,1
2,0,49,2,3,0.5,0,0.522727,6,8.454545,0.8182,0
2,0,49,2,3,0.5,0,0.522727,6,8.454545,0.8182,0
2,0,65,2,4,0.666667,0,0.4,6,15.5,1.0714,1
2,0,43,3,3,0.5,0,0.418182,6,9.454545,1,1
2,0,5,2,2,1,0,0.228571,2,21,1.2,1
1,0,3,0,17,1,1,0.303571,0,39,1.8571,0
1,0,1,2,0,0,0,0.5,0,18.5,1.5,0
2,0,511,4,5,0.625,4,0.239382,6,14.236842,0.9737,1
1,0,107,25,0,1,0,0.433333,0,8.333333,1.2222,0
1,0,0,2,0,0,0,0,0,0,0,1
2,0,79,3,3,0.666667,0,0.483333,6,15.533333,1.2,1
2,0,0,1,5,0.833333,4,0.368421,6,14.315789,0.8947,1
1,0,13,0,7,1,0,0.375,0,37.666667,1.6667,1
1,0,0,0,0,0,0,0,0,0,0,0
1,0,5,1,17,0,2,0.375,0,39.5,2.6667,0
2,2,0,2,5,1,1,0.55,2,4.2,0.9,1
2,0,49,2,3,0.5,0,0.522727,6,8.454545,0.8182,1
2,0,4,3,0,1,0,0.425,1,9.875,0.875,0
1,0,0,3,13,0.875,3,0.165957,0,11.6875,1.2708,1
4,0,6,2,1,0,0,0.666667,0,4,0,1
2,0,109,1,4,0.857143,1,0.368421,6,12.578947,0.8947,0
2,0,30,3,7,1,1,0.407407,1,5,0.8889,0
2,0,21,1,2,0,0,0.357143,2,2,0.8571,1
1,0,1,2,7,0,0,0.5,0,11,0.5,0
2,0,43,2,3,0.5,0,0.418182,6,9.454545,1,1
2,0,112,2,3,0.8,0,0.470588,6,10.941176,0.8824,1
1,0,2,1,6,1,2,0.36,0,18.8,0.8,1
