@relation 'postgres-weka.filters.unsupervised.attribute.Remove-R1,2-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.Remove-R11'

@attribute ns numeric
@attribute nm numeric
@attribute entropy numeric
@attribute la numeric
@attribute ld numeric
@attribute lt numeric
@attribute fix numeric
@attribute ndev numeric
@attribute pd numeric
@attribute npt numeric
@attribute rexp numeric
@attribute sexp numeric
@attribute bug {1,0}

@data
5,17,0.72813,0.015641,0.018896,821.288462,0,18,6548,0.653846,4036.547042,13395,1
1,1,0,0.1,0.016667,240,0,3,0,1,4349.548273,57,0
1,1,0,0.009346,0.009346,214,0,3,0,1,4348.617767,51,0
3,3,0.482159,0.041916,0.011976,55.666667,0,5,296,1,4361.183672,8523,1
1,1,0,0.126984,0.063492,63,1,3,6,1,4347.530997,120,1
3,3,0.902642,0.042453,0.042453,212,1,4,186,1,669.272619,206,1
1,1,0,0.02027,0.006757,296,0,7,40,1,5614.130364,6320,1
1,4,0.811876,0.026536,0.00688,407,1,5,100,1,5461.389816,1178,1
1,1,0,0.114286,0.142857,35,0,1,2,1,5591.479226,81,1
3,6,0.926371,0.005829,0.006477,772,0,10,31,0.375,4676.844444,3546,1
2,2,0.94566,0.047794,0.033088,136,0,5,20,1,4339.730031,5877,1
1,1,0.85035,0.026161,0.015648,511.25,0,10,696,0.75,4439.272014,1820,1
1,1,0,0.018361,0.000656,1525,0,10,14,1,4343.615337,12225,0
2,2,0.927557,0.056122,0.015306,130.666667,1,8,0,1,4385.937937,5817,1
2,2,0,0.005952,0.007937,252,0,8,9,1,4382.937937,12235,0
2,12,0.717633,0.026559,0.026223,297.45,0,12,1069,0.85,4365.937937,17949,1
1,1,0,0.012681,0.009058,552,0,1,1,1,4405.020896,39,0
1,1,0,0.074928,0.002882,347,0,8,13,1,4426.514424,5750,0
1,1,0,0.008421,0.008421,475,1,8,2,1,4449.228688,12164,0
2,2,0.526698,0.051698,0.008616,493.25,0,11,203,1,465.771429,966,0
4,5,0.654663,0.015127,0.084628,407.666667,0,9,234,0.833333,463.428571,1126,1
1,1,0,0.291751,0.231388,497,0,6,57,1,3985.953571,253,0
1,1,0,0.014118,0.002353,425,0,6,39,1,4888.939069,12023,0
2,4,0.641375,0.032582,0.007643,621.5,0,10,93,1,3984.042857,8837,0
1,1,0,0.024194,0.008065,248,1,2,4,1,519.709524,638,1
1,1,0,0.00247,0.013247,4454,0,10,10,1,513.095238,394,1
3,4,0.516975,0.078325,0.039744,573.111111,0,10,194,0.444444,5155.026759,19443,1
2,9,0.391989,0.100303,0.023634,755.571429,1,11,14,0.071429,5547.159643,17645,1
3,4,0.51438,0.067718,0.057413,679.285714,1,10,336,0.857143,5522.881865,19378,0
2,2,0.650022,0.056478,0.023256,150.5,0,8,0,1,5338.924945,5633,1
1,1,0.868401,0.010086,0.010807,462.666667,1,4,0,0.333333,5336.924945,985,0
1,1,0,0,0,44,0,1,0,1,5330.924945,20,1
5,11,0.923907,0.007093,0.008511,459.73913,0,11,1926,0.565217,548.533333,1077,0
1,1,0.267245,3,3,0,0,8,7908,0.42623,513.352334,459,0
1,1,0.761606,0.027708,0.029274,830.1,0,11,418,0.6,516.433333,348,1
3,3,0.5,0.031746,0.031746,15.75,0,5,306,1,518.5,609,0
1,1,0,0,0,119,0,1,0,1,4998.928139,15,1
2,2,0.885469,0.028133,0.028133,26.066667,0,6,5871,0.666667,4940.770455,11171,1
1,1,0,0.888889,1.111111,9,0,2,1671,1,4978.564683,11152,0
1,1,0,0.027842,0.030162,431,0,1,25,1,4975.311508,11150,0
1,10,0.400158,0.015393,0.130621,478.684211,0,10,762,0.631579,3042.229762,4895,1
1,1,0,0.001468,0.001468,2044,1,7,0,1,4904.363709,1600,0
1,1,0.916102,0.032967,0.059655,212.333333,0,4,337,1,464.433333,308,0
2,5,0.817499,0.024972,0.035912,1005.555556,0,10,449,0.666667,463.25,778,1
3,3,0.812973,0.208298,0.043174,509.571429,1,8,542,0.571429,5254.06075,17203,1
2,2,0.994985,0.019305,0.003861,518,0,6,112,1,473.95,666,0
1,1,0,0.02459,0.004098,244,0,7,1,1,2754.221429,1466,0
2,2,0.485461,0.074349,0.066914,134.5,1,8,22,1,559.166667,360,0
1,1,0,0.02,0.011429,1400,1,9,0,1,2843.766667,4010,1
1,1,0.902344,0.004108,0.014378,456.4375,0,7,618,0.34375,647.833333,141,0
2,2,0.994888,0.019819,0.013024,588.666667,0,6,21,0.666667,4265.829473,11164,0
3,9,0.979548,0.006184,0.00889,301.85,1,12,9370,0.416667,587.666667,789,1
1,1,0,0.016575,0.006906,724,1,4,0,1,2548.15,3638,0
2,2,0.322458,0.102722,0.028095,379.666667,1,6,14,0.666667,2547.15,4907,1
1,1,0,0.006392,0.005682,1408,0,6,51,1,443.5,2,1
2,2,0.277712,0.315193,0.29932,220.5,0,2,4,0.5,2688.75,4282,0
2,3,0.914661,0.012005,0.026411,166.6,0,8,190,1,561.333333,534,0
3,11,0.818998,0.047925,0.073407,427.75,1,10,869,0.7,2607.683333,3892,1
2,6,0.627416,0.104102,0.108062,589.166667,0,10,35,1,2514.183333,3587,1
1,1,0.888521,0.020225,0.004494,333.75,0,5,174,1,585.5,42,1
1,2,0.970951,0.008011,0.003115,1123.5,0,10,4,0.5,561,303,0
1,1,0.970951,0.029412,0.029412,85,0,2,4,0.5,444,252,1
3,5,0.98283,0.001774,0.008869,644.285714,0,10,97,0.285714,2001,2697,1
3,5,0.37819,0.016382,0.048123,586,1,10,101,1,451,263,1
4,8,0.70316,0.018511,0.014885,524,1,10,708,0.7,422,393,1
2,2,0.788811,0.125628,0.112563,497.5,1,7,15,1,412,204,1
1,1,0.607312,0.025199,0.03183,188.5,1,6,646,0.75,401,27,0
1,1,1,0.003058,0.003058,327,0,5,0,0.5,5243.766667,736,1
1,1,0,0.014793,0.014793,338,0,4,20,1,397,23,0
5,11,0.914126,0.005737,0.00566,895.655172,0,12,935,0.586207,396,341,0
2,2,0.811278,0.023346,0.007782,128.5,1,10,1251,1,4849.445918,4334,0
3,4,0.783092,7,7,0,0,6,9702,0.583333,5603.210667,15226,0
2,3,0.944115,0.001191,0.008339,1399,0,8,385,1,5568.518099,13948,0
1,1,0,0.065789,0.013158,76,1,4,852,1,4846.445918,4229,0
3,3,0.834641,0.00372,0.003044,1182.8,1,12,413,0.8,3970.538059,14269,0
1,1,0,0.0199,0.014925,201,1,4,70,1,5030.250117,7254,0
1,1,0.721928,0.05364,0.01341,261,0,10,206,1,4995.074409,4187,0
1,2,0.961237,0.026066,0.004739,211,1,9,828,1,181,53,0
2,2,0.56651,0.037344,0.024896,120.5,1,8,70,0.5,4697.94003,6456,0
10,122,0.999809,0.005864,0.005864,339.932745,0,24,155710,0.179713,5165.954056,34265,0
1,2,0.961237,0.027708,0.005038,198.5,0,9,34,1,175,50,0
1,1,0,0.028,0.004,500,1,9,2,1,101,16,0
3,5,0.624794,0.051386,0.00166,1095.090909,0,18,947,0.727273,97,62,1
1,1,0,0.005831,0.005831,343,0,6,32,1,394.2613,551,0
3,5,0.742048,0.013651,0.004179,1435.8,0,15,225,0.8,5009.658661,19102,0
1,1,0,0.186441,0.101695,59,1,3,45,1,4499.239921,161,0
2,2,0.890492,0.047393,0.014218,105.5,0,3,2,0.5,4559.812354,6510,0
1,1,0,0.011549,0.002717,1472,0,6,2,1,5173.89248,13167,0
4,7,0.802678,0.115478,0.082159,468.2,0,10,344,0.666667,4394.37972,19907,1
1,1,0,0.036478,0.002516,795,0,4,90,1,5452.747738,11903,1
2,3,0.903214,0.009371,0.009371,498,0,9,79,1,88.545238,175,0
1,1,0,0.028807,0.028807,243,1,7,0,1,5656.30487,5060,1
2,2,0.972694,0.033999,0.031781,451,0,5,15,0.333333,115.55,161,0
1,1,0,0.000677,0.006093,1477,1,6,7,1,3885.389069,108,0
1,1,0,0.025068,0.00542,1476,1,6,26,1,3928.231926,104,1
1,1,0,0.006472,0.003236,618,1,3,34,1,4802.582143,692,0
1,1,0,0.008278,0.006623,604,0,3,16,1,479.833333,215,1
2,3,0.950742,0.019713,0.035842,186,0,8,6,0.333333,88.75,47,1
2,4,0.797195,0.032275,0.015113,650.666667,0,10,78,0.666667,2713.566667,4182,1
1,2,0.99789,0.011765,0.055882,85,0,8,47,0.5,554,147,0
2,2,1,0.001134,0.004535,882,1,9,2,0.5,4182.730556,9666,0
2,2,0.803114,0.048387,0.072581,41.333333,1,4,884,1,462,365,1
2,2,1,0.004751,0.001188,842,1,9,20,1,4154.869444,9639,1
1,1,0.5,2,2,0,0,2,2206,0.5,456,264,0
3,9,0.722812,0.054531,0.080816,254.9,1,10,171,0.3,4355.376984,13151,1
1,1,0.764205,0.006568,0.022989,304.5,0,3,274,1,441,198,0
3,14,0.653239,0.040841,0.007924,386,1,11,284,0.588235,4335.710317,13256,1
1,1,0,0,0,31,1,1,0,1,4314.710317,8838,1
3,4,0.810308,0.041356,0.034739,302.25,1,6,348,1,358,298,0
3,8,0.964853,0.004333,0.009947,597.294118,0,11,446,0.705882,428.5,259,1
2,2,0.721928,0.007407,0.02963,135,1,7,190,1,440,226,0
1,2,0.825627,0.110132,0.008811,113.5,1,7,162,1,5235.132143,3636,0
1,1,0.970951,0.006126,0.001531,326.5,1,5,15,1,5157.460714,729,1
1,1,1,0.035541,0.035541,309.5,1,4,184,1,665.272619,195,0
1,1,0,0.037736,0.005391,371,1,9,293,1,102,17,0
2,2,0.947354,0.00762,0.00762,341.2,0,9,351,0.8,367,137,1
2,6,0.965039,0.019476,0.028464,222.5,0,10,246,0.333333,5175.865198,26164,0
4,15,0.525496,0.081822,0.037619,842.181818,0,12,799,0.5,4018.525794,10001,1
4,6,0.88602,0.051754,0.035952,627.090909,1,10,196,0.818182,4357.020238,10739,1
4,5,0.839861,0.059528,0.028146,386.375,1,9,254,0.375,3983.160317,9635,0
1,1,1,0.008511,0.055319,235,0,7,4,0.5,2577.9,2949,0
9,33,0.988751,0.009216,0.000353,190.932692,0,12,39945,0.423077,5699.018031,29466,0
1,1,0,0.009091,0.009091,110,1,3,4,1,5047.080162,1168,0
1,1,0,0,0,146,0,1,0,1,5222.550182,1002,0
1,1,0,1,1,0,0,2,2,1,5225.873998,1001,0
1,2,0,0.06903,0.886194,178.666667,0,3,62,0.666667,5065.246971,1500,1
1,5,0.867528,8,8,0,0,8,1053,0.666667,5016.170639,820,0
2,2,0,0.00692,0.00692,144.5,0,12,20,1,296.793051,374,1
1,1,1,2,2,0,0,3,146,1,5040.496467,651,0
3,4,0.583438,0.008117,0.000902,1108.75,0,14,33,0.75,4233.583458,22537,0
1,1,0,1,1,0,0,5,7,1,4941.744297,592,0
1,6,0.482995,5,5,0,0,7,13730,0.607143,4798.813231,583,0
1,1,0,0,0,0,0,2,1046,1,4406.686913,441,0
1,1,0,0,0,229.75,0,1,0,0.25,2818.530952,140,0
1,1,0,0.067308,0.038462,104,1,3,169,1,595.583333,16,0
1,1,0,0,0,35,0,1,0,1,542,15,0
1,4,0,0.018913,0.016548,38.454545,0,4,44,0.272727,5254.766667,253,0
2,10,0.927363,0.004989,0.004989,467.733333,0,10,1883,0.6,1476.5,1522,1
1,5,0.976978,0.014726,0.01071,149.4,1,4,465,0.6,5262.561905,174,0
1,4,0.7858,0.344114,0.121604,96.625,0,2,542,0.25,4922.966667,167,1
1,1,0,1,1,0,0,4,102,1,5044.332526,832,0
3,3,0.630069,0.093857,0.082765,390.666667,0,4,281,1,4904.9604,23848,1
1,1,0,1,1,0,0,3,172,1,4800.813231,585,0
1,1,0,0,0,69,0,1,0,1,100.683333,5,0
1,1,0,0,0,176,1,1,0,0.5,4330.852381,349,1
1,1,0,0,0,565,0,1,0,1,4858.896429,333,1
3,4,0,0.00641,0.000256,780,1,8,172,0.6,4612.145238,11347,1
1,1,0,0,0,498,0,1,0,1,50,1,0
1,1,0,0,0,0,0,2,3632,0.714286,5273.378571,182,0
1,1,1,4,4,0,0,2,658,0.75,4359.433333,122,0
1,3,0.649199,0.211957,0.154891,61.333333,0,2,896,0.333333,1440.516667,49,0
1,1,0,0.018265,0.018265,219,0,6,120,1,604.583333,492,0
6,34,1,0.013825,0.013825,72.33241,0,15,63319,0.191136,867.833333,888,0
1,1,0,1.734513,1.725664,226,0,2,0,1,4892.394203,760,0
1,1,0,0.008811,0.008811,227,0,3,65,1,5795.619978,1485,0
2,2,0.82235,0.131537,0.161648,210.333333,0,5,377,1,4974.745676,14500,1
1,1,0,0.078603,0.087336,229,0,3,0,1,5025.56049,868,0
4,11,0.991404,0.003641,0.006862,595.083333,0,16,607,0.75,5012.56049,19630,0
1,1,0,0.008621,0.008621,232,1,3,16,1,315.533333,135,0
3,17,0.977872,0.003204,0.003204,678.478261,0,16,1056,0.73913,5197.836796,24964,0
1,1,0,0,0,225,0,1,0,1,5050.763732,1348,0
1,4,0.728664,0.166667,62.4,3.333333,1,4,711,0.333333,5235.166667,233,1
1,1,0,0.004651,0.004651,215,1,2,56,1,1586.916667,40,0
1,1,0,0,0,0,1,3,218,0.5,5587.210667,896,0
7,51,0.835969,0.010956,0.011034,675.96875,0,15,6173,0.40625,5349.180051,18916,1
4,32,0.885488,0.05568,0.048028,503.064516,0,12,4679,0.526882,2504,3599,1
3,6,0.492947,0.156696,0.343984,367.75,0,9,297,0.625,1984.75,2659,1
1,1,0,0.084,0.08,250,0,3,43,1,1485.5,24,1
1,1,0,0.008065,0.008065,248,0,3,4,1,1372.166667,7,0
9,87,0.764409,0.190039,0.163327,306.486175,0,14,24938,0.387097,5188.461905,13652,1
3,9,0.857729,0.036274,0.0206,203,1,9,1189,0.545455,4993.430952,11928,0
10,100,0.795008,0.099168,0.091203,290.694175,0,13,27186,0.402913,4747.85,9861,1
1,1,0,0.017391,0.008696,230,1,2,53,1,4338.35,128,0
1,1,0.168661,0.381323,0.085603,128.5,0,2,474,1,4027.566667,126,0
9,87,0.747293,0.114764,0.102425,245.062201,0,8,18129,0.334928,4429.5,5085,1
3,9,0.522553,0.106111,0.109207,346,1,5,654,0.714286,3649,2568,1
1,1,0,1.165803,0.974093,193,0,2,58,1,2889.333333,42,1
5,35,0.894389,0.014584,0.013098,414.593023,0,5,86,0.011628,2300,2500,1
9,98,0.853902,0.246165,0.245462,182.167721,0,7,0,0.001582,2214,2496,1
10,100,0.86422,1.331029,1.211044,168.47016,0,7,103931,0.411936,1582,1868,1
1,2,0,0,0,119,0,1,0,0.5,1438,4,1
1,2,0,0,0,119,0,1,0,0.5,1438,4,0
1,1,0.534944,0.143885,0.003597,139,1,3,434,1,5064.966631,631,0
1,1,0,0,0,25,0,1,0,1,2890.333333,43,0
1,1,0,0.023952,0.023952,167,0,4,4,1,5140.859538,1288,0
3,11,0.794365,0.01293,0.00757,786.869565,1,20,2595,0.565217,28,28,0
3,3,0.279121,0.06998,0.002616,509.666667,0,12,280,0.666667,105.09127,239,1
3,7,0.287196,0.150557,0.048059,736.6,0,13,369,0.3,4748.934612,26042,1
1,2,1,0.009009,0.003003,333,0,2,5,1,5098.877241,1202,0
2,2,0.650022,0.004756,0.00517,2418,1,15,0,0.5,5109.374063,18733,0
1,1,0,0,0,133,0,1,0,1,5096.769782,1187,1
1,1,0,0,0,176,0,1,0,0.25,5262.67381,186,1
1,1,0,0.407407,0.018519,27,0,2,134,1,240.633333,3,0
1,1,0.744722,0.183612,0.183612,219.666667,1,1,378,0.333333,4785.385714,204,0
1,1,0,0,0,11,1,1,0,1,4785.385714,204,0
1,1,0,0,0,299,0,1,0,1,5032.126067,1229,0
4,15,0.583046,0.029637,0.018443,612.837209,0,18,16164,0.44186,5046.791418,24410,1
1,1,0.85704,0.020913,0.021863,175.333333,1,4,430,0.333333,445.833333,59,0
11,127,0.865288,0.035529,0.034,512.914373,0,24,129806,0.336391,4750.908615,36182,1
1,1,0.62962,0.053348,0.175936,176.2,0,3,920,0.4,101.916667,198,0
1,1,0.459824,0.507326,1.481685,91,0,3,642,0.5,84,114,0
1,1,0,0,0,28,0,1,0,0.5,4886.464791,762,0
1,1,0.680526,0.075228,0.053186,130.4375,0,3,96,0.125,119.5,153,0
1,1,0,0.030769,0.05641,390,1,2,109,1,5145.211508,585,0
1,1,0,0.019553,0.041899,358,0,1,1,1,2580.45,121,0
1,1,0,0,0,365,0,1,0,1,2579.883333,120,0
1,1,0,0.030769,0.05641,390,1,2,117,1,5146.211508,586,0
9,33,0.993936,0.024628,0.001841,131.656566,0,17,58392,0.454545,190.766667,276,0
2,2,0.918296,0.002568,0.002568,584,0,7,234,1,336.607764,1014,0
1,1,0,0.096491,0.535088,114,0,3,103,1,4852.592641,748,0
1,1,0.999159,0.085635,0.071823,120.666667,1,4,22,0.666667,5029.087446,649,0
1,1,0,0,0,93.5,0,2,167,1,4886.464791,762,0
1,6,0.812868,0.02616,0.00211,395,0,6,221,1,5557.48956,737,1
10,96,0.864835,0.024859,0.02392,676.766749,0,27,13708,0.317618,4705.747209,37626,1
1,1,0.996374,0.07164,0.041008,144.571429,1,6,2436,0.071429,175.832784,571,0
2,24,0.86588,0.072715,0.029588,286.385965,0,10,9471,0.508772,4407.82381,3026,1
3,36,0.951646,0.006145,0.004314,420.495575,0,18,6992,0.309735,642.916667,786,0
6,6,0.971742,0.003166,0.004523,368.5,0,11,868,0.666667,5413.920846,20264,0
1,3,0.957742,0.009901,0.0009,158.714286,0,5,528,0.857143,5379.839491,1394,0
1,1,0.774384,0.078616,0.115454,123.666667,1,4,3879,0.166667,171.166667,239,1
1,1,0,0,0,118.055556,0,1,0,0.055556,84,114,0
10,111,0.831539,0.085352,0.076017,460.796964,0,19,15793,0.155598,5445.773409,26194,1
1,1,0.853604,0.057263,0.057263,238.666667,0,2,240,0.666667,4314.181746,424,0
1,1,0.811278,0.012158,0.012158,164.5,0,4,79,1,4233.096116,1100,1
1,1,0,0.090909,0.017045,176,1,3,63,1,4399.94006,526,0
1,1,0,0.030303,0.030303,165,0,2,0,1,89.916667,188,0
1,1,0,0.131148,0.065574,183,1,3,328,1,119.166667,218,0
1,1,0,0.096591,0.045455,176,1,3,326,1,4400.94006,527,0
1,1,0,0.106509,0.094675,169,1,2,269,1,96.916667,193,0
1,1,0,0.048193,0.042169,166,1,2,268,1,95.916667,192,0
1,1,0,0.030303,0.030303,165,0,2,263,1,90.916667,189,0
1,1,0.949452,0.06087,0.049275,172.5,1,3,526,0.5,88.916667,187,0
1,1,0.949452,0.06087,0.049275,172.5,1,3,352,0.5,86.916667,185,1
1,1,0,0,0.02924,171,1,3,180,1,91.916667,190,0
1,1,0,0,0.02924,171,1,3,189,1,92.916667,191,0
11,139,0.848207,0.113253,0.107249,395.207792,0,22,99102,0.402597,4694.62222,28188,1
1,1,0,0.002618,0.002618,382,1,4,5,1,443.166667,60,0
7,28,0.662945,0.019962,0.019037,998.038462,0,17,382,0.115385,5497.773409,25919,1
1,1,1,0.125,0,40,0,3,680,0.666667,5154.236468,1363,0
3,4,0.920296,0.005065,0.013086,592.25,1,12,326,0.75,445.116667,775,0
1,2,0.453716,0.018182,0.109091,82.5,0,6,524,1,4023.9997,502,0
1,1,0,0.009709,0.07767,103,0,4,45,1,4581.794553,356,0
2,27,0.938545,0.056903,0.056903,79.407407,0,5,1176,0.074074,3493.505556,6105,0
1,1,0,0.018519,0.018519,108,0,3,253,1,7.416667,5,0
1,1,0,0.064815,0.027778,108,1,3,44,1,541.5,17,0
9,94,0.885833,0.015906,0.015539,206.39243,1,16,6127,0.057769,5699.403319,18641,1
