@relation ant-1.7_deleteColumns-weka.filters.unsupervised.attribute.Remove-R4-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.Remove-R6-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R7-weka.filters.unsupervised.attribute.Remove-R6-weka.filters.unsupervised.attribute.Remove-R9-weka.filters.unsupervised.attribute.Remove-R11

@attribute noc numeric
@attribute lcom numeric
@attribute ca numeric
@attribute ce numeric
@attribute lcom3 numeric
@attribute moa numeric
@attribute mfa numeric
@attribute cam numeric
@attribute cbm numeric
@attribute amc numeric
@attribute avg_cc numeric
@attribute bug {1,0}

@data
0,3,1,1,0.6,0,0,0.666667,0,7.5,0.8333,0
8,1313,8,12,0.956553,2,0.406593,0.195455,0,19.127273,1.8545,0
0,3,0,4,2,0,0.8,0.666667,0,44.333333,1,0
0,0,0,4,0.428571,0,0,0.625,0,19.875,1.625,0
0,39,1,0,0.483333,0,0.454545,0.348485,1,10.818182,0.5455,0
0,43,7,3,0.833333,1,0,0.2,0,7.9,1.2,0
0,0,0,1,2,0,1,1,0,3,0,0
1,3,2,10,1.5,0,0.866667,1,0,22.666667,0.6667,0
0,36,32,0,1.104167,0,0,0.25,0,29.555556,3,0
0,3,24,0,0.666667,0,0,0.714286,0,4.714286,0.8571,0
1,30,1,3,0.5,0,0,0.666667,0,13.333333,1.2222,0
2,1603,51,10,0.874288,2,0,0.21371,0,35.015873,3.2381,1
2,7,17,3,0.4,1,0.733333,0.433333,4,8,0.6667,0
0,1,6,0,2,0,0,0.666667,0,0,1,0
0,159,0,5,0.904762,1,0.649123,0.361905,2,14.818182,1.3636,0
0,118,2,7,0.975,1,0.905882,0.270588,5,6.470588,1.0588,1
0,18,1,14,0.826446,1,0.770833,0.277778,2,65.083333,4.8333,1
0,27,1,2,0.761905,1,0.357143,0.283333,1,22.8,1,0
0,1,2,7,2,0,0.987179,0.625,3,63,4.5,1
1,451,9,16,0.893375,5,0.480519,0.146825,0,19.860465,1.5116,1
28,183,31,6,0.52381,1,0.3,0.198864,2,11.227273,1.3182,0
2,295,4,11,0.842975,1,0.745902,0.173203,15,15.911765,1.7941,1
0,1,1,2,2,0,0.9375,1,2,8,0.5,0
0,3,1,2,2,0,0,0.333333,0,4.333333,0.6667,0
0,2,0,3,0.666667,0,0.925,0.5,1,17.5,1.25,0
0,0,0,8,0,1,0.787234,0.287879,2,5.818182,0.9091,0
0,4,4,3,0.888889,0,0,0.5,0,45,3.5,1
2,1200,37,16,0.848864,2,0.409639,0.155844,5,31.607143,2.1964,1
0,0,5,3,0.583333,1,0.931818,0.583333,1,19.4,2.2,0
0,10,1,2,2,0,0,0.36,0,47.2,4.2,0
0,0,1,2,0.5,0,0,0.47619,0,29.571429,2.2857,0
0,130,0,6,0.991071,0,0.869919,0.352941,3,10.764706,1.1765,1
0,0,1,5,0.333333,1,0,0.533333,0,37.5,0.75,0
0,0,0,6,0.375,0,0.902439,0.466667,0,26.8,0.8,0
0,10,1,11,0.803571,0,0.870968,0.314815,1,36.555556,0.8889,1
0,0,0,1,0,1,0.714286,0.666667,1,20.333333,0.6667,0
0,0,0,3,0.4,1,0,0.375,0,7.333333,1,0
0,0,6,2,0.333333,0,0.953846,0.4375,1,18,2,0
0,0,0,2,0.333333,0,0,0.625,0,3.5,0.75,0
1,34,1,3,0.9375,1,0,0.481481,0,14.888889,0.8889,0
0,0,6,5,0.693878,1,0.844444,0.25,4,39.25,4.625,0
0,47,0,14,0.821429,1,0.857143,0.244898,2,36.2,1.2,0
0,0,3,1,2,0,0,1,0,0,1,0
0,90,7,1,0.703125,1,0,0.29375,0,50.176471,2.5294,0
2,270,2,5,0.434783,1,0.706667,0.162037,15,9.375,1.375,0
0,0,4,4,0.777778,1,0,0.625,0,24.75,1.75,0
0,229,8,3,0.802198,0,0.5,0.138047,1,13.740741,1.5185,1
0,15,2,6,0.666667,1,0.769231,0.3,1,15.3,1.4,0
0,0,3,1,2,0,0,1,0,0,1,0
0,3,6,9,0.583333,2,0.795455,0.266667,3,23.5,2.4,0
3,19,3,9,0.816667,0,0.811321,0.290909,0,20.272727,1.2727,0
0,44,1,2,0.805195,1,0,0.261905,0,11.416667,1.25,0
0,0,0,14,0.606061,1,0.770833,0.22619,3,24,1.25,1
0,1,1,3,2,0,0.969697,1,0,15.5,0.5,0
0,41,0,10,0.785714,3,0.74,0.25,1,46.8,1.2667,1
0,0,0,4,0.833333,1,0.880952,0.444444,1,35.285714,0.7143,0
0,6,5,1,2,0,0,0.5,0,0,1,0
0,4,2,3,0.833333,1,0.944444,0.583333,1,9,1,0
2,162,4,5,0.71,1,0.768116,0.19375,9,15.952381,1.619,0
0,0,0,3,0.666667,0,0.933333,0.625,1,12.25,1.5,0
2,145,4,5,0.954861,3,0,0.230263,0,5.684211,0.9474,1
0,44,1,11,0.936364,0,0.770833,0.236111,0,36.083333,1.75,0
0,15,8,1,1.2,0,0,0.722222,0,0,1,0
0,3,6,2,2,0,0.96875,0.555556,1,16.333333,1.6667,0
0,0,1,4,0.5,0,0.6,0.47619,0,15.142857,1.2857,0
2,83,2,6,0.74359,1,0.74,0.297619,1,14.5,1.2143,1
3,7,9,2,0.960606,1,0.583333,0.25974,0,51,2.9091,0
0,100,1,1,0.7125,0,0,0.27451,0,37.176471,2.0588,0
1,0,13,5,0,1,0.875,0.666667,0,50,0.5,0
0,45,16,10,0.619048,3,0.681818,0.216667,1,19.333333,1.8667,0
102,346,181,8,0.839286,3,0.243243,0.191571,1,11.724138,1.3448,0
0,39,0,10,0.723485,2,0.643678,0.148485,4,19.647059,1.9118,1
0,6,1,1,2,0,0,0.625,0,10.25,1,0
0,5,7,8,0.444444,2,0,0.52381,0,19.714286,1.1429,0
0,103,0,8,0.929487,1,0.821053,0.269841,0,52.052632,0.8947,0
0,0,0,1,2,0,1,1,0,4,0,0
0,0,6,4,0.761905,0,0.844444,0.35,4,22.875,2.25,0
0,75,2,5,0.9,0,0,0.208333,0,17.4,1.5333,0
1,15,3,5,0.8,0,0,0.305556,0,25.833333,1.3333,0
0,4,0,3,1,0,0.925,0.75,2,26.25,1,0
0,21,15,1,2,0,0,1,0,0,1,1
0,1,1,1,2,0,0,0.5,0,23,0.5,0
0,0,1,0,2,0,0,0,0,0,0,0
0,222,0,7,0.943734,0,0.676056,0.375,2,11.166667,1.375,0
0,1,1,0,0.5,0,0,0.666667,0,3.333333,0.6667,0
0,0,1,2,0,0,0.928571,0.75,4,38.5,0.5,0
0,0,0,1,2,0,1,1,0,37,0,0
0,0,6,2,0.333333,0,0.75,0.5,0,29.5,1,0
0,7,1,6,0.735043,0,0.7,0.25,5,33.214286,1.7857,1
0,0,2,1,0.25,0,0,0.666667,0,65.666667,1,0
12,4,12,3,0.666667,1,0.928571,0.5,0,4.25,0.5,0
2,8,2,7,0.742857,3,0.853659,0.428571,3,16.25,1.5,0
0,10,1,3,0.729167,1,0.529412,0.277778,1,16,1.1111,0
0,3,1,3,2,0,0.972222,0.555556,0,8,1,0
0,59,0,13,0.977444,1,0.637931,0.477273,1,28.954545,1.8182,0
2,45,2,6,0.775,0,0.896552,0.285714,0,17,1.7273,0
0,0,1,3,0,0,0.928571,0.75,4,20.5,0.5,0
0,0,1,1,0.386364,0,0,0.444444,0,18.166667,1.5833,0
0,4,2,0,0.5,0,0,0.7,0,6.2,0.6,0
0,60,2,9,0.545455,0,0.873418,0.277778,6,16.666667,1.4167,0
0,10,31,0,2,0,0,0.533333,0,0,1,0
0,81,11,12,0.856481,4,0,0.183333,0,25.578947,1.8421,0
0,6,0,1,1.333333,0,0.842105,1,1,11,0.75,0
0,0,1,0,2,0,1,1,0,5,0,0
0,41,1,16,0.769231,2,0.74,0.261905,1,25.928571,3,1
0,1,0,2,2,0,0.971429,0.75,1,9,1.5,0
0,1,1,1,1.441176,1,0,0.5,0,18.666667,1.6667,0
0,1,0,9,0.708333,2,0.860465,0.285714,2,35.571429,0.8571,1
3,9,3,9,1.041667,0,0.860465,0.428571,0,13,1.1429,0
0,0,1,0,2,0,0,1,0,0,1,0
0,0,0,9,0.68,1,0.939759,0.416667,4,32.333333,0.8333,0
0,13,15,3,0.75,3,0.2,0.220779,0,7.272727,0.7273,0
0,1,1,2,2,0,0.875,0.75,0,23,2.5,0
0,244,41,6,0.804348,1,0.736111,0.21118,14,15.375,1.9583,1
1,248,9,4,0.875,1,0,0.173333,0,10.36,1.4,0
0,3,1,4,2,0,0.857143,0.666667,0,12.333333,0.6667,0
0,34,2,3,1.083333,0,0,0.303571,0,60.888889,0.8889,1
0,0,1,3,0,0,0.818182,0.666667,0,8.666667,1,0
1,844,1,30,0.877404,2,0.624,0.127315,0,58.408163,1.449,1
2,15,2,6,2,0,0.955357,0.416667,1,12.833333,1.1667,1
0,0,2,9,0.25,0,0.833333,0.285714,1,16.142857,0.8571,0
0,3,1,3,2,0,0.972222,0.555556,0,8,1,0
0,0,2,0,2,0,0,0,0,2052,0,0
2,6,4,1,0.678571,0,0,0.625,0,21.125,1.875,1
0,39,0,6,0.9,1,0.944785,0.3,10,16.181818,1.2727,1
0,22,0,6,0.571429,0,0.928571,0.40625,1,10.75,1,0
0,26,6,3,0.651515,0,0,0.3125,0,26.916667,0.8333,0
0,0,0,5,0.5,0,0,0.642857,0,11,0.8571,0
0,1,0,3,2,0,0.952381,0.666667,1,28,0.5,0
0,0,25,1,2,0,0,1,0,0,1,0
0,87,8,23,0.884615,2,0,0.192308,0,63.5,1.7143,1
2,124,10,4,0.7,0,0,0.325397,0,26.047619,2.619,0
3,2,4,2,0.625,0,0.902439,0.466667,0,8.2,0.8,0
0,60,1,8,0.833333,0,0.56,0.416667,3,24.076923,1.3077,0
0,15,0,5,2,0,0.947917,0.833333,1,14.666667,1.1667,0
0,0,2,2,2,0,0,0,0,0,0,0
0,11,0,4,0.6,1,0.827586,0.666667,2,37.833333,1.6667,1
0,6,2,6,0.75,0,0.927273,0.6,2,17.4,1.2,0
0,180,0,14,0.782609,0,0.710526,0.326087,2,29.541667,1.625,1
0,3,1,11,1.5,0,0,0.833333,0,59.333333,4.3333,0
0,461,11,11,0.786842,6,0,0.153846,0,13.076923,1.6923,0
0,0,1,3,0.777778,0,0.928571,0.75,4,38.75,0.5,0
0,148,0,7,0.91866,0,0.716418,0.3875,3,11.6,1.4,0
0,0,0,1,2,0,1,1,0,3,0,0
1,14,61,2,0.4375,1,0,0.555556,0,10.222222,0.6667,0
0,0,1,5,0.688889,0,0.777778,0.3,5,19.7,1.2,0
0,0,0,0,2,0,0,1,0,3,0,1
0,163,1,11,0.867347,5,0.649123,0.251701,2,33.954545,2.6818,1
0,0,5,3,0.6,0,0.883721,0.333333,5,16,1.6667,0
0,21,0,2,0.6,0,0.804348,0.4,1,11.4,0.9,0
9,10,16,2,2,0,0.882353,0.533333,1,11.4,2,0
0,1,0,2,2,0,0.971429,0.75,1,9,1.5,0
0,0,1,3,0.708333,0,0.848485,0.47619,5,16.428571,1.2857,0
0,1,1,7,2,0,0.958333,1,1,172,0.5,0
0,3,69,0,2,0,0,1,0,0,1,0
0,15,1,0,2,0,0.954545,0.5,7,11.333333,1.8333,0
0,277,19,15,0.744444,0,0.552239,0.207885,5,27.83871,2.5806,1
0,176,1,12,0.808184,1,0.772277,0.175,0,41.875,1.4167,1
0,434,2,14,0.940848,2,0.507937,0.328125,5,35.121212,2.5152,0
0,4,0,4,0.75,0,0.902439,0.533333,0,16.4,0.8,0
0,3,1,10,1.5,0,0,0.833333,0,35.666667,2.6667,0
0,1,0,2,2,0,0.875,0.75,0,35.5,3,0
0,0,0,1,2,0,1,1,0,6,0,0
4,54,5,7,0.791667,1,0.714286,0.261538,3,16.615385,2,1
0,6,0,6,1.166667,0,0.942308,1,5,39.5,2.5,0
1,4,2,0,0.666667,0,0,0.555556,0,124,1.25,0
2,56,4,10,0.770833,2,0,0.205128,0,19.384615,1.3846,0
0,0,0,3,0,0,0.945946,0.4375,0,19.75,3.25,0
0,54,1,14,0.835,2,0.804124,0.194444,2,20.285714,1,1
0,3,4,2,1.5,0,0,0.666667,0,0,1,0
0,3,0,3,2,0,0.956522,0.666667,1,26.666667,2,0
1,2700,14,17,0.977952,6,0.506494,0.205937,1,11.779221,1.7532,1
0,0,4,0,2,0,0,1,0,0,1,0
0,0,1,4,0.333333,0,0,0.4375,0,7.75,0.75,0
0,15,0,3,2,0,0.936709,0.555556,2,16.666667,1.3333,0
2,28,5,4,0.546875,2,0.792208,0.294118,4,18.764706,2.1176,1
0,0,5,1,0.333333,0,0.666667,0.625,1,5.5,0.75,0
0,15,1,7,0.566667,2,0.854839,0.327273,6,24.090909,2.5455,1
0,54,1,7,0.84375,0,0.727273,0.346154,6,33,1.3077,1
0,276,4,20,2,0,0,0.089286,0,0,1,0
0,8,1,7,1,0,0.857143,0.416667,0,74.4,3.2,1
0,55,3,0,0.696429,1,0,0.293333,1,9.466667,1.3333,0
0,0,8,1,0,0,0,0.533333,0,12.6,1.2,0
0,1,0,2,0.5,0,0,0.666667,0,38.333333,3,0
0,6,2,5,1.05,0,0.882353,0.533333,0,36.6,1.6,1
0,9,1,2,0.916667,0,0.928571,0.642857,2,28.142857,3.4286,1
0,0,8,8,0.423077,0,0,0.285714,0,28.785714,3.6429,0
0,271,0,7,0.955789,0,0.657534,0.384615,3,13.346154,1.5,0
0,774,4,26,0.923342,9,0.65,0.127907,6,26.886364,1.2045,1
0,10,6,1,2,0,0,0.4,0,0,1,0
0,233,1,12,0.892,1,0.709302,0.157051,2,32.115385,1.0769,1
0,100,0,7,0.9375,0,0.75,0.382353,3,12.411765,1.4118,0
0,1627,134,12,0.949875,1,0,0.160234,0,28.965517,2.6379,1
0,107,3,2,0.636364,2,0,0.26087,0,28.73913,2.1304,1
0,17,0,4,0.771429,1,0.804348,0.4,1,18.727273,1,0
0,0,1,5,0.52381,0,0,0.325,0,15.25,2,0
0,8,1,7,0.875,0,0.571429,0.4375,2,14,0.8,0
0,0,3,2,0.833333,0,0.909091,0.583333,0,6.75,1,1
0,3,1,1,0.6,0,0,0.666667,0,7.166667,0.8333,0
0,15,1,3,0.833333,0,0,0.2,0,54,1.2857,1
0,0,1,4,0.688889,1,0.777778,0.375,5,30.8,2.3,0
0,0,0,3,1,0,0.727273,0.625,3,27,0.75,0
0,86,4,18,0.892045,2,0.698113,0.15508,1,18.823529,2.2353,1
0,68,6,4,0.75,0,0.837838,0.292308,8,14.153846,2.1538,0
0,0,0,1,0.96875,0,0.888889,0.5,3,77.333333,5.3333,0
0,0,1,0,0,0,0,0.666667,0,17.666667,1.6667,0
0,11,1,8,0.95,11,0.727273,0.4,1,29.5,1,0
13,46,13,11,1.020833,0,0.770833,0.375,0,12,1,0
0,66,0,7,0.875,0,0.8,0.512821,3,12.846154,1.3846,0
0,12,0,7,0.880952,2,0.840909,0.270833,1,14.875,1.625,0
0,268,1,25,0.85119,6,0.578125,0.125,1,28.689655,3,1
0,0,1,5,1.142857,1,0,0.583333,0,46.333333,4.3333,0
0,0,0,4,0,0,0.918919,0.5,1,7.25,1,0
0,130,3,2,0.852632,0,0,0.36,0,5,1.05,0
0,72,27,2,0.929167,1,0,0.177778,0,26.9375,1.9375,0
0,0,0,0,2,0,0,1,0,3,0,0
2,62,2,7,0.638889,1,0.755102,0.307692,0,14.307692,1.5385,1
0,0,4,3,2,0,0,1,0,0,1,0
0,28,1,0,2,0,0,0.45,0,32.875,2.875,0
0,0,1,0,2,0,0,0,0,0,0,0
0,0,2,4,0.9,3,0,0.583333,0,12.8,1.2,0
0,0,6,7,0.454545,0,0.75,0.238095,1,14.833333,1.6667,0
0,244,0,15,0.815476,4,0,0.17803,0,26.92,1.48,1
0,0,3,0,0,0,0.928571,0.666667,0,7.666667,0.3333,0
0,1,0,2,2,0,0.985507,1,1,10,0.5,0
0,53,7,1,0.825,0,0,0.183333,0,86.272727,3.1818,1
0,3,1,1,2,0,0.8,0.666667,2,7.333333,0.6667,0
0,28,0,5,0.78125,0,0.864407,0.481481,2,15.888889,0.8889,0
0,233,0,5,0.8,0,0.857143,0.269231,7,9.115385,1.3846,0
0,0,0,7,0.666667,1,0.860465,0.314286,0,25.714286,1,0
0,0,3,1,2,0,0,1,0,0,1,0
0,6,3,0,0.75,0,0,0.7,0,3.4,0.8,0
0,3,1,5,0.4,0,0.880952,0.5,0,21.166667,1,0
0,0,1,5,0.5,2,0.902439,1,1,15,1.2,0
0,4,0,13,0.909091,1,0.840909,0.5,1,44.75,1.875,0
0,21,2,0,2,0,0,0.642857,0,0,1,0
1,126,2,8,0.7875,0,0.871429,0.178571,19,11.666667,1.381,0
0,302,1,11,0.962963,0,0.542373,0.272321,8,41.785714,2.2857,0
0,0,1,0,2,0,0,0,0,0,0,0
0,3,1,4,2,0,0.92,1,1,13.666667,0.6667,0
0,0,0,4,0,0,0.962264,0.666667,1,17,0.6667,0
0,63,1,10,0.923077,0,0.74,0.222222,1,42.142857,1.2857,0
0,0,1,3,0.666667,0,0.75,0.5,0,24.5,0.75,0
0,3,0,5,0.75,1,0.902439,0.533333,1,15.666667,0.6667,0
0,0,2,1,2,0,0,1,0,0,1,0
0,0,0,6,0,2,0,0.6,0,88.5,4.5,0
7,11,10,12,1.083333,0,0,0.357143,0,14.714286,0.8571,0
0,0,1,1,0.222222,1,0.625,0.5,1,15.25,0.75,0
0,6,0,6,0.742857,1,0.5625,0.4375,0,13.625,1.125,0
0,21,1,5,0.740741,0,0.804348,0.45,0,34.3,1.1,0
0,6,3,3,2,0,0,0.625,0,0,1,0
0,0,0,1,0,1,0,0.666667,0,6,0.8333,0
0,58,0,7,0.833333,0,0,0.32967,0,20.923077,1.8462,0
0,3,1,3,0.75,1,0,0.533333,0,10,0.6667,0
0,148,0,7,0.923077,0,0.716418,0.375,2,12.6,1.3,0
0,1,0,1,2,0,0.875,0.75,1,9,0.5,0
0,145,8,2,0.794118,2,0,0.184874,0,54.666667,6.7778,1
0,365,4,14,0.905556,3,0.560606,0.209524,0,13.645161,1.2581,0
0,1,0,3,2,0,0.977778,0.75,0,5,0.5,0
0,44,0,7,0.80303,2,0.45,0.291667,0,17.75,1.6667,0
0,8,0,5,0.714286,1,0.840909,0.5,2,25.25,1.75,0
0,3,0,3,2,0,0.956522,0.5,1,26.333333,2.3333,0
0,81,1,3,0.857143,0,0,0.285714,0,14.928571,1.5714,0
1,21,2,7,0.733333,1,0.608696,0.4,3,7.272727,0.8182,0
2,1,7,1,0.5,0,0.882353,0.833333,1,7,1.3333,0
0,22,1,9,2,0,0.909091,0.703704,9,86.888889,4.8889,1
0,1,1,2,0.7,0,0,0.555556,0,10.666667,0.8333,0
2,6,7,2,0.9,6,0.8,0.5,1,34,1.2,0
0,6,0,13,1,1,0,0.375,0,12.75,0.75,0
0,417,20,28,0.927894,0,0,0.290441,0,58.057143,2.5143,1
0,0,2,1,2,0,0,1,0,0,1,0
0,69,0,13,0.826531,0,0.847826,0.233333,5,31.733333,1.4667,1
0,3,2,4,0.666667,0,0.5,0.428571,1,13.714286,1,0
0,0,3,1,0.769697,0,0,0.818182,0,29.5,1.6667,1
0,0,2,0,2,0,0,1,0,0,1,0
0,22,0,6,0.89881,2,0.876404,0.27381,2,45.846154,0.8462,1
0,402,3,3,0.889167,2,0.116279,0.191667,1,109.02439,5.5854,1
0,68,25,2,0.929167,0,0,0.708333,0,28.230769,4.5385,1
0,76,5,8,0.791667,2,0,0.195313,0,8.8125,1.3125,0
0,30,0,6,0.781818,1,0.770833,0.472222,1,22.083333,2.0833,0
0,0,3,1,0.333333,0,0,0.875,0,4.75,0.75,0
0,152,5,14,0.833333,2,0.672131,0.178571,1,25.857143,3.1905,1
0,14,1,4,0.8125,1,0.840909,0.40625,0,8.333333,0.7778,1
0,27,0,7,0.837607,0,0.74,0.214286,1,24.928571,1.8571,0
0,0,1,0,2,0,0,0,0,0,0,0
0,9,0,3,1.0625,0,0.642857,0.555556,0,36.428571,1,0
0,0,0,4,0.64,0,0.880952,0.555556,2,20,0.8333,0
0,0,1,3,0.777778,0,0.848485,0.47619,5,13.857143,1.2857,0
0,0,0,1,2,0,1,1,0,3,0,0
4,113,7,7,0.890756,0,0,0.268908,0,18.388889,1.7778,1
0,66,13,7,1.045455,0,0,0.259259,0,20.583333,1.9167,0
1,0,2,9,0,1,0.933333,0.4375,5,17.5,1.5,1
0,4,0,5,0.714286,0,0.917647,0.46875,4,32.5,1.375,0
0,133,10,5,0.571429,0,0.588235,0.266234,3,27.227273,2.8182,0
1,0,6,2,0,0,0,0.625,0,11.5,0.75,0
0,77,9,13,0.877551,3,0.566667,0.222222,1,19.533333,0.9333,0
1,86,1,17,0.878788,3,0.72549,0.188889,2,37.75,1.1875,1
5,348,5,23,0.037037,0,0.564516,0.079193,0,6.25,1.2143,1
0,0,4,2,2,0,0,1,0,0,1,0
0,0,6,7,0.458333,2,0.853659,0.392857,3,26.714286,2.5714,0
0,0,2,1,0,0,0.75,0.555556,1,13.333333,1.6667,0
0,2,0,6,0.888889,0,0.833333,0.5,0,19.5,2,1
0,407,2,3,0.904762,2,0,0.316129,0,18.16129,1.4516,0
0,3,1,1,2,0,0.8,0.666667,2,7.333333,0.6667,0
0,0,1,3,0.333333,0,0.75,0.5,0,19.75,0.75,0
0,0,3,2,0,0,0.954545,0.625,0,6,0.25,0
0,200,29,7,0.805556,2,0,0.219388,0,17.571429,1.8571,1
0,0,0,3,0.5,0,0,0.375,0,8,1.1667,0
0,0,1,2,0.666667,0,0,0.533333,0,11.2,0.8,0
0,3,2,5,2,0,0,0.47619,0,0,1,0
28,35,66,2,0.740741,2,0,0.32,0,6.2,1.1,0
0,0,1,4,0.571429,0,0.823529,0.375,5,20.125,1.125,0
0,185,0,4,0.811688,0,0.872093,0.21118,7,9.521739,1.3913,0
0,0,8,1,2,0,0,1,0,0,1,0
0,0,1,2,2,0,0,0,0,0,0,0
1,20,5,3,0.914286,4,0.615385,0.47619,1,15.375,1.5,0
0,10,0,5,2,0,0.957895,0.533333,1,13.2,1,0
0,38,2,0,0.631818,0,0,0.293651,0,28,0.8571,1
0,6,6,2,2,0,0.969697,0.625,3,10,1,0
0,3,0,3,2,0,0.882353,0.666667,2,66.333333,5,0
0,67,3,25,0.8,5,0.866667,0.261538,2,20.357143,1.2857,1
0,381,0,7,0.919048,0,0.74359,0.241935,4,10.677419,1.5161,0
0,1,6,4,2,0,0.953488,0.666667,1,24.333333,1.6667,0
0,0,1,0,0,0,0,0.666667,0,13.333333,1,0
0,21,2,6,0.55,0,0.896104,0.363636,4,22.727273,1.7273,0
0,15,1,4,0.833333,0,0.894737,0.47619,1,6.571429,0.8571,0
0,0,3,1,2,0,0,1,0,0,1,0
2,744,4,22,0.902098,2,0.4625,0.13986,1,39.044444,2.2444,1
1,1,1,0,0,0,0,0.666667,0,6,0.6667,0
0,0,0,3,0.6,0,0.880952,0.555556,1,207.333333,1,0
2,8,2,1,0.958333,5,0.8,0.625,1,18,0.4,0
0,79,0,6,0.890756,3,0.698113,0.268908,1,16.111111,1,0
0,1,0,2,2,0,0.971429,0.75,1,5,0.5,0
0,246,9,13,0.722826,1,0.566038,0.154167,1,24.083333,2.5417,0
0,12,5,6,0.75,0,0.822222,0.259259,0,7,0.8889,0
0,21,2,3,2,0,0,0.2,1,14,2.4286,1
0,6692,352,30,0.975471,5,0,0.090084,0,18.558333,1.4167,1
0,19,1,1,0.666667,0,0,0.416667,0,52.142857,2,0
0,271,4,10,0.891247,3,0.735849,0.216749,2,24.833333,1.1667,1
0,37,0,7,0.9,0,0.827586,0.386364,3,14.545455,1.3636,0
0,31,1,2,0.703704,1,0,0.375,0,6.3,1.1,1
0,108,0,3,0.95625,1,0.8,0.254902,6,18.705882,1.5882,0
0,461,101,13,0.80303,3,0.491803,0.127706,6,28.911765,2.2353,1
0,183,0,7,0.94958,0,0.695652,0.386364,3,12.181818,1.5455,0
0,0,6,4,0.595238,2,0.833333,0.571429,0,12,1.375,0
0,4,5,0,0.416667,0,0,0.3125,0,16,1.8889,0
0,29,0,9,0.888889,3,0.804348,0.228571,3,21.818182,1,0
0,1,1,7,2,0,0.958333,1,0,73.5,0.5,0
0,3,1,7,0.7,1,0.6,0.55,0,19.166667,0.8333,0
0,138,1,4,0.789474,6,0,0.177632,0,33.2,2.3,0
0,16,1,5,0.761905,0,0.840909,0.75,0,17.625,1.375,0
0,84,0,7,0.94359,0,0.761905,0.375,3,12.8125,1.3125,0
0,265,0,13,0.895604,3,0.75,0.177778,1,55.592593,2.963,1
