@relation 'KC2-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.PrincipalComponents -R 0.95 -A 5-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N -1'

@attribute -0.241loc-0.241n-0.241lOCode-0.241total_Op-0.241total_Opnd... numeric
@attribute 0.586l-0.505uniq_Op-0.354d+0.259t+0.229e... numeric
@attribute -0.782lOCodeAndComment-0.414lOComment-0.323l+0.147i-0.145d... numeric
@attribute -0.599lOComment+0.439lOCodeAndComment-0.416l-0.318lOBlank+0.228ev(g)... numeric
@attribute '0.58 lOComment-0.443i-0.352l-0.278lOBlank-0.26lOCodeAndComment...' numeric
@attribute problems {no,yes}

@data
-2.882965,-1.270218,0.620576,-0.9673,-0.299342,no
0.354377,-0.747961,0.459081,0.016943,-0.054644,no
1.64251,1.393024,-0.190515,-0.478531,-0.504644,no
1.856807,0.336058,0.447052,0.7561,0.839588,no
-2.64365,-1.090513,1.111268,-0.397847,-0.935932,no
1.210304,-0.177932,0.25706,0.401578,0.327982,no
1.300648,-0.161946,0.243391,0.504917,0.471197,no
1.470974,0.660039,-0.723094,0.477626,-0.196221,no
0.294793,-0.727003,0.432383,0.158122,0.073863,no
0.812433,-0.467258,0.379266,0.394475,0.167157,no
0.431607,-0.643169,0.430837,0.43295,0.119159,no
1.424787,0.567994,-0.03672,-0.131419,-0.228566,no
1.206569,0.044814,-0.502168,0.686162,0.116294,no
0.771911,-0.484252,0.397445,0.326183,0.107466,no
0.670847,-0.511576,-0.376845,0.819706,-0.082262,no
0.631511,-0.292621,0.401076,0.328406,0.001973,no
0.656131,-0.30894,0.369624,0.265279,0.168979,no
1.586239,0.819475,0.04095,-0.040442,-0.088598,no
1.586239,0.819475,0.04095,-0.040442,-0.088598,no
1.586239,0.819475,0.04095,-0.040442,-0.088598,no
1.586239,0.819475,0.04095,-0.040442,-0.088598,no
1.586239,0.819475,0.04095,-0.040442,-0.088598,no
1.586239,0.819475,0.04095,-0.040442,-0.088598,no
1.586239,0.819475,0.04095,-0.040442,-0.088598,no
1.586239,0.819475,0.04095,-0.040442,-0.088598,no
-1.148051,-1.418067,-1.126358,1.394989,-0.111095,no
-1.239552,-1.842585,0.493724,0.333535,0.015934,no
-1.54799,-1.823986,0.569766,0.347087,-0.049946,no
-1.836994,-0.582547,0.719677,0.067025,-0.170396,no
1.925527,1.524303,-0.332662,-0.286499,-0.110144,no
-0.25749,-1.250595,0.264423,0.367334,0.479679,no
-2.016118,-1.341607,-1.54352,-0.004497,0.104853,no
0.757693,-0.610696,0.25739,0.440933,0.526998,no
1.340594,0.350592,0.194265,0.191564,0.073102,no
0.812329,-0.476706,0.326982,0.216466,0.20506,no
0.594957,-0.633644,0.341936,0.514056,0.301618,no
-0.030463,-0.670224,0.77105,-0.04231,-0.759987,no
0.394512,-0.714808,-0.345032,0.916074,-0.101293,no
1.569118,0.679477,0.059468,0.022899,-0.023686,no
0.463731,-0.543702,0.309713,0.143576,0.331888,no
1.925527,1.524303,-0.332662,-0.286499,-0.110144,no
1.925527,1.524303,-0.332662,-0.286499,-0.110144,no
1.939194,1.523029,-0.335532,-0.283359,-0.109223,no
1.925527,1.524303,-0.332662,-0.286499,-0.110144,no
1.667489,-0.131058,0.436373,0.787689,0.823528,no
1.939194,1.523029,-0.335532,-0.283359,-0.109223,no
1.925527,1.524303,-0.332662,-0.286499,-0.110144,no
1.925527,1.524303,-0.332662,-0.286499,-0.110144,no
1.925527,1.524303,-0.332662,-0.286499,-0.110144,no
1.925527,1.524303,-0.332662,-0.286499,-0.110144,no
1.925527,1.524303,-0.332662,-0.286499,-0.110144,no
1.925527,1.524303,-0.332662,-0.286499,-0.110144,no
1.925527,1.524303,-0.332662,-0.286499,-0.110144,no
1.925527,1.524303,-0.332662,-0.286499,-0.110144,no
1.305026,0.160724,0.245396,0.335361,0.212503,no
1.925527,1.524303,-0.332662,-0.286499,-0.110144,no
1.925527,1.524303,-0.332662,-0.286499,-0.110144,no
1.925527,1.524303,-0.332662,-0.286499,-0.110144,no
1.925527,1.524303,-0.332662,-0.286499,-0.110144,no
1.925527,1.524303,-0.332662,-0.286499,-0.110144,no
1.925527,1.524303,-0.332662,-0.286499,-0.110144,no
1.831249,1.066346,-0.140372,-0.029041,0.097377,no
1.925527,1.524303,-0.332662,-0.286499,-0.110144,no
1.925527,1.524303,-0.332662,-0.286499,-0.110144,no
1.925527,1.524303,-0.332662,-0.286499,-0.110144,no
1.305026,0.160724,0.245396,0.335361,0.212503,no
1.667489,-0.131058,0.436373,0.787689,0.823528,no
1.925527,1.524303,-0.332662,-0.286499,-0.110144,no
1.925527,1.524303,-0.332662,-0.286499,-0.110144,no
1.860649,1.500939,-0.305221,-0.341808,-0.185338,no
1.925527,1.524303,-0.332662,-0.286499,-0.110144,no
1.925527,1.524303,-0.332662,-0.286499,-0.110144,no
0.811207,-0.119209,0.211961,-0.084696,0.297852,no
1.860649,1.500939,-0.305221,-0.341808,-0.185338,no
-1.033847,-1.440846,-0.358261,0.963511,0.117158,no
1.729459,0.747361,-0.017073,0.109784,0.182012,no
1.654368,0.332732,0.081846,0.296018,0.341887,no
1.925527,1.524303,-0.332662,-0.286499,-0.110144,no
1.831249,1.066346,-0.140372,-0.029041,0.097377,no
0.157429,-0.844023,-0.300951,0.755332,-0.146356,no
1.668626,0.50357,0.05659,0.21836,0.266232,no
-1.147261,-0.959482,-0.330758,0.188422,-0.231451,no
1.925527,1.524303,-0.332662,-0.286499,-0.110144,no
1.894577,1.508162,-0.31718,-0.304522,-0.154572,no
1.894577,1.508162,-0.31718,-0.304522,-0.154572,no
1.908244,1.506888,-0.32005,-0.301382,-0.153651,no
1.894577,1.508162,-0.31718,-0.304522,-0.154572,no
1.894577,1.508162,-0.31718,-0.304522,-0.154572,no
1.894577,1.508162,-0.31718,-0.304522,-0.154572,no
1.891483,1.508256,-0.316798,-0.305699,-0.154748,no
1.717393,1.0276,-0.091057,-0.107857,-0.031827,no
1.141341,0.086332,0.29512,0.336411,0.140836,no
-5.329247,-0.574564,1.440898,0.646222,-0.496934,no
1.894577,1.508162,-0.31718,-0.304522,-0.154572,no
1.908244,1.506888,-0.32005,-0.301382,-0.153651,no
1.488118,0.271121,0.187395,0.209944,0.240136,no
1.894577,1.508162,-0.31718,-0.304522,-0.154572,no
0.628618,-0.528213,0.480248,0.239222,-0.052624,no
1.894577,1.508162,-0.31718,-0.304522,-0.154572,no
1.894577,1.508162,-0.31718,-0.304522,-0.154572,no
1.141341,0.086332,0.29512,0.336411,0.140836,no
1.029013,-0.236296,0.33489,0.346172,0.197669,no
1.894577,1.508162,-0.31718,-0.304522,-0.154572,no
1.796013,1.043286,-0.214081,-0.137449,0.201119,no
-0.181157,-0.696733,-0.370726,0.371369,-0.127123,no
1.831249,1.066346,-0.140372,-0.029041,0.097377,no
-3.404168,-1.819232,-1.155009,-0.091635,-0.410344,no
1.796013,1.043286,-0.214081,-0.137449,0.201119,no
1.694038,1.019197,-0.081586,-0.14318,-0.061849,no
1.296145,0.392944,-0.089893,-0.19461,0.383501,no
1.387914,0.084342,0.136425,0.359271,0.589017,no
1.665532,0.503665,0.056972,0.217183,0.266056,no
1.732115,0.022319,0.4387,0.775859,0.829414,no
-0.807723,-1.431116,0.414864,-0.09653,-0.012485,no
1.153097,-0.10315,0.311464,0.261976,0.107592,no
-2.403851,-1.083715,0.998417,-0.610175,-0.99701,no
-1.566827,-1.795806,-0.395878,0.603596,0.068477,no
-0.998773,-1.66103,0.448523,0.433407,0.196991,no
-0.595077,-1.473262,-0.495082,0.686352,0.088884,no
0.544324,-1.064263,0.308198,0.554556,0.412438,no
1.033124,-0.003766,0.428368,0.104149,-0.212749,no
1.667489,-0.131058,0.436373,0.787689,0.823528,no
1.939194,1.523029,-0.335532,-0.283359,-0.109223,no
1.799458,1.054769,-0.125736,-0.044229,0.059033,no
1.925527,1.524303,-0.332662,-0.286499,-0.110144,no
1.925527,1.524303,-0.332662,-0.286499,-0.110144,no
1.925527,1.524303,-0.332662,-0.286499,-0.110144,no
1.087935,-0.091563,0.283957,0.445566,0.318343,no
0.718537,-0.505405,0.450785,0.295964,0.022475,no
-9.702,-2.981741,-1.456835,-5.14003,3.084528,no
1.908244,1.506888,-0.32005,-0.301382,-0.153651,no
-1.894647,-1.650014,-0.492088,0.409359,0.059519,no
1.77064,1.040304,-0.111725,-0.060259,0.019151,no
1.894577,1.508162,-0.31718,-0.304522,-0.154572,no
1.207499,-0.061545,0.284836,0.265928,0.139859,no
1.49208,0.635243,-0.178185,-0.332469,0.336044,no
1.288775,-0.081925,0.239112,0.417244,0.383822,no
-4.919028,-2.572263,-1.168555,-2.730052,2.566424,no
1.26686,-0.171404,0.257202,0.465858,0.433439,no
0.648977,-0.379984,0.280739,0.075053,0.23371,no
1.299086,-0.080014,0.235082,0.422253,0.392562,no
1.378702,-0.027727,0.235654,0.456782,0.428202,no
0.380118,-0.736687,0.457178,-0.003676,-0.045868,no
-0.3121,-0.676602,-0.193164,0.434293,-0.368804,no
-1.799238,-1.31517,0.689826,-0.146952,-0.377287,no
1.831249,1.066346,-0.140372,-0.029041,0.097377,no
-3.132991,-1.135168,-0.023763,-0.169087,-0.56658,no
1.856807,0.336058,0.447052,0.7561,0.839588,no
1.274965,-0.061029,0.245126,0.39045,0.33589,no
1.26686,-0.171404,0.257202,0.465858,0.433439,no
2.42709,4.545439,-1.878995,-2.292921,-1.785755,no
1.871338,1.508583,-0.311613,-0.35793,-0.170756,no
0.943688,-0.350539,0.365522,0.35176,0.196581,no
1.000809,-0.218427,0.252291,0.520839,0.406017,no
1.074777,-0.372023,0.301662,0.480708,0.373273,no
-2.754542,-1.766803,0.666462,-0.866702,-0.569433,no
0.522343,-0.54961,0.51702,0.152814,-0.140527,no
1.300648,-0.161946,0.243391,0.504917,0.471197,no
-0.136212,-0.852087,0.317324,0.016,0.272375,no
0.510129,-1.031232,0.283639,0.623017,0.472936,no
0.534342,-0.798411,0.413418,0.366004,0.117959,no
1.149388,-0.344206,0.287051,0.42677,0.387518,no
0.704016,-0.538427,0.411379,0.295374,0.047875,no
0.557549,-0.604838,0.481253,0.196674,-0.017062,no
0.557549,-0.604838,0.481253,0.196674,-0.017062,no
1.856807,0.336058,0.447052,0.7561,0.839588,no
-1.548555,-1.270343,-0.389549,-0.471928,-0.248581,no
1.177841,-0.185044,0.275796,0.38426,0.286445,no
1.300648,-0.161946,0.243391,0.504917,0.471197,no
1.529028,0.960843,-0.825325,0.314352,-0.33783,no
0.352513,-0.712778,0.420322,0.198047,0.108852,no
1.856807,0.336058,0.447052,0.7561,0.839588,no
0.944987,-0.374314,0.261668,0.259154,0.317296,no
1.229539,-0.11294,0.175545,0.274297,0.457435,no
-0.415845,-1.264464,0.328525,-0.101371,0.163606,no
1.313781,0.136232,0.130414,0.179504,0.372845,no
0.538148,-0.770183,0.269111,0.35841,0.38485,no
1.853713,0.336153,0.447434,0.754923,0.839412,no
1.856807,0.336058,0.447052,0.7561,0.839588,no
1.71845,0.752617,-0.016834,0.084821,0.185171,no
-0.057187,-0.85479,0.300529,-0.183176,0.142964,no
-0.049739,-1.380109,0.128053,-0.118243,0.518326,no
1.71845,0.752617,-0.016834,0.084821,0.185171,no
-0.515093,-1.588345,0.152125,-0.294087,0.405656,no
-0.195746,-1.423387,0.065239,-0.219581,0.604343,no
-0.155264,-1.410928,0.064506,-0.213769,0.611528,no
0.266812,-0.627044,0.49063,0.207006,-0.143402,no
-2.395074,-1.587448,0.877509,0.037302,-0.534505,no
-1.51276,-1.501013,-0.214934,0.113859,-0.475649,no
0.046979,-0.953452,0.368993,-0.007589,0.041536,no
1.925527,1.524303,-0.332662,-0.286499,-0.110144,no
-3.006701,-1.309726,1.169728,-0.466418,-1.246918,no
1.552301,0.694707,0.04029,0.049855,0.001875,no
1.739324,1.465118,-1.070422,0.117569,-0.404912,no
-7.151188,-1.785566,-0.352711,0.056572,-1.497883,no
-2.572729,-1.123482,0.956353,-0.494498,-0.814949,no
-1.14655,-0.974727,0.891102,-0.047285,-0.708311,no
-1.082171,-0.732891,0.655929,0.104657,-0.384538,no
-0.983542,-1.483772,0.597669,0.078796,-0.252287,no
-1.536878,-1.390909,0.621038,0.13477,-0.312721,no
0.158997,-0.396871,-0.505501,0.335038,-0.018203,no
0.137334,-0.470254,0.569308,0.114432,-0.26117,no
-0.617609,-1.613823,-0.832738,-1.732754,1.748934,no
1.925527,1.524303,-0.332662,-0.286499,-0.110144,no
0.220083,-0.663935,0.520294,0.227367,-0.1313,no
-0.329684,-1.08441,0.460603,0.003512,0.039605,no
-1.338538,-1.180787,0.771425,0.061715,-0.44282,no
0.853341,-0.490839,0.31236,0.488602,0.355347,no
0.527906,-0.566271,0.500897,0.123857,-0.169352,no
1.867483,1.500302,-0.306656,-0.340238,-0.184878,no
0.086314,-0.488887,-0.316611,0.186346,-0.512208,no
1.925527,1.524303,-0.332662,-0.286499,-0.110144,no
1.584163,0.252593,0.191849,0.398947,0.434873,no
1.435743,0.208911,-0.562827,0.822608,0.184993,no
1.584163,0.252593,0.191849,0.398947,0.434873,no
1.587441,0.229281,0.168474,0.378668,0.410083,no
1.925527,1.524303,-0.332662,-0.286499,-0.110144,no
1.54484,0.331767,0.150849,0.270692,0.266639,no
1.51649,0.500184,0.084677,0.204725,0.1945,no
1.587441,0.229281,0.168474,0.378668,0.410083,no
1.925527,1.524303,-0.332662,-0.286499,-0.110144,no
1.763595,1.113581,-0.095489,-0.080895,-0.006272,no
1.894577,1.508162,-0.31718,-0.304522,-0.154572,no
-1.067666,-0.909694,0.486598,0.173074,0.140219,no
0.703976,-0.520795,0.368018,0.452414,0.194559,no
-1.428989,-1.218189,-0.299221,0.986375,-0.209704,no
0.688822,-0.633672,-1.278347,1.22923,-0.013339,no
0.340005,-0.799037,-0.341418,0.796676,-0.085268,no
1.125134,-0.213488,-0.500761,0.892862,0.191011,no
1.013551,-0.539571,0.223047,0.363189,0.457287,no
0.448503,-0.521848,-0.03775,-0.317623,0.710857,no
-0.686258,-1.038401,0.474306,-0.306607,-0.125632,no
1.478773,0.455838,0.116675,0.157917,0.087836,no
-0.219817,-0.686462,0.736675,-0.048309,-0.545437,no
0.090295,-0.573208,0.60955,0.122687,-0.298595,no
-0.317617,-0.850746,0.697841,0.085104,-0.444045,no
1.939194,1.523029,-0.335532,-0.283359,-0.109223,no
1.633141,1.192977,-0.093285,-0.28248,-0.319794,no
1.925527,1.524303,-0.332662,-0.286499,-0.110144,no
1.925527,1.524303,-0.332662,-0.286499,-0.110144,no
0.501342,-0.766702,0.303469,0.430004,0.41373,no
1.939194,1.523029,-0.335532,-0.283359,-0.109223,no
1.449937,0.228531,0.031109,0.026926,0.467506,no
1.449937,0.228531,0.031109,0.026926,0.467506,no
-0.974494,-1.246198,-0.293704,0.651449,-0.143698,no
1.780147,1.459933,-0.260794,-0.370031,-0.304444,no
1.894577,1.508162,-0.31718,-0.304522,-0.154572,no
-2.471608,-1.688067,0.303853,-0.056623,-1.40369,no
-2.757672,-1.324589,0.852959,-0.46166,-0.585824,no
0.376876,-0.745641,-0.33725,0.930414,-0.087932,no
1.772232,0.758377,-0.032427,0.1276,0.217211,no
-1.742551,-1.776536,-2.608652,1.691279,-1.039881,no
-6.607098,-1.040734,-1.784768,-0.417037,1.389403,yes
-6.422584,-1.763837,-3.538456,1.61784,-2.227607,yes
-4.259684,-1.130426,-0.437061,0.108064,-1.378445,yes
-4.338752,-0.614278,1.244491,0.205016,-0.550539,yes
-65.707314,14.131395,6.587561,2.551599,1.357781,yes
-3.601997,-1.761803,0.452349,0.080046,-1.444074,yes
-4.118054,-1.520966,0.042572,0.623173,-0.264653,yes
-23.707259,0.537649,-3.580473,-1.861035,0.811904,yes
-2.756466,-1.077064,0.760775,-0.660742,-0.603074,yes
-4.137723,-1.400081,-0.816498,0.639942,-0.730417,yes
-2.611194,-1.672865,-0.923994,-2.853214,1.873347,yes
-10.141008,-2.340989,-1.512868,-4.049679,2.185648,yes
-3.073498,-1.537419,-0.150695,-0.187919,-0.517367,yes
-3.230245,-1.041982,0.923595,0.541499,-0.371009,yes
-2.603272,-1.743357,-2.396341,1.520365,-1.237825,yes
-2.638915,-1.447596,1.009174,-0.026533,-0.793517,yes
-7.004904,-1.749305,-3.046475,1.964707,-1.046623,yes
-6.394055,-1.883921,-0.508414,0.010925,0.906039,yes
-1.110045,-1.051659,0.636115,-0.322697,-0.337687,yes
-1.980411,-1.305448,-0.788652,0.217722,-1.089295,yes
-2.008099,-1.409422,0.773659,-0.029217,-0.376751,yes
-1.011117,-1.299394,0.825045,-0.105376,-0.690077,yes
-1.311852,-1.722258,0.440607,0.390139,0.270579,yes
-1.386471,-1.845337,-0.842709,-1.17499,2.016604,yes
-1.659646,-1.497625,0.595497,0.180606,-0.116455,yes
-1.490354,-1.262759,-0.938296,0.965233,-0.493338,yes
-1.259531,-0.451836,0.545036,-0.099844,0.123526,yes
-0.428108,-1.199967,0.374637,-0.059272,0.138091,yes
-3.701233,-1.115944,1.036194,-0.271356,-0.555102,yes
-0.676948,-1.243773,0.720024,-0.040245,-0.527881,yes
-14.108144,-1.407114,-8.215186,1.691053,-1.18516,yes
-0.907978,-1.03354,0.313214,-0.674436,0.009629,yes
