@relation 'camel-1.6_deleteColumns-weka.filters.unsupervised.attribute.Remove-R1,4-5,7-12,14'

@attribute dit numeric
@attribute noc numeric
@attribute lcom numeric
@attribute moa numeric
@attribute cam numeric
@attribute ic numeric
@attribute cbm numeric
@attribute amc numeric
@attribute max_cc numeric
@attribute avg_cc numeric
@attribute bug {1,0}

@data
1,7,24,2,0.444444,0,0,12.666667,2,1,0
5,0,0,1,0.555556,0,0,9.666667,1,0.6667,1
1,0,3,0,0.833333,0,0,6.666667,2,1,0
1,2,49,0,0.25974,0,0,9.636364,2,1,0
3,0,1,0,0.75,1,1,3.5,1,0.5,1
3,0,0,1,0.4375,0,0,19.4,1,0.6,1
1,0,3,0,0.5,0,0,20,1,0.6667,0
1,0,1,0,0.75,0,0,0,1,1,0
3,0,0,1,0.47619,1,1,4.714286,1,0.7143,1
1,0,0,0,1,0,0,0,1,1,0
1,0,190,0,0.225,0,0,0,1,1,0
1,0,0,0,1,0,0,6,0,0,0
1,0,11,2,0.4,0,0,8,1,0.5714,0
2,27,0,1,0.34375,1,1,4.75,1,0.875,0
1,0,66,0,0.333333,0,0,5.166667,1,0.9167,1
1,0,6,0,0.75,0,0,0,1,1,0
1,1,112,2,0.266667,0,0,8.125,3,1.25,1
1,0,2,1,0.4375,0,0,12.2,5,1.4,0
3,0,245,1,0.169231,1,6,11.518519,3,1.0741,0
1,0,21,4,0.211111,0,0,8.3,1,0.9,0
2,0,641,1,0.155263,1,1,10.25641,2,0.9744,0
0,2,21,0,0.6,0,0,22.142857,5,2.4286,0
1,1,81,2,0.315789,0,0,23.789474,8,2.1053,1
2,0,102,1,0.195313,0,0,7.375,1,0.9375,0
2,0,1,0,1,0,0,13.5,1,0.5,0
2,0,4,3,0.444444,1,1,9.5,1,0.5,0
1,0,0,0,0,0,0,0,0,0,0
0,2,6,0,0.5,0,0,20,5,2,0
3,0,0,1,0.357143,1,1,15.375,2,0.875,0
3,0,111,0,0.311111,1,2,9.777778,5,1.2778,0
1,0,0,0,0,0,0,0,0,0,0
2,0,198,1,0.217687,1,3,4.619048,1,0.8571,0
1,0,6,0,0.375,0,0,18.75,5,2,0
3,0,1,0,0.666667,1,1,4.5,1,0.5,0
3,0,37,4,0.314286,1,1,13.2,5,1.4,1
3,0,3,0,0.777778,1,2,7.333333,1,0.6667,0
1,1,0,1,0.258242,0,0,8.038462,2,1,1
1,0,0,1,0.666667,0,0,18,1,0.5,1
1,0,0,0,0,0,0,0,0,0,0
1,0,1,0,0.5,0,0,28,5,1.6667,1
2,4,34,1,0.230769,0,0,13.230769,3,1.1538,1
1,0,1,0,1,0,0,0,1,1,1
3,0,3,1,0.375,1,1,6.5,1,0.8333,0
2,0,9,3,0.444444,1,20,4.5,1,0.8333,0
2,0,104,1,0.18125,1,1,16.529412,2,0.7647,1
3,0,0,0,0.533333,0,0,8.333333,1,0.6667,1
1,0,231,0,0.25974,0,0,0,1,1,1
2,0,15,0,0.25,1,2,14,2,1,0
1,0,0,1,0.75,0,0,4.5,1,0.5,0
2,0,0,0,1,0,0,13,0,0,0
3,0,57,3,0.241071,0,0,11.666667,6,1.0667,0
5,0,24,1,0.222222,1,1,4.875,1,0.875,0
3,0,22,1,0.272727,2,3,31.166667,2,0.9167,0
1,0,0,1,0.458333,0,0,20.75,3,1.25,0
4,0,72,0,0.21875,1,1,8.0625,1,0.8125,0
1,1,3,0,0.666667,0,0,8,1,0.8333,1
1,0,24,0,0.416667,1,4,25.444444,10,2.1111,0
4,1,0,1,1,0,0,8,0,0,0
3,0,4,2,0.583333,0,0,36.25,3,1,0
3,1,55,3,0.205357,1,2,12.142857,5,1.2143,0
2,0,17,0,0.375,0,0,11.571429,2,1,0
1,0,0,3,0.571429,0,0,32.5,1,0.5,1
1,0,39,0,0.261538,0,0,15.142857,1,0.8571,0
6,0,10,0,0.366667,0,0,14.4,1,0.6,0
1,0,3,0,0.666667,0,0,18.333333,3,1.3333,0
3,0,1,0,0.666667,1,2,7.5,1,0.5,0
1,0,1,0,0.75,0,0,2.5,1,0.5,0
4,0,0,1,0.291667,2,4,43.555556,1,0.7778,0
4,1,1,0,0.75,0,0,1.5,1,0.5,0
1,0,0,1,0.257143,0,0,12.3,2,0.9,0
2,0,3,0,0.5,1,1,19,3,1.3333,0
3,0,1,0,0.666667,1,2,18.5,1,0.5,0
2,2,5,1,0.366667,0,0,14.666667,2,1.1667,1
2,0,178,1,0.221429,1,3,4.65,1,0.85,0
2,0,1,0,1,0,0,19,1,0.5,0
1,0,29,1,0.444444,0,0,9.5,4,1.6,1
3,0,61,0,0.366667,1,3,10,2,0.9333,0
1,0,45,0,0.255556,0,0,0,1,1,0
4,0,15,0,0.3,0,0,6.5,1,0.3333,0
1,0,6,0,0.55,0,0,0,1,1,0
3,0,0,0,0.5,0,0,48.5,1,0.5,0
3,0,3,0,0.666667,1,1,12,1,0.6667,0
3,0,10,0,0.466667,1,1,5.2,1,0.8,0
1,0,0,0,0.625,0,0,11.5,1,0.75,0
1,0,6,0,1,0,0,3.75,1,0.75,0
1,0,17,0,0.285714,1,4,24.714286,1,0.5714,0
3,3,37,0,0.3,1,1,10.272727,1,0.8182,1
1,0,300,0,0.136364,0,0,7.428571,4,1.1429,0
2,2,93,1,0.2,1,1,19.611111,3,0.9444,1
2,0,7,1,0.314286,1,1,4.285714,1,0.7143,0
2,1,2573,8,0.069257,1,1,18.826667,7,1.36,1
2,0,10,0,0.36,1,1,5,1,0.6,0
2,1,992,4,0.093617,0,0,15.729167,6,1.2292,0
1,0,16,0,0.267857,0,0,18.625,2,1,0
3,0,15,1,0.328571,1,2,20.857143,3,1.2857,1
3,0,8,0,0.314286,1,1,57.8,18,5,0
5,0,3,0,0.777778,0,0,4.333333,0,0,0
4,0,0,1,0.5,0,0,9.666667,1,0.6667,0
3,0,8,0,0.4,1,2,15.4,2,1.2,0
0,0,0,0,0.37037,0,0,22.555556,1,0.8889,0
2,0,11,4,0.355556,1,1,16.6,3,1.1,1
0,0,102,3,0.222222,0,0,10.3125,3,1.125,0
1,0,15,0,0.555556,0,0,0,1,1,0
4,0,1,0,0.833333,0,0,4.5,0,0,0
3,0,26,2,0.307692,1,1,16.153846,8,1.3846,1
2,0,627,7,0.105263,0,0,7.368421,2,1.0263,1
3,0,71,0,0.271429,2,7,11.142857,4,1.3571,0
2,0,54,1,0.305556,1,1,15.769231,3,1.1538,1
3,0,0,0,0.4375,2,3,20.25,3,1.25,0
0,0,2,2,0.833333,0,0,16,1,0.5,0
1,4,9,0,0.5,0,0,2.666667,1,0.6667,0
2,0,22,0,0.303571,0,0,6.375,1,0.625,0
0,2,28,0,0.375,0,0,25,2,1,0
1,0,0,1,0.44,0,0,21.2,3,1.2,0
1,0,6,0,0.25,0,0,12.5,1,0.75,0
2,1,8,0,0.583333,0,0,4.6,1,0.6,0
2,0,3,0,0.666667,1,2,3,1,0.3333,0
2,0,15,3,0.357143,1,20,4.857143,1,0.8571,0
2,0,3,0,0.75,1,1,4.333333,1,0.3333,0
1,0,1,0,1,0,0,0,1,1,0
1,0,0,0,0.416667,0,0,17.25,1,0.5,0
2,0,289,2,0.136364,0,0,9.423077,3,1.1154,0
0,0,4,0,0.4375,0,0,19,6,2.25,0
2,0,30,3,0.333333,1,21,5.111111,1,0.8889,0
1,0,3,0,0.666667,0,0,19,6,2.3333,0
4,3,0,0,1,0,0,5,0,0,0
3,0,6,0,0.5625,0,0,14.5,2,1,1
4,0,30,0,0.355556,2,3,7.222222,1,0.5556,0
3,0,11,0,0.4,1,1,6,1,0.6667,0
1,0,1,0,0.666667,1,1,36,1,0.5,0
1,0,0,0,1,0,0,0,1,1,0
2,0,3,0,0.666667,1,2,3,1,0.3333,0
1,0,3,0,0.833333,0,0,5.666667,1,0.6667,0
2,0,133,0,0.130952,1,1,6.222222,1,0.9444,0
1,1,137,1,0.157895,0,0,8.315789,2,1,1
4,0,6,1,0.34375,1,1,9.875,3,1.25,0
3,0,0,1,0.5,1,1,6.666667,1,0.6667,1
6,0,0,1,0.4375,0,0,9.5,1,0.75,0
1,0,0,0,1,0,0,0,1,1,0
4,0,297,1,0.166144,1,1,25,17,2.7333,1
1,0,0,0,1,0,0,0,1,1,0
1,0,7,0,0.4,1,1,34,1,0.6667,0
1,0,0,0,0,0,0,0,0,0,0
2,0,18,8,0.314286,1,1,18.375,1,0.75,0
5,0,0,0,0.5,0,0,11.5,2,1,1
2,1,220,5,0.142292,1,1,17,5,1.5833,0
3,16,4,0,0.5,1,3,9.2,3,1.2,1
3,0,3,0,0.777778,1,1,10,1,0.6667,0
1,0,1,0,0.75,0,0,2,1,0.5,0
2,1,29,0,0.535714,0,0,10.785714,5,1.2857,0
1,0,3,0,0.555556,0,0,5,1,0.6667,0
1,0,25,0,0.311111,0,0,7.2,3,1,0
3,0,168,1,0.192857,2,3,11.47619,5,1.0952,0
1,0,6,1,0.466667,0,0,4.8,1,0.8,0
4,0,17,1,0.327273,1,2,8.545455,3,1,1
1,0,3,0,0.583333,0,0,63.333333,10,5.6667,0
1,0,0,0,1,0,0,0,1,1,0
5,0,0,0,0.5,0,0,10.25,2,0.75,0
1,0,325,0,0.157692,0,0,0,1,1,1
0,0,1,0,1,0,0,2.5,1,0.5,0
1,0,495,2,0.134804,0,0,6.852941,11,1.2647,0
1,0,3,0,1,0,0,0,1,1,0
3,0,0,2,0.4375,1,1,52.75,7,2.25,0
5,0,6,0,0.36,0,0,11.8,2,1,1
1,0,3,0,0.416667,0,0,10,2,1,1
1,0,22,2,0.265625,0,0,13.666667,3,1.2222,0
1,3,0,0,0.625,0,0,6.5,1,0.75,0
2,0,9,1,0.366667,0,0,6.5,1,0.6667,0
3,0,1527,3,0.133621,1,2,9.084746,11,1.2034,1
1,0,0,0,0.625,0,0,14,1,0.5,1
4,0,15,0,0.444444,2,2,5.166667,1,0.5,0
4,0,27,1,0.32,2,3,7.5,2,0.9,0
2,0,15,0,0.433333,1,3,12.428571,2,1,0
1,0,53,1,0.230769,0,0,13.785714,3,1.3571,1
1,0,25,0,0.409091,0,0,8.181818,3,1.2727,0
2,0,0,1,0.357143,1,1,20.428571,4,1.2857,1
3,0,1,1,0.444444,1,1,25.666667,1,0.8333,0
1,0,0,0,0.6,0,0,22.333333,6,2,0
1,0,0,0,1,0,0,0,1,1,0
6,0,0,0,1,0,0,12,0,0,0
4,0,0,0,0.45,0,0,7.75,2,0.75,0
2,0,79,0,0.314286,0,0,7.2,4,1,0
1,0,1,0,1,0,0,0,1,1,1
1,0,1,0,1,0,0,0,1,1,0
4,2,54,1,0.333333,0,0,5.833333,1,0.5,0
1,0,0,0,1,0,0,0,1,1,0
3,6,75,0,0.205357,1,1,10.4,3,0.9333,1
2,0,15,3,0.357143,1,20,5.857143,1,0.8571,0
3,0,157,0,0.215278,1,1,4.526316,1,0.7895,0
1,0,1708,0,0.122222,0,0,12.196721,6,1.2131,0
1,0,0,0,1,0,0,0,1,1,0
1,0,283,3,0.157343,0,0,13.851852,7,1.5556,1
1,0,0,1,0.5,0,0,6.6,1,0.6,1
4,0,33,0,0.3,1,1,10.642857,5,1.2857,0
0,0,2,2,0.833333,0,0,16,1,0.5,0
1,0,0,0,1,0,0,0,1,1,0
1,0,60,1,0.104167,0,0,4.25,1,0.9167,0
1,0,1,0,0.75,0,0,10.5,1,0.5,0
2,0,9,3,0.444444,1,20,4.5,1,0.8333,0
3,0,24,2,0.333333,0,0,13.111111,1,0.6667,0
3,0,1,0,0.666667,1,1,5,1,0.5,0
2,0,9,0,0.416667,0,0,6.333333,2,0.8333,0
2,14,3,1,0.5,1,1,7,1,0.8,1
3,0,9,0,0.375,2,4,17.333333,4,1.3333,0
1,0,0,0,1,0,0,0,1,1,0
1,0,18,3,0.333333,0,0,18.923077,1,0.8462,0
1,0,0,0,1,0,0,0,1,1,0
1,0,15,0,0.291667,0,0,6.5,1,0.8333,0
1,0,0,0,0,0,0,0,0,0,0
3,0,1,0,0.5,0,0,17,2,1,1
1,0,3,0,0.533333,0,0,15,1,0.6667,0
3,0,0,1,0.458333,1,1,9,1,0.8333,0
1,0,0,0,1,0,0,0,1,1,0
3,0,0,3,0.3,1,1,10.857143,1,0.7143,0
2,0,4,6,0.444444,1,1,17,1,0.5,0
1,0,30,0,0.375,0,0,9.222222,1,0.6667,0
1,0,10,0,0.333333,0,0,19.222222,4,1.8889,0
1,0,181,6,0.123377,0,0,12.272727,6,1.4091,1
1,0,3,0,0.833333,0,0,5,1,0.6667,0
4,0,3,0,0.283333,2,3,9.6,4,0.9,0
1,0,4,0,0.7,0,0,4.8,1,0.8,0
1,0,10,0,0.36,0,0,4.6,1,0.8,0
2,0,56,0,0.260417,1,2,10.75,2,1.0833,0
4,0,24,1,0.444444,2,2,5.555556,1,0.4444,0
4,0,0,0,0.75,0,0,8.5,1,0.5,0
2,0,52,2,0.321429,0,0,14.230769,1,0.5385,0
1,1,75,1,0.27619,0,0,8,2,1,1
2,0,0,2,0.466667,1,2,23.666667,4,1.1667,1
1,0,24,0,0.541667,0,0,7.25,2,1.25,0
1,0,12,4,0.275,0,0,23.333333,4,1.3333,0
2,0,0,0,1,0,0,3,0,0,0
2,0,0,1,0.5,0,0,7.75,1,0.5,0
3,0,3,0,0.666667,1,1,6.333333,1,0.3333,0
3,0,320,1,0.175953,2,3,24.6875,7,1.7813,0
1,0,1,0,0.833333,0,0,0,1,1,1
4,0,21,0,0.392857,3,4,7.142857,2,0.7143,0
3,0,42,2,0.233766,1,1,9,2,0.8333,1
1,0,6,0,0.4,0,0,0,1,1,1
1,0,39,4,0.272727,0,0,7.818182,1,0.9091,0
1,0,0,0,0,0,0,0,0,0,0
3,0,13,0,0.375,1,1,4.5,2,1,0
2,0,159,1,0.233083,1,3,4.473684,1,0.8421,0
1,1,0,1,0.309524,0,0,5.333333,1,0.8333,1
1,0,0,0,1,0,0,0,1,1,0
1,17,279,3,0.205128,0,0,12.884615,6,1.3846,0
0,0,3,0,0.416667,0,0,20.666667,4,1.6667,0
1,0,1,0,0.833333,0,0,0,1,1,0
1,0,1,1,0.5,0,0,7.333333,1,0.3333,1
1,0,0,0,1,0,0,0,1,1,0
1,0,22,0,0.458333,0,0,5.125,1,0.875,0
4,0,13,1,0.375,1,1,7,2,0.8,0
2,0,0,1,0.4,0,0,18,2,1,1
2,0,123,2,0.161111,0,0,6.722222,1,0.9444,0
1,1,437,2,0.133995,0,0,7,2,1,1
3,0,0,2,0.222222,1,1,54.777778,1,0.8889,0
2,0,124,1,0.235294,1,3,4.764706,1,0.8235,0
1,0,1,0,0.75,0,0,2.5,1,0.5,0
2,0,0,0,0.5,1,2,23.4,4,1.4,0
1,0,0,0,1,0,0,0,1,1,0
3,0,71,0,0.293333,2,6,9.6,4,1.1333,0
1,0,6,0,0.583333,0,0,0,1,1,1
1,0,0,0,0.5,0,0,7.25,2,1,0
1,32,63,0,0.377778,0,0,14.466667,5,1.4667,1
1,0,10,0,0.28,0,0,7.2,1,0.8,0
1,0,9,0,0.333333,0,0,30.333333,5,1.3333,0
1,0,0,0,1,0,0,0,1,1,0
1,0,0,0,0.666667,0,0,5.666667,1,0.6667,0
3,0,50,1,0.333333,1,1,11.833333,4,1.1667,0
5,0,4,0,0.4,1,1,8,1,0.75,0
6,0,7,0,0.416667,0,0,11.666667,3,1.1667,0
2,0,7,0,0.36,1,1,8.5,2,0.8333,1
1,0,10,0,0.333333,0,0,15.2,1,0.8,0
5,2,3,0,0.777778,0,0,4.333333,0,0,0
1,0,630,0,0.138889,0,0,8.5,12,1.2778,1
2,0,25,0,0.27381,0,0,6.642857,3,1.0714,0
1,0,0,0,1,0,0,0,1,1,0
1,0,1,0,0.5,0,0,10.5,1,0.5,0
1,0,0,1,0.666667,0,0,9,2,1,0
1,0,44,1,0.240741,0,0,18.75,1,0.8333,0
0,0,39,2,0.230769,0,0,9.785714,8,1.3571,0
0,0,1,0,0.75,0,0,12.333333,1,0.3333,0
2,0,3,0,0.666667,1,3,34.333333,11,4,1
4,0,21,0,0.392857,3,4,5.428571,1,0.5714,0
1,0,6,0,0.5625,0,0,8.25,2,1,0
0,0,1,0,0.666667,0,0,6,1,0.5,0
1,0,4,0,0.666667,0,0,27,5,1.5,0
2,1,28,1,0.241758,0,0,8,1,0.7692,0
5,0,0,2,0.5,0,0,5.333333,1,0.6667,0
2,0,1,0,0.6,1,1,23,4,2,1
1,0,6,0,0.75,0,0,3.5,1,0.75,0
2,0,73,4,0.214286,1,1,14.733333,6,1.2667,0
1,0,4,0,0.5,0,0,15.75,1,0.5,1
3,0,99,5,0.212963,1,1,24.894737,9,1.5263,0
3,0,250,2,0.223602,0,0,8.625,3,1.1667,0
2,2,116,3,0.178571,1,1,7.142857,4,1.1905,1
4,0,1,0,0.666667,1,1,5,1,0.5,0
4,0,0,0,1,0,0,5,0,0,0
3,0,1,0,0.75,1,1,3.5,1,0.5,1
1,0,1,0,0.7,0,0,0,1,1,0
5,0,0,0,0.666667,0,0,9,1,0.5,0
1,0,2,2,0.777778,0,0,31.25,3,1.5,1
1,0,64,1,0.333333,0,0,23.538462,5,1.3077,0
3,0,0,1,0.291667,1,1,13.714286,1,0.7143,0
2,0,3,0,0.666667,1,2,3,1,0.3333,0
1,0,1,0,0.75,0,0,2.5,1,0.5,0
2,2,2017,2,0.096801,0,0,17.880597,6,1.194,1
1,0,47,1,0.358974,0,0,35.642857,17,3.2143,1
3,0,11,2,0.257576,1,2,10.818182,1,0.7273,0
4,0,10,0,0.466667,2,3,7.2,1,0.6,0
3,0,3,0,0.666667,0,0,9,1,0.3333,0
5,0,0,1,0.25,3,6,56,1,0.8462,0
2,0,24,1,0.407407,0,0,7.444444,1,0.8889,0
1,0,0,0,1,0,0,0,1,1,1
2,0,4,0,0.75,1,2,4.75,1,0.5,0
1,0,143,3,0.169591,0,0,5.684211,3,1.0526,1
3,0,347,0,0.166667,1,5,10.266667,2,0.9333,0
1,0,1,0,0.833333,0,0,0,1,1,0
1,0,1,0,0.75,0,0,0,1,1,0
3,0,0,0,0.5,1,1,4,1,0.75,0
1,0,0,0,0.75,0,0,21.25,4,1.5,0
3,0,0,0,1,0,0,3,0,0,0
1,14,809,7,0.118467,0,0,10.619048,4,1.5714,1
1,0,10,0,0.8,0,0,1.6,1,0.8,0
1,0,9,3,0.357143,0,0,9.857143,1,0.8571,0
1,0,0,0,0,0,0,0,0,0,0
5,0,0,2,0.555556,0,0,9,1,0.6667,0
1,0,6,0,0.3,0,0,32.25,7,3.25,1
3,0,0,0,1,0,0,4,0,0,1
0,2,6,0,0.4,0,0,22.25,4,1.5,0
4,2,334,1,0.187739,0,0,7.586207,9,1.4138,0
3,0,1,0,0.75,1,1,3.5,1,0.5,1
4,0,0,0,1,0,0,4,0,0,0
1,0,626,1,0.116667,0,0,6.944444,1,0.9722,0
5,0,3,0,0.777778,0,0,4.333333,0,0,0
1,0,0,0,1,0,0,0,1,1,0
3,0,191,1,0.20202,1,5,12.26087,2,0.913,1
1,0,26,0,0.452381,0,0,23.125,8,2.25,1
2,0,23,0,0.242857,1,5,17.1,3,1.5,0
2,0,6,0,0.333333,0,0,5.6,1,0.8,0
2,0,3,0,0.666667,1,2,3,1,0.3333,0
3,4,6,0,0.666667,0,0,4,0,0,0
0,0,1,0,1,0,0,8,1,0.5,0
4,0,3,0,0.444444,1,1,7,1,0.6667,0
1,0,0,0,1,0,0,0,1,1,0
2,0,0,0,0.583333,0,0,4.25,1,0.5,0
0,2,10,0,0.5,0,0,28,4,1.8,0
1,0,0,0,0.6,0,0,9.5,1,0.5,1
1,0,148,3,0.210526,0,0,35.2,10,1.95,0
1,0,1263,0,0.104444,0,0,13.235294,2,1,1
1,0,4,0,0.5,0,0,4.5,1,0.75,0
5,2,1,0,0.875,0,0,5.5,0,0,0
4,0,22,0,0.3,2,3,6.25,1,0.625,0
1,0,3,0,0.833333,0,0,3,1,0.6667,0
1,0,1,0,0.625,0,0,6.5,1,0.5,0
1,0,0,0,1,0,0,0,1,1,0
3,0,62,0,0.354167,1,3,7.166667,3,0.9167,0
1,0,136,0,0.344538,0,0,16,4,1.4706,1
3,0,8,0,0.533333,1,2,8.8,2,0.8,0
3,0,18,0,0.35,0,0,47.444444,8,1.7778,0
3,0,13,1,0.444444,1,1,7.833333,1,0.8333,0
2,0,30,0,0.518519,1,4,5.333333,2,0.7778,1
5,0,2,0,0.666667,0,0,10.25,1,0.5,0
2,6,7,2,0.375,0,0,6.833333,2,1,1
2,1,27,2,0.323077,1,5,11.928571,7,1.2143,1
4,0,23,1,0.35,1,2,10.9,3,1.2,0
1,0,347,2,0.114286,0,0,11.5,3,1.0333,0
3,0,51,0,0.3,1,3,8,1,0.8571,0
1,0,0,0,1,0,0,0,1,1,0
1,0,0,0,1,0,0,0,1,1,0
1,2,6,0,0.45,0,0,23,3,1.5,0
1,0,23,0,0.192857,0,0,26.571429,2,1,1
1,0,8,0,0.7,0,0,6.6,1,0.8,0
