@relation log4j-1.0_deleteColumns-weka.filters.unsupervised.attribute.Remove-R4-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R9

@attribute dit numeric
@attribute noc numeric
@attribute rfc numeric
@attribute lcom numeric
@attribute ca numeric
@attribute ce numeric
@attribute npm numeric
@attribute lcom3 numeric
@attribute dam numeric
@attribute moa numeric
@attribute mfa numeric
@attribute cam numeric
@attribute ic numeric
@attribute cbm numeric
@attribute amc numeric
@attribute max_cc numeric
@attribute avg_cc numeric
@attribute bug {1,0}

@data
1,0,25,13,0,3,2,0.7,0,0,0,0.277778,0,0,32.333333,2,1.3333,0
1,0,8,1,2,2,2,0.75,0,0,0,0.625,0,0,12.333333,1,0.3333,0
1,0,34,34,0,3,2,0.875,0,1,0,0.175,0,0,17.333333,3,1.4444,0
1,0,20,1,0,3,2,2,0,0,0,0.5,0,0,41.5,6,3,0
1,0,7,8,1,0,3,0.75,1,1,0,0.75,0,0,3.2,1,0.6,0
3,1,42,0,2,8,11,0.729167,0.5,0,0.804878,0.247863,1,10,20.923077,5,1.2308,1
1,9,31,131,11,9,18,0.909722,0.875,5,0,0.210526,0,0,8.105263,4,1.4211,0
1,0,30,17,0,6,2,0.75,0,1,0,0.277778,0,0,19.285714,2,0.8571,0
1,0,41,0,10,2,9,0.666667,0,0,0,0.090909,0,0,21.666667,6,2.25,1
3,2,12,0,8,1,4,0,1,1,0.857143,0.5,2,2,13,2,1,0
1,0,11,2,1,0,2,0.777778,0,0,0,0.5,1,1,13.5,6,2,0
1,0,19,6,0,3,2,0.666667,0,0,0,0.333333,0,0,15.75,2,1.25,0
1,2,13,15,40,0,8,0.811966,0,5,0,0.333333,0,0,14.6,7,2.1,1
3,1,9,0,3,2,5,0,1,1,0.934426,0.4,1,1,7.4,1,0.8,0
1,0,21,0,5,2,5,0.9,0.2,0,0,0.466667,0,0,43,5,2.8333,1
1,0,16,9,28,1,6,1,0.75,0,0,0.333333,0,0,11.428571,3,1.2857,1
1,0,14,0,2,1,8,0.571429,0,1,0,0.416667,0,0,16.625,3,1.75,0
1,0,27,20,50,4,6,0.894231,0.076923,2,0,0.232143,0,0,14.333333,3,1.3333,1
1,0,15,6,0,0,4,2,0,0,0,0.333333,0,0,17.25,1,0.75,1
5,0,44,13,2,7,4,0.85,0,2,0.99514,0.3,2,2,33,3,1,0
1,0,7,0,0,1,2,0,0,0,0,0.555556,0,0,6.333333,1,0.6667,0
2,0,24,9,0,5,6,0.92,0.8,0,0.615385,0.444444,1,1,38.333333,5,1.8333,1
2,0,6,3,2,3,3,2,0,0,0.959184,0.833333,1,6,7.333333,2,1,0
1,0,35,15,0,5,2,0.75,0,1,0,0.25,0,0,24,2,1,1
2,2,46,58,9,8,15,0.649123,0.666667,2,0.545455,0.2375,1,3,19.2,7,1.65,1
4,0,11,4,1,2,2,0.666667,0,0,0.968254,0.5,2,2,6.75,1,0.5,0
2,0,69,129,2,8,13,0.885965,0.105263,2,0.514286,0.233083,1,3,33.526316,11,2.1579,0
2,0,37,23,0,2,7,0.833333,0,1,0.884058,0.2,0,0,28.1,4,1.7,0
2,0,33,33,0,6,9,0.933333,0.6,0,0.470588,0.325,1,1,30.6,5,1.7,1
1,0,14,4,0,0,2,0.25,0,0,0,0.25,0,0,14.8,2,1,0
1,0,22,1,1,2,2,2,0,0,0,0.75,0,0,63,5,2.5,0
2,0,18,8,1,1,5,0.75,0.5,0,0.764706,0.45,1,2,15.8,1,0.8,0
1,3,96,688,53,12,42,0.828947,0.473684,5,0,0.150641,0,0,14.938776,6,2.1429,1
1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0
1,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0
2,0,10,28,0,0,8,2,0,0,0.65,0.46875,1,2,1.625,1,0.875,0
2,0,27,29,1,7,8,0.911111,0.2,1,0.854545,0.555556,1,3,13,3,1.4,0
1,0,9,36,18,4,9,2,0,0,0,0.259259,0,0,0,1,1,1
2,0,9,0,1,1,2,1,0,2,0.8,0.555556,1,1,13,4,1.75,0
1,0,22,11,0,6,3,0.666667,0,1,0,0.375,0,0,13.857143,2,0.8571,0
2,0,26,83,1,5,10,0.871795,1,0,0.72,0.384615,1,1,9.785714,4,0.7143,1
1,0,12,0,1,4,2,0,0,2,0,0.666667,0,0,32,2,1,0
3,0,5,1,1,4,1,2,0,0,0.984848,0.75,1,1,6,1,0.5,0
1,1,2,0,1,1,0,2,0,0,0,1,0,0,3,0,0,0
2,0,62,52,0,9,8,0.939815,0,2,0.62069,0.346154,2,3,32.153846,10,2.3846,1
1,0,32,17,0,4,2,0.666667,0,1,0,0.277778,0,0,20.857143,2,1,0
2,0,8,0,0,3,4,0.916667,0,0,0.571429,0.5,0,0,17,6,2.5,0
1,0,16,0,0,0,2,0.208333,0,0,0,0.333333,0,0,51.4,4,2,0
1,5,10,7,7,2,2,0.72,0,1,0,0.44,0,0,27.166667,6,1.8333,0
2,0,79,153,16,14,9,0.939815,0.25,1,0.4,0.25731,1,1,38.052632,10,2.4211,1
1,0,17,10,0,1,4,2,0,0,0,0.666667,0,0,10.6,1,0.8,0
2,0,5,6,0,2,4,2,0,0,0.571429,0.5,0,0,2,1,0.75,0
2,0,27,29,1,7,8,0.911111,0.2,1,0.854545,0.777778,1,4,13,3,1.4,1
1,0,24,4,0,5,2,0.833333,0,1,0,0.333333,0,0,19.25,1,0.5,0
1,0,35,0,0,1,11,0.083333,0,1,0,0.297619,0,0,17,1,0.8462,0
1,0,42,14,0,7,2,0.75,0,2,0,0.238095,0,0,37,4,1.5,0
1,0,15,8,0,0,1,0.833333,0,0,0,0.3125,0,0,94.2,7,2,0
1,0,40,8,0,4,2,0.697917,0,4,0,0.15,0,0,38.076923,7,2.7692,0
2,0,95,223,6,15,8,1.013605,0,0,0.375,0.21645,1,1,51.181818,11,3.2273,1
2,0,12,13,3,3,6,0.8,0,0,0.615385,0.444444,0,0,7.833333,1,0.8333,0
1,3,6,10,6,2,5,1.25,0,1,0,0.466667,0,0,0.8,1,0.8,1
1,0,10,0,8,1,1,0,0,0,0,1,0,0,14.333333,1,0.6667,0
2,0,43,41,3,6,10,0.846154,0.153846,1,0.62069,0.244898,2,3,23.714286,6,1.6429,1
3,2,12,6,4,0,4,1.333333,0,0,0.95122,0.357143,1,3,26,6,1.75,0
1,0,25,17,0,3,2,0.833333,0,1,0,0.277778,0,0,13.571429,2,1.1429,0
1,0,1,0,8,0,1,2,0,0,0,1,0,0,0,1,1,0
1,0,30,9,0,4,2,0.666667,0,1,0,0.333333,0,0,22.5,2,1,0
4,0,8,0,1,2,4,0.333333,1,0,0.875,0.4,2,2,8.25,1,0.75,0
1,0,17,0,0,1,2,0.5,0,1,0,0.25,0,0,30.8,3,1.4,0
2,0,35,25,0,5,7,0.761905,0,0,0.692308,0.361111,2,3,25.5,5,1.8,0
1,0,1,0,2,1,1,2,0,0,0,1,0,0,0,1,1,0
1,0,1,0,8,1,1,2,0,0,0,1,0,0,0,1,1,0
1,0,49,6,0,6,2,0.666667,0,3,0,0.257143,0,0,46.5,3,1.75,1
1,0,41,8,4,14,2,0.956044,0.461538,3,0,0.375,0,0,82.125,21,6.25,1
1,0,1,0,4,1,1,2,0,0,0,1,0,0,0,1,1,0
1,0,4,1,1,1,1,2,0,0,0,0.75,0,0,3,1,0.5,0
2,0,37,8,0,4,7,0.822917,0,1,0.897059,0.21875,0,0,32.555556,7,2,0
3,0,18,4,0,3,3,0.5,0,0,0.916667,0.36,1,7,14,4,1.2,0
1,0,6,15,4,1,6,2,0,0,0,0.555556,0,0,0,1,1,0
1,0,2,1,14,1,2,2,0,0,0,0.75,0,0,0,1,1,0
1,0,31,10,0,7,2,0.875,0,0,0,0.3,0,0,27.6,3,1.4,0
4,0,20,0,2,5,4,1.066667,0,1,0.931818,0.625,2,4,17,3,1.5,0
1,0,41,2,1,7,5,0.375,0,3,0,0.4,0,0,47.8,3,1.6,0
1,0,27,5,0,3,2,0.566667,0,1,0,0.333333,0,0,26.285714,4,1.7143,1
1,0,26,10,0,8,2,2,0,0,0,0.266667,0,0,100.6,3,1.4,0
1,0,15,0,1,3,2,0.25,0,1,0,0.666667,0,0,35.5,2,1,0
1,0,54,76,20,6,10,0.861111,0,0,0,0.183333,0,0,39.846154,11,3,1
1,0,10,4,0,0,3,0.333333,0,0,0,0.333333,0,0,27.25,4,1.5,0
5,0,44,8,3,7,3,0.875,0,3,0.995696,0.3,0,0,56,3,1,0
1,0,19,10,3,2,7,0.375,0,1,0,0.4375,0,0,12.111111,4,1.6667,0
1,0,7,1,0,7,2,2,0,0,0,0.666667,0,0,6.5,1,0.5,0
1,0,13,0,3,1,7,0.366667,0,1,0,0.52381,0,0,32,6,2.5714,1
1,0,4,1,2,2,1,2,0,0,0,0.75,0,0,4,1,0.5,0
4,0,10,0,1,2,4,0.5,0,0,0.875,0.5,2,2,8.75,1,0.75,0
2,0,10,0,1,2,3,0,0,1,0.7,0.583333,0,0,8,1,0.75,0
2,0,39,14,0,9,12,0.863636,0,3,0.62069,0.375,2,3,13,4,1.3333,1
4,0,15,4,2,1,4,0.333333,0,0,0.953488,0.357143,1,3,18.75,2,0.75,0
1,0,27,4,0,7,2,0.666667,0,0,0,0.333333,0,0,32.25,3,1.5,0
1,0,16,1,0,2,2,2,0,0,0,0.75,0,0,49,3,1.5,0
1,0,29,17,0,4,2,0.666667,0,1,0,0.333333,0,0,20.714286,2,1,0
1,0,24,15,0,2,2,0.611111,0,1,0,0.277778,0,0,15.285714,2,1.1429,0
1,0,32,15,0,2,1,0.625,0,1,0,0.277778,0,0,22.428571,2,1.1429,0
2,0,9,0,1,1,2,0.916667,0.25,1,0.8,0.555556,0,0,9.75,3,1.25,0
1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
3,0,7,1,1,0,3,0.5,1,0,0.95122,0.444444,1,3,5.333333,1,0.6667,0
2,0,8,0,0,4,4,0.916667,0,1,0.571429,0.5,0,0,15.25,4,2,1
2,0,18,30,9,4,8,0.9375,0.625,1,0.533333,0.518519,0,0,10.777778,3,1.2222,1
2,2,17,2,4,1,2,0.625,0.333333,0,0.938462,0.466667,1,1,16.8,3,1.4,1
1,0,30,22,0,6,2,0.942857,0,7,0,0.285714,0,0,38.25,5,2,0
1,0,43,24,15,7,9,0.704545,0.25,3,0,0.272727,0,0,27.5,6,2.1667,1
2,0,8,15,0,3,6,1,0,0,0.818182,0.5,1,1,4.333333,2,0.8333,0
1,0,21,17,0,2,2,0.666667,0,1,0,0.277778,0,0,11.571429,2,1,0
2,0,2,0,0,1,0,2,0,0,0,1,0,0,3,0,0,0
1,0,38,24,0,4,2,0.714286,0,1,0,0.214286,0,0,39,2,1,1
4,0,3,0,1,1,0,2,0,0,1,1,0,0,6,0,0,0
2,0,16,0,1,3,1,0,0,1,0.983871,0.666667,0,0,23.5,2,1,0
2,0,11,0,1,2,4,0.25,0,1,0.8,0.533333,1,1,6.2,1,0.8,0
1,0,26,17,0,2,2,0.666667,0,1,0,0.277778,0,0,17.428571,2,1,0
3,0,6,1,1,4,1,2,0,0,0.984848,0.75,1,1,6,1,0.5,0
