@relation 'ant-1.7_deleteColumns-weka.filters.unsupervised.attribute.Remove-R1-2,4-9,11-12,14'

@attribute noc numeric
@attribute lcom3 numeric
@attribute moa numeric
@attribute cam numeric
@attribute ic numeric
@attribute cbm numeric
@attribute amc numeric
@attribute max_cc numeric
@attribute avg_cc numeric
@attribute bug {1,0}

@data
0,0,0,0.666667,0,0,8.666667,2,1,0
1,0.877404,2,0.127315,0,0,58.408163,13,1.449,1
2,2,0,0.416667,1,1,12.833333,3,1.1667,1
0,0.25,0,0.285714,1,1,16.142857,1,0.8571,0
0,2,0,0.555556,0,0,8,3,1,0
0,2,0,0,0,0,2052,0,0,0
2,0.678571,0,0.625,0,0,21.125,4,1.875,1
0,0.9,1,0.3,4,10,16.181818,5,1.2727,1
0,0.571429,0,0.40625,1,1,10.75,2,1,0
0,0.651515,0,0.3125,0,0,26.916667,1,0.8333,0
0,0.5,0,0.642857,0,0,11,1,0.8571,0
0,2,0,0.666667,1,1,28,1,0.5,0
0,2,0,1,0,0,0,1,1,0
0,0.884615,2,0.192308,0,0,63.5,10,1.7143,1
2,0.7,0,0.325397,0,0,26.047619,10,2.619,0
3,0.625,0,0.466667,0,0,8.2,1,0.8,0
0,0.833333,0,0.416667,2,3,24.076923,4,1.3077,0
0,2,0,0.833333,1,1,14.666667,3,1.1667,0
0,2,0,0,0,0,0,0,0,0
0,0.6,1,0.666667,1,2,37.833333,6,1.6667,1
0,0.75,0,0.6,2,2,17.4,3,1.2,0
0,0.782609,0,0.326087,2,2,29.541667,7,1.625,1
0,1.5,0,0.833333,0,0,59.333333,12,4.3333,0
0,0.786842,6,0.153846,0,0,13.076923,7,1.6923,0
0,0.777778,0,0.75,2,4,38.75,1,0.5,0
0,0.91866,0,0.3875,2,3,11.6,6,1.4,0
0,2,0,1,0,0,3,0,0,0
1,0.4375,1,0.555556,0,0,10.222222,1,0.6667,0
0,0.688889,0,0.3,2,5,19.7,5,1.2,0
0,2,0,1,0,0,3,0,0,1
0,0.867347,5,0.251701,2,2,33.954545,22,2.6818,1
0,0.6,0,0.333333,2,5,16,4,1.6667,0
0,0.6,0,0.4,1,1,11.4,1,0.9,0
9,2,0,0.533333,1,1,11.4,5,2,0
0,2,0,0.75,1,1,9,3,1.5,0
0,0.708333,0,0.47619,2,5,16.428571,5,1.2857,0
0,2,0,1,1,1,172,1,0.5,0
0,2,0,1,0,0,0,1,1,0
0,2,0,0.5,2,7,11.333333,3,1.8333,0
0,0.744444,0,0.207885,1,5,27.83871,16,2.5806,1
0,0.808184,1,0.175,0,0,41.875,6,1.4167,1
0,0.940848,2,0.328125,1,5,35.121212,26,2.5152,0
0,0.75,0,0.533333,0,0,16.4,1,0.8,0
0,1.5,0,0.833333,0,0,35.666667,7,2.6667,0
0,2,0,0.75,0,0,35.5,6,3,0
0,2,0,1,0,0,6,0,0,0
4,0.791667,1,0.261538,1,3,16.615385,6,2,1
0,1.166667,0,1,3,5,39.5,7,2.5,0
1,0.666667,0,0.555556,0,0,124,4,1.25,0
2,0.770833,2,0.205128,0,0,19.384615,7,1.3846,0
0,0,0,0.4375,0,0,19.75,12,3.25,0
0,0.835,2,0.194444,2,2,20.285714,3,1,1
0,1.5,0,0.666667,0,0,0,1,1,0
0,2,0,0.666667,1,1,26.666667,4,2,0
1,0.977952,6,0.205937,1,1,11.779221,14,1.7532,1
0,2,0,1,0,0,0,1,1,0
0,0.333333,0,0.4375,0,0,7.75,1,0.75,0
0,2,0,0.555556,1,2,16.666667,4,1.3333,0
2,0.546875,2,0.294118,2,4,18.764706,5,2.1176,1
0,0.333333,0,0.625,1,1,5.5,1,0.75,0
0,0.566667,2,0.327273,3,6,24.090909,10,2.5455,1
0,0.84375,0,0.346154,2,6,33,6,1.3077,1
0,2,0,0.089286,0,0,0,1,1,0
0,1,0,0.416667,0,0,74.4,12,3.2,1
0,0.696429,1,0.293333,1,1,9.466667,3,1.3333,0
0,0,0,0.533333,0,0,12.6,3,1.2,0
0,0.5,0,0.666667,0,0,38.333333,6,3,0
0,1.05,0,0.533333,0,0,36.6,5,1.6,1
0,0.916667,0,0.642857,2,2,28.142857,13,3.4286,1
0,0.423077,0,0.285714,0,0,28.785714,7,3.6429,0
0,0.955789,0,0.384615,2,3,13.346154,9,1.5,0
0,0.923342,9,0.127907,4,6,26.886364,5,1.2045,1
0,2,0,0.4,0,0,0,1,1,0
0,0.892,1,0.157051,2,2,32.115385,4,1.0769,1
0,0.9375,0,0.382353,2,3,12.411765,7,1.4118,0
0,0.949875,1,0.160234,0,0,28.965517,17,2.6379,1
0,0.636364,2,0.26087,0,0,28.73913,7,2.1304,1
0,0.771429,1,0.4,1,1,18.727273,3,1,0
0,0.52381,0,0.325,0,0,15.25,6,2,0
0,0.875,0,0.4375,1,2,14,2,0.8,0
0,0.833333,0,0.583333,0,0,6.75,2,1,1
0,0.6,0,0.666667,0,0,7.166667,1,0.8333,0
0,0.833333,0,0.2,0,0,54,3,1.2857,1
0,0.688889,1,0.375,2,5,30.8,12,2.3,0
0,1,0,0.625,2,3,27,1,0.75,0
0,0.892045,2,0.15508,1,1,18.823529,8,2.2353,1
0,0.75,0,0.292308,2,8,14.153846,5,2.1538,0
0,0.96875,0,0.5,1,3,77.333333,11,5.3333,0
0,0,0,0.666667,0,0,17.666667,4,1.6667,0
0,0.95,11,0.4,1,1,29.5,3,1,0
13,1.020833,0,0.375,0,0,12,3,1,0
0,0.875,0,0.512821,2,3,12.846154,4,1.3846,0
0,0.880952,2,0.270833,1,1,14.875,3,1.625,0
0,0.85119,6,0.125,1,1,28.689655,29,3,1
0,1.142857,1,0.583333,0,0,46.333333,9,4.3333,0
0,0,0,0.5,1,1,7.25,2,1,0
0,0.852632,0,0.36,0,0,5,4,1.05,0
0,0.929167,1,0.177778,0,0,26.9375,5,1.9375,0
0,2,0,1,0,0,3,0,0,0
2,0.638889,1,0.307692,0,0,14.307692,5,1.5385,1
0,2,0,1,0,0,0,1,1,0
0,2,0,0.45,0,0,32.875,7,2.875,0
0,2,0,0,0,0,0,0,0,0
0,0.9,3,0.583333,0,0,12.8,5,1.2,0
0,0.454545,0,0.238095,1,1,14.833333,4,1.6667,0
0,0.815476,4,0.17803,0,0,26.92,8,1.48,1
0,0,0,0.666667,0,0,7.666667,1,0.3333,0
0,2,0,1,1,1,10,1,0.5,0
0,0.825,0,0.183333,0,0,86.272727,17,3.1818,1
0,2,0,0.666667,2,2,7.333333,1,0.6667,0
0,0.78125,0,0.481481,2,2,15.888889,1,0.8889,0
0,0.8,0,0.269231,1,7,9.115385,3,1.3846,0
0,0.666667,1,0.314286,0,0,25.714286,2,1,0
0,2,0,1,0,0,0,1,1,0
0,0.75,0,0.7,0,0,3.4,1,0.8,0
0,0.4,0,0.5,0,0,21.166667,2,1,0
0,0.5,2,1,1,1,15,3,1.2,0
0,0.909091,1,0.5,1,1,44.75,7,1.875,0
0,2,0,0.642857,0,0,0,1,1,0
1,0.7875,0,0.178571,5,19,11.666667,4,1.381,0
0,0.962963,0,0.272321,2,8,41.785714,20,2.2857,0
0,2,0,0,0,0,0,0,0,0
0,2,0,1,1,1,13.666667,1,0.6667,0
0,0,0,0.666667,1,1,17,1,0.6667,0
0,0.923077,0,0.222222,1,1,42.142857,3,1.2857,0
0,0.666667,0,0.5,0,0,24.5,1,0.75,0
0,0.75,1,0.533333,1,1,15.666667,1,0.6667,0
0,2,0,1,0,0,0,1,1,0
0,0,2,0.6,0,0,88.5,9,4.5,0
7,1.083333,0,0.357143,0,0,14.714286,1,0.8571,0
0,0.222222,1,0.5,1,1,15.25,1,0.75,0
0,0.742857,1,0.4375,0,0,13.625,2,1.125,0
0,0.740741,0,0.45,0,0,34.3,2,1.1,0
0,2,0,0.625,0,0,0,1,1,0
0,0,1,0.666667,0,0,6,1,0.8333,0
0,0.833333,0,0.32967,0,0,20.923077,10,1.8462,0
0,0.75,1,0.533333,0,0,10,1,0.6667,0
0,0.923077,0,0.375,2,2,12.6,5,1.3,0
0,2,0,0.75,1,1,9,1,0.5,0
0,0.794118,2,0.184874,0,0,54.666667,47,6.7778,1
0,0.905556,3,0.209524,0,0,13.645161,4,1.2581,0
0,2,0,0.75,0,0,5,1,0.5,0
0,0.80303,2,0.291667,0,0,17.75,5,1.6667,0
0,0.714286,1,0.5,2,2,25.25,6,1.75,0
0,2,0,0.5,1,1,26.333333,6,2.3333,0
0,0.857143,0,0.285714,0,0,14.928571,5,1.5714,0
1,0.733333,1,0.4,2,3,7.272727,1,0.8182,0
2,0.5,0,0.833333,1,1,7,3,1.3333,0
0,2,0,0.703704,4,9,86.888889,23,4.8889,1
0,0.7,0,0.555556,0,0,10.666667,1,0.8333,0
2,0.9,6,0.5,1,1,34,5,1.2,0
0,1,1,0.375,0,0,12.75,1,0.75,0
0,0.927894,0,0.290441,0,0,58.057143,19,2.5143,1
0,2,0,1,0,0,0,1,1,0
0,0.826531,0,0.233333,3,5,31.733333,7,1.4667,1
0,0.666667,0,0.428571,1,1,13.714286,2,1,0
0,0.769697,0,0.818182,0,0,29.5,3,1.6667,1
0,2,0,1,0,0,0,1,1,0
0,0.89881,2,0.27381,1,2,45.846154,1,0.8462,1
0,0.889167,2,0.191667,1,1,109.02439,47,5.5854,1
0,0.929167,0,0.708333,0,0,28.230769,50,4.5385,1
0,0.791667,2,0.195313,0,0,8.8125,4,1.3125,0
0,0.781818,1,0.472222,1,1,22.083333,6,2.0833,0
0,0.333333,0,0.875,0,0,4.75,1,0.75,0
0,0.833333,2,0.178571,1,1,25.857143,23,3.1905,1
0,0.8125,1,0.40625,0,0,8.333333,1,0.7778,1
0,0.837607,0,0.214286,1,1,24.928571,5,1.8571,0
0,2,0,0,0,0,0,0,0,0
0,1.0625,0,0.555556,0,0,36.428571,3,1,0
0,0.64,0,0.555556,2,2,20,1,0.8333,0
0,0.777778,0,0.47619,2,5,13.857143,5,1.2857,0
0,2,0,1,0,0,3,0,0,0
4,0.890756,0,0.268908,0,0,18.388889,11,1.7778,1
0,1.045455,0,0.259259,0,0,20.583333,8,1.9167,0
1,0,1,0.4375,2,5,17.5,3,1.5,1
0,0.714286,0,0.46875,4,4,32.5,5,1.375,0
0,0.571429,0,0.266234,2,3,27.227273,9,2.8182,0
1,0,0,0.625,0,0,11.5,1,0.75,0
0,0.877551,3,0.222222,1,1,19.533333,2,0.9333,0
1,0.878788,3,0.188889,2,2,37.75,4,1.1875,1
5,0.037037,0,0.079193,0,0,6.25,4,1.2143,1
0,2,0,1,0,0,0,1,1,0
0,0.458333,2,0.392857,1,3,26.714286,5,2.5714,0
0,0,0,0.555556,1,1,13.333333,4,1.6667,0
0,0.888889,0,0.5,0,0,19.5,6,2,1
0,0.904762,2,0.316129,0,0,18.16129,11,1.4516,0
0,2,0,0.666667,2,2,7.333333,1,0.6667,0
0,0.333333,0,0.5,0,0,19.75,1,0.75,0
0,0,0,0.625,0,0,6,1,0.25,0
0,0.805556,2,0.219388,0,0,17.571429,8,1.8571,1
0,0.5,0,0.375,0,0,8,3,1.1667,0
0,0.666667,0,0.533333,0,0,11.2,1,0.8,0
0,2,0,0.47619,0,0,0,1,1,0
28,0.740741,2,0.32,0,0,6.2,3,1.1,0
0,0.571429,0,0.375,2,5,20.125,4,1.125,0
0,0.811688,0,0.21118,1,7,9.521739,3,1.3913,0
0,2,0,1,0,0,0,1,1,0
0,2,0,0,0,0,0,0,0,0
1,0.914286,4,0.47619,1,1,15.375,7,1.5,0
0,2,0,0.533333,1,1,13.2,2,1,0
0,0.631818,0,0.293651,0,0,28,3,0.8571,1
0,2,0,0.625,2,3,10,2,1,0
0,2,0,0.666667,1,2,66.333333,14,5,0
0,0.8,5,0.261538,1,2,20.357143,4,1.2857,1
0,0.919048,0,0.241935,2,4,10.677419,4,1.5161,0
0,2,0,0.666667,1,1,24.333333,4,1.6667,0
0,0,0,0.666667,0,0,13.333333,2,1,0
0,0.55,0,0.363636,2,4,22.727273,7,1.7273,0
0,0.833333,0,0.47619,1,1,6.571429,1,0.8571,0
0,2,0,1,0,0,0,1,1,0
2,0.902098,2,0.13986,1,1,39.044444,19,2.2444,1
1,0,0,0.666667,0,0,6,1,0.6667,0
0,0.6,0,0.555556,1,1,207.333333,2,1,0
2,0.958333,5,0.625,1,1,18,1,0.4,0
0,0.890756,3,0.268908,1,1,16.111111,3,1,0
0,2,0,0.75,1,1,5,1,0.5,0
0,0.722826,1,0.154167,1,1,24.083333,14,2.5417,0
0,0.75,0,0.259259,0,0,7,1,0.8889,0
0,2,0,0.2,1,1,14,8,2.4286,1
0,0.975471,5,0.090084,0,0,18.558333,6,1.4167,1
0,0.666667,0,0.416667,0,0,52.142857,6,2,0
0,0.891247,3,0.216749,2,2,24.833333,3,1.1667,1
0,0.9,0,0.386364,2,3,14.545455,4,1.3636,0
0,0.703704,1,0.375,0,0,6.3,2,1.1,1
0,0.95625,1,0.254902,2,6,18.705882,4,1.5882,0
0,0.80303,3,0.127706,2,6,28.911765,7,2.2353,1
0,0.94958,0,0.386364,2,3,12.181818,11,1.5455,0
0,0.595238,2,0.571429,0,0,12,2,1.375,0
0,0.416667,0,0.3125,0,0,16,6,1.8889,0
0,0.888889,3,0.228571,3,3,21.818182,2,1,0
0,2,0,1,0,0,73.5,1,0.5,0
0,0.7,1,0.55,0,0,19.166667,2,0.8333,0
0,0.789474,6,0.177632,0,0,33.2,11,2.3,0
0,0.761905,0,0.75,0,0,17.625,3,1.375,0
0,0.94359,0,0.375,2,3,12.8125,6,1.3125,0
0,0.895604,3,0.177778,1,1,55.592593,10,2.963,1
15,0.818182,0,0.45,0,0,19.066667,4,1.1333,0
0,0.704082,1,0.311111,1,2,29.333333,1,0.8,1
0,0.781818,1,0.254545,1,3,18.583333,6,2.1667,0
1,0.85,0,0.458333,1,3,43.333333,2,0.6667,1
0,2,0,0.5,0,0,0,1,1,0
0,0.809524,1,0.357143,3,9,17,2,0.875,1
0,2,0,0.75,0,0,0,1,1,0
0,0.965046,4,0.155319,3,3,15.854167,7,1.375,1
1,2,0,0.75,0,0,37,7,2.25,0
0,0.566667,1,0.619048,0,0,24.857143,6,2.2857,1
0,2,0,1,0,0,9,0,0,0
0,2,0,1,0,0,0,1,1,0
0,0.333333,0,0.75,2,2,11.75,2,1,0
0,0.75,0,0.44,2,2,15,5,2,0
0,2,0,1,0,0,0,1,1,0
0,2,0,1,0,0,0,1,1,0
0,2,0,0.625,0,0,0,1,1,0
0,0.666667,0,0.666667,0,0,38.333333,5,1.6667,0
0,2,0,1,0,0,11.5,1,0.5,0
0,2,0,0.875,0,0,4,1,0.75,0
0,0.5,0,0.5,0,0,28.333333,1,0.3333,0
0,0,0,0.833333,0,0,22,3,1.5,0
0,0.771429,4,0.25,1,3,19.25,5,2,0
0,2,0,0.666667,2,2,7.333333,1,0.6667,0
0,2,0,1,0,0,0,1,1,0
0,0.55,0,0.533333,1,1,24.8,1,0.8,0
0,2,0,0.75,0,0,3.5,0,0,0
0,0.730769,1,0.214286,2,2,31.857143,2,1.0714,0
0,2,0,0.555556,1,12,3,1,0.6667,0
0,0.875,1,0.277778,0,0,37.333333,3,1.1111,1
0,2,0,1,0,0,4,0,0,0
0,0.5,1,0.288889,0,0,14.111111,4,1.3333,0
0,0,0,0.458333,1,1,10.333333,1,0.8333,0
0,2,0,1,0,0,0,1,1,0
0,0.919414,0,0.397727,2,3,13.545455,8,1.5455,0
0,2,0,0.5,0,0,28.75,1,0.75,0
0,0.833333,0,0.47619,0,0,3.428571,1,0.8571,0
0,0,0,0.75,0,0,4.5,1,0.5,0
0,0.8125,0,0.328125,2,10,9.764706,4,1.2941,0
0,0.688889,1,0.119298,2,4,15.526316,6,1.2105,0
0,0.654545,0,0.263889,0,0,10.75,1,0.8333,0
0,0.888095,2,0.114919,1,3,23.645161,22,2.2903,1
0,0.946429,1,0.266667,1,1,12.2,2,1.0667,0
0,2,0,1,0,0,0,1,1,0
0,0.846561,2,0.151515,3,5,39.178571,6,1.6786,1
0,0,0,0.533333,0,0,8.5,1,0.6667,0
0,2,0,0.666667,0,0,0,1,1,0
0,1.01,0,0.22,0,0,26.636364,4,1.3636,1
1,0,0,0.08,1,1,6.52,1,0.96,0
0,2,0,1,0,0,4,0,0,0
0,2,0,1,0,0,0,1,1,0
0,2,0,0.75,1,1,38.5,1,0.5,0
0,0.75,0,0.833333,0,0,6.571429,2,0.8571,0
0,0,1,0.5,1,3,22.75,5,1.75,0
0,0.728395,0,0.34,0,0,16.3,7,1.5,1
0,0,0,0.666667,1,1,17,1,0.6667,0
0,2,0,0.428571,1,1,12.142857,2,1,0
0,2,0,1,0,0,0,1,1,0
1,0.872727,2,0.24,0,0,18.807692,10,1.3077,1
2,0.941935,3,0.201389,3,3,27.625,45,2.625,1
0,0.860119,7,0.110577,0,0,31.545455,11,1.9697,0
1,0.897619,4,0.162698,2,2,25.931034,5,1.3793,0
0,0.25,0,0.285714,3,10,22,5,1.4286,0
0,2,0,0.75,1,1,2.5,1,0.5,0
0,0.7,2,0.363636,2,2,18.363636,3,1.4545,0
0,0.937037,1,0.288889,0,0,40.5,9,2.875,1
0,2,0,0,0,0,0,0,0,0
0,2,0,1,0,0,7.5,0,0,0
4,0.97619,2,0.228571,0,0,24.4,18,2.3333,1
0,0.666667,0,0.5,0,0,10.5,1,0.75,0
0,0.929688,1,0.277778,0,0,33.111111,4,1.4444,0
0,2,0,0.30303,1,1,10.090909,2,1,0
0,2,0,0.4,0,0,34.166667,3,1.3333,0
0,2,0,0.625,1,3,53,8,4,0
0,0.5,0,0.481481,2,5,22.666667,1,0.7778,0
0,0.75,1,0.5,2,2,34,11,2.6,0
0,0.94697,0,0.472222,2,2,21.076923,4,1.0769,0
0,2,0,0.75,1,1,4,1,0.5,0
0,0.883761,3,0.074667,3,5,22.630435,16,1.6739,1
1,0.690476,0,0.35,0,0,22.5,4,1.5,0
0,0.77551,1,0.8125,1,1,21.875,3,1.25,0
4,0.928458,1,0.289474,0,0,12.605263,5,1.3684,0
0,0.666667,0,0.571429,0,0,8.857143,5,1.4286,0
0,2,0,1,0,0,17,0,0,0
0,2,0,1,0,0,0,1,1,0
0,0.933014,3,0.188552,2,2,28.441176,46,3.0588,1
0,2,0,0.4,1,2,3.8,1,0.6,0
0,0.770833,0,0.14876,0,0,90,53,4.5217,1
0,0.688889,0,0.3,2,5,20.6,5,1.2,0
0,0.922939,9,0.091642,2,4,35.380952,21,2.0794,1
5,2,0,0.583333,3,4,10.166667,2,1.1667,0
0,0.333333,1,0.5,0,0,23.5,3,1.25,0
0,0.5,0,0.8,0,0,28,1,0.8,0
0,0.891326,5,0.098246,1,4,17.916667,5,1.3167,1
0,2,0,0.36,0,0,0,1,1,0
0,2,0,0.5,1,2,16,2,1,0
0,0,0,0.625,0,0,5.25,1,0.75,0
