@relation lucene-2.0_deleteColumns-weka.filters.unsupervised.attribute.Remove-R4-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R9-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.Remove-R10-weka.filters.unsupervised.attribute.Remove-R15-weka.filters.unsupervised.attribute.Remove-R6-weka.filters.unsupervised.attribute.Remove-R10-weka.filters.unsupervised.attribute.Remove-R7

@attribute dit numeric
@attribute noc numeric
@attribute lcom numeric
@attribute ca numeric
@attribute ce numeric
@attribute lcom3 numeric
@attribute moa numeric
@attribute cam numeric
@attribute cbm numeric
@attribute amc numeric
@attribute max_cc numeric
@attribute bug {1,0}

@data
3,0,7,1,12,0.638889,0,0.285714,4,26.6,6,1
3,0,15,1,0,1.12,0,0.5,1,28.833333,14,0
1,3,1,19,1,2,0,0.75,0,1.5,1,0
1,0,36,3,6,1.0625,1,0.5625,0,0.555556,1,0
1,3,89,24,0,0.923077,0,0.271429,0,14.928571,1,0
1,0,45,3,0,2,0,0.6,0,0,1,1
1,0,3,1,1,0.602564,0,0.404762,0,15.5,1,0
1,0,67,1,12,0.641026,2,0.401709,0,53.357143,2,1
2,0,0,1,3,0.333333,2,0.47619,3,24.142857,1,0
3,0,0,0,4,0,1,0.75,0,16,1,0
1,0,0,0,7,0.344,4,0.184615,0,25.807692,2,1
2,0,0,3,6,0.75,6,0.211538,2,25.153846,1,1
1,0,45,6,10,2,0,0.288889,0,0,1,1
2,0,0,1,3,0.666667,1,0.47619,0,14.5,4,1
1,0,6,2,0,2,0,0.25,0,24.5,2,0
3,0,1,1,3,2,0,0.75,0,9.5,1,0
2,0,0,1,14,0.668571,1,0.174825,5,21.846154,6,1
2,0,0,1,5,0.520833,2,0.309524,3,26.571429,1,1
1,0,0,1,11,0.690476,2,0.309524,0,47.714286,1,1
1,0,45,3,0,2,0,0.6,0,0,1,0
1,0,0,4,1,0.583333,2,0.533333,0,16.6,1,1
1,0,3,3,5,2,0,0.666667,0,6,1,0
1,0,145,12,6,0.920635,0,0.25731,0,21.631579,7,1
1,0,0,1,5,0.6,1,0.333333,0,54.333333,4,1
2,0,193,3,13,0.814103,0,0.181481,6,16.518519,2,1
2,0,0,1,9,0.545455,2,0.285714,3,43.222222,2,0
2,0,0,1,8,0.3125,2,0.222222,4,13.555556,4,1
1,10,0,13,0,0.454545,0,0.444444,0,21.666667,7,0
1,2,108,40,4,0.866667,1,0.185185,0,4.5625,1,1
3,0,53,1,4,0.692308,1,0.333333,4,34.928571,14,0
1,2,13,16,0,0.8,0,0.6,0,8.5,1,1
3,0,0,1,6,0.416667,1,0.192308,2,12.384615,6,0
3,0,1,1,10,2,0,0.533333,3,22.333333,2,0
1,0,1,1,1,2,0,0.666667,0,23,6,0
5,0,1,2,1,2,0,0.666667,1,3.5,1,0
1,0,2,1,2,0.178571,2,0.34375,0,13,2,1
2,0,0,1,6,0.384615,0,0.171429,5,21.571429,6,1
1,0,0,2,5,0.888889,3,0.375,0,53.5,2,1
2,0,0,1,5,0.52381,1,0.3,3,12.125,1,1
2,2,8,5,2,0.5,2,0.407407,2,10.222222,2,0
1,0,28,17,2,2,0,0.3,0,0,1,0
2,0,576,6,26,0.883861,8,0.136752,5,28.575,26,1
2,0,98,1,14,0.833333,2,0.296296,3,29.875,7,1
2,0,0,0,2,0.166667,1,0.5625,0,12.75,2,1
2,0,79,12,12,0.742857,0,0.119048,6,18.727273,12,1
1,0,0,8,0,0.125,0,0.55,0,18.2,1,0
1,0,0,58,0,0.136364,0,0.291667,1,9.5,4,1
2,0,9,3,6,0.5,1,0.265306,3,11.571429,5,1
4,0,0,0,12,0,1,0.219697,0,8.333333,1,1
2,0,0,0,9,0,1,0.21875,5,4.875,1,1
2,0,15,0,9,0.333333,0,0.3375,6,37.1,1,1
2,0,3,2,3,2,0,0.555556,3,14.666667,4,0
1,0,1,15,0,2,0,0.5,0,9.5,2,0
1,1,0,19,0,2,0,1,0,9,0,0
3,0,0,0,3,0,0,0.666667,0,18.5,1,0
2,0,1,3,17,0.346154,1,0.202381,3,10.071429,1,1
3,0,0,2,1,0.55,1,0.4,1,75.4,14,0
1,0,15,37,4,2,0,0.416667,0,0,1,0
1,15,34,30,3,0.875,1,0.416667,0,4.111111,1,0
1,4,1504,66,16,0.867347,3,0.115288,0,11.578947,12,1
2,0,0,1,5,0.5,0,0.333333,0,26.857143,1,0
1,0,8,1,7,0.625,4,0.246914,0,70.222222,4,1
1,0,153,1,4,0.848485,1,0.380952,0,166.090909,236,1
3,0,0,1,1,0,0,0.333333,2,7,1,0
3,0,3,0,3,2,0,0.444444,0,58.333333,3,1
1,0,0,8,1,0.852041,3,0.380952,0,17.866667,7,0
2,0,3,1,4,2,0,0.5,1,4.333333,1,0
1,0,3,1,1,0.602564,0,0.404762,0,15.5,1,0
3,0,5,1,4,0.825,1,0.333333,4,38.833333,16,0
1,0,61,11,1,0.692308,3,0.320513,0,11.285714,3,0
2,0,21,3,1,2,0,0.5,2,6.714286,1,0
2,0,0,0,5,0.444444,0,0.3,3,29.8,13,0
2,6,0,6,1,0,1,0.75,0,5,1,0
2,0,1,3,2,2,0,0.666667,3,17.5,4,1
3,0,1,0,5,1,0,0.75,0,22.5,1,0
1,0,0,1,1,2,3,1,0,12,0,0
1,0,41,33,0,0.633333,0,0.309091,0,15.636364,4,1
1,0,0,3,4,0.75,4,0.4,0,19.4,5,0
1,1,16,2,10,0.670455,4,0.197917,0,32.666667,1,1
2,0,43,3,7,0.75,2,0.595238,0,16.285714,1,1
2,0,0,3,7,0.589286,0,0.191667,3,18.866667,6,0
1,0,95,3,6,0.748918,5,0.194805,0,24.090909,5,1
1,0,19,3,11,0.64,6,0.324675,0,28.818182,4,1
1,0,3,4,0,1.4375,2,0.5,0,4,2,0
3,0,0,1,6,0.111111,1,0.214286,2,10.5,4,1
1,0,1,2,0,2,0,0.5,0,17,4,0
3,0,2,1,2,0.666667,1,0.36,5,17,3,1
1,3,247,24,13,0.909091,1,0.273913,0,4.652174,1,1
1,6,3,12,1,2,0,0.666667,0,1.666667,1,0
2,1,1,3,4,0.460317,1,0.5,3,27.1,1,1
1,0,0,1,3,0.52,1,0.242857,0,20.454545,3,0
2,2,8,2,1,0.5,0,0.333333,3,18,1,1
1,0,2,7,0,0.666667,1,0.5,1,7.888889,5,0
1,0,93,6,3,0.704545,0,0.198068,0,30.043478,17,1
2,0,1,0,3,2,0,0.666667,0,4,1,0
2,1,53,6,8,0.854545,0,0.296,0,34.653846,2,1
1,0,0,6,2,0.333333,2,0.375,1,9.5,4,1
