@relation xalan-2.4_deleteColumns-weka.filters.unsupervised.attribute.Remove-R4-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.Remove-R16-weka.filters.unsupervised.attribute.Remove-R6-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R11-weka.filters.unsupervised.attribute.Remove-R6

@attribute noc numeric
@attribute lcom numeric
@attribute ca numeric
@attribute ce numeric
@attribute lcom3 numeric
@attribute dam numeric
@attribute moa numeric
@attribute mfa numeric
@attribute cam numeric
@attribute cbm numeric
@attribute amc numeric
@attribute avg_cc numeric
@attribute bug {1,0}

@data
0,0,2,0,0.52381,0.833333,0,0,0.583333,0,25.375,1.875,0
0,3,1,5,2,0,0,0.953488,0.555556,2,12.333333,0.6667,0
0,4,1,19,0.5,1,0,0.969697,0.4,4,43.8,3,0
0,0,3,1,0.7,0,0,0,0.722222,0,28.5,1.8333,0
0,1,0,5,2,0,0,0.982143,0.75,7,6,0.5,0
0,5,2,2,0.714286,0.714286,2,0,0.366667,0,20.272727,1.2727,0
0,1,2,0,1,0,1,0,1,0,16,1,0
0,49,2,6,0.833333,0.833333,3,0,0.208333,0,7.866667,1.2667,0
0,0,1,13,0,1,1,0.5,0.25974,0,9.428571,0.7143,0
4,0,6,7,0.2,1,1,0.75,0.227273,7,6.909091,1.3636,0
0,0,4,25,0.535714,1,1,0.954064,0.193939,0,32.133333,0.9333,0
0,3,1,5,2,0,0,0.990698,0.583333,2,9,0.6667,0
0,1,1,4,0.5,1,0,0.992806,0.625,3,8,0.6667,0
0,0,2,12,0.583333,1,1,0.94697,0.277778,11,46,2.7778,1
1,0,3,2,0,0,1,0.740741,0.416667,1,4.75,0.875,0
0,1,1,5,2,0,0,0.995327,0.666667,1,8.5,0.5,0
0,1,0,7,2,0,0,0.982456,0.75,6,16,0.5,0
0,0,1,1,2,0,0,1,1,0,5,0,0
0,15,16,3,2,0,0,0,0.5,0,0,1,1
0,9,1,9,0.5,1,1,0.970297,0.314286,5,6.714286,1,0
0,78,44,16,0.96875,0.2,1,0,0.211765,0,25.588235,0.9412,0
0,55,12,2,0.153846,1,2,0,0.42735,0,14,0.8571,0
0,4934,44,48,0.90559,1,6,0,0.103865,0,23.853448,2.0776,1
0,0,0,1,0,1,2,0,0.666667,0,15.5,1,0
0,0,0,5,2,0,0,1,1,0,6,0,0
0,1,1,16,0.5,1,0,0.982456,0.75,7,57.666667,0.3333,0
0,211,0,12,0.656566,1,3,0,0.196078,0,45.794118,1.6176,0
26,3,29,8,2,0,0,0.964286,0.5,2,7,0.6667,0
0,2,2,8,0.333333,0,1,0,0.583333,0,117.25,0.75,0
0,0,0,3,0.5,1,0,0.5,0.220238,2,22.47619,1.0476,0
0,1,1,19,0.333333,1,0,0.922078,0.371429,8,8.857143,1.1429,0
0,66,1,0,2,0,0,0,0.444444,0,0,1,0
0,0,0,0,1.266667,0,0,0,0.833333,0,15.25,2,0
6,0,9,7,0.238095,0,1,0,0.265152,0,5.863636,0.9091,0
0,36,16,4,2,0,0,0,0.296296,0,0,1,0
0,71,6,25,0.538462,1,0,0.733333,0.222222,3,10.857143,1,0
0,0,2,2,2,0,0,0,1,0,0,1,0
1,0,2,1,2,0,0,1,1,0,3,0,0
0,8,1,8,0.5,1,0,0.904762,0.4,6,17.2,2.4,0
0,0,1,1,2,0,0,1,1,0,4,0,0
0,6,0,8,2,0,0,0.985366,0.625,4,29.25,0.75,0
1,0,2,3,0.238095,1,2,0.588235,0.34375,5,18.25,1.5,0
1,31,9,49,0.810458,1,1,0.853448,0.261905,8,61,2.6111,0
0,20,0,14,0.571429,1,2,0.5,0.349206,1,22.25,2.375,1
0,3,0,12,2,0,0,0.979592,0.444444,13,18.666667,1.3333,0
0,1,1,5,2,0,0,0.995261,0.625,4,31.5,0.5,0
0,3,2,0,2,0,0,0.95,0.833333,2,19.333333,2.3333,0
0,3,1,2,2,0,0,0.5,0.555556,0,7,1.3333,0
0,50,0,4,0.65625,1,0,0,0.196078,0,32.235294,1.8824,0
0,0,1,0,0,1,0,0.684211,0.342857,2,29.285714,0.8571,0
0,1,0,5,2,0,0,0.979592,0.75,6,7.5,0.5,0
0,0,0,0,2,0,0,0,1,0,3,0,0
0,0,3,0,2,0,0,0,0,0,28,0,0
0,0,2,2,2,0,0,0,1,0,0,1,0
1,6,1,5,2,0,0,0.823529,0.5,4,13.5,1.75,0
1,0,5,1,2,0,0,1,1,0,3,0,0
0,1,1,1,2,0,0,0,0.666667,0,0,1,0
0,210,12,13,0.916667,0.357143,0,0.465116,0.199074,2,37.6,1.76,1
0,188,2,6,1.019737,1,0,0.709677,0.292857,8,41.55,2.3,1
0,0,4,0,0,0,0,0,0.833333,0,11.333333,0.6667,0
0,1,53,1,2,0,0,0,0.75,0,0,1,0
1,1873,3,23,0.911111,0.933333,11,0.591195,0.131313,19,32.507463,2.3284,1
0,3,2,5,2,0,0,0.953488,0.555556,1,7.333333,0.6667,0
0,119,2,64,0.85,0.8,4,0.756757,0.239234,3,75.578947,3.0526,0
2,1037,8,16,0.878405,0.604651,6,0,0.133333,0,36.760563,1.507,1
0,0,1,17,0.166667,1,0,0.8,0.4,0,21.75,4,0
0,4,1,4,0.666667,1,0,0.964286,0.45,0,5.25,0.75,0
0,0,12,0,2,0,0,1,1,0,4,0,0
10,10,16,11,2,0,0,0.931034,0.44,4,10.2,0.8,0
0,0,2,33,0.45,1,2,0.918033,0.305556,8,67.666667,6,0
0,0,1,0,0,1,0,0.684211,0.342857,2,8.142857,0.8571,0
0,6,1,17,2,0,0,0.986111,0.5,6,116,1.25,1
0,57,2,4,0.666667,0,1,0,0.278195,0,7,0.9474,0
4,30,5,3,0.912946,1,0,0.704545,0.25,0,27.058824,1.2353,1
6,466,98,11,0.806452,1,1,0,0.163462,0,7.59375,1.2813,0
0,6,0,10,2,0,0,0.955224,0.5,8,27.25,0.75,0
0,21,4,22,2,0,0,0.923077,0.339286,7,63.571429,5.1429,0
0,1,1,2,2,0,0,0.987805,0.6,0,5.5,0.5,0
0,561,3,13,2,0,0,0,0.119485,0,0,1,0
0,0,6,2,0.4375,1,2,0,0.45,0,21.2,1.6,1
0,0,4,2,0.55,0.5,1,0.583333,0.409091,3,10.363636,1.3636,0
2,0,2,1,0.5,1,0,0.75,0.666667,0,9,0.6667,0
0,3,2,4,2,0,0,0,0.333333,0,46,0.6667,1
2,0,4,10,0.2,1,0,0.970803,0.4,10,14.5,1.1667,0
0,28,2,3,2,0,0,0.951049,0.416667,19,2.875,1,0
0,3,0,1,2,0,0,0.989899,1,4,2.333333,0.6667,0
0,0,24,2,2,0,0,0,1,0,0,1,0
0,2,2,8,0.333333,1,1,0.978571,0.4375,2,22.75,1.5,0
0,3,1,5,2,0,0,0.952381,0.555556,1,5.333333,0.6667,0
0,0,7,4,0.5,1,1,0,0.555556,0,10,1,0
0,1,0,5,2,0,0,0.979592,0.75,6,6.5,0.5,0
0,3,0,6,2,0,0,0,0.444444,0,12.666667,2.3333,0
0,0,20,9,0.68254,0.333333,2,0,0.365079,0,20.363636,1,0
0,6,3,14,0.409091,1,1,0.93007,0.291667,13,18,1.6667,1
0,114,2,8,0.846429,1,4,0,0.237069,0,12.241379,0.9655,0
0,0,0,0,2,0,0,0,1,0,0,1,0
0,3,1,6,2,0,0,0.990698,0.583333,4,12.333333,0.6667,0
1,2,1,0,0.666667,1,0,0.942857,0.666667,3,21.25,1,1
0,1,0,1,0.5,0,0,0.97619,1,0,198.333333,0.3333,0
0,1,0,2,2,0,0,0.995833,0.75,1,2,0.5,0
0,0,1,20,0.333333,1,0,0.979592,0.45,4,36,2.75,0
0,1,1,7,0.5,0,1,0.990868,0.555556,0,7.333333,0.6667,0
1,36,20,6,2,0,0,0.6,0.314815,0,2.111111,0.8889,0
0,0,0,26,0.166667,1,3,0.979592,0.444444,15,86,1.3333,0
0,0,5,0,2,0,0,0,0,0,119,0,0
0,1,0,13,2,0,0,0.989691,0.6,4,20.5,1,1
0,3,4,3,1,0,3,0,0.388889,0,58.666667,3.3333,0
0,3,1,9,2,0,0,0.990566,0.666667,1,55.333333,0.6667,0
0,25,1,7,0.555556,0,1,0.905263,0.28,22,7.5,1,1
0,0,1,19,0,0.75,3,0.985185,0.444444,4,54.666667,3,0
1,1,2,7,2,0,0,0.995261,0.625,2,24,0.5,0
0,3,2,5,2,0,0,0.953488,0.555556,1,7.333333,0.6667,0
0,0,1,5,0.444444,0,2,0.727273,0.5625,4,36.25,0.75,0
0,0,0,13,0.333333,1,0,0.959459,0.4,7,9.75,0.75,0
0,15,1,15,2,0,0,0.977064,0.533333,4,31.166667,1.6667,1
0,15,0,9,2,0,0,0.975124,0.444444,5,25.666667,1.3333,0
0,1,4,0,1.456897,0.896552,0,0,0.5,0,174,1,0
0,1,0,8,2,0,0,0.979592,0.75,7,35,0.5,0
0,0,0,20,0.75,1,1,0.933333,0.333333,6,27.4,1.2,0
0,66,2,13,0.909091,0,0,0,0.25,0,38.583333,2,1
0,337,4,17,0.894661,1,6,0.288889,0.131488,0,48.5,2.7059,0
0,55,1,2,2,0,0,0.830189,0.348485,0,3,0.8182,0
2,241,11,14,0.733333,0.4,2,0.641975,0.180108,9,34.16129,3.0645,0
0,0,2,0,2,0,0,0,0,0,0,0,0
9,28,9,9,2,0,0,0.872727,0.5,5,12.75,1.125,0
0,53,2,5,0.785714,1,5,0.933333,0.293333,5,9.6,1,0
0,27,1,9,0.666667,1,2,0.937799,0.25,4,19.5,1.0714,0
0,3,1,6,2,0,0,0.990566,0.666667,3,17,0.6667,0
1,4,7,4,0.666667,1,0,0.990868,0.45,0,6.25,0.5,0
0,0,3,4,0.65,1,2,0,0.466667,0,63.6,1.6,0
0,0,0,4,0.5,0,2,0.714286,0.407407,1,6.222222,0.8889,0
0,0,1,17,0.142857,1,2,0.925532,0.270833,3,15.625,1,0
0,1,0,5,0.5,1,1,0.965517,0.555556,4,11,0.6667,0
0,666,41,0,2,0,0,0,0.191892,1,0,1,0
0,0,3,0,2,0,0,0,1,0,0,1,0
0,6,1,10,2,0,0,0.949153,0.4,4,9.75,0.75,0
0,1,0,5,2,0,0,0.982143,0.75,8,31.5,0.5,0
0,0,3,4,1.211538,0.051282,1,0,0.375,0,69.4,0.8,0
12,8,13,0,1.223684,0,0,0.926829,0.416667,0,80,1,0
0,0,1,24,0.4,1,2,0.918033,0.361111,6,32.166667,1.6667,0
0,3,0,11,2,0,0,0,0.466667,0,86,0.6667,0
0,15,10,30,2,0,0,0.938272,0.4,12,46,3.6667,0
2,516,24,19,0.96875,0,6,0.801471,0.173611,29,17,1.1515,1
6,3,7,1,2,0,0,0,0.555556,0,1,0.6667,0
0,617,4,28,0.86031,1,9,0.830508,0.136298,6,55.571429,2.0952,0
0,0,0,0,2,0.015625,0,0,1,0,3,0,0
0,0,2,28,0.65,1,3,0.918033,0.305556,5,58.5,3.3333,0
0,10,1,1,2,0,0,0.5,0.35,5,60,2.2,0
0,0,0,14,0.285714,1,1,0.965517,0.270833,5,13.5,1,0
0,0,4,6,0.783972,1,2,0,0.23545,0,9.238095,1.1905,0
0,0,1,0,2,0,1,0,1,0,12,0,0
0,3,1,5,2,0,0,0.952381,0.555556,1,7,0.6667,0
0,3,0,22,2,0,0,0.979592,0.444444,14,42.666667,2,0
0,1,0,11,0.75,0.5,0,0,0.571429,0,69.714286,1.7143,0
0,89,1,32,1.030769,0.3,0,0.821918,0.207143,5,55.785714,3.5714,0
0,0,1,0,2,0,0,0,1,0,0,1,0
0,9,1,17,0.722222,0,0,0,0.333333,0,82.857143,2.4286,1
2,99,15,20,0.907407,1,3,0.769231,0.190789,4,16,1.7368,0
0,0,6,1,2,0,0,0,1,0,0,1,0
0,3,0,0,0.329412,1,0,0,0.685185,0,45,3.1111,0
0,1,1,3,2,0,0,0.97619,0.75,1,5.5,0.5,0
0,0,2,25,0.333333,1,2,0.934211,0.305556,7,34,1.3333,0
3,52,7,9,0.840909,1,1,0.887755,0.236111,3,6.666667,1.4167,0
0,10,1,9,0.714286,1,1,0.915663,0.267857,1,21,1.75,0
2,189,24,11,0.942857,0.8,4,0.903226,0.181818,14,6.681818,0.9545,0
0,7,1,35,0.644444,1,2,0.861538,0.3,9,64.3,4,0
0,10,6,0,2,0,0,0,0.333333,0,0,1,0
0,201,9,36,0.52381,1,0,0.622642,0.199301,4,31.454545,1.5455,1
2,22,3,26,0.75,1,1,0.925234,0.259259,4,16.222222,1,0
0,1,0,1,0.5,0,0,0.97619,1,0,203.333333,0.3333,0
0,36,1,10,2,0,0,0.963801,0.314815,7,20.666667,3,1
0,0,8,0,0.425,1,0,0,0.515152,0,19.909091,1.7273,0
0,0,1,3,0.628571,1,1,0.588235,0.416667,5,24.875,2.375,0
0,0,1,0,2,0,0,0,1,0,12,0,0
0,0,0,33,0.185185,1,2,0.8875,0.257143,9,58.7,2.5,0
0,666,24,4,1.027778,0,0,0,0.27027,0,0,1,0
0,0,4,2,2,0,0,0,1,0,0,1,0
1,218,10,8,0.625,1,2,0.682692,0.171171,9,17.621622,2.2432,1
0,428,2,1,0.834921,1,3,0,0.215873,0,25.111111,0.8889,0
2,354,6,12,0.88172,1,2,0.866953,0.180556,19,19.25,1.8438,0
0,0,17,0,0.285714,0,0,0.666667,0.34375,0,13.75,1,0
0,24,0,21,0.53125,1,1,0.923077,0.253968,13,33.111111,2.4444,0
0,3,1,1,0.6,1,0,0.975124,0.666667,2,4.166667,0.8333,0
1,0,8,13,0.4375,1,2,0.892857,0.165775,9,15.411765,1.8824,0
0,121,10,22,0.852381,1,4,0.740741,0.140496,7,20.590909,2.0455,0
1,0,4,4,2,0,4,0,1,0,21,0,0
0,0,6,0,1.095238,0,0,0.944444,0.666667,0,10.75,0.25,0
0,0,6,0,2,0,0,0,1,0,0,1,0
0,0,1,5,0.25,1,0,0.979021,0.366667,1,24.6,4,0
0,37,6,2,0.888889,1,0,0.956098,0.4,1,3.8,0.9,0
0,3,51,2,1.015345,0.086957,0,0,0.411765,0,20.833333,0.7222,0
0,1,1,2,0.5,1,1,0.85,0.265306,6,27.142857,1.7143,0
0,6,1,7,0.660714,1,0,0,0.339286,0,47.875,2.375,0
0,45,26,0,1.111111,0,0,0,0.55,0,0,1,0
0,0,1,0,0.5,1,0,0,0.8,0,4.6,0.8,0
0,0,1,17,0.25,1,1,0.933333,0.333333,5,24.4,1.8,0
0,0,2,0,2,0,0,1,1,0,4,0,0
0,1,0,1,0.5,0,0,0.97619,1,0,140.666667,0.3333,0
0,3,1,2,0.733333,0,0,0.772727,0.458333,1,75,1,0
0,0,33,25,0.583333,1,2,0.910256,0.3125,7,55.111111,1.3333,0
0,1,0,1,0.5,0,0,0.97619,1,0,203.333333,0.3333,0
0,15,3,15,0.7,1,1,0.951456,0.233766,5,19.454545,1.2727,0
0,0,2,0,0,0,0,0,0.875,0,12,0,0
0,0,26,3,0,1,0,0,0.464286,0,21,1.8571,0
0,0,0,0,2,0,0,0,1,0,3,0,1
0,10,2,3,2,0,0,0.98,0.7,4,6.8,0.8,0
0,3,1,2,2,0,0,0.5,0.555556,0,7,1.3333,0
0,0,0,1,2,0,0,1,1,0,3,0,0
0,0,3,2,0,0,1,0.966667,0.4,0,15.2,0.2,0
0,28,1,0,1.142857,0,0,0.857143,0.225,0,17.375,0.875,1
0,5,1,11,0.583333,1,2,0.9,0.238095,5,17.428571,1.8571,0
0,6,6,1,2,0,0,0,0.625,0,0,1,0
0,9,2,1,0.6,1,0,0.975124,0.444444,5,7,1.1667,0
0,0,0,8,0,1,1,0.979592,0.444444,13,15.666667,1,0
0,1,3,1,2,0,0,1,0.833333,0,4.5,0,0
0,575,1,11,0.863946,0.785714,2,0.236364,0.153101,0,23.930233,1.0465,0
0,3,2,5,2,0,0,0.953488,0.555556,1,7.333333,0.6667,0
0,27,1,8,0.844444,1,0,0.945205,0.263889,5,6.4,0.9,0
1,76,11,1,0.858333,0.166667,0,0,0.404762,0,18.190476,1.6667,1
0,151,43,1,0.941176,0,0,0,0.235294,0,13.277778,1.5556,1
0,0,0,21,0,1,1,0.934211,0.285714,7,19.285714,1.1429,0
0,3,1,9,2,0,0,0.95,0.5,6,15.666667,0.6667,0
0,6,0,20,0.375,0,1,0.960784,0.238095,5,23,1,0
0,0,5,17,0.833333,1,0,0.949153,0.416667,3,30.25,2,0
7,6,12,9,0.375,0,1,0.857143,0.355556,9,12.555556,1.7778,0
1,1,24,3,0.703704,0,2,0.910256,0.333333,22,8.6,1.3,1
0,46,4,22,0.6,1,2,0.899281,0.2,13,33.9375,2.4375,1
0,0,1,15,0.633333,1,2,0,0.222222,0,31.181818,2.4545,0
0,0,13,3,0.97076,0.210526,3,0,0.475,0,21.8,1.5,1
0,1,1,5,2,0,0,0.995261,0.625,2,12.5,0.5,0
0,0,0,5,0.666667,1,3,0.5,0.309091,5,23.090909,1.6364,0
0,1,0,1,0.5,1,0,0.975,0.75,3,25,1,0
0,1,0,1,0.5,0,0,0.97619,1,0,190.333333,0.3333,0
0,1,3,0,2,0,0,1,0.833333,0,5,0,0
0,0,0,2,0.666667,1,1,0.588235,0.416667,5,17.25,1.5,0
1,8,4,2,0.541667,0.5,0,0.771429,0.269231,4,18.615385,1.8462,0
0,0,1,4,0.472222,1,2,0,0.4,0,16.8,0.9,0
0,9,1,7,0.833333,1,1,0.934211,0.361111,12,20.333333,0.8333,0
0,10,2,0,2,0,0,0.888889,0.6,2,20.4,1.8,0
0,0,1,1,1.269231,0,1,0,0.833333,0,12.5,1.75,0
0,0,1,4,0.833333,0,2,0,0.466667,0,25,2,0
0,3,1,15,2,0,0,0.979592,0.6,6,17.666667,0.6667,0
4,0,4,6,0.166667,1,1,0.970297,0.428571,0,15.857143,1,0
4,6,6,9,0.375,0,1,0.875,0.355556,15,12.666667,1.7778,0
0,3,1,13,2,0,0,0,0.444444,0,68,5.3333,0
0,121,3,18,0.680272,0.857143,4,0,0.180952,0,41.545455,3.0455,0
0,15,1,1,2,0,0,1,0.625,0,4.666667,0,0
0,8,1,7,0.5,1,0,0.904762,0.4,6,10.6,1,0
0,0,1,10,0,1,0,0.985185,0.555556,3,38.333333,2.3333,0
1,13,3,2,0.861111,0.75,2,0,0.571429,0,11.428571,0.8571,0
0,0,2,11,0.447368,0,2,0.540541,0.258333,1,8.2,0.9,0
0,3,0,6,2,0,0,0.964912,0.666667,7,14,0.6667,0
0,232,2,5,0.901042,1,1,0.676923,0.217593,6,30.96,2.24,1
0,0,0,2,0.566667,1,1,0.5,0.340909,5,9.636364,1.3636,0
1,39,11,10,0.8,1,0,0.964286,0.309091,2,28.909091,1.5455,0
0,23,4,2,0.925,0.375,1,0,0.3,0,36.363636,3.1818,1
0,3,1,5,2,0,0,0.953488,0.833333,6,13,0.6667,0
0,10,0,6,2,0,0,0.98,0.466667,5,12.8,0.8,0
1,2426,155,22,0.936207,0.793103,11,0.195876,0.069318,0,14.617284,1.2716,1
0,0,1,2,0.3,0,0,0,0.6,0,10.166667,1.3333,0
0,0,2,0,2,0,0,0,1,0,0,1,0
0,3,5,25,0.7875,0.03125,0,0.848485,0.444444,2,436,6.6667,1
0,1,0,1,0.5,1,0,0.975,0.75,3,115,2,0
0,1,2,33,0.518519,1,2,0.925234,0.242857,4,28.9,1.6,0
0,3,1,8,2,0,0,0.975904,0.583333,12,57.666667,0.6667,0
0,0,87,2,0.1,0,2,0.894737,0.4,1,14.833333,0.6667,0
0,3,0,11,2,0,0,0.99,0.533333,5,11.333333,0.3333,0
0,4,1,6,0.75,1,2,0,0.416667,0,22.8,0.6,0
1,87,6,15,0.6,0.2,3,0.816092,0.184211,24,16.421053,1.6842,1
3,3,30,33,2,0,0,0.978723,0.52381,0,79.666667,1.3333,0
0,1,0,13,2,0,0,0.989691,0.6,4,21,1,0
0,58,3,1,0.741667,1,1,0,0.453125,0,14.8125,1.3125,0
0,783,4,9,0.962585,0.166667,2,0,0.328042,0,43.465116,1.5349,1
0,4,6,13,0.571429,1,0,0.922078,0.325,8,8.125,0.75,0
0,0,4,18,0.583333,1,0,0.875,0.266667,6,24.8,2.1,0
0,0,6,0,0.361111,1,0,0,0.410256,0,11.076923,1.2308,0
0,0,1,1,0,1,1,0,0.5,0,20,1.6667,0
0,1,0,5,2,0,0,0.982143,0.75,7,20.5,0.5,0
0,1,1,8,2,0,0,0.995283,0.625,2,24,0.5,0
0,1026,19,9,0.895161,0.870968,3,0,0.106918,0,21.132075,1.6792,0
0,0,3,2,0.59,1,0,0,0.261905,0,15.761905,1.619,0
0,4,2,3,1,1,3,0.904762,0.5,1,10,0.4,0
0,254,3,0,0.902778,1,0,0,0.152727,0,21.12,1.08,0
0,1,0,18,2,0,0,0.989691,0.6,4,29.5,0.5,0
0,0,0,0,2,0,1,0,1,0,12,0,0
0,1,1,3,2,0,0,0.97619,0.75,1,5.5,0.5,0
0,5942,5,5,0.798319,0,1,0,0.185808,0,7.466667,1.1833,0
0,1235,27,55,0.948113,0.916667,6,0.504673,0.101307,7,34,2.1296,1
0,3,2,5,2,0,0,0.953488,0.555556,1,7.333333,0.6667,0
0,0,0,22,0.333333,1,0,0.949153,0.4,5,27.5,1.25,0
0,83,0,8,0.821429,1,0,0.729167,0.16,6,12.866667,1.1333,0
0,0,0,0,2,0,0,0,1,0,3,0,0
0,0,2,8,0.817582,0.923077,2,0,0.176623,0,24.027778,1.1944,0
1,5,6,19,0.733333,1,4,0,0.392857,0,44.142857,0.8571,0
5,78,40,13,2,0,0,0,0.203297,0,2.076923,0.9231,0
0,15,4,6,0.619048,1,1,0,0.190476,0,20.466667,0.8667,1
0,0,1,41,0.55,1,4,0.923077,0.361111,4,86.833333,1.6667,1
0,516,10,16,0.929143,0.52,9,0,0.142593,0,21.388889,2.0556,0
0,1,0,4,2,0,0,0.982143,0.75,7,13,0.5,0
12,10,28,0,2,0,0,0,0.9,0,2.8,0.8,0
0,3,1,4,2,0,0,0.985185,0.555556,5,9.333333,1,0
0,0,1,25,0.25,1,1,0.933333,0.333333,3,49.4,1.8,0
0,0,2,21,0.8,1,0,0.923077,0.333333,7,114.333333,7.3333,1
0,0,1,0,2,0,0,0,1,0,9,0,0
0,37,3,13,0.916667,1,0,0.938776,0.225,5,10.727273,0.9091,0
0,6,1,5,2,0,0,0.976563,0.4375,6,15,1.5,0
0,300,52,2,1.041667,0,0,0,0.34,0,0,1,0
0,0,0,2,2,0,0,1,1,0,3,0,0
0,0,1,2,0.628571,1,2,0,0.311111,0,9.2,0.8667,0
0,0,0,13,0.333333,1,0,0.959459,0.4,7,9.75,0.75,0
0,0,4,1,1,0,1,0,0.666667,0,13.8,0,0
0,24,2,2,0.708333,0,1,0,0.4,0,14.555556,1.5556,0
0,0,1,0,0.642857,0,0,0,0.666667,0,15,0,0
23,68,25,37,0.848958,0.9375,4,0.763441,0.13141,10,74.12,2.92,1
0,0,2,5,0.111111,0,1,0.689655,0.28,1,6.7,1,0
0,10,3,6,2,0,0,0.976563,0.45,4,9.4,1,1
0,37,0,0,0.777778,1,0,0,0.375,0,5,0.8,0
0,3,1,1,2,0,0,0.99095,1,1,2.333333,0.6667,0
0,0,4,0,0.653409,0.818182,0,0,0.291667,0,34.882353,2.2353,0
0,3,0,5,0.4,1,0,0.975124,0.444444,4,8.833333,0.8333,0
0,3,1,2,2,0,0,0.5,0.555556,0,5,1,0
0,1,0,5,2,0,0,0.979592,0.75,6,6.5,0.5,0
1,92,22,2,0.888889,1,0,0,0.5625,0,6.9375,1.125,0
0,0,0,1,0.833333,0,0,0.571429,0.5,4,14,1.5,0
0,42,4,5,0.625,0.5,0,0,0.340659,0,25.384615,1.8462,0
0,0,0,0,2,0,0,1,1,0,4,0,0
0,0,2,24,0.083333,1,1,0.922078,0.306122,9,39,1.7143,0
0,29,11,13,0.769231,1,0,0,0.206349,0,37.642857,1.8571,0
0,3,0,4,2,0,0,0.95,0.5,6,2,0.6667,0
0,42,5,24,0.783333,1,1,0.823529,0.207692,11,49.615385,4.5385,0
1,714,14,7,0.739394,0.833333,1,0.363636,0.160714,4,13.875,1.5714,0
0,3,1,5,0.611111,0.5,3,0,0.3125,0,79.9,2.8,1
3,18,3,4,0.8,1,0,0.837838,0.5,1,12.625,0.75,0
0,13,2,2,0.9,1,1,0.871795,0.305556,1,16,1,0
0,268,50,4,0.562963,0.8,0,0,0.285714,1,24.964286,1.4286,0
1,50,7,19,0.746667,0.8,1,0.666667,0.1875,9,20.9375,2.25,0
0,0,1,0,0.681818,0.5,2,0,0.409091,0,28.583333,2.5,0
