@relation synapse-1.1_deleteColumns-weka.filters.unsupervised.attribute.Remove-R4-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.Remove-R6-weka.filters.unsupervised.attribute.Remove-R10-weka.filters.unsupervised.attribute.Remove-R15-weka.filters.unsupervised.attribute.Remove-R8

@attribute dit numeric
@attribute noc numeric
@attribute lcom numeric
@attribute ca numeric
@attribute ce numeric
@attribute lcom3 numeric
@attribute loc numeric
@attribute moa numeric
@attribute cam numeric
@attribute ic numeric
@attribute cbm numeric
@attribute amc numeric
@attribute max_cc numeric
@attribute bug {1,0}

@data
1,0,25,8,7,0.222222,537,0,0.222222,0,0,52.6,10,1
1,0,13,1,8,0.666667,69,1,0.25,0,0,8.571429,2,1
1,0,589,23,20,0.86087,933,1,0.144928,0,0,18.638298,8,1
3,0,4,0,5,0.666667,30,0,0.666667,0,0,6.25,1,0
2,7,1,7,7,2,46,0,0.5,0,0,22,3,0
3,0,1,2,3,2,77,0,0.666667,2,5,37.5,2,0
2,0,4,0,10,0.666667,148,0,0.666667,0,0,35.75,10,0
1,0,0,2,5,0.25,128,0,0.6,0,0,24.4,5,0
1,0,2,1,10,0.583333,101,0,0.333333,0,0,23.25,4,0
1,0,2,1,20,0.5,174,0,0.555556,0,0,42,8,1
1,0,0,11,2,2,1,0,1,0,0,0,1,1
1,0,99,0,26,0.357143,445,0,0.314286,0,0,28.6,19,1
1,0,1,7,15,2,63,0,0.5,0,0,30.5,7,1
3,0,3,0,7,2,46,0,0.555556,0,0,14.333333,3,0
1,0,4,1,7,0.666667,32,1,0.5,0,0,6.75,2,1
3,0,37,21,11,0.794872,389,0,0.3,1,4,26.357143,29,0
2,0,3,0,12,2,137,0,0.555556,0,0,44.666667,8,0
2,0,2,0,6,1.047619,97,0,0.666667,0,0,21.5,7,0
2,0,150,2,26,0.873518,595,0,0.2,0,0,23.333333,16,1
5,0,3,2,5,2,18,0,0.5,0,0,5,1,1
1,0,1,2,12,0.5,93,0,0.5,0,0,29,7,1
1,0,2,2,11,0.5,147,0,0.333333,0,0,35.25,12,1
4,0,3,82,0,1.5,17,0,0.777778,0,0,4.333333,0,0
1,0,15,0,11,2,35,0,0.361111,0,0,4.833333,1,0
1,0,1,0,11,0.625,148,0,0.666667,0,0,47,8,0
2,0,1,0,8,2,46,0,0.75,0,0,22,1,0
1,0,0,3,6,0.541667,265,1,0.333333,0,0,36.285714,3,0
2,0,1,5,6,2,50,0,0.75,0,0,24,5,0
2,0,3,0,10,2,56,0,0.555556,0,0,17.666667,4,1
3,0,1,2,8,2,114,0,0.75,1,2,56,11,0
3,0,1,5,2,2,9,0,0.75,0,0,3.5,1,0
2,0,3,0,9,2,152,0,0.555556,0,0,49.666667,7,1
2,0,2,0,11,0.666667,191,0,0.666667,0,0,46.25,13,0
2,0,3,0,11,2,192,0,0.555556,0,0,63,11,0
1,0,20,0,26,0.785714,281,1,0.333333,0,0,33.875,3,1
1,0,1,3,2,2,2,0,0.75,0,0,0,1,0
1,0,0,1,11,0.625,359,1,0.270833,0,0,49.714286,31,0
1,0,81,2,10,0.857143,177,0,0.160714,0,0,10.4,1,1
1,0,1,6,2,0.666667,56,0,0.555556,0,0,7.833333,1,0
1,0,0,1,0,0,57,0,0.625,0,0,26,1,0
2,0,6,0,11,1,140,0,0.555556,0,0,33.75,6,0
1,0,28,4,0,2,8,0,1,0,0,0,1,0
2,0,3,0,9,2,148,0,0.555556,0,0,48.333333,10,0
2,0,3,0,9,2,119,0,0.555556,0,0,38.666667,9,0
2,0,48,2,28,0.866667,932,0,0.242188,0,0,56.5,33,1
2,0,41,0,11,0.9,561,0,0.38,2,3,49.818182,9,0
2,0,3,0,8,2,114,0,0.555556,0,0,37,7,0
2,0,100,2,13,0.90625,446,0,0.3,0,0,24.764706,12,1
1,0,9,3,4,0.333333,558,0,0.3,0,0,78.571429,12,0
2,0,4,2,7,0.625,564,0,0.377778,0,0,61.333333,11,1
2,0,78,4,10,0.8125,359,2,0.276786,1,1,19.647059,17,1
1,0,28,7,3,2,8,0,0.4375,0,0,0,1,0
2,0,0,1,20,0.535714,523,1,0.404762,1,2,63.875,4,1
1,0,3,2,2,2,3,0,0.666667,0,0,0,1,0
1,0,30,1,38,0.625,556,0,0.196429,0,0,60.666667,6,1
3,0,1,3,15,0.814286,563,0,0.30303,1,3,49.545455,16,0
1,0,1,0,5,0.5,21,0,0.5,0,0,5.666667,1,1
3,0,0,2,8,0.5,281,0,0.388889,1,2,29.888889,10,0
1,1,0,1,1,0,17,0,0.666667,0,0,4.333333,1,0
1,0,11,3,4,0.622222,169,2,0.316667,0,0,15.4,7,1
1,0,3,2,2,2,3,0,0.666667,0,0,0,1,0
2,0,3,0,10,2,56,0,0.555556,0,0,17.666667,4,0
3,0,3,0,9,2,100,0,0.555556,0,0,32.333333,6,0
1,0,5,1,6,0.55,156,0,0.28,0,0,24.333333,4,0
3,0,4,0,5,0.666667,31,0,0.666667,0,0,6.5,1,0
1,0,20,1,17,0.642857,191,1,0.244898,0,0,22.625,6,1
2,0,4,0,10,0.666667,141,0,0.666667,0,0,34,6,1
2,0,2,0,10,0.666667,274,0,0.666667,0,0,66.25,19,0
2,0,2,0,7,0.666667,66,0,0.666667,0,0,14.75,3,0
1,0,0,3,3,0.25,76,0,0.555556,0,0,23.666667,4,0
3,0,6,0,9,2,39,0,0.583333,2,2,8.75,1,0
2,0,234,4,11,0.913194,396,2,0.223958,1,1,14.36,17,1
1,0,2,1,12,0.583333,126,0,0.333333,0,0,29.5,6,0
1,0,2,1,14,0.625,372,0,0.375,0,0,73,22,1
1,0,2,1,14,0.625,374,0,0.35,0,0,73.4,19,1
1,0,35,3,5,0.74359,165,2,0.255102,0,0,10.357143,5,1
1,0,0,1,10,0,42,0,0.75,0,0,19.5,3,1
1,17,7,17,5,0.47619,229,0,0.380952,0,0,14.066667,4,0
3,0,1,1,4,2,14,0,0.5,0,0,6,1,0
1,0,1,8,2,2,2,0,0.75,0,0,0,1,0
2,0,4,0,9,0.666667,141,0,0.666667,0,0,34,6,0
3,0,4,0,5,0.666667,31,0,0.666667,0,0,6.5,1,0
3,0,3,0,7,2,46,0,0.555556,0,0,14.333333,3,0
2,0,3,0,11,2,108,0,0.555556,0,0,35,8,0
1,0,87,4,12,0.845588,260,3,0.227941,0,0,13,7,1
2,0,4,0,10,0.666667,182,0,0.666667,0,0,44,15,0
1,0,0,2,2,2,1,0,1,0,0,0,1,0
3,0,4,0,11,0.666667,193,0,0.666667,0,0,47,10,0
3,0,3,2,5,2,74,0,0.833333,1,2,23.666667,8,0
1,0,0,1,9,0.5,159,2,0.5,0,0,30,4,0
1,0,4,2,20,0.25,493,0,0.416667,0,0,96.8,1,0
3,0,3,1,4,2,33,0,0.555556,0,0,10,2,0
1,0,13,1,5,0.2,177,0,0.5,0,0,28.333333,10,0
1,0,0,3,9,0.583333,46,2,0.25,0,0,7.6,1,0
2,0,4,0,4,0.666667,27,0,0.666667,0,0,5.5,1,0
1,0,0,1,0,2,1,0,1,0,0,0,1,0
2,0,2,0,8,0.666667,61,0,0.666667,0,0,13.75,3,1
1,0,6,6,2,2,4,0,0.666667,0,0,0,1,0
1,0,27,3,9,0.791209,280,2,0.4,0,0,18.5,7,1
2,0,34,4,9,0.866667,483,0,0.258929,0,0,28.6875,8,0
3,0,3,0,8,2,45,0,0.555556,0,0,14,3,0
1,0,1,8,3,1.969231,81,0,1,0,0,7,0,1
1,0,6,74,1,2,4,0,0.5,0,0,0,1,0
1,0,15,5,9,2,146,0,0.5,0,0,23.333333,4,0
1,0,32,0,25,0.875,247,0,0.270833,0,0,26,7,1
1,0,22,0,11,0.75,343,0,0.4,0,0,36.888889,1,0
1,0,0,1,14,0,102,0,0.75,0,0,49.5,6,1
2,0,299,2,12,0.898707,594,2,0.172414,0,0,18.266667,22,1
2,0,2,1,5,0.55,206,0,0.625,0,0,39.2,5,0
3,0,1,1,1,2,43,0,0.777778,2,2,13.333333,2,0
1,0,21,46,1,2,7,0,0.428571,0,0,0,1,0
1,0,0,2,9,0.56,336,1,0.28,0,0,29.090909,3,0
1,0,5,1,9,0.708333,285,0,0.416667,0,0,39.142857,20,0
1,0,14,4,12,0.828571,379,1,0.333333,0,0,45.75,12,0
2,0,0,2,8,0.5,169,1,0.270833,0,0,19.875,6,0
1,0,35,3,3,0.851852,46,1,0.266667,0,0,3.3,1,0
1,0,1,8,10,2,91,0,0.5,0,0,44.5,7,1
1,0,143,2,17,0.878788,537,0,0.181818,0,0,21.956522,5,0
1,0,0,1,11,0.25,566,0,0.3125,0,0,112,39,1
1,0,493,13,0,0.941176,225,0,0.297143,0,0,4.942857,1,1
1,0,8,2,18,0.25,105,0,0.3,0,0,19.8,8,1
1,0,87,1,1,0.852941,200,0,0.361111,0,0,9.666667,1,0
2,0,14,2,16,0.727273,304,1,0.3,0,0,23.916667,17,0
2,2,12,4,10,0.75,727,0,0.678571,0,0,88.375,23,0
1,0,0,2,6,0.25,143,0,0.6,0,0,27.4,5,0
1,17,22,17,14,0.771429,190,0,0.346939,0,0,22.125,5,1
1,0,0,2,0,2,1,0,1,0,0,0,1,0
1,0,3,9,1,2,3,0,0.666667,0,0,0,1,0
1,0,0,4,10,0.527778,407,1,0.288889,0,0,39.3,7,0
2,7,1,7,5,2,40,0,0.666667,0,0,19,3,0
1,0,9,3,5,0.5,139,0,0.566667,0,0,17.857143,5,0
1,0,0,9,1,2,1,0,1,0,0,0,1,0
1,0,22,1,1,0.8125,75,2,0.288889,0,0,6.888889,4,0
1,0,1,2,2,2,2,0,0.75,0,0,0,1,0
2,2,53,8,13,0.666667,421,0,0.255102,0,0,28.857143,7,0
2,0,6,2,14,0.80303,406,0,0.22619,0,0,32.333333,25,0
3,0,349,1,11,1.030769,865,0,0.164835,1,2,30.481481,11,0
2,0,3,0,7,2,41,0,0.555556,0,0,12.666667,3,0
3,0,3,0,8,2,45,0,0.555556,0,0,14,3,0
3,0,4,0,5,0.666667,30,0,0.666667,0,0,6.25,1,0
2,0,3,0,8,2,88,0,0.555556,0,0,28.333333,8,0
1,0,1,2,0,1,12,0,1,0,0,4,0,0
1,0,1,2,6,0.5,26,0,0.5,0,0,7.333333,1,0
1,0,10,2,12,0.583333,382,1,0.190476,0,0,28,4,0
2,0,110,2,19,0.84,594,1,0.185714,0,0,26.809524,15,0
1,0,3,2,33,0.6,550,0,0.371429,0,0,90.333333,7,1
2,0,2,0,13,0.666667,175,0,0.666667,0,0,42,5,0
1,0,28,4,27,2,430,0,0.2,0,0,52.75,6,1
2,0,2,0,13,0.690476,314,0,0.666667,0,0,74,17,0
1,0,1,2,4,2,33,0,0.5,0,0,15.5,3,0
1,0,26,7,3,0.928571,70,0,0.375,0,0,6,1,0
2,0,0,2,10,0.5,157,0,0.291667,0,0,18.375,10,0
1,0,3,3,2,0.583333,53,1,0.314286,0,0,6.285714,2,0
