@relation 'PC1-weka.filters.unsupervised.attribute.Remove-R1-6,8-13,15,17-21'

@attribute L numeric
@attribute lOComment numeric
@attribute lOBlank numeric
@attribute defects {false,true}

@data
0.18,9,5,false
0.16,16,10,false
0,0,0,false
0,0,0,false
0.16,0,1,false
0.67,0,0,false
0.08,2,7,false
0.07,0,2,false
0.67,0,0,false
0.5,0,0,false
0.04,0,2,false
0.05,3,9,false
0.06,26,48,false
0.01,159,17,false
0.15,14,7,false
0.17,9,7,false
0.1,18,11,false
0.15,14,7,false
0.17,9,7,false
0.12,12,14,false
0.09,0,3,false
0.07,0,10,false
0.4,2,1,false
0.33,3,1,false
0.04,6,16,false
0.5,0,1,false
0.5,0,0,false
0.09,1,2,false
0.06,8,10,false
0.21,0,2,false
0.1,0,2,false
0.02,19,42,false
0.09,18,14,false
0.25,15,11,false
0.11,15,12,false
0.09,18,14,false
0.24,15,13,false
0.1,18,11,false
0.05,5,11,false
0.06,1,3,false
0.07,0,11,false
0.04,6,9,false
0.27,2,1,false
0.15,0,0,false
0.05,0,1,false
0.03,2,4,false
0.04,1,4,false
0.33,0,0,false
0.1,5,13,false
0.04,7,23,false
0.11,5,3,false
0.07,0,1,false
0.06,16,17,false
0.21,12,8,false
0.27,1,2,false
0.14,18,11,false
0.21,12,8,false
0.27,1,2,false
0.11,15,12,false
0.06,13,12,false
0.08,1,4,false
0.14,2,3,false
0.16,3,1,false
0.09,0,0,false
0.22,0,0,false
0.04,1,4,false
0.08,0,1,false
0.06,0,9,false
0.08,10,22,false
0.05,4,6,false
0.11,9,14,false
0.09,1,2,false
0.04,1,5,false
0.24,9,6,false
0.19,0,2,false
0.16,13,9,false
0.24,9,6,false
0.19,0,2,false
0.16,12,12,false
0.1,4,13,false
0.06,8,19,false
0.02,35,19,false
0.33,0,2,false
0.19,0,0,false
0.17,1,0,false
0.15,0,1,false
0.04,0,1,false
0.03,0,2,false
0.22,5,6,false
0.07,6,10,false
0.32,1,2,false
0.32,1,2,false
0.14,18,11,false
0.06,0,8,false
0.13,4,3,false
0.33,0,0,false
0.03,38,19,false
0.09,0,0,false
0.04,0,2,false
0.33,0,0,false
0.04,8,42,false
0.06,16,10,false
0.06,15,18,false
0.05,5,10,false
0.06,8,21,false
0.23,0,2,false
0.23,0,2,false
0.16,13,9,false
0.08,5,7,false
0.02,6,30,false
0.06,1,9,false
0.02,0,0,false
0.08,0,1,false
0.09,0,2,false
0.25,0,0,false
0,0,0,false
0.13,0,3,false
0.08,3,11,false
0.09,3,0,false
0.06,21,48,false
0.06,21,48,false
0.15,50,27,false
0.24,0,1,false
0.25,0,1,false
0.22,3,4,false
0.05,13,8,false
0.25,0,0,false
0.05,0,1,false
0.16,0,1,false
0.25,0,0,false
0.02,7,8,false
0.03,3,17,false
0.03,16,14,false
0.21,1,2,false
0.17,1,2,false
0.09,4,0,false
0.06,10,6,false
0.06,10,6,false
0.11,7,5,false
0.5,0,2,false
0.04,25,23,false
0.25,0,1,false
0.08,1,2,false
0.04,7,14,false
0.07,5,9,false
0.06,0,1,false
0.25,0,0,false
0.04,5,4,false
0.04,5,18,false
0.12,1,3,false
0.06,0,7,false
0.27,3,2,false
0.23,15,9,false
0.07,7,10,false
0.05,12,15,false
0.31,0,0,false
0.32,0,0,false
0.05,0,2,false
0.25,0,0,false
0.04,0,2,false
0.04,7,19,false
0.04,7,21,false
0.28,0,3,false
0.29,0,0,false
0.16,0,2,false
0.03,3,16,false
0.18,1,4,false
0.25,3,2,false
0.21,0,0,false
0.02,37,31,false
0.18,0,1,false
0.1,2,2,false
0.33,0,0,false
0.17,0,1,false
0.02,9,25,false
0.5,0,1,false
0.09,3,6,false
0.21,0,2,false
0.12,4,4,false
0.03,5,19,false
0.25,2,2,false
0.09,1,5,false
0.05,29,24,false
0.4,0,0,false
0.06,0,1,false
0.2,1,1,false
0.1,0,2,false
0.04,0,6,false
0.02,7,101,false
0.14,2,4,false
0.5,0,1,false
0.06,27,12,false
0.29,0,0,false
0.04,8,19,false
0.07,0,4,false
0.14,7,5,false
0.11,2,8,false
0.01,24,62,false
0.04,3,5,false
0.05,1,1,false
0.14,0,1,false
0.02,0,12,false
0.04,0,24,false
0.1,1,3,false
0.67,0,1,false
0.03,7,18,false
0.07,8,13,false
0.06,27,11,false
0.03,3,16,false
0.21,0,2,false
0.04,7,20,false
0.13,0,4,false
0.04,34,26,false
0.05,12,12,false
0.04,2,19,false
0.01,24,56,false
0.04,0,1,false
0.1,1,1,false
0.1,0,1,false
0.26,0,3,false
0.04,12,14,false
0.12,10,5,false
0.05,2,8,false
0.06,7,8,false
0.06,27,12,false
0.11,0,2,false
0.18,0,2,false
0.07,12,6,false
0.02,34,24,false
0.67,0,5,false
0.05,0,2,false
0.07,1,1,false
0.33,0,0,false
0.11,0,0,false
0.11,2,5,false
0.03,19,14,false
0.03,20,16,false
0.03,19,22,false
0.1,0,6,false
0.04,13,48,false
0.06,27,11,false
0.03,0,27,false
0.13,1,4,false
0.5,0,1,false
0.05,27,11,false
0.2,2,1,false
0.1,0,1,false
0.1,1,1,false
0.15,0,0,false
0.03,1,13,false
0.03,19,19,false
0.06,16,20,false
0.07,0,5,false
0.07,7,9,false
0.06,7,8,false
0.04,13,17,false
0.17,9,7,false
0.11,4,8,false
0.07,3,8,false
0.01,0,1,false
0.07,1,0,false
0.1,0,1,false
0.22,0,2,false
0.01,6,4,false
0.03,21,19,false
0.18,4,5,false
0.05,0,19,false
0.07,7,9,false
0.04,13,48,false
0.09,2,8,false
0.08,3,7,false
0.07,3,0,false
0.24,0,0,false
0.05,0,5,false
0.14,1,3,false
0.05,0,5,false
0.08,1,2,false
0.04,8,15,false
0.24,9,3,false
0.07,7,9,false
0.09,1,5,false
0.35,0,2,false
0.14,2,3,false
0.07,3,7,false
0.04,7,17,false
0.5,0,2,false
0,0,14,false
0.05,0,1,false
0.06,7,9,false
0.03,30,20,false
0.07,7,9,false
0.14,0,8,false
0.07,3,8,false
0.07,22,16,false
0.19,5,5,false
0.06,0,3,false
0.33,0,0,false
0.03,1,5,false
0.03,4,30,false
0.02,20,21,false
0.03,9,13,false
0.07,10,8,false
0.13,9,6,false
0.04,6,9,false
0.22,0,5,false
0.06,5,13,false
0.04,35,27,false
0.04,3,2,false
0.31,0,0,false
0.03,0,3,false
0.22,0,4,false
0.35,7,6,false
0.2,1,4,false
0.02,0,18,false
0.06,11,8,false
0.5,3,1,false
0.04,3,12,false
0.22,2,5,false
0.14,0,1,false
0.02,60,32,false
0.03,16,17,false
0.04,2,3,false
0.05,3,4,false
0.4,0,0,false
0.09,0,0,false
0.1,0,9,false
0.04,38,29,false
0.33,5,6,false
0.06,11,8,false
0.24,9,3,false
0.04,8,31,false
0.04,33,13,false
0.22,2,2,false
0.16,0,0,false
0.05,7,6,false
0,0,0,false
0.21,3,2,false
0.06,5,19,false
0.02,26,31,false
0.05,11,9,false
0.06,7,4,false
0.03,30,20,false
0.15,1,2,false
0.05,0,2,false
0.13,0,2,false
0.09,0,0,false
0.12,0,0,false
0.21,0,1,false
0.07,2,15,false
0.03,35,122,false
0.04,20,24,false
0.07,10,8,false
0.22,0,5,false
0.02,9,8,false
0.13,0,2,false
0.06,22,11,false
0.18,0,1,false
0.17,0,1,false
0.4,0,0,false
0.02,1,13,false
0.08,0,10,false
0.02,22,41,false
0.1,3,6,false
0.18,0,2,false
0.07,14,12,false
0.06,11,8,false
0.07,0,14,false
0.1,1,7,false
0.12,0,3,false
0.1,13,4,false
0.07,0,0,false
0.07,0,7,false
0.03,1,1,false
0.19,0,5,false
0.08,0,10,false
0.12,0,5,false
0.09,8,5,false
0.06,11,8,false
0.03,12,27,false
0.14,0,7,false
0.08,5,10,false
0.14,6,5,false
0.29,1,1,false
0.06,0,0,false
0.06,2,1,false
0,0,0,false
0.02,1,9,false
0.08,0,10,false
0.14,1,1,false
0.09,1,7,false
0.09,8,5,false
0.06,7,4,false
0.02,10,57,false
0.08,0,11,false
0.09,2,6,false
0.02,0,21,false
0.33,0,2,false
0.15,9,2,false
0.05,4,11,false
0.08,1,1,false
0.02,2,12,false
0.13,0,1,false
0.14,0,7,false
0.06,0,3,false
0.5,1,1,false
0.06,3,7,false
0.03,23,32,false
0.04,20,24,false
0.08,0,11,false
0.24,0,3,false
0.07,3,3,false
0.11,3,1,false
0,0,0,false
0.02,0,0,false
0.14,0,7,false
0.09,8,8,false
0.5,0,1,false
0.27,0,4,false
0.02,22,32,false
0.07,14,12,false
0.1,0,8,false
0.17,0,0,false
0.07,8,9,false
0.27,3,0,false
0.04,0,3,false
0.1,0,0,false
0.07,0,13,false
0.06,7,28,false
0.5,4,1,false
0.08,4,8,false
0.3,0,0,false
0.09,8,5,false
0.07,2,5,false
0.06,5,10,false
0.02,58,18,false
0.03,3,1,false
0.05,0,1,false
0.35,0,0,false
0.07,0,13,false
0.13,7,9,false
0.5,1,1,false
0.11,1,8,false
0.5,0,0,false
0.09,8,5,false
0.06,2,1,false
0.17,0,1,false
0.02,3,16,false
0.07,0,12,false
0.5,1,1,false
0.06,0,11,false
0.23,0,1,false
0.03,23,32,false
0.03,18,10,false
0.05,0,1,false
0.02,0,3,false
0.08,0,9,false
0.22,0,2,false
0.08,0,11,false
0.02,22,32,false
0.12,0,2,false
0.16,0,1,false
0.03,0,6,false
0.16,0,7,false
0.22,0,2,false
0.08,3,12,false
0.3,0,0,false
0.07,0,1,false
0.06,4,5,false
0.1,2,0,false
0.07,0,1,false
0.03,1,6,false
0.12,0,15,false
0.19,0,2,false
0.5,0,0,false
0.07,0,3,false
0.07,7,4,false
0.13,2,0,false
0.03,12,7,false
0.08,0,0,false
0.16,0,8,false
0.04,31,11,false
0.11,1,8,false
0.08,0,3,false
0.23,0,1,false
0.03,5,7,false
0.12,3,4,false
0.04,0,1,false
0.22,0,1,false
0.22,0,2,false
0.12,0,6,false
0.19,0,1,false
0.02,31,34,false
0.07,0,2,false
0.03,0,7,false
0.22,0,2,false
0.12,0,14,false
0.04,7,9,false
0.11,2,10,false
0.02,0,2,false
0.17,0,0,false
0.08,3,4,false
0.16,0,8,false
0.08,0,3,false
0.04,0,17,false
0.33,0,1,false
0.33,1,0,false
0.1,0,0,false
0.16,0,1,false
0.17,0,0,false
0.09,1,9,false
0.22,6,4,false
0.09,3,60,false
0.17,2,4,false
0.67,0,0,false
0.26,0,0,false
0.06,0,1,false
0.02,0,1,false
0.25,0,0,false
0.4,0,2,false
0.03,12,24,false
0.08,0,3,false
0.67,1,0,false
0.17,0,0,false
0.07,0,2,false
0.03,0,3,false
0.1,2,8,false
0.11,0,0,false
0.1,0,6,false
0.02,0,2,false
0.24,0,1,false
0.02,1,10,false
0.04,0,26,false
0.11,2,3,false
0.1,2,8,false
0.22,7,7,false
0.22,6,4,false
0.03,6,11,false
0.03,20,5,false
0.14,0,0,false
0.14,0,0,false
0.11,2,3,false
0.33,0,0,false
0.05,0,0,false
0.08,0,1,false
0.07,7,9,false
0.05,11,8,false
0.11,0,0,false
0.04,10,15,false
0.33,0,0,false
0.17,0,2,false
0.02,7,18,false
0.05,8,8,false
0.02,13,23,false
0.21,6,3,false
0.22,7,7,false
0.09,0,4,false
0.04,21,15,false
0.33,0,0,false
0.17,0,0,false
0.04,0,1,false
0.1,2,2,false
0.05,0,9,false
0.07,0,3,false
0.33,0,0,false
0.2,7,2,false
0.09,0,0,false
0,0,0,false
0.08,0,1,false
0.09,3,3,false
0.15,6,6,false
0.07,47,4,false
0.33,0,0,false
0.09,0,0,false
0.1,0,0,false
0.07,0,1,false
0.09,3,3,false
0.21,6,3,false
0.33,0,0,false
0.01,0,0,false
0.03,0,0,false
0.07,10,10,false
0.04,18,35,false
0.19,0,2,false
0.15,0,0,false
0.02,0,1,false
0.09,0,4,false
0.1,3,10,false
0.07,9,5,false
0.5,0,0,false
0.04,0,19,false
0.06,0,6,false
0.33,0,0,false
0.04,0,4,false
0.04,48,37,false
0.05,0,3,false
0.33,0,0,false
0.09,0,0,false
0.03,0,1,false
0.05,12,9,false
0.18,0,3,false
0.08,4,6,false
0.02,8,32,false
0.09,1,2,false
0.29,0,0,false
0.18,0,1,false
0.13,3,5,false
0.42,2,1,false
0.5,0,0,false
0.05,0,10,false
0.11,0,0,false
0.21,0,1,false
0.05,15,18,false
0.09,2,5,false
0.08,0,0,false
0.25,0,0,false
0.08,3,4,false
0.08,12,5,false
0.16,0,0,false
0.03,10,9,false
0.08,0,2,false
0.15,0,1,false
0.08,3,4,false
0.07,8,7,false
0.42,2,1,false
0.1,0,5,false
0.04,4,6,false
0.67,0,0,false
0.08,0,1,false
0.08,0,3,false
0.13,0,0,false
0.33,0,0,false
0.34,0,1,false
0.05,0,2,false
0.5,0,0,false
0.08,12,5,false
0.1,2,8,false
0.06,1,5,false
0.05,0,1,false
0.16,0,1,false
0.04,4,8,false
0.09,0,4,false
0.06,0,1,false
0.08,0,2,false
0.67,0,1,false
0.07,8,7,false
0.16,1,7,false
0.16,0,3,false
0.04,0,4,false
0.11,0,1,false
0.1,1,9,false
0.13,0,0,false
0.06,0,7,false
0.14,0,1,false
0.08,0,2,false
0.06,0,5,false
0.29,0,1,false
0.1,0,1,false
0.07,0,2,false
0.09,3,5,false
0.1,0,1,false
0.08,0,2,false
0.14,2,1,false
0.06,0,0,false
0.12,0,2,false
0.11,0,1,false
0.12,0,2,false
0.08,0,1,false
0.09,0,2,false
0.06,0,5,false
0.02,0,16,false
0.04,0,1,false
0.09,0,2,false
0.09,0,2,false
0.67,1,3,false
0.67,0,0,false
0.04,1,3,false
0.09,0,2,false
0.4,16,8,false
0.67,1,2,false
0.08,1,6,false
0.11,0,0,false
0.17,0,1,false
0.08,0,1,false
0.36,16,7,false
0.04,0,0,false
0.13,0,0,false
0.04,0,3,false
0.21,0,7,false
0.08,0,0,false
0.05,0,1,false
0.12,1,0,false
0.04,0,2,false
0.08,0,0,false
0.05,0,1,false
0.12,1,0,false
0.15,0,1,false
0.33,0,0,false
0.05,2,9,false
0.08,1,4,false
0.05,0,0,false
0.1,0,1,false
0.25,0,4,false
0.19,1,2,false
0.05,0,0,false
0.05,0,1,false
0.05,3,2,false
0.67,0,0,false
0.03,1,1,false
0.13,0,1,false
0.12,0,0,false
0.05,0,0,false
0.04,0,2,false
0.09,10,2,false
0.05,0,0,false
0.04,0,1,false
0.09,10,2,false
0.08,1,4,false
0.05,1,0,false
0.03,0,2,false
0.05,0,2,false
0.13,3,5,false
0.04,1,0,false
0.02,0,3,false
0.07,12,7,false
0.03,55,17,false
0.02,0,7,false
0.11,0,1,false
0.19,0,0,false
0.05,0,2,false
0.02,0,7,false
0.05,0,1,false
0.5,0,0,false
0.04,0,1,false
0.04,3,4,false
0.23,0,1,false
0.05,0,2,false
0.5,0,1,false
0.07,0,1,false
0.24,8,5,false
0.07,0,1,false
0.11,0,1,false
0.11,3,4,false
0.23,0,0,false
0.04,0,1,false
0.33,1,2,false
0.14,2,1,false
0.21,0,1,false
0.03,0,2,false
0.29,1,2,false
0.19,1,2,false
0.07,0,2,false
2,0,1,false
0.67,0,0,false
0.15,0,0,false
0.07,0,0,false
0.05,0,4,false
0.05,0,0,false
0.1,0,1,false
0.06,0,5,false
0.12,0,2,false
0.05,0,1,false
0.09,0,3,false
0.08,0,1,false
0.1,3,2,false
0.03,0,0,false
0.1,0,0,false
0.25,0,0,false
0,0,0,false
0.17,0,0,false
0.09,0,0,false
0.1,0,0,false
0.05,0,2,false
0.06,0,0,false
0.13,0,2,false
0.05,0,1,false
0.11,0,0,false
0.03,1,2,false
0.67,0,0,false
0.67,0,0,false
0,0,0,false
0.14,0,0,false
0.16,0,1,false
0.04,1,1,false
0.17,0,1,false
0.05,0,3,false
0.17,0,0,false
0.01,1,4,false
0.07,0,3,false
0.13,0,0,false
0.11,0,0,false
0.08,0,0,false
0.11,0,1,false
0.05,0,1,false
0.09,0,0,false
0.2,0,0,false
0.04,0,2,false
0.33,0,1,false
0.06,0,1,false
0.16,0,1,false
0.24,0,1,false
0.04,0,2,false
0.08,0,1,false
0.05,0,2,false
0.14,0,1,false
0.09,0,1,false
0.05,1,5,false
0.08,0,1,false
0.08,0,1,false
0.4,0,0,false
0.21,0,0,false
0.11,0,1,false
0.09,0,1,false
0.08,10,4,false
0.09,0,5,false
0.07,0,2,false
0.07,0,1,false
0.04,0,6,false
0.15,0,0,false
0.4,0,0,false
0.05,0,1,false
0.01,0,1,false
0.06,0,1,false
0.04,0,1,false
0.05,1,3,false
0.07,0,1,false
0.05,0,2,false
0.09,0,3,false
0.03,1,1,false
0.08,0,0,false
0.04,1,1,false
0.16,0,2,false
0.05,0,2,false
0.07,0,1,false
0.33,0,0,false
0.16,0,0,false
0.5,0,0,false
0.09,0,1,false
0.29,0,0,false
0.02,0,1,false
0.03,0,5,false
0.4,0,2,false
0.05,0,1,false
0.09,0,1,false
0.11,0,0,false
0.33,0,0,false
0.03,4,2,false
0.14,0,1,false
0.15,0,1,false
0.16,0,1,false
0.1,0,5,false
0.06,0,1,false
0.03,7,7,false
0.09,0,5,false
0.02,0,1,false
0.03,0,2,false
0.03,0,4,false
0.04,0,2,false
0.07,24,6,false
0.05,0,1,false
0.05,3,3,false
0.17,0,1,false
0.21,0,1,false
0.05,0,1,false
0.5,0,0,false
0.03,1,4,false
0.11,0,0,false
0.08,6,7,false
0.12,0,1,false
0.03,0,2,false
0.04,0,1,false
0.04,0,1,false
0.08,0,1,false
0.04,0,1,false
0.06,0,1,false
0.04,0,1,false
0.05,0,1,false
0.06,6,4,false
0.08,0,1,false
0.14,0,7,false
0.04,0,5,false
0.04,0,0,false
0.09,0,1,false
0.18,0,0,false
0.18,3,2,false
0.08,0,1,false
0.11,0,1,false
0.05,0,1,false
0.07,1,3,false
0.06,0,1,false
0.05,0,1,false
0.07,0,1,false
0.21,0,0,false
0.06,2,3,false
0.05,0,3,false
0.02,0,5,false
0.05,0,2,false
0.16,0,1,false
0.16,0,0,false
0.14,0,0,false
0.1,0,1,false
0.1,0,1,false
0.19,0,0,false
0.02,0,1,false
0.17,0,1,false
0.67,0,0,false
0.05,0,1,false
0.04,0,3,false
0.13,0,1,false
0.21,0,0,false
0.08,0,1,false
0.03,1,4,false
0.12,0,0,false
0.07,0,0,false
0.03,0,1,false
0.01,1,1,false
0.06,0,1,false
0.04,0,5,false
0.2,0,1,false
0.03,0,3,false
0.05,0,1,false
0.08,0,1,false
0.19,0,1,false
0.04,0,1,false
0.06,0,2,false
0.12,0,1,false
0.01,0,1,false
0.67,0,0,false
0.18,1,2,false
0.08,0,2,false
0.05,0,1,false
0.21,0,0,false
0.04,0,1,false
0.03,0,1,false
