@relation 'ant-1.6_deleteColumns-weka.filters.unsupervised.attribute.Remove-R1-2,4-12,14,16-17,19-20'

@attribute noc numeric
@attribute moa numeric
@attribute cam numeric
@attribute amc numeric
@attribute bug {1,0}

@data
0,1,0.288889,37.5625,0
0,0,0.4,26.4,0
0,1,0.392857,10.875,0
0,1,0.255102,12.928571,0
0,0,1,4,0
0,0,1,72.5,0
0,0,0,0,0
0,0,0.44,15,0
0,5,0.238095,29.933333,1
0,1,0.163399,33.411765,1
0,0,0.666667,24.333333,0
0,0,1,15.5,0
0,0,0.089286,0,0
0,0,0.75,20.125,0
0,0,0.416667,21.166667,0
0,1,0.119298,19.052632,0
0,0,0.75,38.5,0
0,0,0.533333,20.2,0
0,0,0.342857,35.714286,0
0,0,0.666667,5.555556,0
0,0,0.666667,8,0
0,0,0.714286,97,0
0,0,0.666667,0,0
0,0,0.541667,34.5,0
0,0,1,0,0
0,0,0.5,48.666667,0
0,1,0.481481,37.222222,0
0,0,0.342857,36,0
0,1,0.305556,57.916667,0
0,0,0.518519,8.333333,0
0,4,0.122222,19.5625,1
0,0,0.75,22.25,0
0,0,0.293651,27.857143,1
0,0,0.3125,29.083333,0
0,0,0.5,10.5,0
0,0,0.166667,45.875,0
1,0,0.266667,52.6,1
5,0,0.079193,6.25,0
0,0,0.333333,20.5,0
0,0,0.722222,0,0
0,1,0.20625,60.4375,0
0,0,0.283333,54.054054,1
0,0,1,0,0
0,1,0.375,6.3,0
0,0,0.241071,27.964286,1
0,0,0.409091,15,0
0,0,0.7,20.2,0
0,0,0.45,35.1,0
2,0,0.5,15,0
0,0,0.3,33.5,1
0,0,0.666667,6.666667,0
1,2,0.144144,57.236842,1
0,0,0.375,27.75,1
0,0,1,10.5,0
0,0,0.5,21,0
0,0,0,0,1
1,0,0.7,5,0
0,0,0.47619,14.571429,0
0,0,0.466667,32,1
1,3,0.175,18.361111,0
0,0,0.75,0,0
0,0,1,0,0
0,1,0.325,39.625,1
0,2,0.6,92,0
0,0,0.75,36.75,0
0,0,0.14,18.451613,1
0,0,0.34,50,1
0,0,0.3125,21.375,0
0,3,0.171429,21.971429,0
0,0,0.371429,8.571429,0
0,1,0.4,30,1
0,2,0.285714,34.142857,1
0,1,0.311111,27.333333,1
0,0,1,0,0
0,0,0.219048,39.466667,1
0,0,1,19.5,0
0,0,0.5,14.333333,0
0,0,0.5,0,0
0,0,0.3125,22.111111,1
0,0,0.342857,19.142857,0
0,0,0.533333,0,0
0,2,0.169591,25.789474,1
0,0,1,0,0
0,0,0.47619,13.857143,0
1,0,0.666667,14.333333,1
0,0,0.555556,83.5,1
0,2,0.266667,23.9,0
0,0,0.75,0,0
0,4,0.25,39.4,1
0,0,0.666667,14.5,0
0,0,0.45,32.875,0
0,0,0.144628,83.565217,0
0,0,1,0,0
0,0,0.518519,11.777778,0
0,0,0.75,23.25,0
0,0,0.458333,9,0
0,0,1,0,0
0,0,0.5,25.75,0
0,1,0.454545,21.363636,0
0,1,0.181818,64.055556,1
0,0,0.5,28.6,1
0,2,0.6,14.333333,0
0,10,0.136905,26.988235,1
0,0,1,3,0
0,0,0.444444,0,0
0,0,0.666667,7,0
2,0,0.833333,7,0
1,0,0.555556,16.333333,0
0,0,0.533333,18.4,0
0,0,0.75,29.25,0
0,1,0.75,13.25,0
0,1,0.485714,56.428571,1
0,0,0.75,9,0
0,0,1,0,0
0,1,0.284211,17.45,0
0,0,0.583333,16,0
0,0,0.2125,46.3,1
0,0,0.47619,28.571429,1
0,1,0.083333,10.846154,0
0,0,0.16,21.028571,0
0,0,1,3,0
0,0,0.233333,32,1
0,0,0.5,24.8,0
0,1,0.257576,126.181818,0
0,6,0.108374,31.833333,1
0,0,0.22,26.636364,0
0,0,0.375,20.25,0
0,1,0.313043,17.869565,1
0,0,0.08,6.52,0
0,0,0.875,3,0
0,0,0.215909,33.909091,0
0,4,0.191919,37.909091,1
0,0,0.666667,5,0
0,0,0.4,11.7,0
59,4,0.195833,9.333333,1
0,0,0.666667,12.333333,0
0,0,0.481481,22.666667,0
0,0,0.5,47.5,0
0,0,0.5,79.666667,0
0,0,0.3,18.166667,0
0,1,0.290123,26.142857,1
0,0,0.35,35.5,0
0,0,0.5,110,1
0,0,0.47619,20,0
0,0,1,31.5,0
0,1,0.375,23.2,0
8,9,0.242857,43.190476,1
0,0,0.875,13.5,0
0,0,0.666667,10,0
11,1,0.5,4.25,0
0,0,0.4375,19.5,0
0,1,0.25,29.8,1
0,5,0.177778,35.111111,1
0,0,0.5,19.75,0
0,0,0.428571,11.571429,0
0,0,1,0,0
0,1,0.666667,6.5,0
2,0,0.444444,17.555556,0
0,2,0.287879,25,1
8,1,0.4375,3.25,0
0,1,0.357143,17.25,0
0,0,0.5,16.5,0
0,0,0.47619,16.428571,0
0,0,0.367347,63.571429,0
0,3,0.119048,25.892857,0
0,3,0.220779,7.272727,0
2,6,0.158385,42.173913,1
0,0,0.080594,20.487805,1
0,0,1,21.5,1
0,1,0.5,26.125,0
1,0,0.555556,78,0
0,1,0.322222,9.333333,0
0,0,0.555556,210,0
19,1,0.45,6.2,1
0,0,1,27,0
5,0,0.102778,5.05,0
0,0,0.292308,30.923077,1
0,1,0.9,27.4,0
0,0,0.555556,10.666667,0
2,1,0.377778,16,0
0,0,0.428571,18.142857,0
1,1,0.333333,6.333333,0
0,0,0.342857,19.857143,0
0,0,0.625,0,0
0,0,1,0,0
0,0,0.5,20.75,0
1,3,0.229167,5.611111,0
0,1,0.327273,28.636364,0
0,1,0.3,30.727273,1
0,0,0.75,2.5,0
2,2,0.428571,18.285714,0
0,4,0.09087,18.81,1
0,0,0.242188,21.5,1
0,6,0.205714,10.866667,1
0,1,0.35,30.833333,1
0,2,0.260417,55.25,1
0,0,0.714286,13.571429,0
0,1,0.22619,23.095238,1
0,0,0.5,28.333333,0
0,0,0.555556,10.833333,1
5,0,0.5,5.333333,0
0,0,0.555556,16.333333,0
0,1,0.5,10,0
0,0,0.266234,29.590909,1
0,0,0.333333,43.6,1
1,2,0.24,19.230769,1
0,2,0.5,32.5,1
33,0,0.6875,9.625,0
0,0,0,2052,0
15,1,0.209524,10.066667,0
0,1,0.5,24,0
0,0,0.284091,18.636364,1
0,0,0.818182,26.166667,0
0,0,0.5,5.666667,0
0,1,0.5,17,0
6,1,0.228571,13.8,0
0,8,0.213542,55.76,1
0,4,0.154167,15.625,0
0,1,0.666667,20.333333,0
2,2,0.195122,22.536585,0
0,0,0.75,0,0
2,0,0.316667,25.8,0
0,3,0.318182,35.954545,1
0,0,0.346939,59.375,0
1,0,0.533333,16.2,0
0,0,0.857143,18.571429,0
0,2,0.416667,35.666667,0
0,0,0.708333,25.846154,0
0,1,0.3,15.3,0
0,0,0.5,29.666667,0
0,3,0.153846,9.307692,1
0,0,0,0,0
0,3,0.196078,35.5,1
0,0,0.75,4,0
0,2,0.25,28.6875,0
0,0,0.333333,10.2,0
1,1,0.163462,29.44898,1
0,0,1,0,0
1,0,0.266667,16.4,1
0,1,0.208333,54,0
0,0,0.25,43.875,0
0,1,0.180952,22.380952,1
0,0,0.555556,19.5,0
0,0,0.285714,81.111111,1
0,0,0.175,7.625,0
