@relation 'zxing1.6_golden-weka.filters.unsupervised.attribute.Remove-R1-2,54-weka.filters.unsupervised.attribute.Remove-R12,15,20,24,31-32,37-40,45-weka.filters.unsupervised.attribute.Remove-R9-20,34-35-weka.filters.unsupervised.attribute.Remove-R1-21,23-26'

@attribute RatioCommentToCode numeric
@attribute isDefective {TRUE,FALSE}

@data
0,FALSE
0,FALSE
0,FALSE
0,TRUE
0,TRUE
0.08,FALSE
0,FALSE
0,FALSE
0,FALSE
0,FALSE
0.1,TRUE
0,FALSE
0,FALSE
0.22,TRUE
0.31,FALSE
0.43,FALSE
0.27,TRUE
0.18,TRUE
0.03,FALSE
0.05,FALSE
0.06,FALSE
0,TRUE
0.45,FALSE
0.14,FALSE
0.13,FALSE
0,FALSE
0.18,FALSE
0.07,FALSE
0,FALSE
0,FALSE
0,FALSE
0.54,TRUE
0,FALSE
0,FALSE
0.13,FALSE
0,TRUE
0,FALSE
0.04,FALSE
0.31,TRUE
0.19,TRUE
0.2,FALSE
0.12,TRUE
0.06,FALSE
0.42,TRUE
0,TRUE
0.11,TRUE
0.13,FALSE
0.04,FALSE
0.12,FALSE
0.13,TRUE
0.14,FALSE
0.13,FALSE
0.02,TRUE
0.31,FALSE
0.46,FALSE
0,FALSE
0,FALSE
0.1,FALSE
0.34,FALSE
0,FALSE
0.04,TRUE
0.5,FALSE
1.5,FALSE
0.02,TRUE
0.05,TRUE
0.02,FALSE
0.32,FALSE
0.14,TRUE
0,FALSE
0.09,TRUE
0.11,TRUE
0,FALSE
0.09,TRUE
0,FALSE
0,FALSE
0,FALSE
0.25,FALSE
0.03,FALSE
0.54,FALSE
0,FALSE
0.36,TRUE
0,FALSE
0,TRUE
0.12,FALSE
0.05,TRUE
0.13,FALSE
0.1,FALSE
0,FALSE
0,FALSE
0.12,TRUE
0,FALSE
0.23,TRUE
0,TRUE
0,TRUE
0.01,FALSE
0.42,FALSE
0.02,TRUE
0,FALSE
0,FALSE
0,FALSE
0.09,FALSE
0.18,FALSE
0,FALSE
0,FALSE
0.11,TRUE
0.01,FALSE
0.02,TRUE
0.33,FALSE
0,FALSE
0.04,FALSE
0,TRUE
0,TRUE
0.07,FALSE
0,FALSE
0.04,TRUE
0,FALSE
0,FALSE
0.01,FALSE
0,FALSE
0,TRUE
0.52,FALSE
0,FALSE
0,FALSE
0,FALSE
0,TRUE
0.41,FALSE
0,FALSE
0.05,TRUE
0.07,FALSE
0.63,TRUE
0.12,TRUE
0.23,FALSE
0.41,TRUE
0,FALSE
0.32,FALSE
2.25,FALSE
0,FALSE
0,FALSE
0.24,FALSE
1.58,FALSE
3.4,FALSE
3.27,FALSE
0.04,FALSE
0.15,TRUE
0,FALSE
0,FALSE
0.11,TRUE
2.42,TRUE
1.25,FALSE
1,FALSE
0.21,FALSE
0,FALSE
0.8,FALSE
0.04,TRUE
0,TRUE
0,TRUE
0.09,FALSE
0.03,FALSE
0.02,FALSE
0.03,TRUE
0,TRUE
0,FALSE
0.07,FALSE
0,FALSE
0,FALSE
0,FALSE
0,FALSE
0,FALSE
0,FALSE
0.23,TRUE
0,FALSE
0.08,TRUE
0.02,TRUE
0.07,TRUE
0,FALSE
0,FALSE
0,FALSE
0,FALSE
0.03,FALSE
0.05,FALSE
0.03,FALSE
0,FALSE
0,FALSE
0,FALSE
0,TRUE
0,FALSE
0,TRUE
0,FALSE
0.1,FALSE
1.62,FALSE
0.13,FALSE
0.08,FALSE
0.28,FALSE
0.36,FALSE
0.21,TRUE
0,FALSE
0,TRUE
0,TRUE
0.07,FALSE
0,FALSE
0,FALSE
0.52,FALSE
0,FALSE
0.09,TRUE
0.24,FALSE
0.49,FALSE
0,FALSE
0.03,FALSE
0.01,FALSE
0.14,FALSE
0.38,FALSE
0.32,TRUE
0.23,FALSE
0.32,TRUE
0.63,TRUE
0,FALSE
0.16,FALSE
0.16,FALSE
0.15,TRUE
0,FALSE
0,FALSE
0,TRUE
0.65,FALSE
0,FALSE
0,FALSE
0,FALSE
0,FALSE
0.24,FALSE
0,FALSE
0.37,TRUE
0,FALSE
0,TRUE
0.07,FALSE
0.04,FALSE
0.61,FALSE
0.08,FALSE
0.25,TRUE
0,FALSE
0.3,TRUE
0.24,TRUE
0,FALSE
0,FALSE
0,TRUE
0,FALSE
0,FALSE
0,FALSE
0,FALSE
0.06,FALSE
0.07,FALSE
0.23,FALSE
0.17,FALSE
0.98,FALSE
0,FALSE
0.02,FALSE
