@relation 'xalan-2.4_deleteColumns-weka.filters.unsupervised.attribute.Remove-R1,4-5,7-9,11,19-20'

@attribute dit numeric
@attribute noc numeric
@attribute lcom numeric
@attribute lcom3 numeric
@attribute dam numeric
@attribute moa numeric
@attribute mfa numeric
@attribute cam numeric
@attribute ic numeric
@attribute cbm numeric
@attribute amc numeric
@attribute bug {1,0}

@data
1,0,9,0.722222,0,0,0,0.333333,0,0,82.857143,1
3,2,99,0.907407,1,3,0.769231,0.190789,1,4,16,0
1,0,0,2,0,0,0,1,0,0,0,0
1,0,3,0.329412,1,0,0,0.685185,0,0,45,0
3,0,1,2,0,0,0.97619,0.75,1,1,5.5,0
3,0,0,0.333333,1,2,0.934211,0.305556,2,7,34,0
4,3,52,0.840909,1,1,0.887755,0.236111,2,3,6.666667,0
2,0,10,0.714286,1,1,0.915663,0.267857,1,1,21,0
3,2,189,0.942857,0.8,4,0.903226,0.181818,2,14,6.681818,0
3,0,7,0.644444,1,2,0.861538,0.3,1,9,64.3,0
1,0,10,2,0,0,0,0.333333,0,0,0,0
2,0,201,0.52381,1,0,0.622642,0.199301,2,4,31.454545,1
5,2,22,0.75,1,1,0.925234,0.259259,3,4,16.222222,0
4,0,1,0.5,0,0,0.97619,1,0,0,203.333333,0
5,0,36,2,0,0,0.963801,0.314815,4,7,20.666667,1
1,0,0,0.425,1,0,0,0.515152,0,0,19.909091,0
2,0,0,0.628571,1,1,0.588235,0.416667,1,5,24.875,0
1,0,0,2,0,0,0,1,0,0,12,0
3,0,0,0.185185,1,2,0.8875,0.257143,2,9,58.7,0
1,0,666,1.027778,0,0,0,0.27027,0,0,0,0
1,0,0,2,0,0,0,1,0,0,0,0
3,1,218,0.625,1,2,0.682692,0.171171,2,9,17.621622,1
1,0,428,0.834921,1,3,0,0.215873,0,0,25.111111,0
4,2,354,0.88172,1,2,0.866953,0.180556,3,19,19.25,0
2,0,0,0.285714,0,0,0.666667,0.34375,0,0,13.75,0
4,0,24,0.53125,1,1,0.923077,0.253968,3,13,33.111111,0
3,0,3,0.6,1,0,0.975124,0.666667,1,2,4.166667,0
5,1,0,0.4375,1,2,0.892857,0.165775,2,9,15.411765,0
3,0,121,0.852381,1,4,0.740741,0.140496,2,7,20.590909,0
1,1,0,2,0,4,0,1,0,0,21,0
3,0,0,1.095238,0,0,0.944444,0.666667,0,0,10.75,0
1,0,0,2,0,0,0,1,0,0,0,0
6,0,0,0.25,1,0,0.979021,0.366667,1,1,24.6,0
3,0,37,0.888889,1,0,0.956098,0.4,1,1,3.8,0
1,0,3,1.015345,0.086957,0,0,0.411765,0,0,20.833333,0
2,0,1,0.5,1,1,0.85,0.265306,1,6,27.142857,0
1,0,6,0.660714,1,0,0,0.339286,0,0,47.875,0
1,0,45,1.111111,0,0,0,0.55,0,0,0,0
1,0,0,0.5,1,0,0,0.8,0,0,4.6,0
3,0,0,0.25,1,1,0.933333,0.333333,1,5,24.4,0
4,0,0,2,0,0,1,1,0,0,4,0
4,0,1,0.5,0,0,0.97619,1,0,0,140.666667,0
2,0,3,0.733333,0,0,0.772727,0.458333,1,1,75,0
3,0,0,0.583333,1,2,0.910256,0.3125,2,7,55.111111,0
4,0,1,0.5,0,0,0.97619,1,0,0,203.333333,0
3,0,15,0.7,1,1,0.951456,0.233766,2,5,19.454545,0
1,0,0,0,0,0,0,0.875,0,0,12,0
1,0,0,0,1,0,0,0.464286,0,0,21,0
1,0,0,2,0,0,0,1,0,0,3,1
3,0,10,2,0,0,0.98,0.7,2,4,6.8,0
2,0,3,2,0,0,0.5,0.555556,0,0,7,0
3,0,0,2,0,0,1,1,0,0,3,0
2,0,0,0,0,1,0.966667,0.4,0,0,15.2,0
3,0,28,1.142857,0,0,0.857143,0.225,0,0,17.375,1
2,0,5,0.583333,1,2,0.9,0.238095,1,5,17.428571,0
1,0,6,2,0,0,0,0.625,0,0,0,0
3,0,9,0.6,1,0,0.975124,0.444444,2,5,7,0
4,0,0,0,1,1,0.979592,0.444444,3,13,15.666667,0
5,0,1,2,0,0,1,0.833333,0,0,4.5,0
2,0,575,0.863946,0.785714,2,0.236364,0.153101,0,0,23.930233,0
3,0,3,2,0,0,0.953488,0.555556,1,1,7.333333,0
5,0,27,0.844444,1,0,0.945205,0.263889,2,5,6.4,0
1,1,76,0.858333,0.166667,0,0,0.404762,0,0,18.190476,1
1,0,151,0.941176,0,0,0,0.235294,0,0,13.277778,1
3,0,0,0,1,1,0.934211,0.285714,2,7,19.285714,0
3,0,3,2,0,0,0.95,0.5,1,6,15.666667,0
3,0,6,0.375,0,1,0.960784,0.238095,2,5,23,0
3,0,0,0.833333,1,0,0.949153,0.416667,1,3,30.25,0
4,7,6,0.375,0,1,0.857143,0.355556,3,9,12.555556,0
3,1,1,0.703704,0,2,0.910256,0.333333,2,22,8.6,1
5,0,46,0.6,1,2,0.899281,0.2,2,13,33.9375,1
1,0,0,0.633333,1,2,0,0.222222,0,0,31.181818,0
1,0,0,0.97076,0.210526,3,0,0.475,0,0,21.8,1
4,0,1,2,0,0,0.995261,0.625,2,2,12.5,0
2,0,0,0.666667,1,3,0.5,0.309091,1,5,23.090909,0
4,0,1,0.5,1,0,0.975,0.75,2,3,25,0
4,0,1,0.5,0,0,0.97619,1,0,0,190.333333,0
5,0,1,2,0,0,1,0.833333,0,0,5,0
2,0,0,0.666667,1,1,0.588235,0.416667,1,5,17.25,0
4,1,8,0.541667,0.5,0,0.771429,0.269231,2,4,18.615385,0
1,0,0,0.472222,1,2,0,0.4,0,0,16.8,0
3,0,9,0.833333,1,1,0.934211,0.361111,2,12,20.333333,0
2,0,10,2,0,0,0.888889,0.6,1,2,20.4,0
1,0,0,1.269231,0,1,0,0.833333,0,0,12.5,0
1,0,0,0.833333,0,2,0,0.466667,0,0,25,0
4,0,3,2,0,0,0.979592,0.6,2,6,17.666667,0
3,4,0,0.166667,1,1,0.970297,0.428571,0,0,15.857143,0
5,4,6,0.375,0,1,0.875,0.355556,4,15,12.666667,0
1,0,3,2,0,0,0,0.444444,0,0,68,0
1,0,121,0.680272,0.857143,4,0,0.180952,0,0,41.545455,0
5,0,15,2,0,0,1,0.625,0,0,4.666667,0
3,0,8,0.5,1,0,0.904762,0.4,1,6,10.6,0
7,0,0,0,1,0,0.985185,0.555556,3,3,38.333333,0
1,1,13,0.861111,0.75,2,0,0.571429,0,0,11.428571,0
2,0,0,0.447368,0,2,0.540541,0.258333,1,1,8.2,0
5,0,3,2,0,0,0.964912,0.666667,2,7,14,0
3,0,232,0.901042,1,1,0.676923,0.217593,2,6,30.96,1
2,0,0,0.566667,1,1,0.5,0.340909,1,5,9.636364,0
4,1,39,0.8,1,0,0.964286,0.309091,1,2,28.909091,0
1,0,23,0.925,0.375,1,0,0.3,0,0,36.363636,1
3,0,3,2,0,0,0.953488,0.833333,1,6,13,0
3,0,10,2,0,0,0.98,0.466667,2,5,12.8,0
2,1,2426,0.936207,0.793103,11,0.195876,0.069318,0,0,14.617284,1
1,0,0,0.3,0,0,0,0.6,0,0,10.166667,0
1,0,0,2,0,0,0,1,0,0,0,0
2,0,3,0.7875,0.03125,0,0.848485,0.444444,1,2,436,1
4,0,1,0.5,1,0,0.975,0.75,2,3,115,0
6,0,1,0.518519,1,2,0.925234,0.242857,3,4,28.9,0
4,0,3,2,0,0,0.975904,0.583333,2,12,57.666667,0
3,0,0,0.1,0,2,0.894737,0.4,1,1,14.833333,0
5,0,3,2,0,0,0.99,0.533333,3,5,11.333333,0
1,0,4,0.75,1,2,0,0.416667,0,0,22.8,0
3,1,87,0.6,0.2,3,0.816092,0.184211,2,24,16.421053,1
3,3,3,2,0,0,0.978723,0.52381,0,0,79.666667,0
4,0,1,2,0,0,0.989691,0.6,2,4,21,0
1,0,58,0.741667,1,1,0,0.453125,0,0,14.8125,0
1,0,783,0.962585,0.166667,2,0,0.328042,0,0,43.465116,1
3,0,4,0.571429,1,0,0.922078,0.325,2,8,8.125,0
3,0,0,0.583333,1,0,0.875,0.266667,2,6,24.8,0
1,0,0,0.361111,1,0,0,0.410256,0,0,11.076923,0
1,0,0,0,1,1,0,0.5,0,0,20,0
5,0,1,2,0,0,0.982143,0.75,2,7,20.5,0
5,0,1,2,0,0,0.995283,0.625,2,2,24,0
1,0,1026,0.895161,0.870968,3,0,0.106918,0,0,21.132075,0
1,0,0,0.59,1,0,0,0.261905,0,0,15.761905,0
2,0,4,1,1,3,0.904762,0.5,1,1,10,0
1,0,254,0.902778,1,0,0,0.152727,0,0,21.12,0
4,0,1,2,0,0,0.989691,0.6,2,4,29.5,0
1,0,0,2,0,1,0,1,0,0,12,0
3,0,1,2,0,0,0.97619,0.75,1,1,5.5,0
1,0,5942,0.798319,0,1,0,0.185808,0,0,7.466667,0
2,0,1235,0.948113,0.916667,6,0.504673,0.101307,2,7,34,1
3,0,3,2,0,0,0.953488,0.555556,1,1,7.333333,0
3,0,0,0.333333,1,0,0.949153,0.4,2,5,27.5,0
5,0,83,0.821429,1,0,0.729167,0.16,2,6,12.866667,0
1,0,0,2,0,0,0,1,0,0,3,0
1,0,0,0.817582,0.923077,2,0,0.176623,0,0,24.027778,0
1,1,5,0.733333,1,4,0,0.392857,0,0,44.142857,0
1,5,78,2,0,0,0,0.203297,0,0,2.076923,0
1,0,15,0.619048,1,1,0,0.190476,0,0,20.466667,1
3,0,0,0.55,1,4,0.923077,0.361111,2,4,86.833333,1
1,0,516,0.929143,0.52,9,0,0.142593,0,0,21.388889,0
5,0,1,2,0,0,0.982143,0.75,2,7,13,0
1,12,10,2,0,0,0,0.9,0,0,2.8,0
7,0,3,2,0,0,0.985185,0.555556,3,5,9.333333,0
3,0,0,0.25,1,1,0.933333,0.333333,1,3,49.4,0
3,0,0,0.8,1,0,0.923077,0.333333,3,7,114.333333,1
1,0,0,2,0,0,0,1,0,0,9,0
5,0,37,0.916667,1,0,0.938776,0.225,2,5,10.727273,0
5,0,6,2,0,0,0.976563,0.4375,1,6,15,0
1,0,300,1.041667,0,0,0,0.34,0,0,0,0
3,0,0,2,0,0,1,1,0,0,3,0
1,0,0,0.628571,1,2,0,0.311111,0,0,9.2,0
3,0,0,0.333333,1,0,0.959459,0.4,2,7,9.75,0
1,0,0,1,0,1,0,0.666667,0,0,13.8,0
1,0,24,0.708333,0,1,0,0.4,0,0,14.555556,0
1,0,0,0.642857,0,0,0,0.666667,0,0,15,0
3,23,68,0.848958,0.9375,4,0.763441,0.13141,3,10,74.12,1
2,0,0,0.111111,0,1,0.689655,0.28,1,1,6.7,0
5,0,10,2,0,0,0.976563,0.45,1,4,9.4,1
1,0,37,0.777778,1,0,0,0.375,0,0,5,0
5,0,3,2,0,0,0.99095,1,1,1,2.333333,0
1,0,0,0.653409,0.818182,0,0,0.291667,0,0,34.882353,0
3,0,3,0.4,1,0,0.975124,0.444444,2,4,8.833333,0
2,0,3,2,0,0,0.5,0.555556,0,0,5,0
4,0,1,2,0,0,0.979592,0.75,1,6,6.5,0
1,1,92,0.888889,1,0,0,0.5625,0,0,6.9375,0
2,0,0,0.833333,0,0,0.571429,0.5,1,4,14,0
1,0,42,0.625,0.5,0,0,0.340659,0,0,25.384615,0
3,0,0,2,0,0,1,1,0,0,4,0
3,0,0,0.083333,1,1,0.922078,0.306122,2,9,39,0
1,0,29,0.769231,1,0,0,0.206349,0,0,37.642857,0
3,0,3,2,0,0,0.95,0.5,1,6,2,0
3,0,42,0.783333,1,1,0.823529,0.207692,2,11,49.615385,0
2,1,714,0.739394,0.833333,1,0.363636,0.160714,1,4,13.875,0
1,0,3,0.611111,0.5,3,0,0.3125,0,0,79.9,1
2,3,18,0.8,1,0,0.837838,0.5,1,1,12.625,0
2,0,13,0.9,1,1,0.871795,0.305556,1,1,16,0
1,0,268,0.562963,0.8,0,0,0.285714,1,1,24.964286,0
2,1,50,0.746667,0.8,1,0.666667,0.1875,2,9,20.9375,0
1,0,0,0.681818,0.5,2,0,0.409091,0,0,28.583333,0
3,0,0,0,1,1,0.934211,0.285714,2,7,19.285714,0
1,0,223,0.634483,0.6,0,0,0.2,0,0,14.166667,0
5,0,54,0.9,1,0,0.926174,0.21875,2,5,7.384615,0
4,0,0,2,0,0,1,1,0,0,4,0
5,0,0,0.142857,1,1,0.933962,0.270833,3,4,29,0
1,2,21,2,0,0,0,0.306122,0,0,0.857143,0
1,0,21,1,1,1,0,0.5,0,0,3,0
5,0,8,0.75,1,2,0.899281,0.18125,3,10,15.0625,0
2,0,76,0.8,0.8,2,0.558824,0.215909,1,1,44.6875,0
4,0,117,0.5,0.5,0,0.802721,0.150538,4,20,28.032258,1
2,0,3,2,0,0,0.5,0.555556,0,0,7,0
2,7,36,2,0,0,0.789474,0.285714,1,7,4.666667,0
1,0,231,2,0,0,0,0.30303,0,0,0,0
3,0,8,0.875,0.5,1,0.904762,0.44,0,0,38.2,0
3,0,3,0.4,1,1,0.918033,0.305556,1,6,29.333333,0
1,0,45,1.111111,0,0,0,0.4,0,0,0,0
4,3,0,0.25,1,2,0.969697,0.366667,3,14,28.4,0
2,0,190,2,0,0,0.634615,0.245,1,2,13.4,0
2,0,15,2,0,0,0.863636,0.388889,2,3,8.666667,0
3,0,607,0.9,0,2,0.357143,0.194595,0,0,47.473684,0
1,0,15,0.833333,0.5,0,0,0.233333,0,0,25.714286,0
5,0,32,1.025,0,1,0.967611,0.351852,3,7,28.666667,1
4,0,1,0.5,0,0,0.97619,1,0,0,165,0
4,0,0,2,0,0,1,1,0,0,3,0
2,29,3056,0.913655,0.75,3,0.567708,0.090336,1,12,14.083333,1
2,0,45,2,0,0,0.666667,0.8,1,14,13.3,1
1,0,91,2,0,0,0,0.27381,0,0,0,0
1,0,714,0.629167,0.875,0,0,0.219262,0,0,22.639344,0
1,1,2497,0.933784,1,9,0,0.093333,0,0,41.893333,1
1,0,309,0.84755,1,6,0,0.1625,0,0,96.8,0
1,1,0,0.382353,1,0,0,0.916667,0,0,24.222222,1
1,0,10,2,0,0,0,0.6,0,0,38.6,1
2,1,2,0.666667,1,0,0.942857,0.666667,2,3,93,1
4,0,0,0.083333,1,4,0.969697,0.458333,3,7,138.5,1
2,7,819,0.95393,0.111111,0,0.428571,0.120879,2,8,9.857143,0
1,0,6,2,0,0,0,0.5,0,0,72.75,1
1,2,0,0.6,0,1,0,0.35,0,0,81.8,0
4,0,1,2,0,0,0.979592,0.75,1,6,6.5,0
1,0,0,0.666667,1,0,0,0.5,0,0,5.25,0
4,0,6,0.65,0.4,0,0.941176,0.4375,2,7,48.6,0
1,0,0,0.333333,1,0,0,0.333333,0,0,58,0
1,0,1,2,0,0,0,1,0,0,2.5,0
4,0,4,0.25,1,2,0.96,0.4,3,14,23.8,0
1,28,55,0.807692,1,0,0,0.404762,0,0,8.571429,0
1,1,440,0.79321,0.722222,3,0,0.289189,0,0,20.243243,1
3,2,6,2,0,0,0.959459,0.4375,2,4,0.75,0
1,0,4,1.095238,0.428571,3,0,0.428571,0,0,87.25,0
2,0,0,0,0,1,0.740741,0.416667,1,1,4.75,0
4,0,3,2,0,0,0.979592,0.444444,3,13,24,0
1,0,66,0.952899,0.043478,7,0,0.266667,0,0,150.846154,1
1,0,3,0.86,0.4,1,0,0.666667,0,0,46,0
1,0,0,2,0,0,0,1,0,0,9,0
5,0,1069,0.939909,0.944444,11,0.853659,0.07913,3,6,18.44,0
3,0,6,2,0,0,0.959459,0.5,2,12,8.75,0
2,0,0,0,1,0,0.8,0.45,0,0,8,0
