@relation xalan-2.5_deleteColumns-weka.filters.unsupervised.attribute.Remove-R4-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.Remove-R16-weka.filters.unsupervised.attribute.Remove-R8-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R5-weka.filters.unsupervised.attribute.Remove-R10

@attribute noc numeric
@attribute lcom numeric
@attribute ca numeric
@attribute ce numeric
@attribute lcom3 numeric
@attribute dam numeric
@attribute moa numeric
@attribute mfa numeric
@attribute cam numeric
@attribute cbm numeric
@attribute amc numeric
@attribute avg_cc numeric
@attribute bug {1,0}

@data
0,0,6,0,1.095238,0,0,0.944444,0.666667,0,10.75,0.25,1
0,0,2,0,2,0,0,0,1,0,0,1,0
0,0,0,3,0,1,1,0.684211,0.428571,5,8,0.8571,0
4,27,120,5,0.888889,1,2,0.898734,0.288889,0,6.9,0.8,0
0,0,0,1,2,0,0,1,1,0,3,0,1
0,3,0,1,1.5,1,0,0,0.333333,0,40,2.6667,0
0,0,0,1,2,0,0,1,1,0,5,0,0
5,1,7,6,0.333333,1,1,0.962406,0.342857,5,9.571429,1,1
0,3,0,0,2,0,0,0.95,0.833333,0,1,0.6667,1
0,0,0,13,0.285714,1,1,0.965517,0.270833,5,13.5,1,1
0,0,5,7,0.831481,1,3,0,0.214141,0,9.290909,1.4182,1
0,1009,2,1,0.966667,0,0,0,0.190217,0,4.195652,0.9783,0
0,10,7,0,2,0,0,0,0.2,0,16,3,1
1,0,3,3,0.333333,0.666667,1,0,0.475,0,42.4,0.8,1
1,0,1,6,0.333333,1,1,0.823529,0.5,4,39.75,3.25,0
0,1,3,4,2,0,0,0,0.5,0,53.5,0.5,1
0,36,0,0,1.125,0,0,0,0.555556,0,0,1,0
1,8,4,1,0.75,0,0,0,0.6,0,20.2,3,1
0,49,0,3,0.6,1,1,0.181818,0.275,0,35.363636,2.5455,1
0,0,6,1,2,0,0,0,1,0,0,1,0
0,3,0,0,0.329412,1,0,0,0.685185,0,44.833333,3.1111,1
0,1,1,3,2,0,0,0.97619,0.75,1,5.5,0.5,0
0,0,0,1,2,0,0,0,1,0,3,0,1
0,10,2,3,2,0,0,0.98,0.7,4,6.8,0.8,1
0,3,1,2,2,0,0,0.5,0.555556,0,7,1.3333,0
0,3,2,5,2,0,0,0.952381,0.555556,1,6.666667,0.6667,0
0,375,1,2,0.780488,1,0,0,0.226481,0,47.380952,3.1429,0
0,0,3,1,0,0,0,0.966667,0.4,0,7.8,0.2,0
0,3,2,5,2,0,0,0.953488,0.555556,1,7.333333,0.6667,0
3,1581,4,20,0.878882,0.73913,4,0.557692,0.15102,11,39.647887,1.662,1
0,4,0,1,1.282051,0,0,0.953488,0.5,2,945.75,0.75,0
0,0,1,20,0.416667,1,1,0.933333,0.333333,6,45.8,2,0
0,0,5,0,2,0,0,0,0,0,0,0,0
0,1,1,0,2,0,0,0,0.5,0,71.5,4,1
0,3,2,9,2,0,0,0.990566,0.666667,1,34.666667,0.6667,0
0,573,1,11,0.755102,0.785714,2,0.236364,0.153101,0,24.372093,1.0465,1
1,315,9,5,0.884444,0.888889,6,0,0.22,0,41.807692,5,1
0,0,1,3,0.5,1,0,0,0.4375,0,58.5,3,0
0,0,0,3,0,0,1,0.964286,0.666667,1,7.5,0.5,0
0,469,1,0,0.578947,0,0,0,0.25641,0,4.051282,0.9744,1
0,0,25,14,0.333333,1,1,0,0.211538,0,22,1.8462,0
0,151,43,1,0.941176,0,0,0,0.235294,0,14.166667,1.6667,1
0,14,1,10,0.839286,1,0,0.958333,0.47619,2,10.5,0.75,1
0,0,0,18,0,1,1,0.934211,0.285714,7,19.285714,1.1429,0
0,3,1,9,2,0,0,0.95,0.5,6,15.666667,0.6667,1
0,3,3,0,2,0,0,0,0.555556,0,10,1.6667,0
11,101,16,6,0.821429,1,2,0.933333,0.348148,0,17.533333,0.9333,1
0,8,1,10,0.428571,1,1,0.965517,0.3,5,19.375,2.75,1
1,3,22,29,2,0,0,0.98913,0.761905,0,74,1.6667,0
0,4,0,14,0.5,1,1,0.9375,0.36,5,47.6,2.8,1
1,0,9,0,0.422414,1,0,0,0.4,0,29.966667,2.1667,1
0,0,26,1,2,0,0,0,1,0,0,1,0
0,0,0,0,2,0,0,1,1,0,7,0,0
0,1,1,7,2,0,0,0.995283,0.625,2,24,0.5,0
0,1224,19,9,0.895408,0.828571,3,0,0.115288,0,21,1.7018,1
0,0,3,2,0.59,1,0,0,0.261905,0,15.761905,1.619,0
0,4,2,3,1,1,3,0.904762,0.5,1,10,0.4,1
0,254,2,1,0.892857,1,1,0,0.152727,0,22,1.08,0
1,19,2,1,0.833333,1,0,0,0.375,0,9.714286,0.8571,0
0,0,2,2,0.214286,1,0,0.722222,0.5,6,11.875,1.125,0
0,22,38,5,0.416667,0,0,0.865854,0.182692,22,24.307692,2.4615,1
0,0,2,2,2,0,0,1,1,0,5,0,1
0,0,1,8,0.711111,0,5,0,0.4,0,18.5,1.7,0
0,0,2,0,2,0,0,1,1,0,4,0,1
0,1,0,1,0.5,0,0,0.97619,1,0,140.666667,0.3333,1
0,3,1,2,0.733333,0,0,0.772727,0.458333,1,75,1,1
0,0,33,24,0.583333,1,2,0.910256,0.3125,7,58.222222,1.3333,0
10,8,10,0,1.24359,0,0,0.926829,0.333333,0,217.6,0.8,1
0,1,0,1,0.5,0,0,0.97619,1,0,197,0.3333,1
0,1,0,5,2,0,0,0.982456,0.75,6,17,0.5,1
0,0,8,2,0.269231,1,1,0.785714,0.410714,1,22.571429,1.6429,0
0,0,23,1,0.640625,0.0625,1,0,0.242063,0,55.517241,3,0
1,5826,5,17,0.967949,0.769231,3,0.47549,0.153846,0,6.559633,1.1651,0
3,143,4,2,0.714286,1,1,0.820755,0.217172,4,10.272727,1.0455,1
0,13,0,2,0.861111,0.75,2,0,0.571429,0,11.428571,0.8571,0
0,0,2,10,0.447368,0,2,0.540541,0.258333,1,8.1,0.9,0
0,1,0,8,2,0,0,0.979592,0.75,6,21,0.5,1
0,0,1,2,0.083333,0,1,0.5,0.230769,0,27.307692,1,0
0,0,0,3,0.62963,1,1,0.590909,0.35,7,8.6,1.1,0
1,39,10,10,0.8,1,0,0.964286,0.309091,2,28.909091,1.5455,0
0,1,1,1,2,0,0,0.8,0.666667,0,4,0.5,1
0,0,2,14,0,1,1,0.946667,0.333333,7,16,1,0
0,1,0,5,2,0,0,0.984615,0.75,6,34,0.5,1
2,3,4,1,2,0,0,0.942857,1,0,2.333333,0.6667,0
0,2,2,7,0.333333,1,1,0.981308,0.4,2,28.6,0.8,0
0,12,5,2,0.625,1,0,0,0.416667,0,63.222222,2.5556,1
0,0,4,1,0.5,0,0,0,0.555556,0,42,0.6667,0
0,1,1,7,2,0,0,0.995327,0.625,1,27.5,0.5,1
8,6,9,5,2,0,0,0.985915,0.55,1,22.5,0.75,1
0,70,1,3,0.795322,0.888889,0,0,0.214286,0,21.1,1.25,1
0,10,3,6,2,0,0,0.9819,0.6,7,9.8,1.2,1
0,0,39,0,0,1,0,0.944444,0.666667,0,6,0.3333,0
0,15,7,11,1,0,0,0.9819,0.375,8,12.166667,0.6667,1
0,0,3,10,0.166667,0,1,0.931034,0.367347,16,21.142857,1,1
1,0,1,0,2,0,0,0,1,0,3,0,1
3,6,46,31,2,0,0,0.978723,0.642857,0,59.75,1,0
0,1,0,11,2,0,0,0.989691,0.6,4,21,1,0
0,62,2,1,0.757813,1,1,0,0.441176,0,14.764706,1.4706,0
0,783,4,10,0.962585,0.166667,2,0,0.328042,0,43.813953,1.5349,1
0,4,5,11,0.571429,1,0,0.922078,0.325,8,8.125,0.75,0
0,0,6,15,0.583333,1,0,0.875,0.266667,6,24.8,2.1,0
0,0,9,0,0.361111,1,0,0,0.410256,0,11.076923,1.2308,1
0,0,1,1,0,1,1,0,0.5,0,20,1.6667,0
0,1,0,5,2,0,0,0.982143,0.75,7,20.5,0.5,1
0,3,1,1,2,0,0,0.99095,1,1,2.333333,0.6667,0
0,0,2,0,0.6875,0.833333,0,0,0.291667,0,34.882353,2.2353,0
0,3,0,5,0.4,1,0,0.975124,0.444444,4,8.833333,0.8333,1
0,1,0,15,2,0,0,0.989691,0.6,4,29.5,0.5,1
0,0,0,0,2,0,1,0,1,0,12,0,1
0,1,1,3,2,0,0,0.97619,0.75,1,5.5,0.5,0
0,0,1,8,0.458333,1,1,0,0.416667,0,21.555556,0.8889,1
0,9,1,7,0.833333,1,1,0.934211,0.361111,12,20.333333,0.8333,0
0,14,3,4,0.809524,0.333333,1,0,0.619048,0,50.25,1.375,1
3,3,3,0,2,0,0,0,0.666667,0,2.333333,0.6667,0
0,0,1,4,0.833333,0,2,0,0.466667,0,25,2,1
0,3,1,13,2,0,0,0.979592,0.6,6,17.666667,0.6667,0
4,0,4,6,0.166667,1,1,0.970297,0.428571,0,15.857143,1,1
4,6,5,8,0.375,0,1,0.875,0.355556,15,12.666667,1.7778,1
0,3,1,13,2,0,0,0,0.444444,0,68,5.3333,0
0,121,3,17,0.680272,0.857143,4,0,0.180952,0,41.545455,3.0455,1
0,15,1,1,2,0,0,1,0.625,0,4.666667,0,0
0,8,1,7,0.5,1,0,0.904762,0.4,6,10.6,1,1
0,8,2,15,0.607143,1,1,0,0.321429,0,29.25,1.875,1
0,0,1,0,0,1,0,0.684211,0.342857,2,8.142857,0.8571,0
0,10,4,6,0.586667,1,2,0,0.214815,0,23.3125,0.75,1
0,0,1,34,0.55,1,4,0.923077,0.361111,5,93.333333,1.5,1
0,552,10,15,0.919872,0.576923,7,0,0.18018,0,22.594595,2.1081,1
0,1,0,4,2,0,0,0.982143,0.75,7,13,0.5,1
2,157,44,10,0.993827,0.444444,1,0,0.157407,0,3.473684,0.8947,0
0,1,0,0,0.5,1,0,0,0.5,0,12.666667,0.6667,0
0,0,3,3,0,0,0,0.987342,0.666667,3,11,1,1
0,0,1,1,2,0,0,0,1,0,0,1,0
0,1,0,6,2,0,0,0.982456,0.75,6,9.5,0.5,1
2,0,2,13,0.919838,1,2,0.497354,0.180871,26,25.614583,2.0938,1
0,1,1,4,2,0,0,0.97561,0.75,1,3.5,0.5,0
0,68,4,60,0.765,1,4,0.78022,0.210884,8,49.904762,3.1429,1
0,300,52,2,1.041667,0,0,0,0.34,0,0,1,0
0,4,5,2,0.75,0.5,1,0,0.25,0,7.4,0.6,1
0,4,1,5,0.5,1,0,0.555556,0.325,0,3.2,0.8,1
0,369,5,13,0.903263,0.576923,0,0.384615,0.142857,2,48.323529,2.0882,1
0,8,15,0,0.552632,1,0,0,0.875,0,43.55,2.95,1
0,0,0,0,2,0,0,0,1,0,0,1,0
0,0,1,0,0.642857,0,0,0,0.666667,0,15,0,1
23,124,24,36,0.931373,0.882353,4,0.739583,0.128205,10,83.714286,3.1786,1
0,10,0,17,2,0,0,0.96,0.333333,12,16,1.2,0
0,10,44,0,2,0,0,0,0.6,0,0,1,0
8,1016,21,20,0.851307,0.833333,4,0.616,0.145105,9,11.557692,1.4231,1
0,37,0,0,0.777778,1,0,0,0.375,0,5,0.8,0
0,3,1,2,2,0,0,0.5,0.555556,0,5,1,0
0,0,0,1,0.733333,1,0,0,0.333333,0,13.166667,0.6667,0
0,0,1,4,0.4375,1,3,0.4,0.4,0,22,2.2,0
2,3240,2,3,1.0125,1,0,0,0.096708,0,2.271605,0.9877,0
19,59,19,2,0.807692,1,0,0,0.404762,0,10.214286,1.4286,1
0,0,0,1,0.833333,0,0,0.571429,0.5,4,14,1.5,0
0,42,4,5,0.625,0.5,0,0,0.340659,0,24.923077,1.8462,0
0,0,0,0,2,0,0,1,1,0,4,0,0
0,5992,7,6,0.794444,0,1,0,0.185185,0,7.31405,1.1818,1
0,1287,27,50,0.948889,0.92,6,0.5,0.101604,6,33.6,2.1273,1
0,3,2,5,2,0,0,0.953488,0.555556,1,7.333333,0.6667,0
0,0,6,0,0,1,0,0.857143,0.533333,3,17,1.2,0
0,0,1,4,0,0,0,0.978417,0.285714,14,15.285714,0.4286,0
0,36,1,13,2,0,0,0.804878,0.351852,3,8.444444,1.2222,0
0,1,0,4,2,0,0,0.982143,0.75,7,5,0.5,1
0,0,4,10,0.125,1,1,0.789474,0.197531,7,22.444444,2.4444,1
0,0,1,21,0.083333,1,1,0.922078,0.306122,9,39,1.7143,1
14,0,17,7,0.363636,1,2,0.731707,0.21875,7,11.25,1.5833,0
0,1695,17,17,1.001916,0.333333,0,0,0.114224,0,38.59322,4.4915,1
2,1176,34,12,1,0,1,0.606838,0.122222,21,14.081633,1.8571,1
0,0,9,1,2,0,0,0,1,0,0,1,0
0,36,2,1,2,0,0,0,0.333333,0,0,1,0
0,13,2,2,0.9,1,1,0.871795,0.305556,1,16,1,0
0,268,49,4,0.562963,0.8,0,0,0.285714,1,24.964286,1.4286,1
0,3,6,4,1,1,0,0,0.5,0,31,1.6667,1
0,0,1,1,0.657143,1,0,0.932692,0.35,0,21.25,1.625,0
0,8,4,13,0.75,1,2,0.899281,0.18125,10,15.0625,1.4375,0
0,36,10,1,2,0,0,0,0.333333,0,0,1,0
0,117,1,10,0.5,0.5,0,0.802721,0.150538,20,25.419355,2.9032,0
0,4,0,0,0.625,1,0,0,0.25,0,30,1.8,1
0,36,0,1,2,0,0,0,0.111111,0,6.666667,1,1
0,19,4,6,0.833333,1,1,0.444444,0.333333,0,4.428571,0.7143,1
0,1,1,8,2,0,0,0.978261,0.666667,1,18.5,0.5,0
0,16,6,7,0.571429,0,1,0.966507,0.3,4,11,1.125,1
0,3,1,2,2,0,0,0.5,0.555556,0,7,1.3333,0
0,6,69,0,2,0,0,0,0.583333,0,0,1,1
0,8,3,5,0.875,0.5,1,0.904762,0.44,0,38.2,1.2,1
0,3,1,18,0.4,1,1,0.918033,0.305556,6,29.333333,1.6667,1
0,45,1,0,1.111111,0,0,0,0.4,0,0,1,0
3,0,3,14,0.25,1,2,0.969697,0.366667,14,28.4,1.2,0
0,208,17,36,0.95,0,0,0.622642,0.21645,2,14.047619,1.4762,0
0,0,5,1,2,0,0,0,0,0,0,0,1
0,34,3,9,0.826389,0.75,0,0,0.201923,0,20.307692,1.0769,0
0,15,1,5,0.833333,0.5,0,0,0.233333,0,25.714286,0.8571,1
0,39,4,17,1.022222,0,1,0.96371,0.333333,7,27,1.7,1
0,1,0,1,0.5,0,0,0.97619,1,0,165,0.3333,1
0,0,0,17,0.333333,1,1,0.949153,0.4,6,29.5,1,1
0,0,2,0,0.52381,0.833333,0,0,0.583333,0,25.375,1.875,1
0,3,1,5,2,0,0,0.953488,0.555556,2,12.333333,0.6667,0
0,6,1,12,2,0,0,0.969697,0.4375,4,13.75,1.25,0
0,0,3,1,0.7,0,0,0,0.722222,0,28.5,1.8333,1
0,1,0,5,2,0,0,0.982143,0.75,7,6,0.5,1
0,3,2,6,0.733333,0.777778,3,0,0.328571,0,24.909091,1.2727,1
0,1,2,0,1,0,1,0,1,0,16,1,0
1,0,5,0,0.342105,1,0,0,0.6,0,23.65,1.75,1
0,188,0,2,0.947368,1,0,0.1,0.25,0,14.25,2.15,1
1,1,1,0,0.5,1,0,0.974359,1,0,414.666667,0.3333,1
0,0,1,32,0.083333,1,4,0.969697,0.458333,7,129,2.5,0
7,819,132,15,0.95393,0.111111,0,0.428571,0.112245,8,9.857143,1.1667,1
0,28,13,2,2,0,0,0,0.5,0,34.875,3.5,1
2,3,5,1,0.56,0,1,0,0.375,0,68.833333,2.8333,0
0,1,0,5,2,0,0,0.979592,0.75,6,6.5,0.5,1
0,0,2,0,0.666667,1,0,0,0.5,0,5.25,0.75,0
0,6,0,8,0.65,0.4,0,0.941176,0.4375,8,48.6,1.2,1
0,0,0,4,0.333333,1,0,0,0.333333,0,58,3.75,0
0,1,0,0,2,0,0,0,1,0,2.5,0.5,1
0,0,1,0,0.25,1,0,0,0.533333,1,5.2,0.8,1
10,526,104,20,0.998047,0,16,0,0.234375,0,7.606061,1,0
0,223,2,2,0.634483,0.6,0,0,0.2,0,14.166667,1.0667,1
0,54,3,9,0.9,1,0,0.926174,0.21875,5,7.384615,0.9231,0
0,0,0,0,2,0,0,1,1,0,4,0,1
0,4,0,1,1.285714,0,0,0.953488,0.5,2,471.25,0.75,1
0,0,1,29,0.142857,1,1,0.933962,0.270833,5,29,1.875,0
0,0,8,0,2,0,0,0,1,0,0,1,0
0,23,1,52,0.798319,1,8,0.811594,0.214286,3,85.066667,3.1333,1
0,1,0,1,1.428571,0,0,0.97619,1,0,618.333333,0.3333,1
0,1069,49,24,0.939909,0.944444,11,0.853659,0.07913,6,18.38,1.6,1
0,0,0,2,0.5,1,0,0.5,0.220238,2,22.47619,1.0476,0
0,0,2,1,0.25,0,1,0,0.3,0,4.2,0.6,0
0,1,0,1,1.3,0,0,0.97619,1,0,289,0.3333,0
0,66,1,0,2,0,0,0,0.444444,0,0,1,1
0,0,1,1,0,1,0,1,0.777778,0,14.666667,0,0
0,1,1,4,1,1,0,0.975904,0.466667,0,6.666667,0.6667,0
0,1,0,7,2,0,0,0.989691,0.625,4,5.5,0.5,0
0,1,0,10,2,0,0,0.989691,0.6,5,14.5,0.5,0
0,0,2,13,0.5,1,1,0.903226,0.285714,6,15.571429,1.4286,0
0,24,4,1,2,0,0,0.653846,0.395833,14,12.416667,1,1
0,3,0,4,2,0,0,0.95,0.5,6,2,0.6667,1
1,79,5,20,0.735294,0.5,1,0.920188,0.136752,6,25.111111,1.2778,1
0,1,0,9,0.7,0.4,0,0.571429,0.349206,6,74,2.1429,1
0,2145,91,3,1.015385,0,0,0,0.277056,0,0,1,1
0,0,1,1,2,0,0,1,1,0,4,0,0
0,34,2,7,0.778947,1,4,0.40625,0.242857,7,18,2.55,0
0,6,1,9,2,0,0,0.985366,0.625,4,29.25,0.75,1
1,0,2,3,0.333333,1,2,0.65,0.34375,5,18.375,1.5,0
1,50,8,46,0.831579,1,1,0.838983,0.225,8,56.75,2.55,1
0,4,1,5,0.25,1,0,0,0.4,0,14.2,0.8,1
1,1,1,5,2,0,0,1,0.6,0,4.5,0,0
0,0,3,4,2,0,3,0,1,0,71,0,1
0,0,8,0,2,0,0,0,1,0,0,1,0
0,21,1,3,2,0,0,0.25,0.5,0,35.857143,3.5714,1
0,1,0,0,1,1,0,0,1,0,18,0.5,0
0,50,0,4,0.65625,1,0,0,0.196078,0,32.235294,1.8824,1
1,0,11,1,0.392857,0,0,0.62963,0.311111,2,22.666667,2,0
0,0,2,7,0.5,0.5,1,0,0.357143,0,27.142857,0.8571,1
0,0,1,0,0.45,1,0,0,0.606061,0,24.636364,2.1818,1
0,0,0,15,0,1,1,0.979592,0.444444,13,19.666667,0.6667,0
1,4,1,5,2,0,0,0.823529,0.5,4,14.75,1.75,0
1,0,4,1,2,0,0,1,1,0,3,0,0
0,1,1,1,2,0,0,0,0.666667,0,0,1,0
0,190,10,14,0.936455,0.307692,0,0.47619,0.202899,2,36.458333,1.5833,0
0,0,3,0,0.4875,1,0,0,0.264706,0,16.647059,1.2941,0
0,2,2,20,1,1,1,0.9375,0.4,7,102,4.4,1
0,0,1,3,0,1,1,0.65,0.34375,5,9.5,1,0
0,3,0,9,2,0,0,0.99,0.533333,5,11.333333,0.3333,0
0,4,0,18,0.25,1,2,0.96,0.4,14,23.8,0.8,0
0,4,1,1,0.666667,0,0,0,0.555556,0,5.75,0.75,0
0,15,4,0,1.2,0,0,0,0.533333,0,0,1,0
1,440,6,4,0.79321,0.722222,3,0,0.289189,0,20.459459,2.2162,0
2,6,11,6,2,0,0,0.959459,0.4375,4,0.75,0.75,0
0,0,0,1,0,1,2,0,0.666667,0,15.5,1,0
0,0,2,2,0,0,1,0.740741,0.416667,1,4.75,0.875,0
0,3,0,13,2,0,0,0.979592,0.444444,13,24,1.3333,0
0,66,2,9,0.952899,0.043478,7,0,0.266667,0,151.230769,3.2308,0
0,211,0,12,0.656566,1,3,0,0.196078,0,45.794118,1.6176,1
0,0,1,0,2,0,0,0,1,0,9,0,0
1,0,5,0,0.3375,1,0,0,0.5,0,23.380952,1.7143,1
0,6,0,8,2,0,0,0.955224,0.5,8,27.25,0.75,1
0,21,4,19,2,0,0,0.923077,0.339286,7,63.571429,5.1429,1
0,1,1,2,2,0,0,0.987805,0.6,0,5.5,0.5,0
0,561,3,13,2,0,0,0,0.119485,0,0,1,0
0,0,5,3,0.25,1,1,0.4,0.466667,0,13.2,1.2,0
0,0,2,2,0.55,0.5,1,0.583333,0.409091,3,10.363636,1.3636,0
0,171,1,0,2,0,0,0,0.381579,0,0,1,0
0,0,1,8,0.076923,1,1,0.941704,0.295918,3,11.357143,0.9286,0
0,0,2,20,0.5,1,3,0.934211,0.285714,8,46.5,2.5,0
0,1,0,4,0.5,1,1,0.965517,0.555556,4,11,0.6667,0
0,666,47,0,2,0,0,0,0.191892,1,0,1,0
0,0,1,0,2,0,0,0,0,0,10,0,0
0,0,1,3,0.75,0,2,0,0.158508,1,13.030303,1.303,1
0,1,0,5,2,0,0,0.982143,0.75,8,20,0.5,1
0,1,0,6,2,0,0,0.979592,0.75,6,10.5,0.5,1
0,990,0,3,1.022727,0,0,0,0.172222,0,32.755556,1.6,1
0,29,6,4,0.825,1,0,0.951456,0.340909,5,9,1,1
0,0,0,3,0.5,1,1,0.590909,0.35,8,10.4,1.3,0
1,15,2,9,0.333333,1,0,0.972222,0.5,1,37.142857,0.8571,0
0,1,0,1,1.423077,0,0,0.97619,1,0,1251,0.3333,0
