@relation 'log4j-1.0_deleteColumns-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.PrincipalComponents -R 0.95 -A 5-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N -1'

@attribute -0.349wmc-0.337rfc-0.33loc-0.302npm-0.296ce... numeric
@attribute -0.489mfa-0.473dit-0.471ic-0.426cbm+0.194ca... numeric
@attribute '-0.446amc+0.351ca-0.321avg_cc+0.3  noc-0.288max_cc...' numeric
@attribute 0.693lcom3+0.372cam-0.353dam-0.252moa-0.214noc... numeric
@attribute 0.444avg_cc+0.366max_cc+0.365dam+0.341cam+0.309noc... numeric
@attribute -0.634moa+0.578dam-0.238dit+0.191npm-0.173cbo... numeric
@attribute -0.649noc+0.459ca-0.346lcom3+0.331cbo-0.228ce... numeric
@attribute '0.641cam-0.35cbm-0.288noc+0.28 moa+0.268dam...' numeric
@attribute -0.444amc-0.394dit+0.354cbm-0.294lcom3-0.257dam... numeric
@attribute -0.394dam-0.392ce-0.343moa+0.312lcom+0.308noc... numeric
@attribute 0.391lcom3-0.37ce+0.366moa-0.352cam-0.274cbm... numeric
@attribute -0.538amc-0.466cbm+0.458ce-0.268moa+0.216max_cc... numeric
@attribute bug {1,0}

@data
1.148827,0.977131,-0.618304,-0.586683,-0.557585,0.371805,0.194926,-0.33084,0.252372,0.078674,-0.321825,0.467762,0
-3.156236,3.045949,2.629819,-0.324661,2.895547,-3.365402,1.757085,-1.333878,0.418936,-0.711896,0.884111,-0.777376,1
0.519419,-2.60717,1.906386,-2.730772,1.084386,0.796467,0.347582,0.826121,-0.886669,-0.403981,0.258632,0.094978,0
-0.528836,0.980753,-1.59747,0.159929,1.238529,0.958241,0.597421,-0.139182,-0.082511,0.616214,-0.036781,-0.426541,1
-0.737538,1.696291,2.309903,-0.313835,1.71068,1.251914,2.499818,-0.685445,-0.863009,-1.26593,-0.082322,-0.260534,1
0.29142,1.082159,-0.358489,-0.688837,-0.028666,0.210623,0.242087,-0.026467,1.044054,0.591657,0.498006,-0.158875,0
-3.028451,3.111401,3.223316,0.836267,1.443438,-2.084911,4.145939,-1.592646,-0.894703,-1.758834,-0.796145,-0.006901,1
1.912468,1.211328,-0.054484,0.62486,-0.799778,0.702618,-0.499838,-0.706616,-0.351211,-0.029879,0.874324,-0.477439,1
-1.279977,-4.189771,-0.078957,0.058506,-1.142159,-2.149818,0.213922,0.144043,-1.485913,-0.256099,0.106441,0.226051,0
2.198435,0.887237,0.041509,-1.242927,-0.364139,0.196395,0.542119,0.318868,0.988545,0.584513,-0.799938,0.280516,0
-0.819879,-1.86736,-0.52513,-0.474052,1.081523,1.761147,0.094036,0.626457,-0.964117,-0.509606,-0.000778,-0.22433,1
1.849403,-3.004352,1.174163,2.366156,0.333529,-0.28747,-0.633267,-0.550861,1.172567,-0.473667,-0.661842,-1.193623,0
-0.074385,1.07354,-0.912481,-0.650572,-1.215512,-0.088134,-0.119294,-0.063622,-0.154808,-0.457209,-0.38656,0.230469,1
-4.83182,-1.601728,1.571013,-0.816117,0.303762,0.747036,-0.933415,-0.283761,0.238853,-0.658906,-0.140464,-0.197909,1
1.620433,-3.755884,1.150275,-0.0308,-0.684934,-0.956783,0.643051,-0.235995,-0.259932,0.557754,-0.110505,0.399521,0
-5.632884,-1.681326,-1.129451,0.865903,-1.276443,0.350897,-0.50518,0.090758,0.820765,0.178976,0.402089,-0.391157,0
-0.944482,-0.544608,-0.874287,-0.524198,-0.894076,-0.167503,0.203664,-0.022556,-0.499582,1.131858,1.178806,0.190683,0
-1.725802,-1.527167,-0.324284,-0.250183,0.013137,1.720714,-0.041509,0.309899,-0.584485,-0.335368,0.094189,0.087672,1
1.469938,0.965104,-0.553679,-1.414094,-0.712887,0.452647,0.531064,-0.637639,0.506566,0.611687,-0.026174,0.08753,0
0.791389,1.043262,-2.216323,1.872917,1.433165,0.416337,-0.397544,0.320935,-0.711102,0.644308,-0.170873,-1.170274,0
0.992151,-2.010995,0.85196,-0.793309,-0.064563,0.954618,0.336225,0.079551,-0.122757,-0.064903,0.034079,-0.580846,0
-15.787756,4.147097,7.978404,1.656426,-2.481765,0.705744,0.487079,2.28137,0.552219,2.129679,1.304405,-1.435957,1
2.962478,1.344172,0.485634,-0.092374,-1.341401,0.42381,-0.297719,-1.800419,-0.739772,-0.870078,1.250702,0.156621,0
2.838398,1.337567,0.482585,-0.028096,-1.360426,0.386566,-0.333628,-1.749104,-0.789617,-1.014922,1.110763,0.311092,0
1.513005,-1.404963,1.370617,1.187004,-0.817286,0.453992,-0.513085,-0.624777,0.550865,0.382351,1.224581,-0.42064,0
-0.888186,-2.238684,0.656998,0.424093,-0.358451,-0.047643,-0.301698,0.484998,0.771209,-0.428192,-0.362341,0.083333,0
-0.037263,1.972852,2.206704,1.415361,-0.367336,0.279383,0.901068,-1.197264,-0.239227,-0.794648,0.536325,0.541057,1
1.020806,-1.401958,-0.120843,-0.01336,0.656219,-1.220927,0.014709,0.257869,0.709601,0.215054,1.023538,-0.035838,0
0.361739,1.039737,-0.330157,-0.54357,-0.915172,-0.160444,-0.171488,0.276145,0.322221,-0.561862,-0.517492,0.607757,0
-1.313647,-1.915578,1.686547,-0.899161,-0.162935,2.558151,-0.039014,1.105782,-0.427308,-0.638163,0.572378,0.140011,1
1.017282,0.986558,-0.839014,-1.149905,0.26142,-1.055665,0.160649,1.221602,0.627984,-0.020585,-1.018624,-0.433881,0
2.384804,-2.133893,1.11363,1.762443,-0.078573,-0.725489,-0.309145,0.588783,-0.793814,-0.025327,0.178602,0.595373,0
3.47832,1.235343,1.194692,1.445228,0.39156,0.015376,-1.204662,0.886863,0.095279,0.054847,-0.734922,-0.262181,0
-4.02654,-2.682165,-1.4979,1.0149,-0.546912,-0.523349,-0.556842,-0.205558,1.0232,-0.578572,-0.152871,0.208399,1
0.179779,1.069387,-0.769461,-0.773588,-1.117406,-0.069916,-0.049043,-0.032804,0.068986,-0.278506,-0.269441,0.172396,0
0.741409,-0.349364,-0.908873,0.307867,0.988036,0.073813,0.299139,0.051622,0.272415,0.980716,0.668306,1.0576,0
0.402377,0.885546,-2.237368,-1.019213,0.257031,0.497923,0.63046,-0.458526,-0.076038,1.319216,-0.326103,-0.839657,0
-0.445101,1.640114,0.456172,-1.062615,2.241309,-0.836936,-2.27033,-1.56858,-0.370655,1.611686,-1.061997,0.378361,0
-7.022288,-0.585336,-0.626205,1.719716,-0.79071,0.39758,0.771911,0.516132,-0.895547,-0.699326,-1.076359,1.04283,1
2.039399,1.148001,0.305238,1.246757,-0.404149,0.623237,-0.641797,0.324093,0.175673,0.037104,0.29997,-0.303891,0
2.237949,-0.043138,0.818629,1.025502,-0.454288,0.095115,-0.405591,0.055866,-0.475417,0.167025,1.031314,0.547633,0
-0.734823,-2.562042,0.818118,0.875857,-0.035932,-0.101325,-0.426281,0.891824,1.250229,-0.395378,-0.894664,-0.351016,1
0.894466,1.085106,-0.387689,-0.595569,-1.091721,-0.279254,-0.192454,0.078244,-0.146855,-0.686875,-0.51432,0.226828,0
-0.457574,1.001152,-0.096494,-1.620639,-1.622981,0.449516,0.227973,0.132368,1.00223,0.769409,0.0921,-0.401435,0
-1.354582,1.077115,-1.794882,-0.534096,-0.875339,-0.575388,-0.327039,0.209215,-0.307772,-0.752067,-0.352175,0.090857,0
-0.465472,0.930133,-3.779702,-0.076458,0.727132,0.582253,0.313644,-0.668282,-1.468051,1.625136,-0.282646,-2.14495,0
-2.64873,1.176352,-2.725362,-0.991822,-0.075835,-1.169141,-0.466833,0.15094,0.478534,-0.50757,1.245556,-0.509638,0
-8.288697,-0.824027,-2.637591,2.528647,-1.975663,1.202876,-0.035323,0.678957,-0.996925,0.705119,-1.259186,1.05749,1
1.115014,-0.135102,0.767479,-0.188063,-0.624121,-0.082757,0.493345,0.222827,-0.155499,0.663308,0.153372,0.719221,0
1.099034,1.633208,1.789784,-0.480551,0.574498,-0.536368,-1.60503,-0.848097,0.092469,0.42291,-0.302383,0.402353,1
2.056285,1.129375,0.543235,-0.220977,0.680139,-0.292642,1.166942,1.350651,0.980526,0.765147,-1.91595,-0.218999,0
-2.77522,-2.601915,-0.075134,0.306368,-0.899622,0.298338,-0.039975,-0.731667,0.789558,-0.349214,0.028061,-0.206575,1
0.342289,-2.486524,0.392093,0.430543,1.077772,-0.575889,-0.63474,-1.855184,-0.454018,1.409725,0.404791,-0.31042,0
0.586258,1.104728,-0.501062,-0.670772,-0.920521,-0.00349,-0.102311,-0.18175,0.310268,-0.251893,0.169889,0.246195,0
2.972528,1.406067,1.131008,1.957179,1.058527,0.025657,0.115725,0.758748,0.52295,-0.060746,-0.210658,-0.207666,0
0.36848,1.046931,-0.80876,-0.704121,-0.915851,-0.136109,-0.047717,0.07649,0.074423,-0.275212,-0.381441,0.114452,0
0.974528,-4.256144,1.722629,-1.825746,0.646281,1.24538,0.805038,0.465829,-0.993684,-0.726011,0.261511,-0.060562,0
0.685228,1.032241,-1.295128,-1.148624,-0.33406,-0.047022,0.223971,-0.439329,0.1551,0.328237,0.208125,-0.402241,0
-1.364973,-2.801118,-0.488856,0.547496,-0.669864,0.264971,0.063908,-0.851317,0.838649,0.260703,-0.468691,-0.013813,0
3.164128,1.157812,0.687375,1.821323,0.764099,0.226304,-0.468739,1.009747,0.643812,-0.060235,-0.164396,-0.039793,0
2.878033,1.382308,1.096298,2.004098,1.020406,0.007615,0.043037,0.82279,0.487922,-0.18576,-0.328787,-0.061505,0
-1.729475,1.144769,-2.214992,-0.85114,-0.826575,-1.080264,-0.387833,0.521914,-0.384398,-0.749604,-0.199096,-0.604203,1
-6.268334,0.480962,-6.033225,1.114986,4.425376,0.108579,-0.315877,0.629195,-0.223826,-1.109368,0.40819,0.969718,1
3.058901,1.238362,0.834236,1.888034,0.8559,0.147007,-0.285887,0.943186,0.586909,-0.108687,-0.226463,-0.04426,0
2.970472,1.173174,0.593819,1.325212,0.00549,0.319171,-0.535283,0.386676,0.218881,-0.253221,0.100177,-0.081773,0
-1.440174,-0.679187,-1.446995,-0.237417,-0.304482,-0.252925,0.175335,-0.059271,-0.476926,0.921888,1.013059,0.638436,0
0.456715,-3.978738,0.253943,0.098972,-0.474795,-0.442919,0.230978,-1.675231,1.220495,0.006858,-0.889984,-0.939285,0
1.865681,1.343765,1.037786,1.193764,-0.218018,0.626032,-0.2755,-0.174314,0.432898,-0.075748,0.741978,0.054701,0
2.16047,1.689224,1.519896,1.809924,0.861712,-0.113682,0.67701,-0.083563,0.094267,-0.473908,-0.092281,0.048162,0
-0.017583,0.957632,-1.19953,-0.031768,-0.721148,0.325999,-0.049088,-0.20546,-0.34324,-0.423263,-0.851254,0.772472,0
0.248106,-4.246665,0.571849,1.011551,0.104977,-1.392368,0.084919,-0.153796,0.264912,-0.182516,-0.350315,-0.181272,0
-1.361259,1.082265,-1.809104,-0.951122,-0.381599,-1.259363,-0.259701,0.937192,-0.055763,-0.661444,-0.609002,-0.530359,0
0.000091,0.985842,-1.38187,-0.700205,-0.284024,-0.006666,0.088788,-0.081437,0.365668,0.130208,-0.04988,0.086499,1
-1.19004,1.139512,-3.309574,1.462903,-0.41749,0.412441,-0.654631,-0.363824,-3.020764,-0.128164,-1.091847,-1.662128,0
1.232662,0.969533,-0.89019,-0.700897,0.207978,-0.479513,0.270527,0.889617,0.31446,0.313151,-1.115387,-0.504248,0
-4.571958,1.574914,-1.249281,1.211198,0.484176,0.709214,1.60439,-1.02945,-0.143355,0.616646,-0.152886,0.552207,1
1.158419,0.908212,-1.150462,-1.015702,0.043397,0.500224,0.499912,-0.531834,0.48919,0.930374,0.041562,-0.170641,0
-1.401113,-2.014993,-1.10646,-0.413258,-0.804701,-2.781894,0.259885,1.226756,-3.015144,0.251312,0.542649,-0.116312,0
-0.009603,1.075652,-0.247738,-0.738302,-0.065681,0.114489,0.384106,0.111529,1.22362,0.473138,0.207344,0.22156,0
2.038372,1.103146,0.399571,1.54889,-0.330295,0.193466,-0.826923,0.513707,-0.20159,-1.090326,-0.6025,0.771792,0
-0.331123,0.994848,-1.394399,-0.43483,1.045643,0.145239,0.503259,0.13545,1.090654,1.051594,0.281195,-0.33277,1
2.780976,1.207227,0.636636,1.424267,0.037628,0.240304,-0.479072,0.405998,0.114239,-0.410818,-0.082285,0.039141,0
1.396069,-3.675661,1.058723,-0.190168,-0.555267,-0.851915,0.719134,-0.244017,-0.051235,0.704797,-0.139791,0.333392,0
1.601476,-0.39211,0.39743,-1.245534,-0.263288,-0.894056,0.654033,0.972276,0.385782,0.825408,-0.202033,0.524752,0
-2.338747,-2.505832,0.470604,0.149789,-1.095663,-1.24976,-0.781512,0.111665,1.487754,-1.330591,0.083544,0.077537,1
1.024576,-3.279874,0.584587,-0.58168,-0.657441,-0.827571,0.922666,-0.686477,-0.360391,1.025047,-0.096246,-0.255909,0
0.087284,0.915827,-1.369436,-0.217567,-0.458861,0.237551,0.082389,-0.120742,-0.309106,-0.283281,-1.047077,0.682098,0
1.57692,1.06544,-1.319787,1.623946,0.688338,0.379116,-0.569593,0.450893,-0.651512,0.340101,-0.264914,-1.051007,0
0.289636,1.062864,-0.714748,-0.68332,-0.980354,-0.086792,-0.065218,0.112192,0.143144,-0.227708,-0.327053,0.139248,0
0.659877,1.079394,-0.586392,-0.981541,-0.874792,-0.002505,0.060621,-0.192329,0.417189,0.003984,0.15285,0.07357,0
0.41563,1.075766,-0.942251,-0.933856,-0.98217,-0.034139,0.070546,-0.144396,0.130899,0.022989,-0.050642,-0.135067,0
1.530221,-0.571909,0.250803,-0.505643,0.577637,-0.212973,0.240472,0.793175,-0.156582,0.360232,0.86153,0.325568,0
3.002563,1.303644,0.403549,-0.12168,-1.390952,0.466644,-0.38912,-1.765183,-0.716134,-0.843166,1.279409,0.155141,0
1.588914,-3.349117,1.664839,-1.755146,0.795615,1.517702,0.610074,0.340352,-0.524045,-0.655928,0.321023,-0.699082,0
0.766622,-0.229063,-0.501016,0.019073,0.545811,-0.552458,0.05553,0.444795,0.161677,0.419102,0.626278,0.826382,1
-0.536805,-0.110676,1.42957,-0.451632,0.730178,0.724361,0.65999,1.119951,-0.530986,-0.505394,0.518025,0.228843,1
0.59562,-1.64357,0.868939,-0.926386,1.077481,0.089139,-0.314419,-0.508594,-0.494552,0.948114,-0.304774,0.339267,1
-2.110905,1.462416,-1.942869,-1.230045,0.064711,-3.093058,-1.255726,1.322345,0.515991,-1.880296,1.633684,-1.171222,0
-3.444297,1.528329,-0.225461,-0.357964,0.421276,-0.648739,0.756596,0.313273,0.131118,-1.228252,0.229661,0.026043,1
1.252689,-1.538155,0.880965,0.248758,-0.526611,-0.037444,0.073395,-0.006302,0.443196,0.489366,0.279801,0.621574,0
0.841383,1.094534,-0.370982,-0.948062,-0.91107,-0.004186,0.013958,-0.212694,0.4775,-0.071662,0.235945,0.155044,0
3.636198,0.608895,0.96512,1.63034,0.039842,-0.08478,-0.597722,1.275202,-0.139678,-0.02407,-0.328602,-0.256932,0
-0.541376,1.096882,-1.449324,-0.707663,-1.353423,0.019366,-0.059006,-0.101952,-0.580872,-0.055975,-0.420189,-0.444422,1
3.503178,-1.609721,1.443551,1.741838,0.110448,-1.06684,-0.0818,1.722607,-1.508503,0.919732,0.36989,0.265971,0
1.393334,-0.816402,-0.315924,-0.969942,0.170676,-1.187255,0.682831,1.311991,-0.111732,1.009776,-0.545989,0.445802,0
1.301103,-1.503349,0.699094,-0.857811,-0.411456,-0.830499,0.479253,0.376736,0.753088,0.470794,-0.082363,0.296591,0
0.617861,1.089437,-0.604559,-0.920131,-0.983218,0.000287,0.01913,-0.173182,0.288388,-0.01209,0.111921,-0.033093,0
2.36558,-2.135149,1.106446,1.762976,-0.096114,-0.724946,-0.308945,0.593541,-0.796746,-0.0291,0.169203,0.597545,0
